"","JHP_RS00500","JHP_RS00955","JHP_RS01495","JHP_RS01500","JHP_RS01505","JHP_RS01510","JHP_RS01515","JHP_RS01550","JHP_RS01555","JHP_RS02090","JHP_RS02115","JHP_RS02710","JHP_RS02810","JHP_RS02815","JHP_RS03240","JHP_RS03245","JHP_RS03285","JHP_RS03290","JHP_RS03295","JHP_RS03305","JHP_RS03720","JHP_RS04170","JHP_RS04175","JHP_RS04195","JHP_RS05700","JHP_RS05705","JHP_RS05800","JHP_RS06090","JHP_RS06315","JHP_RS06325","JHP_RS06330","JHP_RS06510","JHP_RS07095","JHP_RS07275","JHP_RS07500"
"HPJ99_Mig_2 (GE) - TPM",-0.199347831880883,-0.251855579214351,0.174496294854525,-0.364353142905917,-0.879522775398961,-1.09272510262084,-0.949608926553744,-0.399065999010407,-0.876469734679979,-0.798928958824018,-0.55940019173413,-0.761647429498937,-0.102665279849112,-0.0269482347773519,-0.712912056531142,-0.292775651548946,-0.50261548542169,-0.415616617963248,-0.420648883850476,-0.845389066821365,0.794923594954577,-0.604216597349213,-0.694445425446772,0.998717695860954,-0.41719470503683,-0.102096330758787,-0.75718571089797,-0.893197706352851,0.0763760448394801,0.0829082272874987,-0.574132708217179,0.507341663514133,-0.0992265304606199,-0.369110522836779,-0.286973530630314
"HPJ99_Mig_3 (GE) - TPM",-1.08791063805874,-0.423718528266564,-0.101677256364171,-0.315840537114657,-1.21710225889102,-0.802914575876536,-1.13643197493619,-0.3656234337901,-0.922085211636466,-0.947488794306969,-0.195566537366846,-0.75848282850952,-0.372825225887174,-0.236401131662544,-0.775198941512314,-0.230384863487955,-0.359433056414526,-0.375917157705463,-0.483882002247187,-0.854139977532571,0.41385405302731,-0.590149061653619,-0.613314610062443,0.465295172034081,-0.370571418383002,-0.0473316275992816,-0.699230872232964,-0.867728550483043,-0.122603444345502,-0.00483878161338244,-0.736214008543338,0.15045642247128,-0.838791060422037,-0.268774418144589,-0.443328902842595
"HPJ99_Nd_1 (GE) - TPM",2.17784543227871,1.87378129908066,0.340807424202978,0.774030754408637,0.698685642187291,0.205793229469346,-0.272051294652635,1.27429635699431,1.59555921255004,-1.41059827278752,-2.07845889048658,1.02879047830142,1.38097497129713,0.575518428080963,0.632808554931401,-0.441586775707825,1.99726706283203,1.30419272382973,1.59477716544114,1.91303472566158,0.819574809053738,1.49981644894891,1.47301415687161,1.71256678224112,0.323583554820879,-0.539778136233159,1.54936956235733,1.36148801923668,-1.57706652017385,0.172865692002368,0.82906128943684,1.68325309966622,0.902722665844575,-2.23588858792895,2.69068861536743
"HPJ99_Nd_2 (GE) - TPM",2.32370384994713,1.92941417996171,0.468787562274576,1.37936755051087,0.876018005994979,1.0193068090864,-0.384884021994306,1.73684894025809,1.78893694741018,-1.36519072145678,-1.99781943862557,1.48225044529216,1.70884743302283,0.998034327465369,0.601833397016032,2.11875194050609,2.41084292267706,1.75644881405731,1.99294218512591,2.08436136680338,1.48359284149797,2.40496005466968,1.62095052704728,2.16399750155722,0.451176853022916,-0.306284414112706,1.83652572222261,1.46404528265656,-1.45666843920687,1.00013005131503,0.831788596392389,1.87074844249487,1.4626413400584,-2.37852735583779,2.74509256851909
"HPJ99_Nd_3 (GE) - TPM",2.26414986380787,1.64218375726676,0.26618897659025,0.633648200226291,0.672257986300798,0.0691592847705398,-0.284388936028983,1.60339921576619,1.89921903957285,-1.27707498420051,-2.07122305305017,1.27463492917151,1.05729059335186,0.48292572771466,0.504622383081866,0.790659745605248,1.91498630152195,1.57373908677369,1.69040641314921,2.18866516619404,1.10153308948553,2.65481305239561,1.45717972270736,1.68043741645918,0.707582643514658,-0.111849027567799,1.84644315891977,1.46848454581148,-1.84608266840812,1.53168087386649,0.738816660961449,1.65110364153276,1.013070415888,-2.29580427620675,2.81097220310623
"HPJ99_Ns_1 (GE) - TPM",0.142650086554131,-1.06955405309676,-0.454436371752832,-0.678861792623341,-0.479101231702385,-0.221800484108112,-0.235964377354945,-0.193821742227621,-0.124739271744782,0.644366828883644,0.611415229192931,-0.124788536348341,-0.771066800783248,-0.570348282006523,0.277072641986164,0.139710702684487,-0.538045457430878,-0.515536078121249,-0.320436423665156,-0.743849917157026,-0.876626700040135,-0.774396914602,0.0966265265317926,-0.805710661544115,-0.152250792419659,0.0387176071831655,0.261232799478105,-0.861833745720357,2.37171475915325,-0.504970663649569,-0.0828908408963279,1.29883748392991,1.32604521921611,0.601897872032437,0.176502359348175
"HPJ99_Ns_2 (GE) - TPM",-0.507530455224453,-1.35301292865569,-0.703698574624889,-0.556081412293692,-0.665912441146883,-0.33114033303374,-0.507812267231987,-0.367572776133356,-0.35372880547004,1.20039688674201,0.68995814263814,-0.533259483864213,-0.705053884332351,-1.0732057737013,0.322447088743114,1.34317901162066,-0.559761014357688,-0.640554308594058,-0.520192157487267,-0.647968182306771,-1.20381179360476,-0.585037161019387,-0.0155684166618799,-1.0186473228897,-0.126701427001525,0.00538027874826926,0.12180529082618,-0.930479551335854,1.93208030461093,-0.425545205942081,-0.263300294394738,0.866069027212476,1.52786183362145,0.865681881677372,-0.0460744136583275
"HPJ99_Ns_3 (GE) - TPM",-0.652732169049183,-1.57689610759347,-0.804735003658881,-0.968156784120234,-0.959348099585336,-1.63052319139675,-0.665398611204819,-0.401611327040869,-0.519454718464755,1.00564493482066,-0.284787696555597,-0.90470686117922,-1.19435394015379,-1.36475069056855,0.392959870783933,0.798958688482348,-0.693794838813712,-0.686202693360847,-0.546544317360905,-0.776891018275644,-2.26463832352759,-0.727607105476709,-0.106837332852982,-1.27500092476614,0.0553177430861075,0.0390962987738033,-0.023041882528563,-1.39360737721369,1.45150832040438,-0.499823503630726,-0.0256688119501552,-0.00980414901646505,0.430711850919119,-0.00815481757438092,0.0124865403082733
"HPJ99_Oss_1 (GE) - TPM",0.211805698263685,-0.612217336830682,-0.391983623251396,-0.655697256495302,-0.228677313639308,-0.688613990410348,0.0435327824823628,-0.519055563862234,-0.533712901760401,0.965296678754136,-0.112000405034835,-1.30743117918324,-0.411727300411418,-0.138992571275443,-0.243040450449123,0.333279162604176,-0.487867512411426,-0.627514858704369,-0.658145433900205,-0.586724783395086,-0.909685748571384,-0.673015902405625,-0.609578063668917,-1.08309863887659,-0.231766282742609,0.183807366484681,-0.818068350008592,-0.796739098650304,-0.767794912580218,-0.625746831443379,-0.491008316497941,-1.68458689016545,0.420747963377873,-0.180471423918267,-0.516324086588892
"HPJ99_Oss_2 (GE) - TPM",0.204125865984877,-0.252290814595716,-0.470516899317711,-0.754985543206863,-0.820491570161394,0.238631975833231,0.254044648485392,-0.351502670307894,-0.46933497188185,0.787983226994567,-0.181668026740275,-1.3614412652866,-0.17544014587202,0.293939260483214,-0.328730520880511,-0.640834370556362,-0.405413425997749,-0.576582539321255,-0.700753053052477,-0.484582489121291,-0.936588855755394,-0.781235453842095,-0.692610320046225,-0.95738132873608,-0.322245324225961,0.195324466482785,-0.826820393884777,-0.855818212567093,-0.65796019523248,-0.636017493744427,-0.662807361443589,-0.863961319443709,0.328307914405262,-0.461670728101122,-0.714686383897425
"HPJ99_Oss_3 (GE) - TPM",0.973680958760238,-0.322091249817691,-0.21400117391768,-0.392391571944424,-0.182042630843439,0.281368784998348,0.28242296412685,-0.316243132376601,-0.10772326016599,0.39123469438073,0.164766388606194,-1.11258540713375,-0.171895028023415,0.650032466816457,-0.271402019956593,-0.99491340274117,-0.573805940789887,-0.473467771966979,-0.550273055107447,-0.497636067200568,-0.0937324149131361,-0.342127492680525,-0.529526979702651,-0.697126165549784,-0.118589007290158,0.311810870580648,-0.912085451553527,-0.668106201757445,-0.888912080283052,0.429631645930386,-0.199827514556133,-0.791655378355838,1.11722921765266,-0.97715499509694,-0.622418978220691
"HPJ99_Oxs_1 (GE) - TPM",-0.0781842001214866,1.19737265310735,-0.033978202046156,0.42078740891903,0.529492059425801,1.0633326540045,0.929002855332151,0.718831505969266,1.09127926835166,-0.499904436135802,-0.506889657232623,1.38891987574424,0.457122089412169,0.325848028981605,0.378728471964291,-0.392946313141996,0.209729732752847,0.461089258799325,0.549642033677759,1.37529310363859,-0.460842569737569,0.586894695350049,1.46934367843257,-0.391838020776481,-0.145082388346084,0.491051353764033,1.70188119630336,1.44615043242359,-0.228600627582469,-0.54111968670935,-0.169360009800541,-0.848050974832436,-0.983385128571519,0.236061470557784,-0.190547145109991
"HPJ99_Oxs_2 (GE) - TPM",0.640016267164133,1.94111648732474,0.777463874150527,1.40791574122775,1.60853618392094,1.24574512316138,1.9925992980507,1.04247746608368,1.15057315946773,-0.622642278709792,0.0197119293390982,1.87994887284923,0.791631384715258,1.47839833291864,0.902581876640289,0.237481394517645,0.587488634256315,0.772196940577351,0.712160276730362,2.08877661849555,0.496872582189708,1.1838670371578,2.05302323212527,-0.250447232872981,-0.0393232271214677,0.904158687020137,1.56192408952148,2.74688496874903,0.481461410803112,-0.282230492321285,0.27831552255639,-0.213802424754106,0.110814254601292,1.14528062051677,0.15378302979944
"HPJ99_Oxs_3 (GE) - TPM",0.452708884741979,1.23180421323579,0.223192686820145,0.492810063578831,1.50689332564459,0.638762661594965,1.01304191673084,0.850419166397386,0.994073325033005,-0.703320438678103,-0.326401797195246,1.55917193597331,0.40804868453376,0.676884112843547,0.675909226927045,-1.01351797283784,0.304001704633342,0.762270404883527,0.786457116190464,1.28440441709229,-0.0276675130463765,0.555876889284403,2.41719359266708,-0.595689177665463,0.132385043883564,0.598991909868119,2.12665588342977,0.226505686169733,-0.265677533155964,-0.133364381198708,0.0616420672591267,-0.67008633583437,-0.608633433687859,0.312653577596865,0.210788809638004
"HPJ99_Sp_1 (GE) - TPM",0.750520143693538,0.573139394788366,1.12927415029609,0.95866705283016,0.639021917844187,0.97951862469729,0.813215224193539,0.567512495975333,0.197456896598349,-0.672180744819278,-0.631878692337692,-0.175835498229842,0.818513139346463,0.83513267092928,2.20218873267779,1.86023516813706,-0.0751509981957723,0.0739284015306419,0.287264183664787,-0.236963225880836,0.565387315388291,-0.129503168468145,0.469783591461866,-0.366859475182669,2.69173804809999,1.67025273140524,0.22845463479054,0.552182795673801,-0.929472509585631,1.58921099990648,2.00153126003241,0.481922067659722,0.98210448227864,-0.393314620091688,0.2133551144575
"HPJ99_Sp_2 (GE) - TPM",0.908212246343952,1.00120779720125,2.67416236758264,2.27497498062366,1.71821564569119,3.13620046262828,3.18165570196236,2.19058040268033,2.68446846415321,-0.970212406387921,-1.41707007422503,0.992739086101875,2.09992383358727,2.04560569863619,2.77977984967798,2.28520878137339,1.75209003228859,1.83166957411259,1.95655913414317,0.917492288768587,1.51438892933667,0.452071492200438,1.1191813960803,0.938765758912582,2.70463494267226,3.07247669810779,1.01684694619299,1.54813183041455,-1.25377925696116,3.24550695406107,3.01779211600148,1.22506324491075,1.59166512715066,-1.28346815437246,1.46820720369754
"HPJ99_Sp_3 (GE) - TPM",1.46381078780148,0.597512478883187,3.86445641952696,3.06444073833893,2.51353907880738,1.92791724064589,2.24515362002632,3.05146975492947,1.77069951180386,-0.87804610282288,-1.46581073534512,2.21557517487082,2.79805425656328,2.83911413818552,2.85901318437722,1.94577100711104,2.95087467371158,3.68546246258383,3.19563880849655,0.891053281085865,2.85748582950312,1.87507430042304,1.50780309991043,3.10993899148102,3.24966122056749,3.24705832741598,1.21363345686171,1.09098611306461,-1.02718308834493,2.81309519941991,3.27983759065533,2.71556467389217,1.75215893330366,-0.944117169007228,0.845418013555727
"HPJ99_Tm_1 (GE) - TPM",-0.762176916115759,0.271463211610443,0.108984009475258,0.555934346628157,1.00587731066843,0.449095098873056,0.315157992042659,-0.617765626265294,-0.866405195954805,-0.460039131072241,-0.0937272911899052,0.0726053156332699,-0.047448156750465,-0.0154544638279308,-0.680523677743905,0.102696770966279,-0.322429009842246,-0.419546755062324,-0.45739646040618,0.38088993890802,-0.738522288197907,-0.504366122168658,-0.44477151618369,0.0815071258804906,-0.593514866903332,-0.493302840338232,-0.365131460968082,0.224591775703195,-0.207198678062196,-0.699040590105606,-0.540318455892489,-0.55429424794339,-1.55828481110873,-0.163909435892086,-0.487702432171152
"HPJ99_Tm_2 (GE) - TPM",-0.703844999817411,0.294505492142246,-0.0486661074466958,-0.106036149677538,0.173388524862368,0.397943856309665,-0.00474228405366367,-0.741184572649764,-0.573162264122351,-0.421184374962768,0.23656265036145,-0.190843081161563,0.0588721074540286,0.194913902462988,-0.729352136237508,-1.21392067778512,-0.416904862374694,-0.412193816316832,-0.503427069452312,0.0195436983231882,-0.372353833202476,-0.228323676498669,-0.477620027062635,0.0664204807087868,-0.648895975275342,-0.69028247110503,-0.606829866101583,0.294621128817476,0.0700128703853258,-0.826890653898454,-0.754477253026169,-0.072654455658028,-1.05658106514267,0.752302499285591,-0.541948687608057
"HPJ99_Tm_3 (GE) - TPM",-1.17377575868313,0.346256569051156,-0.206415760889855,0.267258155677844,0.39577567733009,-0.0141182113185638,0.0216977632479315,-0.603275100905999,-0.502696635983962,-0.344740415890039,0.388977743334603,-0.289381411652874,0.111483995870549,-0.0261421853291928,-0.743679940294279,-1.03352209557431,-0.442404385916742,-0.440399707475182,-0.526684842765608,0.131706309891634,-0.906232802438897,-0.617675772984314,-0.500328802567467,-0.127329048707773,-0.653614297158808,-0.684714817962941,-0.606675294515031,-0.00448476869849012,0.491762322428541,-0.722478961831552,-0.537280372577422,-0.222252915124973,-0.985733404268455,0.267677085241872,-0.437186931643816
"HPJ99_Vic_1 (GE) - TPM",0.187456654210837,-0.931019765513867,-0.843873531935589,-1.23632055851465,-1.61756771767545,-1.32011108538224,-0.476738700708666,-0.766136781307925,-0.669946781320152,1.68725923430133,1.53607125042113,-0.367646034183429,-0.897563550497985,-0.786391748782131,-0.324034737987726,-0.0939996565341582,-0.43876259628661,-0.336904273931768,-0.487227036890332,-0.786108633321992,0.0884764622005292,-0.846396897010358,-0.570454641869998,-0.309015812353548,0.0662233409019296,0.0237204908732355,-0.776524923230523,-0.272330716306204,1.29180788870139,0.50838049520913,-0.228639151772936,-0.433546586677337,0.364514043662204,1.9845613131998,-0.538031437257827
"HPJ99_Vic_2 (GE) - TPM",-0.960901473740992,-1.44202534928642,-1.30176106689051,-1.76980645439607,-1.63947947809341,-1.31826478292445,-0.809932993136195,-0.959256108468079,-1.00463011937509,1.55846135653055,0.736950197672963,-1.10288675642806,-1.1129973288164,-1.30075316241591,-0.39385401402712,-0.166115187445501,-0.639087085143695,-0.59621003931391,-0.664642180173477,-0.945626045667403,-0.70258922077808,-1.22216867587635,-0.877870209048662,-0.948648458965846,-0.386035529640781,-0.476491934041919,-0.841288360595289,-0.715555608985574,0.714074206810655,-0.765141875151055,-0.690763277141262,-1.16134909910587,-1.02216152359736,0.494632392217968,-0.896556815545463
"HPJ99_Vic_3 (GE) - TPM",-0.361405992749927,-0.896264374396947,-0.963509575254482,-1.28570522040447,-1.11902924095573,-1.10003225856196,-1.02058612600374,-0.838881235054028,-0.642300715018909,1.38323746656487,1.66553889930996,-0.749711667398968,-0.903745521493859,-1.13701044630863,-0.206132058175762,-0.932620950555484,-0.443826390320522,-0.490759366015292,-0.596795312711585,-0.85062597144538,0.112064392847182,-1.68062105519886,-0.81778091416564,-0.513211541876626,-0.15846604479426,-0.293079662516155,-0.893441570223746,-0.837321317553666,1.71017889505566,0.187148403425413,-0.194161879362925,-0.568466637090844,-0.297209241912029,0.831416091039728,-0.673988847287163
