"","JHP_RS00500","JHP_RS00955","JHP_RS01495","JHP_RS01500","JHP_RS01505","JHP_RS01510","JHP_RS01515","JHP_RS01550","JHP_RS01555","JHP_RS02090","JHP_RS02115","JHP_RS02710","JHP_RS02810","JHP_RS02815","JHP_RS03240","JHP_RS03245","JHP_RS03285","JHP_RS03290","JHP_RS03295","JHP_RS03305","JHP_RS03720","JHP_RS04170","JHP_RS04175","JHP_RS04195","JHP_RS05700","JHP_RS05705","JHP_RS05800","JHP_RS06090","JHP_RS06315","JHP_RS06325","JHP_RS06330","JHP_RS06510","JHP_RS07095","JHP_RS07275","JHP_RS07500"
"HPJ99_As_1 (GE) - TPM",-0.137105530057718,-0.197012089445481,-0.192860578542479,-0.00547189719460428,0.0039969464161414,0.369205933216651,-0.284244225836821,-0.482153597603553,-0.253963182886529,-0.270731713601511,1.48352790085832,-0.789514377111024,0.217105003170073,-0.088246249283348,-0.344837605963069,-0.171131679737514,-0.559650434069379,-0.514538169317956,-0.61054469536051,-0.761844573520306,0.0763756553666598,0.114884237767426,-0.568257829170176,0.0327892401854782,-0.246480984360247,-0.252960895126879,-0.951101646017526,-0.396950771885116,0.496976877670323,-0.429112244982076,-0.376509796152188,0.136375788189739,0.604520952089053,0.39270801586733,-0.495744635810142
"HPJ99_As_2 (GE) - TPM",-0.808486810326961,-0.104044547192912,-0.404723754530134,-0.307040299466177,-0.320917951234735,-0.455542302684806,0.0889649215712759,-0.619283693895709,-0.402611389447471,-0.662937509487958,1.16146617897553,-0.784365512485863,0.0503643214509445,-0.0203286733467622,-0.725263779242,-0.0109669932357706,-0.444791932487075,-0.532207983112054,-0.617229968356335,-0.412503287903589,-0.615105135811734,-0.771118513499247,-0.482795130574979,-0.170168977311311,-0.273855903457249,-0.362645626996641,-0.899083591567169,-0.388763735581191,0.754435982620644,-0.462599943901643,-0.256720749023842,-0.0752359320930634,-0.587686931628883,1.23606513976519,-0.419509610389259
"HPJ99_As_3 (GE) - TPM",-1.6217177614383,-0.587921533307702,-0.579691355921418,-0.400244215547976,-0.573119982795946,-0.595135224967264,-0.47222536405628,-0.76968319033333,-0.585687057619133,-0.453071555978041,0.95381238217481,-1.10077042871926,-0.27541668900753,-0.233924462542299,-0.825500383091611,-0.55764365414507,-0.625778465891898,-0.619239493845663,-0.737655828645576,-0.596988990133448,-0.958322260718973,-0.529385365789086,-0.693951465932777,-0.673646499889689,-0.607968026700988,-0.540645749365314,-0.9319923084508,-0.579332900499134,-0.0503980111936964,-0.209076182584181,-0.646895888512937,-0.334086035963094,-0.528916439313306,-0.312402505612594,-0.700997085000819
"HPJ99_Ctrl_1 (GE) - TPM",-1.03133192405858,-0.16112577852654,-0.353963624402708,-0.271878195211431,-0.211309922638407,0.173730195701099,0.32323160790342,-0.869508982772423,-0.802304723209094,-0.312811694275971,-0.0395922593882911,-0.102999895784135,-0.474354688787052,-0.605939275180076,-0.820914623828026,0.709444727601036,-0.519389239879598,-0.581963229186145,-0.628326010826436,-0.310814701134099,-0.94542277599902,-0.539151709254278,-0.671623376670631,-0.361743674402228,-0.923488898504522,-1.05873660047165,-0.535710708885519,-0.0856343715393475,-0.180871241346428,-0.843636837014918,-0.700670083241338,-0.797038856635657,-1.79777343620378,0.0462746426877097,-0.462818153599325
"HPJ99_Ctrl_2 (GE) - TPM",-0.0733478198257972,0.429488397686102,0.105591397739844,0.114522836439555,0.968029339203155,0.204761645933057,0.343462738123197,-0.578044403986362,-0.543037836516606,-0.0428897413824334,0.420037958336849,0.120138235174956,0.299878292910303,0.303702835744263,-0.693256250423504,-0.376068356570361,-0.479436551647392,-0.515652709433408,-0.541335982781042,0.158059742868698,0.0614695067218079,0.0170195647324584,-0.529670233363865,-0.164890309043628,-0.75148232763803,-0.66089618005817,-0.625545993928113,0.869864691960202,0.24518576017371,-0.928230507926575,-0.555845950179034,-0.561038962954251,-0.58306786031807,0.69986286051874,-0.385564343801721
"HPJ99_Ctrl_3 (GE) - TPM",-0.672881637220636,-0.22432268451447,-0.353329344488851,-0.374585200601092,-0.0698700322822916,-0.0137289955783916,-0.308545209951766,-0.667260311297581,-0.42179534275475,-0.368476413301656,0.200473068026256,-0.417609198834599,-0.286723265411946,0.165406191124554,-0.71489092162843,-0.0248400187156062,-0.495687479635622,-0.494276458227635,-0.583690889346296,-0.27598576280769,-0.925256359227184,-0.517366392319714,-0.730433296685333,-0.394723515133116,-0.764922035292801,-0.845830835772579,-0.713549290703693,-0.0366719280648926,0.00145482914982405,-0.58127420566614,-0.445693454434108,-0.930766606081957,-1.27882206017253,0.605754090213521,-0.56214191446567
"HPJ99_Li_1 (GE) - TPM",-0.490534946469508,-0.709100487675496,-0.706701498096922,-0.581087506493767,-0.562532260772312,-0.73557730897993,-1.07591917463876,-0.323495214156943,-0.302289812897182,1.2859563820029,1.12851261224548,0.818886967879796,-1.37619449362732,-1.46328239010488,-0.7411316376607,-0.948144978358679,-0.601507280465198,-0.479446563306701,-0.317422734986452,-0.668564755358754,0.482397545999804,0.63700482809014,-0.885892166062475,0.0260740154284652,-0.783179324655034,-0.971678754691419,-0.188124022697105,-0.503767014275296,-0.247127564932355,-0.596297262055811,-0.239056736602407,-0.769964548105724,0.0855655442420312,0.674929597984182,-0.57820344785438
"HPJ99_Li_2 (GE) - TPM",-0.827712778916567,-1.10118401331263,-0.741194828083515,-0.519708883837538,-0.499846933693265,-0.738163813863321,-1.06480418768561,-0.441485022865059,-0.46907210473516,1.65458975379349,0.802346958217347,0.38458827407267,-1.48791394965863,-1.58113530758962,-0.901168278868458,-0.782680829465921,-0.610964085179952,-0.555500559961731,-0.473034817417939,-0.703166597932604,0.543023356225872,0.0962339542150809,-0.775582047182516,-0.525570928280755,-0.765725990806595,-0.950634529342251,0.0262148919126005,-1.31279028069008,-0.575497941138182,-0.416793169173155,-0.552830256706015,-0.661741886975047,-0.838922883492882,0.578153049877931,-0.488048670136885
"HPJ99_Li_3 (GE) - TPM",0.0195591636657247,-1.00116114716138,-0.627429662633466,-0.41043626097862,-0.225424965950527,-0.326764214154286,-0.646848796934429,-0.373936536347867,-0.247156969914783,1.8093485848153,0.432454816670675,0.441339977044728,-1.30464213439196,-1.39625030572863,-0.751168059433894,-0.888603393810179,-0.540441657396744,-0.445198430496179,-0.361587307891415,-0.535955487889229,0.913283158151983,0.238243400989007,-0.72396555352128,-0.445862710960226,-0.528548695395598,-0.966592486291453,0.0142969143946824,-0.712444115428182,-0.151454789334927,-0.356613885000872,-0.332110630260004,-0.639987861701156,-0.0144945564796425,0.645366925968478,-0.559631970820074
"HPJ99_Mig_1 (GE) - TPM",-0.56931625946224,-0.11242756293499,0.365742630536556,-0.389668946381357,-1.03843083683654,-1.01531770506217,-1.24605656131546,-0.469988282395056,-0.977956817380645,-0.891305339501991,-0.670289559873849,-0.723682715116544,-0.186082722930231,0.200049232043874,-0.602953184871442,-1.4581592792537,-0.350331878303026,-0.475568086407743,-0.457970851936737,-0.910951122925754,0.612695473619874,0.347103081872826,-0.671221165331563,0.800100245035377,-0.372399917418908,-0.426014166355537,-0.533852848220569,-0.180379297093088,0.345319029060788,-0.069715182878838,-0.781601302110406,0.277636549038743,-0.940991391530614,-0.0985101156276412,-0.278866033457438
