"","OG1RF_RS00425","OG1RF_RS01685","OG1RF_RS01690","OG1RF_RS01905","OG1RF_RS02060","OG1RF_RS02140","OG1RF_RS02145","OG1RF_RS02560","OG1RF_RS02670","OG1RF_RS02770","OG1RF_RS02775","OG1RF_RS03125","OG1RF_RS03725","OG1RF_RS05310","OG1RF_RS05580","OG1RF_RS05585","OG1RF_RS05915","OG1RF_RS06035","OG1RF_RS06760","OG1RF_RS08005","OG1RF_RS10085","OG1RF_RS10090","OG1RF_RS10095","OG1RF_RS10725","OG1RF_RS10730","OG1RF_RS11255","OG1RF_RS11260","OG1RF_RS11290","OG1RF_RS12645","OG1RF_RS12650","OG1RF_RS12655","OG1RF_RS12880"
"ENTFA_As_1 (GE) - TPM",0.647062050068973,0.209851615830665,-0.260804288867392,-0.0971190623052258,1.03496936498991,0.251848407647578,0.371471798654737,0.252590772011945,-0.089984566901433,-0.279173246214187,-0.262477953461615,0.866104007491587,0.443533900843545,-0.256305386556379,-0.828779878985563,-0.803666872977771,-0.677486164852607,0.164709503530967,-0.427826426159237,-0.170890217598633,-0.336482463747231,-0.298757592013556,-0.275769704686698,0.877861471069375,0.11773566930722,0.424584824379486,1.01608402653645,0.507367026140967,1.13611512393614,1.02330565619445,1.51384685557732,0.238356290019372
"ENTFA_As_2 (GE) - TPM",0.634608665200333,0.504965282679048,-0.247104999386242,-0.228782709214433,0.115413776666325,-0.184419094395547,0.293998907296783,-0.00386017891656952,-0.0307751708971677,-0.296901227309441,-0.248655088449753,0.832019546563303,0.361546112526594,-0.256305386556379,-0.842504330204109,-0.875420183482824,-0.635534026323744,-0.154702448252654,-0.519799479065023,-0.616318919584064,-0.430648424700509,-0.25742253651235,-0.312936113084384,1.25817235477091,0.419459971899574,0.694018306146076,0.913693795879128,0.268559752438109,0.66407316535732,0.524310850942542,0.302305339588236,0.0999696352555446
"ENTFA_As_3 (GE) - TPM",0.883422845016334,-0.177419387022941,-0.273652802286455,-0.304897942666539,0.020366797784619,-0.0863042833694554,0.309626642845755,0.0625866651276956,-0.0759420787244078,-0.290768114228168,-0.3005582628413,0.318443664777434,0.478729760286049,-0.256305386556379,-0.851826627895098,-0.92046577696955,-0.63868989226378,-0.171157828643997,-0.512618837373789,-0.383140022609506,-0.410204903368617,-0.306072053821706,-0.296925855832576,0.672776027421751,0.0333960277265072,0.350689330094906,1.10583291049322,0.570571402699775,1.28446814222043,1.73671997207892,1.43792505916579,0.32145880467568
"ENTFA_Bs_1 (GE) - TPM",1.90558050307195,1.2325985538017,2.40237450389775,2.13365411806665,2.37183731689905,1.40377567946298,2.64728249669607,1.59039045764035,1.74692491921651,2.94288183875223,1.91653632100579,1.88051005215374,1.73406409067344,-0.256305386556379,1.16322490449711,0.64841099430232,1.51599865368075,1.79002265437873,1.69078706176935,1.94248610395973,0.754245246796947,1.60715068215455,1.78698887222653,1.50485388496175,1.68322543542244,1.19690891523994,2.37185284947639,1.04758043512565,3.43709952316594,3.27076715797806,2.55841128054701,1.17593883258668
"ENTFA_Bs_2 (GE) - TPM",2.11378534073464,4.16949855649852,4.18613789177488,2.97727721026404,2.15552868979892,3.75494613005396,2.88536890627527,3.52261193018749,3.41324964909259,3.7065176636147,4.52897532273434,3.10806258063505,2.29935528595512,5.468454737289,3.48088009807476,4.0346815657265,3.43466175969661,1.8439855047115,4.07887505514749,3.16626951971615,4.4491902457155,4.81514572023328,4.51812954723208,2.98876910428399,3.65550407697575,3.15232080361626,2.57901258895231,2.27148960035492,2.35372624680944,1.98406817333911,1.13599399410877,3.44060487346004
"ENTFA_Bs_3 (GE) - TPM",1.43131046295639,1.64192831609721,2.94476922147269,2.4802315846295,2.32016979995982,1.8854821442545,1.91031578904121,2.04448951933885,2.22648075357351,3.11399023651172,2.85069358791712,1.94290736900852,0.710889102913638,0.590334140452198,1.77093657712978,1.45767464077047,2.26648660066732,2.73634028510397,2.086426350866,1.78493825755956,1.43197210741076,2.50039881471731,2.93889731589881,1.05443904880053,1.78556380278522,1.60623437561136,1.79003105284484,0.455263983858486,2.39130078740772,2.37746579145009,2.88562960171872,1.0823665589226
"ENTFA_Ctrl_1 (GE) - TPM",-0.537242420515759,-0.354277178713688,-0.270545543106138,-0.121074026878717,-0.564505940515555,-0.483084628257854,-0.781772957588213,-0.782367197416544,-0.417857803051334,-0.294064999695537,-0.306007767892593,-0.0881130647960311,-0.250964569293532,-0.256305386556379,-0.80174283062012,-1.01462676052343,-0.761150342293478,-0.964028776248733,-0.657606312062466,-0.416965780651545,-0.342965055507653,-0.364486961267609,-0.24019655377753,-0.325233796639355,-0.525390674415419,-0.120419904904043,-0.601653961638742,-0.78112811028349,-0.344854992404124,-0.0168056814882232,-0.186926978420511,-1.25363664328486
"ENTFA_Ctrl_2 (GE) - TPM",-0.737690567005138,-0.2456939598498,-0.348721626585327,-0.176640411572101,-0.230937321075832,-0.222952570189871,-0.393003956491596,-0.778829480694058,-0.33571377564492,-0.323100928646215,-0.32269323199189,-0.479585772373538,-0.646338545118663,-0.256305386556379,-0.285775096179509,-0.490134793538383,-0.846283518341762,-0.93087424422511,-0.0675319460812919,-0.582368628650167,-0.551293853261562,-0.255147563078243,-0.143900537245575,-0.684429916680193,-0.260076532197943,1.2117472167567,-0.47421161872928,-0.763135026685261,-0.523838807499116,-0.800506330959762,-0.779630006164094,-0.758089240819391
"ENTFA_Ctrl_3 (GE) - TPM",-0.782511102871131,-0.45295397713558,-0.298072176035009,-0.0821662251923263,-0.401338002801992,-0.393038455233786,-0.597680973779093,-0.906346132428734,-0.337139275490212,-0.292853145661415,-0.314579619531489,-0.19286861366216,-0.419028624130327,-0.256305386556379,-0.154805806499559,-0.417739419089202,-0.867255468348168,-0.667408711039912,0.419949031123934,-0.561191815611375,-0.275378278877643,-0.275838725108243,-0.304425374648995,-0.832436966428301,-0.282591417273622,0.680564250252253,-0.561467341243946,-0.667650191607206,-0.563562441026457,-0.657932365886794,-0.905097305422748,-0.720280693633096
"ENTFA_Li_1 (GE) - TPM",0.122510095572594,-0.388580042374231,-0.359033361045892,-0.416605308127149,0.0682590478559768,-0.300363662328086,-0.685872509095044,-0.305465314341788,-0.0196351443389029,-0.271786445340276,-0.368262476085035,0.51933793353913,-0.309283322772135,-0.256305386556379,-0.77490854963466,-0.649411962527104,-0.868674034210083,0.0328313720046224,-0.823422493023483,0.0577275450861161,0.0299223324788587,-0.171500989767814,-0.258126402315239,0.142985804443795,-0.696939981951088,0.162664395113857,-0.64968350899548,-0.278151223792295,-0.247191548164526,0.350521692510389,0.435932116108302,-1.41964381487569
