"","SL1344_RS24700","SL1344_RS24730","SL1344_RS23750","SL1344_RS00460","SL1344_RS00920","SL1344_RS00925","SL1344_RS00975","SL1344_RS00980","SL1344_RS01115","SL1344_RS01125","SL1344_RS01160","SL1344_RS01225","SL1344_RS01615","SL1344_RS02165","SL1344_RS02475","SL1344_RS02705","SL1344_RS03090","SL1344_RS03260","SL1344_RS03760","SL1344_RS04495","SL1344_RS04805","SL1344_RS04820","SL1344_RS05885","SL1344_RS06015","SL1344_RS06430","SL1344_RS08905","SL1344_RS25385","SL1344_RS09345","SL1344_RS09905","SL1344_RS09965","SL1344_RS10145","SL1344_RS10675","SL1344_RS11070","SL1344_RS11420","SL1344_RS12145","SL1344_RS12150","SL1344_RS12220","SL1344_RS12230","SL1344_RS12745","SL1344_RS12975","SL1344_RS25665","SL1344_RS12995","SL1344_RS13145","SL1344_RS13205","SL1344_RS13215","SL1344_RS13280","SL1344_RS14595","SL1344_RS14950","SL1344_RS15155","SL1344_RS15835","SL1344_RS16105","SL1344_RS16455","SL1344_RS25940","SL1344_RS16825","SL1344_RS17055","SL1344_RS17085","SL1344_RS18790","SL1344_RS19040","SL1344_RS19285","SL1344_RS19620","SL1344_RS19750","SL1344_RS19915","SL1344_RS20095","SL1344_RS20380","SL1344_RS20815","SL1344_RS20860","SL1344_RS21150","SL1344_RS21800","SL1344_RS22195","SL1344_RS22430","SL1344_RS22665","SL1344_RS23390","SL1344_RS23490"
"SALMT_As_1 (GE) - TPM",-0.826940320468631,0.381851009218221,-0.126695725117074,0.554169316455155,0.454198297710278,-0.370067352856248,0.38439189975629,0.254716592592982,0.569111537516295,0.802519894401438,0.551629303811406,0.819028563081261,0.272610419102117,-0.0589796933982563,-0.089115058325334,0.191589885153071,-0.119370521168975,-0.465440371135038,0.00415603813984466,0.241457391661405,0.378835715559069,1.16479773580405,0.819440597823613,0.41140053446335,-0.426488866428754,1.13310362102194,0.254782378514041,-0.0384395932806513,0.256468620858953,0.725414076783534,1.17141085018278,-0.750375013840529,-0.839732228292299,-0.388975571946861,-0.186044304641323,-0.326860342509287,-0.0559594154058166,-0.0900874661052328,-0.23491876093798,0.559030576240948,-0.214178638975391,-0.216368441281741,0.0157979481281613,-0.252028900316215,0.838104454838279,-0.470509887022143,-0.681469156935023,0.397909559307315,-0.235371611906386,-0.156696028546039,-0.290486238592018,0.594160875313192,-0.0917062105837793,0.162095075471221,0.963586882268395,0.209971315688172,0.0204690947281694,0.375160663760974,0.261859294280667,0.0654067627914682,0.948960389922454,0.0643890557242615,-0.396962307205988,1.06026627784869,0.503642528543688,0.337499501780619,0.73598782458759,0.1137960224837,-0.36407543262164,0.186157459611496,0.163084152401688,0.293945476177993,0.0172375968317556
"SALMT_As_2 (GE) - TPM",-0.803113448134493,0.301931963845775,-0.509051974323469,0.512282383094405,0.45014610777031,-0.647617835848769,0.0233066317724258,0.0338651970587122,0.704475946827039,0.573099903467487,0.227726094629202,0.700006909854964,1.19867136276717,-0.203565226498968,-0.254977619277686,0.497418194961158,-0.135732376642738,-0.479826484473559,-0.290507907831045,0.216580099845424,1.40051506682173,1.08402687820778,0.97588874236978,0.448202360252341,-0.00921747801208002,0.772179636645577,-0.0119108645168675,0.867612837647789,0.331731788398331,0.34136350343956,0.656214699864902,-1.18636163131044,-0.921583405927592,0.0927775779507889,-0.563389902436881,-0.883463100826022,0.796880116899747,0.196140612715057,0.156207397549889,0.826062496200436,-0.277811828560268,-0.551018663422389,0.142230649365408,-0.382309302165544,1.12163900180927,-0.816534553630689,-0.736982055506544,0.319877855506822,-0.505149916279374,-0.144928279550387,-0.0174990386024785,0.580787468098391,0.0755703413859082,-0.261536752104542,0.861453330548026,0.172386604972602,0.247798822446703,1.41065947092077,0.286199866191557,0.492211376800924,0.0880453247957582,0.0946009373293627,-0.451149185123001,0.133129579157357,0.712318933005074,0.505645159323856,1.04095898462069,-0.034745445166312,-0.635169903797765,0.556550848513465,-0.0169208746925981,-0.326947355472507,-0.283590394314095
"SALMT_As_3 (GE) - TPM",-0.824877120934387,0.256624856120577,-0.304269608624938,-0.0596731002657027,0.382302804260039,-0.362792676495316,0.27494420799179,0.134795602476285,0.336884113058092,0.397942328183328,0.145058809529285,0.572955158934067,0.294471895823214,-0.340181272763356,-0.489505867378267,0.223183852167522,0.480959628765859,-0.107212293847299,-0.290507907831045,0.63410711363428,0.386931413037478,1.20982126847273,0.716104650027371,0.557144888319748,-0.353256123726548,0.869653448517981,-0.190368699061823,1.03172701284061,0.284628956796589,1.10518765395897,0.0534420812613351,-0.367375357898609,-0.92844533878603,-0.320156943706483,-0.396183157484682,0.107816878196591,0.124411050411998,-0.12109279502807,0.0927495383258546,0.636262913339497,-0.221010720812032,-0.873382506647423,0.0681122251674809,-0.77763324774435,0.809218386017128,-0.297627644043675,-0.905752884124238,0.339297196135716,-0.279583824759402,0.25813744262706,0.453866694378052,0.496730363861913,0.31278157670325,1.2207754486156,0.559578373126244,0.100789282158831,0.347628908251006,1.09244219200759,0.27473747886639,0.148967786374108,0.652642424005,-0.259306245860688,-0.271119422039367,0.967628668110341,0.986403540112213,0.216700346800979,0.822815950427403,-0.00641301421516173,0.116641683161259,-0.475172609607751,0.10668287760324,0.44816953837246,-0.159948925181539
"SALMT_Bs_1 (GE) - TPM",-0.0597188700328915,0.970208465865167,0.143386607821477,0.359557255413606,0.699444064311578,0.563330049364062,-0.460336616157193,-0.375026328385132,0.720315399390766,0.428602218488407,0.75155941316885,-0.070854621778442,0.477259408691973,0.729280674354805,0.450840288815391,0.335416016226472,0.2594087397835,0.314273937606833,-0.109498584829333,0.0445047403327868,0.306059856909085,0.0984789925782936,0.406377241768442,-0.0705885034416911,0.492736973778166,-0.0365060636173463,0.296644379458697,-0.523128428567809,0.632432017359054,0.0410119517183185,-0.305350843608877,0.425583324708547,1.19456243403232,0.450635548330192,1.21379315022518,0.175803542817593,0.215775735067841,0.149876770855979,0.00251967842635741,0.0334046031454514,-0.0552201132895267,1.04336684815813,-0.363714012202223,1.32159951043779,0.249820894159416,-0.187712000616346,0.24907525084029,0.265401208866492,0.0718507420717549,0.229443111473391,0.252415212126754,0.979188710481371,-0.354333911029514,-0.0896721779864715,0.294547970097438,0.177545249554566,0.200817430653365,-0.0617134888827375,0.206448989619076,1.43751660485463,0.145789920715243,1.2861247996717,-0.308506095282714,-0.375692450838261,-0.346735186948893,0.849876788094503,0.778939391500814,0.211630500596327,0.277480697296268,0.684821529432531,0.410567633766076,0.670492322724805,0.238951117714024
"SALMT_Bs_2 (GE) - TPM",-0.280524212258073,0.665149814508002,-0.509051974323469,0.489467014895073,0.500963600124207,0.0642749698801357,-0.469544224399708,-0.183956252408606,0.591248173328312,0.187590920758011,1.07713801305523,0.0924823808628393,0.330870283312097,0.518715876999285,0.588337544089025,1.01292847375928,-0.0288111050381044,0.557937129669425,-0.0729114063657227,0.263844663138786,0.0973918026364416,-0.0864924999796701,0.500622033436727,0.0741053332370238,1.22208546269517,-0.051594952967613,-0.586798560621689,-0.138031440562181,0.78442453103764,-0.54387543643473,-0.49847461455418,-0.0434672503137722,0.797948482212265,0.909220008396672,0.917330970243669,0.220890401870004,0.155484203517074,0.100879156409403,0.395689438609729,0.774930419777098,-0.277811828560268,0.926554255626945,-0.00380438533943492,1.39353807741194,-0.188210670028459,-0.752653513954496,-0.185234274723118,0.499493382551065,0.294367139939325,0.221916085038955,0.474111839848783,0.627896612788142,-0.208785514480955,-0.0438163953580888,0.0384026879310826,0.275938667019018,0.811353932862418,0.0666288758597835,0.277848446250351,0.418884249904825,-0.0426653553129022,1.08720968122864,-0.276802079891975,-0.329498905676471,-0.166968323621901,0.263481890372405,0.579900529085108,0.273163391464738,0.372412575879194,1.21880541974911,0.602236410650192,0.577477038391901,-0.104236896483926
"SALMT_Bs_3 (GE) - TPM",0.0574193672123794,0.686638412476112,0.17430077256336,0.407673529284506,0.572819091518126,0.146770657037604,-0.31216287918988,-0.212913760713527,0.713814664548476,0.221161365442101,0.547898587557434,0.00928729005424702,0.00618004866659215,0.193469292602686,0.186961667174226,0.350623470521998,0.242053876613679,-0.220281797741704,-0.290507907831045,-0.0223170648897503,0.524528610069136,0.0790829139090669,0.17088051328327,-0.188804278847652,0.33941295981663,-0.322339715092477,-0.208984080905868,-0.558006022676623,0.653144546820599,-0.595869784880299,-0.28274497761685,-0.282328791238649,0.574783913005852,0.0141482110548562,0.0625405020963791,-0.288501929534068,-0.313088822307944,0.0986353896759661,-0.142073113878381,-0.215361695374675,-0.147839053568032,0.425068806740981,-0.0610636967261656,0.526422013423488,-0.217474491470913,0.349629638860607,-0.0319699267105089,0.0494282435618224,0.327603370783059,-0.341995838763796,0.176730832728385,0.0845402312616223,-0.413045202531216,-0.53187987319329,0.376931182225862,-0.144893855766307,-0.0807092279702601,-0.336151068289328,0.0293918080166813,0.64131767244103,0.348427215929396,0.627090507618634,-0.340512455493985,0.25969186349486,-0.0887690253582451,1.10244039245701,0.160656267093609,0.0520779508309675,-0.420207997276134,1.14805447921994,0.446971176293773,1.28747984488184,-0.211113694001992
"SALMT_Ctrl_1 (GE) - TPM",-0.782204245383499,0.51651731404221,0.648716538416532,0.715751173340961,1.28075458099416,0.791588595965579,-0.323608942967043,0.0876358009649509,0.613992681443342,0.545358581075043,0.757415152652169,-0.0351143799364654,-0.296701562897383,0.30383200308483,0.543758499643412,-0.260171161684349,0.284586490252127,0.132512597535967,0.185352168572984,0.0763675266753116,0.804019862036677,0.360096889625032,0.96019810822283,-0.0960090082100602,0.728982056310196,0.038584879155454,0.35069979824903,-0.527009634721288,-0.118458441772584,-0.299720130810972,-0.839941552107184,-0.41036459157017,0.088951070898175,0.704770608140327,0.931134601971524,-0.838931973153609,0.175157641521921,0.26183469619398,-0.170681151487432,0.378920507268178,-0.277811828560268,0.374558244843919,-0.288819474600093,0.696744104471109,-0.106831783900671,0.44077393177919,1.03875802893573,0.181953841931487,0.526970948355757,-0.196456100801284,0.653556572158383,0.826805771126725,-0.286694360574574,-0.216133500065863,-0.154695526126061,0.281582395880272,-0.609436382330139,-0.218878797123468,0.363642357015646,0.567836531079866,-0.163386920900258,0.75483583255129,-0.304925781773533,0.512461279720771,-0.521635067172495,0.38689569246552,0.280593338233424,-0.166080138770968,-0.0676226474599829,0.858000966361243,0.701656319666683,1.39130977699857,0.196794825701497
"SALMT_Ctrl_2 (GE) - TPM",-0.597500536491082,0.56825943879125,0.810962913896601,0.469626559283257,1.01982470186034,1.36022361272951,-0.160688529293124,-0.390746474609796,0.461953008408505,1.25076807561316,0.977960966048939,-0.000269247055119882,0.700671830469266,-0.0944463605141086,0.850332248108761,-0.23758657513967,0.43323973367211,0.188619924099947,0.197783266841108,0.116651371981156,0.550537697016886,0.62551346030713,0.604113032073819,-0.0585075406674569,0.183988316699909,0.186557383665253,0.266814175340226,-0.519947057297955,-0.48839275016871,-0.551129929476096,-0.739371230217005,-0.369315173882572,0.682716527376625,0.31955802220876,0.461759159046205,-0.721322022057265,-0.0810560435860912,-0.0700243027169651,-0.130395129670369,0.108995771583351,-0.277811828560268,0.306615599160369,-0.19924870366745,0.474450516625972,-0.0190781541976878,-0.0997824993324389,0.740808347521458,0.185409816734444,0.540566817523503,0.0263523318697985,1.04483118233256,1.01303848638387,-0.117641405262095,-0.497897845205423,0.459666744368775,0.112621045816701,-0.490502811860979,-0.151789839208981,0.287600807455464,0.776938281675612,-0.0885417589675085,0.995718737325037,-0.106937111493485,0.0206632779552042,0.402037860322348,1.33457095492602,0.0407857130021485,-0.0504535311959211,0.0411009655912686,0.904073888880603,0.854058130848657,0.565639408834075,-0.165131392035806
"SALMT_Ctrl_3 (GE) - TPM",-0.0634385974854519,0.209770939958454,-0.509051974323469,0.354195447289834,1.23217561356367,1.40572419113346,-0.489211266827341,1.05083958872264,-0.0498043013965903,1.54359260730841,0.578059481304174,-0.191740467683754,0.293201694841728,-0.076913752983331,0.426745193957743,0.360346016233738,-0.960338600023639,0.102092735807258,-0.290507907831045,-0.321186430861205,-0.180793849950145,-0.447367199339669,0.11400644922313,0.380234438485863,0.954017617139039,-0.543538174904386,-0.898332027410438,-0.100528220187706,1.54323656168621,-0.57947161714391,0.246953347562332,-0.237806696439621,-0.0841772821945115,0.319202529426323,0.646362929933965,0.609240011837938,0.156227355666514,-0.06519399122414,-0.0456929558215427,0.744076147319611,-0.277811828560268,-0.1385179599892,-0.617640286404017,0.498286409749053,0.0650987530371881,-0.384440910502578,0.215549099956863,-0.487773738029945,0.336617320945233,-0.700320909840306,0.309877101807258,0.484545108345835,-0.37060647421207,-0.410685217196217,0.031432282336652,0.151770818997474,-0.10181241400284,1.01041893370477,0.137811961029255,0.773059657911857,-0.0824533049947608,0.592725754866418,-0.0896450204577677,1.07529942964816,-0.703309016349601,0.461308383127983,0.393762720286791,0.386768813543029,-0.175162964514552,1.27361255196812,0.831620009827262,-0.816227579669636,0.19657329366028
"SALMT_Li_1 (GE) - TPM",0.346697902726543,0.177047328830383,-0.509051974323469,-0.508710918135472,-0.330235164316437,0.323979073329109,1.85973879135816,2.04394459841547,0.15959921333358,0.16566560021763,-0.0863678045775094,0.870919724301337,-0.183727527732712,-0.0181547107800032,-0.170431471848448,0.603521650167281,-0.486578612542821,-0.123806829215753,-0.290507907831045,-0.181787827962841,0.293310212543386,-0.0440328004662827,0.576295914587368,0.376483331425337,1.24657175588308,-0.425202250440839,0.646467131064537,1.87476429020549,1.1480986235981,-0.680398277850059,0.131394146288858,1.10848833447149,0.66297573693775,1.43270400416519,0.642938705619414,0.586080530868341,-0.482435645181482,0.56763985018991,1.2683332118193,0.712506544715744,-0.277811828560268,1.31301648292107,0.706636867123159,1.0606786229765,0.142512780486795,0.742931455866898,0.988914964543614,-0.161535473423509,0.498981090633138,-0.498765100768755,0.470679451836084,-0.592566053390595,-0.388645554081888,-0.92509903583864,-0.178491374950629,0.327119834694411,0.618412419003472,0.391803359558137,0.377131822650566,-0.432112367737281,0.337428651528459,0.0193349864463794,0.303622029309377,-0.607488239351122,0.284766804710572,0.762851757842791,-0.578254724472466,0.312765626233212,1.40949611883974,0.77986287869333,1.72531273365855,0.21747074594223,0.439558142882614
