"","CJJ81176_RS08745","CJJ81176_RS00225","CJJ81176_RS00875","CJJ81176_RS01755","CJJ81176_RS01760","CJJ81176_RS01765","CJJ81176_RS02010","CJJ81176_RS02030","CJJ81176_RS02590","CJJ81176_RS02605","CJJ81176_RS02720","CJJ81176_RS03845","CJJ81176_RS04140","CJJ81176_RS04165","CJJ81176_RS05170","CJJ81176_RS05175","CJJ81176_RS05630","CJJ81176_RS05650","CJJ81176_RS08110","CJJ81176_RS08595"
"Campy_As_1 (GE) - TPM",0.236112490991562,-0.258584677514702,0.511616262999474,-0.397640885222927,-0.315859732681707,-0.408924035754771,1.23495708704113,-0.553036884775627,-0.423347240828458,1.35886909109322,-0.301249654487062,-0.631301851957137,-0.575396970773112,-0.215059483928501,-0.303425722182936,-0.72316781668306,-0.706664092444117,0.0730775371932725,-0.594333288865424,-0.734865397413389
"Campy_As_2 (GE) - TPM",0.464251532657044,-0.559740304617152,-0.793461841081976,-0.289943075425209,-0.324521921849986,-0.313949373260538,0.194864545122195,-0.0389084188810398,0.342721595124101,1.34058780904805,-0.309239912163921,-0.917792407892717,-0.593151223332704,0.104218445171078,-0.515605654666057,0.126358938196455,-0.549871049608661,-0.0991838560102856,-0.841319753877624,0.518345354274254
"Campy_As_3 (GE) - TPM",0.998384460378292,-0.363833667977767,-0.228192829229161,-0.152755894010284,-0.18689176696753,-0.535030991065266,0.307107442054447,-0.236610375207286,1.11978404031236,1.08380803857553,-0.305600963542145,-0.473955711980821,-0.684215754386725,-0.505263290739386,-0.428282462609154,0.314963674055823,-0.889629745344213,0.0432819755804838,-0.828236815288063,-0.807061108175604
"Campy_Bs_1 (GE) - TPM",-2.12370327064021,2.8214530344535,1.78217066381859,2.68176092731649,2.68527883470816,2.61759775267748,-1.63473028325257,0.350847597159572,-1.95771411026893,-1.24721260685081,2.74104751283463,2.54412158480233,2.54700689032129,2.7475428272702,1.64803561869847,1.53762205327801,3.07038000438869,2.10877748677366,2.85477987108611,1.00534994632767
"Campy_Bs_2 (GE) - TPM",-1.72962702032072,2.44796151708827,3.39413601240546,3.26768402517567,3.44810101213661,3.16694171001607,-2.16116038398279,1.71970977302403,-2.79555426426796,-2.13839026865753,3.55067194840354,1.50486030743061,2.69573857757728,2.59380371929707,1.58173693627653,2.6652658796911,2.84323287312605,2.06546837438534,2.46805569151565,2.36757823835383
"Campy_Bs_3 (GE) - TPM",-2.46170273005048,3.90779486434929,1.9460641291789,3.57505068506338,3.45418226170187,3.54365648335921,-2.52146940192534,2.37335817678975,-2.47923169173075,-1.24736880381443,3.45513609318149,3.23925588536277,2.44331188196196,2.93299320011397,2.82048430169336,2.81795393994735,2.28015393842757,1.9616664470022,3.40899344268295,3.36567783285025
"Campy_Ctrl_1 (GE) - TPM",-1.84520533927604,-0.258352713174142,-1.13875996118871,-0.445946456856591,-0.491004766650136,-0.334312675469093,-0.568708741073992,1.41086303515168,-0.343068910012753,-0.709743315247513,-0.300220734404174,1.05890019435945,0.29766921288952,0.969146795624262,-0.243517747843925,-0.0264926538628527,-0.0967723334258033,-1.03221273898361,-0.27143228508591,-0.330991074952604
"Campy_Ctrl_2 (GE) - TPM",-0.997732386613561,-0.618485876656768,0.316825392996715,-0.430284150266869,-0.57651866157619,-0.746259108284898,-0.34712008197497,-0.434987287685783,0.346551152058841,0.303825431178576,-0.28217373358241,0.0552726705650086,-0.613981801750399,0.446243530734884,-1.042594832794,-0.611353290532365,0.0614881381458412,-0.77903052733948,-0.265242137640804,-0.61795897730266
"Campy_Ctrl_3 (GE) - TPM",-0.126428550198801,-0.398099711821313,-0.948014649479617,-0.348754718125151,-0.409177884332352,-0.446480795859273,-0.648868686349144,-0.527099521251118,0.424839566241544,1.1170129240167,-0.288137977087653,-0.376663500048133,-0.611247749211096,-0.0898449104726892,-0.850944886993341,-0.81547061841967,-0.314008129275235,-1.37413593512602,-0.176638745767207,-0.596680238932173
"Campy_Li_1 (GE) - TPM",-1.16232030623814,-0.0344088620853689,0.148348688276393,-0.66797303329375,-0.5037370716874,0.190132895427421,-0.422611219666588,1.3392518650962,-1.08999697050375,-1.11071035847427,-0.284910804421071,-0.857008366543058,0.301896658937695,0.301364366600194,2.19023881579553,1.05548840887349,-0.494629070678478,0.841110026803813,0.141413381312295,-0.357094731171609
"Campy_Li_2 (GE) - TPM",-0.702439258166017,0.404869041244729,1.83664322304008,-0.508701896677109,-0.313832132119409,0.36723037779462,0.737762720752509,3.29483939978512,0.138979549452254,0.253361201225269,-0.280063069202244,-0.288072395070356,0.565372474813312,1.00184141312925,2.453004255159,1.76595004727941,-0.0281156453666165,1.79774884452024,0.949611634973231,1.72316631659715
"Campy_Li_3 (GE) - TPM",-0.117022281003672,-0.071402856163176,0.910972295427804,-0.518920855486311,-0.363914575350101,0.101440101051283,0.388615274542036,1.22477836918772,-0.382918337344703,-0.612970325302828,-0.302429804650566,0.414329944406564,0.485600112672039,-0.279668685461735,1.29627929758002,0.367889485448056,-0.561171237061663,1.13143809256146,-0.35614564946813,-0.23802042240246
"Campy_Mig_1 (GE) - TPM",0.0597363148855199,-0.34513640531003,0.0309787738249693,-0.337396252323279,-0.308524951227701,-0.497703674354473,0.617656231203871,-0.445402171772969,0.672238685853713,0.259148861017814,-0.311107750466903,-1.32566635232236,-0.374597226245411,0.227275699129508,-0.11306664385926,-0.409110391664598,-0.404275643867021,-0.108916604258232,-0.232949543486789,-0.94416586854635
"Campy_Mig_2 (GE) - TPM",1.2755341355309,-0.514907633606908,0.375687148838027,-0.290964636063269,-0.325500332152632,-0.445744704504452,0.78512508715383,-0.583838625575505,0.252444433581987,-0.11404469542667,-0.288615970806227,-0.642735109193299,-0.427288643190478,-0.299319539666549,-0.372734957523635,-0.837430707705684,-0.325461673857716,-0.686645290316643,0.00209858871845941,-1.04429875151026
"Campy_Mig_3 (GE) - TPM",1.42765554367307,-0.306175176778046,0.366852110412749,-0.371849797846213,-0.223748064232666,-0.166777543012321,0.145804769036493,-0.528941755654138,0.875602897722315,0.951800423155518,-0.316373617331304,-1.19377305451739,0.0363783673792468,-0.765014948758076,-0.453721842066242,-0.105478555054504,-0.495476954820368,-0.00872782839031687,-0.0422657492960465,-0.782932482939305
"Campy_Nd_1 (GE) - TPM",0.349563677765621,-0.649710521025269,-0.589289714763352,-0.545059653211411,-0.618012259318107,-0.634667754131464,0.909989212859895,-1.04662337406649,0.0158653732822702,1.15036965897564,-0.363483220807974,-0.322516174972414,0.110944771145623,-0.967512603303027,-1.03892626733464,-0.958462053500941,-0.0297381070296772,-0.927777291685001,-0.352515915405868,-0.759366528542964
"Campy_Nd_2 (GE) - TPM",0.729694403897373,-0.62157814155348,-0.80429937137575,-0.507070609901037,-0.613681694088403,-0.685090386051491,0.903532394431494,-0.949567047052699,0.113065531035405,0.0922757019439509,-0.349548463906848,-0.311632864856415,0.0476183187518208,-0.986926136312395,-1.09132614998184,-0.823802685789014,-0.339614339793994,-0.478413396719947,-0.597572418365204,-0.989278204939658
