"","CJJ81176_RS08745","CJJ81176_RS00225","CJJ81176_RS00875","CJJ81176_RS01755","CJJ81176_RS01760","CJJ81176_RS01765","CJJ81176_RS02010","CJJ81176_RS02030","CJJ81176_RS02590","CJJ81176_RS02605","CJJ81176_RS02720","CJJ81176_RS03845","CJJ81176_RS04140","CJJ81176_RS04165","CJJ81176_RS05170","CJJ81176_RS05175","CJJ81176_RS05630","CJJ81176_RS05650","CJJ81176_RS08110","CJJ81176_RS08595"
"Campy_Nd_3 (GE) - TPM",-0.350824070529782,-0.494139436585441,-0.86794599767436,-0.633070172487686,-0.687523795861515,-0.706174423708928,1.5416701705649,0.138663364803547,-0.744970523504817,-0.757270503325904,-0.344656920488859,-0.73138663992983,0.895994902337584,-0.984049067211966,-1.42725236862531,-1.43489600146969,-0.254461953867444,-1.02499955418989,-0.678075781765757,-1.05329360845885
"Campy_Ns_1 (GE) - TPM",-0.00664048308199025,-0.44118948420153,-1.08367309901339,-0.530551541282776,-0.497690166651809,-0.343199335589082,1.09766603690794,0.305717579839232,0.823456948656844,0.22275198983275,-0.304356754801913,-0.696152547761569,-1.00495986849361,0.131174912887512,-0.610459473907171,-0.35728734515236,-1.04118973417581,-0.809074016999708,-0.780568433569439,-1.18618677405869
"Campy_Ns_2 (GE) - TPM",0.154975450585195,-0.277842754043953,-0.25588450604186,-0.432204929147916,-0.324600432754582,-0.525674729509273,0.912866526259788,-0.829009377443643,0.399554274807107,0.303184249020206,-0.310788708557195,0.267798761334082,-0.886595127654788,0.242447165299203,-0.0545857557056869,-0.358745320942144,-1.15693942390075,0.12946324829947,-0.589653641613913,-0.984196246989344
"Campy_Ns_3 (GE) - TPM",0.202038565922035,-0.564646803659842,-0.191176811568377,-0.250568302537441,-0.317438681457848,0.0603748407473565,0.412874468687665,-0.361211218930546,0.225833904132155,0.175054096453974,-0.321710107882092,-0.540142730482614,-1.00122835767673,-0.405248500037134,-0.443715683707707,-0.28972906902838,-0.935205647669246,-0.390954407213563,-0.790891226851599,-0.496701202137989
"Campy_Oss_1 (GE) - TPM",0.445122415164517,-0.507831778571362,-0.110798056259701,-0.415123785168233,-0.261691596882886,-0.503751403770291,0.698391724353086,-0.66216615598283,-0.0601470607971397,0.126160356041952,-0.280383286446054,1.29204893712574,-0.831414526927745,0.0784115324260075,-0.303647956243755,-0.684315144209549,-0.446642976778715,-0.492415268224959,-0.508208984274316,0.530730068582237
"Campy_Oss_2 (GE) - TPM",1.51307942596856,-0.168369824372317,0.627878918925964,-0.430396012831737,-0.153073463415519,-0.410206593842502,0.634127236368237,0.120683989719404,0.0317007527233385,-0.655396407838548,-0.287765448240013,-0.329891321348667,-0.801621821652079,0.195893567000679,-0.134703157140808,-0.901199864475514,0.328170230767727,-0.0732422568727449,-0.263672965210119,0.227366783923236
"Campy_Oss_3 (GE) - TPM",0.91379819921622,-0.43433219083688,-0.876702615224147,-0.174279875858449,-0.181915487731178,-0.552267503658734,1.02066657917621,-0.976044561928721,0.7542582533866,1.0596730567798,-0.316702087046096,0.147897179989331,-0.640312797433438,-0.274375342501511,-0.221201187114367,0.484654285007474,-0.0146432303221341,-1.10578069428978,-0.802130961132624,0.55619528350084
"Campy_Oxs_1 (GE) - TPM",-0.598499407924344,0.284958731114962,0.532689543499101,0.037285577068291,-0.048901318173048,0.0224396001770822,0.165546491896617,-0.0358635398118475,1.83367162940867,2.26010001146857,-0.208994750880112,0.31954692320748,1.05550644953107,-0.550439191742368,-0.216873753719196,0.316192094000772,0.580974979245084,0.45430074717737,0.252940833416951,0.451801057648823
"Campy_Oxs_2 (GE) - TPM",0.102707087778924,0.352201463182126,-1.02047994415648,-0.0472719601824677,0.023445366395365,0.0448833319219445,-0.517808484206163,0.17682001139266,2.01983449585216,1.4439900278668,-0.226304657918424,0.397396910919893,0.661689350366749,-0.727676640777562,-0.301258315733962,0.0295717478784023,0.306774787724677,0.379257682333024,-0.0951902444720755,0.672927190798186
"Campy_Oxs_3 (GE) - TPM",-1.09726875656755,0.433546387899134,-0.919218931491326,-0.193591074524011,-0.0892100357480905,0.194825743100899,-0.874492309044288,0.310697479853054,0.7642658488974,0.20990867038978,-0.214493403897866,0.949670532855503,0.0747308732328791,-0.585026051194881,-0.358116631015369,-0.530483786956036,-0.298017008086061,-0.709021211165096,0.00861575859900121,0.517526861776888
"Campy_Sp_1 (GE) - TPM",-0.294030197377846,-0.630714800356723,-0.471659627714624,-0.292984773594054,-0.362625807020063,0.141967539690008,-0.824963573876804,-0.347964229110328,0.48760134304702,-0.50203709756988,-0.378699120757205,-1.45643954409352,-1.31004847387478,-1.14891297213142,0.36190617673049,-0.725699314035384,-0.0571901456315465,-1.11529379305095,-0.767832409240906,-0.482607559645869
"Campy_Sp_2 (GE) - TPM",1.23122170012199,-0.698601273891105,-1.05442378498086,-0.232446964074919,-0.254447571973008,0.1184435135299,-1.64957501785412,-0.908555376499862,0.0657644481286132,-1.93720085677053,-0.361807091125185,-1.11496290021329,-1.19655631551594,-1.21238825090016,-0.150866384251901,-0.952992308442456,-1.0332266943006,-1.33289659209885,-0.758125428563404,-0.726577506036026
"Campy_Sp_3 (GE) - TPM",0.295247779776169,-0.623123451876249,-0.597188426421075,-0.4041014364557,-0.353612222817008,-0.0527917713388815,-1.50220281431238,-1.0404054731154,0.622950693998228,-0.987441855843683,-0.376239088484934,-0.46636105447689,-1.06444499237573,-1.03929983689949,-0.391349076209453,-1.22159670798276,-1.37354294180894,-1.38848922958769,-0.753992260228914,-0.0969190073811475
"Campy_Tm_1 (GE) - TPM",1.13281329858015,0.0546468927295549,0.384367398044823,-0.0599726869113524,0.0136760360913673,-0.44203242094462,1.09780790566982,-0.959159454305347,0.0946323296543354,0.0898563094366174,-0.260267647629396,-0.22600963404629,0.554591333872371,0.145589789055421,0.28827771263748,-0.181926793045561,1.26719416522838,0.956463600428734,0.783997607300969,-0.0342605192053461
"Campy_Tm_2 (GE) - TPM",0.409233522740719,-0.0939898738633814,-0.06227480371149,0.00798157496079573,-0.0310939658533529,-0.490410897501767,0.16421394648985,-0.253455296181471,-1.09919192894412,-1.00730271118107,-0.220851530211525,-0.0375658279345409,0.0966895839789367,-0.219080669823292,-0.0406377436597808,0.858163128510989,0.157087669228635,1.09161583400216,0.255952795106483,0.438006078690982
"Campy_Tm_3 (GE) - TPM",0.547257112739316,-0.0164166828753588,-0.476518797244759,0.167558652559693,0.0201474366243369,-0.20982905151138,-0.649388596989748,0.451880561816025,-0.52153965978988,-0.278636623667106,-0.243174154949968,0.282369895929764,0.0947069197566645,0.179037237063717,-0.110449684592112,0.369784299328245,0.724162239264037,-0.0737152396824411,0.201993239570291,0.496351399794256
"Campy_Vic_1 (GE) - TPM",-0.271543012601177,-0.339168342135481,-0.407162073886482,0.0451926004605316,-0.242756422662862,-0.354311582690872,0.0114561370728009,-0.320254083577369,0.14173065867706,0.620623733267201,-0.290805670498526,0.437573392397944,-0.647610931724581,-0.349927577758845,-0.781248958922557,0.665064842798658,0.0719457096484366,0.556662741723886,-0.209413540502259,0.886363055156974
"Campy_Vic_2 (GE) - TPM",0.681920377258752,-0.271783602804671,-0.393901374309016,0.00415459194576612,-0.216271623065461,-0.295724103550433,-0.21178806981094,-0.490090100447171,-0.635094682910753,-0.453158876528549,-0.250123610479076,-0.01295799720346,-0.254504962869221,-0.255640680358431,-0.180058534713473,0.237678562424212,0.269854421885567,0.663928720689204,0.0160128032599478,-0.365727955231164
"Campy_Vic_3 (GE) - TPM",0.714639574958385,-0.144865083703145,0.125796655127472,0.123156795215541,-0.0470525413551507,-0.468619030128471,0.552185676675032,-0.688916874360811,-0.0345730251303133,-0.663476334288628,-0.26557583726471,0.0419448661582723,0.553730865562526,-0.436309820823531,-0.459391281453244,-0.662960957765918,-0.114931377965891,-0.243335627269117,0.211942532430042,-0.128201302302115
