"","E2348C_RS00390","E2348C_RS26210","E2348C_RS26240","E2348C_RS05375","E2348C_RS05425","E2348C_RS05455","E2348C_RS08465","E2348C_RS26985","E2348C_RS09650","E2348C_RS09745","E2348C_RS13410","E2348C_RS14225","E2348C_RS20935","E2348C_RS22160","E2348C_RS28075","E2348C_RS25880"
"EPEC_As_1 (GE) - TPM",-0.416502290909653,0.878105012949444,0.188126436719243,-0.40600750021628,-0.435779254768655,-0.0096988064827873,-0.214461629196961,-0.389506744890189,-0.227397069604913,-0.442129613878833,1.23669392391555,-0.5354599583432,-0.128093690830052,1.02504042575807,-0.213957578938629,-0.209215473705354
"EPEC_As_2 (GE) - TPM",-0.416502290909653,0.867165253230984,0.74638688875982,-0.40600750021628,0.0505085770982531,-0.0153914228280479,-0.340288526557533,-0.07992811120972,0.410448165449102,0.0515365276313733,1.46359301025591,-0.412814170374009,0.72745751795754,1.20035653005572,-0.213957578938629,-0.209215473705354
"EPEC_As_3 (GE) - TPM",0.072604440742019,1.82705664040839,1.04748495431021,-0.0192890168475122,0.174725408101406,0.606429055769861,-0.122175220707961,-0.389506744890189,-0.227397069604913,-0.106771920468735,0.307449507874821,-0.576038677007174,1.24072419678883,1.10288820755651,-0.213957578938629,-0.209215473705354
"EPEC_Bs_1 (GE) - TPM",-0.218437584619426,-0.523835585962992,-0.378984689202421,-0.197204314284391,-0.594324022068898,0.548780491122103,-0.511849007146323,-0.389506744890189,-0.227397069604913,-0.197606451290888,-0.218461250806354,-0.274951800580391,-0.647914522619953,-0.51412738914183,-0.213957578938629,0.226446358857603
"EPEC_Bs_2 (GE) - TPM",0.0929358547223734,-0.251767230323552,-0.378984689202421,-0.316497772365493,-0.0669657803894457,0.195172535201503,-0.616522242219135,-0.389506744890189,-0.227397069604913,-0.128383859076863,-0.289374412468292,-0.201706710029999,-0.547035213722881,-0.243770019435455,-0.213957578938629,-0.209215473705354
"EPEC_Bs_3 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.201249953151321,-0.491172487711375,-0.0591155622068018,-0.435623863356985,-0.389506744890189,-0.227397069604913,-0.347417898073348,-0.390598545363865,-0.368493390255163,-0.647914522619953,-0.12010239889895,-0.213957578938629,-0.209215473705354
"EPEC_Ctrl_1 (GE) - TPM",-0.416502290909653,-0.523835585962992,0.500932853666774,-0.40600750021628,-0.163300783778842,-0.739213048457192,-0.224640640063886,-0.389506744890189,-0.227397069604913,-0.14247824033616,-0.715608319029913,0.577361642572794,-0.647914522619953,-0.565512703019035,-0.213957578938629,-0.209215473705354
"EPEC_Ctrl_2 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,0.37245049414449,-0.721338136558426,-0.554525167245679,-0.269751154271928,-0.389506744890189,-0.227397069604913,-0.133728434962933,-0.406698513528067,0.644097811085233,-0.209245417407636,-0.506479870252838,-0.213957578938629,-0.209215473705354
"EPEC_Ctrl_3 (GE) - TPM",0.276241547812866,0.0311101277985892,-0.378984689202421,-0.40600750021628,-0.734232208566663,-0.392686981244098,-0.329780647103725,-0.389506744890189,-0.227397069604913,-0.50000919939442,-0.715608319029913,0.257320494186634,-0.442148070961793,-0.63216689527608,-0.213957578938629,-0.209215473705354
"EPEC_Li_1 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,-0.483267883125287,-0.739213048457192,0.385116187560742,-0.389506744890189,-0.227397069604913,0.574417242044951,0.607860314384584,-0.105553351200693,-0.647914522619953,-0.280973005935452,-0.213957578938629,-0.209215473705354
"EPEC_Li_2 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,-0.929776704247095,-0.739213048457192,-0.238440723212177,-0.389506744890189,-0.227397069604913,-0.584606526956166,-0.715608319029913,0.834717587193382,-0.647914522619953,0.0420011847473516,-0.213957578938629,-0.209215473705354
"EPEC_Li_3 (GE) - TPM",1.19383990748858,-0.523835585962992,-0.378984689202421,-0.40600750021628,-0.323696870404032,0.0663163805843911,0.0839741281843862,-0.389506744890189,-0.227397069604913,-0.32240157903865,-0.266497566895341,-0.324392310559488,-0.329033399349946,-0.0533995024780197,-0.213957578938629,0.971483916034613
"EPEC_Mig_1 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,1.34376714888982,1.27527017034946,-0.749813238317989,1.04648461995606,-0.227397069604913,-0.584606526956166,-0.715608319029913,-0.786631430707707,-0.647914522619953,0.279476984214063,-0.213957578938629,-0.209215473705354
"EPEC_Mig_2 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,1.17150634357429,-0.739213048457192,-0.698892257357838,-0.389506744890189,-0.227397069604913,-0.584606526956166,-0.715608319029913,0.815954850756421,-0.647914522619953,-0.614596242821085,-0.213957578938629,-0.209215473705354
"EPEC_Mig_3 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,-0.929776704247095,-0.739213048457192,-0.472745149443613,-0.389506744890189,-0.227397069604913,-0.584606526956166,-0.715608319029913,-0.786631430707707,-0.647914522619953,-0.821632565641299,-0.213957578938629,-0.209215473705354
"EPEC_Nd_1 (GE) - TPM",-0.416502290909653,0.330825027468091,-0.378984689202421,0.437535353327274,-0.0263143957694478,1.39549796051992,0.0479317814268031,-0.389506744890189,-0.227397069604913,-0.193746652630557,0.623339503042788,-0.32726881947224,-0.0141210633709476,0.186026170528686,-0.213957578938629,-0.209215473705354
"EPEC_Nd_2 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,0.0471520982722525,-0.929776704247095,-0.739213048457192,0.0781569842317194,-0.389506744890189,-0.227397069604913,1.72510534229402,-0.715608319029913,-0.0463089603814336,-0.647914522619953,0.568904388845039,-0.213957578938629,-0.209215473705354
"EPEC_Nd_3 (GE) - TPM",0.551969469266149,2.57947170908523,-0.378984689202421,1.89119619552197,-0.383025333041091,-0.0125359751087861,0.0325513845260688,-0.3319512061599,-0.227397069604913,0.00673848611027738,2.12042637513736,0.255846220877014,-0.360248308284932,0.790825892461392,-0.213957578938629,-0.209215473705354
"EPEC_Ns_1 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,0.648925838883509,-0.739213048457192,0.849078557576312,0.829199333607285,-0.227397069604913,-0.356944759693202,-0.715608319029913,0.0160549852807244,-0.647914522619953,1.64705060238624,1.76859501345481,-0.209215473705354
"EPEC_Ns_2 (GE) - TPM",0.312580238995141,-0.523835585962992,0.329800005550944,-0.0217018914923089,-0.106568657479037,0.354897447848014,1.13093156348303,0.303754362283414,-0.227397069604913,-0.406536567417452,-0.715608319029913,-0.158795060245095,-0.21479417770183,0.64852791110814,-0.213957578938629,-0.209215473705354
"EPEC_Ns_3 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,1.84821229356973,-0.24692325079758,1.22533521598762,2.3008854307207,-0.227397069604913,-0.34424134073854,-0.715608319029913,0.908320446406102,-0.647914522619953,-0.214898128101736,-0.213957578938629,-0.209215473705354
"EPEC_Oss_1 (GE) - TPM",0.468547917350131,-0.523835585962992,2.20224589631228,0.293768749508782,-0.679948864618666,0.588953082526854,-0.17881678224897,0.715048304235869,-0.227397069604913,-0.152280011163581,-0.34535884838798,-0.596095144187608,1.71807226249423,1.03739800414499,-0.213957578938629,-0.209215473705354
"EPEC_Oss_2 (GE) - TPM",1.02606903800139,-0.523835585962992,-0.378984689202421,-0.152543623895866,-0.115372108554557,-0.498677494424315,0.141523153271489,-0.389506744890189,-0.227397069604913,-0.584606526956166,-0.313287436699487,-0.165509191066296,0.780380551136868,0.998941383716286,-0.213957578938629,-0.209215473705354
"EPEC_Oss_3 (GE) - TPM",-0.416502290909653,0.540540315801404,-0.378984689202421,-0.40600750021628,-0.179675050433464,-0.0745822816441714,-0.371831880273643,-0.389506744890189,-0.227397069604913,-0.260094219636469,0.396056181464764,-0.786631430707707,1.7200236063803,0.502414060372373,-0.213957578938629,-0.209215473705354
"EPEC_Oxs_1 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,0.041917987782465,-0.354085080833151,-0.229119032662042,-0.701603541086921,-0.389506744890189,0.521777003912992,-0.252528839741731,-0.00462030687934254,-0.493922808796663,-0.244057513937867,-1.02321590237056,-0.213957578938629,-0.209215473705354
"EPEC_Oxs_2 (GE) - TPM",-0.416502290909653,1.33133953154334,0.74669472666845,-0.202558358803915,-0.929776704247095,-0.739213048457192,-0.452873856999805,-0.389506744890189,-0.227397069604913,-0.490337331849384,0.576123493772522,0.542860179461062,0.727833741366783,-0.765406251174979,-0.213957578938629,-0.209215473705354
"EPEC_Oxs_3 (GE) - TPM",-0.416502290909653,0.573818288146489,-0.378984689202421,0.135680081138851,-0.929776704247095,-0.396507743513191,-0.418090805451359,-0.389506744890189,-0.227397069604913,-0.0826191316036082,0.717417883667485,-0.196664908397121,0.166076241603838,-0.923218042206262,-0.213957578938629,-0.209215473705354
"EPEC_Sp_1 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,-0.929776704247095,0.51803548898313,0.00226156281171322,-0.389506744890189,-0.227397069604913,1.25698422076438,-0.715608319029913,-0.786631430707707,-0.647914522619953,-0.993706957439818,-0.213957578938629,-0.209215473705354
"EPEC_Sp_2 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,-0.929776704247095,0.914147909522437,0.118166341457328,-0.389506744890189,-0.227397069604913,1.83720121632382,-0.715608319029913,0.636497421374469,-0.647914522619953,-1.04166993044745,-0.213957578938629,-0.209215473705354
"EPEC_Sp_3 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,0.908738458542219,-0.739213048457192,0.252156086674238,-0.389506744890189,-0.227397069604913,-0.584606526956166,-0.715608319029913,-0.786631430707707,-0.647914522619953,-1.21470922147538,-0.213957578938629,-0.209215473705354
"EPEC_Tm_1 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,0.131699386948764,1.08587983589374,-0.739213048457192,-0.556352097415747,-0.389506744890189,-0.227397069604913,-0.335457304062657,0.991386085346564,-0.347408150022469,0.867102349021115,-0.566951167126339,-0.213957578938629,-0.209215473705354
"EPEC_Tm_2 (GE) - TPM",-0.416502290909653,0.0794956105006639,-0.378984689202421,-0.20751322402256,-0.929776704247095,0.202635773893178,-0.356913268682086,-0.299989210814953,-0.227397069604913,0.335126803710197,0.859732386066231,-0.138075057175189,0.470621186870414,-0.547297133166336,-0.213957578938629,-0.209215473705354
"EPEC_Tm_3 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,0.0110606786844097,0.633651666360239,0.0523768770874002,-0.362421536962743,-0.389506744890189,0.644557850974006,-0.584606526956166,-0.715608319029913,-0.616291364292556,0.292174351464868,-0.586686455347184,-0.213957578938629,-0.209215473705354
"EPEC_Vic_1 (GE) - TPM",1.67408224099949,-0.523835585962992,-0.378984689202421,-0.40600750021628,0.25046417289055,-0.739213048457192,-0.316176362901663,-0.389506744890189,-0.227397069604913,-0.584606526956166,-0.715608319029913,0.113503294283565,-0.647914522619953,-0.735565944739897,-0.213957578938629,-0.209215473705354
"EPEC_Vic_2 (GE) - TPM",-0.416502290909653,-0.523835585962992,-0.378984689202421,-0.40600750021628,1.55591680829123,-0.739213048457192,-0.567712046408227,0.918815801420191,-0.227397069604913,-0.584606526956166,-0.715608319029913,-0.786631430707707,-0.647914522619953,-0.814819061453333,-0.213957578938629,-0.209215473705354
"EPEC_Vic_3 (GE) - TPM",4.96212420198263,3.78489377650274,4.84989953568006,5.26423213342715,3.6249839999828,4.64180712623555,5.16059353019577,4.72485604310597,5.69992320702112,4.67006225878447,3.78455132057876,5.00300348315563,4.14494321240235,3.75105304205445,5.50596267045857,5.70618035738446
