"","FTS_RS00045","FTS_RS00070","FTS_RS10045","FTS_RS00145","FTS_RS00165","FTS_RS00250","FTS_RS00255","FTS_RS00325","FTS_RS00445","FTS_RS00470","FTS_RS00475","FTS_RS00545","FTS_RS10085","FTS_RS00745","FTS_RS00760","FTS_RS00765","FTS_RS10100","FTS_RS00995","FTS_RS01045","FTS_RS01065","FTS_RS01070","FTS_RS01075","FTS_RS01080","FTS_RS01085","FTS_RS01090","FTS_RS01095","FTS_RS01155","FTS_RS01410","FTS_RS01425","FTS_RS01485","FTS_RS01630","FTS_RS01730","FTS_RS01765","FTS_RS01810","FTS_RS01890","FTS_RS01895","FTS_RS01900","FTS_RS02020","FTS_RS02100","FTS_RS02175","FTS_RS02180","FTS_RS02240","FTS_RS02590","FTS_RS10195","FTS_RS02695","FTS_RS02705","FTS_RS02845","FTS_RS02985","FTS_RS02995","FTS_RS03185","FTS_RS10235","FTS_RS03425","FTS_RS03470","FTS_RS03475","FTS_RS03535","FTS_RS03590","FTS_RS03595","FTS_RS03600","FTS_RS03605","FTS_RS03610","FTS_RS03615","FTS_RS03640","FTS_RS03675","FTS_RS03775","FTS_RS03800","FTS_RS03805","FTS_RS03825","FTS_RS03870","FTS_RS03910","FTS_RS10280","FTS_RS04145","FTS_RS04155","FTS_RS04280","FTS_RS04500","FTS_RS04575","FTS_RS04590","FTS_RS04595","FTS_RS04600","FTS_RS10320","FTS_RS04695","FTS_RS04745","FTS_RS04750","FTS_RS04870","FTS_RS04930","FTS_RS04935","FTS_RS04940","FTS_RS05020","FTS_RS05250","FTS_RS05255","FTS_RS05260","FTS_RS05305","FTS_RS05310","FTS_RS05330","FTS_RS05355","FTS_RS05360","FTS_RS05370","FTS_RS05585","FTS_RS05670","FTS_RS05685","FTS_RS05735","FTS_RS06100","FTS_RS06105","FTS_RS06110","FTS_RS06225","FTS_RS06465","FTS_RS06475","FTS_RS06655","FTS_RS06825","FTS_RS06830","FTS_RS06890","FTS_RS06920","FTS_RS06925","FTS_RS07020","FTS_RS07025","FTS_RS07055","FTS_RS07155","FTS_RS07230","FTS_RS07235","FTS_RS07365","FTS_RS07410","FTS_RS10495","FTS_RS07425","FTS_RS07585","FTS_RS07590","FTS_RS07625","FTS_RS07795","FTS_RS07950","FTS_RS07960","FTS_RS07990","FTS_RS08000","FTS_RS08040","FTS_RS08115","FTS_RS08125","FTS_RS08250","FTS_RS08255","FTS_RS08265","FTS_RS08315","FTS_RS08320","FTS_RS08330","FTS_RS08385","FTS_RS08580","FTS_RS08610","FTS_RS08615","FTS_RS08625","FTS_RS10610","FTS_RS08710","FTS_RS08715","FTS_RS08730","FTS_RS08980","FTS_RS10645","FTS_RS08985","FTS_RS09080","FTS_RS09200","FTS_RS10685","FTS_RS09505","FTS_RS09550","FTS_RS09560","FTS_RS09605","FTS_RS09625","FTS_RS09825","FTS_RS09830","FTS_RS09835","FTS_RS09840","FTS_RS09850","FTS_RS09880","FTS_RS09925","FTS_RS09930"
"FRAT_As_1 (GE) - TPM",0.268879444664111,-0.385806348595028,-0.509896294853185,-0.505519194396149,0.697300305832431,0.198749325593743,-0.0898445564386818,-0.174782600880946,-0.0575991379050019,-0.643922001681437,-0.191421435359839,-0.122560081535778,0.425323091455464,-0.427076398033936,-0.388258590112799,-0.325957606397203,0.264288404963445,-0.385486328841807,0.899904954491793,-0.387458725362322,-0.169672559420071,-0.284067158523823,-0.0666679910902593,-0.170090401216162,0.252237029204344,0.0850167703118298,-0.0640638624281728,-0.609794295643579,-0.68169591429109,-0.748497842752469,-0.151944507983992,0.291147063045463,0.478114292554588,-0.229803734337354,-0.779989961568421,-0.770360791429756,0.100947139277032,-0.0335770996470898,-0.360684696954664,-0.199300363711883,-0.00986907473162646,0.222317181962459,0.381443684239324,0.405053995997443,0.285366010351383,-0.343041054215726,0.516901051800789,-0.63334253630958,0.247996645788428,0.762122967807763,-0.282823655792503,0.98832491510752,-0.635569710154736,-0.888291633458659,-0.276220386382053,-0.246652193672925,-0.268874898516952,0.0774165999677073,-0.386247234111838,-0.572111818208167,-0.515534452265178,0.0771831869078072,0.114662698462988,-0.316638374350084,1.2641220512569,1.39485494593142,-0.457016938332633,0.434109896428167,0.100074096136352,-0.589750675753788,0.706553535033118,0.169441663536223,0.531780099665889,-0.0310996220941495,0.549920955653335,-0.449092082229062,-0.339596326346549,-0.342616690630115,-0.00211665932183211,1.12917932428905,0.183937677674035,0.832181479065666,0.271631918355332,-0.67277815121784,-0.66898568368389,-0.431658454157595,-0.211684215652535,0.0507819967158443,0.212557738887072,1.28936373648983,0.0225166946045131,0.505315717432168,0.299336444206847,-0.551054639017308,-0.289078131584079,-0.433548251692485,0.0375479116878768,0.426465788658819,0.639631629810956,-0.947559601097091,-0.57752569335161,-0.621383208627237,-0.345458431482664,0.287054716532386,0.510761414115141,-0.423783813943101,0.25900526827104,1.04831597044746,-0.0446206274083339,1.63668853538492,-0.00155866215279001,-0.322349863860758,-0.0764848493748265,-0.303915753422698,-0.166666666666667,0.881082384257154,-0.555432197920828,-0.2480421124142,-0.215373765881591,0.515287885713504,0.0926025326362745,-0.776942538500419,-0.517252405502759,-0.586820443750414,0.5182661879752,0.760214853761774,-0.408267443032231,-0.510485392752593,-0.195115336015025,-0.346490545465957,-0.614455384116953,1.32955149181607,0.885662077545649,-0.342696726005828,0.784560630315307,0.0987969023269894,0.383653397182264,-0.612200853275002,0.0531680744615083,-0.201098007107778,0.0310414155407213,0.246799733829059,0.0741649578369351,1.13745477163704,-0.591164132666522,-0.526857797460917,-0.501427372392046,-0.349836822812837,0.00465088478358765,-0.626061338353878,-0.2662894418211,-0.200694555400368,-0.0396932336724747,0.168646638672263,0.542125080316322,-0.366055832555809,0.0805661134141957,0.183948780387257,0.499714691086176,-0.640193160270852,0.123932008385877,0.49620309390396,-0.138119467435737,-0.2013377755435,0.142764947971688,-0.522571219212997,-0.486938962760492
"FRAT_As_2 (GE) - TPM",-0.125264411054257,-0.112745150606666,-0.263495678828784,0.704057270350106,1.1425172868152,0.40929837224169,0.973316852346139,-0.438555192911558,0.596166805163588,-0.669124784295717,-0.287676483702179,0.268845335499225,0.316025938240848,-0.409530236931278,-0.022921803898931,0.0604532706981886,0.105708327134537,0.182656259180389,0.515893735710011,-0.263494933851051,-0.149367473575312,-0.416612821463532,-0.181093763396817,-0.340877843776305,0.507734258940998,0.272532955513389,0.301092154279155,-0.684281515914889,-0.098071620602766,-0.886481240994506,0.376514316403677,-0.447502402545646,0.830550858635939,0.00388529600630411,-0.563166617605905,-0.766263960187603,-0.0210845151306925,-0.101525483596425,-0.432389188771827,0.0325200561776617,-0.133684330302173,0.408785897150624,-0.107114461640734,0.157737215745536,-0.0672089825128834,0.279127235041175,0.619488552077343,-0.548780599991437,0.184795923217721,0.0741416030575949,-0.425809203825054,0.607918485249924,-0.682934395931503,-0.733439139638827,0.466252850740479,-0.359853263495421,-0.174495566830841,1.1078032924577,0.574052936826791,0.289083861633686,-0.0588867107044694,0.310895994378382,-0.18384990740793,0.162670661656366,0.620094687785756,0.652692339598867,-0.0200719722130582,0.445934892661608,0.199332992309505,-0.831931356063765,0.920079819730543,0.222901844388194,1.00226613243123,0.0286252234902031,0.913108823777382,-0.619247263383801,-0.679184929971304,-0.751818986671965,0.797639711518285,0.148095612269251,-0.065710587197973,0.130052298744244,0.322431108863549,-0.818955566448414,-0.764957042392995,0.32165128561686,0.324312360266469,0.101241145017468,0.239183453639342,0.569935894836986,0.292537911443368,0.228546234925097,-0.306719283105399,-0.00164554505405892,-0.210284865501406,-0.446987986176887,0.0963612700992506,1.12447202502559,0.704021369679212,-0.665768646924363,-0.614427608910408,-0.741371912879215,-0.616702539932518,0.903991119706778,0.440062484956913,-0.820427859352561,0.956478858367341,-0.294570973009383,0.0220380686336254,0.800446353354757,0.158064571403337,-0.0931967032809463,-0.36419176408023,0.0414357625084273,-0.166666666666667,0.0527961052091305,-0.65469533543847,-0.454428002017578,-0.0562673081733362,0.21189341170303,-0.322531644526268,-0.70207988890626,-0.287622649013867,0.997850629040562,0.446783977478104,-0.126034269159456,-0.472142343367417,-0.613053608863076,0.31970370005463,-0.122934721711041,-0.428681496732993,1.4305728474018,0.751149927231571,-0.0201173861109196,0.846534423187268,-0.152014828431808,0.185844524801975,-0.875585793179248,0.758519073202909,-0.526116757280804,-0.58801617431781,0.43328117527393,-0.155250299262726,1.1086504275053,-0.640605287767476,-0.587284011195206,-0.529613596633026,-0.721147169746862,-0.277832233581097,-0.336989658943267,-0.434996415097821,0.0245581670829095,-0.0602545755245023,0.04255646304403,0.241748740633405,0.423302271981739,-0.0844350496754003,-0.24180766374453,-0.231429864585909,0.321623818525163,0.731170968725513,0.24888530621915,0.700689331746673,-0.178340446396021,0.683199424846453,-0.526150581164572,-0.471615910196274
"FRAT_As_3 (GE) - TPM",0.807511843642792,0.349427271256361,-0.499661933792147,-0.518711059714673,1.30705504534709,-0.531610272555601,0.31088885854775,-0.348791059893271,-0.0562719317515374,-0.680369220991986,-0.470791107466132,-1.00924392451723,0.28153561295792,1.10685682765898,0.028283813487797,0.0585150856824696,1.69558829129278,-0.295336984477589,0.830958902481858,-0.28518352969132,-0.274452739755522,-0.394025549841885,-0.630441648628489,-0.355746217165015,0.232887257695225,-0.136672190152599,-0.357967513912755,-0.686048084069682,-0.512097986342452,-0.892259716263109,-0.539303537163059,1.3181487663424,0.0588442988619435,-0.297040148876532,-0.825864044164125,-0.749710699344976,-0.236327884091769,0.0752189930897868,0.184010285636447,-0.542453124820431,-0.0280041994266302,0.13266921076955,0.315691622250578,0.20692777310624,0.267982822980528,-0.1432865096219,0.197843320386471,-0.482109635154834,-0.223604480760238,1.00226993070314,-0.406038184215221,0.683540794678613,-0.536036827228105,-0.601011574332133,1.73409026909494,-0.604968760152852,-0.246962801439049,-0.496163461021911,-0.187286314382193,-0.049696212628408,-0.463507393752656,-0.262099068159067,-0.162186129669097,-0.172280329297802,1.38285772008182,1.53516223439356,-0.198854709446735,1.52044626826217,0.207786460295336,0.12812965756412,0.774456531188686,-0.10371651637977,0.435993190799871,-0.378337297716832,0.205109988355684,-0.213964397702015,-0.77754279762219,-0.729598049574791,0.388401730317261,0.070472933765146,0.634411911951933,-0.00338460571089033,0.0174368306611128,-0.819607421624038,-0.764503647744398,0.086340172232029,-0.310874160559656,-0.412953099345493,-0.172142958710841,0.362364091449129,0.827805687512073,0.150342874730556,-0.359794824621169,-0.528436202017401,-0.484898456755483,-0.573583867518249,1.17511811474738,0.827818154617478,-0.69470265812795,0.479958046643286,-0.628684451144808,-0.741194363813369,-0.76836151138962,0.0797039756199783,1.03291489792458,-0.89550259719382,0.206170927079589,1.04885010058433,-0.610972633950386,2.10447165177682,0.726727102275153,0.775560080697569,-0.369513558334566,-0.519744413012246,-0.166666666666667,0.27867821322207,-0.531089906298107,-0.602139528998547,-0.0720141163884696,2.50417698800758,-0.604166942191198,-0.24500382246765,-0.296433329580302,0.65849161403765,0.946611765010277,-0.28992168183862,-0.384303250794653,-0.665643699282052,0.565159487136057,0.271906297188579,-0.701361238458107,0.542641315197543,-0.494314031892104,-0.456638271292512,-0.17183106666781,-0.261045507367236,0.0239190478434594,-0.826734229466435,0.575722416768217,-0.245865343451309,-0.413290089796852,-0.198726813794161,-0.0946611253372662,-0.368015449012403,-0.667386936633663,-0.589818184242311,-0.535718345625693,0.648164421505209,0.0933034383487383,-0.391923535031479,-0.312699351016722,-0.481061441881389,0.0793198363405088,0.252349898184587,0.165542073705271,-0.032506050311666,0.330835229808227,-1.15419223136233,0.860732245945129,0.0435226736325224,-0.495201197932632,0.170881674949028,0.0272237445543046,0.254877934938958,-0.0912164946312489,-0.527963700248857,-0.415842158977318
"FRAT_Bs_1 (GE) - TPM",-0.694881460702013,-0.156728575005226,-0.581976656736888,-0.528904736739132,-0.136949244673209,-1.02812584040834,-1.2504951173947,-1.02090300241089,-1.40808044013453,-0.605328991886871,-1.05014312485855,-1.00924392451723,0.144122470427953,-1.21893791512774,1.59319286833898,0.189641689736899,-1.42168457289253,-0.514211354883361,0.284350978419005,-0.243389663633027,0.217293508598365,-0.0960430601065316,0.353704330366558,-0.398554727485389,-0.0389157920562449,0.0433129374023474,1.19990927544814,-0.487127395406714,0.167731620985912,-0.70747287160371,-0.860767276576096,-2.03098480241787,-0.297786638277577,-0.396064870833813,-0.167978864981794,-0.799515459802033,-1.46491333575436,-1.03677733990505,0.533179813954105,0.532592000921874,-0.793287891502877,-0.946279172374288,2.45722832362275,-1.27839155129768,-1.10537931750592,-1.34149021612888,-1.3457134664221,-0.782639355911976,0.57001459893841,1.86845605835317,-0.645387511735181,0.874950663584776,-0.6529586050795,-0.926161619948276,-0.602810267941372,-0.928286946602843,-0.723501025129664,-0.774534083906633,0.358524431977449,0.268828314601365,-0.31102896373644,-0.746103364013776,-0.0412814383891031,-1.06501851262489,0.546478948779454,1.50056760612439,-0.383104643413691,-0.770669145879784,-0.366183209985123,-0.901092394475246,-0.690316350594558,-1.16943762347222,-1.15655355851446,-0.912651092488795,-1.04777067747713,-0.863503022960027,-0.735614348400401,-0.783504231725366,-1.21742135251242,0.0301974380005617,-0.518742107495354,0.29433271706396,-1.77674086189122,-0.503142556898555,-0.583026201076149,0.283055669889058,-0.835342841628586,-0.802511363354247,-0.600003674366633,-0.330741195418213,-0.83080323641228,-1.45700143631007,1.0324343376712,-1.38035116082314,-1.14912956183401,-0.426670379810362,-0.410897231057414,-0.737523444919619,-0.930221171763051,-0.213206185674719,-0.551392651786258,-0.542389798587084,-0.473991928607655,-0.951251169973393,-0.455940913772966,-0.520521115502402,-0.860027613733203,-0.751134415591646,-0.785534121261855,-0.890826534851344,-1.18384245060718,-0.0382373476861855,-1.0312490857623,-0.465095227002369,-0.166666666666667,-0.593983549287863,-0.808534929637327,-1.06482256511856,-0.821723709643031,1.57394240242724,-1.12826658530373,-0.703323921239966,-0.678945451646547,-1.41352053764426,1.46338279411298,-1.03100343717972,-0.860813117211445,-1.1789633917259,-1.12809862489953,-0.961750208481793,-0.705974010975433,-0.797482503738791,0.296520818364857,-0.35575777760406,-0.91839858381451,-0.697792860762482,-1.31784831788258,-0.835987039189767,-0.745955931059363,-0.667356188892332,-0.993534877419259,-0.997833647566904,-1.08528942001347,-0.0903566073395813,-0.611416736659412,-0.499850168037507,-0.49813464791005,0.870267471578929,-0.534028409271937,-1.16992470356119,-1.0046418533556,0.199346876872262,-1.3912343579146,-0.411590524016185,0.102014563022188,-1.18545501360872,-1.0608805094481,0.0942759028562822,-0.545962264847135,-1.13551542868262,-1.17677308391246,-1.53058629592843,-1.33792971567288,-0.830661893049445,-0.308768751511019,-0.521161406701906,-0.277373111194546
"FRAT_Bs_2 (GE) - TPM",-0.702518032556282,-0.298277301838483,-0.0392382932780296,0.754940907966608,-0.188200517641407,-1.30016745520745,-0.825840310499104,-1.18837047492476,-1.179519973527,-0.59495373582031,-0.865372956616243,-1.00924392451723,0.086804520327135,-1.47074356958212,1.46336714957101,0.669729570195388,-0.970034826843843,-0.28970811212843,-0.342834907138814,-0.204702300487954,-0.245898460537103,-0.609999265958744,-0.193459136230908,-0.104715041979181,0.128867657336358,0.70764427930053,0.814413399949954,-0.477818923267565,0.553198685422781,-0.63333030080323,-0.753626799465271,-0.461766970338104,-0.552853329993879,0.213289318165318,-0.170222993790657,-0.713316742084073,-1.1173572333533,-0.822459548007013,0.625919054806875,0.636837868421691,0.0807809509880653,-0.606847272764813,1.19845663338208,-1.27839155129768,-1.63578036374199,-1.07275599294529,-1.08154263872447,-0.746852643112972,0.0500931284186793,0.808979469028612,-0.759903028982966,0.0306990711294719,-0.474577661404478,-0.760363256655237,-0.715932604930517,-0.776962052074796,-0.666903981265833,-0.390748972406922,1.30824440833258,1.22755152411004,-0.0925682339443104,-0.22492713028758,0.212923383306893,-0.999086691211345,0.236670939716977,0.760397298136465,0.223342963169691,-1.26535461143647,-0.171552389691246,-0.485794364016383,-1.08154464308954,-1.18703321171326,-1.36780244803977,-1.18428073355774,-0.935128987477823,-0.950371320037393,-0.875545418341541,-0.906054798887375,-1.67644592769529,-0.723316921378499,-0.831013662027483,-0.530832490713367,-1.62909686610047,-0.588137404201591,-0.581194005763124,1.13182608463805,-0.847101834365255,-0.961355628346934,-0.680508511374246,-0.488496020211081,-0.923045799326322,-1.31034626007856,0.160429308368527,-1.13622265183176,-1.0583820253837,-0.490891411903768,-0.20605575343702,-0.373731967714257,-0.922829351928587,-0.147391939464656,-0.556916843694771,-0.600536739475415,-0.708851443773934,-0.80399065766792,-0.808305852709282,-0.268543155164755,-0.79150175221376,-0.987386691830691,-0.603608411202936,-0.865899612292542,-1.10604166333846,0.260056247105394,-0.906594341377064,-0.398845318893781,-0.166666666666667,-0.912664695041023,-0.735474038435298,-0.961080479744122,-0.59183573946313,0.516272451567859,-0.883015784207377,-0.999039240528705,-0.433084768113041,-0.910210421857309,0.0516152763206127,-0.772973400749556,-0.817845816587267,-1.01398189858821,-0.742514713706027,-1.10046878578096,-0.585895454062972,-0.451872436723229,0.361358768103143,-0.0115758296932528,-0.556943382771272,-0.460792188823832,-1.305204503706,-0.433857614148117,-0.52121965371517,-0.567206601093348,-0.845315567305185,-0.626040982818643,-1.07544070808704,-0.048858019610493,-0.66346719234894,-0.53862206476969,-0.494858105694282,1.65840293322398,-1.02877372306907,0.352735285793492,-0.232490273456542,0.423909853943489,-0.707254695025327,-0.471386964134703,-0.547430329673859,-0.936731956362029,-1.07680978977404,0.340060474875205,-0.853815337012594,-0.421416591805966,-0.742699796502371,-1.20179115017665,-1.21586996295166,-0.868039266365843,0.956720028190948,-0.502511622202036,-0.210991583952072
"FRAT_Bs_3 (GE) - TPM",-1.44175649023321,-0.684009099496214,-1.22131486935548,-0.40393291732612,0.209318761282645,-1.05907795319614,-0.549763726720754,-1.12574843724424,-1.06130087870084,-0.664263575128948,-0.801749656227818,0.65173123270819,1.05120442537209,-1.94924141278069,1.16369136940241,-0.471091416563068,-0.884058261635692,-0.545847939913014,-0.257588162241187,-0.052533543188083,0.546173468689317,-0.398596869499649,0.745235234946817,-0.00967215835449672,-0.449554409452318,0.404052541928491,-0.0835871797822656,-0.612293185676576,1.18686403411108,-0.863225963248586,-0.707890661382244,-1.41526982256048,-0.202874191289486,0.130860288260871,-0.236914741129017,-0.771129288656589,-1.2934284331942,-0.960518988153651,0.265723189868172,0.326091626584656,0.309351817088255,-0.856716556337372,1.06498721578161,-1.27839155129768,-1.11586713156056,-0.779271420142076,-1.06459114039906,-0.834295975482708,0.488178226217207,1.48289089498875,-0.647938068617642,0.0904907549024294,-0.773815523889854,-0.786987094183686,-0.544921686291571,-0.967182507888036,-0.827838096036584,-0.854292001685292,0.103476754655635,0.0256223398430371,-0.347684048638129,0.217225088194272,-0.0293521712745752,-0.81192463569405,0.492208855053356,0.814634645288757,0.0507805458652158,-0.820968614156148,0.149333092421872,-1.45688998518598,-0.414610870691487,-1.20734120329804,-1.53737633158938,-0.866365855132729,-0.786054614538723,-0.892536829137393,-0.92562611258934,-0.924911108010708,-0.345809743339971,-1.31565376287367,-1.04995645604603,-0.545960235124014,-1.58197083024602,-0.703877242492112,-0.70330625561255,0.82501189484845,-0.234324240371318,-0.550825424246332,-0.527903746731797,-0.785681696626423,-0.867735052925449,-0.705895931221307,0.480468120548314,-1.33150277918647,-1.1715682995385,-0.463564513065948,-0.408958945236226,-0.472326294417048,-1.04297711983601,-1.27079433502272,-0.611482822033439,-0.709846681588091,-0.720077210697052,-0.869847618977237,-1.08773687419925,-0.78284467913221,-0.658349315166044,-1.05170844591338,-0.163038436402055,-0.105637492309189,-1.85908145568554,-0.336957034403723,-0.721509137099258,0.724940109816033,-0.166666666666667,-0.980640365241966,-0.877141081968496,-1.04728724374002,-0.810826921439052,-0.37593901844652,-1.27957971593189,-1.20849200357764,-0.509458360772983,-0.406778345514575,1.50549858716965,-0.720201340098356,-0.71233228998462,-0.428402314841185,-1.32564501156561,-1.09907285204449,-0.959012941355771,-0.717966863057478,1.06154301249553,0.434634204715525,0.531510010337588,-0.614751769194709,-0.837881095811996,1.17786858010044,-0.503429678268784,-0.917148385558354,-0.715533554062978,-0.697597315918668,-0.827605613089681,1.24473309724409,-0.656984098794691,-0.57628453020563,-0.523413846057653,0.781020292056461,-0.290946203115585,-0.405833128857131,-1.26806471985203,0.0258301199140575,-1.0328891764549,-0.40347873470176,-0.901280791357579,-0.423883727273282,-1.04831160657713,1.59926606112791,-0.121804093168257,-0.237660195689689,-0.601148655334777,-1.57613307357507,-0.931705561914414,-0.634273428831316,1.98901189783497,-0.520536361997566,-0.274358766066922
"FRAT_Ctrl_1 (GE) - TPM",-0.154897081934104,-0.443582315182592,0.24510349731791,-0.0745880902218995,0.663532343333743,1.1980182519141,2.20144149969564,1.00538854269465,0.797352805061523,-0.287477583652447,0.258511367227679,0.0810664626355531,-0.104868850688785,2.23752199383817,-0.321262529890658,0.173090665980357,0.800650819166755,0.0313340806141598,0.216459374463635,-0.170633642302644,-0.26471748264898,-0.611303331101626,-0.269896824976313,-0.0135373609852721,0.935528906862426,0.896113627673862,0.265689509388108,-0.212918921977726,0.0985663722108948,-0.301723566090043,1.26283248413224,-0.0795766469981398,1.41670109784433,0.448799647452625,0.253571334223205,-0.35956212827938,0.728923956595127,-0.00202872215506294,0.0754898756457692,-0.0539288196517582,-0.11473538304826,0.594191183260057,0.0209050305964382,0.622672991255892,1.29629596457756,1.02809468179678,0.508853175102135,-0.291653191651794,-0.347416225305141,0.238096555691652,-0.296023728443952,1.29248659681949,-0.625207936999105,-0.782562592151717,1.41534405517408,-0.292088173055605,0.192023907679822,1.13035916721031,0.50670844252756,0.629688249141638,-0.265717724266263,1.06276768551358,0.212111316457664,1.02965077357665,0.0188209272946271,-0.602570128343108,0.544683435258575,0.486371550471123,0.379239906705669,1.74194239546948,-0.0160805334516309,0.810341511239396,0.70157857417368,2.16157016340844,1.20992938564788,-0.208367842708626,0.0862124879544572,0.188535869855482,0.826839367757514,0.679037307326767,-0.139554973891289,0.281369615327599,0.524844858335075,0.0476036245522642,-0.232031334075585,0.592002781367905,-0.122267625881093,-0.0101334143674724,0.626062994823131,1.14670151621459,0.974358485023461,0.699618015440372,0.132926354247751,0.698107991560294,0.685139106637638,-0.247378960645065,-0.0395451919631542,0.821312393625334,1.22379795109681,-1.09276432679008,-0.219889035875416,0.00226100204882264,1.05889932626305,0.507111869369533,0.128312676233189,-0.156214504072094,0.681137356925512,0.0634497085161834,-0.019747252266015,0.25395833856926,0.6948546331789,0.849212902481531,-0.0402935748711925,-0.678523576257956,-0.166666666666667,0.813779093744556,-0.0558960910339256,0.249707875262856,0.145043217090916,0.944659054280853,0.516581842939855,0.116535629196978,0.0584144548807322,0.813129415243368,0.145261667830634,-0.0847781676220307,-0.225481476610038,-0.190907506719342,0.587283461151869,0.0972373191485182,0.205046886498602,0.971424544918321,-0.128717676932075,-0.0313578715887612,0.635082189197548,-0.290621575416081,0.762902306367404,-0.149208072482727,0.943942314331012,-0.256023159526029,0.0955367738748329,0.0645082150224017,0.69479921280991,-0.0746950895917248,0.21782462897126,-0.101222144854025,-0.236470284949872,-0.175851852547028,-0.156590763644981,1.58871583082919,-0.273123070369615,0.468909911169007,0.681269505644836,0.528212869396526,1.49432015551668,-0.201218729635208,0.427417113652945,-0.951733636060683,0.0373100540258993,0.292537039861724,0.615013650623172,0.422747981155716,1.13088931148918,0.0351953939426855,0.742312047179463,-0.433843956141865,-0.365192639191143
"FRAT_Ctrl_2 (GE) - TPM",0.493248689379808,-0.372724256584154,-0.32790598771376,-0.122293215078216,0.568919639025692,0.134013197678229,0.670638664313932,-0.122943686593258,0.80698675614973,-0.662247487999926,-0.530585469503871,0.134485015717344,0.304184610861371,-0.347493567114183,-0.641253501275246,-0.225395942773247,0.965687020556377,-0.975905940793277,0.414768802610562,-0.322359757739034,0.00260215043244211,-0.207094058284468,-0.343489513871942,-0.330825104531847,-0.0389165309770691,0.244317175133948,-0.484563305980371,-0.676218205402238,-0.354769323803012,-0.89192434639114,-0.0378054718533251,0.273697281781368,-0.148834464315881,-0.263236871730576,-0.841309771173805,-0.79844423011912,0.266764972287921,-0.463970325082382,-0.843388783508712,-0.578031547047381,-0.997875973562178,0.078854965824606,0.037223889536604,0.58286654210591,-0.167215343914782,-0.180202198163687,-0.218677424086836,-0.631833299863767,-0.23671124237631,0.0792035209596691,-0.409535263490685,-0.141389741386038,-0.773705563644703,-0.756451510161084,-0.808484278381383,-0.34811389153162,-0.324710600878984,-0.0934616677025228,-0.391581360415957,-0.563499869713087,-0.459922639589155,-0.0450862862273674,-0.0951460066211482,-0.0390711376320748,0.565175717673388,0.521634106301241,-0.434057016544585,-0.689853716622118,0.145974062577761,-0.303417734042972,-0.0675706494074264,0.0998737321265347,-0.0872246288232614,0.15195356553506,0.451835988289385,-0.662540519990487,-0.62409724432636,-0.708106958001146,0.750041812206228,0.98313457597095,-0.00571977138678981,-0.109096170675331,0.310859537975414,-0.804395180761188,-0.755467271750559,-0.440578674777902,-0.399443256928912,-0.193344317120353,-0.0348690769654656,-0.0506809536271612,-0.168867174331447,0.322508001449984,-0.171268103767094,0.241396003744176,-0.00928684840500544,-0.456164501732416,0.637287255033761,0.447088723603765,0.237447950206735,-1.14020502147975,-0.603061701726129,-0.723049778403353,-0.555011902605066,0.362855267320857,-0.517969177889251,-0.873151841413827,0.714626966830537,1.31788403734469,-0.0713554000066469,-0.150991462606454,0.0454098314710798,-0.241432206280217,-0.326386071491196,-0.557722399123482,-0.166666666666667,0.777235224497537,-0.581277414819288,-0.616284854861781,-0.422353645346254,-0.879088522274793,0.604582794162412,0.107704515603696,-0.523479025937621,-0.19230782556176,0.0436814213949234,0.526953568982764,-0.570718465739403,-0.647070278731526,-0.0793674812304448,-0.575693922673756,-0.547905797511249,1.00756650735063,0.282832293052142,-0.503032954205439,1.25226841202843,0.0257978980519232,0.70224329282347,-1.14159125338167,0.394219058398422,-0.496194588742881,-0.277388366753119,0.0224654645960797,-0.0153800636724698,0.367162172312249,-0.634047279688226,-0.577846914359134,-0.513981286001372,-1.17711826394032,-0.519019052195321,-1.03838847267128,-0.746220861462693,0.177268048789178,0.233716266002379,0.00403284603373856,-0.26655713732623,-0.450696582338615,-0.178472469604954,-0.687984350056964,0.904137936091318,-0.143474696247548,0.300744850445946,0.220620675729615,0.139788375359987,-0.407363344363818,0.524443204450862,-0.524741604272401,-0.470556991733991
