"","YPK_0159","YPK_0231","YPK_0292","YPK_0843","YPK_0923","YPK_0924","YPK_1069","YPK_1437","YPK_1527","YPK_1557","YPK_1558","YPK_1684","YPK_1685","YPK_1713","YPK_1825","YPK_1853","YPK_1881","YPK_2064","YPK_2085","YPK_2109","YPK_2139","YPK_2564","YPK_2565","YPK_2566","YPK_2656","YPK_2752","YPK_2846","YPK_3015","YPK_3151","YPK_3340","YPK_3352","YPK_3482","YPK_3483","YPK_3491","YPK_3539","YPK_3681","YPK_4096","parD"
"YPSTB_As_1..GE....TPM",-0.0418546160371195,0.515260970271948,-0.0814708042290612,0.540653214655613,0.250662953127233,0.300802225094162,0.734705875656827,-0.0182721441629402,-0.0123752634543349,0.752597585834889,0.337219058517445,0.641863018889322,0.271165748199997,-0.3535659822799,0.211940354415091,0.838613756260435,-0.0444021724864686,0.4657897984511,1.24557874443057,0.0376788171327473,0.475619516215568,-1.17962897777512,-0.448727194495303,-0.810150652587337,0.35951579864611,0.92452319362019,-0.287959800255686,0.179614108556496,0.99523861596617,1.15640053633707,-0.258578183424188,0.610941424760076,1.07916447970944,-0.105677085212625,0.120789267733955,0.158792140226948,1.17330458149318,-0.846694529880575
"YPSTB_As_2..GE....TPM",1.02330787023281,0.316557301487297,0.399570172171641,0.413486412751663,0.144162426074978,0.0529355893135888,0.361616652034571,-0.561742149460749,-0.122491671364507,0.326934374222668,0.373243924621275,0.678623196836658,0.542558020451235,-0.355882664278439,0.197537033624116,0.291202655004626,-0.115743646321625,0.461727855469106,0.0179122218545142,-0.199160258369451,0.766059877103229,-0.409558257145884,0.405919956302162,-0.390168174200025,0.565667102307065,0.556990949511864,-0.417499700890232,-0.0685990012413576,0.585640242271819,0.456532609248922,-0.581761152752397,0.890043875350365,0.124941201358905,-0.384177834452699,0.539495175563173,0.132326546716926,1.02304221619145,-0.770201089235356
"YPSTB_As_3..GE....TPM",0.956246483581851,0.175240917162613,0.109940381994128,0.427959934972408,0.0909398959837832,0.0438622361624071,-0.0545822880159188,-0.453380556469174,0.197426156918944,0.103928605129874,0.568539162972016,0.558928722188437,0.439249560411378,0.480796770987901,0.151114861041684,0.448167232430161,0.026757483346851,0.105329044369939,0.472435345658457,0.371287329140131,1.03286156345986,-0.181603786369215,0.872753676254388,-0.273457954937362,0.668777449738157,0.419602043386001,-0.447571430644351,0.253368501469626,0.119406995048898,0.658660181605316,-0.0200347215666547,0.601074943430365,0.264877163044977,-0.379429673506186,-0.491353030121385,0.16434402305841,1.06705328208116,-0.774111156207609
"YPSTB_Bs_1..GE....TPM",-0.732502765533429,0.827969288004913,0.462235779617699,0.258427156682783,0.445704990157083,1.0597291670815,0.0728541399709035,0.625325121928618,0.511412623349089,0.891331847964153,0.553365555052119,0.420155208955842,0.348168911813434,0.0775163937125508,0.435436850529225,0.228865708129063,-0.375139527175262,0.239682770180083,1.02343817744615,-0.487372815909265,-1.09067593270453,-0.427030885123893,-0.366842219076924,-0.493103665559024,0.258229312998266,0.662021118625933,0.0256230636472584,0.725994600400974,-0.487280958561837,0.272186335129559,-0.387512969673037,0.551951621174008,0.653637447440682,1.21429687793701,-0.0919777606832148,0.49433757793976,-0.00701516149260315,-0.194955841370138
"YPSTB_Bs_2..GE....TPM",-0.605630101976354,0.875618071385872,0.31221316518506,0.225288696651412,0.339367617957711,0.820208980142054,0.244799848373449,1.11031870004716,0.980944553095832,-0.302021638749975,0.656208108024508,0.926771595151365,0.203517066460271,-0.215967982912981,0.479844743673331,0.242504801263662,-0.0734345211418969,0.593240154000597,0.71229943445077,-0.37114483123413,-0.66576403564001,-0.429570886710028,-0.462778378373334,-0.419881706788815,0.326656309572834,0.987769911698114,0.0552352286080111,0.664686635790271,-0.255241119253902,0.482828877972506,-0.4354279675643,1.10515625729443,0.589216897350435,1.09658434369728,0.125957026483511,0.460681598253724,0.0456990349487144,-0.537876595946089
"YPSTB_Bs_3..GE....TPM",-0.544087555127968,0.720893920299814,0.409392798790374,0.278435240653893,0.336681191510023,1.03233700585024,0.121910477343145,0.574400333607258,0.652818174347944,0.349293691075567,0.772305209548999,0.750181955134581,0.313169181398216,-0.449003374673508,0.396537092307186,0.126118555998004,-0.176983271885702,0.184914208176701,1.19900438696591,-0.654978687474139,-0.733508929468063,-0.372243823522825,-0.349656093067527,-0.443432949534463,0.113656497255711,0.97664914879928,-0.0272493539090256,0.693922756766588,-0.683462981701652,0.351683625892543,-0.539916504362703,0.688209157166358,0.502379438280559,1.13816619067131,-0.218755391506979,0.507357463094309,0.0598910277493167,-0.385267528680647
"YPSTB_Ctrl_1..GE....TPM",-0.620054675076528,0.262573778697934,0.0490388522544254,0.143865740631129,0.470781871037061,0.156935600029823,0.05688228742928,-0.398036392651711,-0.634830137162014,0.151133878337448,-0.25091552862781,0.423316005406682,-0.0173300891795393,-0.254799696944898,-0.0536155440249658,0.0998114541559181,-0.374627035398098,-0.142361167804682,0.581916065968725,-0.185140573054918,-0.34502276926611,-0.348305438343714,-0.678386076341694,-0.637976594572472,0.209888075998474,0.29986715488588,-0.361767973280781,-0.311816638098024,-0.0206708204020633,0.0687273198574223,-0.249570131481525,-0.251316720917206,0.171256515026192,-0.391498084231432,0.678671391521867,0.29840078348325,1.07163982216673,-0.157452366747297
"YPSTB_Ctrl_2..GE....TPM",-0.857863125486038,0.56949290795551,0.210097397874567,0.00702448824062668,0.368694518085531,0.308833306284,0.617140545668786,-0.72992724119989,-0.583994128414854,0.139047870150544,-0.502075487165034,-0.146213958380918,-0.00222878666843207,-1.01608996570714,0.0436688508550834,0.234219365242789,-0.243136233102978,0.563047956487388,-0.274586038338219,-0.482461246183677,-0.127896073699651,-0.444717494381498,-0.614742564438794,-0.644130409798824,0.168680389388793,0.384348678811613,-0.447817953947785,0.103627485987888,0.677120782345456,0.174181424904297,0.378645937988892,-0.375064445175238,0.0358282966400694,-0.40968410935322,-0.0345555112854059,0.259215471821175,0.989063465460632,0.279165537327008
"YPSTB_Ctrl_3..GE....TPM",-0.965750652643541,0.615021770042099,-0.0783899572498913,0.00114501331814705,0.398379669722172,0.150406249304681,0.34827694960567,-0.644726043470483,-0.548861171485561,0.149993697171532,-0.363435841120409,-0.0371687057560586,-0.241718952253436,-0.941440697474766,-0.119798035998102,0.189623308148009,-0.307403834248496,0.779430539978644,0.423890297808141,-0.264239393459667,-0.345883311183433,-0.427806785355293,-0.725677572142062,-0.544079119466325,0.223138308407643,0.252837945184049,-0.513731445305031,-0.292541527830669,0.311400019866026,0.440516903945867,-0.117993874493751,-0.495337947254235,0.023098531178856,-0.519815153071749,-0.150126627926798,0.145422929692659,0.173427218560284,-0.0893971290556658
"YPSTB_Li_1..GE....TPM",1.00020651154438,-0.239141124958877,-0.640547747367719,-0.752073209528694,-0.606393206123827,-0.211171185525716,-0.309575395937726,-0.15302299405578,0.502204332797297,-0.542545645733755,-0.66359663148893,-0.333894272784827,-0.0612553361449178,0.614256165806746,-0.922891010850204,-0.640132524375692,0.467658925159098,0.617478507931771,-1.25732991512201,0.596157881213286,1.00640811595159,1.19997128192378,1.05568992962629,1.60928314074275,0.162102739488016,-0.497765441949868,-0.317982688549125,0.168490931512245,1.41447537865281,-0.27125700231101,1.65806833649745,-0.246430802184429,-0.0993214797748106,-0.465285484096996,0.362412976543976,-0.817983795799082,0.917131850455295,0.138607316969144
