"","lmo0528","lmo0751","lmo0752","lmo0859","lmo0860","lmo0861","lmo0862","lmo0863","lmo0864","lmo0865","lmo0897","lmo1153","lmo1156","lmo1165","lmo1166","lmo1168","lmo1172","lmo1173","lmo1181","lmo1574","lmo1759","lmo1962","lmo1963","lmo1992","lmo2006","lmo2221","lmo2332","lmo02333","lmo2470","lmo2488","lmo2760","lmo2826","lmo2827"
"Listeria_Mig_1 (GE) - TPM",-1.3105421352832,0.446176630388167,0.245897122507405,-0.637186003099306,-0.491306266466711,0.0454332159260605,-0.147269770492171,0.125653472176255,-0.549604012765187,-0.758176870242396,-0.52335878927787,-0.648746559886994,-1.93666774438281,0.947744952637016,1.76870373677972,-0.248301900003102,1.9076053330277,-0.0906588628335182,-1.03907809257192,-0.220641335036095,-0.0859686675692467,0.330510231089636,0.627714644645866,1.50626666061648,0.927643465254738,-0.140444176885568,-0.512987371247021,-0.658420903473151,-0.0506418792208452,-0.405901603170513,-0.748220925224317,2.25026128807644,1.55430155565974
"Listeria_Mig_2 (GE) - TPM",-1.53401202358376,1.8862663784925,0.7832463498208,-0.637186003099306,-0.218583685977056,0.22784561343123,-0.396352744703965,-0.726339923857184,-0.134549222163543,-0.284556596769518,-0.568512488462069,1.84845583211175,1.45679632838232,-2.03558572872576,0.786499580991182,-1.67006756691902,0.648970726000997,0.148302142573884,-1.03907809257192,-0.147266951596363,-0.191089616573898,-0.132525915015677,0.213685374918057,2.015805435601,0.82628931426007,-0.0310254733500433,-0.718531212306507,-0.545731458691763,-1.14570007209997,-0.719219047100523,-0.619638650319502,0.61349161385183,1.95878953367937
"Listeria_Mig_3 (GE) - TPM",-1.75813698807928,0.816865323659889,-0.97308591289482,-0.337836406403379,-0.803855721492803,-0.0321531333905563,-0.527790023721026,-0.421546392387991,-0.496231253274803,-0.523215072672045,-0.360542928366264,-1.55842505003724,-0.640074541132434,0.0989376090389173,0.668630386738306,-0.822359551695894,-0.477708679031644,0.316419005474177,-1.03907809257192,-0.308672112649423,-0.462364742805524,0.627938442250592,1.29579922476189,1.31423039184795,0.484596105907323,-0.124995449488801,-0.711799863314343,-0.300589732802614,-0.218816949365984,-0.806752901433682,-0.841261736816381,0.137632852179427,0.949548369725007
"Listeria_Nd_1 (GE) - TPM",-0.849095378219734,-1.26150912189902,-1.03471163643129,-0.305302213550864,-0.390642345417362,-0.272853717654664,-0.68488187223864,-0.694157125093344,-0.591225681562355,-0.529587503025194,-0.955995524330388,-0.527571996913291,-0.396477646118293,-0.570603595869022,-1.04897621545134,-1.13301647513302,-1.8312468687495,-1.65387144220714,-1.03907809257192,-1.34902235569524,-2.21469628642181,-0.062649178970332,-0.674089796265421,-0.403755387353012,-0.976915806455393,-0.964202053625214,-1.40575979090635,-0.940737831326339,-1.34186380344924,-0.891670448772907,-0.677484787611004,-0.730391062092662,-0.567783392439275
"Listeria_Nd_2 (GE) - TPM",-1.18937154652094,-1.47975706955159,-0.326308975915912,-0.383393310226039,-0.803855721492803,-0.688967126979965,-0.522885139939556,-0.295659698160128,-0.546555286036118,-0.606997041467041,-0.963377883928987,-1.55842505003724,-0.562580873131872,0.37731847798245,-0.322914008813188,-1.67006756691902,-1.83988993618962,-1.64314670448259,-1.03907809257192,-1.43616373446421,-2.13967375262308,-0.516540245158173,-0.504156522670275,-0.387893876181162,-0.972180258679753,-0.958621804010905,-1.27281684335544,-1.11211357042325,-1.64251764443736,-0.785587275418181,-0.639107519073285,-0.708213201192978,-0.594986890986168
"Listeria_Nd_3 (GE) - TPM",-0.773652872348995,-1.47975706955159,-0.550902481619363,-0.425232453951993,0.0757899492748565,-0.688967126979965,-0.277097343365871,-0.630425208196361,-0.670816735153523,-0.57637040423437,-0.957807460077229,-1.55842505003724,-1.32463522637576,-0.0204622648502052,0.528007003169763,-1.13654132818721,-1.59292268253569,-1.63832945507615,-1.03907809257192,-1.36036491819737,-2.12055389386429,0.660651700230307,-0.418550627117125,-0.279017066094711,-0.886782979641132,-0.917506466028862,-1.30671840117135,-1.11211357042325,-1.19449682655394,-0.829495895245896,-0.649614844671065,-0.731159036930989,-0.402379934645625
"Listeria_Ns_1 (GE) - TPM",-0.0417335637230027,-0.220299120385702,-0.39490587298042,0.0938481046497308,-0.0373906772924024,-0.0511235861449975,-0.306972670168129,-0.186592866366042,-0.146879557650139,-0.343576052674674,0.157397424255695,-0.628923130754052,-0.936759031215894,-0.755281882345663,-0.245108748558986,-0.50786889499872,0.0541716940645062,1.2907249169503,-0.30430332129289,0.261351449488055,0.666452154362874,-0.797759259340707,-0.749190033430458,-0.724179383680637,-0.51665940108429,-0.148785437388734,0.100303537083313,-0.694892114325296,-1.07321974606468,-0.453191298003013,-0.337614998027494,-0.650457075879698,-0.547094653667217
"Listeria_Ns_2 (GE) - TPM",-0.246287666624549,-0.459436183198824,-0.270039697671784,0.110894586178689,-0.126473149016407,0.261602871638332,-0.0747327501411774,-0.0595448955907064,-0.234262672773485,-0.273460722106179,0.31456635853087,0.0845158934889325,-0.692949940235401,-0.63468045714766,-0.79371143530448,-0.585883210103385,0.489914699888556,0.674437611862521,-0.461855421934515,0.507694314018752,0.903513032395183,-0.409280900249869,-0.504174015287807,-0.440036340515989,-0.124479277150826,0.249514566185822,0.479843135915363,-0.142490623256008,-0.204999939226687,-0.350585374904378,-0.217981371144659,-0.598752369336946,-0.525213810841616
"Listeria_Ns_3 (GE) - TPM",0.399151696112913,-0.322449130924125,-0.355540390798163,-0.158889164813546,0.181018905112149,0.0375743069679447,-0.143954462686994,-0.0895001967215563,-0.0851881000060301,-0.346626142640235,0.0306037557327723,0.441450301176217,-0.303228120538569,-1.02992156740161,-1.18320819262023,-0.385070195723569,0.793936189502987,0.934948775607969,0.0148612436367087,0.293619450348956,0.744133049492923,-0.868960353263901,-0.577171935243872,-0.668044258203776,-0.52316515654325,-0.0360122313216935,0.176101081677621,-0.480416143645446,-0.709278589386931,-0.432079777957938,-0.243316708664256,-0.660755424555168,-0.689531878785576
"Listeria_Oss_1 (GE) - TPM",-0.441116849225853,0.766242853574743,-0.222089716835539,-0.545222246649441,-0.403106139447583,-0.419925699488227,-0.518113733494224,-0.393411220064765,-0.191986688071727,-0.22144859667553,-0.286854850892282,0.107840508823613,0.287335018805338,0.0591742709200895,-0.466179711847282,0.181850545009151,-0.667783491249234,-0.365811077799903,0.351288291139554,-0.41631701382799,-0.132441096039408,-0.502406510922151,-0.509538270556758,-0.386704444097563,-0.580851939625094,-0.407153352985762,-0.627338986603091,0.224463833587109,0.957450307208276,-0.411310730974681,-0.48243965355378,-0.311521697782894,-0.385119691981902
"Listeria_Oss_2 (GE) - TPM",0.0444136807202967,0.379511302853395,0.0195516483872981,-0.343166459016299,-0.604180995936726,-0.454378353029301,-0.635312953459966,-0.375566999915443,-0.197016954250384,-0.224339480137737,-0.357981707100224,-0.783551186052613,-0.200067583196334,-0.0449532347561596,-0.0922994243354253,0.482955003414905,-0.756753854720983,-0.416388736032889,0.0668981900182403,-0.32525565615401,-0.0101721974809507,-0.479610237301917,-0.585805697032576,-0.376302456309726,-0.570512989778978,-0.362293412985162,-0.649352514172654,-0.0493478437759074,1.63442627983757,-0.316582804204792,-0.524668835639666,-0.36853973631474,-0.314407775945422
"Listeria_Oss_3 (GE) - TPM",-0.329412186846413,1.18121026434935,-0.310770536718088,-0.487111193912373,-0.264063067905823,-0.640184212101613,-0.533325114385872,-0.364137728599262,-0.108530277320675,-0.270178754705825,-0.284657310064412,0.737757424580541,-0.0588056232387211,0.580248398164697,0.0751926134461425,0.218762528383829,-0.765137818974388,-0.313891156142327,0.553150769229021,-0.387233980560372,-0.125898210566563,-0.474658945411018,-0.446519401962156,-0.352235964994641,-0.58416386735344,-0.373488232665354,-0.655916350876767,0.424861457572462,0.895270057168176,-0.447251380819408,-0.447426652184993,-0.4084379904594,-0.42573746810865
"Listeria_Oxs_1 (GE) - TPM",-0.0791268964797301,-1.12848802788398,1.13587871379796,-0.0648659393609597,-0.461822303991853,-0.153181072316084,-0.119284952375595,-0.508788060385821,-0.321138494057478,-0.368450903079131,0.62604916901838,-0.397017863522946,-0.449310527986821,-0.838507261786465,0.132159633575008,-0.0277432920273281,1.18435488185433,0.320071340352481,0.49108317277231,1.73992599777047,1.57845887020659,-0.356002315984989,-0.101856199264164,-0.180609518946221,-0.0697851946065713,1.25998380984916,0.790772959459495,0.0877401577489764,0.0995257324844197,1.39221155299448,-0.165908056290864,-0.00620922705660156,0.668586702347346
"Listeria_Oxs_2 (GE) - TPM",0.92092275296591,0.0879079198203421,1.39112925266552,-0.308790785335227,-0.349555816641266,-0.422098955799634,-0.576096210971769,-0.602500156221129,-0.363379906487101,-0.238952703709911,0.0877827519091681,-0.632853780075838,-0.198178279773162,-0.0408602908062652,-0.356937079064055,-0.36123447008,0.596850163251679,0.0470181711448976,-0.516458393993613,1.7096205317456,1.18877491304415,-0.313634526398297,-0.684056210323652,-0.49356809246476,-0.473033025824896,0.956308951753038,1.0492944960509,-0.188875520281578,0.43993713896634,1.85187601154418,-0.145664795859739,0.233209767550311,0.236889554845547
"Listeria_Oxs_3 (GE) - TPM",-0.0137350160674897,1.01374406348725,0.148098394247441,-0.409677992852797,-0.480130176775526,-0.475031247609706,-0.583274292197638,-0.406448598101456,-0.252471502809132,-0.481390107211645,0.0123752802653642,-0.145115124237287,-0.880859670119901,-0.258831066792115,-1.06546592084044,-0.105424840096937,0.634082583965099,0.531513449735857,0.202285045519681,2.00794054841661,1.18806091374187,-0.63387326833429,-0.956693355695417,-0.491441490194851,-0.400311022759297,1.28928628344332,0.236840542814797,-0.113542641438397,-1.23031819812727,1.57883023427884,-0.133520856865369,-0.183434415489109,-0.0226990492656383
"Listeria_Sp_1 (GE) - TPM",-0.284564199698577,0.301280934475686,0.641525381620706,-0.164294844552108,-0.0545054380713939,-0.248778305472482,-0.301991371252844,0.0226462297655824,-0.0512573407704525,-0.203156590952987,-1.08035445353724,0.3109965912017,0.639181338445023,0.246453114799282,-0.435567891661122,-0.587927197613691,0.470513959494841,-0.0132272978441698,0.671321044724996,-0.0968284370416878,0.0349150707587567,0.339371454690409,0.283765518184899,-0.74766780577393,-0.596911522194979,-0.608927784900708,0.379306167345284,0.0144815246951651,-0.0977081429051937,0.0292039303187773,-0.136979176082687,-0.293339842390883,-0.404945548419052
"Listeria_Sp_2 (GE) - TPM",-0.0132312656799065,-0.893387643066609,1.82518506198137,0.0793395391254527,-0.447010406718832,-0.549220004720913,0.307009630672365,-0.272393851839282,-0.510303697005666,-0.19974910462351,-1.13092106660455,-0.519822992124884,-0.281448725864221,-0.67312924834487,-1.38684052695308,-0.227165840369737,-0.188825887101591,-0.247979774975503,-0.126834934826158,-0.22429388282351,0.0503845736864201,0.4438973836195,0.508350999748113,-0.770905688892295,-0.559626491896339,-0.566729070175938,-0.0780744445229409,0.0102023266103749,-0.43086212486982,-0.0941725382750501,0.286590230107211,0.279096115936778,-0.311747013596453
"Listeria_Sp_3 (GE) - TPM",-0.6937018447901,-0.601641720548654,-0.44993960743514,0.00663209004880238,-0.447594140753552,-0.37505045378557,-0.189482445064304,-0.143649711058756,-0.19473804888917,-0.150162808170867,-0.954375285988615,-0.00307040974337478,1.31671403749233,0.00475589501570957,0.0427758462968529,-0.319560002590884,0.466696545398467,0.323767904109137,-0.35601492213869,-0.334412172835727,0.034414717336087,0.827315009765345,1.47613089666948,-0.0170374714883195,-0.319714373602478,-0.543343321761535,0.140849073717039,0.568606418308125,-0.962076316731401,0.0389636770832007,0.146678988310794,-0.0823743812176043,-0.5663029807449
"Listeria_Tm_1 (GE) - TPM",2.81607913966868,2.03695321834952,2.71446162479554,4.03256039675772,2.9628174689977,4.37330032559007,3.25289674395741,3.62189800731714,3.77450910652973,3.31627492235395,3.25879747141885,1.88825750585932,1.93488650335573,2.78544527825722,1.42674659245628,1.12075191548255,1.0910448811056,2.35330466262092,1.6417685364019,2.56536654829062,1.78357786926901,2.42359521641587,2.28587934576622,0.436644269204951,2.19635808257369,2.25820649344149,3.05809623350183,3.83776937151494,2.71757471952847,2.54641248862282,3.03824352806896,3.3256614773803,2.43834902942839
"Listeria_Tm_2 (GE) - TPM",2.3184412255748,2.33200754080823,2.10688233312722,3.04070865779943,3.57448206510325,2.66165339543545,3.33945635147113,2.73374956694893,3.14675332581032,3.49763267083473,2.46242639307104,1.5981470243367,2.25552028228486,1.95189644210687,1.71559513992817,2.83708757939703,1.66970311010246,1.30275561570229,2.19554688314822,2.16605031315424,2.0204763386179,1.7247786243326,1.78955709632613,0.537835282611336,1.91490119830535,2.04128221113806,2.55657828769461,2.70703963017979,1.63083785455896,2.64558035520752,3.19263836096373,2.26666805059428,3.03241631535799
"Listeria_Tm_3 (GE) - TPM",2.4165644917713,2.12605544478556,1.23875355778457,1.84544308088902,1.83883838937996,1.80594648779355,2.63531269785436,3.02995085407075,2.41793626914094,2.68664133541325,2.97458812730591,2.28736951202619,2.08551396067562,2.19859481324544,3.33855216372596,1.47840249733405,0.864925750123166,0.595803108897165,3.66586194241032,1.51058079470419,0.859800494949745,2.89890745694118,1.7881747189354,0.399360790836378,1.89409494970742,1.65258007504703,2.4564551532388,1.97046672116965,1.24171668049544,2.1071767231053,2.84208157730827,2.64481382292128,2.22716546333589
"Listeria_Vic_1 (GE) - TPM",0.156829458522649,-0.00117041354682155,-1.60116930233557,1.009932145735,0.00528441158259959,0.425555246190977,0.221145740730463,0.764391130288573,0.0766434423538555,0.298403010854895,-0.457051454855295,2.17710948702944,0.635553677331432,0.787436244226047,0.735683399493538,0.445289914818215,0.778112700456595,1.41678519925999,0.137823917102226,0.33795839779057,0.547262026545566,1.14353627775662,0.910606149072462,3.39207090403359,2.44725731572751,0.447349155144573,0.595965897606005,0.123175496501281,-0.718820658710633,0.567176344900406,-0.020729284643655,-0.632322412244978,-0.700801642112957
"Listeria_Vic_2 (GE) - TPM",-0.145817352616337,-0.499103780752878,-0.323406118261862,0.504079128747564,2.0380186509646,0.245893859560377,1.0150995023133,-0.106595903170228,0.635493487178949,0.352544128986322,-0.00771437947330516,0.0958360254845673,1.62246436399989,-0.950541314667541,1.00261203007396,-0.118768975136415,1.53533228490284,1.88647023953216,0.26862152369702,-0.0689768730319696,0.237837989330719,0.423612441206664,1.17407931492288,2.14963564608646,2.085204195689,0.672071935497018,0.252381203041871,0.0429500899761449,0.0943892805052101,0.575466362633274,-0.289219085304067,-0.647111451777087,-0.820027493227282
"Listeria_Vic_3 (GE) - TPM",-0.245507779873681,0.0890222980124595,0.994592406905439,-0.398625940069395,0.12963652018222,-0.389862306907761,0.0897394107664888,0.152721266359463,0.264834125402259,0.0409613885684095,-0.919371122468501,-0.323452764120141,-0.460537209003101,0.232496039515461,0.28077867301879,1.80425241180941,-0.720843291336806,0.251750913219458,-1.03907809257192,-0.0682105533582886,0.112101981516718,0.483663114754634,0.814358954799088,1.57236330283721,1.03554254381723,-0.453165330809733,-0.161415280168357,0.242931456237438,-0.345846914707645,0.20892761539282,-0.218358217048595,-0.342757338886218,-0.457398341066252
