"","lmo0528","lmo0751","lmo0752","lmo0859","lmo0860","lmo0861","lmo0862","lmo0863","lmo0864","lmo0865","lmo0897","lmo1153","lmo1156","lmo1165","lmo1166","lmo1168","lmo1172","lmo1173","lmo1181","lmo1574","lmo1759","lmo1962","lmo1963","lmo1992","lmo2006","lmo2221","lmo2332","lmo02333","lmo2470","lmo2488","lmo2760","lmo2826","lmo2827"
"Listeria_As_1 (GE) - TPM",-0.553590534646219,0.428866211895293,-0.154510650348705,-0.53962660348106,-0.591288890086517,-0.296526217697212,-0.644473236422539,-0.428339115493805,-0.42277465533842,-0.559901186101569,0.244045559061045,-0.939747042269969,-0.246405177287436,-0.876167568177534,-0.791916993469012,-0.795206516828658,-0.39972057079483,-0.682421687150371,0.707590827259078,-0.538097853900596,-0.357830664022445,-0.640740206735453,-0.665270623063478,-0.339287755561354,0.0669736148484076,-0.755612966271509,-0.477276498387348,-0.869674191970924,-0.327877743555902,-0.452730973812801,0.498136898743362,-0.125090106033545,-0.185643359509876
"Listeria_As_2 (GE) - TPM",-0.262931014028944,-0.457493919314241,0.0116790682253116,-0.425204898070971,-0.577631713070129,-0.688967126979965,-0.124732679909998,-0.356335065805341,-0.458934624815776,-0.490490667103415,0.0182822465952348,-0.241570318513207,-0.231498356564283,-0.596024694270644,-1.1186883538063,-1.0983579934111,-0.068591439426309,-0.531172375269246,-0.749917362076889,-0.629667930400671,-0.593157551813918,0.251077189895813,-0.586279595736036,-0.377171064620128,0.375816072133559,-0.776477249111832,-0.662227762753753,-0.34588473405972,-0.490314335042445,-0.503254582986516,0.704609521224416,-0.216292524459645,-0.139770184005175
"Listeria_As_3 (GE) - TPM",-0.211543674190472,-0.04051125912701,-0.220938783899936,-0.529988169768743,-0.770488937695955,-0.453760406168029,-0.52703157422512,-0.289750644409452,-0.575272971396839,-0.477951496968765,0.21491685671221,-0.684395660056131,-0.717845480987468,-0.697924047666738,-1.20227381460089,0.25251927545193,-0.00877220004387459,-0.323430380366835,0.368358723009004,-0.472360935165586,-0.483906664041357,-1.1231400237417,-0.908954005542562,-0.550075858014947,-0.0135172401895737,-0.771031722698349,-0.600015214224264,-0.773070087327194,-0.792799725578585,-0.490119527224263,0.582644624061589,-0.149263591375797,-0.423971551368244
"Listeria_Bs_1 (GE) - TPM",-0.342867846812858,0.0243921156157082,-0.717858992511407,-0.499602890388672,-0.504083414182491,-0.437403641035045,-0.472753310110146,-0.317758142549482,-0.361466478973187,-0.283656149892368,-0.139635676252212,-0.498972340592365,0.893966808399206,0.744031736905492,0.011622211472364,0.213058913180711,-0.719502394998933,-0.822955760747439,-0.135890350666831,-0.716435188815803,-0.632734436966906,-1.56211384339344,-1.61630291039356,-0.462365240708991,-0.696046945655836,-0.425001334774491,0.0413843666682639,0.426436687900645,0.593152673948161,-0.317049036378573,-0.00271335767058412,-0.323933799595546,-0.128714746093792
"Listeria_Bs_2 (GE) - TPM",-0.248134614827675,-0.490146519592763,0.780574031994293,-0.576722308697478,-0.653294542682928,-0.571042129188856,-0.338743914184619,-0.233833686381704,-0.359370335829081,-0.134078180867087,-0.314559061882322,1.07083435801636,0.158456246842732,0.838671622061215,-0.974837761209167,-0.604679546048762,-0.639508979362001,-0.701610764178915,0.500506702503923,-0.784246848399296,-0.869956603895859,-1.49024400308636,-1.6994435822575,-0.480063613117872,-0.725516328920561,-0.425088650692345,0.0397287362185134,0.199202158526926,0.0189639453786353,-0.359966749015018,-0.318259271956943,-0.427372816274269,-0.486430625038104
"Listeria_Bs_3 (GE) - TPM",-0.399856900336029,-0.68031911301071,-0.783804754257091,-0.441808246415364,-0.438971814972665,-0.593703672789107,-0.392470362759642,-0.306374748840155,-0.395260512259909,-0.0614266279512591,-0.416181777020995,-0.0244272689570953,0.743133180109528,0.750710868008159,0.264269813281141,0.850417205026554,-0.847230007767918,-1.17380735830526,0.671042589292662,-0.975617002760979,-1.158134437952,-1.59769585735764,-1.74356436592941,-0.255647654576714,-0.630664773724275,-0.756169660059269,-0.373180798225577,-0.347048163288862,0.422399473349447,-0.461561344294207,-0.389156726681255,-0.427725958896198,-0.184801418408524
"Listeria_Ctrl_1 (GE) - TPM",0.714736765635176,-0.636219215592138,-0.345462447092933,-0.299840635609829,-0.0571653433197471,-0.140684226276885,-0.178574523020277,-0.2853281952994,-0.509466313765913,-0.292402301400335,0.381690334435534,0.252616810362887,-0.04256255409392,-0.78831350080667,-0.706101253970945,0.500009547299706,1.00312497063261,0.695867534714265,-0.0846544808340103,-0.0609902150523615,0.69807104183345,0.421591052917248,0.449252837372045,-0.773476895401446,-0.5571112261424,-0.371632157073037,0.0100879712190507,-0.47984679233073,-0.295607375317547,-0.520890266394203,-0.264163521569558,-0.641833722624786,-0.73139708674499
"Listeria_Ctrl_2 (GE) - TPM",0.608367834613993,-0.110944798222032,-0.79271771009401,-0.353342906705375,0.104887390467101,-0.333086778934992,-0.167701921500786,-0.451097036376883,-0.513360372372032,-0.30206956658927,0.17027078391762,0.498724392099154,-1.23413697478129,-1.07179826905364,-0.483185147268258,0.626492999253988,0.419036687820616,0.727965404905718,-0.651891333301307,-0.0849197588361777,0.498821994530611,0.235074705172234,0.393849913709902,-0.846724082352955,-0.570824878252485,2.94361991288727,-0.279288266384819,-0.67240706500696,1.18595339991564,-0.517999234066003,-0.306555851231466,-0.513826343199553,-0.72414688162894
"Listeria_Ctrl_3 (GE) - TPM",-0.0419263610931388,-0.9664393754783,-1.20154339132313,-0.369555686160442,-0.137427108423704,0.289728792408934,-0.280101393842367,-0.499258749849105,-0.531269676472453,-0.355216399805521,0.078365397326374,-0.346145351915432,-0.777462408027416,-1.24044079380217,-0.400447995901309,1.23515564994069,0.652144701214457,0.596498958334836,-0.719640868630213,-0.0271278002594157,0.303084720724928,0.250963592454277,0.219351482758906,-0.881254841668124,-0.647113752198358,-0.406801439171931,-0.152843219866954,-0.870268824066244,0.266749007433526,-0.372236267912984,-0.18056327992511,-0.66393012068379,-0.74092397108637
"Listeria_Li_1 (GE) - TPM",1.49971506319978,-0.512314436557082,-1.21176864724901,-0.269394999030742,-0.149684561682398,-0.381544722977195,-0.532614906420121,-0.369692680207799,-0.188469715326148,-0.355500827401505,-0.21227330602927,-1.17763063584942,-0.343629633150728,0.961611204828349,0.676087455443005,-0.876526508451424,-1.26009025028049,-1.26391292813773,-1.03907809257192,-0.722284075982051,-0.720717670375734,-0.860312139102839,-0.352050218048785,-0.590186037407075,-0.797291106374654,-0.952148710344065,-0.898165513199077,-0.257485965445866,-0.642970981828894,-0.939885173354876,-0.728979939524603,-0.271093352714672,-0.571552002050811
"Listeria_Li_2 (GE) - TPM",0.132286814690322,-0.643349599336111,-1.14354214811293,-0.515008189670456,-0.569827989901148,-0.496503133745564,-0.586736311947897,-0.471161002747403,-0.33377240504252,-0.310662234979384,-0.316679924553561,-0.230201690309997,-0.125185546553892,-0.0251394121246458,-0.402073463171049,-0.694206394404845,-1.38713881253024,-1.22045886751625,0.486512910736338,-0.698577650631647,-0.568085128246909,-0.9248279632888,-0.664658350083053,-0.525497730844565,-0.814761259581831,-0.909655008931495,-0.693431378850402,-0.220370702744976,-0.0333862186239514,-0.885535616140101,-0.889330490198329,-0.414439097341525,-0.508907778671387
"Listeria_Li_3 (GE) - TPM",-0.0176124118789318,-1.03176498302791,-0.652437173073766,-0.296561239039236,-0.0768333816486552,-0.119536756768637,-0.0759080927622675,-0.164822923236703,-0.0206162637768016,0.0312936371477214,0.176048541609522,0.0285795994094037,-0.988214872364268,-0.416360768317043,0.0228176589563854,1.72897228094001,-1.08885469771345,-1.3113303259318,-0.574436182330692,-0.646123108251222,-0.582760131083606,0.260491799564641,0.717769243312725,-0.52306266420959,-0.64673603998762,-0.583890896874446,-0.126849132715744,0.295001149575446,1.75177763502666,-0.776795448221118,-0.672745135005099,-0.220256891683363,-0.503609353939083
