"","SF5M90T_109","SF5M90T_289","SF5M90T_606","SF5M90T_607","SF5M90T_608","SF5M90T_609","SF5M90T_1059","SF5M90T_1250","SF5M90T_1289","SF5M90T_1290","SF5M90T_1291","SF5M90T_1585","SF5M90T_1800","SF5M90T_2312","SF5M90T_2442","SF5M90T_3115","SF5M90T_3461","SF5M90T_3467","SF5M90T_3522","SF5M90T_3523","SF5M90T_3524","SF5M90T_3706","SF5M90T_3823"
"SHIF_As_1 (GE) - TPM",-0.55023027055897,-0.446978645190528,-0.546565560895771,-0.584466014179682,-0.420423850801773,-0.546038048017272,-0.549394861794542,-0.498300518445746,-0.500893650032068,-0.439217562112866,-0.531467847248853,-0.735796811487363,0.526487221346783,-0.178093668658635,-0.533600130271705,-0.434645834554403,0.911204736306299,-0.130039308846367,-0.499446879560001,-0.523246997320585,-0.483289992511004,0.672940836314194,-0.304903006305166
"SHIF_As_2 (GE) - TPM",-0.581320307335727,-0.446470037468712,-0.583663474243543,-0.602671995404768,-0.465017160623529,-0.531930118711662,-0.057039915028516,-0.149628922901156,-0.496779107481259,-0.445484748694098,-0.502089832808363,-0.717698001431469,0.415520764372442,0.0983904822521938,-0.469424484492342,-0.37591567179366,0.687052134510391,-0.862096094740715,-0.507235210296052,-0.568762892226278,-0.551156080737286,0.432853959907924,-0.412594440026754
"SHIF_As_3 (GE) - TPM",-0.65553448949397,-0.616304623475302,-0.607116430234684,-0.629806920162789,-0.546695726065396,-0.570720062488621,-0.418270727679582,-0.410360159365053,-0.477523012692445,-0.447979091044095,-0.50732956327776,-0.74676499077596,0.200812191091413,0.100648592753841,-0.650653304065273,-0.445886356147351,0.672714040793299,0.13426857657693,-0.556262785765798,-0.602539711084223,-0.633863881557378,0.70764107745581,-0.582067870513182
"SHIF_Bs_1 (GE) - TPM",-0.624132231651516,-0.617073551182501,-0.629857130881517,-0.526449681119035,-0.518797984080669,-0.522340672171406,-0.251110136946975,-0.684892229452227,-0.501805959803218,-0.444417783127598,-0.568228803758498,-0.69032391055782,0.88872276248936,-1.47453255469943,-0.513612745137066,-0.524975462685476,-0.258751484277061,-0.343817261061088,-0.523789668932094,-0.48680265843348,-0.292418124379984,-0.572179681959724,-0.15705923624135
"SHIF_Bs_2 (GE) - TPM",-0.481052346281689,-0.558828578878159,-0.553527072515102,-0.438310657657899,-0.437509806459416,-0.469404027253795,-0.680234727066768,0.0071537572958411,-0.455421749258064,-0.444791256190894,-0.521973594177827,-0.65235298959886,0.810748865888696,0.281326064044587,-0.422446962583169,-0.390724795707101,1.42575609328676,-0.658706586220722,-0.389354335561334,-0.337250172483473,-0.338243848974716,-1.19202954563615,-0.0313097344237311
"SHIF_Bs_3 (GE) - TPM",-0.776309580078493,-0.618312579882789,-0.668807297929292,-0.604713939514529,-0.665696841691919,-0.605984691829662,-0.407449457033073,-1.12874088843515,-0.482762074395027,-0.456566106362331,-0.555829913183535,-0.722370874122991,-0.332761025822362,-0.865928813657627,-0.771923942787108,-0.555166891328093,0.599236165635951,-0.839382278587498,-0.604523887928245,-0.60978704559842,-0.524503905676571,-0.622211878114241,-0.472639840763951
"SHIF_Ctrl_1 (GE) - TPM",-0.385487958179913,-0.698773424458332,-0.412843477759255,-0.530167603010658,-0.233295232077032,-0.508146293763617,-0.6885577105913,0.0901065759117472,-0.492061156509429,-0.45693364444874,-0.575099993689412,-0.742228749821741,0.129699976492092,-0.815661337485841,-0.439291790764634,-0.530376867667937,-0.351893465496585,0.9968036759668,-0.351260683287748,-0.441176027979472,-0.33277109696333,-1.30471523394444,-0.07299595238249
"SHIF_Ctrl_2 (GE) - TPM",-0.320426728556253,-0.574038866529472,-0.512258965157035,-0.454435163187463,-0.215916509633017,-0.516497916629644,-0.756338429110418,0.483242572435228,-0.489929387842973,-0.437604721945611,-0.489441000674886,-0.769114861140019,-0.203838167327253,-0.202684222869032,-0.442659894597254,-0.417553055914116,1.10716726313024,0.472826375573876,-0.312803654909441,-0.408431257924012,-0.333699464308908,-0.323454764990945,0.00680194183345374
"SHIF_Ctrl_3 (GE) - TPM",-0.235569886100946,-0.729798444936201,-0.463625275833353,-0.440733126079694,-0.121688672296306,-0.473654155334531,-1.00151650814944,-0.226608595530254,-0.47935962080379,-0.469661572003999,-0.528385432456638,-0.764321902018552,-0.135369050321771,-0.553913020176035,-0.189513096214623,-0.407639762997993,0.107443566709595,-0.546519297745011,-0.400832889699419,-0.464863783663778,-0.410127180466304,-1.02889619305159,0.725525159485504
"SHIF_Li_1 (GE) - TPM",-0.520295715716864,-0.456234088396436,-0.455453478085673,-0.541797199232095,-0.57483381774823,-0.548800874839151,0.194091603002678,-0.37411568251054,-0.496307165216606,-0.467850721996477,-0.428778243326915,-0.4676500222305,0.902007345077187,0.063442850318714,-0.378131079223442,-0.552929846587039,-0.216532395705833,-0.0682093233002908,-0.223782454286163,-0.452392026300166,-0.546954210869076,0.311983288156466,0.340325247400342
"SHIF_Li_2 (GE) - TPM",-0.197144001293855,-0.442894193480157,-0.514745378937171,-0.433892960561373,-0.423353801033781,-0.460321231162494,-0.0616556304715108,0.601001910605114,-0.507947190225734,-0.420300591877543,-0.310494744271817,-0.550488504274167,0.0718832617478214,1.49591364634154,0.0425631957095488,-0.562161906964854,-0.347550681814485,-0.174741569933082,-0.164319836594784,-0.234003570427832,-0.0837641836031002,0.378793550073131,0.638177910985758
"SHIF_Li_3 (GE) - TPM",-0.475618838334259,-0.319758630817186,-0.424995868122303,-0.485424781674339,-0.507512382859795,-0.504377752504094,-0.103557645094939,0.468979935604352,-0.504027969512696,-0.448045314585452,-0.500376206379107,-0.349091273955958,-0.809573395861679,0.548857177131474,-0.305489358492632,-0.546485162206364,-1.00267936619254,-1.03151796547524,-0.320336008397323,-0.308046784632638,-0.304765355076414,1.53726188917298,0.288644625650071
"SHIF_Mig_1 (GE) - TPM",-0.743162224766208,-0.626098659107378,-0.624614860924295,-0.693973982911964,-0.684636891150641,-0.635212873119599,-0.436132027601204,-1.35184278215878,-0.423906428534138,-0.452260054674431,-0.545619909749054,-0.686822337113183,-1.44623447707088,-0.782892536305881,-0.910916053263129,-0.821991988328431,1.43173762158337,-1.50802735287436,-0.62902513717072,-0.686764259808786,-0.86945330613671,1.07886959360479,-1.7278778698216
