"","JHP_RS00115","JHP_RS07880","JHP_RS00140","JHP_RS00150","JHP_RS00165","JHP_RS00360","JHP_RS00365","JHP_RS00430","JHP_RS00540","JHP_RS00590","JHP_RS00615","JHP_RS00645","JHP_RS07920","JHP_RS00680","JHP_RS00685","JHP_RS00690","JHP_RS00715","JHP_RS00720","JHP_RS00785","JHP_RS00795","JHP_RS00815","JHP_RS00835","JHP_RS00935","JHP_RS00945","JHP_RS01090","JHP_RS01170","JHP_RS01385","JHP_RS01470","JHP_RS01525","JHP_RS01590","JHP_RS01705","JHP_RS01825","JHP_RS01845","JHP_RS02285","JHP_RS07990","JHP_RS02360","JHP_RS02510","JHP_RS02620","JHP_RS02625","JHP_RS02660","JHP_RS02665","JHP_RS02670","JHP_RS02805","JHP_RS02840","JHP_RS02915","JHP_RS02955","JHP_RS02985","JHP_RS03105","JHP_RS03230","JHP_RS03310","JHP_RS03315","JHP_RS03320","JHP_RS03355","JHP_RS03420","JHP_RS03425","JHP_RS03540","JHP_RS03545","JHP_RS03710","JHP_RS03725","JHP_RS03770","JHP_RS03960","JHP_RS03965","JHP_RS03985","JHP_RS03990","JHP_RS04015","JHP_RS04080","JHP_RS04095","JHP_RS04150","JHP_RS04160","JHP_RS04165","JHP_RS04190","JHP_RS04245","JHP_RS04270","JHP_RS08090","JHP_RS04335","JHP_RS04340","JHP_RS04365","JHP_RS04420","JHP_RS04565","JHP_RS04595","JHP_RS04610","JHP_RS04630","JHP_RS04745","JHP_RS04835","JHP_RS04910","JHP_RS05075","JHP_RS05195","JHP_RS05260","JHP_RS05320","JHP_RS05330","JHP_RS05350","JHP_RS05395","JHP_RS08185","JHP_RS05485","JHP_RS05635","JHP_RS05670","JHP_RS05730","JHP_RS05920","JHP_RS05975","JHP_RS05990","JHP_RS05995","JHP_RS06005","JHP_RS06065","JHP_RS06075","JHP_RS06100","JHP_RS06155","JHP_RS06320","JHP_RS06570","JHP_RS06575","JHP_RS06795","JHP_RS06845","JHP_RS06850","JHP_RS06995","JHP_RS07085","JHP_RS07255","JHP_RS07330","JHP_RS07475","JHP_RS07555","JHP_RS07560","JHP_RS07595","JHP_RS07650","JHP_RS07830"
"HPJ99_As_1 (GE) - TPM",0.0868539730654756,-1.23886388181792,-0.432015864649787,0.0579831531261536,-0.168789654579247,-0.164669493136044,0.23969732194861,0.906577622108461,-0.450029915968566,-0.283473730375218,-0.36394608846535,0.302136508421267,-0.7627830037794,-0.31579622718931,-0.676384917072098,-0.792734771976704,1.30667945506346,2.03356101383279,-0.455411207326514,-0.473645909263802,-0.396821076626377,1.27245322857216,0.234730466873975,0.0719821456440257,-0.00106216155029272,-0.488762477938197,0.00227155802844348,-1.04587940080721,-0.580233143246882,-0.362215761518163,0.519388067709241,0.168257609946059,-0.925640537749205,-0.586104261428706,-0.842748588083404,-0.00439041878352964,0.302118622530541,-0.385537105180864,-0.859834322091092,-0.465276692205008,0.133307194769932,0.569533795728353,-0.412829229583439,-0.594942347513965,-0.261975958273208,-0.00950118845875716,0.563041973661111,-0.504860706587638,-0.386029809146116,-0.726388174024947,-0.5357235155307,-0.766516207871769,-0.485516184338557,1.16026557103622,1.52581333618952,-0.532849184016449,0.10800682075605,-0.308299502666137,-0.358686615010792,-0.589637523108315,-0.698763228246675,-0.586743589655565,-0.197860257097158,-0.0503098633748946,0.276396004367606,-0.59259217234113,-0.22980551945123,0.308861287103857,-0.807924304179547,-0.558766639463174,0.273959972596961,-0.630086464334284,-0.0506185313478274,-0.650522762780561,0.180960942157712,-0.398923810936283,-0.27283630308719,1.31187739474352,-0.390581834789077,-0.242783943919154,0.0775974694196375,-0.741432326282523,0.447983192822441,0.27465962815067,0.244766851357541,-1.28334432829393,-0.437341639952605,-0.381568174307345,-0.423322669746885,-0.635191045464302,-0.381358276846643,1.62292549710341,0.0145053256846031,-0.100063948375751,-0.0408986217785064,0.201536074291505,-0.0192617716395487,-0.538239258709696,0.291674741539181,0.0492225638941149,0.067651731802717,-0.417937839573497,-0.053252517839017,-0.502692213627104,-0.764136776311605,0.0599742998355228,-0.890990101388479,-0.66338039107615,-0.552792251554727,-0.281573313563603,0.140360618409785,0.037807710059878,-0.09788226884102,-0.403044532099954,-0.45196081492196,-0.403923230136936,0.338456462613377,0.00322420044644616,0.633810397038062,-0.475510814478672,-0.193164658922468,-0.530163481968058
"HPJ99_As_2 (GE) - TPM",-0.689244260055832,-1.13622245410984,-0.721062999077776,-0.20881744760674,-0.690440738439926,-0.397820500637535,0.458170467307202,1.86526712909462,-0.570265902245296,-1.14404608016318,-0.663785435604693,0.176520038983911,-0.439248481448612,-0.551851846971493,-0.621817291395003,-0.842550616393268,1.37532580589223,1.53120796612388,-0.319992923482233,-0.512895742023205,-0.620485285131282,-0.0290729022194329,-0.492526583049217,-0.498171745014176,-0.458716432718546,-0.848497365144736,-0.163693382899002,-1.02359713695739,-0.569172295460687,-0.79396911252131,1.1669018213447,0.0265888548293839,0.191667608699803,-0.711638202829371,-0.294125180266643,0.198085922964753,-0.520994555945389,-0.832611658004185,0.0892811732336801,0.444684075969601,0.369310484104791,0.119402239027592,-0.310917593503847,-0.890518612591737,-0.709714098644079,-0.0565821084040958,0.500492388148235,-0.893799238661526,-0.532037752066107,1.81105801468213,-0.63637730262422,-0.735705067180369,-0.624239924960764,0.739530996227665,1.90459274856087,-0.51927418593912,-0.370313188001024,-0.445145511332325,-0.812457166831684,-0.701204489637856,-0.871340060110871,-0.664309025036879,-0.434881262373694,-0.629628027344925,0.0718469967555778,-1.26101799125224,-0.371119838491671,-0.510200223163236,-0.910076796509256,-0.650457532853437,0.24101660173664,-0.868389925435207,0.0799273456813231,-0.429542027646736,-0.088119088267644,-0.304148459297674,-0.770431157568097,1.28151229178494,-0.369398298072903,-0.183136207980815,-0.651325194015033,-0.671643642609434,-0.0693697513688473,-0.0132369843563556,-0.645806833309746,-0.367808534037333,-0.757194892613043,-0.65698803501707,-0.37511528685419,-1.01617288335677,-0.432643194085986,1.05213953737549,-0.217263529276254,-0.204746412698986,-0.610418892633363,0.255247597881727,-0.260458096543193,-0.607547771101239,0.0463734817921741,-0.1857544266534,-0.234461893917789,-0.44049399386955,-0.575323551569863,-0.424441569515507,-0.377216450579295,-0.508516355876295,-0.884226099900162,-0.755172776571579,-0.623832430751545,-0.933178844779531,-0.202129955943663,-0.548739261845474,-0.584291045133746,-0.841677640113927,-0.196996562637101,-0.34364944420746,-0.33029058893195,1.06573891892732,0.157733769004924,-0.737555708746151,-0.53694792692325,-0.460239569435925
"HPJ99_As_3 (GE) - TPM",-0.908218421632157,-0.703200366859747,-0.977241795947707,-0.975316686537366,-0.715662444523705,0.240428120710621,-0.328282102436436,0.905733240156558,-0.884945970694908,-0.297553508605534,-1.01746244160069,-0.519773009923965,-0.709270277928297,-0.793715996284931,-0.846434242122486,-0.897707356353064,1.31631611626076,0.821592708849739,0.190424338217592,-0.406409957329392,-0.866993514076474,-0.32549650907225,-1.0282031785484,-0.630035598012698,-0.673062100814686,-0.552520464943496,-0.518625172085107,-1.11626507361077,-0.975399264951189,-1.54973771564806,0.599436074518849,-0.0348021651692276,0.105064206041554,-1.02188658095005,0.280428390350123,0.65552826563676,-0.293118662188758,-1.17991361378541,-0.238832855427158,-0.396777319889506,-0.197424140411794,-0.91533583025382,-0.504534409801693,-1.44616550796289,-1.01004175241322,-0.815687445286292,-0.201379445695461,-1.10274781716737,-0.907168028801132,-0.682171352033271,-0.798845896174016,-0.836688635125364,-0.946542619218717,-0.588130372520869,0.473393209297521,-0.55867130932903,-0.0347513764995333,-0.414559987492609,-0.874804647572307,-1.0435215749742,-0.977461599323951,-1.05607693318187,-1.28420074903173,-0.488686656297445,-0.0792653478986247,-0.40161597426335,-0.0438951556151619,-0.890741351536064,-0.658554428126896,-0.642746118363569,-0.857632371799658,-0.864608086371885,-0.537486042927309,-0.571041730841901,-0.679522217848182,-1.0524661793064,-0.00612360493799681,1.38857035575295,-0.372045417490171,-0.391812678304016,-0.89989303624811,-0.862504282901574,-0.593337433257492,-0.799958815526772,-0.00648608546160164,-1.41439618688547,-0.898703864606643,-0.970953918898714,-0.44607004599266,-0.916495833131107,-0.355088053203676,0.558197100369267,-1.31997677384345,-1.19002333308213,-1.34075196929287,-0.178561670265229,-0.359511742779739,-0.67885945875358,-0.436960857730007,-0.677406603324461,-0.618142263423991,-0.996817985402197,-0.526645364016378,-0.652214189797811,0.158173657667469,-0.811426535073116,-0.900946195241219,-0.877928228804303,-0.807995378424209,-0.734776701996846,-0.206434587421959,-0.205744278606018,-0.332931230002198,-0.83198238859998,-1.36035350441985,-0.367436649662366,-0.356246279556206,-0.159033450482173,-1.29202656023158,-1.27734349646885,-0.638665508548503,-1.04059305015016
"HPJ99_Ctrl_1 (GE) - TPM",-0.425856226917623,0.01811478382509,-0.635254182258291,0.0740124165154955,-0.10715113232087,1.12904409574172,0.652698527549364,1.16097338046014,-0.643914223651668,-0.340569443713536,-0.998408974215756,-1.0685941969743,0.067677320897483,0.0198997586953892,0.0689638186623973,-0.172158480203438,-1.12408989806516,-0.996423960749372,-0.687377459308668,-0.151184949089691,-0.144795576751677,-0.402129262270999,-0.192101900561484,-0.706300279226399,-0.85147513509417,-0.738928174020867,-0.626249970273741,-0.393407243858942,0.233807062312345,-0.864177047973977,-0.140512847813211,-1.05058678559036,0.272415501286442,0.488923074886965,0.337423014840107,-0.851903024778257,-0.84758191934774,1.31062302009123,1.05231253108089,0.383626076754417,0.0457581719412064,-0.36345763477946,-0.319577418784399,0.558852577999852,-0.469960112766425,-0.426674846869111,-0.394986300914977,-0.364139703293672,-0.576017440028597,-0.665532452215065,-0.0931209255865336,-0.520221602407436,0.342587405156327,-0.686219168327,-0.949767357308262,0.67082069553382,0.0119920839525603,0.325331154456755,-0.585847149479012,0.0840127695049824,0.134540990107797,0.654130704360635,0.133221664385129,-0.325731713189065,-0.936468969589509,0.589911732448316,0.292598853868207,-0.662529963593447,0.241708665749626,-0.304007722858975,1.39078209807786,0.221050371020783,0.410363065317693,-0.63445884822981,-0.647514286406022,-0.575768119852061,-0.218656950971477,-0.583097376568038,-0.0330962424789032,-0.677707324125193,-0.680893913097977,-0.329016917084323,-0.351967890071324,-1.23280360581029,-1.03542964656054,-0.789795892134053,0.338910131175987,-0.681107132785452,0.0628816762519033,-1.62306900864507,-0.0404635680313666,-0.602599291555194,0.38991178823769,-0.128310676331955,-0.2637672648796,-0.403282346903268,-0.0500003530476856,-0.732945335343886,-0.240211135244541,-0.0318768368615608,-0.467718633444129,-0.309276695392012,-0.99702540304113,-0.300829056238513,-0.34438347850324,-0.437644512032113,-0.580803797780909,0.0918522677931918,-0.809716486485145,-1.0206583563668,-0.420736944807714,0.262988050251446,-0.101596737226623,-0.551775293335109,-0.393953277660002,-0.445246445272394,-0.99534674907196,-1.455561136833,0.430488027457797,0.261691200388584,-0.189054115668487,-0.921063794282983
"HPJ99_Ctrl_2 (GE) - TPM",0.235542116503529,0.822796588537812,-0.157711287362624,1.01909784064009,0.821235941832069,0.0567554974406123,0.147758286292458,0.590654241020764,0.255317103740244,-0.104889812280099,1.9073227190418,0.177809699926085,1.50472221014341,0.0482407124211895,-0.290713073025643,-0.35159425159004,0.417811303437834,0.555217989080681,-0.13591461588544,1.44018240199109,-0.145907669211083,0.0679725884794465,0.281635199489724,-0.0368788991768095,-0.313288109395866,0.664936924969819,-0.273918707291311,-0.404465166031391,1.40643277246113,-0.139686114303298,0.635330444949336,-0.486706592236539,0.82021530932097,1.26162933007924,0.166158363325511,-1.25589331152143,-0.262939528211145,1.35752861821163,1.62296811873878,2.13147588500487,0.466815892358836,1.04350803045537,0.0448519177634174,1.26290063333668,0.316028942376659,-0.114906401547454,0.101200728293853,-0.302958519865633,-0.347607069895893,0.293711592464286,0.45245213936468,-0.168129437451458,0.716153267830779,0.253813340512383,-0.0162045874132333,1.24986423647792,0.914823420076932,1.47211281270151,0.68872427095405,0.018873288130996,1.34398783961106,0.871230567881195,1.52968921679148,-0.0265018912124856,-0.0702431813555599,-0.518515582615014,1.1764547143635,-0.0287089928277506,0.487410457347914,0.568849683638671,1.30156773136643,0.276268850058798,0.617934035373145,1.41820587995253,0.132832289133485,0.500527570616446,-0.576639670640498,-0.138407312997613,-0.0170085572455298,-0.404954543977753,-0.218563979677745,-0.454942344489666,0.417781229940952,-0.787137027073222,1.66014252531626,-0.517204502509086,0.753783564905769,-0.595809566583452,1.78034562865192,-0.470661631862763,0.188063389555823,0.749541947218926,0.850714118391734,1.61363163996304,0.924847624939295,0.28939992050208,0.95505679127758,-0.237536777108066,1.05304337188283,1.43647148021407,0.546174989270148,-0.401933374085683,-0.418201975593378,-0.29060401096885,-1.09350196408245,0.0959595416186933,-0.464321602890876,0.44183662208112,0.352039134615431,-0.373710853291614,0.0843135613671384,0.356784850356332,0.396539950607776,0.518911248718865,1.04945883235396,-0.876563049656047,-0.548980729333267,1.11546259639773,1.01856671548798,0.907768291832333,-0.016694958500213,-0.195551171072044
"HPJ99_Ctrl_3 (GE) - TPM",-0.319638762220725,0.658396720862138,-0.644563894151694,0.52016320304379,0.277152725261348,0.886792362801656,0.454985433661825,1.07987417703098,0.226135749725835,-0.359744542406749,0.399032609257344,-0.170002911769532,0.394184523501949,-0.108680453791861,-0.183876071790085,-0.437074821746954,-0.636363513202888,0.274289083041115,-0.715033359939057,0.295982616589975,-0.385682164673879,0.064825146024164,-0.1274617486023,-0.522128744926836,-0.504879825069188,-0.202315652229102,-0.516004394906457,-0.406322115018989,0.418397741239863,-0.0747867668359376,-0.176810057172948,-0.596432605931119,0.295033891617857,0.801308398825401,-0.196785815120329,-0.628259174270285,0.224285060273582,0.594995860088398,0.821424495979305,1.36389389050461,0.359666467531217,0.288373278428902,-0.129051390576042,0.625063730010419,-0.334444681337787,0.954110540241458,-0.66192605380421,-0.604353308312932,-0.213089131521179,-0.0240454926298732,-0.0578762599897843,-0.324432351360418,0.496492921630821,-0.442352385011795,-0.259528539470659,0.832379631168807,0.722416098222509,0.46311012916124,0.192266779140398,-0.219327460389617,0.169172876992665,0.156285615522934,0.167679787818832,-0.387756493151339,-0.171588663892039,0.0590368701729399,0.646719665654274,-0.34382878680291,0.31455925330985,0.160259836574919,1.25545819968865,0.322309167152423,0.214823268264943,0.28340708231232,-0.239746420785755,-0.165289632325074,-0.990029799111454,-0.0336901467007077,-0.433156746638214,-0.997253091783486,-0.286279564949076,-0.444611147560031,0.20850684717265,-1.00457404028595,0.692471620499534,-0.789528944224804,-0.036044008374941,-0.611206005954378,0.392271324966243,-0.60434213914859,-0.217109279003944,0.114985546956035,0.598804717272901,1.00905575115193,-0.255574985995089,0.25232882796746,0.0278204658536966,-0.364292149343322,0.786479016240214,0.52671062346008,0.058699414734634,0.488974823661679,-0.289886297544659,-0.282404238869667,-0.363723369674446,-0.244650132360471,-0.548102205653543,0.374775558925705,-0.362632588855271,-0.522245757873335,-0.0970325288463162,0.245441183951803,0.111441460127625,-0.303073498774896,0.405927470125908,-0.730606235215459,-0.720079602392118,-0.0249679706243127,1.47747865583914,1.76652411394819,-0.124672901571895,-0.793435490378531
"HPJ99_Li_1 (GE) - TPM",0.518323137032074,-0.330680037795891,1.6283416824446,0.958849429723316,0.41605733487386,0.209230764643345,0.636584660952709,-0.236852357967639,0.616339730907083,1.51851903572985,-0.878185487703631,-0.242527743457618,0.25380506528387,0.652181957359513,1.16984673633552,0.814580865013617,-0.0126854030340396,0.372345592862589,-0.543479043353928,-0.56917151514011,1.04946893758503,-0.877350094557531,1.14955670983083,0.257899759191425,0.000661245822948324,1.78901564099495,-0.535758239642835,1.60189927959204,1.46988099932861,1.1087198121215,-1.36721310145902,0.98535643435563,0.19454999919993,1.34095776906054,0.626216265656508,0.0308096888161771,1.12091453025333,1.15558969100401,0.97188065949313,-0.577930069859626,-0.144198434831028,-0.64773949933094,-0.537995303938138,2.71419215061256,1.18760435814973,-0.823250832064575,1.86348187619836,1.90792927633733,1.61607962665517,-0.453951079897558,0.164624638221642,0.518825898284964,0.574622646592371,-0.465372203690502,-0.755433388179425,0.787485594994235,0.934647609517599,0.553538490296616,0.0374612858774631,0.211786765635585,0.928953734939144,1.28863909699857,2.19507771782997,1.75123063924049,0.53569470374585,-0.727827389308362,-1.07141116578029,-0.697546962307422,0.545508183656308,0.584049618814842,-0.0804567760225095,-0.251789467396164,0.506793004627547,0.0636432414303427,0.369713954525051,0.546301435068976,0.260660557888182,-0.744541681883737,0.886105389070271,-0.935910304294708,0.330970993796338,1.36140604686037,0.0551213216268809,0.377011290917338,0.900494171807451,1.04415465039982,1.81013936819391,0.935108290004387,1.1993023218808,1.1523308307149,0.691403002580187,-1.12391675991755,1.86576073675111,1.27105188496465,1.54745674257022,0.230967195314847,1.35697531011239,0.414370461393903,-0.587584003714867,0.154634096320655,1.08649155440028,0.303294635753143,1.12779521487202,0.0967093503919713,0.213530384372025,-0.30950135706499,-0.478094264016017,0.773828669129847,1.4803187994588,-0.203211400069481,-0.378474224060069,-0.756621770262214,0.13953989451111,0.126503707594798,-0.442074142522467,1.04817019245248,0.193025756883132,0.525672690127957,0.0519401542133823,1.30165731437466,0.0687597488902442,1.16744902929389
"HPJ99_Li_2 (GE) - TPM",-0.0190508316021709,-0.691880851127074,1.12599842124315,0.16598569851085,-0.440505632396863,-0.381439096903826,0.704422275671656,-0.608286904011976,-0.0277537571458979,0.868500464134843,-0.799045457286725,-0.876809913964526,-0.63193964590701,0.458800817866478,0.983354647492537,0.660863615944866,0.454683301482226,0.290802489360824,-0.0410558157345524,-0.608648055329047,0.633403629008025,-1.14945423361602,0.797939963949749,-0.705069066058714,-0.487471520511848,1.02105860474372,-1.15906488033271,1.13377039668829,0.793342665315146,-0.423955822571763,-0.36099386986665,1.12625701238384,0.202076881637289,0.827795162022382,1.0823379802291,0.488117564344956,0.617642265425819,1.56548940217383,1.027331963064,-0.374869844689462,-0.120475268671813,-0.673893762830603,-0.656380859814716,1.23980374390724,0.498421268798772,-0.505419035116324,0.478656697311041,1.65491071350099,1.20635169821745,-0.555228990084138,-0.510428905113535,0.111490582822004,0.440871200317964,-1.13443184846536,-1.32475654898356,-0.0321914224770987,0.721133095049427,-0.290293120094071,-0.9652843412728,0.571916054212965,0.0976472486936812,0.11391126553674,0.861209605299616,1.86409608355786,0.0580143594621564,-0.828731481577247,-1.05819845060531,-1.21292735528978,-0.609017274263079,0.0246120818967077,-0.875495117482165,-0.593692538537568,0.836618109577901,-0.212588480149551,0.401748025938728,0.0936100091794336,0.693093109737423,-0.182982739773691,1.89532139432338,-0.768241393444486,0.0188614893024634,1.54204504971204,-0.233843660643614,0.380749432195228,-0.423360788740829,1.27624580543777,1.44951560551091,0.826006031945505,0.695712265073044,1.08894309592295,0.470819654763702,-1.23677813608157,1.13314427048342,-0.0543539158004238,1.64877428915614,-0.468308158786797,1.25968774663935,1.05975656181603,-0.59164090899435,-0.349705396074178,1.30771109385244,0.0734956898247163,1.10146870591224,0.0432245430217635,0.348177074083384,-0.275151407251092,-0.300542360244502,0.54527556958013,0.898832228808373,-0.210919898356978,0.00395125625115749,0.118952940569928,-0.453828109230328,-0.724616655029275,-0.686529672898515,1.17244867749855,0.433580334011514,-0.39010083483184,-0.307610918963663,0.366618919229724,0.0102484929823846,0.306175963585185
"HPJ99_Li_3 (GE) - TPM",0.183602425732603,0.525522435970404,1.22009540992075,0.879152083121946,-0.0597400290215084,-0.0103999745799113,0.383440650853776,-0.5096335175751,0.336430108447389,0.925183117751032,-1.00268853758549,-0.30877594048703,-0.286057646822049,0.547916942274249,0.824068595491277,1.14509487756757,0.0364485953327041,0.147088527276108,-0.0448886320091286,-0.637587959310431,0.546889585315797,-0.0614311743249073,0.443394749105181,-0.551637330796265,0.0871995564182182,0.846504442770429,-1.04994187598858,1.30122662954036,0.763136758981699,1.21728618370596,-0.638611632241643,0.948871960726511,0.61816302247159,0.70721180188081,1.09017249367002,0.145879097288751,1.26162009693053,0.395286830201134,-0.329588584335461,-0.226089750555564,-0.614182286408738,-0.432819328551211,-0.375746105055401,1.50508953086056,1.56766687583998,-0.767174486334339,0.897125729154324,1.29246558642742,1.60486836709738,-0.259361450258734,-0.0748562619281453,0.329587726178443,0.618705704993272,-0.881338169646775,-1.01007444502236,0.0873795448415623,1.24716600663196,-0.310520608078452,-0.512287467780526,0.426499124412297,0.175874810127139,0.312670407371254,1.20628684528247,2.40537618367393,0.0938947876471249,-0.0543937242433854,-1.20906237061082,-0.979947975095105,-0.647951028116439,0.0571964123495343,-0.713192980840034,-0.503091424749818,0.852411649743722,0.0711947370448473,-0.194942620256856,0.475600671501695,1.21949011723859,-0.593502816054878,1.23813303653308,-0.567051734879096,0.224001425881464,1.85783449720259,-0.0613581095923131,0.655032981308451,-0.521337776191754,0.785659770145191,1.31574287769262,1.93052887623857,0.101511242825639,1.35760820446046,0.179505943461073,-1.07286722650017,0.525283504589393,0.780263363341839,0.609717900334528,-0.374100160292669,0.288867761417469,1.1790758715951,-0.688713781278752,-0.516198191125684,0.391433594801634,0.208977014901566,1.59254907008043,0.17021123206753,1.35578162856596,-0.438122125327199,-0.392737992353082,0.198250157381653,1.56342670157166,0.252700239585056,0.140330778824584,0.0983258255930881,-0.260900658552537,-0.562177291860423,-0.396022595092551,1.64807974346419,0.782077770928274,0.783007527962087,-0.0961728414320843,-0.0926483963658192,0.0819154145680439,0.684426045229839
"HPJ99_Mig_1 (GE) - TPM",-0.706452220611353,-0.583980966085814,-0.812530906797788,-1.7154186197832,-0.802357669679708,-0.617921875142251,-0.381882544017124,-0.187819176167072,-0.749905419896121,-0.185594299945521,-0.548161668899685,0.308836525866371,-1.26642070674916,-1.40498980381867,-0.996297551124038,-0.98732736485793,0.306375223175489,0.159392114488477,-1.49364417921722,-0.298982107844588,-0.960741407475234,-1.24493008900388,-0.494171287999318,0.981657272805411,-1.3291220545004,-0.924056064627274,-0.727193102856561,-0.175848819005543,-0.632799307421771,-0.22230087169078,-1.07257251839447,-0.998174930446145,-0.809426723217025,0.0180359017529688,-1.2320531148735,-1.89857030149239,-1.17841711510431,-0.468542788403448,-1.27392176644348,-0.0421237049864389,-0.870167297413188,-0.716703231841279,-0.342821627428865,-0.619055954919854,-0.589546565448121,-0.260697646471334,-0.862572890009767,0.133621093776025,-1.45696620568489,-0.402135769718182,-0.248097340460573,-0.327717072867221,0.00678873917812207,-0.585666517199364,-0.115333786410021,-1.7473633786936,-1.51472204389503,-0.544836541446481,-1.64807202804201,-1.01903857284356,-0.675888016821888,-1.21854218122495,-0.224859206262684,-0.337024384237179,0.013865109686212,-1.74574134193107,-0.335865553629171,-1.14735177546619,-1.03510401045376,-0.849528850316012,-0.481057513460005,-0.470817998139398,-0.673917038918829,-0.293408690580996,-1.18973919647446,-0.845087912703553,-0.923060701926698,0.0131859995387863,-1.23639732995065,-1.39023569493961,-0.544843560791201,-0.955818141581596,-0.631194929508369,-0.525377106016897,-0.9496545107923,-1.09298231417658,-0.437386220210912,-1.46745491708322,0.178817102279344,-0.873625711053431,-0.237121771051689,1.19183309808747,-1.68014638326227,-1.47155762883134,-1.44750119971477,0.531992591744567,-0.687538733584573,-0.977262736534018,-0.94404407563275,-1.50807722878982,-0.129706924614983,-0.318744414566047,-0.677893663489178,-0.220642090323648,-1.05488668813542,-1.05410369365946,-1.17997513588587,-1.19739389292232,-0.553660692669931,-0.669618938752123,-0.749781523175541,-0.588140985060233,-0.110786886632077,0.958860987438471,-1.14082668540117,-1.51490267811301,-0.522982242111254,-0.550571156972259,-0.880343478920436,-1.32211186582602,-1.10204146753501,0.146181217029192
