"","HPG27_RS00305","HPG27_RS00550","HPG27_RS00970","HPG27_RS01750","HPG27_RS08150","HPG27_RS02175","HPG27_RS02255","HPG27_RS02875","HPG27_RS03000","HPG27_RS03005","HPG27_RS03300","HPG27_RS03860","HPG27_RS04045","HPG27_RS05250","HPG27_RS05325","HPG27_RS05500","HPG27_RS05730","HPG27_RS05755","HPG27_RS06245","HPG27_RS06330","HPG27_RS06345","HPG27_RS06350","HPG27_RS06355","HPG27_RS06360","HPG27_RS06365","HPG27_RS06370"
"HP_G27_As_1 (GE) - TPM",-1.05416101291107,-0.928920692990329,0.635260889619626,0.290267023097803,1.04987868258116,1.20454337358977,-1.00269568738161,1.58992924409755,0.62393983271987,0.208305194399728,1.22973460093363,0.695863883442721,-0.837023240570807,1.14620279639857,-1.0176433929116,1.60115271998148,0.149733816714497,1.20093052869513,-0.0270491739874562,1.095204473373,0.787112509981452,0.960677341819468,0.892694350469893,1.27329192672917,1.25065625293207,1.02602678145968
"HP_G27_As_2 (GE) - TPM",-1.04535828526349,-0.657566696516245,0.205068289296073,0.22784837681878,0.990712205431942,1.4346748407916,-1.11716930676554,1.44625172092331,0.600461260339359,0.464880629875349,1.42627407729311,0.788891363293462,-0.963967679684533,0.567128797261348,-1.07214041653345,1.06506032340315,-0.106824741569439,0.924849825104235,-0.389041482546169,1.01618071041912,0.694635728746818,0.604478645242893,0.704774580803147,0.860284409275639,0.874270920300436,0.873041924922833
"HP_G27_As_3 (GE) - TPM",-0.28521379170507,-0.550316416972177,-0.319949275630861,0.382772538459521,0.804438571692487,0.629162067048589,-0.725585887586784,-0.232045454699417,0.312345485332819,-0.307955860893741,0.952303724831898,0.177841273916606,-0.924909722019836,0.933403367305294,0.179008536033859,0.248228706528243,0.042967848904107,0.813909364984702,-0.247859943614369,0.545699538338408,0.177166896960147,0.295811510545325,0.556619201641385,0.587719996003366,0.539971693453436,0.132829579484552
"HP_G27_Ctrl_1 (GE) - TPM",-0.554943115145913,-0.292922839284567,-0.492520154509273,0.090509471924679,0.281622412091706,0.0306440184239928,-0.455743303194225,0.200249593830363,0.438535099117929,0.677520497305951,-0.110721932104652,0.082025710590336,-0.214364216505243,-0.541061933252162,0.410173699986192,-0.124128214056058,-0.417167039695896,-0.330327061040842,1.02967816838237,-0.386750900958659,-0.0903826212087939,0.0103552537677346,0.0654024021310667,0.0391804240013443,-0.0620867563833019,0.110416272358237
"HP_G27_Ctrl_2 (GE) - TPM",-0.537677432972635,-0.871023392080432,-0.116562073296476,0.101333424469299,0.768252157706676,0.812987400417365,-0.39668698422067,-0.152636139540399,0.335538270043879,1.16354683054806,-0.230866504444632,0.219161930491843,-0.12741896610075,0.282116767254386,0.11179555677624,-0.0562455755990127,-0.0958701714196156,-0.366880931451601,1.13206703379698,-0.120910521005776,0.0814121643232631,-0.121902339214741,0.770097395687508,0.00321641601530479,0.714331023712429,0.130715840211668
"HP_G27_Ctrl_3 (GE) - TPM",-0.260802087797194,0.0815208786891383,-0.395594549502998,-0.0959878876288652,0.276385267526482,0.0549296969181221,-0.11622641020908,-0.750561825387014,-0.556464529982585,1.10415046180243,-0.333503662893436,-0.429111429165068,0.0493954359207287,-0.282879048115095,1.04201472810687,-0.335226753739105,-0.404857200345186,-0.372302768096451,0.844119637117479,-0.394397009398833,-0.256611414086632,-0.38936687951484,-0.350466426358234,-0.453117723611667,-0.0442898417969025,-0.283442382438387
"HP_G27_Li_1 (GE) - TPM",0.867045255119512,1.65672617692549,-0.428645087527062,-0.0135694416596872,-0.582732369413015,-0.637079844372073,0.715923327620822,-0.598573037666991,-1.29010430192508,0.210777796566254,-0.339493643415185,-0.241528920706451,1.35669034648794,-0.501151861966445,0.414807279854916,-0.764585576123205,0.128633599721276,0.254904289097587,1.31510245261226,-0.605100894761086,0.0137634260201069,0.37508083732076,0.309975779148204,0.0614997089005702,-0.333353648438543,-0.372325077614483
"HP_G27_Li_2 (GE) - TPM",0.833540424554793,1.09652326648587,-0.920244433684522,0.025447479265988,-0.622964294175512,-0.898668372033901,0.348245584582792,-0.600305446100545,-1.50544819048678,-0.729610482654487,-0.315526149408703,-0.141352018167272,1.25385881046967,-0.894052259305015,0.739422343661602,-0.82453183144828,-0.393769589552096,0.733838818532994,0.321096884336234,-0.386040504693037,0.0237949527869549,0.349526110885149,0.396375208364555,0.656434150443064,-0.409456406210038,-0.256525656550964
"HP_G27_Li_3 (GE) - TPM",2.31460303831449,1.85937040647319,-0.937043458740055,-0.504013290533099,-0.893961831878904,-1.08829961678545,0.684018101086481,-1.14065472900723,-1.50979402882298,-0.827616110294042,-0.684073529312765,-0.73127675953232,2.29441200858433,-0.640069142204327,0.832176645876418,-1.3436424527688,-0.215279703923413,-0.182940283719422,1.05781781677917,-0.752389193224984,-0.534842953625077,-0.103785418414325,-0.595133766981664,-0.420931389853358,-0.538959305767302,-0.887324249895998
"HP_G27_Mig_1 (GE) - TPM",-1.09263413850944,-0.724190851311464,1.84560690905904,2.25355333407949,0.307426712830354,-0.840442224306565,0.307304388597744,0.276948257892511,1.73121654681039,0.85486880498996,0.0176431924653654,0.716824514578406,-0.857386249717253,1.98922431893615,-0.757903463798446,2.67910488531444,1.5338041000159,-0.296654576218847,-0.481378479878661,0.138927214199463,0.305402535066679,0.971663369703498,1.01899594915412,-0.225507595508191,-0.485041238412589,0.0854454370060845
