"","NGO0295","NGO0296","NGO0374","NGO0442","NGO0858","NGO0942a","NGO1295","NGO1545","NGO1752","NGO1786","NGO1810","NGO1817","NGO1823","NGO18231","NGO1824","NGO18241","NGO1826","NGO18261","NGO1827","NGO1829","NGO18311","NGO1832","NGO1834","NGO1841","NGO1845","NGO1850","NGO1917","NGO1936","NGO1939","NGO2151","NGO2177"
"NGON_As_1 (GE) - TPM",0.997266954360872,1.92101952463011,1.23899983544579,1.67527990812906,-2.02570081101659,-2.41964213688791,0.878741020036231,-1.55268154814102,1.44117020195826,-1.22374140946699,1.58188198795331,2.3753926822614,1.37999809268869,1.48485207887263,1.70091492998695,1.31618784535955,1.91572670540341,2.78553964306127,2.1314261996664,2.02902853091991,1.2133667040463,2.02932573232851,2.30473448856665,1.79047256570411,2.20916294700082,0.604694436092097,1.25077589281544,1.30217689089473,1.52294668530372,2.03359666813925,1.55834604751165
"NGON_As_2 (GE) - TPM",0.348124079769439,2.03439256604172,-0.176012421038847,2.21278596185296,-1.63129756759131,-1.26913497245758,-0.107274101434571,-1.13751028866504,2.24433582877673,-1.12330014237924,0.620285587042678,2.88083722341855,2.30236688988647,0.882875814154867,1.52784984907808,1.20441069207895,2.02088640046198,2.96460730770285,2.66659466358649,2.72997950698465,0.795058886898564,1.89019048928771,1.56925000045083,1.72058467689429,3.61006695950733,-0.156243919403667,1.22173240253582,0.43427240422484,0.965822638349185,0.449443502398267,0.136606951985656
"NGON_As_3 (GE) - TPM",1.06845272388259,1.60202072255798,0.633205530458561,1.58077918365394,-0.275793992237746,-1.59983752245986,0.875269587741152,-1.71135461307235,0.428504889503366,-0.257716607201387,2.48763008235448,1.61275553420901,1.27751857837867,1.28949777675107,0.417637622880535,0.442240899689976,0.981214239286529,1.99507833332308,0.916461579670555,0.410213686997839,0.262593502687761,1.05522875992597,2.02375960145257,1.41108704512624,1.1882889891465,0.0748397892859161,1.55992849387411,1.04506748403285,1.71005650235187,0.686373538666648,0.749114844525862
"NGON_Bs_1 (GE) - TPM",0.70799936563483,0.091553477156491,-1.37307165217029,-0.450603908455817,-0.0185772333716969,-0.213939610112152,-0.485714354829114,1.34576043770276,-0.314853657875542,-0.994835740197854,-1.19111208261566,-0.728010568994975,1.30221037411422,0.628236768371565,0.872455015481424,1.45262538101469,1.0216907941621,-0.859231926318616,1.0892713282002,0.371155443156527,-0.691256464615029,-0.360745868094427,-0.48510280192112,-1.31833632760547,0.273325754986629,-0.91403156469516,0.429436218289601,1.13554315946538,-0.316809183842108,-0.632632524241367,-0.804022473284619
"NGON_Bs_2 (GE) - TPM",-0.459489387568225,0.0257543683844584,-1.27297819366279,0.437705279963323,0.0293022528025079,0.381016050841427,-0.996156388701892,0.325262681417371,-0.151658201389774,-0.253413288518457,-0.823299727135263,-0.775116541265554,-0.0509106395762249,-0.05438600237981,0.784707520933987,0.526021357552257,-0.297675991150615,-0.795860045826106,0.299506811504241,0.290487005453787,-0.918095347004687,-0.581580288003436,1.01576086195629,-0.512779826950113,1.0811893218654,-1.28328593255761,-0.839880047789572,0.586061188099796,-1.09641788044522,-0.625224636385245,-0.603284927145134
"NGON_Bs_3 (GE) - TPM",1.02450833821753,-0.344900546032435,-0.856134176384921,-0.638080700731736,-0.36678348119656,0.32822335362203,-0.505414639634035,1.08215109874769,-1.15001320248401,-0.300242957815084,-0.932371839799239,-0.560659204161103,1.2518436439657,0.128111301953977,0.625559426005379,1.57439900788742,0.796429436593335,-0.494985699213749,0.761857903062934,-0.148343822682045,-0.482719698971666,-0.639521953634151,-0.63948040242638,-1.29130504991715,-0.151248554701415,-1.11340529411037,0.182716423924705,0.0523472528035298,-0.543438662128367,0.179298200045225,-0.68651240599059
"NGON_Ctrl_1 (GE) - TPM",0.7584041929136,1.09618900871161,1.20279633071318,0.690391386054518,-1.40686192638494,-0.862861124032833,1.33921918503827,-1.06587280760996,0.648980144486689,-0.975758076597854,0.615569920411993,-0.105175981595817,1.10835934840375,0.23885177984593,0.306977927468166,0.383887054705831,1.16854711794549,-0.132134530392551,-0.120035000028849,-0.110235928437335,1.66628623184154,1.014344489292,2.10741777621313,1.21311137165991,1.08023838402456,1.54214571311487,0.33330699871086,0.010124622195773,-0.240406575135385,0.817919506237327,0.275379231004225
"NGON_Ctrl_2 (GE) - TPM",1.6949387091994,1.08391581053955,1.75959234730178,0.220351813216071,-1.83842361390398,-1.52933065061893,1.05519886788442,-0.24044930129181,1.87935900110361,-0.4964632547278,0.367975293653382,1.37129703684903,1.68929932246974,2.57365787336664,0.742421772609247,0.769488119654213,1.08406565063146,0.943975572394468,0.99662912913474,0.823517069838275,1.5213393164007,2.21613896708901,0.803814913970979,0.460323385048239,1.1580601180402,1.85967587382408,1.61762290153726,1.63999223514387,1.88938361458211,1.34190018791731,2.03954175363369
"NGON_Ctrl_3 (GE) - TPM",1.71641307900316,1.2604616315506,2.25176047882916,-0.157762251066373,-1.17084409519939,-1.4031593196273,2.01056030228334,-0.82035494725293,-0.188436075448911,-1.50966820140619,0.540616339421424,0.90615738673733,1.30457050154591,2.2041825267513,1.19383772965679,1.12045078923947,1.10868722127926,0.662467953176065,0.584001963359639,0.170925387990274,1.51971424161506,1.57184480149837,0.888464006751714,0.809612279436058,0.266276291522889,1.05192869884008,0.887250028240217,0.980551276315064,1.2652738870378,2.02963773323134,2.30934195186285
"NGON_Li_1 (GE) - TPM",-0.599158284653445,-1.20293242727968,-0.17329101808893,-0.868159045759808,0.135698760939868,0.797208624501852,-1.27201357961278,0.492305528401589,-0.494761633473492,0.853762819648244,-1.04337707041169,-0.716797898771664,-1.16875613374275,-0.974291742138594,-1.70443824024955,-1.06160035843927,-1.1985428288941,-1.04469993586562,-1.37768763068186,-1.09778102650445,-0.615666612734603,-0.930502714866257,-1.08431506363919,-0.225386215016129,-0.431669218285069,-0.126051313479011,0.405088341024466,-1.53832724033094,-1.60287916950659,-0.842818529890649,-0.722698222683991
