"","VC0085","VC0148","VC0224","VC0238","VC0633","VC0901","VC0985","VC1014","VC1110","VC1159","VC1466","VC1772","VC1773","VC1774","VC1775","VC1776","VC1777","VC1778","VC1779","VC1780","VC1781","VC1782","VC1783","VC1784","VC1843","VC1844","VC1900","VC1901","VC2100","VC2183","VC2373","VC2385","VC2386","VC2664","VC2665","VCA0122","VCA0381","VCA0440","VCA0671","VCA0819","VCA0820","VCA0821","VCA0885","VCA0886","VCA1079"
"Vibrio_Li_2 (GE) - TPM",0.491331483317994,0.610944464565047,0.541920475630103,1.29972129767014,-0.0744486559210848,-0.0164579208570495,0.798000602115491,0.68016226357696,-0.86987330918087,0.522598374318524,-0.559921210254582,-0.0552979726225009,-0.393752643982049,-0.44801121765302,-0.167616650510766,-0.532785653327817,-0.430019273196392,-0.556208426270799,-0.502193468290909,-0.445507844478611,-0.485803879096829,-0.436696914014955,-0.409402478903974,-0.460656591908371,-0.0744394910197669,0.286299918352859,-0.000958536522788012,-0.599859908493651,0.12803795146976,-0.246652123770728,0.0508646192397759,-0.203139997932464,-0.454529761861785,0.989247155177878,2.05190564909329,-0.0573667858301055,-0.28988166330488,-0.550214915042525,0.316461306921909,0.0599306648112371,-0.02353916615688,-0.0100370117711576,-0.340548065714964,-0.223731145943392,-0.270858261302473
"Vibrio_Li_3 (GE) - TPM",-0.892552918362005,1.03627889781531,0.333160423564737,0.35748604955321,-0.141956119580156,0.0822147272456511,0.702856464737083,-0.420561550518908,-1.18627517644545,0.923706271170391,-0.559921210254582,-0.170309714365673,-0.150036167567085,-0.0935589604267703,0.1236685168039,-0.0990504728206301,-0.0991982492140481,-0.0679633902879782,-0.0992449329798649,-0.285361220860393,-0.163048056877668,-0.142780087371333,-0.129480589229365,-0.0596232721648331,0.193194547912863,0.413068171805982,-0.11098373278895,-0.113150472445861,0.144852707370491,-0.62059311801201,0.113484627802545,-0.178491012651738,-0.896171582299065,1.14398443248001,1.49721231831538,0.610255054105299,-0.28988166330488,-0.389776874209645,0.407274367994644,0.215666756167241,0.109651753641632,0.0501117248232761,-0.158703398417703,-0.0505703392629394,0.10316529096518
"Vibrio_Mig_1 (GE) - TPM",0.0821753475950097,0.172360203513001,0.269932489433666,-1.38728041642298,-0.16386811016355,0.738408123368086,-0.790706855814557,-0.318612908619029,-1.25777448660986,-0.380095259195182,-0.559921210254582,-0.676129160258554,-0.2118543302825,-0.0973315216289329,-0.443565074138608,0.24105505510087,0.188056600042708,1.27107025709642,0.207608843940537,-0.00982671060205606,1.01254717559738,0.642981873969659,0.325040896884206,0.182561520068546,1.64246624889327,0.90541712077918,-0.303187762665532,-0.322910185409187,-1.05182601921949,-0.954809107784233,-0.888368118635036,-0.547322741183339,-1.0138087219067,-0.168420914823083,-0.622549128700763,-0.60921423602991,-0.28988166330488,-1.05049363914221,-0.925826008160337,-0.127565685413832,-0.250234235675773,-0.469937499747346,-0.244227362241004,-0.140432734904891,0.736150987039769
"Vibrio_Mig_2 (GE) - TPM",-0.936382742929179,-2.01242672728248,-2.55090370912047,0.0689803262252753,-0.229789637148269,-0.503687544476507,-0.864704423661282,2.15576432865125,-1.09505954607119,0.333327570567599,-0.559921210254582,-0.676129160258554,-0.313602979756599,-0.237023494126554,-0.217492023826225,-0.0114319757427747,0.11212667502035,1.72550875466455,0.208596384721339,-0.479602445211137,0.804053960463142,0.85453961637083,0.283338625178442,0.434547891026473,1.99834613312149,1.41687276036612,0.269556536488594,0.092013051447017,-1.05182601921949,-1.3502039822747,-0.908773151500721,0.785944683925126,-0.488755437060677,-0.151039313368056,-0.465612466165253,-0.60921423602991,-0.28988166330488,-1.05049363914221,-0.925826008160337,-0.0661960952395028,-0.251254115720152,-0.553993014828008,0.0185490359028327,-0.160714439046433,0.719791023221318
"Vibrio_Mig_3 (GE) - TPM",0.112602934340026,1.46958637426718,1.29831438238716,-1.97289081497367,-0.192282046648675,0.693413208266728,-0.763118668703045,-0.879045472635587,-2.07056620233326,-1.46197697493572,-0.559921210254582,-0.676129160258554,0.171836764998294,0.0206047300832796,-0.383892212832954,0.290466765770516,0.208958305794447,0.558727474469938,0.309256506709617,0.835635101065799,1.24657563870579,0.133110566757341,0.588396099740053,0.325784108761333,0.444832275587412,0.682287238450715,0.778904195814179,-0.649652107403688,-0.76687756665731,-0.705605380105167,-0.760911799885589,-0.534558609999843,-1.45237982266049,-0.140349224294988,-0.589085395535096,-0.60921423602991,-0.28988166330488,-1.05049363914221,-0.925826008160337,-0.254358052615851,-0.177355089754063,-0.443248838527151,-0.305905237984905,-0.174318236447052,0.651466414620127
"Vibrio_Nd_1 (GE) - TPM",-0.27861895846116,-0.567831703234619,-0.917886139156826,-0.764228892005683,-1.24517147795995,-0.269723060465555,-0.874471039368838,-0.761207941466215,0.373049062789552,-0.476294837890128,0.263516309393993,0.0104577818139822,-0.326447663965652,-0.428766590602629,-0.117532343375415,-0.509056095418168,-0.425972000226706,-0.18894711674055,-0.463969025984592,-0.463724934053255,-0.509373192265836,-0.388282100895314,-0.303198358199243,-0.298959138094384,-1.32827427851577,-1.22752286492413,-0.776301994309811,-0.551046996552605,-0.779902729681761,-0.609993059845058,0.22142632084059,-0.88926611857902,-1.12550034131436,-0.829981090374032,-0.755640037634203,0.14462246110942,-0.28988166330488,0.696816973249067,0.255355010479976,-0.345442264053834,-0.372101317993682,-0.432117811801678,-0.65923713928375,-0.635463825307387,-0.0162586833246257
"Vibrio_Nd_2 (GE) - TPM",-1.06841111112605,-1.22561334154024,-1.9070829008392,-1.2422254624355,-1.18796854721879,-1.05062874901121,-0.956691661072835,-1.05673101856582,0.0150247503984216,-0.703697485420586,-0.559921210254582,-0.331590491418443,-0.32798328975666,-0.41825667285551,-0.255479043615075,-0.508677180038707,-0.423081524800274,-0.176758296677681,-0.470029836662321,-0.479602445211137,-0.505396896907473,-0.394561200190367,-0.232258443043004,-0.40445050921409,-1.06572506971398,-1.56086544489087,-0.63965550581542,-0.273155536157019,-0.143552644721672,-1.30735767740505,0.447402085990079,-0.80482336866705,-1.01214661474883,-0.856157503273813,-0.757926162936255,-0.60921423602991,-0.28988166330488,-0.28352295200706,0.136581576772737,-0.485312814147641,-0.40245582241408,-0.312266717477875,-0.599613889298727,-0.670192353890252,0.236386316001945
"Vibrio_Nd_3 (GE) - TPM",-0.25651028184112,-0.391485504441697,-1.44100475543305,-0.23249090287226,-1.20849602088358,-0.45794138837817,-0.973340381648523,-1.01062525126887,-0.0275848986186091,-0.603267860334799,-0.559921210254582,-0.186266138545242,-0.334667512007414,-0.290245709376413,-0.0782799348398119,-0.514389247607068,-0.314315232566319,-0.115217200419147,-0.432653310851618,-0.426246545045141,-0.506824495873939,-0.396293032312102,-0.284098203949743,-0.0700479596625,-1.08041174332699,-1.18478850027475,-0.908161016529529,-0.547591720361173,-0.634233786900665,-1.35134947652565,0.134124485500302,-1.15121205581077,-1.44931801748836,-0.874030737736105,-0.912422631667219,-0.60921423602991,-0.28988166330488,0.0137673773915758,2.06375424543039,-0.394703490057659,-0.401268382233935,-0.413177630442046,-0.539829918918145,-0.521512530124944,-0.069115180420126
"Vibrio_Ns_1 (GE) - TPM",-1.28608104013431,-1.02438471451514,-0.901685404744828,-0.543894149264878,0.804461908440306,-2.01846088181188,0.179504425495662,-0.902592451289404,0.195541105119922,-1.279526873598,-0.391397884591035,-0.477239254303417,-0.492173440489069,-0.498936903867518,-0.573252698713696,-0.477724890756957,-0.489888743070713,-0.646528458475705,-0.450155523507283,-0.443045969654089,-0.456710375959803,-0.410943837402203,-0.471192180400874,-0.641883316042615,0.0594332143279927,-0.867877202080133,-1.48489391904661,-1.18153375084911,0.464124980523668,-1.37658761203619,-0.355493648690639,-1.26384263123327,-0.544465290400012,0.0882638464120304,-0.0935396232361047,-0.60921423602991,-0.28988166330488,-0.752492284820302,-0.346607607404252,-0.301040840916144,-0.364243875466262,-0.384413172309056,-0.408569355827597,-0.388228395298851,-0.831688306513921
"Vibrio_Ns_2 (GE) - TPM",-1.46176675112845,-0.884349694588673,-1.21050375415116,-0.736198465101394,0.00628551645065344,-1.8765849005864,0.538748758830546,-1.26126111965347,-0.305333851990828,-1.20736401640767,0.291459924605095,-0.574254280772692,-0.490511105088686,-0.523906383200513,-0.605355273867614,-0.517713281315536,-0.510714399748372,-0.693139717932065,-0.560318210050181,-0.475042356439642,-0.495508889396342,-0.465319787173976,-0.539796454594407,-0.673097123660846,-1.16927108420798,-1.49151440090024,-1.54142858732338,-1.13965675572305,-0.171479356438388,-1.32717816454582,-0.494673552214416,-1.3573998856336,-1.02272746622884,0.252700006353549,-0.0987983298816845,-0.60921423602991,-0.28988166330488,-0.669935398075867,-0.725007276295408,-0.285659574253563,-0.349439218103202,-0.244214424141897,-0.416309238454129,-0.437058656222004,-1.13019429062927
"Vibrio_Ns_3 (GE) - TPM",-1.37390899478624,-0.830597588101741,-1.09306291873757,0.0185477028130809,0.854923254935765,-2.04011777495186,-0.14609824149121,-0.839006868761244,0.946322437866421,-1.29467219348922,-0.559921210254582,-0.513410306712289,-0.498890492346041,-0.495029246267936,-0.655617506295944,-0.521422749676134,-0.521424122452433,-0.643411936032528,-0.486851688482629,-0.439542831782248,-0.464958993369823,-0.450306932922339,-0.513236860418474,-0.641567576919895,0.508680613929572,-0.846188069356124,-1.41829333273077,-1.07914832406218,-0.338702881637714,-1.14701319025876,-0.410179211129509,-1.05858085689623,-0.236814592760642,-0.160903052987413,-0.296677309601451,-0.60921423602991,-0.28988166330488,-0.930260825146341,-0.826544343648839,-0.373936369647798,-0.392824479904796,-0.453210212929746,-0.33413506563285,-0.381313100974951,-0.865023740011177
"Vibrio_Oss_1 (GE) - TPM",0.455515692732849,-0.20424790148107,0.0187413892765073,0.826336470836292,0.0590891272218644,-0.377560443651182,-0.455054038185372,-0.320022615602968,0.500335832537258,-0.0298623738620919,-0.173339651612311,-0.229690681795623,-0.376583736911107,-0.444059232847697,-0.570588792246586,-0.499966975518072,-0.430813253827759,-0.583808353506323,-0.463005862445382,-0.270539344805839,-0.362193013307852,-0.335789666633451,-0.407253117279824,-0.622504824519535,0.0241813812597301,0.153668513329641,-0.570826318151332,-0.410643226477947,-0.408375406706735,1.03293002438286,0.206217541675369,0.490125179079592,1.06422014590226,-0.64587046957463,-0.460435632658663,-0.60921423602991,-0.28988166330488,-0.153274226415381,-0.605255272093575,-0.410880077752606,-0.32064052673827,0.141214741951716,-0.459397661932951,-0.467064834849096,-0.274670618484392
"Vibrio_Oss_2 (GE) - TPM",0.3404627665735,-0.646482272571397,-0.163175289511365,0.780801111826786,-0.652879521443561,0.247705656938098,-0.031258006136718,-1.05189292212156,-0.980204842871419,-0.731024659191292,-0.336685622239634,-0.301109051645682,-0.422000156597919,-0.494137479346093,-0.584423232272835,-0.5384232209019,-0.496433854163879,-0.67774635812037,-0.554844851193501,-0.367956406190632,-0.426868072037205,-0.403521366471814,-0.454091143179662,-0.63059910714031,-1.24989068267443,-1.22183414460214,-0.465435241490494,-0.700573637540251,-0.319425535002199,-0.462291108027799,0.394377730048474,1.53046806806899,0.654296606721319,-0.424077618223218,-0.0652068725296011,-0.60921423602991,-0.28988166330488,-0.0537510164097789,-0.299601831661527,-0.35632593987181,-0.213331580006898,0.304594467790759,-0.544072780570996,-0.557147742888537,-1.16462957302679
"Vibrio_Oss_3 (GE) - TPM",-0.223976246093905,-0.714800011917619,-0.894583101281796,-0.588481227297749,-0.590877940260123,-0.128498988812974,-0.395950354411712,-1.3108503823638,-0.471753159038868,0.317661204037904,-0.559921210254582,-0.154732258379902,-0.440594582786795,-0.522867270202312,-0.730841069357929,-0.57916258561762,-0.5268834068639,-0.649028740452414,-0.561922669059351,-0.479602445211137,-0.36136694172499,-0.442264432807988,-0.505477961397467,-0.712862240202182,-1.06709913915035,-0.58249372917646,-0.068226290652713,-0.605417877518186,0.0637161563858172,-0.000892468714121129,-0.0503484562737155,-0.151977039716545,-0.188127743024143,-0.624119142822523,-0.45356222875624,-0.60921423602991,-0.28988166330488,2.0743905948154,-0.925826008160337,-0.409197072234017,-0.347229378372701,0.157302244109884,-0.504985514145045,-0.477445171885529,-0.766398066818265
"Vibrio_Oxs_1 (GE) - TPM",-0.954118527796923,-0.468251833737458,-0.366955385463466,0.23173861348356,0.827355553996902,-0.658842237265683,0.151875111893499,-0.872044338806531,-0.129143357336092,-1.10315628309658,-0.559921210254582,-0.458591259460754,-0.408364382124835,-0.525858010728907,-0.515393571129302,-0.380530360593439,-0.436837313430982,-0.608878759935931,-0.318600801520513,-0.451726872291743,-0.348684454668527,-0.303283628914072,-0.324842951266455,-0.517900669269114,1.46384905077592,1.40744245034414,-1.05363630542662,-1.09597478137293,0.218689679391352,-0.943723511470985,-0.267051946912443,-1.35515522478572,0.128357090456306,0.311035144740905,0.0419721185169236,-0.60921423602991,-0.28988166330488,-0.897109132256566,-0.516628038043227,-0.378323620331651,-0.335726115710152,-0.351991577987614,-0.267359907698014,-0.298577159115274,0.061993848812547
"Vibrio_Oxs_2 (GE) - TPM",-0.95303114638225,-0.75260129093361,-0.296720233506477,-1.01110526212746,-0.0265834829569432,-1.39153803034765,0.675813905804397,-0.903729115123694,-0.957574050600228,-0.9711395594012,-0.449791871518684,-0.642011042718268,-0.505724899326866,-0.480908569723741,-0.64210582074587,-0.529652392100169,-0.503193824346016,-0.676056592553401,-0.521933070492736,-0.479602445211137,-0.476630983046522,-0.436794703203845,-0.527496515761914,-0.671878046027556,-0.976782057243658,-0.681558934544874,-1.00492479190103,-0.972659343081169,-0.836746762824826,-0.327156074398801,-0.57764510002202,-1.34089208864561,-0.777452807212604,0.352895175098247,0.199019654362675,-0.60921423602991,-0.28988166330488,-1.05049363914221,-0.925826008160337,-0.333627609694637,-0.334317675178286,-0.426708595119309,-0.342008264427606,-0.396870124232813,-0.936352294113648
"Vibrio_Oxs_3 (GE) - TPM",-1.32629187965713,-0.822332641474225,-1.12041251421123,-1.00323833179586,0.546809541122355,-0.838667744686698,0.0586325807566392,-0.159740006665799,-0.827136908912231,-0.888837214354184,-0.559921210254582,-0.256733810370384,-0.481624909106402,-0.493103633032095,-0.602948395609372,-0.503615204796129,-0.50337028606034,-0.674178043863246,-0.48413565074815,-0.35852144672756,-0.446033182419374,-0.462257815746937,-0.497118397295026,-0.659547135354141,0.938411540759489,0.205255559089091,-1.37689168184992,-0.849599456638731,-0.717362863668927,-0.598535933767237,-0.452653901489119,-1.64966733203644,-0.395121558601917,-0.171778588746472,0.0590220185785679,1.88506329997036,-0.28988166330488,-0.868790573157723,-0.925826008160337,-0.406182866355793,-0.381291063016536,-0.451578317599857,-0.235360978619044,-0.244120194737799,-0.972745041687786
"Vibrio_Sp_1 (GE) - TPM",-1.25932984055001,-1.36228551033713,-0.711443707367515,-0.300233525108083,-1.50098678355784,-0.349468296349813,-0.790561999391575,0.560093343930706,0.0391426457904684,0.0993142081704475,2.69187424614589,-0.146520561166108,-0.409628615607681,-0.395914692665497,0.0583814332153614,-0.54107608583161,-0.441803825590371,-0.35598545969936,-0.491517690891633,-0.479602445211137,-0.506341862042808,-0.480172355092903,-0.404512557038905,-0.530127759942547,-1.30636611937029,-1.31364352959823,0.770156534811037,0.0637821621372069,-0.43985353614118,-0.296195087122915,-0.499164095618846,0.485995478029027,0.329706890086394,-0.829683972087701,-0.826917335394679,-0.60921423602991,-0.28988166330488,-0.463975283243757,-0.215789984314108,-0.395163472126614,-0.423501340986502,-0.181525233532493,-0.617550281381491,-0.586535254189213,-0.984625073620391
"Vibrio_Sp_2 (GE) - TPM",0.52102609849191,-0.33430720018936,0.230988905251,-0.245631798212782,-1.38129325528516,-0.532942925276063,-0.801986516840805,0.51889121552453,-0.404730417767533,-0.0973883402763425,-0.559921210254582,-0.560979467195918,-0.45528774608798,-0.47187921706255,-0.175699652529773,-0.555822421851442,-0.53020341662155,-0.505187853058885,-0.522162972855035,-0.479602445211137,-0.535445868673604,-0.486730010284293,-0.489026342959474,-0.530418048648476,-1.21239398271154,-1.1051539521884,1.03900976250766,-0.0958846776456818,-0.457908584683164,0.560261591574297,-0.448049015884894,0.39183471164886,-0.531575235653547,-0.785716594317501,-0.856154311188779,-0.60921423602991,-0.28988166330488,-0.754725433906086,0.0323037917312719,-0.442741926145272,-0.387624719993878,-0.178904268727422,-0.683839205072245,-0.662942196217091,-0.798403435265865
"Vibrio_Sp_3 (GE) - TPM",-0.97397273774251,-0.222871889835347,-0.666946635182126,-0.659434468574559,-1.39394835823751,0.212714091540889,-0.849523328592761,0.33371963854592,0.356330601005446,-0.300917099853694,-0.559921210254582,0.0493933859818124,-0.220035907369495,-0.35808048957737,-0.190066783699397,-0.551789876312096,-0.441449251710246,-0.367889014977689,-0.514227081538111,-0.479602445211137,-0.516570771635623,-0.422332853027299,-0.327655912700609,-0.46655692364267,-0.690896521469202,-0.612538765977249,0.0863600447968485,0.456723475226615,-0.106853852903793,0.393747903037995,-0.505793487003654,-0.198193519191614,-0.45671119353995,-0.826663157678965,-0.856685564914309,0.498200133151184,3.92279738481522,-0.71166748618036,0.994999150898185,-0.460303398933533,-0.411396179508488,-0.278548026751243,-0.632671905370955,-0.655470578681639,-1.37788989447946
"Vibrio_Tm_1 (GE) - TPM",1.97624885013917,2.51450556314331,0.214966182407429,3.62294235924284,2.49474089707169,1.0097705860996,2.74895824580747,0.984935689464744,4.23450275571388,3.99325827544594,2.48045996236984,2.80317630186158,3.93005952011921,3.77281059728763,3.58545035938811,3.62469746957539,4.40879450848115,3.71412139634168,4.2538256566755,4.70972053068246,4.45060678034007,4.85371225073107,4.41667230288203,3.62027062883178,1.97589651997274,2.66210559491848,2.50111967783591,3.37285587696413,3.59621576025574,-0.430633073464184,5.27861368561405,1.71540417362383,2.24930431367506,2.80788544057272,2.53358468021754,1.69521895708235,2.14517930743232,0.844664141152195,2.95006122451844,4.64405468278555,4.11579413791236,3.19825664863057,4.65525406100308,4.81267945092303,2.98962093187369
"Vibrio_Tm_2 (GE) - TPM",1.42102968908198,0.783045232704402,1.06134223419404,1.06530753729321,1.09404173952155,1.48900274468197,2.08093951280566,0.826839313944258,0.407870908348324,0.391602288726387,-0.192361411019929,3.3174609806571,2.80091638281503,2.67623385267166,2.36585949464858,2.7169797761896,1.84675417602404,1.41619791636771,1.83022529936138,1.73222048720276,1.53290733628508,1.51923146375509,1.84629876611522,1.4109483475597,0.557640324974478,0.815134792903469,2.11227498280281,0.95413570714423,3.2959587538882,1.85960215495905,0.480616016453397,1.8005489870677,1.69616320285625,1.98105134636809,1.83013323423128,-0.60921423602991,-0.28988166330488,2.45928706788089,2.24638548702149,1.50480027674192,1.75180452841387,1.9172277366185,0.683133187521193,0.69679668039885,1.39846949508243
