"","VC0085","VC0148","VC0224","VC0238","VC0633","VC0901","VC0985","VC1014","VC1110","VC1159","VC1466","VC1772","VC1773","VC1774","VC1775","VC1776","VC1777","VC1778","VC1779","VC1780","VC1781","VC1782","VC1783","VC1784","VC1843","VC1844","VC1900","VC1901","VC2100","VC2183","VC2373","VC2385","VC2386","VC2664","VC2665","VCA0122","VCA0381","VCA0440","VCA0671","VCA0819","VCA0820","VCA0821","VCA0885","VCA0886","VCA1079"
"Vibrio_As_1 (GE) - TPM",-0.382546417829618,-0.577443618598382,0.692314262890724,-0.456114457858344,-0.264547785033455,0.697718376294893,-0.458382536616657,-1.00172737966098,0.762959613172135,-0.124828122648583,-0.559921210254582,-0.331506855912054,-0.4802020672878,-0.510960753786003,-0.520705871793664,-0.540647509020996,-0.443131184500466,-0.593733109693153,-0.494892371506042,-0.312321218041198,-0.420029398657889,-0.397507030274197,-0.438796100656729,-0.664260076607097,-0.600201159401723,-0.143302290218552,-0.175469623748162,-0.327300354519412,-0.170237779744662,1.4349582184477,-0.556225661400223,0.296696257214098,0.176381126043054,-0.626574011751155,-0.354284971639997,-0.60921423602991,-0.28988166330488,0.0495682559028791,-0.729036104279937,-0.401795178748769,-0.406431473857032,-0.48780389107426,-0.549736709018834,-0.461635098178192,-0.0461442289334844
"Vibrio_As_2 (GE) - TPM",-0.573333988594985,-0.544125781597188,0.23376777019783,-0.133473638291412,-0.546948898904265,0.91524613495649,0.236455250636732,-0.211929651927476,-0.280137882212934,-0.633390973164272,-0.559921210254582,-0.466145287104041,-0.483802344456071,-0.492320069662483,-0.5195428342401,-0.493377158287711,-0.526202243293001,-0.682961823862546,-0.562723014170794,-0.354178353725365,-0.490053767411173,-0.454439775405589,-0.493272893805129,-0.68679088923108,-1.41728827936782,-1.20424422090986,-0.533055190758773,-0.707660614090331,-0.426839133554953,-0.496840139625379,-0.558185929632847,1.71317757906291,0.314671294959941,-0.302643435918151,0.129142946585938,-0.0519357787059934,-0.28988166330488,-0.299456413862513,-0.78657890126457,-0.23270666304496,-0.324033176341751,-0.259610142071614,-0.525050375483431,-0.507274142635197,-1.0911419718024
"Vibrio_As_3 (GE) - TPM",-0.303027485747384,-0.400267112375908,1.07546386145372,0.400575924484383,-0.325241297691698,0.749327817111034,-0.452254571203642,-0.753379043017315,0.786504749238692,-0.359471049820463,-0.0555674272836306,-0.421403861357361,-0.465019215489648,-0.470996872343049,-0.581729519009174,-0.540749025676585,-0.5088900910821,-0.675322826069755,-0.550837349823928,-0.466731197326282,-0.487537487040076,-0.446172724873619,-0.48488344688923,-0.717185263187407,-0.928390136230299,-0.549240110668345,-0.406401451329015,-0.568514027163564,-0.656777503681524,0.48330353986533,-0.403372493392538,0.501526483945586,0.335584310777235,-0.641277003769271,-0.429991021501679,-0.269711719304785,-0.28988166330488,-0.0707663869442213,-0.736883218616339,-0.398272751179332,-0.402204422964745,-0.468525663506493,-0.480216542503671,-0.48741250854205,-0.844378385930941
"Vibrio_Bs_1 (GE) - TPM",0.869589872117585,0.0798527897396398,1.5175231281885,-0.510712464061423,-0.919338477520383,1.14358931142948,-0.406401155917272,1.10775723510948,0.370548400974993,0.913421416348543,0.000166597033261737,-0.362665239446897,-0.414240819036835,-0.373547547881334,-0.377932029551494,-0.392897351334213,-0.210690274186945,-0.384567231093077,-0.290425579630051,-0.186550648752036,-0.16036798812733,-0.20878375980336,-0.286498529227455,-0.507052440516248,0.598641853859223,1.02992637720811,0.887444563009855,0.408166444586194,0.407655795810317,1.03474362579008,-0.129695647133153,-0.534176154821605,-0.443676182598571,-0.242792963114014,-0.152033724682593,0.774618767778672,-0.28988166330488,0.280367710286936,-0.317175491631562,-0.162444572844456,-0.287751275063551,-0.488776542403653,-0.233745936304085,-0.184242492342874,-0.494997015854034
"Vibrio_Bs_2 (GE) - TPM",0.0259997290819501,-0.129652624532352,-0.111294116027494,-0.433953920713313,-1.09796567402059,0.728622380954301,-0.26568430864701,0.446349755122089,-0.427350923256926,-0.269906377107622,-0.458024365266959,-0.517163306061004,-0.484216104612494,-0.458257449171509,-0.549866175882284,-0.491078371386092,-0.439819540358526,-0.552102091260916,-0.485357024852333,-0.435395039390125,-0.382838030139717,-0.389023572717449,-0.472493180640055,-0.643546193659407,-0.934802950422813,-0.576620765229834,0.336429124008069,-0.471007912338102,0.142182656567843,-0.624254414079903,-0.173557891767236,-0.814823345363445,-0.685368020973127,-0.195373543139231,-0.147930069982352,0.0268133306591379,-0.28988166330488,-0.874813134650314,-0.555003019070586,-0.216590072933527,-0.28435609515556,-0.443693937336375,-0.438628480413261,-0.44475985487052,-0.923621717414403
"Vibrio_Bs_3 (GE) - TPM",0.807286040244957,0.259599841558392,0.834062678018857,0.130503103817825,-1.03570399275411,1.63605357069897,-0.547522737579433,1.45215628458605,0.0798152200066412,-0.078347508717366,0.633377616140554,-0.360312972352464,-0.479816593961534,-0.4766958446181,-0.560587934905347,-0.495329874736569,-0.434645956505368,-0.549806260659549,-0.44997020417388,-0.42668134986292,-0.303000710999558,-0.349024009871602,-0.429699657484564,-0.674286931737673,0.0817060061631807,0.382884132010225,0.204408541570958,-0.233729671504142,-0.573019050993739,1.61699822690467,-0.0668623815698776,-0.0893729648961179,-0.56111341628,-0.486885298334211,-0.399215046006513,0.110800124876162,-0.28988166330488,0.063650430575694,-0.419183160375888,-0.325791464990968,-0.343923894084363,-0.509529849440344,-0.323202333195741,-0.37505431330512,-0.857666433100427
"Vibrio_Ctrl_1 (GE) - TPM",0.373466284459259,0.416200753928151,0.184866885503811,0.746864580888385,1.04402613367269,-0.196341186917976,-0.157791138735688,0.0848001988245044,0.235694519310119,0.480313868852092,-0.559921210254582,0.42302625767413,0.134996266013938,0.298711147751494,0.294311350148514,0.407566422421294,0.122404284988521,-0.0260513976438586,0.00942929006545925,0.413391390060653,-0.019574822507066,-0.0322632675712285,0.0457424223281818,0.345881923049171,0.690933255204493,0.864894658697249,1.06525417627946,0.900429949913058,1.50525529482527,0.644538390619772,0.0954473259139707,1.01530027860169,0.612588799631922,-0.285106268598584,-0.471663790868525,-0.0797711940133409,-0.28988166330488,0.218421629231848,0.748768638892838,-0.392050276081509,-0.337391336238616,-0.399479890577608,0.467368509803991,0.481184107244702,1.28669352531056
"Vibrio_Ctrl_2 (GE) - TPM",0.299625084481724,1.37852483703709,-0.165577798161642,-0.302344285718243,0.730095304118268,0.186764109027312,-0.435208544868309,0.669770319297297,0.258830883781791,0.410817178096981,-0.559921210254582,-0.199364243764984,-0.290907346616906,-0.238653539080099,-0.0982892496438843,0.0568214975523779,-0.160949214230291,-0.37300622508605,-0.122173963184282,0.123446956316159,-0.247532406738074,-0.160283750099654,-0.204848877210949,0.0817885232555438,0.097747338227676,0.174315637438307,0.20395532891914,0.473452990102392,0.320923914166294,0.0336490154399897,-0.128778016850059,0.622992660488667,0.213620981528013,-0.520274450057175,-0.754063323692396,-0.60921423602991,-0.28988166330488,-0.336145718275721,-0.556974708797372,-0.431224702032471,-0.415703774976942,-0.49704486429911,-0.155808278145347,-0.0396165449884479,0.659095144022963
"Vibrio_Ctrl_3 (GE) - TPM",-0.223384251618662,0.634230686629761,0.841487367100865,-0.707115141189855,0.799415218951819,-0.403668265528018,-0.416478541292821,-0.110807854221372,-0.0290760524319422,0.424293920100015,-0.559921210254582,-0.0137435047197755,-0.269617868944632,-0.22892671134062,-0.135776767719318,-0.0437217556254678,-0.323315723540171,-0.302133899003898,-0.127677248643321,0.0882217360240133,-0.254326825628665,-0.246783190344242,-0.211097351206405,-0.117069391113234,0.141281798024654,0.0587998477764516,0.595387226389914,0.704115081202167,-0.141477463154966,0.503457938566893,-0.14854671607162,0.224026906620613,0.015692595020786,-0.50478184707551,-0.736158012295454,0.544125121601584,-0.28988166330488,-0.42560652179295,-0.0222466505243991,-0.377870724131746,-0.406519033122308,-0.442831734671355,0.116513917827147,0.0193615148086736,0.983978275003514
"Vibrio_Li_1 (GE) - TPM",1.124708419378,1.35116782479361,1.49651858535604,1.06028263003854,-0.52515716882684,-0.561585020431723,1.60746867389942,-0.46274850380899,-0.0950261810442725,0.962667031330616,0.311790704341048,-0.0202770914710009,-0.370537958635474,-0.501076385917065,-0.153894061363503,-0.568075699887001,-0.463868247528379,-0.568996800084997,-0.518915080460107,-0.479602445211137,-0.511261961153677,-0.398137007862041,-0.426216942397569,-0.588180777248082,0.695132836630195,0.762453552014737,0.206262028437503,-0.102099579929237,0.00389976267976347,0.884869308383154,-0.387286207620236,-0.683227773300983,-0.553128232218199,1.49884115677018,1.98736612656482,-0.60921423602991,-0.28988166330488,-0.0595574873228815,-0.0572107678496578,0.328036438780364,0.242067423620543,0.333208769215054,-0.198516989152876,-0.0990929842518377,0.651648268899174
