"","ECP_RS01345","ECP_RS02470","ECP_RS02475","ECP_RS03040","ECP_RS03150","ECP_RS03265","ECP_RS03585","ECP_RS04045","ECP_RS04425","ECP_RS04890","ECP_RS05235","ECP_RS06510","ECP_RS26185","ECP_RS07100","ECP_RS08815","ECP_RS09050","ECP_RS09055","ECP_RS09760","ECP_RS10780","ECP_RS11620","ECP_RS14965","ECP_RS15460","ECP_RS15580","ECP_RS16405","ECP_RS17465","ECP_RS17470","ECP_RS17870","ECP_RS17875","ECP_RS18275","ECP_RS18610","ECP_RS18670","ECP_RS21575","ECP_RS21990","ECP_RS22265","ECP_RS23330","ECP_RS23710","ECP_RS24050"
"UPEC_As_1 (GE) - TPM",-0.297425266603475,-0.773061259066364,-0.647387522504554,0.243970960653428,-0.55214651502459,-0.740912478100312,-0.801747643780073,-0.912793593556398,-1.04985526166337,-0.576791643039783,-0.320370807954436,-0.734931901167746,-0.285838388927107,-0.881644134861839,-0.182638283492525,-0.708912923002652,-0.688978666951634,-1.05725911689,0.788187444218149,1.1572290638313,-0.0945813716503426,0.899719136483648,-0.72182629526637,-0.626428555466459,-0.834733673380946,-0.917724547255612,-0.763602048616347,-1.13446459931449,-0.775776973218757,-0.866119474629356,-0.81949424953914,-0.680684840095237,0.0533847529285865,-0.704371338223585,0.575957867579115,-0.838326926181526,-0.477295869028666
"UPEC_As_2 (GE) - TPM",0.451926196033927,-0.683025416897752,-0.522443344878822,0.489762096779969,-0.410907838028571,-0.300111041189877,-1.02940617536837,-0.476852468922423,-0.327611330385639,-0.490561410515944,-0.516405026459758,-0.416308534150861,0.580075560674419,-0.255926117023983,-0.484265903935284,-0.479709792661808,-0.574994543452866,-0.783658670103715,0.527374266845335,1.54102021982242,1.06305741540403,0.395852687090907,-0.260880160814082,-0.452519124050885,-0.413566314648879,-0.777696412899207,-0.530273894543502,-0.795998314422153,-0.690585387335793,-0.704856359895354,-0.585197385991682,-0.431940799566587,1.79897625627493,-0.668971757697788,1.38474685592282,-0.702701079432739,-0.431087879978089
"UPEC_As_3 (GE) - TPM",0.00119367252415781,-0.740711849261985,-0.565347950166861,1.07130444338376,-0.0674081349809969,-0.082327645750494,-0.718449622489919,-0.784927093844422,-0.684772013455626,-0.485185762964454,-0.623442905497584,-0.158951130192134,0.611959697796182,-0.771684864497971,-0.484997865995991,-0.642902903796517,-0.587695960684598,-0.714400916465872,1.06966333670228,1.66312245744387,0.682536620913985,1.36766733751997,-0.12329759947724,-0.0955520433043419,-0.144581901323088,-0.811153574841078,-0.535406751680175,-0.994385852536986,-0.737761741485522,-0.627181879217459,-0.440172497120192,-0.276582149965621,1.23864346555062,-0.771597645338872,2.68774547910464,-0.564338469674584,-0.271041292227713
"UPEC_Bs_1 (GE) - TPM",0.805851720944039,-0.628929734319852,-0.580947567289743,-0.90489835439937,-0.226906265883162,-0.63245761955988,-0.422204345779515,-0.675531409059808,-0.669436733511453,-0.723026520241849,-0.527165160639885,-0.159732783993514,-0.39069562547424,-0.280727932841609,-0.820388192947875,-0.568410937801015,-0.614772555973549,-0.633232308195776,0.814855697069324,1.14366184365774,-0.43350963674566,-0.161631705746117,0.0940441201672175,-0.426173280285495,-0.411389856869898,-0.81350260314598,0.110819000619588,-0.567444350618731,-0.594956547874538,-0.555611710806731,-0.707332044129777,-0.840136132960015,1.0728298684034,0.0168449884975703,0.50296468850163,-0.384597774579972,-0.781567988894942
"UPEC_Bs_2 (GE) - TPM",0.831081737124585,-0.698175930304917,-0.574022315398478,-0.45613717676821,-0.257075145425395,-0.787424720760282,-0.380453965862112,0.0736512041803983,-0.594637085946431,-0.545497596015012,-0.654677613379723,-0.363433746651515,-0.367851998394753,-0.736269582824128,-0.843364654300844,-0.583270976605833,-0.718487572763979,-0.926156919026781,0.604530830899999,0.683311256149984,-0.468217367685849,-0.224393649775956,0.309370840739733,-0.65432693745371,-0.44265341242813,-0.727179797847631,-0.312099700046954,-0.373916108292315,-0.650699232226898,-0.453992794773254,-0.62905872850778,-0.942119946965873,0.962855715648217,-0.246619014653671,0.688108508332622,-0.649605587110365,-0.666411259561573
"UPEC_Bs_3 (GE) - TPM",0.489496158234295,-0.707193024011488,-0.572811340187735,-0.746440013513889,-0.162822482227583,-0.449854181773428,-0.560253259739543,-0.853304191035181,-0.997092238056829,-0.676679950823713,-1.04547913080953,-0.186740876567085,-0.0571930764517705,-0.461144493633964,-0.806380061565772,-0.702179359941958,-0.654961579563172,-0.910230657581587,1.95468717342415,0.899700605366834,-0.531916069213718,-0.221600679347257,-0.01836497366826,-0.4996729527259,-0.457872707162828,-0.826221406023135,-0.394818276519583,-0.443879824328071,-0.682624347800792,-0.66435135016708,-0.507075954603432,-0.807544892207361,0.272649285061555,-0.349543262605212,-0.0977436460037465,-0.677005716313334,-0.68772499130922
"UPEC_Ctrl_1 (GE) - TPM",0.743804504729801,-0.629249822162398,-0.522255508272791,-0.770169934486298,-0.494398017097804,-0.340315618393677,-0.297291706888534,-0.42116322517762,-0.856583187606064,-0.685418252275202,-0.786520305331734,-0.380879656299557,-0.343815539950422,0.206206383562298,-0.880770947978893,-0.628919350141179,-0.608556650857344,-0.534526559079977,-0.767939303790667,0.765788735714156,-0.400514350535043,-0.0343043438360464,-0.515272207925528,-0.60781728209905,-0.90607452451431,-0.683933157609702,-0.444965242226524,-0.263037795758816,-0.642171465777646,-0.386710727225189,-0.424934852323147,-1.0313048016516,0.696453245780837,-0.243058465045267,0.140803909120588,-0.535264625233575,-0.803633953995462
"UPEC_Ctrl_2 (GE) - TPM",1.13714756880984,-0.692983344758505,-0.520637317648051,-1.19149131975095,-0.603939319233724,-0.738009060265294,-0.490012978259412,-0.784294538136629,-1.11980518267882,-0.434487311992509,-0.942821905394374,-0.465363879040187,-0.675591647238891,-0.365507239453858,-0.795646690174555,-0.438320275270238,-0.544519636232782,-0.0698246749550705,-0.950238091390469,1.11814739700447,-0.73302940845612,-0.319503607218265,-0.249358137175035,-0.537108514799973,-0.622314627872679,-0.712468382129545,-0.603137123016187,-0.839717533066191,-0.702833814039718,-0.507993752096413,-0.27617202288465,-0.684883768211615,1.49155883414401,-1.01601004430437,-0.706276764294847,-0.669936328618723,-0.562934559916261
"UPEC_Ctrl_3 (GE) - TPM",0.929198267701174,-0.673926344592324,-0.49532352724253,-0.45320226401071,-0.660731668198948,-0.84301937042596,-0.304363424605603,-0.538211800567123,-0.934163414358185,-0.807721003112759,-0.738589726484347,-0.565737156795346,-0.525274929290836,-0.595285917199228,-0.857701586347962,-0.661494537411843,-0.543425198653469,-1.32964333560228,-0.847518090061977,0.56733533055677,-0.792476031671718,-0.12419122418667,-0.443563720174741,-1.19774716560273,-0.718025091977839,-0.762267194658588,0.488915423457173,-0.827768372082764,-0.712437014373652,-0.684377563277739,-0.762612904245437,-0.979464271170193,0.768739603607188,-0.0970649163578486,-0.138972610845496,-0.548295145563725,-0.501656231189504
"UPEC_Li_1 (GE) - TPM",0.802254915053471,-0.638428275254065,-0.565905503663672,-1.07057930801548,-0.707956687236038,-1.20488548591782,-1.2631507628885,-0.747358410292368,-0.679807867704591,-1.05826353108114,-0.705882095206975,-0.850186617699035,-0.705680051343465,-1.1499167269365,-0.884836450126581,-0.758445957721463,-0.731626398772219,0.0934437494243665,0.99041895914581,1.01078808921395,-0.951636439194665,0.451347870544884,-0.817158211739279,-1.00331681542563,-0.447152652260509,-0.474487885977326,-0.656543433917041,-0.374798167948012,-0.670154016374029,-0.779286199791512,-1.11236993928552,-0.911686147742602,0.0326976562023796,-1.01601004430437,0.00180414601235041,-0.889261938711828,-0.861906449710885
"UPEC_Li_2 (GE) - TPM",1.01138476714862,-0.608029658142321,-0.561002727794616,-1.1048283087513,-0.7293416910249,-0.899305986272168,-0.580681645627123,-0.74123278531309,-0.754581314829342,-0.817691223053173,-0.0448506513621164,-0.927951868832962,-0.732251955001246,-1.00885094847428,-0.934297969599894,-0.752197866414138,-0.763761346404251,0.151119607405223,2.18730570391291,0.316168611054491,-1.13399641821338,0.802565986872996,-0.710901667377654,-0.628484908113059,-0.469232168757076,-0.441292444087369,-0.535675903188838,-0.5527066845563,-0.681964537692289,-0.854314915548868,-1.08525067513379,-0.811950612235151,-0.145479078326995,-0.604234509381556,0.201987612283223,-0.800757872160514,-0.65051441804327
"UPEC_Li_3 (GE) - TPM",0.529551214812685,-0.578827403230993,-0.607616144695032,-1.12333349867997,-0.94834162728235,-0.872882470165791,-0.318819658553826,-0.726494559960746,-0.813739613638217,-0.79126161019167,-0.6054289142718,-0.970009568909315,-0.923386328178329,-0.959309929129689,-0.979297260596492,-0.774527081181413,-0.672786526704736,-0.816067820841311,-0.104331854037261,0.703166829679855,-1.0078601018531,1.15523481514876,-0.737822005393977,-0.829080534000244,-0.544654267893203,-0.500016834108074,-0.869271515741525,-0.492926474152221,-0.697994539145692,-0.892520623870818,-1.14225629399135,-0.809042215174007,-0.522514305003089,-0.689571633143781,1.76849949456061,-1.03945425834288,-0.755262877803802
"UPEC_Mig_1 (GE) - TPM",-1.67638538695965,1.27369166006617,1.79228529344792,1.19199268764303,1.15470252982111,1.85140371508514,2.38211600203918,0.634150743010529,0.0985594399796838,0.502772445263067,0.889614304896726,2.00511887242426,-0.359640432328428,0.8648327674678,1.22660152082686,1.33407156743132,1.54859853619381,1.53651019302695,-1.66477215628517,-1.1545929435972,1.06276008451579,-1.35269975571387,0.796094972141035,0.607178182349898,2.04684242292713,0.729285255519576,1.52953615225927,1.16922106230149,1.97636981695754,0.696582843361952,0.581071190317852,0.568543491781089,-1.40654019681615,2.1070447327741,-1.6414684952428,1.44669619245183,1.68875628793128
