"","JHP_RS00350","JHP_RS00555","JHP_RS00640","JHP_RS00965","JHP_RS01650","JHP_RS01655","JHP_RS01660","JHP_RS01665","JHP_RS02290","JHP_RS02310","JHP_RS02610","JHP_RS02615","JHP_RS02870","JHP_RS03360","JHP_RS03530","JHP_RS03745","JHP_RS03805","JHP_RS03975","JHP_RS04215","JHP_RS04590","JHP_RS08175","JHP_RS05155","JHP_RS05355","JHP_RS05745","JHP_RS08215","JHP_RS05870","JHP_RS06110","JHP_RS06520","JHP_RS07025","JHP_RS07030","JHP_RS07720","JHP_RS08315"
"HPJ99_As_1 (GE) - TPM",-0.0521226870362433,-0.269776287208357,-0.342353119367237,-0.139979525601,-0.184213627541709,-0.641548384165829,0.0947579629862354,-0.367782061821627,-0.37871253068384,-0.312966600803294,-0.547874442298392,-0.573104437580573,-0.55874538398029,-0.790119270715813,-0.511634443319417,-0.381718518519593,-0.147232766063453,0.125409556165268,-0.427916652206097,-0.312190407043282,-0.767086682184208,0.0296620354762797,-0.15919226595638,-0.342064002945087,0.199524087594051,-0.0526420550441358,1.11719937910554,-0.59984509211558,-0.9429343849699,-0.269885724265417,-0.114030601929749,-0.661465415736046
"HPJ99_As_2 (GE) - TPM",0.0233887248160557,-0.525149382760583,-0.363928502336218,-0.317491449246001,-0.603850418281332,-0.375264813351886,-0.273659045386223,-0.539900247209928,-0.329717529136691,-0.112367466873074,-0.409054400571676,-0.545782634594356,-0.555359404947416,-0.583498953308725,-0.230471537580521,-0.166222957482506,-0.158044887497802,-0.147575552648913,-0.661829992917051,0.000553241784292188,-0.905928677361273,0.181789279491069,-0.365265561981517,-0.600299229182621,0.172517440800666,-0.273710862064964,0.313482260966727,-0.87599849326388,-0.0639004858634137,-0.363457847122769,-0.308858996539692,-0.260352992433242
"HPJ99_As_3 (GE) - TPM",-0.292712822537303,0.142281208129958,-0.625800804322881,-0.638119190452162,-0.711717508835518,-0.571398657817282,-0.593349450610593,-0.259583000048037,-0.366215513422599,-0.332584872935,-0.566110205121369,-0.770010726624727,-0.903271271505723,-0.671071953497362,-0.485639116694921,-0.439345021938587,-0.209376920995268,-0.683654694323539,-0.75301572097108,0.509404885615419,-0.658348141601828,-0.173293996265783,-0.444070367793261,-0.0913283523873662,0.129302321904576,-0.648367499862822,-0.341686974929602,-0.793512476206057,-0.895994511909749,-0.32192591220257,-0.306081036130829,-0.570547760638147
"HPJ99_Ctrl_1 (GE) - TPM",1.39059651005707,1.77775794677844,1.18612436462174,0.386258309660721,1.20559074719718,1.16152981185612,0.859031326618262,1.55536972112978,1.46897211678245,1.52744389714431,1.58138822048163,2.16137583204929,0.879462505084421,1.48193752454281,0.817746367707796,1.35093773965709,1.3051847172349,0.867305788382683,0.795795495493986,1.69551171442549,2.04267942669582,1.4390598218602,1.00180179064811,2.45038425071144,0.854668839293872,0.608717754606512,1.02830182055215,1.22113555615403,1.53108389987011,1.80984908501037,1.92021565346095,0.860264863877451
"HPJ99_Ctrl_2 (GE) - TPM",1.94716973067026,1.5371525386278,1.50899972948722,1.92568926531452,2.68941410594554,2.16318085688383,1.22737956582464,0.983187414497627,1.42670501063476,1.56121144148483,1.28039995778232,1.96427958480671,1.55381424043357,1.00490107043647,0.964082207096468,1.10183507351695,1.67640233581101,2.24499177236455,0.741638431810362,1.07913436919665,1.18027652960985,1.39864830711027,1.06132185861126,0.203562646524904,1.41416395401597,1.42952860366256,2.50167840645137,0.54559385159282,1.17877127921902,0.94648561745682,1.76273126831898,0.227918546001893
"HPJ99_Ctrl_3 (GE) - TPM",1.41000293105656,0.940190659503677,0.866842123245815,1.14163365957646,1.62056135531705,1.1630712436037,1.12665586903657,0.96385784553922,0.973929072856872,1.08016999220899,1.30805945645494,1.52828202545905,1.04376072459,0.628925590475889,0.481567135383945,0.41207350652903,1.12104099952732,2.1423067654715,0.339566451319093,1.11892114577952,1.19724442291248,1.1148460349317,0.571995563504756,0.507078637323791,1.07858105379552,1.50608238560398,1.42513758162929,0.797889238107365,1.35935894219584,1.49393524954464,1.28377539987408,1.17842661049766
"HPJ99_Li_1 (GE) - TPM",-0.421766503383675,-0.736392027588127,0.411178769422289,0.479567576031232,-0.670006455229744,-0.408534536488557,-0.375613040480526,-0.694917591157454,-0.658678819865343,-0.735265671421546,-0.812450794597008,-0.878828273477261,-0.822281910978536,-0.89234036662275,-0.970758654869455,-0.674816874597373,-0.45297269376598,-0.0754006686477949,-0.858927508792644,-0.565789919607202,-1.09789904397304,-0.184483208138305,-0.429645009914852,0.0484511011918632,0.197422736310152,-0.934736890003375,0.87183015850804,0.00457557945779698,-0.0864913931985945,-0.10374530308624,-0.030012227824331,-0.536311065846115
"HPJ99_Li_2 (GE) - TPM",-1.04796716518096,-1.03690802260509,0.731029511256126,-0.628196429756979,-1.20703774025193,-0.70570868135978,-0.809600920169836,-0.827894909198966,-0.573354014544943,-0.888050647218928,-0.802680384462138,-1.12028684751975,-0.542182188042475,-0.988959400358,-1.06672811289987,-0.723334909789961,-0.795438721767375,-0.625955765239333,-0.687753937834759,-0.0491294605951644,-1.09084227314345,-0.383860967496471,-0.396914798011737,-0.032130430880708,-0.254570322395279,-1.33821507077141,0.0474029490524304,-0.0184330019941183,-1.07677547024183,-0.19840674866287,-0.260279888531631,-0.619553223796546
"HPJ99_Li_3 (GE) - TPM",-0.921088181995192,-0.922266933485556,0.249205407148454,-0.101179709669422,-1.08106673251565,-0.865448541570876,-0.0912749336402727,-0.668298184028899,-0.615352179347886,-0.770981152580606,-0.831382229804758,-1.02394821035987,-0.764538430802545,-1.05173125580146,-1.20402783956229,-0.647787153494399,-0.827142642139223,-0.375486871818258,-1.00348099904335,-0.418970992639573,-0.857397378561763,-0.540148855802565,-0.424986516720772,0.408188741378879,0.0311505876128054,-0.871152641792732,0.114067277448351,-0.259829244568538,0.230650596067901,-0.772830150632116,-0.451166697354288,-0.886019382145159
"HPJ99_Mig_1 (GE) - TPM",0.0356706126199146,-1.28460121696599,-0.977856470867117,-0.199721304718738,-1.05762090688584,-0.299156405335502,-1.22100804471951,-0.953677905554604,-1.11578761207018,-0.92872704606537,-0.879054768740442,-0.266324467776511,-1.28272860533907,-1.17251106897684,-0.761346452306116,-1.25525463758747,-1.3375502272593,-0.999140644349647,-1.27797262446318,-0.973150206216871,-1.06394781732675,-1.41865510526405,-1.70729951401564,-0.771259578591603,-0.925167540257058,-0.987833550245162,-1.07487838052428,-1.06244533468875,-0.39329456204288,-1.32217859240189,-0.0161686144764965,-1.1875861978169
"HPJ99_Mig_2 (GE) - TPM",0.138973168753162,-1.36829237056504,-0.790537164197197,-0.0166168579348831,-1.29521399003748,-0.131805692278509,-0.983026596690373,-1.1195010900914,-1.15931647960998,-1.08972665837636,-1.04265961094862,-0.491888301032777,-1.29109762965398,-1.10680513050153,-0.758685370052652,-1.33941506294355,-1.19675948462352,-0.924232204455635,-1.39485919251828,-0.996190085156077,-1.28290321288166,-1.37631001664593,-1.7119321002761,-0.947321739827887,-1.16193777121566,-0.812237636214946,-1.06324821865251,-1.04215474599977,-0.651026616642977,-1.33409701780488,-0.391867980960154,-1.01063976270493
