"","BPSL0122","BPSL0192","BPSL0809","BPSL0867","BPSL0898a","BPSL0899","BPSL0931","BPSL0956","BPSL0957","BPSL0958","BPSL0959","BPSL0960","BPSL0961","BPSL0996","BPSL1046","BPSL1086","BPSL1262","BPSL1356","BPSL1509","BPSL2110","BPSL2163","BPSL2246","BPSL2333","BPSL2334","BPSL2638b","BPSL2874","BPSL3063","BPSL3072","BPSL3083","BPSL3158","BPSL3159","BPSL3178","BPSL3254","BPSL3377","BPSL3378","BPSS0008","BPSS0391A","BPSS0689","BPSS0692","BPSS0693","BPSS0694","BPSS0719","BPSS0738","BPSS0923","BPSS0926","BPSS1822","BPSS1911","BPSS2336"
"BURK_As_1 (GE) - TPM",0.668231306524328,-0.176282885662345,-1.27894225489446,-1.17639135888268,-0.96299726412771,-1.00294312485672,-0.215639733654522,-0.330702554733698,-0.287733206248227,-0.325156589153222,-0.526574340642722,-0.587802266893099,0.427530646811361,-0.625418316507577,-0.837836462019164,-0.75068091818254,-0.9120390831363,-0.704165421751495,-0.88275397038697,-0.850808473726413,0.371796904899434,0.309925761051163,-1.08671878519184,-0.939719448733507,-0.814905307562527,-0.337349529840671,1.22832442755995,-0.968332233624609,-0.720013579502304,0.255507428531932,0.0158081079705029,-0.686841777579051,-0.712910147025753,-0.691128188858684,-0.773829306922431,-0.977574605212331,-0.881765051957325,0.498652276833052,-0.731663601498736,-0.613372533294826,-0.7432204622719,-0.686606296072214,-0.622811539380883,-0.60663667876673,-0.840549640754865,-0.647501507941032,-1.13673847103328,0.410802429122813
"BURK_As_2 (GE) - TPM",0.433460114804394,2.1794310854406,-0.959210227234087,-1.28004937489216,-0.996861487720675,-1.00621580195939,0.123017171301791,-0.336606499640112,-0.0867182251840845,-0.361789712331235,-0.639743136020672,-0.660816962030577,0.556596854126027,-0.912609031030103,-0.963243317442936,-0.682820344882313,-0.522193454711664,-0.670326389324784,-0.897620183950841,-0.85037986232934,0.109320490622344,0.467468828679787,-0.772492992257312,-1.02204748435996,-0.780602145323794,-0.548780469136513,-0.220828458694202,-0.942669591104533,-0.818703282506773,0.310568463463792,0.0248361585135188,-0.819117935143149,-0.593646261295547,-0.693193540032014,-0.749274343277113,-0.757063780069619,-0.837831132232089,0.74456290578407,-0.792768354874259,-0.744757319437659,-0.702600340121424,-0.619762791239619,-0.142355816104701,-0.793819262687894,-0.944511410867505,-0.671182954447145,-1.14992141075871,-0.794715446879131
"BURK_As_3 (GE) - TPM",0.697432491944398,0.706929574624342,-1.07092637229549,-1.15162480852854,-1.01062554943599,-1.01278512654411,0.370180230366626,-0.311711835792274,-0.366782249391094,-0.439479003773235,-0.719849241709265,-0.666114445205339,-0.111898018840359,-0.27168463877275,-0.930748008429604,-0.642755931358941,-0.751949494112229,-0.768351886218382,-0.847276942109902,-0.821141909801265,-0.154498266472161,0.559403486684145,-0.565956347487961,-1.16964521368907,-0.834832266791368,-0.403775297279747,0.432341249251221,-0.828524067651273,-0.784986172931521,0.19691653330342,0.0741958163438387,-0.818024010774717,-0.758424608159619,-0.476262001651683,-0.8307265858557,-0.881769828532377,-0.868343676037825,0.708134767660371,-0.84472317215373,-0.823458450323414,-0.701589328123441,-0.610025823363184,-0.86031789086906,-0.774225667294779,-0.832435614883859,-0.671497157175579,-1.29394138713848,0.639196609393635
"BURK_Ctrl_1 (GE) - TPM",-0.745025337685713,-0.472117731297855,-0.621894908903555,-0.83345972489269,-1.07534415512258,-1.02439333633396,1.80225835432223,-0.552487436188198,-0.542067377329841,-0.671173143349932,-0.952682388761536,-0.765186417116476,-0.684329670314214,-0.49692272100829,-0.827946046188078,-0.699977400846137,-0.541157700752007,-0.834412928311162,-1.00312110974189,-0.838670122933459,-1.01176439840896,0.165174930265022,-1.20049748385943,-1.14562407471842,-0.961415984568228,-0.0535920988023463,0.166814767687897,-0.710415665335003,-0.839880459584701,-0.540320733676059,-0.467423138419377,-0.850314938291539,-0.754503042091141,-0.847697974791867,-0.999205937627425,-0.829508682951049,-0.855239286532224,0.558147833716699,-0.738270684780101,-0.810709202247001,-0.5804241202997,-0.883759276560208,-0.675551497447977,-0.876491879998123,-0.565318274818128,-0.649165690440593,-0.517734259923938,0.321495436997216
"BURK_Ctrl_2 (GE) - TPM",-0.809306781605387,-0.47275383052477,-1.30457905058913,-0.81900760612038,-1.02373623154512,-1.03033634401105,0.281230292877286,-0.608948403963772,-0.424614233339763,-0.650278361013018,-0.856901165553715,-0.871371892237775,0.0224196964016109,-0.43006079610882,-0.910612529622217,-0.755816385190752,-0.418841595303123,-0.877172030755899,-0.965471427983708,-0.82674520046632,-0.555741171973431,-0.274577522278983,-0.966787649308943,-1.03912311260024,-0.939570950341703,0.356881671773016,0.26335282434654,-0.896090342603606,-0.819559641504809,-0.322425062191703,-0.465945319826344,-0.650233349597562,-0.751100273733071,-0.720621594112029,-0.974535484707447,-0.784632311772208,-0.857187880307384,0.896175186696271,-0.798762386564343,-0.958000143608373,-0.527420764067256,-0.763196364057387,-0.817258234661506,-1.05846238290622,-0.857037966305585,-0.675024176898843,-0.892215049363741,0.465709182589196
"BURK_Ctrl_3 (GE) - TPM",-1.02675166110966,0.449759836145646,-1.25256070120012,-0.833160263107824,-1.02598032423898,-1.03743775236413,-0.0720368416987167,-0.629467089886567,-0.609382175392871,-0.764309149594408,-0.833210210928452,-0.89582957542886,-0.249595680566762,-0.682448510269166,-0.868214247739336,-0.810359972130951,-0.663324777933758,-0.94200360371696,-1.04221570352604,-0.841522628868565,-1.3314097844784,-0.238104282676937,-0.971477081843719,-1.09024752749473,-0.963600240232656,0.382037416016079,-0.0136820260488272,-0.885506939204253,-0.927635551277326,-0.288349739167704,-0.513923043843657,-0.90368161257221,-0.641814086917118,-0.750277382853254,-1.043313329961,-0.815879614607299,-0.84938696116436,0.749108463776229,-0.96262214576043,-0.903634157882954,-0.826387041146763,-0.973804452797167,-0.774091902370941,-1.03903706246956,-0.555143074511786,-0.65243635615698,-1.17168278546971,0.672249578986423
"BURK_Li_1 (GE) - TPM",-1.35630506065985,1.36065274801575,-0.386078003679966,0.262590789510663,0.450868128714243,0.508305094033611,0.540741506677474,-1.00445045044594,-0.879624344048604,-0.775990624870535,-0.547683824090054,-0.508813422287415,-1.09284488227032,-0.721776995933387,-0.368975297433953,-0.42730630207028,0.00489204836050322,0.207407325787158,-0.268636567960641,0.205418016263008,0.735407579941252,1.12311434507955,0.115009545042502,-0.397063140336355,-0.653581390828253,1.02616807919272,0.705054590920588,-0.412503794205221,-0.457003668495722,-1.02359018704139,-0.889953815317033,-0.542655590986612,0.16465328925363,-0.67178776936441,-1.03336089297333,-0.827569244527019,0.585517701503978,-0.457420896703487,-0.640737781115521,-0.606528781400193,-0.756934642162643,0.318336451276178,-0.828878179112086,-0.0648864798252498,-0.178965019485957,-0.230256750724081,-0.0535256198327586,-0.820975730915402
"BURK_Li_2 (GE) - TPM",-0.733780923526172,0.765355722751342,-0.0402947864795278,0.444035936930846,0.256626859116146,0.522498406145614,0.405889837321064,-1.02424643174246,-0.782973775477379,-0.936869518535969,-0.56519758786973,-0.341590147787964,-1.20846650449696,-0.814461893341467,-0.447300907549664,-0.442466819554519,0.374667308948439,0.212196393270486,-0.0141457342831208,0.171765540007609,0.396396937559308,1.02549028537085,-0.337333868397459,-0.441715530500578,-0.669641344088038,1.27202135545984,1.1775823567069,-0.101919552934214,-0.431220724689737,-1.29618253524336,-0.88573450740134,-0.53834079636211,0.356545153527887,-0.424942997863558,-0.7882271711601,-0.690960852346512,0.912908357131727,-0.534595863082237,-0.648162178478568,-0.496091328602011,-0.756033111512964,0.584001779616892,-0.451898496407274,-0.468926036727026,-0.355084823135317,-0.15658858480807,-0.414669728559977,-0.998041972373784
"BURK_Li_3 (GE) - TPM",-0.459294365599851,1.12391198056919,-0.169750815600104,0.454208200284687,0.655461204263764,0.500383188793451,-0.202029737263695,-0.664776312076247,-0.553254112954545,-0.590969652705677,-0.357872632783822,-0.444969082419498,-0.908663041683185,-0.551426071912184,-0.203820544777973,-0.305856057548733,0.487116638595879,0.455548081119011,-0.408825863889819,-0.118350642823334,0.384512473704311,0.681779348170604,0.102345197528799,-0.0588419403690822,-0.363516483331823,1.13690900469524,-0.795584262804012,-0.117516669095962,-0.37772003805299,-0.97459365279967,-0.582975375163911,-0.431242284040433,0.347193593747057,-0.613750772061868,-0.767083267880603,-0.399206662239603,0.465146282523628,-0.663902643889758,-0.367685772001527,-0.503502009989985,-0.715402592444541,-0.0452214576767321,-0.608347836137429,-0.196103847700387,-0.165719897405587,0.00340881261653206,-0.074515365388147,-0.90001746911674
"BURK_Mig_1 (GE) - TPM",-0.804845972117043,-0.557473206465692,-0.404831216276823,-0.464882500432079,-0.0100364200470043,-0.385125381728661,0.245175334866194,-0.145995130789508,-0.475788651351131,-0.466421061730093,-0.434331627962018,-0.540263637706591,-0.748174923011284,-1.02077039615368,-0.403386594341429,-0.393056021192082,-0.729135933333847,-0.32718121064904,-0.516896293595086,-0.583963787965399,-0.735918367298906,0.848049198898065,-0.303381420258545,-0.541412644859848,0.23257334651577,0.369514595683673,0.561668548365149,0.0971712280188655,-0.731282554607587,-1.06124153387064,-0.994846236101628,-0.470368789897821,-0.466851184438994,-0.320121870803984,-0.225172910667864,-0.4787390073077,-0.290360211242365,1.80581109055871,-0.346358189118726,-0.10435801584474,-0.220035702662628,-0.852201582111431,-0.748852405218246,-0.337478894598223,-0.64871806598679,-0.443757895576448,-0.532564324951815,0.708905124835158
