"","SAS_RS00075","SAS_RS14340","SAS_RS01305","SAS_RS01580","SAS_RS14435","SAS_RS02815","SAS_RS02820","SAS_RS02855","SAS_RS02860","SAS_RS02920","SAS_RS02960","SAS_RS03525","SAS_RS03690","SAS_RS04015","SAS_RS04020","SAS_RS04080","SAS_RS04345","SAS_RS04360","SAS_RS04370","SAS_RS04375","SAS_RS04380","SAS_RS04385","SAS_RS04390","SAS_RS04410","SAS_RS05370","SAS_RS05530","SAS_RS05535","SAS_RS06545","SAS_RS06750","SAS_RS06935","SAS_RS06940","SAS_RS07205","SAS_RS07210","SAS_RS07215","SAS_RS07375","SAS_RS07705","SAS_RS07985","SAS_RS08440","SAS_RS08445","SAS_RS08545","SAS_RS09800","SAS_RS10375","SAS_RS10695","SAS_RS10800","SAS_RS10875","SAS_RS10890","SAS_RS10895","SAS_RS11060","SAS_RS11140","SAS_RS11165","SAS_RS11170","SAS_RS11175","SAS_RS11180","SAS_RS11360","SAS_RS11440","SAS_RS11680","SAS_RS11930","SAS_RS12515","SAS_RS12650","SAS_RS13360","SAS_RS13390","SAS_RS14030"
"MSSA_As_1 (GE) - TPM",0.234377442939074,-1.01223434310131,-0.170174333176563,0.0931767928619753,-0.64113328311572,-0.467570163722379,-0.467828480582392,-0.512513351781646,-0.650870844387799,0.658282126445866,0.485315507578977,0.496155689681638,-0.800233954298481,-0.188620850194826,-0.139886031187766,-0.481299430580926,0.322521899648918,0.695276260729986,0.536649948359684,-0.0365366578963358,-0.284608136033851,0.0455114905436082,-0.244205319722607,-0.208742391517039,0.533274131927524,-0.171854606053009,-0.305487642370523,0.0051043138692714,0.574848556229889,0.310476364079609,0.661772406093916,0.502655248970959,0.354353999200121,0.781606278539566,-0.847454008070138,0.797104444878286,0.0669550401878544,0.0384348949131833,0.49469091562121,-0.577350798421071,-0.0973969454626042,0.178640033612492,0.206643019013515,0.375611842686171,-0.304137843958067,-0.3210722704167,0.126796367727713,0.20876425443963,0.205850110397668,-0.564916911578267,-0.674705159381566,-0.773264392526,-0.780926040746565,-0.439761598200709,-0.639311925713943,0.600648529372428,0.273564617235499,0.226804220881816,1.39935537534869,-0.382495653583992,0.985401014802612,0.862588609031598
"MSSA_As_2 (GE) - TPM",0.266808915046772,0.300707900125114,-0.171968955803375,0.666808525268374,2.18559410002792,-0.473371887705812,-0.365974236426465,-0.359250411427881,-0.148337641689388,0.704104139442985,0.769088680354501,1.86659522557611,-0.468054447622224,-0.267596227451489,-0.432151296466381,-0.613920599314473,-0.0468029730342451,1.22147793909649,0.144808152614633,-0.180375762964431,0.388669129140435,0.223011269287682,-0.0972361753350005,0.664765362405009,1.19738766256527,0.273204486690461,0.780900812840114,0.26930928431949,0.601593087122157,0.409661258709922,-0.139914057316196,0.524357892879869,0.712663190442659,1.14901211178043,-0.346421607303554,0.526882228616109,0.142158885825531,0.295765944928659,0.519358644352407,-0.385187836403468,0.217994995072002,0.361898975722105,0.458630391145294,0.634222320068283,-0.252831809215103,0.360869959936831,-0.0231791770991187,0.269042172423242,0.681548302916886,0.534135338360148,0.153004542640172,0.0227152169476016,-0.010967887414074,-0.45177846911199,-0.255863490874481,0.19405615644887,0.369931651557752,-0.110387484542327,0.543452625167815,-0.304978225641279,1.33549599187523,0.312409008181811
"MSSA_As_3 (GE) - TPM",-0.317177234424862,-0.0620189378709994,0.0146619204531566,0.260904704292664,-0.64113328311572,-0.4553254823839,-0.449316286784855,-0.316664924030175,-0.392346708493129,0.34216862265259,0.252289686935029,1.18393986603753,-0.254053674297085,-0.358136598473693,-0.427487339538569,-0.213072594714033,-0.042759631801888,0.475624936503658,0.201884539664418,0.0419450210389463,0.753785192219194,0.772321727600529,0.269679931630338,0.575080123233777,0.706711349172244,1.31867547830432,0.399051022003417,-0.065119559623225,1.37735963081373,0.0786753094648055,-0.0898605770013479,-0.0569726989364127,-0.144323427404524,0.429208892274683,-0.428599224573349,0.878840405360048,0.095707588788569,0.0343804826738365,0.492359694322951,-0.193872425176767,-0.198631398738789,0.762591985510863,0.178345819075756,0.196395745460043,-0.26899101239943,-0.0974426009706154,-0.0357379991833031,0.23039902164231,0.731457712646553,0.903655008100146,0.461612124065872,0.130839501046039,0.180816515557336,-0.801846098930002,-0.353501924665014,0.472870135128602,1.1383852619937,0.0925767447291895,0.94080142385934,-0.521632099663143,0.201789564481107,-0.561365147933315
"MSSA_Bs_1 (GE) - TPM",0.106065627634978,1.53743534008404,-0.184404987207216,-0.108009520557066,-0.165768992918996,-0.286688523303359,-0.247570676936716,-0.502803665511789,-0.596093254780013,1.02849243931837,0.512367929717973,0.0498950059063993,-0.171004120040784,0.490135238742745,-0.143667351594316,-0.812083216559024,0.351617049383202,0.321770105199901,0.0965924281524786,0.377568064554688,-0.157025427420817,0.130721932264558,-0.0548294981255514,-0.0888048398795456,-0.184873644146792,0.155058759893817,0.218161631970394,0.0475373247863891,0.717781092168864,0.285984053579635,0.163828706606943,-0.0673496763785071,0.856168970898958,1.54984565422902,-0.698427064773461,0.945309846635582,0.0627561553634871,0.0256399954759167,0.740187867770137,0.569045411532359,-0.381264590944918,-0.359554386012323,-0.11090391129795,0.884554693266349,-0.283911164018714,-0.111544499263224,0.140115349799731,0.15420614822235,0.130978617678907,-0.400395982103465,-0.642785479464842,-0.683119428918446,-0.767057445778905,0.22979628513257,-0.437900088866164,0.68604750871269,-0.125841334262341,0.470599428763926,-0.0680953016231802,1.30369763015221,1.64670914563801,-0.737937703531501
"MSSA_Bs_2 (GE) - TPM",0.691793189363301,0.494046534453707,-0.194161931564964,-0.0223961936625115,1.0920520409314,-0.308730356495479,-0.176762243955579,-0.0396273730281758,-0.338846229255834,0.762592269291838,0.701556873022514,-0.290112967778856,-0.138852652695658,0.393008139518522,-0.209942754104523,-0.262655133419088,0.108192025640563,-0.495052991267958,-0.201461993082137,0.223288293921788,0.226251638343582,0.615842443700958,0.317494186335544,0.303187033272639,-0.380333400434992,0.239379573590688,0.759063971786141,0.524806465712402,0.538168547445232,0.236272386293579,-0.526939464472059,-0.0715110707338298,1.2368029327468,0.863336446713667,-0.42719319166394,0.375083812703115,0.11515798668483,0.266723089178974,0.762890948084209,-0.00958122876655341,-0.00828587695531901,-0.122883250123982,0.562995132655817,0.302850280503412,-0.269464404872828,-0.0121718465967382,0.101161707779813,0.17298645977042,0.434584932742011,0.652214638580703,0.17177251269801,0.119579088109863,0.133067432827799,-0.168889665830569,-0.178737263589613,0.202631677023785,0.243053082420184,0.146170951703128,-0.705666990443253,0.991638930298362,1.72707317493767,-0.855979098901213
"MSSA_Bs_3 (GE) - TPM",0.505681288442044,0.50808705206221,-0.19550119631482,-0.279648601784222,0.0452196778523213,-0.365865200110056,-0.299966356901858,-0.158360513969025,-0.374092539695471,0.37362061862797,0.370827825083036,0.408925503407727,-0.428264749819758,0.295720325231888,-0.358568397134863,-0.394568871557431,-0.100480038338172,-0.0830208881890803,-0.588449831097998,-0.0901550401550701,-0.13229701315059,0.541622985166462,0.62622786666856,0.386234769397904,-0.806634974076224,-0.0179025933811457,0.691161301799104,0.360575640149384,0.888134502182821,0.459682568028329,0.0825540069995162,-0.21447829267132,0.619590897915516,0.916161525508656,-0.661622245336644,0.484509599995345,0.0909193048274807,0.306523191514485,0.876802372184346,-0.131823688538366,-0.379934817550913,-0.867449453464172,0.754967137429247,0.650732553204337,-0.277152841870453,0.217294004944578,0.409261228856435,0.956698027474313,0.504828544458144,0.999914077208023,0.406592658621817,0.344151860067083,0.505939747209643,-0.719623383303977,0.0755862328302291,0.497987291973384,-0.00835178247490967,0.119445314406729,-0.30498846301955,0.265095041065288,1.03749904022882,-1.1624763714085
"MSSA_Ctrl_1 (GE) - TPM",0.839723456473541,1.78966368101709,-0.420941584220595,0.720262746057564,-0.64113328311572,-0.237708595886592,0.1805504420355,-0.434361346593674,0.0571436111129173,1.52197550248024,0.870334173911111,-0.213089649845415,0.323543818794176,1.5061462456729,1.8812222899766,1.89567492852099,-0.080936808671389,0.686650027782418,0.601191681410301,0.165707713251889,0.562232136209712,0.385205528638957,0.359619731596289,0.25753417945575,0.609748133115823,-0.412041213597127,-0.21521653592118,0.533794075345378,0.943270904987669,0.16770891929843,1.70394797576303,0.934577667716577,0.491262877380481,0.62284721533016,-1.06889922273352,0.248540623540959,0.491040432621767,1.0462857061537,0.395178376846686,0.376133217550407,1.59657031198049,0.664127221935554,1.12751842151003,0.203391231359878,-0.31814631284839,0.828954617496799,1.09809331378441,0.245400572297864,0.609920122001701,-0.0361605307611407,-0.0366210634315935,-0.113848609978536,0.249990304372171,2.26260051274075,-0.602672517220825,0.648245479170022,-0.673352923188674,1.62523306473457,0.380942396951821,1.42026999702929,0.546691548387353,0.992631241028247
"MSSA_Ctrl_2 (GE) - TPM",0.267381438722275,-0.269022643169284,-0.435538918999727,0.939689157974558,-0.342291411148402,-0.286704487947672,0.000869619981255438,-0.0732888419378967,0.374356734992248,1.31938377262871,0.646164809462798,-0.680237456768839,0.367466181137531,1.48827097813514,2.12784338039902,0.50776264502498,0.336457333850525,0.381200253720894,0.61213105473064,0.808862039495592,-0.171744929841611,-0.0514023791942805,-0.161244744772995,-0.698294986121505,0.55642994716334,1.90757126424598,-0.342083937826186,0.62010024011111,0.566917947709906,-0.235216537586411,0.618695362397035,1.84139606936076,0.439156419511087,0.775506869948797,-1.06177919597805,0.260131817390232,0.448518764757367,0.938473780541801,0.471044370032886,0.0402317698411604,1.50707432545603,0.376501060142836,1.13955870819867,0.362015960616242,-0.303468561898946,1.30218946118531,0.967698907504785,0.654787619476601,-0.0466177735624313,-0.217763924579362,-0.228190212400949,0.0537862326922914,0.2587305380032,1.20269663510323,-0.62125226198262,0.272130457726534,-0.707103110862984,0.929490707125887,0.548065821073573,1.04014478632324,-0.318152938058781,0.8262373048511
"MSSA_Ctrl_3 (GE) - TPM",0.756225635509158,-0.500157548304656,-0.458679276465209,0.717808750735003,-0.64113328311572,-0.299547528829697,0.107691067563277,-0.281978094243449,0.0927622708198841,1.3821963361805,0.998705136508354,-0.770529527940114,0.459585788879129,1.72760550731131,2.36664979616205,0.45254114062687,0.537106141755802,0.37732574260262,0.807225764566623,0.573613189121714,0.0117488091576756,-0.0296152404807634,-0.119088795984481,-0.208889606959471,0.89526826653532,-0.548227839605187,-0.147344874910838,0.506209254730217,0.836972985595689,0.385374345695019,0.302833901640524,1.03389707003713,0.600331333419635,0.832930459124184,-1.17378312010207,0.22060366355874,0.464163590661447,0.943347703944617,0.460352681176754,-0.0154900426897694,1.30504625929986,0.189517058466632,0.791926843855602,0.791481790599501,-0.314024713798017,1.20023429017732,1.13163665049672,0.739532292723237,0.353955987172094,-0.138306041859747,-0.184182420280673,0.127109199348121,0.159713007979604,1.15415659765626,-0.73066205207766,0.334348337391264,-0.558761614581662,1.02278864377616,1.39284667014914,1.37263241696394,0.253511505848441,1.25459810171703
"MSSA_Li_1 (GE) - TPM",2.061047548137,1.97551610905582,0.127888095138668,0.450216573375508,3.46462792275681,3.49005662691828,2.85626423030286,0.391250430165833,0.195613120247232,0.602944349930911,1.1102544994009,0.801580263941444,1.51493651622608,0.32109753018873,0.0378775048805876,1.18380044350441,2.57552604801572,1.27494827233992,0.701134975051156,1.15618763279982,0.38256985440378,0.786389744967048,0.608801121905988,1.94927585917238,0.795625949841741,1.30921787653239,1.65812199300601,1.13789302671169,1.0837236971843,-0.126929291874742,0.283303363114878,0.275086245322655,0.193584247420459,0.322959744426772,-0.822724824640225,0.512908391506805,1.87395897021721,1.71586394590143,1.60190434498359,1.92825246029938,0.455285044127917,0.96997154261735,1.31756947091784,1.96741589647242,-0.267926234611343,0.942816885569277,1.23344327533006,1.16581650572204,1.25713246140723,2.21643058990927,1.98476455382607,2.39854972343019,1.98474279970111,0.379411021392999,2.46176202346798,0.622320788701879,-0.460264055535924,0.55975452794537,0.986416514421282,0.916325187994076,0.216546282957464,0.938656272681515
