"","OG1RF_RS00095","OG1RF_RS00100","OG1RF_RS00105","OG1RF_RS00110","OG1RF_RS00325","OG1RF_RS01395","OG1RF_RS01400","OG1RF_RS02005","OG1RF_RS02395","OG1RF_RS03055","OG1RF_RS03805","OG1RF_RS03835","OG1RF_RS04430","OG1RF_RS04575","OG1RF_RS06795","OG1RF_RS07735","OG1RF_RS07800","OG1RF_RS07805","OG1RF_RS09530","OG1RF_RS11780","OG1RF_RS12095","OG1RF_RS13100","OG1RF_RS13105"
"ENTFA_Li_2 (GE) - TPM",0.347139078073237,-0.212165523752321,-0.101097732773245,-0.0326315930814304,-0.694205305521,-0.306519640508049,-0.293257022952048,-0.73378242045746,-0.797955590425665,-1.06293105972836,-0.452779121850522,-0.0747743145583134,-0.323901999447845,-0.422946065941254,-0.662334311279225,-0.212446065446481,-0.758554929185726,-0.67695730619764,-0.543149765576667,-0.754192191378517,-0.569824346795144,-0.474505016275514,-0.231440243615341
"ENTFA_Li_3 (GE) - TPM",0.167095568489172,-0.0282481226079582,-0.0391677064757504,-0.131258909007126,-0.68915487998001,-0.461899198216082,-0.328779579170487,-0.736050064418506,-0.72616350281081,-0.0721142941390891,-0.048587735311508,-0.275084811956379,-0.398399121202542,-0.439044025483885,-0.677256284802795,-0.460523538984586,-0.621254736621355,-0.507990148819339,-0.0145235533801086,-0.727683764473511,-0.325657328913218,-0.463407982741316,-1.09084432186793
"ENTFA_Mig_1 (GE) - TPM",0.210246460114253,0.393802723859346,0.207481707027517,0.20018994419225,1.41761032588051,-0.403737091092005,-0.306896603774492,0.120008462461694,1.09681916399522,1.01473239326765,1.07297180480503,0.390905307704848,0.0859390476240896,1.28284087924422,1.36040289121945,-0.128510375321713,0.268299345326403,0.876531120491908,-0.572068035198967,1.0180126039465,1.14499367141682,0.051451150485188,0.412245746857256
"ENTFA_Mig_2 (GE) - TPM",0.337792565180636,0.374953142755784,0.21048198141824,-0.133166204295964,1.3994631973555,-0.924354159729796,-0.894443661258392,0.14096857355575,0.135313807312159,-0.0414358525441241,1.10632360314187,0.475584909366138,-0.00473231379538273,0.229660865259964,1.57529101856047,-0.480050288959755,-0.186978091700556,0.643268259232563,-0.448426540787919,1.14940173023155,0.893841777847757,-0.296248676372654,-0.500089349426674
"ENTFA_Mig_3 (GE) - TPM",0.346888320343028,0.293217253753777,0.196670966965168,0.0133224472187815,0.969974482970306,-0.931606387993657,-0.880428817878053,-0.254213710303642,0.213355837387372,-0.231831604337903,0.531074454542725,0.469491965204969,-0.0173958095064816,0.237684148142356,2.32362570143535,-0.0848827731074581,-0.0832779257902321,1.57054033905711,0.56004245448044,0.958552455067965,0.554194177560902,-0.312155236940462,1.19808235271013
"ENTFA_Nd_1 (GE) - TPM",-1.19179344183983,-0.924573382476217,-0.501471815106535,-0.114029814896403,-0.476243209748687,0.160130663036506,-0.22356631230476,-0.444652272234766,-0.178619247491342,-1.06293105972836,-0.15100866099651,-1.66517134659174,-0.626666077772436,0.394312744316565,-0.462485729423533,0.0629001024864551,-0.0598829486532714,0.0480301269987519,-1.12071534797268,-1.1317955771569,-1.21187118370622,-0.340458423860006,-0.275242321018224
"ENTFA_Nd_2 (GE) - TPM",-1.25763578315739,-1.01506923989533,-0.793560320798196,-0.378501888569104,-0.547783049159013,-0.0389788413955698,-0.709659444680092,-0.394388374463818,-0.145670539755411,-1.06293105972836,0.211064863621918,-2.08972681887189,-0.249356992118839,0.211315294002874,-0.177383787239765,0.0416798538361703,0.905751533665326,0.0906282426629308,-1.34636726203088,-1.1739574552408,-1.0677696978152,-0.3195969979801,-0.233532976955773
"ENTFA_Nd_3 (GE) - TPM",-1.24762840232736,-0.945342221767769,-0.30206392387742,0.0910022346257591,-0.235825303936871,0.139857918039959,-0.521536092034018,-0.480198047772751,-0.0165263720451005,-1.06293105972836,0.0369278355547293,-1.58017589869674,-0.535116247575426,0.153515384548027,-0.478005677624145,0.0548216161623883,0.750510308523365,0.129605094245443,-1.02693346130363,-1.04416641210777,-1.09338732333696,-0.30928060641712,-0.657365481196439
"ENTFA_Ns_1 (GE) - TPM",-0.705349020426597,-0.435565081536941,-0.515440598279317,-0.39758248664352,-0.617460603978875,-0.703992759633714,-0.502866689810029,-0.261773252028413,-0.434411304130497,0.460286607420575,-0.443877859547152,0.129807795647276,-0.683892690364306,-0.359239101254055,-0.69426776725853,-0.394266444489294,-0.753717485405257,-0.79984252542322,-0.428469726853009,-0.855472947095848,-0.490903875516105,-0.352778495717373,0.108892024744694
"ENTFA_Ns_2 (GE) - TPM",-0.794726657881859,-0.586694685343461,-0.71641222830618,-0.628089324373287,-0.6919006579024,-0.47739931762818,-0.399535410169016,-0.628112708343647,-0.489245699063746,-0.167071940434994,-0.347794777790601,-0.668519031847146,-0.404973734629222,-0.408610790637861,-0.746427842575351,-0.543393275826942,-0.781268521287899,-0.900991484011487,-0.556259976167643,-0.749755087389146,-0.649844387815834,-0.37496734229249,-0.383374718402852
"ENTFA_Ns_3 (GE) - TPM",-0.733966386963822,-0.453869280971929,-0.560573170431631,-0.374484830661726,-0.551596491385473,-0.440227298899215,-0.428794336922411,-0.519290618124956,-0.464030971342172,0.587226812069238,-0.422276174140544,0.101363363144521,-0.568695364992386,-0.385457686821029,-0.684133765281657,-0.427980100629874,-0.751910052878494,-0.746420449985552,-0.158048361980328,-0.797130180589802,-0.597907659702209,-0.378086957193122,0.399801048077716
"ENTFA_Oss_1 (GE) - TPM",-0.99946350670791,-0.967904274353254,-1.10943886715778,-1.1299488676243,-0.570359364382901,-0.334263733438977,-0.276495403068551,0.015400237154506,-0.776668575218467,0.0978830455419719,0.0376945766236762,-0.904300306024756,0.00737350305472561,-0.483406178686342,-0.751487711569578,-0.157606775371748,-0.356853024821171,-0.545966970718227,-0.86934401184519,-0.762140324720612,-0.443025218251656,-0.499198818630213,-0.0761581871861561
"ENTFA_Oss_2 (GE) - TPM",-1.01763477486903,-0.985953390473125,-1.17617656555938,-1.19011060389975,-0.644471492948179,-0.23242044805107,-0.263196681660213,-0.158642460815267,-0.793124017441517,0.127408208759226,-0.214734866270484,-0.920274358608322,-0.144502234829329,-0.480838804172349,-0.793363743645692,-0.291198004871518,-0.55598292992854,-0.688566385226015,-0.816982463439605,-1.11612908996258,-0.555525734295633,-0.49645743746401,-0.411273582176975
"ENTFA_Oss_3 (GE) - TPM",-0.874012685766182,-0.97062687187596,-1.10282353838174,-1.14585350766276,-0.662614400884345,-0.572908637481966,-0.46382292425001,0.0129867045216442,-0.740638521504447,-0.0162091022475606,-0.255562049110596,-0.581905883744552,-0.124265641517892,-0.590340111182417,-0.794606366219069,-0.340639325375113,-0.461441685866043,-0.414359031448793,-1.09165937484978,-1.01596687104213,-0.380655518002996,-0.496273465286962,-0.395388230235957
"ENTFA_Oxs_1 (GE) - TPM",-0.603176195714344,-0.273165016574829,-0.228253107914895,-0.273834537596229,-0.104701546881681,1.05439846456582,1.36271004145268,0.284966477528687,0.221141743445051,-0.109829100893041,1.49394845674237,1.35464538002787,1.99229933669122,-0.112803347365099,1.13068052726525,1.2663954139436,1.48272077620566,1.22771743037124,-1.14422177433759,0.796300886313726,0.922576173395707,-0.158480753455718,0.44084515249341
"ENTFA_Oxs_2 (GE) - TPM",-0.712005541557031,-0.29095594606133,-0.0466199688665954,-0.320260944973116,-0.203727432975851,1.17285687595334,1.30128995108079,0.401094416639361,0.215538076730213,-0.285596997336257,0.590989684312648,1.01075371750121,1.8110007269658,0.288555918405423,1.40727322118499,1.45148148131132,1.52352174017941,0.79058304681688,-1.37160207148127,1.09530336805279,0.874623625917336,-0.183292980480074,-0.0707490712831111
"ENTFA_Oxs_3 (GE) - TPM",-0.128321829494819,-0.0395010898197939,0.0100938846181385,-0.0581890268962979,-0.112723402594296,0.650126746193193,0.835151318400324,0.438314554930457,0.188426218949078,-0.0964035133353407,1.33964010056256,1.14955285729071,1.49931699163425,0.154238483532159,1.46162946290267,0.957720568748246,1.1348754590841,1.02315899508909,-0.71534479775211,1.36088689906508,0.7180782725206,-0.217095197623906,0.0750743786786992
"ENTFA_Sp_1 (GE) - TPM",1.7525631715646,3.15557379625423,2.94058036731493,2.59739167649541,2.9137994341593,1.98362255257853,2.33530149965232,3.56304165711208,2.8478319488362,1.10590776026862,2.58188327713655,2.48486978990477,3.18298971616698,4.2876030765928,1.91871682953721,3.34321166886272,2.86980031336654,3.57300023750749,1.46490893886773,1.92033947309665,2.56525762523938,3.06815706956463,1.82919727875216
"ENTFA_Sp_2 (GE) - TPM",2.38764948701999,3.00643981983362,3.0666356149676,2.91786642967361,2.58803634232455,3.07380204253573,1.98608621504255,3.49193352501497,2.73599323198765,2.84641484930208,1.62234934967931,2.29592713627692,2.66175860144714,2.90707617245125,1.34137919043026,2.8896752568275,2.78442497597285,2.16144309987402,2.17418259183413,2.66664359021618,3.16674009441354,3.10853032530427,1.24782003242956
"ENTFA_Sp_3 (GE) - TPM",2.68918738240742,2.65262086275095,2.91341175756527,3.41772968923241,2.81231706430728,1.8400208345064,2.40349799434758,1.19378744753521,3.11612450838172,3.66871062575573,2.00223179041879,1.11026607442077,1.11649644137465,0.748617935090316,1.81510453596119,1.80225333010022,1.6021917584999,0.595342153987561,2.87027285063218,0.810689187025927,2.34908005531939,3.40049001206379,3.53528196750783
"ENTFA_Tm_1 (GE) - TPM",0.132487389153329,0.489554492982638,0.356040633202796,0.489615145755351,0.0187540171072237,1.3407349282782,1.5850525036859,-0.633796798632893,0.219796068864464,0.445819881270985,0.33167954850317,0.53771854947095,-0.728227011108867,-0.421188355724267,-0.069346886265444,-0.597398881663006,0.101927401778329,0.205828472150263,1.49718128232088,-0.549023441410425,-0.445438811375045,-0.0590153339286709,0.720808159518686
"ENTFA_Tm_2 (GE) - TPM",0.0627536810275666,0.327413007500706,0.272641119122746,0.10924215501938,0.0027945163953001,1.49455440135129,1.49090632975216,-0.50643287417137,0.396532064450299,-0.00397912842703669,0.47031269147765,0.366778462399281,-0.554069488601531,-0.456607891596801,0.0242177140921949,-0.388538810994381,0.125824423251637,0.261480735383218,0.634472958020645,-0.118179863240393,-0.304754601653189,-0.0149718627719966,1.02312427675452
"ENTFA_Tm_3 (GE) - TPM",0.247940707395832,0.345607933058461,0.501103968936264,0.412016437667674,0.0704375987004286,1.29192554187397,1.23118087311406,-0.610352629131998,0.244692032767532,0.430650347975098,0.250861637522241,0.448181317626867,-0.705272435866641,-0.485140040483803,-0.0347115810115795,-0.469087393732372,0.0628920516640903,0.287423145886702,1.26396484973915,-0.430641324014868,-0.331659044848195,-0.0162963863693368,1.2480983548329
"ENTFA_Vic_1 (GE) - TPM",-0.439687353103667,-0.40075261581707,-0.344994760246488,-0.475630336701389,-0.43212316683506,-0.435446510320314,-0.576315542260274,-0.355179818011136,0.179266698136371,-1.06293105972836,-0.693020425381242,-0.852969152435744,-0.642590788540761,0.0262881161934228,-0.887168805046202,0.0139628022977552,-0.7382968295638,-0.776419325153875,0.203671647236267,-0.0265524202158738,-0.523827086878944,0.215093311048145,-1.50177332849409
"ENTFA_Vic_2 (GE) - TPM",-0.69350245243987,-0.303674174961937,-0.247634525913479,-0.473123077095971,-0.340517977641395,-0.624036784191988,-0.662907553253866,-0.671446764772045,0.0362502173630148,-1.06293105972836,-0.0781110194394014,-0.316743152441334,-0.524132144528436,-0.263583000909378,-0.901271905258424,0.150680661784196,-0.546603067680909,-1.09554583198386,1.49369310994969,0.347203825017195,-0.279097376458397,0.20386627053607,-1.51473474785162
"ENTFA_Vic_3 (GE) - TPM",-0.552046323575088,-0.138917797373711,-0.314446538286256,-0.356526589526575,-0.157757331771751,-0.441090125171371,-0.67370147666739,-0.102487857065611,0.225243012814132,-1.06293105972836,-0.0878159623839095,-0.516475209417025,-0.190782126158566,0.000814127827062385,-0.870390134722941,0.0776943477130575,-0.786593036828072,-0.178312100256544,-0.0439267250862684,0.0527736047227119,-0.173585250766199,0.201597032229858,-0.997730088015584
