"","OG1RF_RS00095","OG1RF_RS00100","OG1RF_RS00105","OG1RF_RS00110","OG1RF_RS00325","OG1RF_RS01395","OG1RF_RS01400","OG1RF_RS02005","OG1RF_RS02395","OG1RF_RS03055","OG1RF_RS03805","OG1RF_RS03835","OG1RF_RS04430","OG1RF_RS04575","OG1RF_RS06795","OG1RF_RS07735","OG1RF_RS07800","OG1RF_RS07805","OG1RF_RS09530","OG1RF_RS11780","OG1RF_RS12095","OG1RF_RS13100","OG1RF_RS13105"
"ENTFA_As_1 (GE) - TPM",0.928459790959359,0.171212342610508,-0.0494610084801068,-0.211507326638939,-0.266980478281494,-0.961528703745069,-0.920873007983685,-0.35362213379822,-0.647887137273438,-0.436620700257667,-0.783559998660123,-0.369018164374464,-0.796044809112579,-0.623807686464806,-0.287097407722861,-0.970815618656615,-0.504904805216738,-0.23611647463044,0.568587480111792,-0.205509162714269,-0.192719077099173,-0.474942425379473,0.727254375101648
"ENTFA_As_2 (GE) - TPM",0.3100788768995,-0.0959424950303762,-0.0808752644640459,-0.326018953211353,-0.361597257912597,-0.822487805347107,-0.645551508146429,-0.572612127342855,-0.546383750665267,-0.208765735715112,-1.40275447805725,-0.462904908006715,-0.638348092199366,-0.644145163899846,-0.348378030334055,-0.812504471999958,-0.310605915891199,-0.357436813949111,0.30631294988391,-0.199973342106831,-0.270945703984164,-0.448348966935055,-0.279675590156408
"ENTFA_As_3 (GE) - TPM",0.892858453829858,-0.0299672406341004,-0.0605354249707634,-0.242441642164282,-0.307844050066642,-0.844807576393007,-0.818606166825786,-0.549065079413204,-0.555734360465089,-0.120224434133078,-1.34622728946817,-0.25150899199358,-0.795325738195683,-0.556852008197075,-0.544050508363003,-1.0478871342555,-0.498430239923693,-0.536397937614108,0.40018962105225,-0.263758998056997,-0.546551661839762,-0.468393694629984,0.0244828069007231
"ENTFA_Bs_1 (GE) - TPM",1.46571748123873,0.145188804565888,0.111376201933543,0.0923934167709781,-0.144761804278155,-0.763834494256377,-0.554535602486124,0.538024073298431,-0.615778055214773,-0.0789810817387957,-0.577427133020414,0.560587805329935,-0.659642031920831,-0.55951725141711,-0.349550253901259,-0.702988442434399,-0.724517673189278,-0.386326736923825,0.267176116502346,0.982997919681741,-0.297207345283045,-0.433184151041674,-0.286040690869885
"ENTFA_Bs_2 (GE) - TPM",0.471889123372487,-0.341666963569732,-0.421000723376018,-0.175787915422665,-0.183010412008355,-0.289030106750801,-0.0462860043172177,0.89803787804273,-0.583085193857623,-0.174659582232728,-0.671298919851527,0.774501592481828,-0.148360157872495,-0.576461535952722,0.559194842915693,-0.635498547215268,-0.277750910176838,-0.481086292262671,-0.0254353103025622,1.54801554359005,-0.286996526946357,-0.341442634427929,-0.0519241930820953
"ENTFA_Bs_3 (GE) - TPM",1.24295227603848,-0.027285539947744,-0.0472158459962357,0.348630719460656,-0.135941316574302,-0.852938762068254,-0.679840486933237,0.609776576307143,-0.695765960291689,-0.725129672594307,-0.73521996460935,0.449365657944637,-0.522235539517297,-0.525229847970975,-0.270764183584611,-0.733138112035129,-0.734087158533545,-0.697911088971574,-0.36451797013915,0.400662842273831,-0.394475760766215,-0.41744119717061,-0.2497037377359
"ENTFA_Ctrl_1 (GE) - TPM",-0.584495366206708,-0.448704740511381,-0.531173876725112,-0.516477504340873,-0.770770770589807,-0.302351980063915,-0.271205325304724,-0.608433147995034,-0.586627811545647,0.412618338939811,-1.18577589733024,-0.390036780636005,-0.539458483144534,-0.466187225716098,-0.681096114722752,-0.492497791709743,-0.512085161924331,-0.838518038844585,0.00138352659299281,-1.00093815133231,-0.565943433891099,-0.453919920087113,-0.761896751654845
"ENTFA_Ctrl_2 (GE) - TPM",-0.828631636832851,-0.644921046193896,-0.713650120150314,-0.824389895517449,-0.767089487320324,-0.71987098225851,-0.689553080029234,-0.733239740220206,-0.780818260191494,-0.00966538956757227,-1.85783678610147,-0.956218457940224,-0.23612050090727,-0.5819255618086,-0.987046190557359,-0.741893614929915,-0.964415132384122,-1.19267517331512,-0.606414568111905,-0.745365847111073,-0.500136038637313,-0.476303699787453,-0.895405719514536
"ENTFA_Ctrl_3 (GE) - TPM",-0.905155598131111,-0.680034510776579,-0.802933689083554,-0.788798295293864,-0.791522529173679,-0.734160061781419,-0.944137786908966,-0.672336704778848,-0.750293719495135,0.0843077371905313,-1.44106573052839,-0.985486385360379,-0.45562396657075,-0.616479336454044,-0.99835390217412,-0.626629456657174,-0.870794479274428,-1.0072575548044,-0.100141188159002,-0.882159081506691,-0.558231367620523,-0.482983024642859,-0.976797593200109
"ENTFA_Li_1 (GE) - TPM",0.275533143888004,-0.114082927599162,0.0205031185488284,0.00924377998212159,-0.730503254467259,-0.582139562496546,-0.55438420547885,-0.728230979806022,-0.746896041191155,-1.06293105972836,-0.483218824795827,-0.249007708238185,-0.139042822961158,-0.462712127466624,-0.766537044920782,-0.372101859405679,-0.772533344792117,-0.419482829214791,-0.341488090468125,-0.557292395434562,-0.131444111432635,-0.489657485328753,-1.14986703141943
