"","GBS_RS00285","GBS_RS01445","GBS_RS02695","GBS_RS02905","GBS_RS03365","GBS_RS03470","GBS_RS04515","GBS_RS06165","GBS_RS06415","GBS_RS06420","GBS_RS07545","GBS_RS07705","GBS_RS08165","GBS_RS08170","GBS_RS08490","GBS_RS08570","GBS_RS08580","GBS_RS08650","GBS_RS08750","GBS_RS11420","GBS_RS08985","GBS_RS09015","GBS_RS09195","GBS_RS09355","GBS_RS09360","GBS_RS10460","GBS_RS10465"
"STAGA_As_1 (GE) - TPM",0.040617048017761,0.21930042501966,0.822506843414615,-0.280386947541431,-0.211530771137429,1.94618265242519,-0.112204904036781,0.527006404650709,-0.633191744173556,-0.475184257875939,-0.587720229107112,-0.481341854685917,0.302584178564088,-0.411550432014856,0.517108110245267,0.144341748291112,-0.205321197122477,-0.569645203037514,1.0189542021322,-0.378286129868389,-0.14364012198108,0.495327485225462,-0.798957452314454,-0.5827544241525,-0.298340909851122,-0.353349371259448,-0.63361757532706
"STAGA_As_2 (GE) - TPM",-0.292544299327238,0.799533333105478,0.553232342730995,-0.280386947541431,-0.121523123980234,0.412550702205626,0.534898592980288,-0.183171399945055,-0.540011576702947,-0.0750912420457753,-0.221630750926923,-0.580011409509844,0.294610166197452,1.18316766960196,0.767876225349253,0.187285180960217,-0.10523372028134,0.356265769786854,-0.00361379345310265,-0.378286129868389,-0.160491024593741,0.156098759457682,-0.517275600110162,-0.392935375165622,-0.222327141438502,-0.294278839569815,-0.534329919011115
"STAGA_As_3 (GE) - TPM",0.16036639196862,0.31221122398594,0.526993235517978,-0.280386947541431,0.75535126413711,0.835364024138704,-0.0943536034352622,-0.167343579673696,-0.710003207876687,-0.128662919965563,-0.197280170751945,-0.677210838088159,0.295829247367643,0.12073971857334,0.319222347396574,-0.103743361279935,-0.167404963264542,0.0525461724983597,-0.220592641982772,1.66055444478451,-0.302574164189335,-0.222870440519317,-0.616665609239088,-0.388301039844757,-0.106277513022058,-0.324927759770746,-0.488935514460505
"STAGA_Bs_1 (GE) - TPM",0.228479424418734,-0.414165947607492,1.56710817054467,-0.280386947541431,0.474516802343497,1.36582923280738,0.0766308417679559,-0.219932378276907,-0.110347363301766,-0.395209287344564,1.05130590854552,-0.387412390151595,-0.0135303619767878,-0.432388733389576,0.472870223038791,0.566569448180732,-0.262750699924276,-0.0393905555978307,-0.0793038303742053,-0.378286129868389,-0.147667840348206,-0.127030862073772,-0.297394066433212,-0.557271111169176,-0.287387661353202,-0.448008766897791,0.121523033466574
"STAGA_Bs_2 (GE) - TPM",0.162743833044697,-0.103137052078091,0.292499123895209,-0.280386947541431,0.503626768434023,0.493446594094284,-0.0677036275044387,0.897267524667196,0.66545168522401,-0.312921332775923,0.0918650723730774,-0.232079032764421,-0.101134298792236,-1.14988119289237,0.355613744020448,-0.228796390294576,-0.403277464507344,-0.0147976970153976,-0.273676069920164,-0.378286129868389,-0.454982224684575,0.988313649083678,0.302512721148332,-0.42053627199284,-0.543164067319362,-0.314862163128783,-0.0166141020332042
"STAGA_Bs_3 (GE) - TPM",-0.589564678982123,-0.192444943625852,0.805013661722336,-0.280386947541431,0.522785559291795,0.77916588227567,0.936545277915591,0.899060104184902,0.298243090412788,-0.299231048226909,-0.415031211169922,0.111769172304499,-0.0683135687132218,-0.183947115843884,0.875937302559694,-0.489612581156761,-0.57705344689088,0.432637100829238,-0.260118303788178,-0.378286129868389,-0.329774938225912,1.26703850123201,-0.0602555002960117,-0.286024471112087,-0.56184150329105,-0.300238999853065,-0.0361755923631334
"STAGA_Ctrl_1 (GE) - TPM",-1.06185861862638,-0.765135079094047,-0.391812603662864,-0.280386947541431,-0.555554467822383,-0.553596261414878,-0.505709770370949,-0.636198594113976,-0.506072884810187,0.137363561354004,0.631169151750105,-0.39185078102025,0.213800096407499,-0.0635160522876033,-0.697306510975524,-0.397668703056124,-0.435739181600706,-0.259178916512208,-1.18652170230399,-0.378286129868389,-0.350851001228511,-1.29672279953938,-0.183308961591755,-0.726806953650034,-0.478810069102121,-0.219397508331109,-0.400837946246425
"STAGA_Ctrl_2 (GE) - TPM",-0.55530467085191,-0.542954853586901,-0.311024559581612,-0.280386947541431,-0.550123415611396,-0.247853766543607,-0.800508016457745,-0.612724310572146,-0.409637063444793,0.248802250282081,0.983178046071112,-0.119689348377007,-0.130752962016387,1.5323210274925,0.323294145314519,-0.118176910166335,-0.479367186320573,-0.449271582553058,1.47148723468775,0.584095304393816,0.185381365018702,0.084343872989608,-0.854983084987591,-0.669401218882154,-0.367543261808853,-0.295825094953306,0.117615834959661
"STAGA_Ctrl_3 (GE) - TPM",-0.838797626904932,-0.311441231384331,-0.0315083362500719,-0.280386947541431,-0.62289254996159,-0.122003042410618,-0.39343482726078,-0.582835505085692,-0.1598956304315,0.119789390051111,0.832043843856768,-0.296651651017078,-0.126735610277366,0.0708308536962511,-0.154764180774181,-0.168538615792878,-0.540217839676936,-0.289916403658639,0.089337922398026,-0.378286129868389,0.0362624371042966,-0.538843642428848,-0.61114438856213,-0.573784369154227,-0.490634436433203,-0.31586711571575,0.0320464342838804
"STAGA_Li_1 (GE) - TPM",-0.63149936909598,-0.398685435714252,0.259579909166808,-0.280386947541431,-0.575832977243164,-1.07651178866207,-0.0693429138490035,-1.0859353947952,0.564412131818561,-0.269864702094968,-0.321404480306704,0.087479137618943,-0.894916941113828,-0.767715785179168,-0.941571384181645,0.0901562075267943,-0.548716111392251,-0.801440069575683,0.605087674117291,1.6292720522277,-0.25372658595416,-0.595338709409499,0.108180628129595,-0.533717039427987,-0.573135738922759,-0.413565856279703,-1.75190295320398e-05
