"","CE206_RS00540","CE206_RS00650","CE206_RS01525","CE206_RS02290","CE206_RS02475","CE206_RS03760","CE206_RS04000","CE206_RS04145","CE206_RS04225","CE206_RS04620","CE206_RS04995","CE206_RS05280","CE206_RS05335","CE206_RS05910","CE206_RS06050","CE206_RS06995","CE206_RS07945","CE206_RS08305","CE206_RS08840","CE206_RS09125","CE206_RS10195","CE206_RS11035","CE206_RS11255","CE206_RS11530","CE206_RS11545","CE206_RS12030","CE206_RS12175","CE206_RS12780","CE206_RS14425","CE206_RS14525","CE206_RS15140","CE206_RS15595","CE206_RS15655","CE206_RS16280","CE206_RS16580","CE206_RS17000","CE206_RS17055","CE206_RS18385","CE206_RS18425","CE206_RS18440","CE206_RS18560","CE206_RS18760","CE206_RS19115","CE206_RS19280","CE206_RS19450","CE206_RS19730","CE206_RS19985","CE206_RS20100","CE206_RS20155","CE206_RS21060","CE206_RS21350","CE206_RS21835","CE206_RS22930","CE206_RS23885","CE206_RS24065","CE206_RS24300","CE206_RS24310","CE206_RS24640","CE206_RS24645","CE206_RS26265","CE206_RS26270","CE206_RS27175","CE206_RS27355","CE206_RS28525"
"ACHX_As_1 (GE) - TPM",-0.311405070472749,-0.230612815908502,0.630603493461969,0.345694060522009,-0.800048112404333,-1.37544250580972,-0.297088162966008,-0.188712441644187,1.10596775862375,-1.22452389686882,0.438326758444703,-0.42822989929962,-0.618729740287699,-0.159931001772523,0.0824455132663411,0.993276998495198,-0.44713615321506,1.4803133200052,-0.788166648456949,0.837485589631488,-1.23058594656537,1.52420940918842,1.02298466425344,-0.337605878458549,-0.305674456189459,-0.374262437061568,0.863680863944371,-0.000464935055152632,0.599969857613422,-0.194600169429005,0.694836946646585,-0.307618605967277,0.284629493710625,-0.11710668615771,0.18686208474679,-0.590209110161187,-0.347244841803372,0.687132881055157,-0.216162602250945,0.322248153715816,0.849647439844062,-0.0360235145863983,-0.482300223554526,-0.538713702474806,-0.526260470824623,0.533206127671709,-0.490621813882709,0.528974685403574,0.37214504314716,-0.184130219721772,2.49453850924043,0.505788488111545,-1.07864254970602,0.606688157642009,-0.278442685370429,0.0487057790045926,-0.422988086749552,-0.572924696475045,-0.517300572146238,2.59740234016587,0.503847425684377,-0.436729716229194,0.323256447251814,-0.366025309772367
"ACHX_As_2 (GE) - TPM",-0.049076490517983,-0.294207256168374,1.81815971089881,1.62442329287392,0.283902139953375,0.0188105987555272,0.738548104759041,1.14653148574109,0.857159699914818,2.25257324267292,0.647306158720967,0.38880862215495,0.671387661464077,-0.30844787847643,-0.534495526086859,0.387865459534062,-1.26232564502948,0.513664390605012,1.1855173390096,1.94206408473695,0.420042344964963,1.01642470095528,1.00296231422977,-0.433287581483382,0.387567362028795,0.740358917561171,0.0247254300769668,0.442807622874084,1.5351113166706,-0.130443003991805,0.355740725501374,-1.01168552033382,-0.0531362953956383,0.502991359135521,-0.436198677373311,-0.0856609135865905,-0.169540733391248,1.54938419715941,-0.590624129715336,-0.87594754168632,0.629287317023122,-0.786796192253224,1.40771202296885,0.108220866433683,-0.992730937769487,-0.45966456142429,-0.498482907076116,1.45125609519381,1.68873991872133,1.43675012093053,0.801635444075578,1.11626089567034,1.8300075045533,1.22141129252563,0.0995869475288833,-1.21998501803602,1.38049069786293,1.22580224709386,-0.545197010721521,-1.04733425010009,1.72499512019444,-0.36878022131416,0.446097885969338,0.318919418066609
"ACHX_As_3 (GE) - TPM",0.0184435016069757,-0.0402697050056981,0.785397740064704,-0.114957408613316,-0.15431415306147,-0.428446437741079,0.406889409149165,0.295813705698683,0.338055626720943,0.35042136066313,-0.432945734037913,0.477842007371478,0.0975639555097309,0.340303993530539,0.411202999907185,-0.00995930721460782,-1.05233527238263,0.0971214825832202,0.0387756343302043,0.0857654840935493,1.3768514198873,1.99939180009906,0.48420542284292,0.584322467245234,-0.961085623525771,0.146315952073654,-0.324037909737347,1.2003876208145,0.494472268433351,-0.141957467171368,0.681077474886438,-1.01168552033382,-0.302119962026082,-0.193502638850874,0.0817955416067044,0.0687369690241341,0.70356107861235,0.0345794485270791,-0.520446008224263,-0.935068992491931,-0.362174827085444,-0.786796192253224,1.15064980418069,-0.479751686436933,-0.65990806422887,-0.299448294742347,0.524258514526186,0.503720383796003,1.56829737919742,0.000290488700653683,0.019511409490315,0.46173874353992,-0.293707609074461,-0.507592522709311,-0.30741554255533,-0.406469086494471,0.80861036420335,-0.510155064181179,-0.512294575948549,0.643909910056437,1.28769920650437,-0.924026728742888,0.0632485196502383,0.0771920965001706
"ACHX_Bs_1 (GE) - TPM",-0.0380598333079173,-0.281969103203975,0.0287541711494877,-0.156345931124554,-0.731156995240742,-0.793937075531217,-0.298978541675657,-0.532689296021964,0.25519768231234,0.610580374132942,-0.896570623597844,0.259453451689825,-0.130940826624968,-0.341388194473702,-0.764108814640578,-1.01304573711723,0.0894182830429337,0.161275106755043,-0.526409111109772,-0.583318603587417,-0.926422380417862,0.333281159487522,-0.134481850379013,-0.777726188078265,-0.28909150692109,-0.736373402926993,0.0438472363669081,-0.742865672688002,-0.0302276875555118,1.51485137461714,-0.0140368949700569,-1.01168552033382,-0.33702168697617,-0.763079294000482,-0.204031872794023,0.0620255493787701,-0.156975502989736,-0.323263413516092,-0.660189770845353,-0.231462833624004,-0.219134848027762,-0.0631755499968063,-0.687651763715494,-0.483130495051762,-1.26506603507211,-0.911622474506749,0.101720543736098,0.163661457729306,-0.403163669413116,-1.2317224251642,-0.544335314820168,-0.354013267943214,-0.867229687510961,1.1269288659219,-1.21530307657936,-0.727241438275929,-1.03913948198962,-0.611770721425191,-0.239634754143664,-0.7248919922325,-0.742602708384631,-0.980876706840986,-0.987142671765165,-0.362159941930483
"ACHX_Bs_2 (GE) - TPM",-0.402991688641334,-0.343332737899089,-0.242086875855711,0.211520217535349,-0.971157114244832,-0.494615384388847,-0.276382525932769,-0.630465873422945,0.274141956174135,-0.388921615471903,-0.94103340120498,-0.242128341083982,-0.531028171109369,-0.423322207612428,-0.758880769481935,-1.23558509682299,-0.625925508296169,-0.0790291960525555,-0.511780564822519,-0.527652705425343,-0.574358025779371,0.0554661766378434,-0.33045702368422,-0.88580436069907,-1.11915729186775,-0.741627232869314,-0.517899469832888,-0.66208275820389,-0.165450116577401,-0.0970718504412135,-0.0855148006780148,-0.738767885338177,-0.490333297899484,-0.709764985767687,-0.603601135941947,-0.463895623234933,-0.526107838577057,-0.527351909269558,-0.275081546790212,-0.388965474025324,-0.0886746380658867,0.0862704129697149,-0.428618942008162,-0.424562936726814,-0.54909248294936,-0.792795946366682,0.0402647568047849,0.0445783848642419,-0.453661555447906,-0.961003472413795,-0.761367006250003,0.139822544085116,-0.499532870450214,0.0534038865670443,-1.21993123588851,-0.887251627589654,-0.885788504984616,-1.14741081096986,-0.536563849691746,-0.910824237391441,-0.177537528041279,-0.590234711013974,-0.580039227354326,0.0857052984364896
"ACHX_Bs_3 (GE) - TPM",0.201616127697654,-0.151962828496218,0.0804986973075927,0.19889115969778,-0.364246153371877,-0.812812141195678,-0.239308465741352,-0.69996989920965,0.0140423989528787,-0.297178856195263,-0.391666475738037,0.117103532334939,-0.256832618209655,-0.0952623512679428,-0.624932482574518,-0.8556731211956,-0.482738242601716,0.0276841239691852,-0.585302971177572,0.0795340159874632,-1.06914424371052,-0.0574978426334634,-0.165444036873498,-0.696333593493488,-0.47836452193498,-0.354654429688109,-0.249737161136994,-0.847545135504824,-0.214151411040477,1.06783304579405,0.14095879021109,-0.471276595021045,-0.512927364183434,-0.477498326444641,-0.655396282962831,-0.561055419581617,0.163019391983852,-0.518542291229306,-0.475501560472678,-0.243977104007664,-0.0517749455351627,-0.498667147015146,-0.423992480888596,-0.527055819805844,-0.226926560212425,-0.956721874038225,0.38509233715156,0.180160403254384,-0.179135776172712,0.376443406648831,-0.601420158378003,0.0475823053301462,-0.739008699292618,0.850868778539265,-1.34289253146207,-0.936026743265023,-0.731880194642689,-0.204267100236175,-0.303504446139692,-0.0354895586982123,-1.06755138974569,-0.67056075658062,-0.764480794055522,-0.222404973195221
"ACHX_Ctrl_1 (GE) - TPM",-0.427964780101903,-0.660073590450778,-0.0796650673604034,-0.768536261099572,-0.842227759836097,-0.79584503824583,-0.599728709799612,-0.370307830773287,-0.258170456026137,-0.552624728116708,-0.368752592104857,-0.206390658797486,-0.376466976826883,-0.724816807458978,-0.469176146069785,-1.06220822681199,0.104292495235852,-0.297408396974302,-0.677143405806888,-0.592328901879857,0.679321225144731,0.147665065822898,-0.658484683375484,-0.840127777708178,-0.552508479113607,-0.732540498862526,0.828846749262734,-0.673681366640962,-0.852345208072079,0.491591380782546,-0.393106763094184,0.188870304620787,-0.689197185454763,-0.571793036551988,-0.928225091430408,-0.986541223919077,-0.507516690637928,-0.888994006568828,-1.27283065869482,-0.405887588626924,-0.894920540582463,0.260637902897095,-0.899556988680807,-0.750071022289785,-0.44989836995043,-0.683999390779233,-0.488818337682337,-0.754471444194371,-0.827780752723506,0.0674236416941221,-0.76169675302017,-0.691203060518616,-0.984731145228066,-0.0534064650410494,-1.00973789224424,-0.282857881095605,-0.577490147226699,-0.881119365059896,-0.22287987294754,-0.248679379414943,0.507095845497589,-0.113550944305532,-0.534889572768687,0.845966066026599
"ACHX_Ctrl_2 (GE) - TPM",1.33704392983053,-0.158641204366502,0.181399007858204,-0.248638724226886,-0.309511567300685,-0.410312356062721,0.00699552004542166,-0.452975358657064,-0.259531395641775,-0.460301021737719,0.0454188117401503,0.0647972900256443,-0.336950458706402,0.683945058751744,-0.492523095889139,-0.20807315329751,0.186487528148198,-0.211536736566028,-0.493244278266986,0.00615065918206841,-0.0556283811905767,-0.14125568792172,-0.229932959887733,0.457631929816098,-0.777655108136905,-0.427827803312672,-1.27189638017161,-0.465773723420258,-0.549836781839049,0.0441518122348527,0.0311111607079858,0.380787090542747,-0.461183395864171,-0.348832508397376,-0.404885174504715,-0.72561994661878,-0.781275159182431,-0.86226481789353,-0.720850562229959,0.241257084851404,-0.920145171092017,-0.508387714236714,-0.423853655835077,-0.530208509926992,-0.132605492823903,-0.594493928622859,-0.264410390740161,-0.379263472094177,0.159241177926726,0.235860542887086,0.122004473657174,-0.579977796014884,0.108953501402346,0.735981177189698,-0.390322923556324,0.00836205144857251,-0.667128467785117,-0.744197015439487,-0.524228620357672,0.112321072148826,0.0674816071805285,0.653783984835855,0.00464208959820183,-0.0333090925478407
"ACHX_Ctrl_3 (GE) - TPM",0.387615655679264,-0.422947247142049,0.732147091691032,-0.411210978590661,0.596286789041789,-0.0609641730482321,0.244488606320792,-0.071249734033272,0.225323223506864,0.761091345492029,0.762508397000988,0.0891346818506614,0.31402568197945,0.933798877176106,-0.604417814105626,1.02930169251383,0.404875448562615,0.3435863371143,-0.107739242030153,1.53021693548272,1.39189641377587,0.441646560539408,-0.0968830274344293,0.461865818275878,-0.117924787968915,-0.341348650658167,-0.815845716546272,-0.272457346785316,-0.230586646334046,1.51886995626847,-0.354397207198806,0.449208416017692,-0.404338132601079,-0.596842437804195,0.605411566709058,-0.0649861564148915,-0.553824293436299,-0.629821738730546,-0.47277605694315,0.638628441691284,-0.444824896801102,1.29027769529282,-0.212750313268997,-0.166073094431515,-0.452147791678469,-0.465526140346306,0.670988581536693,0.164882881870438,0.797990596159781,-0.265639313593013,1.1020074531667,-0.381303826265018,-0.142664477872229,0.604538956961996,-0.933574653705651,-0.166566082931609,-0.259722265168982,-0.532679468902992,-0.817088700164853,0.825281144131777,-0.106913808079642,1.26449473957407,-0.17609347384288,0.661528173932832
"ACHX_Li_1 (GE) - TPM",-1.27013195938175,0.242682654074751,-0.252522437366859,-1.05883504554764,0.0806704241084495,1.03923065770654,0.241623229353633,1.07043201683243,0.0830481601787883,-0.308089015384867,1.33308169186754,-0.743138529694967,-0.390985440641085,-0.638831866590904,1.93190275923769,0.308595919037066,0.429598460406191,-0.812427706302402,-0.207722394197716,1.37700184460507,-0.400888439945038,1.03856505900327,-0.47439814193438,-0.440921457122369,-0.00604700496436096,-0.422070743602059,2.83579199634768,1.60346329213293,1.67552089193112,-0.687683779373098,1.39257931658512,-1.01168552033382,-0.151223442885059,0.276495450879098,0.535653415853761,1.69730735395434,-1.56223572608082,1.43588064569817,-0.736962798298765,0.653119102133364,-0.990399219386543,-0.786796192253224,0.128970338832885,-0.48649155532718,1.45165503857465,-0.495633588641971,-0.578305396067302,0.00393731198282861,-1.00636203150792,-0.300554055448845,0.595451055494632,-0.688560845252876,0.480512409532313,-1.63992789437711,1.59535940966262,-0.414169464345382,0.413953387211629,2.36289591243603,-1.14021630045716,0.9540148267716,-1.4768632284157,-0.559816287671068,0.838526940196902,-0.336441172161299
