"","PA0318","PA0509","PA0510","PA0511","PA0512","PA0513","PA0514","PA0515","PA0516","PA0698","PA1264","PA1828","PA2130","PA3393","PA3394","PA3395","PA4465","PA4958"
"PSEUDO_As_1 (GE) - TPM",-0.208941487504408,-0.867435346226473,-0.879739848758659,-0.632963742852333,-0.589414095279367,-0.322252773913432,-0.504084323462475,-0.546244964626404,-0.390522606762228,0.528075408484918,0.064183523125417,-0.0588846345288601,-1.30993715327146,-1.36989106931359,-1.58895148931009,-1.30328320917373,-1.11047537455354,-0.459200662036774
"PSEUDO_As_2 (GE) - TPM",0.76295736444493,-0.564019481068902,-0.556901709487559,-0.200840928515032,-0.154126692465538,0.240483118789176,-0.124988629876319,0.00464277639401687,0.118511338200532,-0.0333826516971853,-0.334457244939974,0.747641645161892,1.34349167288931,-1.25677311867794,-1.23954140813372,-1.04260175607639,-1.06943893696135,-1.1135970561137
"PSEUDO_As_3 (GE) - TPM",0.0458798609263963,-0.466399407936386,-0.59042230745887,-0.110666093602119,0.2546379460338,0.409847760367176,0.335039737262507,0.319687411160715,0.385687780410636,0.138490285315004,-0.512789074517536,0.934574268111603,0.018297856994814,-0.835064601204401,-1.33284508318987,-0.934243351180482,-1.87406460471809,-0.26907220906066
"PSEUDO_Bs_1 (GE) - TPM",-0.0916908138941532,0.528390347593955,0.252093238276634,0.779889517717627,0.801726830303381,0.340194202869672,-0.159019487773509,0.866130641680127,0.759719234643194,-0.19170423271072,-0.185936887460202,-0.404826278526938,-0.337848021479454,0.634446950914953,0.907736651218728,1.34277080868784,1.10047194004786,0.866254304554695
"PSEUDO_Bs_2 (GE) - TPM",-0.17925831775236,0.492517951470376,0.327331156761372,0.608014255706339,0.578706048785428,1.01814849206888,-0.00146437144015913,0.574528266458574,0.658396630287702,0.960157833760708,0.0564046279602692,-0.142278272600602,0.35905960558076,1.10847261642883,1.32575606041311,1.25962045658471,0.322626706956298,0.483632374517041
"PSEUDO_Bs_3 (GE) - TPM",-0.278219498356396,0.350994001177428,0.379513084979664,0.637537896695132,0.574763548887836,0.471563188871115,0.326551026864058,0.376459304856939,0.546865199373181,-0.620429214144567,0.21137823426607,0.0909714523129058,0.50081409158338,0.954509139637676,0.851570962136697,1.31132663712693,0.871913180123141,0.774140410525017
"PSEUDO_Ctrl_1 (GE) - TPM",-0.161039401436261,0.410402565558431,0.368517643574432,0.627008275501263,0.72749435483131,0.981313957585055,0.311633861849453,0.217708150159487,0.865535723846168,0.127702573401196,-0.066806158752073,0.903543497986419,-1.20859987588052,1.05068970052593,0.715280494778214,0.560992017973039,0.691346556734983,0.516006889472928
"PSEUDO_Ctrl_2 (GE) - TPM",-0.520776677330061,0.604036951007679,0.597392919604248,0.524363314404939,0.875948806948121,0.633849871243486,0.632847219488042,0.23880397512838,0.82411177917758,1.41143852211848,0.728102881071257,-0.0763604452696397,0.787836547557372,1.41681884200301,1.22624875451668,1.28469279272448,0.0393281751111083,0.508797077320137
"PSEUDO_Ctrl_3 (GE) - TPM",-0.475262784602661,0.597563437716805,0.216549923013901,0.617955425270869,0.88452910861132,0.765332225010602,0.285030711111306,0.203573331396071,0.896773587992389,-0.464987323274519,0.533200067977845,0.0741381006757622,-0.635615556347502,1.17753234808937,0.586321392981834,0.719255291003949,0.153338523830753,0.38372745967611
"PSEUDO_Li_1 (GE) - TPM",1.6687751414286,0.686234045747717,0.575140904175546,0.700063021436264,0.715222533378399,0.626832159453682,1.16406568983693,1.03300360568926,0.823118511305604,0.288424204266692,0.270344830084565,1.34910690386683,1.41290031517858,0.637063846107213,0.799364014167434,1.24173310189117,1.09712536856676,0.890450545326595
"PSEUDO_Li_2 (GE) - TPM",2.52596262491006,1.33509165139418,1.37689360137337,1.60667880680694,1.15353817540426,1.16301933186724,0.823838718358293,1.6355588634674,1.78411161173555,0.107232457128934,0.546313782482209,2.92524096250713,1.70826006427992,1.37150019636487,1.54870753533991,2.12933126481798,1.89380273504117,1.52228464825163
"PSEUDO_Li_3 (GE) - TPM",1.15470583110465,0.854466839418525,0.653189425691886,0.397689316630138,0.647222418294435,0.539221860489238,0.664199528397892,0.745483897754898,0.515054283306694,-0.353235116930568,0.464060761689799,1.06799641605957,1.38409312561196,0.435243586943439,0.618132296622319,0.596716206398331,0.719042005306234,1.21690279362604
"PSEUDO_Mig_1 (GE) - TPM",-0.846499382857031,0.439979461666044,-0.00913744523165171,-0.317537347081436,-0.159090710170209,-0.301396371411988,-0.145677933226025,0.247959093669987,0.0533423515832039,-0.78537746625938,-0.141046124872542,-0.915325355086889,0.0738126862392475,0.430958429142416,0.553624993070889,-0.426902263788015,0.159570392370263,-0.902311076579904
