"","E2348C_RS00175","E2348C_RS00605","E2348C_RS00610","E2348C_RS00865","E2348C_RS00905","E2348C_RS01045","E2348C_RS02950","E2348C_RS04080","E2348C_RS04100","E2348C_RS04170","E2348C_RS04345","E2348C_RS04575","E2348C_RS04620","E2348C_RS04625","E2348C_RS05005","E2348C_RS05410","E2348C_RS06020","E2348C_RS06200","E2348C_RS06400","E2348C_RS06890","E2348C_RS08160","E2348C_RS08885","E2348C_RS09090","E2348C_RS09220","E2348C_RS09305","E2348C_RS09545","E2348C_RS09845","E2348C_RS10870","E2348C_RS11890","E2348C_RS12650","E2348C_RS12755","E2348C_RS12965","E2348C_RS13505","E2348C_RS13710","E2348C_RS14530","E2348C_RS14585","E2348C_RS14905","E2348C_RS15150","E2348C_RS15175","E2348C_RS15310","E2348C_RS15735","E2348C_RS15915","E2348C_RS15920","E2348C_RS16090","E2348C_RS16900","E2348C_RS17710","E2348C_RS17715","E2348C_RS18400","E2348C_RS18485","E2348C_RS18500","E2348C_RS18505","E2348C_RS18510","E2348C_RS18725","E2348C_RS19145","E2348C_RS19160","E2348C_RS19215","E2348C_RS19220","E2348C_RS19230","E2348C_RS19270","E2348C_RS19275","E2348C_RS19615","E2348C_RS20425","E2348C_RS20435","E2348C_RS20455","E2348C_RS20635","E2348C_RS20980","E2348C_RS21495","E2348C_RS21570","E2348C_RS21660","E2348C_RS21665","E2348C_RS21845","E2348C_RS22010","E2348C_RS22400","E2348C_RS22435","E2348C_RS22735","E2348C_RS22775","E2348C_RS22995","E2348C_RS23105","E2348C_RS23710","E2348C_RS24035","E2348C_RS24440","E2348C_RS24880","E2348C_RS25060","E2348C_RS25605"
"EPEC_As_1 (GE) - TPM",0.0555160368162946,-0.370519868504112,-0.339445655839599,-0.835456623174149,1.04549603297135,0.860952762229914,-0.0490865581939052,-0.4296136102279,1.16670735473376,0.819259071950605,0.583061828432565,-0.152727451028479,-0.228723463116003,-0.312048506126802,0.0769207045069864,-0.259700970851214,-0.0729666419748151,1.18603817335595,0.179588112693282,-0.453732297981473,0.387892097885925,-0.822163909066551,0.722038798669074,-0.0828591639616311,1.32098983628051,0.800295583763893,-0.642189352860227,1.18524998887853,0.720065719918447,0.0459499935811291,1.12588744948192,-0.476156386700606,0.638011416638549,0.739172463096888,1.23639789363618,1.09952283370841,-0.0480918234389148,-0.31212775490265,-0.231957951735619,1.33246088720855,0.295917605803325,-0.278968519354157,-0.119569117082335,0.269132651430648,-0.221496159068639,-0.337059775411679,-0.845082871199588,0.265472448385279,1.09303871583533,0.631917150946887,0.00617652954308671,-0.338436003780899,0.180237293125975,1.59240832518483,-0.0789980917528062,0.393930476698852,0.284864462498269,0.496273068860361,0.630712690479057,0.389210195523138,2.13672718841055,1.43901136226393,1.41068640594101,-0.668945135331592,0.453872527108627,0.693838049554606,-0.156451832654832,-0.151660822215133,0.812990773177272,-0.55323444266297,0.88766506600809,0.180395373375901,-0.655450027016036,1.11358102571084,-0.247083825389459,0.572620143174502,0.306540456713339,-0.0646826488126297,-0.287689102817748,0.143427227696302,-0.257516456695435,-0.437249308266433,0.91997916060359,0.889094240464876
"EPEC_As_2 (GE) - TPM",-0.0640927426540218,-0.455063820445324,-0.417339988738559,-0.587488226783221,0.937194547364166,0.968629692584497,-0.41692062192058,-0.342648764322012,1.28837640389201,0.47391998297418,0.350752349806384,-0.133438312022485,-0.152596228797175,-0.29281568241044,-0.165026158869391,0.208392184519178,0.293432275428867,1.24069123518794,0.0636449922721201,-0.456161243179615,0.145766518478722,-0.772518237233911,0.580753906563192,-0.269240969226305,1.30355182398878,0.314413576121875,-0.694192245030894,1.37881734154627,0.584066427365493,0.134758847405729,0.594896208844335,-0.468835695676142,-0.450239799914141,0.0322109468575352,0.933420399631532,0.69850078975164,-0.465322423309796,-0.30468884017679,-0.314956275160501,0.898483664688632,-0.0826956439539158,-0.281830246900486,-0.0754533483116166,0.279054765280815,0.130490612504183,-0.353943580259609,-0.840636380368734,0.0389473992508167,0.662175806753673,0.400569868220321,-0.237089215775512,-0.444075013212626,0.542876900489154,1.04727040520707,-0.323667861414562,0.0938857154328544,0.0984628912248613,0.184137501820011,0.366830314590549,0.0295635320489918,1.91929233901748,1.35457835673327,1.52081467626649,-0.744017548068351,0.726745951940127,0.344846838702171,-0.391171473297652,-0.265687035345879,0.0477526529744441,-0.65893573683726,1.43517411909808,0.158799765571585,-0.698369123774843,1.07306474399181,-0.0142175423903604,0.564426760599393,0.497158895185569,-0.104925687191376,-0.482479730896979,0.460767420105233,-0.247404012510317,0.0634352038127678,0.429159114630445,-0.33727831336381
"EPEC_As_3 (GE) - TPM",-0.154692648648127,-0.504646714046479,-0.429228393570435,0.351888291659917,0.318181533296532,0.759119528124215,-0.43564087772047,0.381925882583373,0.966491014485803,0.648936904007369,0.800085700647869,-0.407494241103836,-0.0715077225806034,-0.295903484247815,-0.184939301321638,0.06216721939684,0.776424470464246,0.798125639682464,-0.101397561271229,-0.37320088552869,-0.143288197459814,-0.566559105229951,0.548423535079047,-0.0956929267953385,0.797386523848458,-0.233827337907055,-0.821344153598136,1.06740239857401,0.677099848617515,0.00307878576232431,0.589774311783014,-0.343580485772484,0.804631423563189,0.618168610125747,0.920466366606896,0.393782941989978,-0.444277074320851,-0.296117010000777,-0.298546726893134,0.733007367808734,0.250263919051456,-0.277420519756873,-0.140813737460347,0.565952741170838,0.398751698656645,-0.300213535514295,-0.721301669282109,0.022229141277844,0.35121777632208,0.309930495747105,-0.35067224980332,-0.505763579318954,0.429784756886924,-0.182938904428648,-0.479178763741961,-0.352506138212018,-0.271641199936917,-0.136692075035145,0.0290337456727627,-0.224747215559298,0.845438460735978,1.09305333572626,2.24368444714041,-0.735820005013842,1.61483706851433,0.538360606425019,-0.414175537701897,0.070749715515525,0.552918688345583,-0.792815163051215,0.965689995510942,0.462839871511293,-0.503537191942852,1.84023258185735,0.480361788791106,0.169671359714993,0.826132677169166,-0.264504321242442,-0.317480199508364,0.484842689358983,-0.256200647258155,-0.43083968799951,0.925483887964818,-0.33727831336381
"EPEC_Bs_1 (GE) - TPM",-0.673702376116306,-0.588172373716878,-0.466042159957336,-0.67110578746673,-0.526836878633004,-0.535956490552438,-0.805903008640951,0.386071777046599,-0.634552375410738,0.00411799329834312,1.09758467677973,-0.123403226204682,-0.0116031211001872,-0.255962404979844,-0.239436721465056,-0.089412145131697,-0.633500039727776,0.350304322341101,-0.474595522563684,-0.125196632759679,-0.787210120513424,0.177388234072342,-0.360473258329954,-0.198807701395576,-0.161123091938179,-0.310079435694541,0.171616806286435,0.383840579905268,-0.906862446320856,-0.0568710235654347,-0.883131050071929,0.162217299520083,0.566099102522563,-0.869749390643857,-0.126469585086911,-0.221568243067026,-0.331850815536915,-0.31805271850467,-0.954865820063584,-0.191731072831872,-0.0176918948524508,-0.297687224748884,-0.305505205280982,-0.629635341915764,1.18949902391286,0.939588757492844,0.459769302416842,-0.192819251428319,0.0376289381818691,0.0221230026632416,-0.293822137235337,-0.410539085970762,-0.777563780846227,-0.509223361780515,-0.281531625668693,-0.334109036656616,-0.120569572112615,-0.27191234634314,-0.086258761497313,-0.270783245038665,-0.571322081037267,-0.417682654561362,0.115215179607568,-0.102594731804296,-0.266132103253755,-0.377380339463011,-0.522755491736319,0.185486084266859,0.380013447000323,0.18935592674455,0.0507182293775217,0.201767495338134,0.529709555155507,-0.123322235118841,-0.696124004449884,-0.626313520013505,-0.257554545365544,-0.264651094454989,-0.178226313914052,-0.453257968601473,-0.272440069348327,-0.366613658225315,0.670574364808615,-0.33727831336381
"EPEC_Bs_2 (GE) - TPM",-0.573852236504436,-0.516807449382828,-0.417770611305582,-0.393754833697748,-0.280209855936412,-0.328585757035972,-0.811037327119319,0.396346503469704,-0.152950822451508,0.00065765145873076,0.0401668269435657,-0.252058266286688,-0.0435360316089113,-0.220333318736188,-0.058789336522497,-0.181529640307008,-0.633500039727776,-0.113958248835345,-0.297738000686441,-0.43384414563964,-0.752154384212211,0.509439741002802,-0.177497096046691,0.607280001229332,-0.0907870709256837,-0.0778872779646815,0.287607006111596,-0.0812220699956747,-0.636534387849675,-0.0459644565211154,-0.716063498489873,0.48046405751135,-0.471509509051282,-0.493903042024839,-0.0409298927285096,0.101271057583859,-0.202864454529385,-0.316120467956262,-0.48604079635451,0.208608225007975,0.056026280542421,-0.296999575311081,-0.278630816649321,-0.633393323774923,0.733270692555207,0.637523799616161,0.528547219055197,0.0637169698731304,-0.218488160996868,0.12390909602658,-0.254501861104856,-0.158593465393449,-0.824886532751637,-0.146241568318934,0.137942017653478,0.0187672978578081,0.355335633058101,0.0345138511038494,-0.00160146140919311,0.14966798045921,-0.551704166714633,-0.283497983287687,0.437986384540486,0.238282690638341,0.0960847095354797,-0.0130429319048451,-0.253600351778333,-0.0922807457471876,0.733812118449681,0.490122275288626,-0.571216663617378,0.273895205950964,0.194203115849286,0.443643792585005,-0.672948901821297,-0.495097912776032,-0.180525542702666,-0.073554887463931,-0.280280476712785,-0.373181248590502,-0.277070658797574,0.104571713949464,0.417477599557711,0.376711612933895
"EPEC_Bs_3 (GE) - TPM",-0.509842643455727,-0.534058039584707,-0.457929382469787,-0.176895519325121,-0.37265476106625,-0.511950674543457,-1.00001508081174,0.405648054498661,-0.24590147895597,-0.0223469893095304,0.542998682408916,-0.0238634547416901,0.224292614431169,-0.219594643252504,0.110114075967027,0.214720414225568,-0.38466038263607,-0.344907325676192,-0.294494656132453,-0.375624254739865,-0.618142043059719,0.637810838000999,-0.170378062711642,0.569874802263614,-0.170915002059033,-0.316373945203308,0.470189400844451,-0.124025816776505,-0.902056927614174,-0.00936577476416002,-0.883801653922794,0.266534940551942,-0.15592276672904,-0.854902400969933,0.0416048444541297,0.130531818538421,-0.12442675658413,-0.315563476157325,-0.404707165122627,0.112676676409997,-0.369450981865824,-0.29896122238135,-0.321757537446079,-0.412037215119722,0.280710886929565,0.647422910839452,0.464718580816995,0.240575177862196,-0.280309216048051,0.058567710923566,-0.257152946837065,-0.329217473244366,-0.739083965816209,-0.224269186019756,-0.158500295164901,-0.10275422137418,0.0808864468697729,-0.158732496526033,-0.0701568311393764,0.00486300020468089,-0.559593162848631,-0.374403243727246,0.445865495491195,0.252537389994078,-0.349931801697665,-0.273063668130626,-0.240478386437151,-0.153460590930449,0.603643194299756,0.634967614281817,-0.667800579367557,0.20203985353025,0.211894745538355,0.52594278902998,-0.897791151559927,-0.539709803219433,-0.301543701806867,-0.177147735099774,-0.104332218589781,-0.32320851340349,-0.283624492188295,-0.305214930883532,0.535760280762537,-0.33727831336381
"EPEC_Ctrl_1 (GE) - TPM",-0.434427023776272,-0.545654506288452,-0.453193943128443,-0.49826882269177,-0.477364916290632,-0.555556068191274,-0.731694493957029,0.550541855536004,-0.701641938512247,0.17023463216399,0.970387446105733,-0.200697851757052,0.117691839132029,-0.180145755372003,-0.316787269874643,-0.73521528574037,-0.633500039727776,0.791803140977681,-0.403491321626442,0.143859227958558,-0.985905666969318,0.38830678193396,-0.242348265087866,-0.116695026248448,0.140330927598718,-0.634951125104598,0.273282208398144,-0.0292265376245874,-1.00969666586742,0.0488326678922693,-0.858060065125483,0.217264694889431,0.00997607295905073,-0.967386287114941,-0.773074806217015,-0.13809330584247,-0.0932681679508281,-0.273729147208843,-0.8287289621555,-0.257269832622639,0.765391200619792,-0.302156875424403,-0.314281545721813,-0.610538936142908,0.563238986130182,0.485281587519959,0.167412624062807,-0.0445730613748564,-0.0388662491918187,-0.0330474286210002,-0.359180586684596,-0.236868834446259,-0.712337440655268,-0.644693866282797,-0.418279350679578,-0.222475496440715,-0.209351746302906,-0.49023490676482,-0.0972408403762526,-0.282835395183425,-0.579236554836531,-0.664854211787422,-0.00333074868119438,-0.0243414115246129,-0.239786673784747,-0.0701197686722691,-0.503330080539217,0.142389433392363,-0.197129363704761,0.377377399643717,-0.528394020250605,0.10400237089346,0.491037466503058,0.137889332808646,-0.338114346295596,-0.607174871903701,-0.169035478099876,-0.270364156391316,0.273654360350913,-0.34321750194176,-0.221443844136475,-0.405804655510455,0.641262257329208,-0.33727831336381
"EPEC_Ctrl_2 (GE) - TPM",-0.238530532784552,-0.41372343763363,-0.209943871253073,-0.509518383753195,0.165104813405628,-0.382485695761432,-1.08168317359317,0.465135794428917,-0.407100834511697,0.419481040012249,0.389945104304172,-0.369007349073756,0.00975704705946176,-0.213016268939482,-0.135608172127832,-0.133296048378066,-0.160474202609181,-0.877432859916985,0.0104097306354168,-0.0347499810252773,-1.05916731930803,-0.0307904833848828,0.145896883775102,0.639002803720336,-0.0261814766170895,-0.634951125104598,0.736657979643339,-0.326497952294683,-0.278759457863633,0.0292932057192724,-0.533380378774693,1.05530262235252,-1.21005617994493,-0.626812764618947,0.605892814602932,0.0286080702066452,0.322250933827253,-0.316630955395033,0.445619104973785,0.387289114971952,0.929106002820406,-0.298942135980417,-0.353000473902531,-0.678504949217178,0.310144920871861,0.251922674333496,-0.0356341696637378,-0.173646746022894,0.231603958298294,0.425169017854477,0.489898875477603,0.318242051327561,-0.679507628921208,0.202054391070131,0.678917647123437,0.689440203220876,0.139424920658004,0.563219383550489,0.0929288162101394,0.486760711855461,-0.544086107915809,-0.344555075437547,0.167467670192686,1.4110466131404,0.417320897099412,0.100982437098331,-0.186209125636443,0.319337636275625,0.350655937229069,1.53932516920238,-0.527371650047045,0.606814195032693,0.542356874910503,0.36957631828628,-0.531801114448122,-0.615966365185961,-0.845878053419711,0.241353546786837,-0.337406995964521,-0.67364426953619,-0.244919653801997,-0.0740420181160127,0.891187634665047,-0.33727831336381
"EPEC_Ctrl_3 (GE) - TPM",-0.342665078344011,-0.447327273872679,-0.319297381216954,-0.542926554694288,-0.034999409115476,-0.589810968819067,-1.07686600659434,0.364650677687694,-0.499865573849379,0.0185013217437876,0.653213291541176,-0.220915884766498,0.492662535205567,-0.183623017398219,-0.198494044040968,0.958837715007818,-0.633500039727776,-0.389019196611836,-0.0487287854695598,-0.0131424310424407,-0.676642211821416,0.00731839023982606,0.0804842257475368,0.149505754669398,0.125561295372652,-0.634951125104598,0.670327313870529,-0.174402741884623,-0.654131583491006,0.145726477009367,-0.738765633404627,0.49655035896127,-0.901921520536322,-0.894682369537551,-0.246965577461146,0.394337063349453,0.211888606110066,-0.308802242912579,-0.0206706249346053,2.10720228918001,0.0627293863106788,-0.2993047560637,-0.355678643098947,-0.673591957905351,1.16857156754039,0.171109185453512,0.111009781185259,0.0654099757094721,-0.413756596538109,-0.347078131716192,-0.0447618753095535,0.0119031780920009,-0.802572295713542,-0.121269046318577,-0.161952963602334,0.383810551897872,0.428356809093887,-0.072789690383708,-0.0022914913049258,0.0216684134999743,-0.559455865802164,-0.458458927676181,0.0736603220001027,0.509855587745048,-0.43838710561197,-0.17360478579856,-0.230892228361931,0.0201711401698716,0.387015913335125,1.08418678856175,-0.588863412593482,-0.0764007078165056,0.365747716705785,0.312903813612971,-0.198292609105841,-0.522351503759093,-0.493336348449663,-0.149381174960862,-0.259589699790506,-0.662587464246684,-0.241978645338527,-0.483409802545553,0.422293567752495,-0.33727831336381
"EPEC_Li_1 (GE) - TPM",-0.125395138361438,0.222124878419235,0.192945068931757,-0.860803579702538,-0.411228840661772,-0.230467999803538,0.281115371360204,1.37597305683549,0.549241972038952,-0.571951689570077,-0.184371864855884,-0.787634567809869,-0.451696344616716,-0.320313147211479,0.899936495454073,0.554192197537795,-0.633500039727776,0.645581961712382,1.19372419148865,-0.387071595204721,2.03518331071607,-0.99526382021386,-1.00653291816182,-0.333970572758902,-0.387118048117266,-0.634951125104598,-0.259202405220761,0.236920835311247,1.88956216769129,1.10640931782418,-0.307204111790343,-0.577298357261403,0.929017229596182,0.392277912113978,0.767547835561185,-0.562385387633029,-0.493871542662827,-0.151277621215119,-0.35378510190298,-0.350473881343427,0.8951597387833,-0.259862601813435,-0.227671902232392,0.84779542032035,0.033265191201344,1.45332511449,1.25688137332229,-0.658311072576172,-1.22574705415778,-0.688868305625739,-0.373151061774004,-0.743535297147671,-0.756213929463109,-0.124613852551054,-0.289974384027432,-0.463602433251025,-0.455708997753957,-0.609529311015636,0.900882809103371,-0.424145074073255,0.195260096400208,-0.184889600071612,-0.637599738660632,-0.128837024763791,1.19851127196896,-0.230174766891988,-0.326648578655444,1.1084508792756,-0.0357679480030722,-0.432193329651736,0.818158463859772,-0.231795616083727,0.392578089324225,-0.27134358726361,-0.052924054033181,0.0644242067390699,-1.13691596862484,-0.169354166442197,0.067048937504832,-0.100073978838226,-0.183140743403003,0.502946092264558,-0.441646847397911,-0.33727831336381
