"","E2348C_RS01460","E2348C_RS03665","E2348C_RS05420","E2348C_RS06550","E2348C_RS06555","E2348C_RS08435","E2348C_RS26875","E2348C_RS09080","E2348C_RS09555","E2348C_RS27005","E2348C_RS11290","E2348C_RS27150","E2348C_RS11910","E2348C_RS13640","E2348C_RS14250","E2348C_RS14265","E2348C_RS14270","E2348C_RS14275","E2348C_RS14285","E2348C_RS15640","E2348C_RS16855","E2348C_RS27725","E2348C_RS20235","E2348C_RS21080","E2348C_RS21085","E2348C_RS21090","E2348C_RS21155","E2348C_RS21160","E2348C_RS21165","E2348C_RS21170","E2348C_RS21195","E2348C_RS21200","E2348C_RS21205","E2348C_RS21210","E2348C_RS21545","E2348C_RS27845","E2348C_RS23755","E2348C_RS24535","E2348C_RS24885","E2348C_RS25900","E2348C_RS28115"
"EPEC_Nd_1 (GE) - TPM",-0.135344734456442,-0.485385499438397,-0.0486496139581983,-0.0544551639582224,-0.474932946666896,-0.0507964440416567,-0.239058879140208,1.51604457086983,0.732325216443544,-0.344136868886515,-0.775351691386835,-0.56958563396128,0.683165158540127,-0.193956122512079,0.273090279711804,-0.473360712559498,-0.281626852804839,0.460127334324752,-0.395400755508097,-0.1484663097191,-0.388193596735118,1.54617623389864,1.15355299655647,-0.123717536093273,-0.0799891666039423,-0.0929325844055215,-0.261257641293734,-0.156392626687529,-0.325575959027649,0.101770339995736,0.141456002767894,0.293933509988379,-0.125019037869264,-0.176293221796351,0.0733471520306904,-0.580301723125201,-0.442039767940284,-0.475002437833078,-0.817844953654469,-0.294208826973682,-0.313759344189013
"EPEC_Nd_2 (GE) - TPM",-0.342665695607733,-0.405810136534581,0.638908989379727,0.0337060942797492,0.0284638965734455,-0.370209632819368,-0.239058879140208,1.94548131606956,0.814587283361083,-0.344136868886515,-0.674458320505094,-0.919596658143126,0.203917029239996,-0.53079912180495,-0.365945522601882,-0.235482615252331,-0.762030636084519,-0.308874916307647,-0.518625566173635,0.0600376825763926,-0.388193596735118,1.6755794864138,1.16722535641505,0.096810573100698,0.265673673778892,0.104289287784947,0.0716350427725458,-0.196999454465109,0.0375548370745149,0.805043803648519,0.343879414930936,0.672349919340259,0.154473904232096,0.0144466956536303,0.148083260332926,-0.417655393109965,-1.28276185175409,-0.526176327169353,-0.926211655724996,-0.294208826973682,-0.313759344189013
"EPEC_Nd_3 (GE) - TPM",-0.154069746005941,-0.472557566281176,-0.707481953337187,0.0345988760916783,-0.559532247620184,-0.427723095628585,-0.239058879140208,1.5951379217398,0.630421499733918,-0.344136868886515,-0.692182993718987,-0.522439095088027,-0.147588737508738,0.0807461632035751,-0.110449370942713,0.086857445748411,0.836971155000212,0.0514063455577647,0.0406672808289656,-0.0855694160964493,0.216979262455496,1.13149053177657,0.858144266236899,-0.021514113235246,0.237947723385529,-0.104798488433051,-0.113411559337303,-0.248750919848604,0.0756809838185634,0.391574154977133,0.236477330190195,0.467679716969413,0.0400830218612779,-0.241445983909469,-0.0889559660997505,-0.467465817790897,-0.0263425371207264,-0.631812990179784,-1.1566062541874,-0.294208826973682,-0.313759344189013
"EPEC_Ns_1 (GE) - TPM",-0.609501832498668,-0.371658501228075,0.485642197668087,-0.12498606553126,-0.693046399579851,-0.539981234270359,-0.239058879140208,-0.0767944329880805,-0.606333673029253,-0.344136868886515,-1.00194092904255,-0.919596658143126,-0.681818339871649,-0.53079912180495,-0.477780567763735,-0.403246730087531,-0.482212774344491,-0.60938424475592,0.342662481858962,-0.202082291372445,-0.388193596735118,-0.830586764911163,-0.875417306068055,-0.434028443859233,-0.57934118386805,-0.545467684298897,-0.67340472196463,-0.745831907731224,-0.817601686429749,-0.892070794286313,-0.753680976307676,-0.645147455623887,-0.576338495302052,-0.638363766616112,-0.822864064309003,-0.915139822938014,0.08230557342157,0.325857774925391,-0.809528387485315,-0.294208826973682,-0.313759344189013
"EPEC_Ns_2 (GE) - TPM",-0.859656149885178,-0.374114835374631,-0.265493659439349,-0.27066118835338,-1.13777453838739,-0.740986684434837,-0.239058879140208,-0.340592406948885,-0.596348117834016,-0.344136868886515,-1.01481734635793,-0.919596658143126,-0.106868681795085,0.389964914787359,-0.869810549139826,-0.645581599280333,-0.762030636084519,-0.756460706661855,-0.518625566173635,-0.178387322801163,-0.388193596735118,-0.839548730499539,-0.865976855868998,-0.43324089886671,-0.591252890397611,-0.506108285863339,-0.678566011923207,-0.759359143124389,-0.764858246114878,-0.864391898371462,-0.768519240560462,-0.67469677430152,-0.585228383627042,-0.640625014196172,-0.811870670716764,-0.870701662465641,1.28874954581379,-0.736565539414774,-1.01823302351341,-0.294208826973682,-0.313759344189013
"EPEC_Ns_3 (GE) - TPM",-0.639200231735631,-0.429218739470034,0.281038624982187,0.0324244687507547,-0.558097284269676,-0.52876522542875,-0.239058879140208,-0.507944444224435,-0.62769574359629,-0.344136868886515,-0.959115916382972,-0.758163231608104,-0.958538669923008,-0.53079912180495,-0.419332420322888,-0.0856837771977871,0.419695628841253,-0.307794279097287,-0.291288687760795,-0.18223221625484,-0.388193596735118,-0.729974885226411,-0.890279576633279,-0.452991350640832,-0.578676516276921,-0.515108415385587,-0.676679447332465,-0.720511846140248,-0.746406708436308,-0.822723051286239,-0.726353517504241,-0.71507894895841,-0.58944989282337,-0.590708202604811,-0.603305178352794,-0.710417849119818,-0.531184423343971,-1.63598485176265,-1.04654083267359,-0.294208826973682,-0.313759344189013
"EPEC_Oss_1 (GE) - TPM",0.714963000300041,0.523239116357101,-0.569736439489468,1.21898101493493,1.09533546180145,-0.168426872090763,-0.239058879140208,-0.987317944166072,-0.536730098433237,-0.344136868886515,0.400622144073652,0.967730233740464,0.242612674746177,-0.53079912180495,0.463877370299578,-0.25362778513068,-0.230660425429619,-0.373985236652058,-0.518625566173635,0.264629302760562,-0.388193596735118,-0.706294380856736,-0.752959507977116,-0.395112001553453,-0.33677604210112,-0.426019465677235,-0.121981707076657,-0.080718865826477,0.0867724370777442,0.667709836056502,0.635262585248685,0.199999090914322,0.352976769043143,1.12160975763783,-0.605505059865703,-0.884115323401693,-0.63794737990024,0.59677970307713,0.650358688640254,-0.294208826973682,1.40163360101168
"EPEC_Oss_2 (GE) - TPM",1.14176077120955,1.08103691051662,-0.49713366165202,1.78668430962508,1.70806289445506,-0.533601495721165,-0.239058879140208,-1.03555416017017,-0.531137303188515,-0.344136868886515,0.99253177532167,1.36784437202667,0.359674535582026,0.0764790874760498,0.636177509485174,-0.319279259724828,-0.0402830413949132,-0.552205548058621,-0.518625566173635,0.687755670365109,-0.388193596735118,-0.554874534064728,-0.831304859811998,-0.394406551545015,-0.339312528440397,-0.408255876676403,0.101377562738094,0.0356652950894885,0.260772536029394,0.993009784199682,1.35417299996941,0.678218818694138,0.874614201577458,2.21194305550672,-0.55997420535423,-0.913298424171508,0.653515790878519,0.398341945702142,1.82175038747233,-0.294208826973682,0.618231728392026
"EPEC_Oss_3 (GE) - TPM",2.52593196215849,1.06386107352876,-0.791751494041652,1.1601715214043,1.5557744768965,0.261819368158055,-0.239058879140208,-1.00835558212635,-0.546870737057704,-0.344136868886515,0.462964761836993,2.0227025805786,0.00703291516530554,-0.111302112808294,0.415748768577943,-0.353755288717196,-0.762030636084519,-0.394629161910771,-0.518625566173635,0.756909699946282,-0.388193596735118,-0.799699894447521,-0.84529630047092,-0.401005803412849,-0.336566162801993,-0.458369349997024,0.287025288593138,-0.0850367503086029,0.311795841331192,1.30645543843366,1.26373042425454,0.36373634951361,0.567075952937822,1.7883914711996,-0.670080755922367,-0.912836777008419,-0.398571856922298,0.109497909088632,1.46336024987429,-0.294208826973682,-0.313759344189013
"EPEC_Oxs_1 (GE) - TPM",-0.0769860369179548,-0.194812228304892,-1.27564797055264,-0.0620470649350264,0.964897308355807,-0.37449220341532,-0.239058879140208,-0.392598844176491,-0.166666752880647,-0.344136868886515,1.16346286714096,0.641607267205202,-0.408125929612197,-0.423479928268471,-0.302941655602823,-0.485847385594585,-0.762030636084519,-0.673253926356684,-0.322326587667587,-0.438462693159064,-0.345713234358598,-0.598631697217924,-0.567068970239202,-0.417252592674058,-0.445737679313359,-0.437988759580483,-0.0325057995577235,-0.234249662587047,-0.371908993696909,-0.367130024705354,-0.470924819913459,-0.419253569031698,-0.101588759609562,-0.0804493664820211,-0.910417047882458,-0.659004233419677,-0.370760631307574,-0.568331727488599,-0.20286673801082,-0.294208826973682,-0.313759344189013
"EPEC_Oxs_2 (GE) - TPM",1.04735572948678,-0.18180387580345,-1.41233351907775,0.291921211111817,1.29390859693197,-0.408060831756545,-0.239058879140208,-0.396333876031011,0.0971836207429236,0.246252378045265,1.12188341986259,0.726536813974998,-0.106902016907099,-0.53079912180495,-0.224055889242043,-0.697508611212601,-0.762030636084519,-0.596864100502433,-0.518625566173635,-0.457192363201143,-0.388193596735118,-0.607861658948313,-0.535876431487045,-0.439411681400085,-0.36929724531915,-0.340077993289304,0.260425446427196,0.254911976226509,-0.0637058283137331,-0.218077180969133,-0.0414462095286541,-0.176549787065515,0.301421696541188,-0.150990654605209,-0.90066094027254,0.294415134797236,0.0718970221525482,0.271880116319801,0.697765604986874,-0.294208826973682,-0.313759344189013
"EPEC_Oxs_3 (GE) - TPM",1.12286756762614,-0.0752350071736548,-0.75864078851426,0.220792172312186,1.30847930354527,-0.593249680371904,-0.239058879140208,-0.509487768583312,0.260552393693285,-0.344136868886515,1.04028321124516,1.27183568927696,-0.114997916036922,-0.314492779168559,0.245471203286839,-0.522630594978626,-0.556367294223921,-0.638297077562569,-0.360366031601634,-0.44537120081766,-0.388193596735118,-0.584966452008889,-0.72137108935758,-0.384346416217209,-0.411775684082637,-0.397526414956826,0.168313184115833,0.27988446143344,-0.0865612971264392,-0.273291162395157,0.0881493870420651,0.018485732891783,0.321285149171826,-0.00543686738013355,-0.874841344281448,0.484082884121943,-0.730347049892446,1.15311701187136,-0.156341744519032,-0.294208826973682,-0.313759344189013
"EPEC_Sp_1 (GE) - TPM",-1.19906588130571,-0.512613088809187,0.618855417666086,-0.225086495101076,-0.0612403244545344,1.96895287028725,-0.239058879140208,1.23361147667005,1.45113107256894,-0.344136868886515,-0.867758111141907,-0.919596658143126,1.57764475021053,2.64336630844449,-0.960372748367035,0.575406240289789,-0.00753418654007918,0.953544012828533,0.642556157279526,0.562247760408424,-0.388193596735118,1.3455834553474,0.475933958551546,1.28883667261565,2.13882273481906,1.97438396567166,0.544187992605862,0.475809869967172,0.500617627006374,1.26171340526211,0.938484933429123,0.738302639361761,-0.216282357902962,-0.397405461653471,2.39404712161785,1.22696832901762,-1.59151719747242,-1.08669665931157,-1.35478756921289,-0.294208826973682,-0.313759344189013
"EPEC_Sp_2 (GE) - TPM",-1.18869703493837,-0.47340378347739,1.15142352847474,-0.942772077906007,-1.15644542797954,-0.0282384687213263,-0.239058879140208,0.978040649206168,1.09532885225263,-0.344136868886515,-1.06425900217347,-0.919596658143126,1.91935344941062,-0.53079912180495,-0.782401718861365,-0.755922369583162,1.22239000230982,-0.018963927306489,0.244887959465389,0.461286595187962,-0.388193596735118,-0.407209156700778,0.115978971272113,0.764868531605058,1.39392828697284,1.39180945027513,0.179169210235759,0.366468981540871,1.69304442976711,1.28405768546407,1.04830797456808,0.899990644390381,-0.110657155493439,-0.451103977834814,1.29089417477293,2.13664501758859,-1.59151719747242,-1.0487480970177,0.563744776167812,-0.294208826973682,-0.313759344189013
"EPEC_Sp_3 (GE) - TPM",-1.10404970444287,-0.511205522623751,1.34783858626023,-0.986519782228772,-1.16219859609784,2.77029765418551,-0.239058879140208,1.03470121054817,1.6341613833685,-0.344136868886515,-0.880465182307779,-0.919596658143126,0.382984151180769,3.5819853655017,1.40239748092152,1.21551782675163,-0.762030636084519,1.52092178455288,-0.518625566173635,0.116972995787099,-0.388193596735118,0.400357820634845,0.292481278526405,0.702472114691128,1.28147492444758,0.760526852641318,0.241083150543613,1.50629618441239,0.537038339043482,1.06452143624979,1.04890259872717,0.678334926643433,-0.30143218885996,-0.552426150470343,1.06682452310572,1.0076674021597,-0.421943401459606,-0.782071586962591,-1.53184636460384,1.79500323054348,-0.313759344189013
"EPEC_Tm_1 (GE) - TPM",0.531195866261035,-0.402980475178788,-0.601119282339684,0.223720034606182,0.0208847264972338,-0.0810556966419309,-0.239058879140208,-0.658696871518681,-0.446848340363697,-0.344136868886515,0.303904416195493,-0.501264314159836,-0.174222763575834,-0.53079912180495,-0.0350182613250932,-0.33136382924809,-0.149574679001713,0.00826225477079038,-0.518625566173635,-0.580862096455997,-0.260705967504462,-0.457386822368634,-0.605728699029044,-0.461934587272491,-0.539109002405949,-0.494330990594788,-0.195939475584911,-0.207610941248349,-0.0611848338575749,-0.552530071861294,-0.504794644892474,-0.563611830936076,-0.41935704283454,-0.415926783505421,0.19203943720467,0.167793188346062,1.88890962101614,-0.964716909443748,-0.417970303307694,-0.294208826973682,-0.313759344189013
"EPEC_Tm_2 (GE) - TPM",0.360693340903094,-0.371142879842117,-0.360699410675352,-0.216755457218261,-0.189123469551979,-0.253760179471286,-0.239058879140208,-0.573100039580067,-0.399316736044679,-0.344136868886515,0.0481004422280532,-0.48720046255852,-0.418805497160142,-0.0552234683991592,0.167421731867501,-0.356984452053567,-0.19681097476149,-0.498030442497477,-0.0836846589932025,-0.599858405046648,-0.105821561536847,-0.563768539973902,-0.640038991452211,-0.449121899824229,-0.523881758621791,-0.487384332158237,-0.386415610595627,-0.431615904818032,-0.279571281136681,-0.594305432328165,-0.517838368193455,-0.555731994067303,-0.485251402383564,-0.478696490578054,1.79320720173015,0.41782156731986,0.978079058106619,-0.220556676110375,0.908746787264992,-0.294208826973682,-0.313759344189013
"EPEC_Tm_3 (GE) - TPM",0.420529279705382,-0.417019364538857,-0.457520606173891,0.193992579378919,0.0433119242812803,-0.229116329531448,-0.239058879140208,-0.505880657631713,-0.416905086836864,-0.344136868886515,0.256419421125543,-0.335539426215547,-0.806767360212765,-0.53079912180495,-0.191534295090699,-0.426616828661298,1.13815622632891,-0.05912847204767,0.303866719703035,-0.550599009375342,-0.388193596735118,-0.654403434155301,-0.70888756957524,-0.458583582934024,-0.495196009414822,-0.466140124108641,-0.280777474076454,-0.359868622724404,-0.345372597391437,-0.577890068416671,-0.584673444621392,-0.522904405205762,-0.461258842952865,-0.46162389742137,0.827966831260728,0.642000649182361,0.397636758180874,-0.0353241267347266,-0.389177246973088,-0.294208826973682,-0.313759344189013
"EPEC_Vic_1 (GE) - TPM",1.66969903278089,2.65642449259247,2.49773860419403,1.46853646330121,1.17207043535636,3.7671744559223,3.95282178774355,1.59502529529308,2.5830839316211,2.85365608127935,2.13300417975826,2.16675998471921,1.12573600748818,2.10941645505765,0.35416393888847,0.826043307029567,2.37585445985774,2.42623764438234,2.37892669530461,2.33596147734683,2.74705119787169,1.8388724107205,2.28650410156015,2.13599525246799,1.46585139302597,2.08255468295365,2.16405093297094,2.44187562220787,1.9424827234883,1.21921847605371,1.88314112882772,2.64844109746175,2.37068297528753,2.27941977142005,1.82840715853367,3.11118036423414,-1.59151719747242,2.16673346617011,1.11909329167367,5.07049747725446,3.73818474043945
