"","E2348C_RS01460","E2348C_RS03665","E2348C_RS05420","E2348C_RS06550","E2348C_RS06555","E2348C_RS08435","E2348C_RS26875","E2348C_RS09080","E2348C_RS09555","E2348C_RS27005","E2348C_RS11290","E2348C_RS27150","E2348C_RS11910","E2348C_RS13640","E2348C_RS14250","E2348C_RS14265","E2348C_RS14270","E2348C_RS14275","E2348C_RS14285","E2348C_RS15640","E2348C_RS16855","E2348C_RS27725","E2348C_RS20235","E2348C_RS21080","E2348C_RS21085","E2348C_RS21090","E2348C_RS21155","E2348C_RS21160","E2348C_RS21165","E2348C_RS21170","E2348C_RS21195","E2348C_RS21200","E2348C_RS21205","E2348C_RS21210","E2348C_RS21545","E2348C_RS27845","E2348C_RS23755","E2348C_RS24535","E2348C_RS24885","E2348C_RS25900","E2348C_RS28115"
"EPEC_As_1 (GE) - TPM",-0.273349689110199,-0.376021743413964,0.381033025699175,-0.84898683957077,-0.184895558955632,-0.426500019258279,-0.239058879140208,-0.928864014808269,-0.735293187685004,-0.344136868886515,-0.0564688974953594,-0.154076938503631,-0.975199788270428,-0.53079912180495,0.441352011188628,-0.182066002726884,0.288675039038794,-0.0466801310751881,-0.518625566173635,-0.545780052408024,-0.0236722136525252,-0.533506153939562,-0.641569584128157,-0.428971319222487,-0.501796859474896,-0.480233948471609,-0.484348272001931,-0.458158700912738,-0.606596905748658,-0.409391622376586,-0.6729901256746,-0.6016613700097,-0.465730232725237,-0.525432532291459,-0.581132416176167,-0.864768168204092,1.55105396073592,0.697155582868511,0.194148196850705,-0.294208826973682,-0.313759344189013
"EPEC_As_2 (GE) - TPM",-0.197462746643912,-0.37513115869209,0.716902255485083,-0.723077347921513,-0.152749242809554,0.132704686204298,-0.239058879140208,-0.902211816701002,-0.732682412511244,0.0985339764377989,-0.0163185179572454,0.0298360187351119,-0.666913685885057,-0.348056448825755,-0.419537056608816,-0.0332497913278019,0.106724952415339,-0.164312007330357,-0.318071319985522,-0.534918246527044,-0.388193596735118,-0.523367812297917,-0.560962009117197,-0.420996387674874,-0.509891409700562,-0.498598075680166,-0.511184536962898,-0.454461351386532,-0.472160577858009,-0.420018145531862,-0.676390972838124,-0.580706137454504,-0.502208592247727,-0.429861109553771,-0.442849724116085,-0.98907841888604,0.695051878966931,0.27806709799305,0.812683432104736,-0.294208826973682,-0.313759344189013
"EPEC_As_3 (GE) - TPM",-0.309741812344222,-0.390636464440002,0.624250333082904,-1.12168381270677,-0.260407906338985,-0.424572027160214,-0.239058879140208,-0.863884509572528,-0.727428074517036,0.0299360361591363,-0.0787773232073736,-0.438213648790928,-0.511339910876112,-0.53079912180495,0.453408445224309,-0.4043161335211,-0.39496565988816,0.0382953887600704,-0.292658092347448,-0.5446873843068,-0.388193596735118,-0.363820155782676,-0.527428960216046,-0.445522756550397,-0.472497018784913,-0.507747191306684,-0.520427242802075,-0.444066577567203,-0.516845666983583,-0.420038325444558,-0.650825020458378,-0.587144329996678,-0.501665137925494,-0.444663868895179,-0.54580090450962,-0.713553963423851,0.0772301109170807,0.570283878495636,0.44936626947302,-0.294208826973682,-0.313759344189013
"EPEC_Bs_1 (GE) - TPM",-0.845548285013623,-0.532209622408645,-1.17823489356238,-1.498127152805,-1.08472256528574,-0.185744894898317,-0.239058879140208,0.218090475075652,-0.625907528830794,-0.0411737922224077,-0.804788894967269,-0.757149182853045,-0.715647318831251,-0.405730387521298,-0.367871115917444,-0.591057128005733,-0.583658239198436,-0.435967910344093,-0.198354703786146,-0.655828000460724,-0.33868739962772,0.046972638989707,0.0398014444284605,-0.467445549643676,-0.581128592007173,-0.534775194255585,-0.622764020278501,-0.68477517678983,-0.73879527596601,-0.791393341260079,-0.740254168083389,-0.684930770191049,-0.587417662356871,-0.639532470926837,0.0159935526172196,-0.270821826522681,1.11153245874381,0.232459534382658,-0.303984896773184,-0.294208826973682,-0.313759344189013
"EPEC_Bs_2 (GE) - TPM",-0.858421148426862,-0.508554344382353,-1.02605032783129,-1.3908892760874,-0.879615560410941,-0.521274999419687,-0.239058879140208,-0.511951041445282,-0.70628170568163,-0.344136868886515,-0.585727869247257,-0.613189604775351,-0.849516881733523,-0.316341314033428,-0.723784067026592,-0.473224711431212,-0.609101315074786,-0.446636952500084,-0.283264972235944,-0.623900291527001,-0.303304351145975,-0.524492541994135,-0.579865120959746,-0.459679160354653,-0.539171892316425,-0.528442678109071,-0.566613386769252,-0.698571182215961,-0.722395828471608,-0.743227929950966,-0.720378377504274,-0.664305430897988,-0.557670851908534,-0.575004325214114,-0.766194547736527,-0.617189717462607,0.603995938122527,-0.26825561608409,0.2984492584631,-0.294208826973682,0.0153694783957959
"EPEC_Bs_3 (GE) - TPM",-0.901356781259381,-0.510963068817473,-0.87561792528315,-1.40625520064547,-0.984588575154487,-0.531569847944033,-0.239058879140208,-0.364629347515625,-0.699000757013257,-0.344136868886515,-0.538850080031606,-0.600996667291145,-0.486005441660142,-0.162862677556134,-0.302991739848822,-0.579554096907768,-0.120670627776176,-0.538892731951591,-0.294293068842574,-0.658247777362808,-0.388193596735118,-0.4473325579764,-0.332412328060162,-0.470076752968676,-0.561468481298086,-0.527492851559613,-0.587627852187178,-0.713040703505494,-0.691144311087778,-0.767080113303958,-0.733021383053085,-0.674015418227945,-0.566126953436973,-0.60864379471071,-0.473465203922858,-0.641710854071391,-0.266178662322445,-0.0603352210419716,-0.273044657560363,-0.294208826973682,-0.313759344189013
"EPEC_Ctrl_1 (GE) - TPM",-0.882352010311754,-0.532418414590823,-0.556561816141183,-1.36729427031847,-0.878349858130851,-0.350626035381447,-0.239058879140208,0.326139355135952,-0.577854929015086,-0.344136868886515,-0.348011873853132,-0.919596658143126,-0.970605430599204,0.0407400455835726,-0.609847206840916,-0.584694808874597,0.0530956363254728,-0.274210380939384,-0.309543572853534,-0.639288444647546,-0.388193596735118,-0.197001800124723,0.0865941139690645,-0.482456824240489,-0.568119878378116,-0.524526592916186,-0.598990557965937,-0.727531547276558,-0.604797846351406,-0.814840599549908,-0.722107073196693,-0.671641771143811,-0.580351781311659,-0.633332469297277,0.688775484001568,-0.61897709582852,1.00898758654851,0.200998707128432,-0.639174232723967,-0.294208826973682,-0.313759344189013
"EPEC_Ctrl_2 (GE) - TPM",-0.75336208642107,-0.499773155698767,-1.03786177496978,-1.23461083855176,-1.03429333851846,-0.502135106693557,-0.239058879140208,-0.439271159320978,-0.706303422901477,-0.344136868886515,-0.434528458532978,-0.556215605659324,-0.883305365652919,-0.297659106221739,-0.695455262224789,-0.448597879481409,-0.540361894550218,-0.577625770013778,-0.0921860322644867,-0.637591460550044,-0.388193596735118,-0.77419520493997,-0.525318036274716,-0.464039582980717,-0.558225744006007,-0.519841060684527,-0.535473387443538,-0.643949264178536,-0.750827757282749,-0.789447593944624,-0.722660576343908,-0.65157843476134,-0.527087324545239,-0.615885069106328,-0.726937424441902,-0.384147859035196,-0.663327948518474,-0.112495324317513,-0.127324434225131,-0.294208826973682,-0.313759344189013
"EPEC_Ctrl_3 (GE) - TPM",-0.696796247456464,-0.477762680467536,-0.171561304731693,-1.12491695070302,-0.74859505628033,-0.143450290613062,-0.239058879140208,-0.228220280180521,-0.720851628769214,-0.344136868886515,-0.387238085597645,-0.63551149816554,-0.791476969904384,-0.312081217122642,-0.0461716950113497,-0.493819364689774,-0.762030636084519,-0.0397036320361152,-0.358601623487415,-0.602031087766091,-0.388193596735118,-0.705352980130376,-0.50685090128468,-0.461789780574907,-0.546989922900499,-0.508070024032028,-0.566633284247078,-0.707936666095436,-0.729901102917413,-0.803422716791264,-0.685781603988359,-0.669570013451162,-0.546740397936514,-0.593319708766121,-0.535550539718608,0.161618137551741,-0.596350129323943,0.0105964343267586,-0.653421174722946,-0.294208826973682,-0.313759344189013
"EPEC_Li_1 (GE) - TPM",-0.879863928561527,-0.518728183969562,0.125601017699764,0.0295902531854311,-0.588650595505605,-0.39988110932714,-0.239058879140208,-1.19742073335781,-0.714606239164351,-0.344136868886515,-0.634872345696986,-0.530386429309296,0.823472310675928,-0.53079912180495,-1.34749252680758,-0.755922369583162,-0.762030636084519,-0.88970696310894,-0.335925199753234,-0.406072231839992,-0.388193596735118,-0.518299017322345,-0.662252216823635,-0.458596840154786,-0.581145827365657,-0.508870127451414,-0.620643643422039,-0.755240110023467,-0.760385502869366,-0.832508432706553,-0.773143446885691,-0.700009121151342,-0.597361992386892,-0.611958490752479,-0.821758384650732,-0.0884671900239924,1.53300159937173,-1.48619141754155,-1.08611138756902,-0.294208826973682,-0.313759344189013
"EPEC_Li_2 (GE) - TPM",-0.903260396514505,-0.437616129038188,0.810078653444548,0.234961824698741,1.34709641449308,-0.199637896107923,-0.239058879140208,-1.22030171203361,-0.686993611628662,-0.344136868886515,-0.482793886712893,-0.507801403555384,-1.10881185309835,0.261806476378312,0.449482182240133,-0.375991317675727,-0.0084239033741439,-0.24650695995646,-0.518625566173635,-0.378317109105915,-0.388193596735118,-0.858618029296227,-0.835481022032944,-0.465203598376493,-0.559172228431195,-0.506746450560872,-0.586142734639521,-0.668558998388465,-0.658693860444674,-0.796246757174503,-0.697229061064793,-0.710965792586336,-0.573969639831756,-0.648741344605068,-0.931733264375723,-0.571873038280763,-0.239133077849864,-0.450249226064616,-1.00129635175801,-0.294208826973682,-0.313759344189013
"EPEC_Li_3 (GE) - TPM",-0.704827263770138,-0.409800567814643,-0.0320317105102174,0.0107915292295745,-0.531693096092858,-0.740986684434837,-0.239058879140208,-1.27325473800004,-0.673428394400218,-0.344136868886515,-0.48689279118689,-0.479343185550393,-0.371139823611645,-0.53079912180495,0.163711480520598,-0.349735161196756,-0.762030636084519,-0.657844442933067,-0.146636248707961,-0.385725621798562,-0.388193596735118,-0.833656340434145,-0.837227724563175,-0.438716684457924,-0.536376598638369,-0.516489666230545,-0.601897392733029,-0.736409509983262,-0.642858120098633,-0.789316064317408,-0.74766541344636,-0.648561126347633,-0.550002021923565,-0.562091667119265,-0.811249528541438,-0.364024654337982,0.529054383600264,-1.54030422884964,-0.624302208301928,-0.294208826973682,-0.313759344189013
"EPEC_Mig_1 (GE) - TPM",-0.0191363986457988,0.11431927554597,0.114928638805369,0.511638693617527,-0.594856465061768,-0.740986684434837,-0.239058879140208,0.686900441928634,-0.15594466075223,-0.344136868886515,-0.699627164046142,0.401596386954403,2.58075645003538,-0.53079912180495,-1.52524727631454,1.98673937735181,-0.762030636084519,-0.580884718908494,-0.518625566173635,-0.246176259489205,-0.388193596735118,1.16760679465339,2.31434860399925,0.215410734509367,-0.179545887961391,0.448389804180555,0.00331354766681497,-0.450204146797894,0.420570683880327,0.0761040048674536,-0.330848321655255,-0.118928191647337,-0.201538785182529,-0.175532306249653,-0.103311528870491,-0.0498555202765626,1.30111852106165,0.845771618361876,0.454056765107116,-0.294208826973682,-0.313759344189013
"EPEC_Mig_2 (GE) - TPM",0.230127194813439,-0.194735292265296,-1.25582551772042,0.497748632833004,-0.887089666455005,0.864265729538589,-0.239058879140208,0.184248194179743,-0.467434414187911,-0.344136868886515,-0.270189619200179,1.52258236105434,-1.10881185309835,-0.53079912180495,0.984309249089828,0.652331539853212,-0.762030636084519,-0.965179985686146,-0.518625566173635,-0.55266186684329,3.33310141809028,0.247439234879523,1.7546186904169,-0.415304150944929,-0.305868155978706,-0.459353119296853,-0.351619466030182,0.183938321677566,0.0574964538046078,-0.341445874113539,-0.540030701814728,-0.5888163808156,-0.384348910455543,-0.457063412708976,-0.386949080125781,0.468635770744385,1.08195065352437,0.73333300812603,0.0413846224812948,-0.294208826973682,-0.313759344189013
"EPEC_Mig_3 (GE) - TPM",0.714192584358416,-0.245203587538354,-0.166349453226072,1.901352019708,1.56060222992525,-0.740986684434837,-0.239058879140208,-0.0865796604456831,-0.384244102007093,-0.344136868886515,0.885437380174698,0.269692088152955,-0.00174121971462982,-0.53079912180495,-1.52524727631454,1.16428799887707,0.326199493219716,0.0726048505642495,-0.518625566173635,-0.546058516233585,-0.388193596735118,0.669702448928552,0.671580072655373,-0.482446378999248,0.196279125587295,-0.405681203658158,-0.256626702139477,0.963139343281545,-0.0308558310166835,-0.460624952871121,-0.592883563662868,-0.564989780209644,-0.288379754651492,0.225240982827857,-0.295892363487323,-0.371149587976632,-0.28959575614479,-0.824507479559581,0.511166200290316,-0.294208826973682,-0.313759344189013
