"","SP5448_RS00285","SP5448_RS00885","SP5448_RS00890","SP5448_RS00895","SP5448_RS00900","SP5448_RS00905","SP5448_RS00910","SP5448_RS00920","SP5448_RS00995","SP5448_RS01190","SP5448_RS01960","SP5448_RS01965","SP5448_RS02155","SP5448_RS02160","SP5448_RS02175","SP5448_RS02500","SP5448_RS02510","SP5448_RS02535","SP5448_RS02560","SP5448_RS02810","SP5448_RS02815","SP5448_RS03395","SP5448_RS03495","SP5448_RS04130","SP5448_RS04140","SP5448_RS04150","SP5448_RS04155","SP5448_RS04245","SP5448_RS05395","SP5448_RS05420","SP5448_RS05475","SP5448_RS06005","SP5448_RS06010","SP5448_RS06150","SP5448_RS06455","SP5448_RS06460","SP5448_RS06465","SP5448_RS06470","SP5448_RS06475","SP5448_RS06480","SP5448_RS06485","SP5448_RS06490","SP5448_RS09410","SP5448_RS07120","SP5448_RS07230","SP5448_RS07235","SP5448_RS07415","SP5448_RS07650","SP5448_RS08220","SP5448_RS09510","SP5448_RS08225","SP5448_RS08265","SP5448_RS08270","SP5448_RS08275","SP5448_RS08280","SP5448_RS09550","SP5448_RS08585","SP5448_RS08590","SP5448_RS08625","SP5448_RS08735"
"SPYO_As_1 (GE) - TPM",-0.941381308632198,-0.354573968272335,-0.288231938575837,-0.316872587737158,-0.312733478806091,-0.34248774096683,-0.29688189867484,-0.29625584445147,1.21790175254909,-0.746302880245248,-1.23371529255941,-0.848228780119287,-0.56895634744355,0.0686143569257243,-0.538854387074612,-0.428148280939804,-0.065361625015327,-0.767797737029684,-0.526998553377178,-0.448976001882731,0.232986850690248,0.902442444570375,-1.06810382428802,-0.549714265726829,-0.424730286286378,-0.231534940568965,-0.315938696673903,-0.259036174996676,-0.529408609250521,0.129012317700943,-0.318523131588281,-0.599608652728133,-0.552922151630726,-0.896047918166858,-0.256183688145525,-0.214276015605886,-0.419686351862508,-0.424069955460166,-0.414428857790026,-0.410435282014866,-0.475689277409534,-0.362306646461253,-0.278312922725308,0.386630719214906,-0.584813789533934,0.116055205770736,-0.168670727557379,0.770626822862904,-0.530734065576697,-0.184944825979289,-0.413914551090592,-0.0113763601361354,-0.45303501428327,0.634100205106839,-0.741320032160651,-0.190959755953853,-0.623919283965055,-0.804469802804859,-0.299202092508758,-0.398861529846549
"SPYO_As_2 (GE) - TPM",-0.945813021925662,-0.302135145342959,-0.30063163961513,-0.239339736802014,-0.331321865567421,-0.228397727745178,-0.262759994697396,-0.298118656669581,0.548409570318195,-0.366856008372949,-1.31607099507432,-0.917590388958586,0.312606303877482,0.437155926579356,-0.393306413001118,-0.612560722856775,-0.415612927781803,-1.26739736568479,-0.342760368394136,-0.424760104213037,0.329380349080259,-1.02808752783533,-0.460852846707601,-0.50159446323981,-0.276625353193865,-0.313797235857074,-0.224933604050284,-0.376106702771432,-0.4792405372066,0.456729849533858,-0.117754211469106,-0.606687781104905,-0.459393986536163,-0.709078710129888,-0.277589441051703,-0.0450332649350959,-0.361523988497676,-0.316164263401903,-0.340055080823574,-0.535744159011347,-0.505513785382662,-0.366811036496941,-0.0653957073691348,1.27518907337997,0.153185920011781,-0.131391140502895,-0.0119504277001787,1.2715416073085,-0.482540427891928,-0.533620389259608,-0.471096799755066,-0.294057435721183,-0.418867964479451,0.169232800326299,-0.716745440614,-0.0666344197326332,-0.649279411851531,-0.76974115946378,-0.422385914698855,-0.41898999226032
"SPYO_As_3 (GE) - TPM",-0.952046452183142,-0.3013852017086,-0.315275926087879,-0.416043635253365,-0.121505682354496,-0.32881705549626,-0.278318363919058,-0.292392932376717,0.234725462359717,-0.22986101016257,-1.25628524196586,-0.943403734742464,-0.0816423907080957,-0.791015398838546,-0.774111433473392,-0.789998799855793,-0.412186354476576,-1.0594737368583,-0.369526690301748,0.028047867387291,0.00665133909069295,0.888968950837239,-1.08016312149014,-0.285090224900847,-0.363896435919831,0.110430755136454,-0.419929938575206,0.114463943272599,-0.296436385871079,0.608250386586863,-0.303006846860741,-0.667305702172381,-0.63256348368997,-0.618532869576195,-0.137395020483049,-0.0493981033202998,-0.197701825086119,-0.250036410307593,-0.288585545451981,-0.437774864790161,-0.319848786735537,-0.434096638639118,0.0708242851339977,-0.119272785037874,-0.458076431426273,-0.0515319995492424,0.274858963540494,1.12669738601077,-0.548150585505983,-0.360152526615219,-0.584645096010187,-0.184412384195561,-0.536682286259629,-0.361267256368317,-1.05223480011069,-0.261442867608902,-0.695963252336406,-0.76229586980461,-0.490559928798482,-0.423700230023876
"SPYO_Bs_1 (GE) - TPM",-0.92570562817366,-0.325569525896552,-0.292526368852657,-0.315059001527869,-0.204255272307254,-0.222861181392816,-0.308515618766364,-0.314448645892402,-0.897131886700307,-1.01302552593582,-1.37977508081673,-0.869874459845662,-0.496937478351356,-0.154579351064419,-0.396620441759259,-0.545091208273455,-0.222203927942303,-0.879834852924727,-0.290715342116942,-0.766269226947688,-0.867223018403013,-0.619199641376914,-0.881096088389289,-0.554980811181601,-0.210989476948747,-0.304267275599438,-0.255038990059139,-0.579425067511622,-0.403854695527257,-0.423746534372995,-1.03636731057301,-0.483392624915887,0.00811558454712512,-0.770664353692655,-0.371169960861179,-0.418177138208291,-0.633425577028657,-0.509486339061967,-0.430069622767065,-0.366544038036355,-0.360900593920144,-0.308558712611171,-1.16063453602696,-0.317811861849549,0.019436975349505,-0.733979332551409,-1.73329683746212,-0.423991161558271,-0.277054562411843,-0.718757392404049,-0.36541896165057,-0.485353059913829,-0.568865439409468,-0.681370011442147,-0.548342235327521,-0.607261924104278,-0.398802118575669,-0.559637946545357,-0.153004296412435,-0.399912160026485
"SPYO_Bs_2 (GE) - TPM",-0.925975524887947,-0.388186271863958,-0.296485142432018,-0.300821629173539,-0.265386288624555,-0.28450683125059,-0.296550673124242,-0.303881250012064,-0.234496074370824,-0.934872385690679,-1.37752140149156,-0.927287969060293,-1.04946625730505,-0.960689286569886,-1.10877629937188,-0.922487609877152,-0.430514589863666,-1.02259976433394,-0.341719305074271,-0.902529708625421,-0.671795831166629,-0.825682791517904,-0.565197281458397,-0.39898839632282,-0.152791360804449,-0.389737568486488,-0.146780760168135,-0.361045576747905,-0.615344721610031,-0.45864526134978,-1.32153237599609,-0.633943946568384,-0.670765835364225,-0.988655612012038,-0.557760479573558,-0.58565523841795,-0.575860762643341,-0.647980331531539,-0.482675291893327,-0.348825294027835,-0.165268617042834,-0.294110066026564,-1.04651322366047,-1.16815255528882,0.786552958478689,-0.234941168802005,-1.92500800966179,-0.609862335173892,-0.474212372348285,-0.931558532033884,-0.547948733173739,-0.566295461801286,-0.586043508075003,-1.31605645075275,-0.906264201749158,-0.629229230359966,-0.448266262805593,-0.707330808358116,-0.38003708643534,-0.523187749851131
"SPYO_Bs_3 (GE) - TPM",-0.921858903620328,-0.305774062952394,-0.297073403007672,-0.298541350376814,-0.303436619148296,-0.289207264497582,-0.301400309517891,-0.302887441226709,-0.545387301589611,-0.989422649201426,-1.3864955389927,-0.941928553976559,-0.560492546881433,-1.17421035454052,-0.689936390562275,-0.468536164339903,-0.367531848960142,-0.670396914125262,-0.361124128843826,-0.698110009235379,-0.955116375009035,-1.1631842800378,-1.06739847629198,-0.488930171939968,-0.214499479633227,0.0679720822599571,-0.147901813494094,-0.733980074185677,-0.427123284605139,0.124170102908023,-0.670432015865143,-0.459302188401788,-0.195006564837373,-0.850877660981706,-0.569936492208107,-0.58182734602414,-0.429339263745829,-0.654746285271471,-0.525491268940672,-0.376861371650691,-0.340060663811236,-0.321389600474459,-1.26794615501591,-0.577755706179131,-0.395620689086601,-0.53260855397561,-1.82951089562666,-0.436038310059559,-0.339857437927717,-0.488377674990969,-0.441070322724708,-0.787272675737918,-0.550688262693654,-1.18001401647885,-0.470593214968086,-0.622932516306245,-0.402123045994116,-0.581492722385336,-0.263918409011032,-0.417284488055692
"SPYO_Ctrl_1 (GE) - TPM",-0.492943530168359,-0.31556700015808,-0.315010364267648,-0.368565700521752,-0.280987474623273,-0.284297435142474,-0.304549278004477,-0.326370929621061,-0.689510137903768,-0.117806684640789,0.26994285219532,-0.311423497085222,-1.29920007427677,-1.44624529526764,-0.593782743376918,-0.798777967258298,-0.915048130424611,-0.165532226074609,-0.770196460799374,-0.690244203450736,-0.581470478775903,-0.6434859730585,-1.0179573304383,-0.638961937469146,-0.691063828198424,-1.25046819037161,-0.599424874187485,-0.436971438890408,-0.624103731522943,-0.244630419776456,0.830124981687589,-0.783780576858691,-1.03578521742246,0.186098386812162,-0.611115063243883,-0.637207027056858,-0.613208562064192,-0.523975985779841,-0.605018236893794,-0.589076698948478,-0.60837900298558,-0.585549406049624,-0.495596657428465,-1.33294810160416,-1.02365604788611,-0.914560080391375,-0.420988918627623,-1.19089319404641,-0.714945988647598,-0.691443078415912,-0.711789860143011,-0.697745317231884,-0.605156797524613,-0.530943285311544,0.48208087166992,-0.5697669814237,-0.648430800108172,-0.402598388644367,-0.598512765021845,-0.721589056655308
"SPYO_Ctrl_2 (GE) - TPM",-0.528103206345565,-0.38796030939318,-0.31296565671234,-0.364674111288446,-0.282614535371191,-0.321898774376853,-0.340299061402455,-0.354781327532155,-0.753957648137039,-0.955983034219191,0.597851339641156,-0.0825065307854926,-1.08141042806021,-1.15115760299803,-0.483010301845169,-0.582177637251738,-0.930406679554738,-0.519512360719032,-0.447448384195603,-0.827163309220735,-0.680692091679981,-0.58123031191877,-0.722578340566759,-0.716927250357942,-0.772034397302665,-0.755139504616609,-0.62418304934128,-0.950017323476933,-0.592276380269059,-0.353004241073385,-0.423656295160402,-0.712866733446931,-0.773091687669599,0.210844487639279,-0.789949426866502,-0.77824758678433,-0.659726922685399,-0.732461973964351,-0.655714582262017,-0.59206449473609,-0.536542745969731,-0.69695772789397,-0.745128762287109,-1.39435841718786,-0.788465553442918,-1.51268189982584,-0.612320149219039,-0.705523657081392,-0.798549767886839,-0.558022026924934,-0.647190619274316,-0.536668163962028,-0.65348538003485,-0.0483860275329634,1.00913209067773,-1.04418935477828,-0.558937879233192,-0.358099267926983,-0.786166105789424,-0.67191359301107
"SPYO_Ctrl_3 (GE) - TPM",-0.561022651762683,-0.349477804948098,-0.327674392377064,-0.398249053094557,-0.30939014318196,-0.344990652400009,-0.331259321831468,-0.32376792008324,-0.891242920941169,-0.978744731926045,0.631647220612798,-0.105730232066325,-0.915094977865315,-1.2142264605556,-0.784893293655593,-0.749263154282044,-0.843052711758081,-0.593860342530749,-0.700390654023206,-0.826216334493923,-0.800770966531751,-1.44689359138695,-0.315452520419165,-0.707316416104566,-0.776100189499138,-1.28962340937575,-0.683944629696278,-0.870299447846977,-0.711080209356356,-0.292074022693227,-1.02084900143031,-0.743997878897767,-0.897295966484971,0.181867537535869,-0.651023861120763,-0.725863280625859,-0.653341585910898,-0.725185668368016,-0.611877075757856,-0.549089680086844,-0.631839087147982,-0.639650387767839,-0.644149726054985,-1.29867892233664,-0.837039323908574,-1.12929781128078,-0.675204163021821,-1.08190566562292,-0.91913310762958,-0.631043970361697,-0.639915876455887,-0.967085075138043,-0.688310665013953,-0.644770130491258,0.500282450801343,-1.03426594103527,-0.587434516072676,-0.190416435572687,-1.01283349447453,-0.708083946835513
"SPYO_Li_1 (GE) - TPM",-0.327323031353926,-0.280543947267567,-0.288619556812986,-0.398411526896502,-0.267931757180027,-0.30880686508421,-0.330803757771246,-0.308714471057468,-1.07608518188089,-0.483555890217201,0.192234887510721,-0.301556627583401,-0.665344670436443,-0.612768641584385,-0.544336329162099,-0.468302575616575,-1.14797752760606,0.0688039000899126,-0.464027603163338,-0.893899308828221,-0.776739560455525,-0.611193216059276,-0.472569573294901,-0.799266130535157,-0.857807387349488,-1.20984588714095,-0.973372374976616,-0.685138775418292,-0.462213540280214,0.137946307366262,-0.105081018520163,-0.545612926138472,-0.560779509444181,0.485326733308801,-1.09699845918659,-1.15774296001142,-1.03600106208785,-0.965133090002673,-0.962167995675976,-0.965416638955018,-0.965894968335819,-0.994268630732477,-1.16748863566777,-0.670414091802754,-0.741799810251315,-0.410479310991034,-0.349187201320237,-1.07116876730669,-0.806000608775871,-0.44158056950722,-0.578828726385467,-0.396736755437668,-0.586129884273108,-0.137654974807318,0.74334493666566,-1.21472331897119,-0.536614983664288,-0.307047523029073,-0.541162119974843,-0.695218313529801
