"","lmo0041","lmo0074","lmo0077","lmo0142","lmo0269","lmo0334","lmo0354","lmo0412","lmo0450","lmo0455","lmo0490","lmo0491","lmo0516","lmo0773","lmo0786","lmo0788","lmo0813","lmo0814","lmo0825","lmo0829","lmo0883","lmo0888","lmo0912","lmo1029","lmo1060","lmo1061","lmo1133","lmo1169","lmo1170","lmo1307","lmo1308","lmo1309","lmo1310","lmo1596a","lmo1597","lmo1604","lmo1625","lmo1626","lmo1634","lmo1717","lmo1750","lmo2170","lmo2172","lmo2233","lmo2234","lmo2235","lmo2236","lmo2237","lmo2238","lmo2302","lmo2335","lmo2336","lmo2337","lmo2365","lmo2409","lmo2469","lmo2536a","lmo2563","lmo2566","lmo2637","lmo2638","lmo2652","lmo2820"
"Listeria_As_1 (GE) - TPM",-0.615493503991545,-0.914333231173014,-0.0837851984843292,-0.647812225966738,-0.668164355880046,-0.190813018590035,-0.406779678130692,-0.638379883645735,-0.902794545239591,-0.650649006931262,-1.09280261808522,-0.561721345628144,-1.05602328583761,-0.24143000978192,0.462207987774812,-1.04116174725691,-0.969380597703197,-0.534752523565384,-0.146688260232545,-0.626572225085589,-0.530033874506287,-0.93530965729471,-0.965435163516344,-0.256486356756576,-0.894334392757481,-0.997485146957776,-0.58963056928,-0.046450917086598,-0.6341976493654,0.370499421283071,-0.0571923451056565,-0.450874018320302,-0.535073580640369,-0.581562946452914,-0.65461635788059,-0.255312618920464,-0.785309419237401,-0.246149853062684,-0.824347800806839,-0.58084328987846,-0.752007003858969,-1.21581137734939,-1.0518060934477,-0.0213455620740263,-1.21512319492142,-1.16464029776101,-0.996077553101981,-0.898692613675784,-1.32545905838003,-0.380352394056504,0.21513545905287,0.283015206480563,0.739274493539583,-1.17301987821485,-0.892532702863434,0.63825011676413,-0.277781553370253,-0.686251200079413,-0.494968345184912,-1.09199251153934,0.57334400616772,-1.44055880851866,-0.357486363821754
"Listeria_As_2 (GE) - TPM",-0.64765989325521,-1.08616364354608,-0.353339537756848,-0.783790761192414,-0.841648892110467,-0.302732717775917,-0.45542518748576,-0.783464604951127,-0.631857198024135,-0.468174809839842,1.27165936798433,-0.780510162699884,-1.17226255803596,-0.0530858055996492,0.285552331523213,-0.998502870174392,-0.837866504115971,-0.535420317032978,0.0312308766457261,-0.608717223538589,-0.720592506385369,-0.595247955835675,-0.953907896261187,-0.048680925457484,-0.246311694764417,-1.13670994970661,-0.58963056928,-0.570571554667248,-0.0949409691858448,-0.105303080371415,-0.0480950037610802,-0.419028374386443,-0.13194657918835,-0.65433004235101,-0.418501768579697,0.141555753486798,-0.949898485547504,0.10682886343391,-0.800096167338274,-0.631549524193314,-0.86024084923833,-0.801567691110782,-1.08560046167473,0.185565085684579,-1.29644265391448,-1.18115420920986,-0.808873364371343,-0.923316153273422,-1.15400925465265,0.0822521515446865,0.224636034225579,0.305130340689462,0.546981979093703,-1.00737769438246,-0.502289987764582,0.909970283835044,-0.36729888820154,-0.322349921766491,-0.732667572887469,-1.08328053762009,0.313448768968395,-1.22236805955088,-0.268961037057098
"Listeria_As_3 (GE) - TPM",-0.485457282943879,-0.80855405689965,-0.469594424788067,-0.7866740903779,-0.625188458983919,-0.677174772512206,-0.378895667384875,-0.652444167580608,-0.895922637020278,-0.348500545775223,-1.09215625790202,-0.598759329748122,-1.17200013530269,-0.228609364620173,0.0596731110286234,-1.032632686915,-0.973805551465486,-0.347246200620466,-0.407929994962316,-0.423067443261201,-0.466275780920372,-0.592723581293676,-0.854474123868442,0.149107950555092,-1.30567342757447,-1.08451752246476,-0.58963056928,-0.418344822460794,-0.139431196985042,-0.126227760404897,0.377462639537247,-0.189972642814392,-0.86569608150093,-0.793738423833717,-0.595039723139069,-0.213527933180025,-0.878551421472419,-0.106661152151285,-0.832596381732332,-0.504740382784745,-0.232108013640283,-0.96549734037776,-0.937068056850491,-0.409054937884958,-1.19916215088829,-0.988396048814954,-0.788990723479224,-0.91074872979192,-1.25476754007729,-1.02292807101732,0.156780592793413,0.329868555295952,0.796928232999728,-1.05294502069836,-0.609601273625874,0.578660204949783,-0.265110507200304,-0.296992313931142,-0.162800784340356,-0.939445801006067,0.592785434284967,-1.62238251418655,-0.510734678474689
"Listeria_Bs_1 (GE) - TPM",-0.655576662483334,-0.0474939513044528,-0.177418336998995,-0.184792182569478,0.0685262914969043,0.271904957749607,-0.339533002389459,-0.143434887061768,0.599775115460841,0.0693337971272443,-0.0542941070191379,0.188966491810115,0.0577265349034806,0.816506560111175,-0.509720551242393,0.126775138139261,-0.211758393554406,-0.2232307324806,-0.0896342030853697,0.513118863922856,-0.471704715669128,-0.857567584867219,-0.0530656826759012,0.0941289168962304,0.575824478482816,-0.348502721842719,0.0417980332765525,-0.765942884294234,-0.490699484940475,-0.770613525144273,-0.46890204335567,-0.843384772063855,-0.720501265121434,0.387814493520986,0.530338231443661,0.761698758232835,0.286640841996174,1.10723316584283,-0.0330347906022817,0.136080738902346,0.414452801923541,0.450118598968755,0.225008214050336,0.576656178909613,-0.100804922914634,-0.285845824169843,-0.17214189870655,-0.319253355650853,0.493358496115661,0.573375014701617,-0.0935619512325957,0.402682739496445,0.42159914454946,2.47637492760146,0.0217409880401203,-0.694132703261519,2.91498940295452,-0.526485464935248,0.630352358791315,0.0115192831309582,-0.628916485498556,0.112954985169531,0.35680430551355
"Listeria_Bs_2 (GE) - TPM",-0.183691491652671,-0.486849640781022,-0.0722666151804677,0.193613309921044,-0.298941627474966,0.719142489919829,-0.40362235581981,-0.414445062063601,0.281449787235297,-0.284570919603792,-0.437699646465332,-0.272778092218534,-0.145431633508341,0.254105005745564,-0.520553347828021,-0.0936703828954013,-0.389556938136952,-0.197779534821844,-0.279408632366646,-0.0914150854273019,-0.632261988393132,-0.671457795987976,-0.159612873089839,0.542606663669349,-0.0770738244191429,0.0119671382124182,0.890338119787294,0.210206061314968,-0.748896947465212,-0.936172779591394,-0.721902375277217,-0.824958734189364,-0.908218212485481,0.571310498261335,0.882936496885294,0.0116123541018007,0.0433902689332483,1.18569849675881,-0.255332575616734,0.128055833799446,-0.344527040284661,-0.265327876734622,0.0314392720619351,0.371589724356068,0.438949671982081,-0.481112085296837,0.000657799445603776,-0.569131706420041,0.265548153065032,-0.785103992822762,-0.10146635309626,0.0678218003078165,0.114877413736821,1.7468921711996,0.28945903008836,-0.549102286600905,1.64360358050886,-0.739375527960607,0.153379740680881,-0.30131086513567,-0.673968074374537,-0.352390152793214,0.149582192241949
"Listeria_Bs_3 (GE) - TPM",-0.268566039611977,0.233346416301002,-0.335408319457087,-0.207615019454745,-0.317760731197455,-0.27513488567787,-0.442554263185951,-0.472223703674181,-0.236783918467637,0.76260339237139,-0.865104621961731,-0.274032550295166,-0.0980539256347746,0.285637458230971,-0.473011219708906,-0.394818802817929,-0.300766163948108,-0.59047287866522,0.181648762691993,-0.161429147348593,-0.812474445592424,-0.73631661666544,-0.483167407845405,-0.777801424721232,-0.196126675687423,-0.671554290250267,-0.58963056928,-0.259026809632544,-0.896201554112406,-0.923593921749024,-0.873151281613171,-0.890805226591106,-0.791632248740389,-0.505339135915934,0.170972136462434,0.297117257257198,-0.214941758983928,-0.492075411237624,-0.467557153280219,-0.107228634550473,-0.640314043769777,-0.843710908137058,-0.228340235502833,-0.258873400012186,-0.427624546316865,-0.322562302529656,-0.341857759588673,-0.50088810807637,-0.082984055876631,-0.790972930137442,-0.223965912097265,0.0442002267221023,-0.0882513560430613,1.19188606102262,-0.822152470059496,-0.584288118271374,0.407181793872903,-0.542349964241386,-0.534802311071738,-0.36188071232781,-0.522895157322141,-0.457162980890105,-0.289508249726559
"Listeria_Ctrl_1 (GE) - TPM",0.933905632875654,2.0243962968689,2.22979727654591,1.46096376009843,1.40367371660859,1.21886672012122,2.47047213685236,2.44595569270605,2.31836959026549,1.29075796002334,1.73753300939787,1.26352998566919,0.916462543817344,1.8068869002045,2.18562340729423,1.13026074680345,2.11914462853523,1.81518228281351,1.60597063245076,2.3154271319533,1.66862427030889,1.62797099963462,1.94710906886007,1.15296320971849,1.38140038162537,1.98544968006935,3.08023436071355,0.692967830738819,1.19316838321742,0.599161983891802,0.829269608969533,0.936228464481863,0.494742294614352,2.11312218104784,1.90580061024552,1.70447684957131,1.47599767628763,1.51196367000411,2.72258715944673,1.80195452475073,1.23904522846447,1.35601438036191,1.85743241133663,1.56621681072978,1.70203024485928,2.04138300441233,2.05479827748365,1.83874801979092,1.80388382020227,0.726083489993456,2.06701747887481,1.74542284606875,1.72693435865658,1.2096458016316,1.08798857045402,1.95680814938622,2.08730608539643,1.86883886017039,1.35329677457182,1.82799682147287,1.66866670735042,1.27836229455893,1.4692119433149
"Listeria_Ctrl_2 (GE) - TPM",1.3506752813868,1.1281785346202,1.67157673201799,3.15631278821858,1.34866443961558,1.50545633602552,2.08147738999686,2.76002315509657,1.55516722787283,1.94838092326017,1.71193181875849,0.983054732418988,1.98098175820504,1.36234539177641,2.40404477116465,1.12065107833465,1.77906378640154,1.78394295148256,1.28321964007675,2.1624591063046,1.70153398471726,1.27388774021255,1.94026311990464,1.26029635788414,1.32303901355043,1.72581888435442,2.38792172871505,1.05606759429942,1.3633327301053,0.348857084376505,0.387900192729987,0.974109194902531,0.675541865058172,1.48090530316608,1.92499377807974,1.56229434917245,1.27603387138834,1.27631857981305,2.42736150335688,1.61267110665776,0.965085520797287,1.64514029086848,1.27414299932489,1.45534180396999,2.06131427213679,1.42543800567108,1.5105900389143,0.938874461995966,1.9412121218669,1.03861724406391,1.98334389855133,1.74381958955721,1.79007818775253,1.24994418633516,1.54883856444741,1.45902204380416,1.0631473626474,1.63093112487732,1.17457483089645,1.54726470985218,2.23336429464164,1.16713338985485,1.55931259606024
"Listeria_Ctrl_3 (GE) - TPM",1.4855746521409,1.60702788430116,1.94918240787263,1.99160811556155,1.10757547284154,1.38964191619032,2.20147171123226,2.38536577264741,1.51066347044464,1.38689347844094,1.38616983763699,1.29984056027026,1.02590647268306,1.29383701007431,2.31065644237297,0.872097866709157,1.67023212598535,1.62617418612768,1.54334532196761,2.4501806327285,1.59718133064612,1.48958662566379,1.76591018086551,0.981869085193348,1.95632636464697,1.59829416741217,1.86691273257136,0.532930366502591,0.605140425296998,1.34641718908028,0.221115395435946,0.723736000804238,0.889895222626949,1.3407188827488,1.83780062772076,1.50355356833645,1.42314282295882,0.812139614162971,2.0501511293305,1.52675709404247,1.03765092710749,1.97200517691119,1.32477040788856,1.38668939802026,1.54837574217467,1.66657636498907,2.72641876495535,1.11519563547576,1.66648259208105,2.10559469878477,2.39336170491569,2.28173964707173,2.34346251879442,1.44896572992052,0.912196187353142,1.43878031127849,1.59350417699212,1.33413916681548,1.17647109014696,1.61013323824344,1.48077906908632,1.66136148951767,1.32433675658867
"Listeria_Li_1 (GE) - TPM",0.093607483258723,-0.612615433044685,0.791395557551563,1.68053775287845,0.0675296839779952,-0.917549686982287,-0.0270570525555256,0.342810229833678,0.76065481157437,-1.0277543576445,-0.599112499250013,-0.47787212273104,-1.68949612697713,0.686116142944529,-0.323608033420349,0.397221070440884,0.56249599871963,-0.388768011058825,0.0671391840660093,-0.405860590324783,-0.809150806448911,1.88391084399166,1.31018998611048,0.774686397402813,-1.24733262494061,0.0649571890219966,-0.58963056928,-0.835249613729799,-0.183228122802659,-0.804264523198383,0.39767225972096,-0.680861987088728,0.213580009660954,1.18059580770374,1.06099669290783,1.24773753429611,-0.135328799470761,-0.159085297742183,0.832702445261941,-0.734792238978184,0.27444422801554,0.127366251369784,1.24403648819249,-0.47457369892782,-0.262980429172662,0.79704837968689,-0.508873635478742,-0.631041617086763,0.0198106511648025,-0.372777781297559,0.557568407544956,0.496326344663003,0.423833792354451,0.108582111267834,-1.07548373861127,0.142593123676676,0.459138089683345,-0.521528652149083,1.04204904935658,0.330832443240489,1.14614161063696,-1.03197553770374,0.287746346450302
