"","GBS_RS00875","GBS_RS00975","GBS_RS01235","GBS_RS03485","GBS_RS03810","GBS_RS04315","GBS_RS04520","GBS_RS04595","GBS_RS04600","GBS_RS04845","GBS_RS05020","GBS_RS05135","GBS_RS05725","GBS_RS05730","GBS_RS05735","GBS_RS05740","GBS_RS05745","GBS_RS05940","GBS_RS06660","GBS_RS07315","GBS_RS07950","GBS_RS08330","GBS_RS08335","GBS_RS08660","GBS_RS08685","GBS_RS09310","GBS_RS09315","GBS_RS09320","GBS_RS09325","GBS_RS09330","GBS_RS09335","GBS_RS09420","GBS_RS09435","GBS_RS09445"
"STAGA_As_1 (GE) - TPM",-0.310785950845654,-0.976285391029886,0.0546314443439088,-0.0551527049744355,-0.820701399149294,-0.0818744697953978,-0.243853934049809,-0.735621209886144,0.271301856429352,-0.13005883176379,-0.684191592521776,-0.251862597431861,0.400929819392276,0.0243785485496259,-0.386604753162958,0.872858140407511,-0.57065409645936,0.817686835725135,1.15030424693392,-0.152717167719289,-1.04770657954511,-0.0257041284388718,0.0382826311643831,-0.412707520052579,-0.518946575359942,-0.449718444855809,-0.373927259958002,-0.781925760314702,-0.438217899954715,-0.596921881607371,-0.799046248774519,0.801034312685313,-0.106801029648805,0.0754876400552956
"STAGA_As_2 (GE) - TPM",-0.142890848401081,-1.05131415641969,0.763944849617072,-0.021772169215504,-0.397905369968921,0.18979211101962,0.237313752694402,-0.450982167048669,0.263510624457564,-0.284789031359989,-0.880339039310321,0.0759254677719156,0.4030065633237,0.440800202460352,0.0521276587710325,-0.0847703439562879,0.538196148401244,0.256694368446006,0.933772175449228,0.170672736445139,-0.430842976565249,-0.400294577795751,-0.289736730268248,-0.59107170097544,-0.689189244413982,-0.507436072686226,-0.651983445794227,-0.790790553826116,-0.598102005728371,-0.618571724925617,-0.777670920913922,0.752519731538161,0.33813221215982,0.0688104545175629
"STAGA_As_3 (GE) - TPM",-0.310954227732383,-0.995832473129603,-0.347140294742527,-0.179091028955252,-0.608381257928176,0.0953429349936098,0.469321220248166,0.168576524292714,0.154570297482512,-0.476553284281205,-0.75860381076008,-0.408024572518995,0.66913380873134,0.415260773214022,0.397416395348667,-0.359878466433866,0.214403490780763,0.466086454453935,1.21797067963992,-0.145168639921711,-0.557801372994588,-0.483338606780927,-0.544038861883178,-0.453003584695749,-0.566767203390439,-0.492255703901128,-0.474182753442786,-0.753126729465588,-0.430551946243671,-0.661184658033213,-0.746262798899353,0.70040508545319,-0.0808986051563334,0.00375789496669511
"STAGA_Bs_1 (GE) - TPM",0.46907867987008,-0.681816427953325,0.206082930997923,1.45118331494776,0.0266320627708864,0.168471744144059,0.555815251970909,0.0536744016532695,1.39842439780423,-0.842953959334249,-1.18022622829188,0.712712673491371,-0.0317642968336366,-0.964781120275646,0.126360523373953,-0.609093220721374,-1.01219353907642,-0.304167842952623,0.0702817581621681,-0.46757491576324,-0.665201027772882,-0.0102981825277869,-0.132234198960803,0.127183627359591,-0.658240471724855,-0.822101130894585,-0.759501086254065,-0.752473450292665,-0.555768001596361,-0.538190695392371,-0.863074900466932,1.03998753880696,1.65869564119602,1.30477091829232
"STAGA_Bs_2 (GE) - TPM",-0.197104314172585,0.418754232632407,0.34825386501284,0.326214464273319,1.3535180162872,-0.029965992627339,1.11730537470555,-0.693469051219781,0.259033237388151,-0.255626744408646,-1.21086894191707,0.415015907077956,0.0301786518954299,-0.70936305734017,0.051213424367337,0.230807295964964,-0.75598112332727,0.292615732157975,-0.36297010099574,1.36736700823895,-1.41142623022717,-0.217507788751453,-0.348190692596216,0.681530274414905,0.160307057134755,-0.902822566123413,-0.928891214648741,-0.625986422041878,-0.598361689157973,-0.6068596369897,-0.779485215214205,0.458091818014574,1.00686764712855,0.468264969928478
"STAGA_Bs_3 (GE) - TPM",-0.149040667551132,0.214820897664865,0.481897960908355,-0.101881895660504,1.85828366772493,-0.128035974865182,1.27011122090169,-1.00191875452784,-0.125592149736554,-0.58622311425022,-1.04424703428823,0.216074224652897,0.0727364863762166,0.225222806179379,-0.107867442542326,-0.186791040308009,-1.02413545311339,0.106096802675057,0.0261498521078629,2.4686136987314,-2.13122390071327,-0.488309924945045,-0.278611584075636,1.37135577055505,-0.17895513475959,-0.906426214185205,-0.78723294753229,-0.431236423238351,-0.553842903907618,-0.543472530765616,-0.735616740091101,0.0185778255018547,0.906595245039139,0.330499500799343
"STAGA_Ctrl_1 (GE) - TPM",-0.959821022690303,-0.600478653523161,-0.398785587880558,-0.993087589971129,-0.941628067281073,-0.730521318419107,0.086315676577601,-0.75075797401949,-0.496118483737941,-0.615758783654247,-0.985893879876133,-1.18420125686629,0.143562260707393,0.214562969395183,0.219393941070428,0.325525655108102,-0.205422547650989,-0.223901536965537,-0.697400997267648,-0.350055137005396,0.265941596272301,-0.422108418428067,-0.477882396267924,-0.499562488003069,1.03285259014148,-0.484627921675015,-0.265541199509685,-0.52908999751152,-0.180615085257817,-0.140613810357269,0.0223124871461207,0.250102996264098,-1.10482251188537,-1.09022626308384
"STAGA_Ctrl_2 (GE) - TPM",-0.72254022228277,-0.593773321404529,-0.628163611544223,-0.826274484561701,-0.975758789056667,-0.465751771761218,0.0403452090715614,0.136829426505339,-0.0479731278925782,-0.332402711490211,-0.404121984035266,-1.10326321110694,-0.181973987588366,0.44276646428389,-0.61564920705298,0.56529950789885,-0.299209614078052,-0.296758159336184,-0.743917023221109,-0.547846862594801,0.119600519695372,-0.595701716149446,-0.549908857060297,-0.294788478736452,0.202394319044257,-0.167910395263949,-0.345294102063345,-0.533016798191419,-0.197974050663899,-0.151623100079279,-0.0440779964082283,0.0889921005625367,-1.04285101422407,-1.15287787026744
"STAGA_Ctrl_3 (GE) - TPM",-0.803846017410249,-0.830190424032669,-0.833575260503106,-0.84933964995979,-0.866519543101852,-0.481853562086707,-0.229795888716771,-0.0624912896046636,-0.31778149648249,-0.180207334495403,-0.650058629022617,-1.18626118636121,-0.234864927755698,-0.203882938618181,-0.681198811265079,-0.247581115620131,-0.468562719483441,-0.697324568849018,-0.696633604429493,-0.510395558163651,0.37067976401664,-0.582868074175318,-0.463121314842323,-0.465020773405768,0.382381449922305,-0.318381129817214,-0.425729874379714,-0.607344313214183,-0.364887424834759,-0.136016168654053,-0.0691716604512074,0.175882399917055,-1.149382006464,-0.962330998203094
"STAGA_Li_1 (GE) - TPM",0.586316580106182,1.47813894498362,-0.890030766827573,1.27281636557656,0.604089808257437,1.76380681330274,0.775353812572644,0.497951674345627,0.15058077006303,0.266586644482333,0.779663988402335,0.689207322381604,-0.778409219306323,0.0688704851613698,-0.560626866031885,-0.249840388691719,-0.0741262982435717,0.946163617584489,-0.84464632827739,1.01914222213842,-0.550700280822657,-0.96762930321784,-0.931260258913187,-0.19013594669282,-1.74755173157508,0.097057153869838,0.257255444200312,-0.0821297145281666,-0.136772896167466,0.224040149599225,0.492414646889679,0.119730788379469,1.36907484588244,0.460188142716483
