"","SAR_RS00510","SAR_RS00515","SAR_RS01335","SAR_RS01340","SAR_RS01345","SAR_RS01895","SAR_RS03150","SAR_RS03820","SAR_RS05860","SAR_RS06805","SAR_RS07400","SAR_RS07405","SAR_RS07410","SAR_RS07415","SAR_RS09010","SAR_RS10595","SAR_RS12305","SAR_RS12310","SAR_RS12315","SAR_RS12320","SAR_RS12325","SAR_RS12330","SAR_RS12340","SAR_RS15475","SAR_RS13665","SAR_RS13705","SAR_RS13710","SAR_RS13715","SAR_RS14120","SAR_RS14290"
"MRSA_As_1 (GE) - TPM",-0.796254704513185,-0.626879020679466,-1.08022373663853,-0.91200228009954,-0.725843664080168,0.224774332270483,-0.867419052738335,-0.55239286362009,-1.03178287641529,-1.31927561897952,-0.6748258728927,-0.723797738631104,-0.794411824564173,-0.913064503326428,0.225847693594289,0.60493290744622,-0.246192345614839,-0.248734242831047,-0.132148049400922,-0.10761987631906,-0.392905442710418,-0.139738279981734,0.0674618018716164,-0.908237616116743,-0.975469148288627,0.180338080116491,0.47925142976499,0.43318939202623,1.06140421105156,-0.741973653104105
"MRSA_As_2 (GE) - TPM",-0.894883117810923,-0.783446771336409,-0.799671689266563,-0.788207042515985,-0.781270790310547,0.453850165395445,-0.868008505557433,-0.572168164873746,-1.01747000706368,-1.08538351763633,-0.666308885587435,-0.724900468206066,-0.793326704859581,-0.905995785970858,0.26301498851867,0.688652679121191,-0.245293517304313,-0.850547850248113,-0.363343795388696,0.0469003693523607,-0.258970662250733,-0.5400130697633,1.02271224515228,-0.917937035741472,-0.990461998650817,0.134749547237264,0.0339248938199197,0.419303707565431,1.05724195046359,-0.119990733413583
"MRSA_As_3 (GE) - TPM",-0.78797474138172,-0.70227215173941,-1.02721334901643,-0.808182277157212,-0.666175276647927,0.111225234762538,-0.869931906101626,-0.56221451461908,-1.01334065808071,-1.24288443567864,-0.672184172300273,-0.72405795960091,-0.793734388847444,-0.911033349725181,0.235712164523438,1.0626228425126,0.00729920023662392,0.45630830653042,0.707315011158996,-0.189777491905048,-0.266496243821424,-0.15707794235683,0.714097552106948,-0.90956304471344,-0.967926854242033,-0.147737630535465,0.634477148987316,0.803775214835689,0.814125928061269,0.216444797967261
"MRSA_Bs_1 (GE) - TPM",-0.55182492868389,-0.624795336887994,-0.88728589005566,-0.772331453215865,-0.567665334218778,0.469116670926956,-0.868371520788164,-0.639825295467794,-1.09021987328916,-1.15824681030456,-0.675523054263097,-0.725813716427728,-0.795560879021115,-0.912772119151093,0.46169883960198,0.689042279639846,-0.328273457260601,0.171073209669165,0.0560561080711557,0.140515653242259,-0.416802358637697,-0.472363997826905,0.148000492166133,-0.91351639231415,-0.881025259498894,0.0775849787921889,0.383724961782772,0.275506758544454,0.666195912938054,-0.423985507947186
"MRSA_Bs_2 (GE) - TPM",-0.237589055720817,-0.47244263269133,-0.536831118799066,-0.512673690352986,-0.178033123135496,1.36242480226356,-0.868195655231362,-0.644500183390538,-1.01150171943148,-0.513053190267582,-0.671842963634558,-0.724651359693713,-0.797312878834147,-0.914288827777985,-0.0804563220098268,1.2243545837266,-0.505401714503628,0.238930094790604,-0.293324444568254,0.194634553249278,-0.427069793324887,-0.784122805073848,0.149015681704342,-0.915312315571819,-0.842448460440532,-0.226199509362954,-0.217399555643044,0.244319764995173,0.118988705522042,-0.0688192786248742
"MRSA_Bs_3 (GE) - TPM",-0.511319581709213,-0.490906059870632,-0.959811758850813,-0.927702426520431,-0.574379381501662,0.413413990636388,-0.869867264356229,-0.709549228231068,-1.04891634063342,-1.1034943294247,-0.673786519366044,-0.723744784314019,-0.79518400524503,-0.9120535691137,0.242622657185567,0.656118498116323,-0.404666988962227,0.191707897657847,0.354275611437616,0.145301774396869,-0.625312388649459,-0.652326494880639,0.205903922511375,-0.915732700603226,-0.940776725144651,0.286755884437615,0.613861934550703,0.74319770417052,0.669991628953649,-0.45777090220981
"MRSA_Ctrl_1 (GE) - TPM",-0.478648041242903,-0.739254518125572,-0.483486604616732,-0.0345857888089037,-0.58174182283385,-1.82558539994596,-0.31039167390789,-0.643983955660614,-0.0343330368826855,0.0854085287966383,-0.396355188723155,-0.321082699996467,-0.268923289869777,-0.0971705994129298,-0.0841358271388,-0.398346190194927,-0.867537744794757,-0.591425246663515,-0.550758663398067,-0.649478773764838,-1.05300787129056,-0.737850509708237,-1.32122077395255,0.644655646308449,-0.437617892847453,-0.371060795194113,-0.734532646394632,-0.694568606157619,-1.29759322378594,-0.84485283128465
"MRSA_Ctrl_2 (GE) - TPM",-0.665125821737171,-0.782914496521843,-0.448129891539482,-0.400535775219496,-0.574844691671787,-0.442517914642865,-0.237586566909517,-0.679310766130537,-0.20332260862217,-0.19155969553698,-0.411443091196683,-0.377025128618368,-0.354550112817435,-0.0993312039575103,-0.0966090133487424,-0.182924070071184,-0.688392745234356,-0.681198939413167,-1.04921275403077,-0.922761655450345,-0.887300425334938,-0.765138915064729,-0.800149945087456,0.596837495123351,-0.397624559709563,-0.409886804916442,-0.828197309003434,-0.657947151798705,-0.918962577661575,-0.551030645988491
"MRSA_Ctrl_3 (GE) - TPM",-0.447450861134753,-0.726554723833416,-0.24974618245673,-0.557656045951135,-0.521121333474864,-1.57547143956918,-0.361205471274547,-0.823018243305942,-0.250116288514065,-0.0382380855072733,-0.428364414100994,-0.403849270312268,-0.366211670970526,-0.174623359075397,-0.334488769341772,0.0552949591051681,-0.746136325736074,-1.02467905336036,-1.49410233828137,-0.792159703342412,-0.81994096352721,-0.947585229731653,-1.10574767174082,0.0127409380467068,-0.496822311640769,-0.572190691469993,-0.553843499592807,-0.833542750659262,-1.00083719286819,-0.485399432634075
"MRSA_Li_1 (GE) - TPM",-0.596785344111056,-0.950025826805582,-0.192080201636657,0.0229459711534338,0.0663246303725617,-0.157514911592601,-0.247761360462214,-0.648795119140639,-0.0767543845643433,0.333409659671287,-0.543666150137012,-0.451524264202285,-0.406350346038651,-0.244295169769513,-0.389148751018828,0.00538988723400294,-0.772717660093492,-1.31381666668489,-0.560280626132638,-0.75465805488913,-0.719685033517284,-0.555955954505972,-0.820019344887438,-0.868637493197369,0.513705049130615,-0.309661676848725,-0.810388567999517,-0.740694712699451,-0.845228627627219,0.73039095934629
"MRSA_Li_2 (GE) - TPM",-0.674142448197079,-0.657823413748683,0.30238218017225,0.665932865361968,0.530447626700654,-1.83664492981847,-0.34478391000115,-0.578104888220635,0.457480911824146,0.627760163923881,-0.534029814640801,-0.433319634958223,-0.452765808585561,-0.318114747355073,-0.129743553634233,0.406512324025366,-0.616818748480138,-1.16113676041784,-0.559891278388474,-0.805921578142567,-0.975382889524856,-0.633834819086156,-0.7282204056349,-0.877018740061993,0.649088038915359,-0.697696176478125,-0.703586893087493,-0.563159775524812,-0.617272436628513,0.499380550288707
"MRSA_Li_3 (GE) - TPM",-0.694341111290826,-0.619999583998056,-0.208867759732864,0.0460469986634408,0.168617979759953,-0.245771259680433,-0.376140656649671,-0.783111351302558,-0.0743891992006236,0.418196434537465,-0.485352184776506,-0.4565304800485,-0.38758257679727,-0.335087856854116,-0.106347065827429,0.73980380965462,-0.850557524432153,-0.589098006165273,-0.0494454344441766,-0.125088816936242,-0.447299905707484,-0.677864743268597,-0.434545911957963,-0.658029572053848,0.544466310883636,-0.289105597337225,-0.571194616478365,-0.68018553956859,-0.599218554789414,0.662632695174125
"MRSA_Mig_1 (GE) - TPM",2.67315502020187,2.01960078908709,1.29829130592493,1.19245680882008,1.41277396340009,0.916222490111535,2.38074114928237,1.6720531176546,1.7391254414778,1.32187888876817,1.85474827377299,1.93702362067992,2.33958915438452,0.824613957283699,2.93371508530886,-2.01432701825075,1.95663903340019,2.3210847657048,3.20594538113344,2.26433176368758,2.52026705387621,2.55581915946855,2.78235235441759,0.504616795497403,1.10868298864149,2.48103587474683,3.06278767021505,2.97213071359644,3.16444019462403,1.45000988765757
"MRSA_Mig_2 (GE) - TPM",2.24452918556181,2.0445882624111,1.17245027671397,0.944710204947807,1.03236829709519,1.17549419087161,2.434426683893,1.85968948781138,1.72703891617594,1.60710977687631,2.60174068281761,2.54788944955458,2.65694231250709,0.771854273310845,2.30291019183032,-2.28855044100372,2.59274637592487,2.11683966295104,2.00680554935276,2.55729133152825,2.8319451595799,3.14706460061267,2.77305146984287,0.598682769206221,1.38836002514177,1.14801837387103,0.665351760075747,1.202891031938,2.28389874825269,3.04738162510977
"MRSA_Mig_3 (GE) - TPM",2.43919941711329,2.42655970349185,1.61995515687749,0.49534926881886,1.14942192726318,1.42422415774832,2.25765131610899,1.19033158687959,2.58985589278019,2.01433076955442,2.53653052950408,2.96103672229844,2.16775946396533,0.581634766627611,1.50135830413862,-2.39339338186538,1.86907435998208,2.03469924649517,0.79572270095249,2.11556705651391,2.14490890071705,2.51765610293305,1.47236946540644,1.9604724007017,1.41221629305515,1.18594473150857,0.965935440501177,1.55707600037946,1.1017453547593,2.09862930528293
"MRSA_Nd_1 (GE) - TPM",0.268873107712173,-0.335291384790852,-0.957598467090531,-1.06880114852155,-1.44201484726038,-0.682407877751505,-0.845413104637621,-1.05717847156508,-1.24520778910606,-1.11416531738092,-0.675006337639338,-0.721778698987208,-0.795043393900699,-0.913091252220521,-1.62889355656161,1.4371564583393,-0.60819166922209,-0.57046390861268,-1.07118918788027,-0.837111398190005,-0.764641857967297,-0.409789391976587,-0.494086339621029,-0.792835611812527,-1.00950095779585,-0.822888905418779,-1.2175431419462,-1.2616626736924,-0.636259926078725,-1.08102154245223
"MRSA_Nd_2 (GE) - TPM",0.353784591126154,-0.11296963056122,-1.11873163368715,-1.07312363743164,-1.29851879219818,0.308027531959631,-0.849716763416264,-1.13173096246563,-1.25847115841273,-0.971695748662001,-0.664871723776454,-0.720559797473358,-0.788798574520144,-0.908523498179089,-1.47963751760255,1.32904001433678,-0.353516882800739,-0.251571173928802,-0.249808884139064,-0.802381069422435,-0.177874369186495,-0.299103331288083,-0.100257855661916,-0.769121244810784,-1.07163736619996,-0.9870449798769,-1.21071530714416,-1.18920645412748,-0.719127770512804,-1.17674651163701
"MRSA_Nd_3 (GE) - TPM",0.0889722067545199,0.0643621845540342,-1.04092602297451,-0.811634816229501,-1.24574940498545,1.16798312666494,-0.712675436683626,-0.856060090494703,-1.04996853820542,-0.857469109678313,-0.489665349997151,-0.573594146105957,-0.636486352616858,-0.722804011342965,-1.46804483307906,1.95685642623417,-0.34109963427033,-0.32601708954043,-1.77962822378865,-0.506262427241402,-0.503475384016477,-0.0808542281685742,0.158824405316756,-0.641337480315876,-0.941358387390416,-0.586217830299749,-1.01300909621446,-1.26450772540701,-0.685618169383225,-0.903733984497973
"MRSA_Ns_1 (GE) - TPM",0.115453667945345,0.11989103480524,0.0927121279964037,-0.24955801590215,-0.173291027213075,-1.11811607603708,0.188173530194867,-0.356183383357723,0.15022928170804,0.174803082535978,-0.372871493875244,-0.188508456871546,-0.0719417648762502,0.335332640287335,-0.360851728079963,-0.258683560214714,-0.857467819637835,-0.55379584788415,-1.0467182158311,-1.02345609552798,-0.796320645568188,-0.368801659146102,-0.28524003679844,0.182691619628826,-0.217526598831855,-1.57278358088573,-1.15738393892932,-1.27685790205582,-1.30921072620194,-0.645868894640609
"MRSA_Ns_2 (GE) - TPM",0.538240753874532,0.065519389358085,0.227707136234783,0.15827562352543,-0.125578941468284,-1.01055888471877,-0.0236171390981953,-0.148178343151738,0.663564045404657,0.163981836190606,-0.490327081518138,-0.177789707638285,-0.0502109140234417,0.192925533610281,-0.111084381111376,-0.356034545737646,-0.85072964334871,-1.02929037822924,-0.667395407932849,-0.798890908613895,-0.754712376129974,-0.39139104796088,-0.736268294736792,0.56509638688147,-0.218929481501154,-1.7030027073524,-1.19848512771491,-1.24823584228554,-1.4885026231456,-0.281183760206392
