"","lmo0021","lmo0198","lmo0246","lmo0247","lmo0268","lmo0470","lmo0495","lmo0559","lmo0573","lmo0635","lmo0749","lmo0750","lmo0866","lmo0934","lmo0935","lmo0947","lmo1067","lmo1299","lmo1321","lmo1322","lmo1513","lmo1515","lmo1525","lmo1548","lmo1651","lmo1658","lmo1661","lmo1689","lmo1751","lmo1776","lmo1797","lmo1802","lmo1884","lmo1885","lmo2048","lmo2141","lmo2145","lmo2218","lmo2375","lmo2466","lmo2559"
"Listeria_As_1 (GE) - TPM",-1.27630994061529,0.968891149088258,1.5492468176642,1.25512910769205,1.19429393242115,-0.0643502256678747,0.571210875022838,1.54978657322421,2.18638235877844,1.31973540274177,-0.106381570779445,0.423896363280755,1.87015298688534,1.1009012551525,1.93800620839733,2.56645204733134,1.90546405522552,2.21114725506374,1.67856705828233,1.86062675743434,1.01478556140647,1.11805275780296,1.68205366611507,0.733558760684287,-0.0345739790454508,2.50703134946523,0.916073987700628,0.348000176875194,0.721265873919388,1.43194344679195,3.63586154981512,0.998363877639965,1.97023819853357,0.981913397311735,1.78355060435106,-1.00160057020362,1.500068255093,3.08930757251604,2.03850275008429,0.935826155088058,1.56094734839364
"Listeria_As_2 (GE) - TPM",-1.509826355352,0.907664258337449,2.03059969737894,3.08233957520363,0.434598642552059,-0.757862576419564,0.712972304571446,1.52506914447632,1.77774964865217,1.67394440349663,-0.356119860574637,-0.136389034011664,1.41538878161478,1.05319669314982,1.26302291072011,1.11012430871945,1.65822216570217,2.40142224921791,1.3882189731441,2.47422209142357,1.14781867886908,1.69489385737947,1.65755669843684,1.02695365294077,-0.0323102042115503,1.979098238965,2.11530857333514,0.860956245501129,0.358507517211664,0.831655146519511,1.56542762032909,0.129939550628537,2.11401145470333,1.64674177758168,2.06921159105376,-1.22769753590208,1.93012875932876,2.39856460557182,0.87516050076964,1.36526990126568,1.57618737977545
"Listeria_As_3 (GE) - TPM",-1.31163768321367,0.963492780708529,1.01362608856321,1.13186197990804,1.86995042000397,1.12444914029088,1.57405801257513,1.08748893139716,1.64140884789378,1.55447004018493,0.125362393126459,0.721420903973487,1.8197701893199,1.05288878556227,1.49199635233497,1.8274009136161,2.02906210114834,2.14988709205148,1.16498442452432,1.79582718111378,0.864711145517009,0.922054721540368,1.95496996870446,0.78403012122956,-0.67790697661257,2.5840249758289,1.5694492822218,0.00868340808861713,0.743914782328542,0.869337169179537,1.82589519277056,0.559279471980922,1.95756042445249,1.20346466502519,1.75751904111353,-1.03484372679198,1.02285259210074,2.01645962799916,0.518118145851431,0.358950021019312,1.49498370687572
"Listeria_Bs_1 (GE) - TPM",0.363723992945457,-1.27803595269018,-0.673866217252644,-0.272830147112458,-0.563670795358427,-0.51643938481546,-0.611721540965596,-0.562916264686317,-0.745617275334335,-0.559727633537779,-0.562304868584091,-0.246600962592602,-0.538439298202112,-0.417609345941737,-0.329093686863766,-0.0395969263429164,-0.589659249942696,-1.00219828007242,-0.70624724644637,-0.866793192833383,0.222211034321307,-1.06290717191589,-0.329428106978313,-1.00970244122207,1.34881547759567,-0.531668601887664,-0.976897477832326,-0.780741586627297,-0.259237773493201,0.208944097082191,0.00339093411581406,0.0102819198809722,-0.846567765118196,-0.790583605210256,-0.437238919237299,-0.39531427068235,-0.091383775274436,0.205076103859875,-0.417721283295464,-0.498328559143464,-0.59044204249907
"Listeria_Bs_2 (GE) - TPM",-0.246067547514828,-1.06008076665765,-0.821189677034592,-0.161053580667773,-0.657662105067062,-0.818040507571568,-0.312397701841783,-0.735548789445669,-0.672389575071465,-0.949070937237386,-0.491268295610279,-0.680480578581036,-0.435199490373182,-0.598749059667577,-0.434421026700232,-0.0427887224847068,-0.568061655737296,-0.912789680006256,-0.675367840665226,-0.847877392858437,-0.492423633808495,-0.980054470504043,-0.465380540974962,-1.10640971759231,1.51519418614659,-0.330996525845125,-1.26247617203224,-0.955837619166817,-0.506012757486837,0.0576283738586822,-0.124463651365208,-0.411593312028536,-0.926205174374023,-0.945603976520827,-0.580418140527069,-0.668606555228476,-0.0591991417072587,-0.0807365106851847,-0.838376284476512,-0.716076889505566,-0.564158469987017
"Listeria_Bs_3 (GE) - TPM",-0.905546079718839,-1.20873354760552,-0.506386213500526,-0.936418718696203,-1.19332486808389,-1.11953086611393,-1.22500579072554,-0.458211371023316,-0.647367018093873,-0.87680565630819,-0.48084378317976,-0.599654130864313,-0.735127854009889,-0.365561010245943,-0.188218433397349,-0.548811305145326,-0.585581058542685,-0.684826163999095,-1.22090887204092,-0.850404588331066,-0.488780704194249,-1.05238822051104,-0.582423410773217,-1.09012008614042,1.41166785168107,-0.548042924374742,-0.99922690850561,-0.907094588182965,-0.504453109320054,0.162676637261381,-0.434994311388168,-0.376633969735195,-0.817028895026525,-0.7319225918626,-0.466255536020797,-0.718518575009082,0.634413138011488,-0.174403540076757,-0.889849376879957,-0.255576224075386,-0.55734542756345
"Listeria_Ctrl_1 (GE) - TPM",1.28134472286937,0.511570732779986,0.190651540851962,0.291748272944014,-0.435452583203395,-0.548836091141246,-0.422174519360821,-0.3790107695862,-0.268244056026488,0.712679291736713,-0.277103467917817,0.159215867337125,-0.256714133630972,-0.0341220880237596,-0.603034716490841,-0.205364391412981,-0.213841592509786,0.359731910081919,0.0923189349326922,-0.202817379691161,-0.410365312805822,-0.879193417004418,-0.0764329327224505,0.0261359920397841,-0.163550750944861,-0.102193204806251,1.02330071395992,-0.776754863027743,-0.628708710316276,-0.619816838120399,0.235499568699811,-0.02244963559109,-0.450690455284633,-0.497973317053763,-0.466151278161457,-0.242973979323016,-0.0891621671603115,-0.0717383425866567,-0.854371860698531,0.335537533167314,0.507223860986522
"Listeria_Ctrl_2 (GE) - TPM",0.898836153665578,0.406765051591238,0.387071582833241,-0.2371104198343,-0.64520264356503,-0.985954585336383,-0.516310164161846,-0.280508754341939,-0.134427111407621,0.728338464304966,0.184633807733579,-0.0360417292035097,-0.294232910242373,-0.147203541172927,-0.665406680818898,-0.42209442026811,-0.270442677142219,0.0730944060273855,-0.27389190097704,-0.352092385076966,-0.272472482890433,-0.37095228699539,-0.218157801224616,1.28711893879882,-0.385890087157071,-0.143026035192473,1.10379784977819,-1.0151189997373,-0.685967875618805,-0.658681962523821,0.568491249777041,-0.430277390665039,-0.572068707775691,-0.704995904688392,-0.573772657535851,-0.173782101759379,-0.263957269696482,-0.292661641132203,-0.770806834829006,-0.00450878332527108,1.05483786753242
"Listeria_Ctrl_3 (GE) - TPM",1.16059244267271,0.345368808709807,0.239834740213903,-0.579288671751264,-0.507780357778971,-1.3964842656073,0.49922104413524,-0.517246924016677,-0.243034369847214,0.545733591640866,-0.119981350722366,-0.34392669026069,-0.157028291441185,-0.462195104127438,-0.570487687620358,-0.578283839743539,-0.267041711037412,0.184344755450184,-0.363458427333484,-0.398731265192506,-0.540060075073538,-0.811803790319506,-0.311830478299646,-0.245940374080788,-0.211672349075246,-0.0343235821221251,0.828770172500713,-1.03655663618752,-0.8466574846404,-1.03546438086542,0.372302816956764,0.179303974052503,-0.516577015494991,-0.466534536741871,-0.476637237076104,-0.260619935385702,-0.0536118287527799,0.037248290816219,-0.964177628577381,0.123005919942807,0.398586254050815
"Listeria_Li_1 (GE) - TPM",-0.540822165812698,0.472665989691344,-0.58047843684814,-0.973004356672957,-0.359668007644085,-0.478696660559927,-1.51291483783918,-0.0917963266199379,-0.727755429912109,-1.30574996976672,-1.20919711471293,-1.14522644005476,0.626887344241458,-1.18674907301563,-1.09644302957028,-0.813286412639397,-0.426065158910514,-0.640853616895812,-0.257095522918053,-0.689051089769566,0.244359926946846,0.549637356101715,-0.564776195842482,0.325175782186055,-1.30002243879941,-1.08922846918736,0.680278566394878,1.1454457628086,-1.14747956674909,0.397358168772276,0.205502190987128,-0.593351492578651,-0.630248460253803,-0.889014840409049,-0.820690320084271,1.03449786527947,0.423557051635898,-0.335279026647696,-0.443965785109574,-0.728693410338902,-0.56198112339486
