"","SF5M90T_53","SF5M90T_105","SF5M90T_106","SF5M90T_107","SF5M90T_111","SF5M90T_112","SF5M90T_115","SF5M90T_138","SF5M90T_149","SF5M90T_151","SF5M90T_295","SF5M90T_297","SF5M90T_298","SF5M90T_321","SF5M90T_330","SF5M90T_331","SF5M90T_418","SF5M90T_419","SF5M90T_424","SF5M90T_556","SF5M90T_557","SF5M90T_626","SF5M90T_757","SF5M90T_777","SF5M90T_829","SF5M90T_854","SF5M90T_873","SF5M90T_977","SF5M90T_978","SF5M90T_1058","SF5M90T_1063","SF5M90T_1102","SF5M90T_1151","SF5M90T_1314","SF5M90T_1368","SF5M90T_1380","SF5M90T_1444","SF5M90T_1445","SF5M90T_1458","SF5M90T_1607","SF5M90T_1608","SF5M90T_1660","SF5M90T_1661","SF5M90T_1662","SF5M90T_1663","SF5M90T_1743","SF5M90T_1765","SF5M90T_1807","SF5M90T_1815","SF5M90T_1816","SF5M90T_1824","SF5M90T_1833","SF5M90T_1871","SF5M90T_1964","SF5M90T_2127","SF5M90T_2128","SF5M90T_2149","SF5M90T_2152","SF5M90T_2171","SF5M90T_2177","SF5M90T_2178","SF5M90T_2311","SF5M90T_2331","SF5M90T_2374","SF5M90T_2504","SF5M90T_2505","SF5M90T_2506","SF5M90T_2507","SF5M90T_2508","SF5M90T_2509","SF5M90T_2510","SF5M90T_2511","SF5M90T_2512","SF5M90T_2513","SF5M90T_2555","SF5M90T_2734","SF5M90T_2735","SF5M90T_2783","SF5M90T_2839","SF5M90T_2915","SF5M90T_2947","SF5M90T_2980","SF5M90T_3146","SF5M90T_3345","SF5M90T_3430","SF5M90T_3433","SF5M90T_3508","SF5M90T_3626","SF5M90T_3646","SF5M90T_3764","SF5M90T_3797","SF5M90T_3824","SF5M90T_3836","SF5M90T_3924","SF5M90T_3925","SF5M90T_4065","SF5M90T_4079","SF5M90T_4080","SF5M90T_4111","SF5M90T_4112"
"SHIF_As_1 (GE) - TPM",-0.276610350027281,-0.580280292766821,-0.494899380089662,-0.495997415067764,0.316432581939342,-0.204249124674959,-0.520415759888637,-0.0931566857200011,0.944582510279162,0.420592355078482,0.368381932035644,-0.543305377449832,-0.515825820657225,-0.66211440668106,-0.283837095396954,0.304658079446064,-0.225676062520534,-0.0556238565077391,1.45031429345122,-0.330190570143877,-0.0169609662027182,0.599309452348167,-0.354645714791427,0.0158452837873728,-0.41027055339797,-0.568102239739996,0.50529345687695,-0.324339609164619,-0.699947980983821,-0.0611668447701677,-0.228904489539276,-0.444995687564901,-0.43961780593073,-0.206558481823097,-0.353266529560436,0.408801370459586,0.333728051541778,-0.206559759828574,-0.776891148800584,0.383572605552076,0.177878777896776,-0.630398898674355,-0.667203230085436,-0.770146152857759,-0.902204331036103,-0.203809378323761,-0.663784545502099,0.0247372056662597,0.0926052753880042,-0.136510895973921,-0.38675134477566,-0.162311920049818,-0.166666666666667,0.257209109268996,-0.510339927401824,0.769326011130735,0.255348195070865,-0.237979188658328,0.802830893117005,0.167609651544014,0.356662827739894,0.722530499012586,-0.0419463365858343,-0.34720136294432,-0.172417902793613,-0.317819234210645,0.00631358857718663,-0.46147290815197,-0.302596868644443,-0.475972056908619,-0.499797810908115,-0.722656932651502,-0.555459565698791,-0.512359061286273,-0.362718802180228,-0.293471081497099,-0.24198870520349,-0.35095420864843,0.858999100862537,-0.215454205068012,0.480066447567548,0.762036117503477,-0.0435248592833172,-0.808956684677079,0.866683934066339,-0.0925847747206228,-0.401919160961823,0.623517054515599,-0.359122041198037,-0.425206088081906,-0.499873209067634,-0.0126395674590254,0.124378681699135,-0.261328751450553,-0.150554206832197,-0.429103383853635,0.115437050872803,-0.243371998699139,-0.176702112718567,-0.436104035544219
"SHIF_As_2 (GE) - TPM",-0.253222454245662,-0.585453968338878,-0.502827328707703,-0.489317661563492,0.294310334429777,-0.108891849530604,-0.516634446717572,0.100305532496728,0.839745823617143,0.465667920259619,0.285274034228409,-0.279134286821315,-0.396603412832867,-0.638046125651671,0.988544666948116,0.029701499212512,-0.0859092461855637,0.0541827829340851,-0.478767143487237,-0.296200522326841,-0.042918645512954,1.10755932268027,-0.316795222853592,0.106946203647661,-0.300154907368861,-0.609810775858005,0.371762800270875,-0.374115649703467,-0.211101764461299,0.936773188020867,-0.0466288284112277,-0.421668871382937,-0.455762260901789,-0.195841339107354,-0.358716301101449,0.201995040049484,0.393085526602294,-0.1376692733265,-0.245788619291596,0.0377210253100593,0.289764969923082,-0.664383303733357,-0.66276724409619,-0.728332409757658,-0.844965563652846,0.0467800245908708,-0.69217528319482,-0.094553792585038,-0.0562426745171892,0.0742694443142591,-0.30244641337809,-0.552987204798842,-0.166666666666667,0.762878233504898,-0.535100071725407,0.545724619800055,0.114259919638117,-0.0685179387219792,0.945531286906849,0.0978336634628156,0.93365559345396,0.326674569494909,-0.137549014107119,-0.308776208226258,-0.237797879027779,-0.333353225961117,0.365355737599976,-0.306273591253938,-0.298706416265759,-0.45739254415389,-0.473165161188142,-0.585030490341155,-0.519375343231297,-0.527888775967051,-0.315042570120503,-0.29656801421282,-0.220550903110134,-0.353048810995847,1.00908508135022,-0.184199357667253,0.575657724669641,0.168186871771806,0.0422892908310004,-0.716090098827479,0.513510210434732,-0.198513580732469,-0.401390487095369,0.722177755892151,-0.346246255167503,-0.429163146520426,-0.341913674983544,-0.200652231407752,0.342203135053407,-0.255395853120068,0.223492830098799,-0.361125319903826,-0.0797558198910594,-0.300188205948339,-0.283598104623699,-0.297573251981633
"SHIF_As_3 (GE) - TPM",-0.24034550704611,-0.625877502748504,-0.528471539333749,-0.58080077066938,0.114725270487819,-0.345982421491001,-0.563521828675308,-0.141316963452541,0.594458618508706,0.0562168942624158,0.326220586877946,-0.753657846412355,-0.448891447812787,-0.638430833095821,-0.44963217999322,1.47585499581623,-0.316111824795296,0.0333891204318128,-0.478767143487237,-0.302676583856686,-0.0648005221825458,0.119780574650643,-0.438718574575185,0.0421620222516326,-0.111059961387905,-0.66248060034465,0.373279697736739,-0.00320223731501876,-0.29857598317045,0.514786713782996,0.0359981924957308,-0.416553262079004,-0.486532198207574,-0.321579399584789,-0.53839644281024,0.242486257335313,0.521477962226925,-0.142300857810601,-0.322793615352973,0.275250902007121,0.126964905461493,-0.698005747223829,-0.680185988100739,-0.819986175775354,-0.955751700857497,-0.423101153737566,-0.779222780509116,-0.210104359858094,-0.0443425488987377,-0.0354670155706298,-0.396241995086817,0.55433080975389,-0.166666666666667,1.09398344035308,-0.521550702133169,1.12846550971062,-0.15587914070475,-0.143029902148269,0.641900055996756,0.17954283971348,0.301632368455891,0.215554295088039,-0.1849934683644,-0.376761822126271,-0.284561207175846,-0.389719485021066,-0.237506783543038,-0.560689337004267,-0.190654171834633,-0.510988690958215,-0.593864838133655,-0.625633954856021,-0.55768512911486,-0.539849192126983,-0.227297367161342,-0.299385590363694,-0.123597625942342,-0.331959971300751,0.644038611706503,-0.25640826580525,0.210483731671711,0.439388008726242,-0.121715810041341,-0.761158769618717,0.181774019001934,-0.221824674077915,-0.407854882848643,0.304575290000129,-0.442562934401,-0.410563709536949,-0.470760168865413,-0.578312920837469,0.0418741596165149,-0.317605735485863,-0.0120837218942182,-0.588296996442026,0.183943464018462,-0.304222209182867,-0.384113783144972,-0.293965024475198
"SHIF_Bs_1 (GE) - TPM",-0.561449124831664,-0.525849198451319,-0.483964937346024,-0.479740994481098,-0.30126262502812,-0.120959722114524,-0.559154999586748,-0.584247957145665,0.877931519606601,0.494888444880244,-0.674314409886037,-0.755847137705637,-0.531497979942596,-0.657719498534629,-0.710178344567255,-0.587586710132425,-0.304043165598211,-0.331722188927913,-0.478767143487237,-0.333523915271358,-0.0601877533584937,-0.590768443317822,-0.373634290166522,-0.390502444010682,-0.626595348540653,-0.30839368138947,0.673357885434833,-0.596759822180918,-0.224149696100263,-0.183597186817109,-0.623322475544318,-0.475321527513313,-0.462192881838413,-0.129130913369099,-0.305675632763708,-0.0871824396588063,-0.687315634876254,-0.386596411171482,-0.934909315412357,0.218768917927943,0.106503724833528,-0.631927980105534,-0.68398344181811,-0.786867237551151,-0.841597716456492,-0.136337930513376,-0.52126616993965,0.30748988153098,-0.261367667856074,-0.211063637092775,-0.452407565463124,-0.381353250129859,-0.166666666666667,-0.826604476578912,-0.645089232379817,-0.751380685549141,-0.975523436116624,0.0500082752123132,-0.208714840970843,0.403443295966905,-0.0555586640268996,-0.954911006923387,-0.394017065703763,-0.698623858434399,-0.0970410905549645,-0.314236122007718,-0.469366043956496,-0.331626310041847,-0.28371561287916,-0.225126996946511,-0.431036352508466,-0.682334646205012,-0.496679665083959,-0.626867399808247,-0.453689191467812,-0.313864435706171,-0.439165194312277,-0.379323003749615,0.032367694490159,-0.043219808197797,-0.139718469384476,-0.105446684204799,-0.0987107060705206,0.0302028261518857,-0.144948651212234,-0.285109755767452,-0.412017671261299,-0.0504221885827046,-0.327626464275625,-0.487706122565326,-0.618501494821121,-0.0320101847878266,-0.128114604999845,-0.347436786787107,-0.0929666805568057,-0.413610673716543,-0.30941771602287,-0.52044353858654,-0.54485260335852,-0.466267972196595
"SHIF_Bs_2 (GE) - TPM",-0.112567324925833,-0.507188699843062,-0.433673385526565,-0.460608478471096,-0.356457934282245,-0.120244092862632,-0.492860168440668,-0.286837337160501,0.34121238516395,0.212668890417911,-0.144666215092166,-0.626133955080696,-0.329438364663156,-0.604648590585651,0.306786637993732,0.281012152551743,1.10651121760689,0.884333596211428,0.71021917145291,-0.312861527108222,-0.0973980528570207,0.465286840406204,0.184954320889394,0.231813491916376,-0.572779559071686,-0.403121655015411,0.443117172546272,0.114329131425796,0.324159011936927,0.144065417636333,-0.496068286217156,-0.454590808769071,-0.4547061591949,-0.398066451085397,-0.0219416071487058,0.221202667393122,-0.200708610183441,0.0763266407024442,-0.329650384855949,1.42743749247412,0.871384493893646,-0.584250183285438,-0.672569172857246,-0.715585674945419,-0.674752171803504,0.641168480294397,-0.193696331785927,0.502781415391268,0.23276735574311,0.115344187083682,-0.368254745575924,0.281049705521118,-0.166666666666667,-0.297478843404866,-0.509368063911151,-0.747635664237229,0.467690670787117,0.515857474195772,0.298592730098788,0.37455391502503,0.62464888738959,-0.0454225622440673,-0.360627575678655,-0.463571609867001,0.0643612820574931,-0.0222176127141586,0.198260426532255,0.269745213652315,0.190318862182369,0.306555098253383,-0.491709576330848,-0.51456827361985,-0.432409669439366,-0.429888828973592,-0.2772354825639,-0.298650031141839,-0.366092333118193,-0.349041026015784,0.0633072905023365,-0.0635584212898592,0.0591655553466882,-0.295277907660067,-0.176124322149053,-0.186979892297809,0.376314301021828,-0.0507043940266448,-0.410540078335919,0.185289904650458,-0.308075310310224,-0.444709836062028,-0.325846136578119,-0.124196491164219,0.502399128231736,-0.341603419803054,0.740906231103647,-0.0172580501679225,-0.142535510640595,-0.361192429136057,0.148317018791389,-0.353063065127696
"SHIF_Bs_3 (GE) - TPM",-0.476162837967559,-0.566793322861547,-0.521113915266631,-0.485210990082991,-0.241850432058724,-0.105132768989558,-0.536281452968836,-0.344414907349156,0.191094703109132,0.718848475779127,-0.550927060869881,-0.715921321246435,-0.517247356571792,-0.656162140719704,0.981298816986105,-0.57378073383436,0.18175516551565,0.157869380197791,-0.478767143487237,-0.351542989810129,-0.294663755736958,-0.442957369923369,-0.465565602350219,-0.426959572716767,-0.570171785876706,-0.604145286126574,0.446246373230563,-0.272767782194406,-0.423741913254374,0.416223101986323,0.0533761070676649,-0.452425765237619,-0.506453063327809,-0.371667027537417,-0.387996081025428,-0.289145873803761,-0.51716299600192,-0.208921960739312,-0.58970617684419,-0.174714665703648,0.434110984682745,-0.614523128235029,-0.691802519507659,-0.769730869033294,-0.897440301664607,-0.457104409709996,-0.715249382012668,0.0638063494217694,-0.291680180515637,-0.0660588099244918,-0.375574267376024,0.197816632295012,-0.166666666666667,-0.457815807531542,-0.522429149355858,-0.335021450903437,-0.652229298978145,-0.523415063148588,-0.174044747048604,0.139610034648571,0.366128205131705,-0.0731381759540515,-0.445765875093741,-0.703040732369558,-0.0313714785578123,-0.360548302431934,-0.0152834666394903,-0.283901495408732,-0.0294565561010164,-0.178284258245061,-0.302894927858702,-0.560404928500834,-0.452109410653915,-0.527573833172707,-0.440503366218458,-0.327152191642129,-0.301097015014589,-0.368863999617132,-0.696758242021285,-0.148376711524837,0.199168456218118,0.203060615165196,-0.247450087420525,-0.380604582118026,-0.26221602627124,-0.365253018666794,-0.415881823961252,0.141306868779588,-0.550707827061214,-0.466008723125536,-0.458020597064915,-0.510826189912657,-0.197781312143293,-0.386675507180507,-0.279731326169513,-0.485222651128543,-0.172440520507159,-0.472364721828075,-0.319349336379894,-0.403308073301595
"SHIF_Ctrl_1 (GE) - TPM",-0.416379473748744,-0.530641172454003,-0.440236019591084,-0.450498426322417,-0.290725099705351,-0.189413137058952,-0.543084667291213,-0.307320926798882,0.355399245568804,0.153116109072577,-0.361075687819069,-0.570716335059992,-0.666650273815028,-0.642669207283034,-0.323771970786994,-0.153889325450904,-0.611726862284391,-0.585474863417952,-0.478767143487237,-0.305059042485841,-0.0317819611382888,-0.259523518390352,-0.236964958566447,0.017478201479192,-0.661273254530945,-0.583353517530657,0.393458637321468,-0.570447671027732,-0.192913664176634,-0.0935978987405517,-0.23392223202404,-0.477304031749397,-0.473535870741496,-0.375098322740359,-0.507178205201355,-0.142273476835177,0.080135664273269,-0.27474714678222,-0.807187253125218,0.253345039867076,0.124070139346904,-0.522562282725122,-0.630699924003448,-0.688092098013252,-0.777481887776536,-0.230189799915152,-0.527217547021992,0.254572622181011,-0.15572198526004,-0.0953161605244978,-0.41413736430795,-0.0241536472722941,-0.166666666666667,-0.841444305282008,-0.545317964327429,-0.869395447365478,-0.456576835602215,0.0844588044572396,0.0283798144990117,0.201675030182947,0.0502821033797449,-0.322940445490078,-0.108007621844464,-0.498125046640958,-0.0824700618151854,0.164799165856793,-0.161465559954015,-0.150148578116948,0.309895537608199,-0.324497900031403,-0.699130511560264,-0.611087696687964,-0.466624935391024,-0.562309878869208,-0.434101661045517,-0.242283019144444,-0.390065892222109,-0.376925515861101,-0.214457858810936,0.0677585332381866,-0.109048959042132,-0.100450164092935,-0.0839651240093507,-0.521386181414324,-0.374592227714591,-0.0405470846329291,-0.420140291721006,0.473494354824312,-0.441383432644559,-0.48949003541634,-0.444146162151689,0.278353010245734,-0.518963757473327,-0.29822576694474,-0.469562772653842,-0.028066461235723,-0.187300296941562,-0.55309582689033,-0.292840709055558,-0.543048650288094
"SHIF_Ctrl_2 (GE) - TPM",-0.286808636514118,-0.545196514181582,-0.415528981973036,-0.378698077237405,-0.229550579190022,-0.282639804440338,-0.47503038908055,-0.0294944826379057,0.26504564727636,-0.0876711123306333,-0.499397174251042,-0.852112836880391,-0.47358573921519,-0.659844517936453,-0.17384411678021,-0.813103919190779,-0.105368386379134,-0.257530858125349,-0.478767143487237,-0.315611726397915,-0.0146355244746349,-0.107502436089092,0.128654368228605,0.266877063401049,-0.611626371161146,-0.56667374107793,0.714049142683485,-0.108507249187354,0.32334894625093,-0.345945041470657,0.281157542667279,-0.456709771223063,-0.443440311992997,-0.475266367813817,-0.429971381074175,-0.123835660974071,0.414345430338204,-0.232527536338416,-0.706730777505824,0.475166041744489,0.432031387941475,-0.597366880041446,-0.6037199732644,-0.666757251186996,-0.825821274018845,-0.386050549907018,-0.522475368679591,0.0448764968912032,0.163145206620286,0.0475711752879056,-0.356492798424899,0.915900443990735,-0.166666666666667,-0.565097615618329,-0.593487534599277,-0.527742059707749,-0.26458578055527,0.0405209399906161,0.385762431910379,-0.0874670422499337,0.256748097918755,-0.470281765447304,-0.0778415897483752,-0.340056103890348,0.134441192321524,0.36465666945353,0.464642638246329,0.181538616846965,0.454652175294518,-0.319238284391554,-0.24791196214034,-0.480391993318255,-0.401050550174996,-0.496381137886579,-0.252610126670199,-0.257272351819839,-0.24316446055873,-0.394587836492338,-0.268158673418394,-0.0582026753227276,-0.262089606304303,-0.154705391961727,0.0370943622448049,-0.642041526782239,1.29434551030162,0.278731061290327,-0.422559829815654,0.631194517050962,-0.479967879709588,-0.475979801410243,-0.64637373927967,0.42100293804626,-0.0198071658423795,-0.272730881291856,-0.245061398752096,0.091006242853062,-0.00238543974962793,-0.354263146077278,-0.342014863206184,-0.576137243080889
"SHIF_Ctrl_3 (GE) - TPM",-0.378724601040704,-0.470448055663818,-0.366102475483403,-0.320045554800551,-0.299467576364938,-0.347812176316235,-0.505198073697221,0.0378393138700698,0.320379264884472,-0.0246377553259623,-0.640638731996765,-1.08836908637664,-0.635085271351761,-0.610601274898068,-1.29362990071122,0.159475373094542,-0.773281262371707,-0.882373792524486,-0.478767143487237,-0.344015875829418,0.0718698839523059,-0.0528294012219319,0.00582579749147017,0.268361035781319,-0.521901802347912,-0.527112782245255,0.771077915174245,-0.383289833298586,0.464434626096782,-1.27239575089335,-0.25817320482322,-0.469514685774806,-0.460279026122618,-0.559964081539182,-0.662372508278418,-0.210524548954895,-0.605705855161894,-0.32651917543478,-0.755758492095466,1.31820298996242,0.505380834268687,-0.590437725867706,-0.617390506863983,-0.67677198295978,-0.908579599172526,-0.415513069680612,-0.433557794868577,0.361914890969512,0.136517827797196,-0.116359261254459,-0.465860568778694,-0.451629495855998,-0.166666666666667,-1.03418945486368,-0.360554529558552,-1.12179056145917,-0.190769241774184,0.171773157158504,0.613747586239513,0.12177308248956,0.0286229039812793,-0.616869430072919,0.0779991131914704,-0.452470466977083,0.0251911721049655,0.337964465654826,0.451002638576864,-0.191915556799033,0.393712104509202,0.0122569298059182,-0.568753485755896,-0.354135175770391,-0.195939082517,-0.539247443139255,-0.286514241003112,-0.164412590328578,-0.34181913102187,-0.361795762056673,-0.0741677764353595,0.354630655639585,-0.291360137133917,-0.514562535154445,-0.149413701961796,-0.723735938747371,0.728693435343521,0.419852462827542,-0.407392995438319,0.725425484603824,-0.495847830930124,-0.48197410981949,-0.561120634984857,0.748041874882297,0.116636643366443,-0.29416628652441,-0.113152944963325,0.335389285681871,0.0163816122949824,-0.476929558096559,-0.526919278924424,-0.301296172140834
"SHIF_Li_1 (GE) - TPM",-0.342908818692381,-0.442182966822664,-0.40047176179571,-0.387828740423692,-0.104505742028883,-0.315283527357924,-0.545506825568865,0.460367770005518,0.612309841309703,0.187625670336779,-0.952735585507863,-0.68217391191341,-0.207103516507919,-0.613702823206949,-0.809144306165712,-0.778548768249843,0.185192978612926,0.0207927096327624,-0.478767143487237,-0.0550721790448245,-0.127097530798456,1.01478955400127,0.309876495546213,-0.124752471132505,-0.670134768616958,0.207162487495315,-0.558767072919482,-0.468055402442026,-0.435484765470944,-0.941735824896298,-0.653537369788792,0.349832244596733,-0.318566902702632,-0.222591435963655,1.78894292765301,0.280017080296244,0.164739703091302,-0.202275638099793,-0.272283102498601,-0.22583711163051,-0.351638858492931,-0.250816906192264,-0.0860344059281751,-0.0754149401588444,0.140245368743586,-0.442390886779801,-0.196291724756804,-0.268104151698948,-0.151734501366178,-0.384066274722251,-0.310817380863197,-0.666958542167726,-0.166666666666667,-0.494920772958441,-0.413502969721248,-0.869692211430933,-0.772439489234256,0.438478770781086,-0.0624973836630982,-0.577907268825043,-0.190470062823961,0.622849649582517,-0.29072019614744,0.720472772131836,-0.401077508233896,-0.146779495048257,-0.773006708155718,0.039966620121238,-0.495707839962526,-0.869498845417596,-0.214700755422791,-0.448231255175828,-0.439129904623202,-0.304635911745975,-0.0117847064297675,-0.358145311727222,-0.495667949326045,-0.333383217128408,-0.202051808968335,-0.162766489051577,-0.675302410159622,-1.05196154549419,-0.105795248823659,-0.0794223900182663,-0.764196528483589,0.634598374312739,-0.331028115267641,-0.497453354529221,-0.00714753980806586,0.607220947192265,-0.472598604583038,0.661099503275638,-0.505272036071304,-0.301607778654684,0.0127539628946472,-0.255185338622681,-0.36454300470913,-0.192495277389118,0.174977653291459,0.179331163763466
