"","CE206_RS00005","CE206_RS00230","CE206_RS00695","CE206_RS00705","CE206_RS01070","CE206_RS01085","CE206_RS02330","CE206_RS02335","CE206_RS02345","CE206_RS02350","CE206_RS03700","CE206_RS03730","CE206_RS03900","CE206_RS04125","CE206_RS04180","CE206_RS04290","CE206_RS04510","CE206_RS05790","CE206_RS05995","CE206_RS06480","CE206_RS06865","CE206_RS06910","CE206_RS06915","CE206_RS06920","CE206_RS07105","CE206_RS07110","CE206_RS07115","CE206_RS07125","CE206_RS07175","CE206_RS07205","CE206_RS08005","CE206_RS08025","CE206_RS08180","CE206_RS08185","CE206_RS08190","CE206_RS08200","CE206_RS08350","CE206_RS08480","CE206_RS08530","CE206_RS08815","CE206_RS09175","CE206_RS09255","CE206_RS09330","CE206_RS09390","CE206_RS09460","CE206_RS09575","CE206_RS09580","CE206_RS09825","CE206_RS09860","CE206_RS09955","CE206_RS10020","CE206_RS10125","CE206_RS10605","CE206_RS12630","CE206_RS12955","CE206_RS13285","CE206_RS13875","CE206_RS14615","CE206_RS15130","CE206_RS15280","CE206_RS15400","CE206_RS16225","CE206_RS17430","CE206_RS18455","CE206_RS18460","CE206_RS18470","CE206_RS19625","CE206_RS19955","CE206_RS20815","CE206_RS21050","CE206_RS23015","CE206_RS23325","CE206_RS23335","CE206_RS23340","CE206_RS24550","CE206_RS24695","CE206_RS25465","CE206_RS25470","CE206_RS25540","CE206_RS25815","CE206_RS25880","CE206_RS26050","CE206_RS26370","CE206_RS26800","CE206_RS26810","CE206_RS26980","CE206_RS27065","CE206_RS27290","CE206_RS27300","CE206_RS27535","CE206_RS27740","CE206_RS28285","CE206_RS28305","CE206_RS28330","CE206_RS28335","CE206_RS28340","CE206_RS28345","CE206_RS28350","CE206_RS28355","CE206_RS28460","CE206_RS28480","CE206_RS28495","CE206_RS28535","CE206_RS28560","CE206_RS28575"
"ACHX_As_1 (GE) - TPM",0.566619027452958,0.150848855549751,1.89749948818836,0.350698411639956,0.244301727562095,1.38044084788816,-0.0211622942902757,1.05381925708854,-0.419754660627365,-1.54079275718694,-0.073822844188788,2.54022646389836,0.595905201702585,-0.810673565881241,0.637362607539545,-0.540477333016468,-0.830309493353923,0.265233483614741,-0.626330329509247,-0.963707893339693,-0.326833454417863,-0.14460589292166,0.562235337743501,0.377646279156876,0.0303696950216714,-0.0931051251671166,-0.763282986867118,-1.02512077019462,-1.49103262115369,-0.151154463737452,-0.740739968677134,-0.182191840172232,0.408557928862728,-0.898990489627439,-0.911919224446689,-0.925181549350677,-1.2520086233195,2.09697554030293,-1.0454130071206,1.11839302255467,-0.410037624871958,-0.167157859334621,0.222849610465008,-0.787481131982227,-0.103266424460928,0.844646138414918,-0.388096442512378,-1.31227316228969,-0.0243873549853225,-1.01674149760746,-0.393739106979772,-0.413286415839901,0.257095928700602,0.243792120302596,-1.39497326055293,-0.377693905314213,-0.666299121985851,0.829572253757815,0.357416789435776,0.780931144829639,-0.332048697263409,-1.04082373907649,2.45536938127731,0.140234232102942,-0.538371064589345,-0.395166336919681,0.326344791978801,-0.826711424284414,1.30155345808506,0.125954139567088,-1.15015097858874,-0.0471685545880997,2.01784336570263,0.923258547116487,0.604807575609191,0.730616986963645,0.689679660000051,1.31188961128667,1.48177623532812,0.840183563196235,-0.316663345366372,-0.505365012743207,2.1515112175425,0.459682055930627,2.92489361142937,-0.541110129549677,0.452588170359328,1.73678812667748,0.278163949892273,-0.180106808594983,0.226713585562187,-1.31977028859991,-1.14216296709329,-1.38498624674089,-1.08223301947556,-0.874502009849091,-1.02997449829601,-0.677096423522324,0.786128977898198,-1.22639694084188,-0.735253346173708,0.0419809082562947,0.151367997703052,0.299115927444007,-0.235110762280183
"ACHX_As_2 (GE) - TPM",-0.228370800578014,0.182970202493866,1.15817785594309,-0.660636317602939,0.514452261402815,0.428843753903428,-0.626434521720844,0.741603283162831,-0.485988293655719,-0.697055194778001,-0.737697847056993,1.6372979985503,-0.043370466391091,-1.44500031732451,-0.226313213535143,-0.358258505917071,-0.398114555104564,-0.581865206160844,-0.728487723541007,-0.0958955581063109,-0.00507507831671295,0.079377623613994,-0.185487153135692,0.109707282594904,-0.491236942263901,-0.436345248353483,-0.228541811042211,-0.76507915816538,0.643156946554417,-0.534250115717722,-0.420978795075637,-0.0342057283969683,-0.322949445297285,-1.05853137557286,-0.504174080148946,0.0456700902067305,-1.12823557872007,1.18146750899147,0.245755996347408,-0.0380613907926068,0.233403334557599,0.326144750182636,0.167282184546186,0.794550110568424,-0.513604204446644,-0.164311394747498,-0.76038658364351,1.51690166887003,1.43579463802514,-1.32809876852776,-0.0936643780997157,0.269664072905716,0.130663676576665,1.27157235820765,-0.270118542464903,-0.377693905314213,-1.27663068682152,-0.379317589335925,-0.5234128935537,1.55209656018481,-0.332048697263409,-0.289741296519599,1.45559226449043,-0.411353455350986,-0.890134010472502,-0.562894882582155,-0.0164972441733797,-0.764943624028619,-0.756074612723401,-0.496368650440284,-0.762099954677236,0.139000876202904,1.14260831905591,2.41963010353952,0.109799298962091,0.155416103116849,-0.192574873258946,-0.492126313932512,0.966589532336653,-0.434527103722002,0.905238708314425,-0.505365012743207,1.96864460312517,0.0292255681646598,0.863995555859655,-1.30081598091288,-0.0729755433366612,1.76252211200074,0.282547228192623,-0.360174091657941,-0.385696695291668,-1.30366354221724,-0.753680149631467,-0.818260400807206,-0.781632448715895,-0.545313074309844,-0.728351970398433,-0.89135178575679,-0.299665928327027,-0.947227826765726,-0.983979871073334,-0.325331842313718,-0.364032916279844,-0.645444452804328,-0.243354203305243
"ACHX_As_3 (GE) - TPM",-0.260404594067146,0.597560609660363,-0.420527100193537,-0.85845721096356,0.270386023943902,0.528422696165384,-0.649640781365169,1.32820733235927,0.00690354943861229,-0.133230776339203,-0.50783100523325,1.21682937241743,0.253714204987999,-1.13959318134631,-0.05370559417589,-0.471410763113715,0.119652757724193,-0.328553543606623,-0.620442121091528,-0.169908518604077,-0.268843371978442,-0.402892941762651,0.127640477430589,0.727353244772062,-0.604915353504703,-0.476792256358163,-0.598371386700125,-0.638018303253748,-0.44762750880485,0.277558432597066,-0.656383341644022,-0.0379868610397639,-0.110280736107702,-0.7100603084852,-0.285526525746702,-0.658504291901169,-0.981357765542145,0.672977511959562,-0.433305849994777,0.547055187473712,-0.327166965681625,0.0035259515831304,0.0475542560820966,-0.983687584599693,-0.396347372096177,-0.16051889770302,-0.567816532018706,-0.0993658247287649,0.513242519433657,-0.662734067282092,0.223621476130443,-0.685426378459276,0.102624076626245,-0.0316267248315519,-0.810906245048838,-0.377693905314213,-1.14556089833735,-0.493962587515541,-0.256480657688992,1.58219839556365,-0.332048697263409,-1.01771344214828,0.947361288565528,0.113566088914593,-0.309034675301399,-0.289901330084027,-0.203918329199002,-0.340470361746333,-0.833915938970551,-0.496368650440284,-0.923656264852265,0.51559965530769,0.21926115961053,-0.513225364307609,0.779492214422844,0.00174601314894709,-0.843389578461891,-0.447905990360585,-0.16656917626349,-0.251607297654549,0.352303710720989,-0.182113442576096,1.05238530645955,0.193544805409477,0.301115805206417,-1.17965795942383,0.0758100018707496,0.629980763041501,0.261206223104707,-0.416689139417248,-0.363606591153532,-0.962363165426675,-0.72374945153271,-0.563337160782306,-0.495221022586904,0.00771444733990623,-0.263804284450704,-0.532758475882316,-0.43340872681955,-0.508756943001717,-0.752623004512122,-0.291181825424889,-0.448774747217021,0.0774598762977746,-0.298712426291825
"ACHX_Bs_1 (GE) - TPM",0.0458071808959193,-0.475398649368717,-0.323482513791287,-1.07685664233546,0.422478735589327,1.00856778916891,1.06680679692559,0.205695155641474,0.192980101278771,0.863106090619963,0.905668173738031,0.202854832696471,0.892179749346456,-0.59831055326606,1.36355975104052,-0.532392529102456,-0.264492949859614,-0.505308023491868,0.0595143044830935,0.500121398169184,1.30649880096337,-0.102839690628899,0.15898850930404,1.09810921973565,0.240527340373157,0.380408172967623,0.513202807273528,-0.132726587233839,-0.690704272467867,1.27102961995265,0.681468003038286,1.05558638295328,0.0208038491287647,0.0284759123738632,0.602138910123078,0.36540229113181,0.123524428364432,-0.000265743306443965,-0.961036385964784,-0.403083961426365,-0.809522615978415,2.50795932200096,0.156839986020861,-0.982241968987553,0.232026612133195,0.290716822923631,0.15630842546918,-0.955435621114889,-0.723417926467995,0.967126899150638,0.738890212837579,-0.317571379606441,-0.23405622858066,-0.885099924763318,-0.398756967461688,-0.377693905314213,0.0993484118278379,0.277795692933997,-0.613398845089317,1.13349435713813,-0.332048697263409,-0.0231764586376476,1.02173221767297,0.703892371130147,0.451793272967962,0.089045387502731,-0.578628544023906,-1.05065103725906,-0.424576661364867,-0.496368650440284,-0.78800298671601,-0.652072159519407,-0.0830066606623746,0.467782150510063,0.465055110121252,1.10312638940921,-0.778351820590855,-0.352323474618876,0.294344094639521,0.733316077673806,-0.686323987393391,-0.505365012743207,0.331180547575622,0.587068327378567,0.196338592907375,-1.57229884149295,1.05960633188831,0.669133218735223,1.2790993795154,0.106412613800493,-0.624038999348006,0.639373696321654,1.13497773695521,0.28131544218311,0.0969132792945052,-0.147281000269286,0.441000375658159,0.244103135098209,0.105552926529325,0.136211881418453,0.531113750552643,0.404409645885454,0.711787078157313,1.15944489806956,0.071721561597904
"ACHX_Bs_2 (GE) - TPM",0.0643026031106805,-0.259160870046084,-0.224532723843681,-1.15873348938466,0.435173339974463,1.0791969038256,0.876477399762911,0.0316366709350997,0.124701823401039,0.566752256878848,0.938060515794978,0.33380473360925,-0.288599372633914,-0.378313719269082,0.797280016746718,-0.368220391477023,-0.0749668558590884,-0.588268034320298,-0.0348991776069066,0.463746824528519,0.671224551828802,-0.53231722957176,0.385759965557748,0.869693916828437,-0.126524038092734,-0.0716728415091773,0.203992054440682,-0.037698619993826,-0.775236725082084,0.933211461461214,0.504465847528763,0.913311896215287,0.00700204818852342,0.132070464674927,0.949733689191397,0.305169545944119,-0.602577553843997,0.361108078230141,-0.883814602184715,0.109578470564021,-0.84312758976319,2.10975790554085,-0.0536201148240031,-0.332118200746519,0.378269117163582,0.335888116647881,-0.0310895276819085,-0.451206126940002,-0.753919113666674,1.09515119087453,0.691722354221367,-0.505626644547923,-0.373414553395439,-0.885099924763318,-0.684053237035267,2.39460618890304,0.24121393203424,0.248749101605161,-0.907211573273462,0.755015714817804,-0.332048697263409,-0.162753534346882,1.06446099406966,0.501438864287658,0.418345375227374,0.0672282806259283,-0.328879041151784,-1.00890070829628,-0.397434216283606,-0.496368650440284,-0.860920949006482,-0.420838150789959,0.038781007444327,-0.0832218542979144,0.2347797621703,0.779250484390403,-0.919916283466655,-0.740017319507612,0.181548038412399,0.651283509330436,-0.480036425639393,-0.505365012743207,-0.190716917873668,0.324573980402025,0.087527344783039,-1.2033630989661,0.810839710433482,0.651250314326787,1.33983509711089,-0.0267956520772363,-0.788833793285305,0.891587215953807,1.13808460231989,0.193539881166472,0.00763304247138327,-0.0630933240398111,0.218301596188869,0.169759434347868,-0.00956769230178834,0.0784869107725372,0.770970946080897,0.371359322427491,0.642113924982383,0.788554437556918,0.21600805362235
"ACHX_Bs_3 (GE) - TPM",0.0647061300333758,-0.644153587899312,-0.263962767037247,0.108347227869067,0.789054834122248,1.03428967856877,1.43322550587255,0.19721744848282,0.149724913367855,0.908412697839231,0.996559918690487,0.0887717294459364,0.364335036093195,-0.309189886669638,1.42619829019226,-0.657157505743463,-0.339538277238974,-0.437707172354673,0.0439977611442183,0.343503503802557,1.81114523169296,0.184049992980748,0.37621775834873,1.08551654558036,0.469778547942197,0.812982850453185,0.797810273251216,-0.103879437670776,0.0781210304387685,1.14950976446522,0.654622857077771,1.31773404578263,-0.0434023361762921,0.110948089551102,0.594124970067913,0.537770930774424,0.338820986596824,0.0126550012827,-0.918070647072106,-0.581126403959407,-0.899978587832488,1.93101212719831,0.289933080806108,-1.25112819557654,0.575344933126294,0.350230035664433,0.350085153798646,-1.31227316228969,-0.802236537419428,0.817425332035656,0.671140433392879,-0.285228435602457,-0.0528995786946055,0.847869837110249,-0.612395436554946,-0.377693905314213,0.0923001133969237,1.04651845018858,-0.531099567534577,0.885245017909987,-0.332048697263409,-0.469848343944084,0.562826389973812,0.870568892981461,0.354710723931365,0.102005203023944,-0.364994000540975,-1.03782298641875,-0.0183894945249524,-0.496368650440284,-0.786151914993429,-0.639773932949774,-0.103690658305043,0.62005933480384,0.631989561147526,1.19941759525595,-0.663147172181629,-0.262310417875618,0.533564484113972,0.637043543399392,-0.448171834524472,-0.505365012743207,0.61469561285213,0.775111793059825,0.338869645151685,-1.26200146027288,1.03222063004298,0.678146836081561,1.38482992310441,0.299090165601205,-0.480314115530964,0.370161589057625,1.12670207016036,0.34375559430794,0.176756751160507,0.107263774437062,0.467469305262328,0.34958176389068,0.220092934118541,-0.0321089054540643,0.399829669099453,0.39809845048794,0.735015788839894,1.30080420840542,-0.0485554115602809
"ACHX_Ctrl_1 (GE) - TPM",0.252920515956805,0.0424430726808169,-0.356507897528449,-0.484542227143448,0.341815964348496,0.321706523557997,0.830988961268773,0.44874451957666,1.09055501499485,1.56956636844859,1.37387891123293,0.0116271324184137,0.00747831396259994,-0.277534262660523,-0.0710100912737145,-0.666561843492403,0.607675072555707,-0.53252715359853,-0.421052216794807,1.31791463309232,0.329130485670126,-0.364823176165131,0.786893702269343,0.540940807463686,-0.0362666564988479,0.624056042252186,0.861240058591463,1.20119875993203,-0.760948117999654,0.576007014673283,1.07883750267771,1.17024920070264,1.05988663964625,1.37842340905692,0.75504651003879,0.20469391119724,-1.26788437434463,0.6906288478893,-0.331114078437922,0.328050745778704,-0.6323249139413,-0.343756738581745,0.403889576497996,-0.747976354842212,0.126321046330295,0.418934029696049,-0.068943261659566,-0.221844172786563,-1.23246503101238,0.880794484142686,0.897708900887271,-0.529833050149432,-0.355113882236746,-0.535107901592801,-0.607573206572175,0.176636012807222,0.942476597461694,0.562084119740941,0.423513019558188,0.309945550112785,1.60982163925626,0.181014522592863,0.621327741770889,-0.396656133194335,-0.267446440487702,-0.26994940238698,0.368156221742567,-1.0233839673824,0.379283499854361,-0.110489391283062,-0.83987504797886,1.91134653079495,0.365566903325561,-0.720324277135818,0.425062316186513,0.802885436182626,-0.688089485919964,-0.89706700022464,-0.343845686864637,-0.000523051558948473,-0.610645519352299,0.289988403883868,0.220312215853127,0.144771407334566,-0.104784472108234,0.674887340394463,-0.187777328992445,-0.37536245185633,-0.196535369411184,-0.247229447384223,-0.673613093884017,1.17389223231885,1.26429221592255,1.1416070468331,1.29447780091693,1.23292554337309,0.963930487183578,0.876905962633536,0.424788750604403,1.10912063784608,1.34878520258211,1.1835116796338,0.776424821418325,1.64638509347234,0.654726415248165
"ACHX_Ctrl_2 (GE) - TPM",-0.0923486391473129,-0.0202102745607934,-0.501123437743204,0.746155737698717,0.675938659886865,0.21120656567447,0.253848018637753,0.251735396767095,1.15852909137663,0.815023604257743,0.430614109904958,-0.0403031220092404,-0.120824308083146,-0.198980010871578,0.939645689183489,-0.40963812900932,0.399913024095045,-0.303076982161396,-0.233603733133339,0.635342864698096,0.652857051099265,-0.217195421522645,0.570782416165404,0.917987503229573,0.34423398949143,0.695386304503369,1.09328224823781,1.05782693320484,0.54602473134502,-0.079309369781404,0.436901874056337,0.693200469815581,0.346132949471922,0.711811598816331,0.0257746638963731,0.583681543569223,-0.546446451237046,0.275079106757837,-0.312523332445078,0.29149403666093,-0.64296526132169,-0.236565337220443,-0.0644777247459735,0.0441429615159856,0.130974768392171,0.371588979328648,0.0692655165794038,0.335218758250956,-0.066101055083876,0.322094586117602,0.314700725022688,0.120390660847274,-0.284034614705559,0.510320756005814,-0.594245891122376,0.948376487412004,-0.17717659246111,1.09228741041668,0.534600349706443,-0.0170259909286464,-0.332048697263409,0.501535954023783,0.128987130642064,-0.6735078972877,-0.407699752016896,-0.349105486365583,0.535685427983829,-0.985987092107599,0.770285205472989,0.119032686996372,-0.481919610931795,0.747684153959222,0.440972933770334,0.397071500740463,0.169711125651621,0.618831600244623,-0.759849097677151,-0.729228864328925,0.250984394147994,-0.0786141354584182,0.22152231873078,2.03149876417346,0.289032591802516,-0.167329077626385,0.240840666194262,-0.144397061304866,-0.480887219952196,-0.0593391164773528,-0.1245695639449,-0.202123250026828,-0.736691905296077,0.00836141052045991,0.853583682127568,0.41259212510844,0.654361417724948,0.402388003994672,0.292871291249008,0.389051012567621,0.0312095330473273,0.451311170364399,0.266064754633823,0.533689832062337,0.159519994848048,1.48739597356235,0.445628795369243
"ACHX_Ctrl_3 (GE) - TPM",-0.0125023536364618,0.265853015094528,-0.745367479664566,-0.104642536064488,0.701209733504768,0.0406353718991478,0.317599215768161,0.872583350946531,0.503950857669503,0.804344613611967,0.0459640322510997,0.755665273276872,0.688614727043517,0.0478677758960884,1.38855860651826,-0.534100949445835,0.566403697309213,-0.133940211084483,0.0231335518748517,1.032675304983,1.01866168563824,-0.146557647592107,0.311615318271117,0.626003712455751,0.415315745218114,1.96664829831609,1.68308970818777,1.09923538879394,0.729454913224563,-0.0814937318693115,0.213873570189267,0.852025552554086,-0.047093711543226,0.214871346454318,0.0373721578264364,1.60563589981249,-0.421521542877692,0.616238040887359,-0.454079939822368,0.307291154999275,-0.396032089436829,-0.371893578518572,0.352919494327252,-0.10186766245716,0.69049338973445,0.335357394938823,0.191876179725974,-0.288010039572194,-0.508154500676295,-0.272041793827814,1.0478157338935,-0.24446486049477,-0.117607080234231,0.286089566636469,-1.51895539157203,-0.377693905314213,-0.528213391381868,1.15446140945768,0.228954437542939,0.60849235819406,-0.332048697263409,-0.0334565486375849,0.807092763989206,0.107662497541859,-0.0106627412441204,0.380509059792158,0.325773291974507,-1.01365081339388,0.0785195020246594,-0.496368650440284,0.0543804797719849,0.61827935466269,0.314297758646306,-0.720324277135818,0.552142558581398,1.23069441325181,-0.825798206352925,-0.36080821666378,1.13365651222804,-0.13326945195938,0.45058454821406,0.381807173240935,1.31602918344045,0.155152160253132,0.133948630557287,-0.111390512484019,-0.345339812279112,0.249165927146745,0.636142172436592,-0.120528562981865,-0.409773624184774,0.622031170799006,0.162022473526938,0.519185291082823,0.266119206109381,0.234682364005011,0.297214321087497,0.231386571089453,-0.100038949771198,0.438821820066372,-0.212459267883835,0.213115639471338,0.10755682194248,1.1721917807461,0.237225561748559
"ACHX_Li_1 (GE) - TPM",-0.694436650265525,-0.0997100057158703,-0.48066220035569,0.571828963755401,-1.05652451230589,-0.0235145829634735,0.0940110053099889,-0.702916782651697,-0.62908670955747,-0.159455178685306,-0.916294121830992,-0.532465221499833,-0.264200478087341,0.401525088582847,-0.890931779205647,-0.957085171086181,0.994492193315229,-0.690336224396897,0.894972730571924,-0.898907600457679,0.772974436363075,1.08533540327078,0.209067705635364,0.178921050104488,0.57926202840243,-0.00199202179166904,-0.0585135449695596,-0.463514544069651,1.13603781829626,0.0500030876212364,0.439631057420119,-0.570564764204394,-0.946281965973668,-0.494661337097337,-0.750759361188708,0.53465813814025,-0.835951827706942,-0.22537468423061,0.301432702957753,-0.310414001856585,0.381816196271305,-0.422334728041577,-0.755530725387214,0.322524485143015,-0.197773277757326,-0.437856942933731,-0.0510910895895263,-1.31227316228969,0.111986611884753,1.56667228990471,-0.413137321905451,-0.267656998441329,-0.840516487406031,-0.885099924763318,0.740834073281107,-0.377693905314213,-0.428212777045077,-0.10393353256163,-0.129871781689587,-0.616238678323826,-0.332048697263409,-0.185327452378958,-1.29059468588071,-1.41246611371991,-1.38019723545592,-0.952332357323942,-0.277803290068411,0.842323755121932,-0.800913847391111,-0.496368650440284,0.637721683683834,-0.0489069945124424,-0.995940280385176,-0.720324277135818,-0.0534708606804277,0.341659871247609,0.418666244595204,-0.774990287094175,-0.386826068825268,-0.167781724612165,1.04690419762038,-0.505365012743207,-1.93182330115711,-0.92208292341227,-0.681735468012911,-0.739828649073114,-0.529064422693102,-0.797082276225394,-0.147608695057974,-0.717135528783405,-0.247808860037507,0.111854423923783,-0.161878516367285,-0.490264368452341,-0.560995744317023,-0.418197311634367,-0.334306318739894,-0.494062857656857,-0.661782515476023,-0.590185224937236,-0.813089154404976,-0.782829013850406,-1.1271406573418,-0.234295735410549,-0.429819414405342
