"","E2348C_RS00335","E2348C_RS00630","E2348C_RS01185","E2348C_RS01525","E2348C_RS02075","E2348C_RS02245","E2348C_RS02250","E2348C_RS02335","E2348C_RS02350","E2348C_RS02355","E2348C_RS02360","E2348C_RS02630","E2348C_RS02635","E2348C_RS02640","E2348C_RS03185","E2348C_RS26405","E2348C_RS03190","E2348C_RS03195","E2348C_RS03545","E2348C_RS03550","E2348C_RS03575","E2348C_RS03580","E2348C_RS03590","E2348C_RS03620","E2348C_RS03680","E2348C_RS03690","E2348C_RS03765","E2348C_RS03855","E2348C_RS26450","E2348C_RS04030","E2348C_RS04120","E2348C_RS04125","E2348C_RS04530","E2348C_RS04665","E2348C_RS04985","E2348C_RS05080","E2348C_RS05245","E2348C_RS05255","E2348C_RS05260","E2348C_RS05265","E2348C_RS05270","E2348C_RS05290","E2348C_RS05300","E2348C_RS05305","E2348C_RS05310","E2348C_RS05365","E2348C_RS05390","E2348C_RS05440","E2348C_RS05445","E2348C_RS05510","E2348C_RS05515","E2348C_RS05570","E2348C_RS26555","E2348C_RS26560","E2348C_RS05715","E2348C_RS26565","E2348C_RS05725","E2348C_RS05730","E2348C_RS05735","E2348C_RS26575","E2348C_RS26580","E2348C_RS05755","E2348C_RS05760","E2348C_RS05840","E2348C_RS06100","E2348C_RS06260","E2348C_RS06265","E2348C_RS06270","E2348C_RS06595","E2348C_RS26650","E2348C_RS06725","E2348C_RS06820","E2348C_RS06960","E2348C_RS06965","E2348C_RS06970","E2348C_RS06995","E2348C_RS07070","E2348C_RS07135","E2348C_RS07810","E2348C_RS08070","E2348C_RS08110","E2348C_RS08175","E2348C_RS08355","E2348C_RS08360","E2348C_RS08420","E2348C_RS08430","E2348C_RS08540","E2348C_RS08545","E2348C_RS08620","E2348C_RS08875","E2348C_RS08945","E2348C_RS09000","E2348C_RS09075","E2348C_RS09100","E2348C_RS09210","E2348C_RS09375","E2348C_RS09430","E2348C_RS09520","E2348C_RS09565","E2348C_RS09575","E2348C_RS09700","E2348C_RS09705","E2348C_RS09710","E2348C_RS09715","E2348C_RS09720","E2348C_RS09740","E2348C_RS09755","E2348C_RS09780","E2348C_RS09815","E2348C_RS09825","E2348C_RS09835","E2348C_RS09905","E2348C_RS10000","E2348C_RS10015","E2348C_RS10020","E2348C_RS10105","E2348C_RS10170","E2348C_RS10175","E2348C_RS10200","E2348C_RS10250","E2348C_RS10300","E2348C_RS10320","E2348C_RS10445","E2348C_RS10500","E2348C_RS10535","E2348C_RS10800","E2348C_RS10805","E2348C_RS10810","E2348C_RS10815","E2348C_RS10945","E2348C_RS11065","E2348C_RS11465","E2348C_RS11895","E2348C_RS12210","E2348C_RS27175","E2348C_RS12315","E2348C_RS12415","E2348C_RS12640","E2348C_RS12680","E2348C_RS12820","E2348C_RS13045","E2348C_RS13100","E2348C_RS13115","E2348C_RS13120","E2348C_RS13125","E2348C_RS13275","E2348C_RS13280","E2348C_RS13355","E2348C_RS13535","E2348C_RS13540","E2348C_RS13615","E2348C_RS13625","E2348C_RS13770","E2348C_RS14185","E2348C_RS14200","E2348C_RS14220","E2348C_RS14280","E2348C_RS14290","E2348C_RS14300","E2348C_RS14305","E2348C_RS14625","E2348C_RS15690","E2348C_RS16390","E2348C_RS16445","E2348C_RS16455","E2348C_RS16460","E2348C_RS16655","E2348C_RS16910","E2348C_RS17220","E2348C_RS17315","E2348C_RS27545","E2348C_RS17330","E2348C_RS27550","E2348C_RS17335","E2348C_RS17340","E2348C_RS27555","E2348C_RS17500","E2348C_RS17505","E2348C_RS17740","E2348C_RS17745","E2348C_RS17750","E2348C_RS17885","E2348C_RS17935","E2348C_RS18045","E2348C_RS18070","E2348C_RS18340","E2348C_RS18345","E2348C_RS18350","E2348C_RS18365","E2348C_RS18680","E2348C_RS18910","E2348C_RS18915","E2348C_RS19775","E2348C_RS20545","E2348C_RS20550","E2348C_RS20570","E2348C_RS20575","E2348C_RS20580","E2348C_RS20650","E2348C_RS20960","E2348C_RS21095","E2348C_RS21100","E2348C_RS21105","E2348C_RS21110","E2348C_RS21115","E2348C_RS21120","E2348C_RS21125","E2348C_RS21130","E2348C_RS21135","E2348C_RS21140","E2348C_RS21145","E2348C_RS21150","E2348C_RS21175","E2348C_RS21180","E2348C_RS21185","E2348C_RS21190","E2348C_RS21275","E2348C_RS21280","E2348C_RS21355","E2348C_RS22075","E2348C_RS22485","E2348C_RS22535","E2348C_RS22540","E2348C_RS22545","E2348C_RS22665","E2348C_RS22950","E2348C_RS22955","E2348C_RS23195","E2348C_RS23610","E2348C_RS23930","E2348C_RS24285","E2348C_RS27990","E2348C_RS24415","E2348C_RS24475","E2348C_RS24960","E2348C_RS25895"
"EPEC_As_1 (GE) - TPM",0.13279479468048,-0.212230442871825,0.189010477817489,-0.688685372632887,-0.466929665217373,0.176102982451711,-0.47871715067896,-0.31230628519675,-0.0955223647120099,0.771029361645381,-0.517898193947661,-0.459107453752433,-0.439927758123537,0.583333370715618,-0.475587687185284,-0.209386048725949,-0.626564859145749,-0.580679975781382,-0.387775884507293,-0.189730326931556,-0.541558549842084,-0.430622547242858,-0.248547967608771,0.321788168241689,-0.00667520209898358,0.903967235554811,-0.662625675525075,-0.208868352513922,-0.229803425053055,-0.611128454261273,-0.382478723258741,0.102831768926676,-0.291334943083229,-0.637794997569094,-0.324750792169017,-0.2614231485856,-0.446629949729673,-0.317777149048785,-0.0923892375569935,-0.787498333948148,0.157280755435605,-0.444606527939654,-0.366770320632069,-0.187435753302782,-0.287980929531304,-0.274913233692062,0.24127399303823,0.46466589378064,-0.274112887107344,-0.390163788072341,-0.66046093351956,-0.748168121736687,0.967679027587151,1.06258823228783,-0.454435918736466,-0.640920909360424,-0.892197792314449,-1.0313529313068,-0.979817791735249,-0.45950217392406,-0.706022879524206,0.31363749431487,0.148356005406847,0.142659227145037,-0.433593312431249,0.521991993450588,-0.342957277433069,-0.346519695961851,1.4679636979492,-0.136463405948783,0.290672906100543,-0.514912022778471,0.2376608282105,-0.486963966734505,-0.452555186410421,0.101102481205126,-0.586907194492273,-0.577358250038475,-0.620481387409408,-0.393063398988937,-0.50430486148095,0.0530488397833294,-0.587912298734544,-0.516695250967497,-0.374552440482496,0.215647735650197,-0.756523944646711,-0.533554063169541,-0.41337870033829,-0.270464213239514,-0.342497274570996,-0.288786114858974,-0.55682530489886,0.0135529968646547,-0.180089379380958,-0.545408341870023,-0.229141205989816,-0.920669842287203,0.0821691618476426,-0.51557859968324,-0.0500607975239397,-0.683308253943439,-0.362823232416602,-0.589963493562603,-0.322240255494314,0.479070584057181,-0.359757896067313,-0.0307623050199094,-0.608095234774591,-0.525217178901837,-0.157458260847239,-0.765049677643273,-0.410307372753105,-0.525041630954516,-0.471810941242908,-0.578460629498271,1.57965010551166,-0.452839715073422,-0.206191644531988,0.968045893843263,-0.281764184789891,0.529395226226966,-0.391231937236652,-0.131671243403426,0.971232001664983,0.637137784638774,0.622108952230964,-0.381750744551534,-0.622662091835548,2.36068265076336,-0.53419877551422,0.014037332737743,-0.696932316503247,-0.0768433145776885,-0.10316041014598,-0.298667457630455,-0.183232805103282,-0.00999641582563104,-0.13884844094009,-0.29984114500601,-0.142328775237941,-0.00351420149015539,-0.20979876432662,-0.596848818461382,-0.430785752659705,-0.439570889406344,-0.456654461959936,0.575368605011287,-0.309769092655416,0.894868022184321,0.472552310715715,-0.147614712923937,-0.557607156410441,-0.206464240931544,-0.823222963196357,0.170579964464768,-0.259186138051635,-0.0982091820374144,-0.342062335253663,-0.18691294032644,0.990989043061568,-0.846265821888338,-0.431924897066515,-0.960735173236557,-0.13089069206015,0.300770780977187,1.01179121100268,-0.0215868692778179,0.358161588906071,0.847822853515499,0.88790751310053,-0.688055530264002,-0.326238776589545,-0.924363766636683,-1.14911517781798,-0.753089780148793,-0.482056322277585,-0.161288735826617,-0.315333871774816,-0.527432863365859,-0.0230099898985369,0.174535616290883,-0.639372665282786,-0.26034117888379,1.33409673523605,-0.796098716458877,-0.712786832658908,0.397494129305651,0.237068875933686,-0.646117650616207,0.255130488201509,0.396585780151208,-0.0606614310361241,-0.213403196801673,-0.217054455543768,0.167100856663133,-0.0887554464161249,-0.683810317357628,-0.233572190401656,-0.206253236984894,-0.435440734477718,-0.398620705029392,-0.449573637827878,-0.441892776772831,-0.519553319424216,-0.5700682083296,-0.529998847463909,-0.511679158128919,-0.429125378340192,-0.400267709475037,-0.481401996033606,-0.386512058350212,-0.581442497850613,-0.508860257942912,-0.327823230823109,-0.534672652795991,-0.100845024573335,-0.617888400057738,0.173434694698392,-0.307643019561221,0.143356270240246,-0.199906714841613,-0.663129286131991,-0.733981942704569,-0.357311007554446,0.082813918976777,-0.490835240753021,-0.182650838333852,-0.293081984430309,0.358186610958823,-0.437031653942587,-0.355876853908106,0.910456889648391,-0.658746370482272,0.584960089771938,-0.316045981086606
"EPEC_As_2 (GE) - TPM",0.0493406578761949,-0.129791794099079,0.0366864911720942,-0.370164639219454,-0.437242947716635,0.0545850752864432,-0.4708195762523,-0.325299343393763,-0.711127207561216,1.02886877504749,-0.782815313723085,-0.453552778812536,-0.475590080905866,0.680663432282815,-0.51762992582952,-0.323502171027878,-0.617458953879128,-0.579466797604479,-0.153133736358222,-0.211759329511707,-0.21528000701448,-0.522212559814306,-0.0809030444813453,-0.018065485568226,-0.143028050703108,0.65645163218039,-0.0552160998941418,0.0402160857259716,-0.199530234851976,-0.585815562200018,-0.37756422695555,0.217119085584378,-0.340556050481744,-0.659245935505319,-0.330347340447816,-0.0298255852585,-0.448227156570284,-0.241324009193841,-0.47944424589549,-0.710322294783013,0.227587577719944,0.0769247120178888,-0.416542205481,-0.367883712507961,-0.364028080974023,-0.228181575501642,-0.263201689117707,-0.208695858605123,0.378677112858869,-0.349890003588914,-0.735693684690149,-0.704010228260949,0.409819884038896,1.39711882467054,-0.496444952415623,-0.545521953100481,-0.885155614249538,-1.0109806777799,-0.882878999865784,-0.178586176735303,-0.646048795200216,0.255811746447129,0.095337959697711,-0.331817224069974,-0.756144738673848,0.716628248633548,-0.434260622074055,-0.604031245106069,0.553706497804978,-0.0865689641308732,0.549149798742253,-0.543268912917524,0.343832640472453,-0.487572522805465,-0.427421181089142,0.889541171324141,-0.6214109567191,-0.540567925246511,-0.525613543899339,-0.348653890475322,-0.427286996851071,-0.128259328319935,-0.563715568388316,-0.162462517946924,-0.302283952470694,0.14366309131352,-0.768646937913116,-0.295951079627436,-0.46686148394886,-0.0787950860499964,-0.3515171017758,1.01706306952941,-0.553762726658357,0.15014707526984,-0.0038393016999326,-0.606882962292182,-0.266078854971254,-0.667087181183581,-0.0935776277805853,-0.55972148404772,-0.587987224856693,-0.484077483264216,-0.499898358373854,-0.473941849509111,-0.322240255494314,-0.0256759127067214,-0.0525273659799316,0.52078187988741,-0.056377322497013,-0.174372763869076,-0.643288037362907,-0.801191544325473,-0.442125795202424,-0.515873734786314,-0.48226357877909,-0.489670463145229,1.48836894986231,-0.486527669375851,-0.198924648243653,0.859559174436867,-0.305003980877902,0.432502541271593,-0.460275192810292,0.0799887585464856,1.10417325804043,1.2291522565142,0.621151012581922,-0.345689200267319,-0.4580199639514,1.07857835844356,-0.564772052271486,-0.191613404550283,-0.55808179105465,-0.176577184114858,-0.340503480864951,-0.23474900408656,-0.0981116562884137,0.645084594510535,-0.158500442325008,-0.367876072239957,-0.191874333380622,-0.647012067674457,-0.166662804765465,-0.553080375029839,-0.432681979886263,-0.427518499421126,-0.468157776210022,1.20323386019683,-0.106575396401018,-0.187564744330268,0.703038727000315,-0.164412403438903,-0.404253800516868,0.356272791886354,-0.768635800666587,-0.0391827721112829,-0.32846098626201,0.106275857762315,-0.231987307783179,-0.191926074221252,0.330486002670955,-0.57293048194981,0.204754241073979,-0.974643593052289,-0.218370281939849,0.190692692236476,1.1980895725076,0.0669589158645377,0.13607931505802,1.04553956072086,1.69158848446415,-0.593388803798802,-0.10238546090679,-0.933215350956176,-1.05217287851219,-0.769632647553602,-0.443571033210874,0.155113708342759,-0.370882001005791,-0.213715222127312,-0.228774047875259,0.530127443812722,-0.63555036574839,-0.441074509600062,1.27606937658924,-0.480688057977525,-0.634166845375478,1.14465702615154,0.208796395049972,-0.600968666000323,-0.111616323296368,0.0260139701329189,-0.101789036992844,-0.22845406234979,-0.265791792372751,0.057247354179148,0.583075231141089,-0.747781360125213,-0.20334953100606,-0.397713107681363,-0.433577654548014,-0.398248731705769,-0.450945256853854,-0.440650382158926,-0.524699835383416,-0.553332802645755,-0.531523455032099,-0.515611432426256,-0.425664023701284,-0.403724879049622,-0.482429198839509,-0.369502942876073,-0.574389755625162,-0.480154890332543,-0.329203035383673,-0.528624291857548,-0.027389394747511,-0.618784489243009,1.16982711670597,-0.322730938040305,0.0877629071210668,-0.419649998274838,-0.852599422842742,-0.870075963886088,-0.308828060340694,0.467322277001359,-0.49435412419895,-0.687686895894863,-0.28100148771584,0.385137491322921,-0.424282909178939,-0.15413146030252,0.879529204164807,-0.560694433481268,0.623564758949397,-0.316045981086606
"EPEC_As_3 (GE) - TPM",0.399028220410199,-0.13532822688073,0.266836619629215,-0.300165986934018,-0.514326364977555,0.0456840176086271,-0.575351910568207,-0.319513389229859,-0.0911134130508163,0.365620923823841,-0.431939262246027,-0.446639750311937,-0.423844085571538,0.599137208866939,-0.49902572531357,-0.435258308085357,-0.606791351460694,-0.583229577544716,0.383923751574021,-0.142202986908984,-0.375019638783896,-0.414054139480608,0.289873461853828,0.266194516117356,-0.277439315057552,0.857150213732961,-0.374737837850445,-0.028779125301683,-0.303128503583641,-0.606208015219037,-0.369351922423398,-0.211628717437153,-0.312704485861696,-0.535539182320746,-0.33478089083564,-0.0649086548970683,-0.378747984432576,-0.253171475506655,-0.455207334721202,-0.724010914088749,0.244230323036184,-0.231594665344649,-0.232981659239027,-0.494960803869887,0.0852667248526589,-0.363970460923329,-0.145891840657064,-0.0313249172299541,-0.332941618842536,-0.369455174296061,-0.612172444642826,-0.718460848976824,1.26832436379838,0.985432570579405,-0.490294730693931,-0.676769603848667,-0.911076606054823,-0.999108643861754,-0.887384414460412,-0.452712992989066,-0.454915304294884,0.292037002591784,-0.122667027068042,-0.675206576478343,-0.0873355097490108,0.953952280244059,-0.232243120560727,-0.321741760090864,0.345289223664004,0.920082915001168,0.691489710187278,-0.608447034435742,-0.0603208648018626,-0.482604525152759,-0.395759079976673,0.440516274167056,-0.58723293135856,-0.516501397630339,-0.601221041331871,-0.320068216143417,-0.502756153179054,-0.244719801295536,-0.587138750700272,-0.528272126778907,-0.170938510956354,0.0498130613758377,-0.757239343408068,-0.615281962111858,-0.532411083252145,-0.146562454602564,0.0396098865399985,0.0996138080820988,-0.558589161908725,0.267491053604614,-0.119355935535653,-0.565802147970927,-0.317701167083341,-0.62964188520079,-0.147440561442067,-0.415099437613041,-0.251695864765281,-0.521184109778971,-0.58794642691945,-0.312545838189114,-0.322240255494314,0.23819261832458,-0.132294928501551,-0.00986815480962882,-0.495162852676196,-0.408755522865165,-0.423658725563256,-0.551007187997097,-0.419196869101328,-0.526311094882319,-0.427226304774058,-0.639292804785479,0.963475869099012,-0.487554778848608,-0.260470025613414,1.6074430291397,-0.28518930011941,0.19122085921856,-0.437768303668468,-0.0339487700955406,1.24644223899231,0.793043821203747,0.817453716889748,-0.421441200237414,-0.323501139274923,0.642820367546939,-0.632722083818336,0.595001988817001,-0.685881865078002,0.136955303274159,-0.0459710947410761,-0.323551903984825,-0.283599096813825,0.361874952529777,-0.00717512350863455,0.0898414620741779,-0.492646479907359,0.432839466183935,-0.354536670472951,-0.62995564276372,-0.442448150591302,-0.408243590999918,-0.460263594087318,1.74141060068977,0.00934230978305079,-0.118552901200607,0.648815502215043,-0.0951251129441931,-0.126488234357433,-0.0609463435133779,-0.769172765371116,-0.0477999986780369,-0.43561959811097,-0.271333414765771,0.264729325319043,-0.290703811875037,0.267328900841145,-0.430449179034026,0.138384676286865,-0.945064310193179,-0.0881545898494158,0.667887047733321,1.21032254496883,-0.0683120178682654,0.230625295399195,0.77214658733657,1.33620433342686,-0.406417338482068,0.340591342976317,-0.85566049795813,-0.939001461161222,-0.589096770062924,-0.454476382118585,-0.0278221545360621,-0.141596744567903,-0.129367848267164,-0.0963748497662013,0.471749068518218,-0.621977617606043,-0.293336724670335,1.33413896006383,-0.696877220208904,-0.521455878689177,0.870659517678463,0.333945944661577,-0.582315681406435,-0.367931222319004,0.102282823804697,-0.316067900650852,-0.252671007180118,-0.211152897555997,0.0870178032706,0.886840751147219,-0.717644354453049,-0.282890394979843,-0.210082840285502,-0.436345768391451,-0.396871399781161,-0.451220927773836,-0.442091420776391,-0.535842301070969,-0.62267446271909,-0.529520197663444,-0.505034413424242,-0.421575251649729,-0.398269288451187,-0.485975227407726,-0.493702041654799,-0.601115864982794,-0.491952689020291,-0.328189981382884,-0.540132968074504,-0.0797784854817006,-0.570563518738787,-0.099028553323351,-0.308213270265256,1.16882246308563,-0.423595476440572,-0.874674198960029,-0.92097104614507,-0.273193404062273,0.403686612713445,-0.0692588098795064,-0.710827281672619,-0.283963934485126,0.437869274479527,-0.400311087005844,-0.270635769904423,0.487996190531445,-0.393831254714654,0.70668138967834,-0.316045981086606
"EPEC_Bs_1 (GE) - TPM",0.477215129354031,0.166772476998023,-0.709191499415519,-0.653512652915765,-0.669408002838144,-0.39871494101229,-0.561690062309006,-0.352573540991799,-0.293863909267971,-0.129989258228162,0.295914413530523,-0.46264849891836,-0.446523033665807,-0.615436461154612,-0.556584848867031,-0.682227203373298,-0.462886159612993,-0.507126549994297,-0.277206786144227,-0.56854229568229,-0.614146312966615,-0.546292867930792,-0.498062023085005,-0.492960690921203,-1.03206047729058,-0.770669432769094,1.14826338856208,-0.201172269723636,-0.291722897076941,-0.348167132453864,-0.397754747982637,-0.566995556651749,-0.573651542207284,-0.0305915705073732,-0.343950387452309,-0.622113499962811,-0.49596961371215,-0.265452766897918,-0.517992172516474,-0.687664256191766,-0.362713686724723,-0.751407129246636,-0.917749127451217,-0.419919811525864,-0.556552918675779,-0.657080901204848,-0.620703385583514,-0.531346906508294,-0.435307103923325,-0.420563184408604,-0.506419459714101,0.471951913277743,-0.631045450141337,-0.686145053753917,-0.366388335655145,-0.601342914655714,-0.969606810473904,-0.879283661129442,-0.906932250756743,-0.751200951502284,-0.725625641594706,-0.559948457865714,-0.597413744295305,-0.71685700736458,-0.519778122261797,0.400581398111362,-0.498829597441948,-0.549219970473713,-0.561116567828199,-0.378204771082863,-0.365944026244722,-0.746814417835966,-0.704446205282373,-0.477002029656102,-0.50032190706317,0.249282945876816,-0.362937740932463,-0.392532595246834,-0.695419567033333,-0.540989210288902,-0.644114960329852,-0.212436081840591,-0.65293899710964,-0.832081472586423,-0.496628771731266,-0.304804832503934,-0.786775250511057,-0.718297725738532,-0.617390363099079,-0.670445735979338,-0.423394568707663,-0.897743304937596,-0.459381393611491,0.154353071086714,0.154402274162452,-0.709891956993924,-0.665228375042059,-0.455874426639149,-0.64552303342019,-0.552339433353207,-0.421522570920662,-0.600619880278165,-0.356527631439063,-0.54775567790534,-0.322240255494314,0.000554805724525607,-0.00360712900377196,-0.747211845889636,-0.635984768345176,-1.04395826058498,-0.180060992310364,1.04871371140365,-0.623074613505725,-0.517374941583693,-0.522636346874178,-0.23914748950169,-0.433220295408949,-0.602560491638984,-0.327313734969348,-0.0253769391934535,-0.470037462981446,0.0465965185724199,-0.718984647849144,-0.651296408022354,0.793792467963701,-0.341789561909453,-0.200082579788004,-0.255883320383378,0.459617176490237,1.50196049211595,-0.65223922041514,-0.455931585026739,-0.480287379797567,-0.323988355084634,-0.808254181483992,-0.514133309528921,-0.518705170128997,-0.0608302423820805,0.838134677607509,-0.158985478324834,-0.61179450495336,-0.243467200192102,-0.590577393144605,-0.761730106578958,-0.447970245515811,-0.25175067875357,-0.333652221296111,-0.196431545266331,-0.394097744984407,-0.489521638600026,-0.850189040523711,-0.673828850745265,-0.768172426498806,-0.737216859635232,-0.773416672822231,-0.370912768784219,-0.43285138694922,-0.46834184563274,-0.510775518447819,-0.441571022081403,-0.896840196307848,-0.665563051257077,-0.50872121649573,0.377047613184817,-0.374175435930745,0.315078140844099,0.752041519971074,-0.523336783695714,0.542857149439667,-0.637856651412081,-0.531382568680801,-0.712380394554541,-0.827431526095453,-0.682751797246887,-0.775525774644103,-0.650758755969189,-0.511072379608037,-0.628905657502495,-0.334313736868673,-0.53392361728077,-0.673319041308303,0.010293013576264,-0.574793339236054,-0.329819563246851,-0.283903591828454,0.5701419054677,0.591944955194627,0.203451583260724,0.254989726398197,-0.494662857840277,0.751427938930957,0.482116072111009,-0.392758407307173,-0.237394283142725,-0.0687285744021919,-0.364744478925911,-0.301508134121582,-0.608812546178006,-0.611927167315428,-0.512542234630433,-0.448905959540323,-0.412597849130509,-0.462374860595275,-0.448222385451909,-0.568151357909529,-0.699160320112736,-0.542817490216682,-0.517481540615599,-0.478185292639928,-0.417032507078417,-0.509950275354984,-0.735904165943684,-0.643173755063233,-0.550538742846597,-0.332369399245477,-0.623260954508246,-0.677007907974739,-0.708098026427839,-0.74408496472328,-0.320997831630167,0.944218082715767,-0.316511561740158,-0.55018458539974,-0.52690498458717,-0.496666047903821,-0.586102722127288,-0.612008322516662,-0.552415078262261,-0.348822441093003,0.138535859091302,0.220225184621623,-0.21780269390454,-0.240491765524339,0.685565528903399,0.644628605499764,-0.316045981086606
"EPEC_Bs_2 (GE) - TPM",-0.341913024866178,-0.7829900651194,-0.772193052223213,-0.644335260705461,-0.657220305948019,-0.699885937712606,-0.588167416641669,-0.357815773760181,-0.610753998972153,-0.723047805680063,-0.472287081440999,-0.481878622419865,-0.509860398452888,-0.569671210879725,-0.598308128779127,-0.551402628345061,-0.592706520354802,-0.560506796179415,-0.107973445960413,-0.429113873093825,-0.651461538328857,-0.498829040439582,-0.616310294880972,-0.332288955096169,-0.936394001263009,-0.692273805047902,0.836093490537373,-0.41427824266511,-0.480176273869288,-0.465768803313077,-0.40825819405108,-0.700807243805239,-0.485615147916202,-0.509201930844604,-0.341905901856117,-0.271804824489189,-0.412981357134704,-0.272916327745011,-0.595893216329117,-0.787682550331143,-0.16940211772966,-0.725731287895422,-0.620803235299261,-0.554793953498776,-0.527904718621421,-0.673800867598687,-0.538199119136174,-0.579884971651556,-0.80571730102505,-0.432296396279842,-0.770217038560574,-0.330387378196191,-0.441996766351415,-0.585237727925828,-0.521667500766607,-0.650038070474103,-0.933513076533028,-0.708261184686872,-0.679904844943735,-0.635248043062172,-0.664572116963546,-0.685785514742824,-0.702969908229188,-0.169721961422137,-0.412146973882762,0.281704377989984,-0.267630411869473,-0.341079698654581,-0.593940780220045,-0.091180219673707,-0.432261988900651,-0.730929081862313,-0.678759294658827,-0.4911120793296,-0.527496298180323,0.0554522773808384,-0.55544015787359,-0.411021089463267,-0.719282745784992,-0.402802010122178,-0.674608265346762,-0.394977456854663,-0.720103382264688,-0.782757768479297,-0.34699258759836,-0.180177174711412,-0.858872560870529,-0.964752805639563,-0.481051599157056,-0.518622994017866,-0.152475229181028,-0.810713562724108,-0.522369990888649,-0.635521941747433,-0.242791386677483,-0.791009949968122,-0.710779177878359,-0.714477021085404,-0.698378637227493,-0.560410317732852,-0.32960856065602,-0.512772858665979,-0.602944597498165,-0.707824547012853,-0.322240255494314,-0.433207944686764,-0.386051639025933,-0.492460488083365,-0.53484214093106,-0.845001728936508,-0.231869873929921,-0.267908408075342,-0.393025932524739,-0.54935179553394,-0.484877939716252,-0.494405275376675,-0.149058409993552,-0.566205143851301,-0.348204042092422,0.26489817419837,-0.450512734295436,0.923482070895898,-0.668789281888179,-0.635981025204366,0.321422644132933,-0.568291840287524,-0.804218764916849,-0.444120102908077,-0.602938513632792,1.04100252095793,-0.665177245408921,-0.475545003116191,-0.567320498601855,-0.402758588385306,-0.635076485459669,-0.535059123873971,-0.511477489387034,-0.107579065791635,-0.23811039750776,-0.395323006524443,-0.568016785768052,-0.422879159509305,-0.559252511751578,-0.895778858828244,-0.484047934015733,-0.472451406389078,-0.448665601050063,-0.202699897142702,-0.705201522687907,-1.13306718416715,-0.626556519572476,-0.521492981791023,-0.304782226374684,-0.321215604206576,-0.857089284937878,-0.410618870948065,-0.503958732978174,-0.392957701931245,-0.712072456421716,-0.413767312105873,-0.700846807947928,-0.763133471386263,-0.829336429289912,-0.535702822373487,-0.644026342856592,-0.408538718809939,0.534764578971332,-0.619815278451239,0.131803630273186,-0.577653901339131,-0.71519942726735,-0.710945994223996,-0.753308494042214,-0.66586575176314,-0.726100354729474,-0.39550302526268,-0.528831517864796,-0.637238395898887,-0.640517470110796,-0.706305811291428,-0.750047344999637,-0.358434541988935,-0.636882753445377,-0.367276005091878,-0.400702473331893,-0.408852034053586,-0.425996705113889,-0.447245508224529,-0.284040733134335,-0.364841608887959,0.932568854958011,1.06396675635919,-0.377829800156676,-0.30337550290158,-0.33966487719846,-0.421106668419105,-0.538876617682186,-0.466493841223185,-0.658897596759854,-0.735272827911398,-0.444751843151654,-0.410637977583836,-0.459833038390562,-0.446937975463823,-0.564756738187515,-0.691261548997785,-0.539303912030887,-0.507661222732926,-0.475675230813578,-0.421091959031648,-0.505862051363422,-0.722269416436383,-0.638269742751939,-0.55175675403003,-0.33220419923249,-0.615457298609441,-0.6501164946875,-0.72216681837208,-0.898208664057937,-0.677744325362557,0.136149579706068,-0.58830835063424,-0.706053947151099,-0.79115444731759,-0.495606744743292,-0.444128839416813,-0.760024654221505,0.577276841336962,-0.353709524355237,-0.230184248755516,-0.549252404910466,-0.355876853908106,-0.244663977376608,-0.168226570809648,1.42359991706907,-0.316045981086606
