"","YPK_0022","YPK_0242","YPK_0315","YPK_0328","YPK_0640","YPK_0837","YPK_0858","YPK_1077","YPK_1079","YPK_1080","YPK_1289","YPK_1381","YPK_1392","YPK_1530","YPK_1531","YPK_1560","YPK_1750","YPK_1947","YPK_1952","YPK_1953","YPK_1954","YPK_2182","YPK_2184","YPK_2367","YPK_2368","YPK_2378","YPK_2379","YPK_2380","YPK_2390","YPK_2391","YPK_2392","YPK_2393","YPK_2394","YPK_2395","YPK_2396","YPK_2398","YPK_2399","YPK_2400","YPK_2401","YPK_2402","YPK_2403","YPK_2417","YPK_2418","YPK_2419","YPK_2420","YPK_2421","YPK_2422","YPK_2423","YPK_2424","YPK_2425","YPK_2430","YPK_2431","YPK_2432","YPK_2647","YPK_2649","YPK_2853","YPK_2977","YPK_3016","YPK_3132","YPK_3197","YPK_3230","YPK_3256","YPK_3257","YPK_3263","YPK_3295","YPK_3334","YPK_3580","YPK_3778","YPK_3794","YPK_3853","YPK_3935","YPK_4040","YPK_4159","YPK_4174","YPK_4179","YPK_4180","YPK_4181","YPK_4220","YPK_4221","YPK_4222","YPK_4223","YPK_4224","YPK_4225","YPK_4226","YPK_4227","YPK_4244"
"YPSTB_As_1..GE....TPM",0.476693623366433,0.328496555032826,0.601699909104185,1.32197858761001,1.46126424680268,1.13768711637664,0.442593704490318,0.957063521312889,1.26819490127769,0.735832213168162,0.0196914990188598,0.562873262504169,0.146878757641019,0.565000568924076,0.814278825574172,1.32473191875087,0.720389818335075,1.29518494473957,0.740768641064457,0.787835976770495,1.44157290347741,1.6847938792739,0.996820828037816,0.177076575012552,1.85233657272731,1.67671256791962,1.52739452942175,1.29544901404178,0.864885961272819,1.50603326442702,0.600694562393085,0.50086564987254,0.115372618381957,0.501488931998002,0.173087698559546,2.21235076716314,1.09080683597977,0.595259435163347,0.353526956028456,0.96625893158455,0.892333386885136,0.241187730127656,0.460079817718349,0.0163714448517419,0.102407784716725,0.146679906820076,-0.179087366083674,-0.0375789502982177,0.173833155034427,0.665491854023808,1.11841993986191,0.651429573194737,1.76864111240007,1.02816952222826,0.164125408933089,0.509193166338285,1.70915676047164,0.771915744665148,-0.320092074190274,0.0538447427501429,0.74809645526501,0.948545296131128,0.995586695091529,0.209586988485938,0.18333890288901,0.748003162740113,1.74244370514506,0.722918264414131,-0.0402781039318906,-0.213456961298045,0.333592371938434,1.38104814000945,1.31193765073313,0.835902641814829,1.35565905797234,0.847838263985804,1.19550289455736,1.27500178206233,0.755422763801667,0.60420532845131,0.62288614972782,0.445482065949191,1.06052682638782,0.470483916168333,0.683954618615173,0.537925808836412
"YPSTB_As_2..GE....TPM",0.672264207717863,0.312782146485865,0.225969003490515,1.29131835288348,1.51679147231867,0.211865176031499,0.377488641706345,0.682722849430017,0.707734421439376,0.351600695624178,0.550204630200018,0.495283899306361,0.889985624046125,0.423988760028041,0.531094810509909,0.549681271781748,0.821471190594153,0.912630937476341,0.518299243091154,0.534517447175072,1.01303956714763,1.38261915816871,0.834023878340416,0.90284065301522,2.49564860822237,1.04418586833755,2.13245046825186,1.12495005278532,1.33833516765384,0.951846263095473,0.691649899030579,0.644309031546828,0.245515509408731,0.497874438732074,0.167379294202012,1.48712133317976,0.963746234891243,0.39142943030698,0.102796809103242,0.918103937658351,0.735494789198205,0.231479730382353,0.265804202984061,-0.1154875163001,-0.0981135726760282,0.0231497398353833,-0.183062621712934,-0.0962738523956512,0.430789632152572,0.50768630949565,0.864950637424656,0.251474453462817,1.08813167874859,0.547631507245604,0.217577990164136,-0.0336097174276877,1.02199855945561,-0.304299053361057,-1.16605665933024,-0.131590083380018,0.855581382887302,0.777616296888022,0.716239049851244,0.11891856776232,0.0309564476332235,0.313822547006163,1.52897149219106,1.20651850416033,-0.120561829324347,-0.582761409673198,-0.133723752390881,0.872148097014533,0.636495668792358,0.3798803632576,0.706017714910109,0.378566028548375,1.35233072701525,0.992847108262823,0.570262489522568,0.742350662923908,0.859441034573732,0.487407008354047,0.914776974725016,0.633657891329244,0.587773291889238,0.117074098744142
"YPSTB_As_3..GE....TPM",0.111665228701295,0.774009303101686,0.595940733535917,1.68719498097297,1.7226744200719,1.66998162870142,0.264711432313887,0.601689156213649,0.976029911034243,-0.09072865830481,1.3663031730419,0.317021198211763,-0.339649153001199,0.0613379102882426,0.81752818364532,1.01777895241796,0.695658485367222,1.4822998489153,1.19605669052556,0.660609190012809,1.24151669552878,1.29529488531545,0.831611686475974,1.19251149791566,1.8582076349908,1.25888023120985,1.49743805476364,1.21784555061243,1.38783747863057,1.45988944165688,0.787787768215389,0.555284273043883,0.407730751278357,0.567683072361131,0.439799082266975,2.11158542636801,1.2569348751727,0.434966084454011,0.542822922269004,1.08498737093663,1.33632473377006,0.57299006142728,0.36467605994588,0.319365255299636,-0.0517694882560448,0.256456737889983,0.0571628389196707,0.082395603265182,0.34835350004844,1.07893714092561,0.72142734111249,0.294979334360759,1.39787352719017,1.31056661331769,0.430139143973444,0.295096941820536,1.02383304457579,0.384616242609171,-0.180490633507175,-0.334836367738353,0.826435687265936,0.442581655534127,0.288000557519668,0.459476133203613,0.156310561468919,0.820646946787622,1.01280436545394,0.607895862572557,0.631830037388021,-0.249267776678752,-0.135340242647735,1.19528739349902,0.87947540559275,0.879458571953528,1.13742825771383,1.00069898024153,1.48154223916174,1.26322017945567,0.77641970521923,0.558193935707377,0.611505486756761,0.472093798889857,0.704674841305387,0.458474575688488,0.626387196693615,0.656082337513281
"YPSTB_Bs_1..GE....TPM",0.929016988817077,0.378303275026099,0.090359967156947,-0.269586004215533,0.875028506246505,0.870705988172148,0.499256117247182,0.446626410029368,1.03843029615717,0.862833989150104,0.305232453323246,1.14691501564034,1.58331491513152,0.130612128985505,0.232068470758213,1.47917774910134,0.712875885134969,-0.380065464051651,0.749159691822047,0.614200292285866,0.752545347409946,0.25529637408674,0.742471515919072,-0.32644045375009,-0.280508906599744,0.411290775994213,-0.136790450748814,0.504269665347525,0.608087151212571,0.776071246970117,0.963327793329031,0.683905603387003,0.825287930248142,0.707600281819982,0.3327769829196,0.878544830230959,0.432013391882142,0.998912737729648,0.73621388906164,0.83409226458439,1.5114350209979,0.400020001885358,0.233627604427279,0.660424043653732,0.215735292962073,0.280565949368043,0.219927798750861,0.320384082529981,0.251218071148029,0.81602132406392,0.667927466898966,0.834056193560907,0.350658679530798,1.56150182220399,-0.552965263213068,-0.600389552051804,0.214340047757507,0.931950192407452,-0.284703784855256,1.10027969212456,0.171960120015562,1.0232215395493,1.00637074017154,0.2028245669623,0.0352627372911841,0.500219898166296,-0.0972336124202541,0.48513402310474,0.391952694694071,0.686399830129215,0.52839727877752,0.64614081723348,0.424717693070511,1.00299200199137,2.18739860802365,1.66362741296825,-0.0908131577038426,0.593827913399374,0.981045634408548,0.776230216008213,0.829659085196843,0.844735220473414,0.976039596380552,0.970856014632402,1.06289196085198,0.688686998183764
"YPSTB_Bs_2..GE....TPM",0.730419995377157,0.455228662972402,0.0437313330935959,-0.126246769926893,1.13645349172284,0.32093012532476,0.52689879585768,0.337651455309934,0.906507117508619,0.639349547235015,0.606370948646397,0.957388647434721,1.47139691591466,0.260493802516284,0.239429010538496,1.38828372845034,0.821325911818895,-0.245360655235089,0.773523590740728,0.687422766642384,0.835205545345147,0.229591890282089,0.782327676985309,-0.31155885239256,-0.576224459124601,0.545101912322112,0.105082565831031,0.460899429227664,0.466033824711064,0.992574524672447,0.790157185279602,0.774532727243334,0.575206838363901,0.71034637910665,0.678305639435469,0.917061819323328,0.706971799289406,0.71545972701682,1.1964468180566,1.15866035759259,0.811720936576287,0.307663143134953,0.211389728155744,0.650310635122131,0.238780043820109,0.182440841631039,0.272066563358853,0.346439366767083,0.331851214605145,0.869574694390437,0.540088831229098,1.00345274070056,0.294549445807134,1.13277919221347,-0.598905469257602,-0.69541622060266,0.422070129132762,0.954034122850241,-0.911183506177237,0.905825240499305,0.254844266792165,1.08791068146242,0.292453793931067,0.191325935492634,-0.0289699054248772,0.892256624311949,0.377509786883452,0.341193730784772,0.151557837457116,0.543505279087766,0.588526839781264,0.652556067407306,1.27559901506005,0.487881712677075,1.93119283714257,1.68636999535952,-0.078234576849645,0.400184289199016,0.806246874545968,0.615634567587605,0.571592321211328,0.77583718146207,0.919580001190149,0.786254423956056,0.700576289302539,0.550141286260489
"YPSTB_Bs_3..GE....TPM",0.536688179023276,0.262972736622511,0.0477836498711656,-0.291057832807788,0.176890186973552,0.859501643947011,0.443958622659435,0.308920988302651,0.906052674481094,0.769739339201163,0.392999217472015,0.968891369316067,2.43622393168759,0.36031114436419,0.280965773652904,1.31926248434156,0.751352683669385,0.0467355478682067,0.531264981769508,0.504975993504841,0.697245454442105,0.00113526249344309,0.71332851592777,-0.314597534641732,-0.441738649286958,0.538326871042195,-0.0513111670725904,0.58404196044167,0.587594475856445,0.810596903832356,0.846286096206695,0.972389702573807,0.907674950105182,0.674042677822708,0.370703129230202,0.842872996792281,0.515377593884488,0.832878613385054,1.02650874280109,1.23752627460236,1.29143154105041,0.318862703060615,0.434117505687017,0.864761520137922,0.267105734223312,0.24628828066911,0.290663480735614,0.357210863888039,0.35786638196142,0.742493858625628,0.187298574427384,0.620047001772655,0.51604033325354,1.49126182564557,-0.577739538039616,-0.772175111255637,0.345923136209775,1.20932147831455,-0.74228206478027,1.06909782062094,0.249815621735132,0.870163718956413,0.884305846978626,0.129339779130832,0.00199710570366202,0.422011670264414,0.159353133203579,0.425684537493088,-0.0599637106346955,0.522369550257959,0.729053523090107,0.586911078087885,1.0610916312612,0.905960282319908,1.89884249774452,1.53209720764956,-0.12426923666988,0.513906622353975,0.888897457576608,0.708544380992962,0.753983115092175,0.810280628920287,0.905261962237297,0.893539787363618,0.904432781666545,0.690589253102805
"YPSTB_Ctrl_1..GE....TPM",0.133590239093728,0.0850586972910717,0.38292961578609,0.472529982510455,0.601651079974741,0.264628756712823,0.715354539711318,0.479525504405838,0.569865027829457,0.631166546132292,0.997672216560122,-0.396004068780213,0.486273465635002,0.0218417419698902,0.820115828933234,0.684756101771873,0.700040661642181,-0.192521749874956,0.0872851980018095,0.582420894715305,0.563420332263641,0.132078262577448,0.77797567523536,-0.264200415032794,-0.185679397322535,0.70764355720581,0.421225479442863,0.487490216901139,0.840045000487983,0.823842647737687,0.196771302845926,0.37935299293446,0.387450446539834,0.384946584968661,0.0910697109929903,0.894609021561784,0.526293691946391,0.452512788233391,0.248937171481888,0.786193187403671,0.625149081489046,-0.0147850054882048,-0.340045892689688,-0.0773186571004005,-0.234378947140354,-0.219959017225272,-0.224071077765068,-0.00682329651256636,-0.235047741817411,0.182294509663489,-0.261467758570166,0.485008950121801,0.328504573659276,-0.739700230362925,0.011753754092898,-1.33367706501827,0.774292045885811,0.523849816327504,0.609627478359875,0.859379940108238,0.429789886969486,1.0006966745497,1.09333863780057,0.632548360442444,0.559454594465519,-0.580231280140016,0.887989310398734,0.684013382853489,-0.852294096954319,-0.604168004278524,-0.14041169230185,0.447224182277242,1.07275870586826,1.09046305014988,0.330113409366678,0.245073450262153,0.278770884037185,1.09775142779467,0.663665359338229,0.618187168730653,0.656619485578604,0.553407130491133,0.603815578568109,0.48735339077078,0.449662502071129,0.627308432562527
"YPSTB_Ctrl_2..GE....TPM",0.0743681699848469,0.34299510638162,-0.580582461518237,0.167609755299847,0.527848878727072,-0.537380896524157,0.351136594258056,0.750160505803751,1.10511409833918,0.797832879362743,0.1823069035254,-0.305591442279478,0.0981079842978761,0.109660592468221,0.987855456931628,-0.250841377596939,0.219504330044185,-0.264348807421696,-0.331129483492583,0.29891576620449,0.655095106058753,0.0200208579699055,0.425584767998437,-0.260630763728562,-0.21949611975714,0.292193338634521,0.0122585597100137,0.358704976921646,0.328689954749694,0.577032514186803,0.133055614862186,0.601573699495484,0.247326826227048,-0.187073802114289,-0.195069372187167,0.642563870566962,0.626488074878595,0.314559592760641,0.166559503831703,0.129830090614784,0.76424300075255,-0.149250961616808,0.0590179540809707,-0.261807504769874,-0.110465116396183,-0.318315961966325,-0.272493320718655,-0.0108451698996237,-0.20647748593657,0.0186653310697159,-0.0592759160548387,0.653031490921703,0.830062986469519,-0.942591604307317,-0.130793759647231,-0.471950984873745,0.345591813430128,-0.203387422061588,-0.867412568415822,0.481357355206861,1.12145130355023,0.955781233687951,1.65051723975695,0.259602265551904,0.106165114407259,0.267635994861376,0.313243876972999,1.51196891903459,-0.056966748220532,-0.573957665901863,-0.120161227312319,1.79130349419344,0.596456104213351,0.337530661120247,0.215027810427547,-0.444238393735121,0.0248477636352338,0.423877561244336,0.458701434607634,0.714301202975715,0.600646068608418,0.494178857837541,0.681993800044366,0.354707917096321,0.425559415017825,0.807814297396461
"YPSTB_Ctrl_3..GE....TPM",0.107402802976764,0.27819901404429,-0.344379495001776,0.266790932883772,-0.353219889218197,-0.0164378434911259,0.686277720879353,0.71879884803429,1.07824636039049,0.823253040089244,0.398913714976271,-0.538762989460439,0.224938366798654,-0.0952616072734193,0.900984054900147,0.0221325947580583,0.390296113542425,0.0754048951164013,-0.10048076241489,0.292674752057546,0.714789274020335,0.256507436860151,0.241112159067175,-0.339844084129374,0.0322487493876323,0.909801585587552,-0.157673058148855,0.466963109435975,0.643458517033281,1.04621676809307,0.479430352056045,0.404288017121409,0.483036243403145,0.186664950720372,-0.241970169657641,0.719472515835815,0.698258304437023,0.742853647319094,0.515250956762846,0.31063104905849,0.87056645367262,-0.12604062420647,-0.0853928133091206,0.199953799541474,-0.0398866481027263,-0.323077416723879,-0.347631505210621,-0.0938678765353154,0.064857967878676,0.402941417117825,-0.0535648352502155,0.683394270713003,0.608302229866118,-0.946952948857605,0.136059317854257,-0.577866557681873,0.494980742653513,-0.453991427348865,-0.998820417961234,1.09594246647929,1.38805267526797,1.07042473818639,1.51498679983563,0.982461694992801,0.0807142385013519,0.0993150630109872,0.935164153704616,1.32111194182562,-1.47994287657866,-0.684942097417868,-0.125783619569393,1.28582174597024,0.449593118651293,0.279572250067589,0.262626452950441,-0.247130380794828,-0.0161076130063879,0.563605633312536,0.235032312065588,0.572208981398718,0.411255646053781,0.22701340384648,0.389027752421861,0.133445649856472,0.292957181050907,0.972362486472512
"YPSTB_Li_1..GE....TPM",0.0940368278636126,1.33262597724327,-0.0544887146092517,0.425644249816522,-0.598325237017493,-0.225720671514269,1.6420221881317,-0.22891966956659,0.589410288102534,1.45829031247396,-0.942576689178728,-0.550051863953069,0.914778497157672,0.0138781280506038,-0.474069605895449,-0.656653605068633,0.578337317444837,-0.559900797291285,1.11418187636622,0.0718223858618027,-0.147297399180086,1.55033937220279,-0.764558364909534,-0.731138771370927,-0.62432451165181,-0.404163813828874,-0.221239095472453,0.253814879584585,0.0182538128288828,-0.114938898329148,-0.00116717935320081,0.040391061086304,0.648881019602739,0.441918403514261,0.312387351564239,-0.398889190609082,-0.382566228620095,-0.184933354140131,-0.0805046727774001,0.170520371078695,-0.219662944945901,0.736049131375905,0.266385439619446,0.166580574836963,0.0738405424894611,-0.124951729650855,-0.161004664650783,0.00821676794134791,0.161480433072628,-0.00440626740297203,0.0231013985606415,-0.0517493949860294,-0.324255982395967,0.64238294639979,-0.141519644428771,-0.389378945431104,0.722028563433046,1.06712877528509,0.444691587343421,1.36543685304122,0.134783441727835,0.871551188571775,0.911439515796842,0.913664697967264,0.586055046787161,1.27589690694887,-0.590685143498297,1.92439259384671,0.233408955840244,1.1903634606358,1.82123355435406,0.488532919236497,0.889844135084338,-0.931598220239007,0.0444665648962295,0.463527824843384,-0.584460511245271,-0.440405217304757,-0.51262298813321,-0.619299887834108,-0.689718660119743,-0.59529455203208,-0.728557259581857,-0.604087291667423,-0.629582886527409,0.397748823713125
