"","E2348C_RS00350","E2348C_RS00895","E2348C_RS01285","E2348C_RS01395","E2348C_RS26285","E2348C_RS01645","E2348C_RS01650","E2348C_RS26325","E2348C_RS03530","E2348C_RS03700","E2348C_RS03900","E2348C_RS05210","E2348C_RS05645","E2348C_RS26545","E2348C_RS26550","E2348C_RS05780","E2348C_RS05905","E2348C_RS06575","E2348C_RS26655","E2348C_RS06695","E2348C_RS07020","E2348C_RS07700","E2348C_RS26815","E2348C_RS08520","E2348C_RS08525","E2348C_RS09150","E2348C_RS09200","E2348C_RS27040","E2348C_RS27085","E2348C_RS27125","E2348C_RS11240","E2348C_RS11995","E2348C_RS12090","E2348C_RS12165","E2348C_RS12310","E2348C_RS12695","E2348C_RS12710","E2348C_RS12875","E2348C_RS13470","E2348C_RS27265","E2348C_RS13705","E2348C_RS14085","E2348C_RS27305","E2348C_RS14420","E2348C_RS15695","E2348C_RS27450","E2348C_RS16015","E2348C_RS16555","E2348C_RS17560","E2348C_RS18120","E2348C_RS27615","E2348C_RS27670","E2348C_RS27880","E2348C_RS22865","E2348C_RS27915","E2348C_RS27940","E2348C_RS27965","E2348C_RS25075","E2348C_RS25090","E2348C_RS25275"
"EPEC_As_1 (GE) - TPM",0.565190651262338,1.03468038257096,-0.00517844051697776,-0.172793248720886,-0.255141896830237,1.1568142415929,1.30382341139037,1.16626319190243,2.48887234702957,-0.479367061041203,0.214999100509544,-0.160480699790494,1.78543404444693,0.969275036739806,1.08894264379338,0.127273271441514,0.529688296232971,1.4493612316911,0.877218891280575,-0.551390242741017,0.219299091603265,-0.158233623694418,1.53664009479058,0.540210047212962,-0.321149000764628,0.613943616876916,0.013364278145402,-0.202901215997008,-0.00707595997754169,0.835318541797751,0.181699160274179,0.578377781853808,1.05694982140407,1.89048310329774,0.518026272802456,0.51182758585774,0.875124105851013,1.72287880348696,0.727512990622866,0.405046791303217,-0.249033363243161,0.315016066975408,-0.166666666666667,0.064242266822327,-0.478912152199698,0.0578417610261388,0.2391714456133,-0.10821041161936,0.794845485288006,-0.181256136499867,0.581223537209577,1.07162168950396,0.0612467917300549,1.1391404365357,-0.323124605169998,0.502925914775777,1.19029321436296,0.831082268347072,1.34391707439263,-0.309663133949842
"EPEC_As_2 (GE) - TPM",0.54607769641729,0.910836131529245,0.066622769173447,-0.0956064109189221,-0.255141896830237,0.871113905318078,0.62742803457208,0.256809334945203,2.0758429666323,0.617323350854726,0.486910747539151,-0.277453569453329,2.13562051695702,1.60047277214235,1.42280907518069,0.123644693596867,0.655653579853138,0.808181980492034,0.86303564891077,0.0420210768748039,-0.464583162918153,-0.312174154636623,0.344498892144715,0.589476808846165,-0.183780367744034,0.303817845174383,0.560436415539576,-0.322363504935279,-0.377053614602862,0.622157019149408,-0.229664605426509,0.129840902410029,0.951849055457754,1.72744486373225,0.510645049714646,0.726372909144449,0.858871425930811,0.7993430229249,0.882335679727323,-0.178479740925582,0.512561040565916,0.120168955409782,-0.166666666666667,0.0111673476861429,-0.392391989080644,0.348016186569469,0.103430800764774,0.200738845059268,0.391500098893197,0.0170137224083773,-0.30293496881181,1.02779868251646,0.268238111214299,1.68700762056568,0.0982588351463055,0.0988725172208764,0.733324028927699,0.789027050087697,1.53879908385133,-0.190418888520411
"EPEC_As_3 (GE) - TPM",0.54448528955353,0.227173417823346,0.0160841872218044,-0.23142524699357,-0.255141896830237,0.927839822545336,0.691337124057391,0.349491668695807,1.23805221694196,0.882771042343829,-0.156362850567686,-0.0813035968070985,0.805217161456765,0.979220721170271,1.53090415302895,-0.207772303209486,1.44009416386347,0.347104529983603,1.39634490038614,-0.416092273422605,0.796678847884376,0.204106774390369,0.0722979329970256,3.17673363728423,-0.248662400315862,0.824508289074137,-0.126919114274333,-0.22220128460531,-0.144399964804962,0.636450203491357,-0.362549863585781,0.680515804642196,1.44162164995888,1.32943599005405,-0.163520658587868,1.47655846084427,0.975208115272549,0.733601807160208,0.457074250933177,0.119426818212543,-0.439969757160885,0.540411463774777,-0.166666666666667,0.0968208184152591,-0.522197248300004,-0.287292163797112,0.269055053271168,-0.00241057482897362,-0.0381272538369116,-0.382669370249964,-0.117606025466807,0.911733302863859,1.94757617642072,1.04319105784733,0.745128223850728,-0.160664878377246,-0.19058922641354,1.07562050119327,1.69875956945017,-0.187677314304607
"EPEC_Bs_1 (GE) - TPM",-0.334514413280864,-0.437445636265357,-0.376858009162104,-0.426180314266541,-0.255141896830237,-0.396301279120878,-0.678201878394417,-0.206990992329286,-0.38918304427272,-0.538568445043473,0.325945387042709,-0.277453569453329,-0.185549213702299,0.00795491652090912,-0.53032666261658,-0.337732433352963,-0.454153036623825,-0.402868003878655,-0.570101474069338,-0.479808977804713,-0.298616517332411,-0.103105204929707,-0.495702698709949,0.0271909447627228,-0.602472007954043,-0.140881418464279,-0.560134042857734,-0.322363504935279,-0.314244587575951,-0.395623558227915,-0.395141655625739,0.310799781518126,-0.524935766617808,-0.479964151506811,-0.427884478428856,-0.496919930737609,-0.205849163468625,-0.36174919597001,-0.347243380858737,-0.216240494293685,-0.676123078142804,-0.613247883099192,-0.166666666666667,-0.218644165949174,-0.322319721870604,-0.233765906136691,-0.564666057315892,-0.158375056765419,-0.580908763669809,-0.382669370249964,-0.152836348575133,-0.530420881912603,-0.362659446817821,-0.522846718416419,-0.0347305876382454,-0.495520813817128,-0.378494638933497,-0.308895092070683,-0.467926845798606,-0.458197606939904
"EPEC_Bs_2 (GE) - TPM",-0.319489579838943,-0.437445636265357,-0.324001038150292,-0.46528013771147,-0.255141896830237,0.157874844171213,-0.62116161646359,-0.272280212861687,-0.304713458466734,0.0879200472420167,-0.218501683796545,-0.277453569453329,-0.437085666957951,0.291471804777268,-0.63755941064399,0.113475475942495,-0.431066315528515,-0.184725434291883,-0.234911646594563,-0.518530759406462,0.801798756906583,-0.312174154636623,-0.397100774657678,0.282814419616355,-0.356794055574215,-0.096528180548668,-0.638296389518045,-0.322363504935279,-0.377053614602862,-0.395623558227915,-0.533998826650713,0.369735418353387,0.183863570708079,-0.452581929960673,-0.427884478428856,-0.366411178439379,-0.348749427866755,-0.296771095279823,-0.419606077126789,-0.441307787872001,-0.613706493513817,-0.075636819812011,-0.166666666666667,-0.38621065946643,-0.746835379833429,0.155534147529541,0.18418633989088,-0.264514571974047,-0.265357606520424,-0.382669370249964,-0.30293496881181,-0.453774653759717,-0.362659446817821,0.0937267133693219,-0.323124605169998,-0.0304869721841901,0.273893198468588,-0.184450900990389,-0.467816462128789,-0.408958795933202
"EPEC_Bs_3 (GE) - TPM",-0.326104212539804,-0.28663186814263,-0.386400818983853,-0.455154294448376,-0.255141896830237,-0.435757043052481,-0.531423007757104,-0.596274879175596,-0.598627989584386,-0.172497284976697,-0.440118026693551,-0.0437766824959087,-0.190422825495659,0.427264827433758,-0.871710280111236,-0.131300737205132,-0.745238069596833,-0.648222096102441,-0.2948634638544,0.579751197864848,0.44451637125495,-0.107155993163284,-0.495702698709949,0.00866898236546475,-0.508805438415937,0.15695716397498,-0.565846261143755,-0.322363504935279,-0.253869456883403,-0.259009392429334,-0.397832064631093,-0.00832695480750778,-0.0655882363968712,-0.348277634707949,-0.427884478428856,-0.422283763819082,-0.629782634477468,-0.502701652657215,-0.295305702848162,-0.32045071624226,-0.335262657535038,0.129931740137426,-0.166666666666667,-0.512062221667197,-0.568425161138619,0.0571588320705162,-0.075778786765389,-0.264514571974047,-0.256742683092179,-0.382669370249964,-0.30293496881181,-0.71134829082553,-0.362659446817821,0.0226255256597785,-0.323124605169998,0.30231863038042,-0.378494638933497,-0.376297109637334,0.0226021372097298,-0.488196418765001
"EPEC_Ctrl_1 (GE) - TPM",-0.352863440835943,-0.437445636265357,-0.343111434103814,-0.473143776827437,-0.255141896830237,-0.460254497780854,-0.675710711205815,-0.796246747172553,-0.804998382084188,1.05340682548298,-0.409275275396493,-0.277453569453329,-0.437085666957951,-0.653026865536462,-0.871710280111236,-0.337732433352963,-0.381468203014645,-0.708082209734125,-0.564358044117204,0.799400755200618,0.316934079597288,-0.312174154636623,-0.495702698709949,-0.64385965871342,-0.602472007954043,0.257238910392086,-0.662486597910463,-0.322363504935279,-0.233541252571117,-0.395623558227915,-0.533998826650713,-0.301814606551152,-0.400687632314946,-0.646367587600383,-0.427884478428856,-0.496919930737609,-0.9383704360596,-0.46819837932063,-0.258861890747165,-0.610183034921019,1.0324133657252,-0.424986261595509,-0.166666666666667,-0.533340779698324,-0.746835379833429,-0.536418662247312,-0.716973834628628,0.220521839089675,-0.628754216899404,-0.382669370249964,-0.30293496881181,-0.510687284416939,-0.362659446817821,-0.198963523744471,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.333821972308146,-0.405797616831066,-0.517435391064271
"EPEC_Ctrl_2 (GE) - TPM",-0.363811190962518,-0.294102710608609,-0.440028787939032,-0.484666411096261,-0.255141896830237,-0.406436614352807,-0.614714965121635,-0.733470632296522,-0.328909202901017,-0.663828101393843,0.438830618050151,-0.277453569453329,-0.437085666957951,-0.242315897089132,-0.553524514693321,-0.14152671775764,-0.687113893792871,-0.594292548167776,-0.250148073295864,0.766834402408953,0.664255389650521,-0.312174154636623,-0.495702698709949,0.000970425696854489,-0.602472007954043,-0.450726735849602,-0.540912697845645,-0.322363504935279,-0.377053614602862,-0.395623558227915,-0.275155853632567,-0.373496127311462,-0.539812044985685,-0.625986726314291,-0.427884478428856,-0.213164231713262,-0.438704348149379,-0.740691558958281,-0.516146669100526,-0.059423263261505,-0.763453251317661,-0.174815101671521,-0.166666666666667,-0.297459689416557,-0.294642487978584,-0.348360821703628,-0.40957016427485,-0.264514571974047,-0.158022276637353,0.38219403901296,-0.30293496881181,-0.606144516122459,-0.362659446817821,-0.383908372633974,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.401868953282472,-0.362060798769245,-0.446864720392161
"EPEC_Ctrl_3 (GE) - TPM",-0.398559711610582,-0.437445636265357,-0.456369598227599,-0.535709717059815,-0.255141896830237,-0.545454630808771,-0.956905392899234,-0.659105051686325,-0.364113788553323,-0.663828101393843,-0.627017876271071,-0.277453569453329,-0.437085666957951,-0.653026865536462,-0.752309200562139,0.0304043093311792,-0.571203183339626,-0.494581011636978,-0.292845850266972,1.85975500405789,0.1626249894443,-0.312174154636623,-0.29458149520849,-0.638023113572159,-0.602472007954043,0.0911250622217317,-0.781299268990796,-0.322363504935279,-0.377053614602862,-0.395623558227915,-0.533998826650713,-0.220930113750157,-0.630497578604841,-0.51215985133517,-0.427884478428856,0.301687529686459,-0.692387044903923,-0.389516826167826,-0.516146669100526,-0.437953165680202,-0.458010447008745,-0.0723878862005954,-0.166666666666667,-0.32341267646993,-0.640780353720334,-0.0071450832365372,-0.235209108696284,-0.264514571974047,-0.313605298022434,-0.382669370249964,-0.30293496881181,-0.411630925215231,-0.362659446817821,-0.201362064291385,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.483011199112289,-0.0142267749585938,-0.503676223754687
"EPEC_Li_1 (GE) - TPM",-0.358579056760124,-0.130382114044548,-0.347534101986375,-0.535709717059815,-0.255141896830237,0.0501431160160926,-0.223563202380967,1.36747853999788,-0.491640886792995,-0.663828101393843,-0.627017876271071,-0.277453569453329,-0.437085666957951,-0.653026865536462,-0.190105370942584,-0.337732433352963,-0.149418708466702,-0.708082209734125,-0.940377151282735,-0.209268541932804,-0.607135514919697,-0.312174154636623,-0.495702698709949,-0.92876308682569,-0.602472007954043,-0.450726735849602,-0.182228803561647,-0.322363504935279,-0.377053614602862,-0.395623558227915,-0.533998826650713,-0.472947404467224,-0.916071682436872,-0.502271075401073,-0.427884478428856,0.414855351959555,-0.266385093826223,-0.0555330953792936,0.158316337310262,-0.216911132325495,0.980176836413859,-0.440421237236539,-0.166666666666667,-0.0108597386869756,0.221834273110495,-0.133568625506912,-0.693329158758323,-0.264514571974047,-0.781630917402139,-0.382669370249964,-0.30293496881181,-0.352611570612368,-0.362659446817821,-0.216194795818146,-0.323124605169998,-0.495520813817128,-0.378494638933497,-0.483011199112289,-0.904074071075135,-0.528399652717968
