"","VC0013","VC0071","VC0091","VC0121","VC0199","VC0425","VC0474","VC0475","VC0538","VC0547","VC0600","VC0608","VC0610","VC0649","VC0650","VC0676","VC0710","VC0714","VC0747","VC0748","VC0750","VC0771","VC0772","VC0773","VC0774","VC0775","VC0776","VC0777","VC0778","VC0780","VC0781","VC0938","VC0940","VC0960","VC1006","VC1009","VC1012","VC1013","VC1044","VC1052","VC1117","VC1128","VC1161","VC1165","VC1201","VC1234","VC1264","VC1341","VC1342","VC1358","VC1430","VC1482","VC1499","VC1543","VC1544","VC1545","VC1546","VC1547","VC1548","VC1567","VC1572","VC1573","VC1588","VC1635","VC1688","VC1701","VC1712","VC1903","VC1913","VC1931","VC2003","VC2004","VC2039","VC2075","VC2076","VC2077","VC2078","VC2098","VC2165","VC2168","VC2209","VC2210","VC2211","VC2223","VC2236","VC2271","VC2308","VC2326","VC2540","VC2650","VC2720","VC2730","VC2732","VC2755","VCA0067","VCA0079","VCA0098","VCA0214","VCA0216","VCA0217","VCA0227","VCA0228","VCA0229","VCA0230","VCA0231","VCA0233","VCA0271","VCA0325","VCA0560","VCA0565","VCA0566","VCA0576","VCA0578","VCA0785","VCA0849","VCA0893","VCA0907","VCA0908","VCA0909","VCA0910","VCA0911","VCA0912","VCA0913","VCA0914","VCA0927","VCA0930","VCA0976","VCA0977","VCA1052","VCA1074"
"Vibrio_As_1 (GE) - TPM",-0.297093103746732,0.251721173877344,-0.505372927900585,-0.504713210222237,-0.402532123141052,1.13448235636401,-0.428079268647926,-0.463740698376198,-0.421062622896261,0.802281802568123,-0.519641332084752,-0.36100365168103,-0.380601884838672,-0.439083203439974,-0.423083625118581,-0.388286787745712,-0.637512062289108,-0.748212546210366,-0.46372141878474,-0.188905351272983,-0.14109871271486,-0.430593464415134,-0.496749968426359,-0.437893831707235,-0.439435368886426,-0.447314218289695,-0.479624764225615,-0.458064672776411,-0.407907128545807,-0.464542335909828,-1.04915703218623,-0.0465485335239039,-0.479153288069911,-0.47376992711898,0.142296163332712,-0.670503479302743,-0.584293123430121,-1.10133517853123,-0.557991751720996,0.888719470586813,-0.71570995942347,-0.0905534273039192,-0.632500648397322,0.296064659818805,0.359949732555471,0.0168312043743537,-0.28248887003875,0.131828378244604,-0.453886716367063,-0.775270437408047,-0.168848940271412,-0.216379068819903,-0.553933746714925,-0.295756949395996,-0.319052461490166,-0.311409716449357,-0.270497792784268,-0.250054931254288,-0.250044091375316,-0.294322810210271,-0.450955197081112,-0.471585764538469,-0.81801694345561,0.160680276256941,-0.460066457514399,-0.312141229003225,-0.74017545984747,-0.696299889554022,-0.687032588054177,-0.398990707292926,0.240987886440025,-0.331077518046482,-0.827018154426646,0.687416108718869,-1.11242236810805,-0.11011573765273,-0.00708034368736717,0.579564707701351,-0.389136036220996,-0.528554815724941,-0.460584005470786,-0.481166583071655,-0.454971830506027,0.0248631924212507,0.241131186506722,-0.840159082578713,-0.947143333411825,0.342348872278854,-0.0446780147561098,-0.94613378416678,-0.108135684351638,-0.79698814588004,-0.333014479277322,-0.670544976910735,-0.87417377105202,-0.253612430548018,-0.125370783304867,-0.494105841904545,-0.577358731116509,-0.557452785192783,-0.095977328165654,-0.612950040890373,-0.00535635582665522,-0.398161959050942,-0.511707336011226,-0.546260734769273,-0.785865686793312,-0.00128355639899128,-0.32807626827403,-0.897263191604249,-0.770714084073201,-0.441457512396685,-0.615157596746633,-0.792611163808327,-0.671065365415363,1.24806959431665,-0.407822208422077,-0.430926652832827,-0.464828297704049,-0.399436228302928,-0.379271660909961,-0.418005494743735,-0.401766678812715,-0.427632037262316,-0.570664004323938,-0.727268174697178,-0.476161858285757,-0.441006872178032,-0.0349129127818102,-0.561714026523809
"Vibrio_As_2 (GE) - TPM",-0.114778425850928,0.434286406151775,-0.508187890742884,-0.628456953631428,-0.0876308030604624,0.209901814676676,-0.402901674008679,-0.433965209965032,-0.242090696692931,-0.26334988464471,0.207270542905039,-0.34095975129414,-0.352105115377913,-0.350706001122017,-0.4486414050422,-0.300410260660378,-0.354153990264719,-0.578830136684604,-0.177076999157745,-0.0908410833333848,-0.206800317306617,-0.42912443017794,-0.474199474647134,-0.434450201374495,-0.435853639995793,-0.442609681704276,-0.501186340310297,-0.401450572352009,-0.405064668407724,-0.572649518154073,-0.673528994532808,-0.01300902771671,-0.21980465817644,0.243587025057994,0.617134785573505,-0.564462573235413,-0.437155240452215,0.682730709752798,-0.528162119607609,1.27995668555136,-0.655354161205138,0.78321505865603,-0.752388163284999,0.0894423728306225,0.772728266888097,1.23627668761636,-0.113642306835506,1.30930622404619,0.70113996481425,-0.641455084099446,-0.676026974839395,0.266543785591926,0.749256078172737,-0.373697700437505,-0.177468046130226,-0.0176347592553242,-0.249385843498663,-0.260981984700819,-0.0697925109035621,0.45900144272629,-0.47568352619577,-0.47300286670707,-0.939064704865177,0.430857813168949,-0.472960382994647,0.762868197822058,0.90572223756163,-0.732899007778959,-0.746206284045108,-0.492172457068651,0.659950219583134,-0.182277006154329,0.0054502406667845,-1.09033672330215,-0.780953176702012,-0.606837997052268,-0.477511914317503,1.32711177016806,-1.06997956841469,-0.0105041733034431,-0.454160962515486,-0.484257228353485,-0.468279399326529,0.658585859079657,-0.657452981151863,-0.988891390176833,-0.505794544008496,-0.0117495407651401,0.591147515497849,-0.620346841412659,-0.521222817941385,0.079164643188804,0.127044533575373,-0.711213486924734,-0.0168275185856691,-0.121786444456095,-0.23669493582832,-0.797967846226782,-0.509177357530233,-0.522076856535994,0.0588689846944082,0.165737587842818,1.34190197828848,-0.309371309139444,-0.51140559534535,-0.480471562333252,-0.397727294862328,-0.397474825451508,0.252750747344178,-0.612686511550811,-0.394494538939012,-0.435075574997772,-1.16671525275962,-0.631436852783409,-0.589745394437926,1.03267062982721,-0.442526838656486,-0.469527813933695,-0.445437181890949,-0.375535827741282,-0.395217924140518,-0.297531115185082,-0.37189003355679,-0.444586158867676,-0.532450065270829,-0.222156833609974,-0.453396628300607,-0.431224954412981,-0.775578002612191,0.0683556978350286
"Vibrio_As_3 (GE) - TPM",-0.167625498496932,0.505973509925247,-0.492851900786785,-0.628456953631428,-0.293108476695102,0.307818773289932,-0.491202804341195,-0.458067443382871,-0.449905748921368,0.619315569549264,0.854845296517829,-0.392243589247118,-0.164305774529296,-0.369362541812014,-0.448882668900013,-0.665268021048043,-0.26399644791075,-0.596218707263803,-0.211276310025006,-0.0148255884401954,-0.156692273910166,-0.395858906775681,-0.499935751360921,-0.429311464418418,-0.435571427873803,-0.452782699460593,-0.505087155377315,-0.459127423931425,-0.417988033451237,-0.309014145277057,-0.427936649799979,-0.303234269232852,-0.292208381401247,-0.0133234802226844,0.210141829536105,-0.638682837203746,-0.595441667107695,0.0974437932506449,-0.0217715251572311,0.399313059788352,-0.669628067541241,0.491158664502038,-0.65804947056171,0.402434975327794,0.665357844834709,0.348959232854901,-0.319618392245389,0.367107963227074,0.0383391648849015,-0.753715680117303,-0.546252615732518,0.380206720284175,-0.00757217075552263,-0.243468943265325,-0.17737058990596,-0.307711835113663,-0.269739082421927,-0.300750398331854,-0.224692226367844,-0.23606616103859,-0.47568352619577,-0.439888934561255,-0.825489423890908,0.698080947546205,-0.47551224152628,2.18297553437325,-0.360215986770361,-0.473708314358025,-0.632791741412064,-0.445452715281852,0.959477116525037,0.123226492159183,-0.17465170646919,-0.0635442346496466,-0.842160630335328,-0.584174508046641,-0.52228286762118,1.52965928902004,-0.628977303415252,-0.167209654140317,-0.455245260006882,-0.458283089243495,-0.462317275287554,1.27695570144711,0.244259932730253,-0.823079304657417,0.281316143613768,0.919299567324205,-0.00479010099651194,-0.517201399694999,-0.622701958985008,-0.360207685337125,-0.329213081500263,-0.745023892184834,-0.194056615215076,0.0177801994994545,-0.22725165870747,-0.622074165453943,-0.574211359791027,-0.595397325103571,-0.0560410272550301,-0.37350610137438,-0.0284923967338231,-0.316765504509874,-0.497577462953736,-0.49014229449888,-0.558125430942231,-0.515001378825935,-0.725914307158525,-0.66763721857731,-0.468941777517762,-0.435380697760155,-0.546605376710937,-0.68477294291922,-0.616109135840621,1.10897374235695,-0.423777083758866,-0.421175961543485,-0.466625691308057,-0.388495357624034,-0.418909904970169,-0.427410943287688,-0.389317966034775,-0.416261855508299,-0.516102297460034,-0.665366386888084,-0.460141746067487,-0.436849270893207,-0.799641763100633,-0.312482326171464
"Vibrio_Bs_1 (GE) - TPM",-0.565671117151959,1.1435003356635,-0.504562228081108,-0.628456953631428,-0.481842509258526,0.565570587343137,-0.451968702656961,-0.412118436679245,-0.209020779703662,-0.136018835776824,0.388394784411791,-0.484122713342067,0.499895908064506,-0.408628374059796,-0.323449982322186,-0.172911532544375,-0.334554729012457,-0.404339053882931,-0.335480997826753,-0.220447127267637,-0.0589982067267589,-0.442597099661292,-0.451235029619434,-0.433843254987733,-0.436068667909652,-0.425584220287757,-0.468116725005391,-0.404652026043604,-0.356208543020206,-0.129332917141945,-0.0104904104403761,-0.0281085214723903,-0.257712780857115,-0.122038340088818,0.276750315799428,-0.545210486414677,0.424045207448578,0.859337127899505,-0.047088590415887,1.07095430111621,-0.526182819273363,0.625096890189034,1.67650351298945,1.79308730017909,-1.67944395466243,1.7622793977735,-0.378064734386501,0.151818265136526,-0.608187674661776,-0.407448072446457,0.607498515327089,-0.105686840045448,-0.129086191859782,-0.123466441687204,-0.262828184355382,-0.233211199714841,-0.279741119260822,-0.336301810983366,-0.356145504294639,0.359569567481692,-0.461150049924375,-0.456246042461948,-0.497567709112639,0.748948719963294,-0.447815024567708,-0.0861687186320593,-0.060146225646031,1.10829466868069,-0.481506778400451,0.186910176238575,1.17355667114864,-0.411512171064451,-0.0694288122099479,1.18977123361944,0.0092983980468804,0.274156295817185,-0.200149049025632,0.584939274965358,-0.374532122041194,0.84510863380833,-0.444324256881652,-0.478329632005395,-0.459497079490725,0.661489365512583,2.45085303923423,0.708961072389948,0.452286370641071,-0.808591987321414,-0.0229083203759465,0.451935824481197,0.127327017882905,-0.271139452601879,1.59364208478441,0.1613887328385,-0.157144353808114,0.0385655347317241,0.935528452643614,-0.165373646771528,-0.553305625444753,-0.578598273878939,-0.461067310431185,-0.598939188218646,-0.121605745843003,-0.327389814318382,-0.503592339857094,-0.458300543981897,0.279432438397375,-0.409977553210728,-0.138175899438165,0.0823854373270925,-0.339845727628446,-0.464718407320294,1.0956511368293,-0.666019473323491,-0.289764441155349,0.09094410194029,-0.518082445396434,-0.432663608340254,-0.47775985085621,-0.404645290830902,-0.399051883860765,-0.425364308870814,-0.375452921549116,-0.36789079778138,0.30367806321227,0.260319881244335,-0.437257862755251,-0.435348270203515,0.75038685920724,0.0714476327083781
"Vibrio_Bs_2 (GE) - TPM",-0.189991256051665,0.00298736827858354,-0.507287784949993,-0.628456953631428,-0.236457182572694,-0.17448850639704,-0.490387707393559,-0.39932482540725,-0.559968261720147,-0.39347655968912,0.611204834707206,-0.47334764325006,0.664646537841362,-0.122778969202026,-0.152922412774441,-0.387584756456223,-0.95414148989852,-0.650980980531769,-0.369335220638691,0.0442399424486131,-0.315240431219806,-0.402817458785582,-0.469086605270597,-0.431015893687381,-0.442457873470169,-0.425676665457059,-0.390122372053371,-0.438334032264936,-0.38749562453022,-0.310530744439815,-0.393375361059292,-0.314333881174322,-0.476414329515316,0.521141055399799,-0.441950959788728,-0.601765249334995,-0.389274442101948,1.13555867454633,-0.303627663206657,0.276933398654783,-0.580207368617672,0.829729052339896,0.918917044278151,0.622810291963901,-1.67533309066332,0.318482850027484,-0.334688159270365,-0.116211319558637,-0.200975394821555,-0.470811534995784,-0.513818249579873,0.13794265930193,-0.123478999132688,-0.234990437247187,-0.224897407588256,-0.055807954731304,-0.272841329316593,-0.283514739923239,-0.2418144555823,0.574448394708279,-0.47568352619577,-0.443665495069473,-0.838996425555843,-0.181705369571619,-0.45616499606664,0.25495760519629,-0.742232867573756,0.479692322802036,-0.920734734017316,-0.365006012528495,0.649738364484124,-0.29823932894516,-0.386448260853424,0.552814798857694,-0.70375757565976,-0.389619416161524,-0.193263644949883,0.241459747773239,-0.528407926532838,0.117998349205951,-0.450036298900566,-0.482622950642705,-0.469678929234688,0.055952907226344,0.880537135395203,-0.468026442503275,1.24029563693875,-1.22906018924337,-0.574791263050956,-0.0402049333682449,-0.137838710869398,-0.335445774307395,0.990307635715475,-0.41961718555674,-0.257900835766233,-0.141997153795556,0.871219931291434,-0.744935698124715,-0.513152600074668,-0.60445268928697,-0.425386978776623,-0.43393648726409,0.647787556070738,-0.12501667728371,-0.474756011102984,-0.480636731689648,-0.596162078789667,-0.6982197846134,-0.408795630439084,-0.212908650519536,-0.684255590156451,-0.465043985963535,-0.102327619360602,-0.966465586075345,-0.441522834834364,0.0547833176052971,-0.512469435160191,-0.463144768330102,-0.462420036596846,-0.394535129583977,-0.391151976233441,-0.41765050080066,-0.310840159121415,-0.3217659444561,-0.532873326789695,-0.146122014181153,-0.451599054635085,-0.426039056051902,0.409547308937362,-0.247105350679427
"Vibrio_Bs_3 (GE) - TPM",0.345529386904855,0.889261700428976,-0.495611487333946,-0.628456953631428,-0.426592750711407,0.278832831062195,-0.447693783568765,-0.442222141645012,-0.316829744311414,0.151011776262324,1.29638606569169,-0.4719714968979,0.923995376774768,-0.194842610895391,-0.410723609320824,-0.45781395426676,0.28672791635626,-0.576273409128472,-0.186462716194694,0.103166289028149,-0.370843979121369,-0.411298271926585,-0.473304628228539,-0.434211705480859,-0.431094341221868,-0.446930642366516,-0.471143362896605,-0.471368889194052,-0.380487865217193,-0.431197119667296,-0.393123542017978,0.235686975257295,-0.320056010130753,0.602601891737996,0.118849876783098,-0.629310779093097,0.237163793174001,0.690877548008823,-0.163082125572951,0.310052322133849,-0.664468790310156,0.433417996385158,0.947496347058041,0.852031692190368,-1.32374174328406,0.737415521809158,-0.370528296365528,0.226105127695237,-0.0391642534362375,-0.61335022333249,-0.254808811625903,0.148010002022594,0.426469788529408,-0.338670306516277,-0.201006361635749,-0.217153387272962,-0.235056044867492,-0.293120374175801,-0.341704830274651,0.163677506097457,-0.458068225846053,-0.466247669636111,-0.763275634240429,0.571127657623723,-0.46012141830796,0.62523992560519,-0.223530820909877,0.406162188503263,-0.725861433345268,-0.334557764079682,0.882754499567459,-0.332077068386004,-0.241491635461134,0.592912381999898,-0.844531912362791,-0.392240683279471,-0.204519324130822,0.586308361455622,-0.323732333791063,0.569521604581538,-0.454548230750362,-0.475807452577146,-0.467314427208697,0.26146333661941,0.577163412536427,-0.043373205432724,0.624492644955257,-0.720977474224571,0.130870024426091,-0.391371606952496,-0.533851882859042,-0.364767189189519,1.29300773331573,-0.672361725510557,-0.301646530182818,-0.163364476005298,0.198871941402394,-0.544852168660463,-0.559819912250545,-0.57796384366541,-0.376564225826762,-0.383693917666074,0.181515209078287,-0.367870166140956,-0.50170923726862,-0.602493148657534,-0.657462829953644,-0.457039519739486,-0.529474131971497,-0.45485011662964,-0.440236298388885,-0.470169178007241,-0.363261235614084,-0.592519255657851,-0.207134783458295,0.762490184370576,-0.5078373797642,-0.434696417597382,-0.460646317716586,-0.404978916337263,-0.40858100320032,-0.428191244664974,-0.357888288028716,-0.309377203340671,-0.631530570594796,0.865252947606152,-0.474200452234521,-0.436166881089,-0.448644533540921,0.17562977535293
"Vibrio_Ctrl_1 (GE) - TPM",0.108573288021135,0.455860926347703,-0.511665104359867,-0.628456953631428,-0.87802345330622,-1.09904356041198,-0.475418254844722,-0.487956719791556,-0.667852797725065,0.776227690360391,-0.0463748426742576,-0.54822971315797,-0.620997674673005,-0.47332458849671,-0.425664618471881,-0.567278331032029,-0.394776420565439,-0.72543090773337,-0.422401438626029,-0.433346000234152,-0.314563240990488,-0.457561977458699,-0.479096720874685,-0.437893831707235,-0.433370869855805,-0.445820912050217,-0.467544639588643,-0.423370763400397,-0.403483937591047,-0.447822360448997,-0.607658783511776,-1.13894761861546,-0.416086694596234,0.285084454422596,-0.519700503777903,-0.490839771448809,-0.197202467431462,0.246368811028294,-0.298488763998729,-0.7701437892964,-0.643455885426426,-0.00400574480934056,0.114361108197158,0.110559120016038,0.0841766878115838,-0.369126822081017,-0.722435685766041,-0.677258430904311,-0.937926480328432,-0.655239541312549,0.302173112699317,0.0235437714905888,-0.520159052664659,-0.536029146513987,-0.492480020984728,-0.657480553461889,-0.554750008648772,-0.59522084538555,-0.643089064177009,0.128268343930347,-0.459249491700867,-0.469384772463684,-0.396762279890905,0.48254672716211,-0.43374522781919,-0.867429293662945,-0.45552743464877,-0.129270666639505,-0.927205643584738,-0.48681896863986,-0.18467621663788,-0.675881109937521,-0.422811369592413,-0.637283780738836,-0.745068919459254,-0.590330129774797,-0.525914364141959,-0.40973315495983,-0.298773041204535,-0.72905508000974,-0.462004177248908,-0.487113943014425,-0.470263498150191,-1.33115827169321,0.410563657737242,0.554001048875843,-1.75022426877014,0.0455218005490239,-0.493307340891706,-0.275643391909019,0.0536313255651773,0.62321558215095,-0.0324221035736064,0.3975558685404,-0.439273045709068,-0.261981789803819,-0.928044524025554,-0.0597063360113472,-0.53334119861272,-0.541899689739762,-0.635432818566562,-0.545930573089998,-0.688841125837944,-0.658909728189728,-0.514443779176911,-0.58220596757301,0.0685758171025896,-0.126773592970955,0.101041389938466,-0.00454126518503635,0.149118753927668,-0.480374995267771,-0.326537491585697,-0.0305730291436252,-0.918989913234387,-0.561834743351406,-0.517546236693558,-0.485713609420537,-0.49021807184588,-0.400239866466733,-0.438690275394741,-0.457313331011824,-0.423717478384138,-0.465828682082088,0.00646735733753289,-0.644172863418173,-0.464705856276722,-0.438076553664263,-0.576091285964163,-0.550650112303847
"Vibrio_Ctrl_2 (GE) - TPM",0.578264228273904,-0.315375077712677,-0.506646597101634,-0.628456953631428,-0.901802599905927,0.305601986770173,-0.460114608197432,-0.414765152514297,-0.459970802101305,0.619674218434688,-0.655915493898989,-0.54505786556098,0.376086578578259,-0.426112601508591,-0.365400374325877,-0.266135255209112,0.275438246091861,-0.800438570187023,-0.45888860436151,-0.673767548991106,-0.823265342192695,-0.427009442507487,-0.483995868310466,-0.425607294011537,-0.437287251732355,-0.421565827609597,-0.401086183769406,-0.450885226771048,-0.38491883203075,0.126654754513283,0.019889265514106,-0.735334272382798,-0.330316857568081,0.621700747232333,-0.673728110070138,-0.578457790168667,-0.184168057037192,-0.778836900386748,-0.560273538843894,-0.819362319049798,-0.654403525218429,-0.436021023645984,-0.324864194458269,-0.940713254664864,0.0537431355813683,-0.192581918696853,-0.727440029642229,-1.15377915052633,-1.23619502686732,-0.735039110221388,-1.1821555510365,0.415310393961402,-0.950287671546246,-0.609497386091706,-0.374287839651847,-0.617764099421039,-0.576476199319006,-0.619942908361605,-0.630181669044082,-0.501574843054647,-0.469672055494379,-0.47155454985177,-0.857125212189447,0.389942694017285,-0.38029564036848,-0.900709862615608,-0.174025344963719,-0.340413986565269,-1.09119110268357,-0.732348007390485,-0.225800160412638,-0.648635507936017,-0.555942545512241,0.876171613280377,-0.328720030185518,-0.458911453326546,-0.456214925305606,1.12119847412541,-0.119084273298997,-0.32885011443842,-0.445692937476429,-0.452269020703174,-0.412614584732441,-0.954713576336712,-0.463962972859091,0.905943325858591,-1.5262944731437,2.50420480390167,-0.492214213963165,-0.794644950310448,0.0510478033983104,-1.63510033688826,0.371749625495445,0.115917883454112,-0.408767534930235,0.111759658695559,-0.677330155798574,-0.51395482442749,-0.548966576356031,-0.528581850806656,-0.620872089719035,-0.857103581573034,-0.850871441857256,-0.706165593190697,-0.506770046738108,-0.602493148657534,0.399621382260372,-0.308027519871299,-0.498486747514646,0.118595085608039,0.0183814974761875,-0.476991579416261,0.0595162637033153,0.387945654990704,-0.849101088812634,0.368827902137392,-0.551400388834072,-0.4674206095066,-0.505604177825764,-0.408446573939401,-0.410231721084009,-0.413154646075813,-0.420559673259815,-0.475936026417017,-0.845141497521916,-0.918030200304615,-0.470422672623188,-0.432065902407338,-0.745576672848879,-0.831150483596607
"Vibrio_Ctrl_3 (GE) - TPM",0.205384473987558,-0.480234602157891,-0.527174246500231,-0.628456953631428,-0.738164047738562,-1.29175374402753,-0.493391120436179,-0.490994619289742,-0.744693204511,0.478701752258477,-1.19569100344694,-0.526532592362092,-0.981928316621646,-0.541684860859042,-0.496517456697753,-0.608840619516906,-0.0484463088323482,-0.374965547376881,-0.611504525474255,-0.612983093312421,-0.785272240611052,-0.446646414548152,-0.462076775728964,-0.437893831707235,-0.442457873470169,-0.44445148025783,-0.478889155766488,-0.410103747710221,-0.286742752288479,-0.409196103043431,-0.567434475073228,-0.896435243174927,-0.451807162752334,-0.746110030466567,-1.03896060269425,-0.543178089422172,-0.481360251138533,-1.10929439998529,-0.720444146873724,-0.62041798039065,-0.621387504745301,-0.492556732705968,-0.221120152976036,-0.578449643339472,0.146836544479311,-0.632176545676012,-0.721015709334554,-0.742883049717278,-0.711555074663769,-0.693482093587143,-0.992010940602807,0.298512145663815,-0.84825037719031,-0.578304659200979,-0.45851557590167,-0.525585398610443,-0.596426565982519,-0.632068496238888,-0.65594122263505,-0.257564790410855,-0.47568352619577,-0.457276424565659,-0.334183827869304,0.169748664551222,-0.46123687959575,0.716906898053364,-0.761368896806952,-0.141311580601312,-0.454643945080629,-0.486733856846482,-1.04043274766373,-0.547298227720149,-1.25509102533327,-0.10547112485867,-0.539458357876049,-0.487284355974034,-0.706030794988236,0.106880494070428,-0.287750708133925,-0.285063455365192,-0.452844405361367,-0.474134949970789,-0.461035679548946,-2.08283111084684,0.936216648871383,0.546744351821547,-1.28306218209084,2.70698563774104,-0.548748098413954,-0.250428587733721,1.19334922170993,1.1304054877102,1.48612511855687,-1.02472697007263,-1.0273690294772,-0.373103417479829,-0.852117927173917,-0.65104401083451,-0.585933873971087,-0.645541115642943,-0.660447143401879,-0.866062221836304,-0.793322468808327,-0.573784098519024,-0.531710735240187,-0.602493148657534,-0.539665345082689,-0.231405133646937,-0.680154929441983,-0.00173916977579195,-0.0656559721307672,-0.485946949482015,-0.275284737893195,-0.274406283138039,-0.899385472053148,-0.808262325765777,-0.465666327663918,-0.468072286749322,-0.481734733503416,-0.410074347337602,-0.425677610973158,-0.452323207949211,-0.4219655984284,-0.286431065897612,-0.629426875326654,-0.388733179914391,-0.479351464637255,-0.440866389392716,0.382233953961353,-0.659737850831276
"Vibrio_Li_1 (GE) - TPM",1.02545665590228,0.0059050324575152,2.69742357871186,1.55632385511933,2.51225775539882,2.08640276874042,3.08838974869082,2.52019164433545,-0.169700056592842,-1.796835976997,1.23074770208187,1.79532904801614,0.724091360487213,1.05183125185926,0.646988516735331,1.69907544438684,2.8810572163033,0.362930262878964,0.354615912140737,-0.0751473681599251,-0.648760338385501,2.51180186387233,2.49190522081899,2.7198371192159,3.5950774385127,3.13590620249967,1.80238498842639,1.30686028554273,0.835756556332416,0.903255699541475,0.30117413793169,2.97606340861824,1.34552760503171,0.129912867968305,2.58705602050669,2.68337901052996,1.13165947299491,-0.0144683522671525,1.71265692456973,0.921875920833793,3.39927267961247,2.4254723315865,2.87680934095995,-0.212220164394635,0.172885093701246,2.2643951214353,0.561355811924314,2.14990947723413,0.923893329413808,3.33569525287033,0.768353571739176,0.904563172700546,1.958602249006,0.708289402528272,0.182410904036678,0.92267277044744,1.26753883889126,1.99502537338056,2.48652861400763,1.43715165373976,2.41676259300768,2.72498743246269,1.83524500394319,0.128237714511987,1.4152506961606,0.0792162013402579,3.54175503756272,1.46325073981161,0.572756818932461,1.23137245902824,2.11047176175444,2.15147921725791,0.721863550517925,1.73664747433105,1.74714571403364,1.54171585439852,-0.650939498359292,2.16427479752047,2.04903191670147,1.9486884181837,2.74461643924141,2.81422924372462,2.79112976422573,1.70298219442177,2.45269932793703,0.819391032994824,1.61572864248418,-1.24997431613971,0.813652122323175,0.790279841237861,1.68569249132897,1.59992748628186,1.20146905950115,-0.188290973202223,2.2194407985747,3.18270800258412,0.0906928059889669,2.31580711725496,1.38037413028974,1.81534188213888,2.38796731349154,2.23838947903658,2.16578699895265,1.89630196395205,1.34574362396742,2.7234602274987,1.19392903434331,2.09834565927014,0.442151343887868,1.65478451496945,2.56159958522771,2.03688717749107,0.315209001317811,1.91669084274989,2.16746405723093,1.8061999920157,2.62754280657228,2.06275368538946,2.03261252497186,1.14284074925162,1.52510045126131,1.65092691122248,0.949813766298379,1.28013914577094,0.487532902563177,1.39302141157083,1.49038286210364,1.48341010503355,1.50856723045903,2.620435318838
