"","BB_P34","BB_P39","BB_S37","BB_R41","BB_R42","BB_O40","BB_L39","BB_L40","BB_N38","BB_N39","BB_U04","BB_Q06","BB_0010","BB_0035","BB_0036","BB_0067","BB_0088","BB_0090","BB_0091","BB_0092","BB_0093","BB_0113","BB_0122","BB_0125","BB_0126","BB_0154","BB_0157","BB_0172","BB_0176","BB_0178","BB_0179","BB_0200","BB_0201","BB_0215","BB_0220","BB_0235","BB_0236","BB_0246","BB_0269","BB_0276","BB_0277","BB_0278","BB_0280","BB_0281","BB_0282","BB_0283","BB_0285","BB_0286","BB_0298","BB_0299","BB_0300","BB_0303","BB_0322","BB_0326","BB_0345","BB_0346","BB_0355","BB_0358","BB_0381","BB_0385","BB_0388","BB_0389","BB_0398","BB_0416","BB_0436","BB_0438","BB_0439","BB_0444","BB_0448","BB_0458","BB_0459","BB_0502","BB_0503","BB_0546","BB_0549","BB_0550","BB_0564","BB_0568","BB_0579","BB_0580","BB_0596","BB_0601","BB_0652","BB_0653","BB_0658","BB_0665","BB_0666","BB_0670","BB_0676","BB_0704","BB_0720","BB_0727","BB_0771a","BB_0775","BB_0794","BB_0795","BB_0800","BB_0801","BB_0805","BB_0810","BB_0829","BB_0833","BB_0836","BB_0837","BB_0841","BB_0843","BB_F26","BB_G31","BB_G33","BB_I06","BB_K24","BB_K47","BB_J26","BB_J34","BB_J36","BB_A19","BB_A52","BB_A60","BB_A68","BB_B18"
"BBURG_As_1 (GE) - TPM",-0.215707623086527,-0.132918544432122,-0.516996685390491,-0.00731082350928091,-0.107351729031964,-0.4809364895125,0.218607775077885,-0.0906533644557069,0.695333823304143,0.0944019803447094,-0.159541474133534,-0.393628073067669,-0.73333375403583,-0.437540701581684,-0.172406208459244,-0.496323645534478,0.111283822326924,0.00867443647235889,0.00632947292974427,-0.441952340654762,0.269267817573052,-0.233449655780062,-0.186287959843371,-0.0391151669085985,-0.433986735979171,-0.193243544861473,-0.103356657063804,0.360216644098444,0.259307796257612,-0.375207748726349,-0.527019536158611,0.3645540619222,0.335126307947007,0.526150413173059,0.0932731673660941,-0.503988948480631,-0.693778063590726,0.512562215721983,0.131587761827127,0.00385711669244704,0.44077881967629,-0.254943708716257,-0.217090981936126,-0.263866157849989,-0.625263700010302,0.481782016013305,-0.104188421576796,0.0811891485033356,0.0631097312678552,0.215124427595435,-0.521525783958579,0.439219960572584,-0.0874202962289225,0.076391028742527,-0.36700320304793,-0.195699545582824,0.0458834562557492,0.0680643615862637,-0.336653127740836,0.0340312221931375,-0.621514778395227,-0.234721712984453,-0.411328616458784,-0.228026912957408,-0.384144369373743,0.103342653116701,0.0648479945708299,0.329777794623207,0.51668580255727,-0.529429371939982,-0.522426505994128,-0.156471013129533,-0.159887894292784,0.522410678940805,-0.329900649158472,0.0349053744064974,-0.476722690200718,-0.197137730775374,0.0912954548439531,-0.293837666427133,0.245824400055578,-0.668505798565884,-0.0502470924300866,-0.130943999309144,0.295081112942038,-0.060277381248781,-0.269051163467196,-0.0478415852862234,-0.407273611131758,0.0978260524336563,0.376743376711317,-0.253268461812471,0.455580005736484,0.384823906842755,-0.37879907395027,-0.0221109595968709,-0.668283421741236,-0.3043086449702,-0.316473580382287,0.165111160273925,-0.1368184644037,0.149681635686314,0.574607287394488,0.384862620465721,-0.096149484173112,0.155233568618863,-0.141502648473713,-0.424025667315765,-0.752171072076747,-0.587929359459112,-0.098354091970968,0.422121308841856,0.507846448909281,1.37693977342514,1.05098527664743,-0.25231137558782,0.944696681081917,0.689491841889901,0.374885915888486,-0.183078022648231
"BBURG_As_2 (GE) - TPM",0.449465400955278,-0.0279703600085287,0.469692497988407,-0.625307619346231,0.125882664836822,-0.276945405819486,-0.831852158028401,-0.0102265003856198,0.114013478621272,0.27592432678749,0.0311603929379525,-1.05697117042116,0.247346647101077,-0.226985598869124,-0.168268612418181,-0.358330299552928,0.452459540888813,0.143466966861273,0.453668670971393,0.270602579833803,-0.0184037323758581,0.138708501560492,-0.20680078539963,-0.154021669831965,-0.244411230296057,-0.197412060412259,0.087712365350238,0.497838633879311,-0.0274640013216093,-0.163944849869296,0.210577740625801,0.68627832567894,0.313889684115815,-0.390162999458179,0.465553765032282,-0.511452654118001,-0.486492425914843,0.280646832042225,0.380330045895127,0.363589608465647,0.355279757589599,-0.52992906086697,-0.431145781022376,0.148118677834249,-0.812214876644783,0.0950737369373057,0.0453995367714379,0.106146804562724,1.18780882541439,0.191674484423512,-0.565262372706047,0.664627951744267,-0.00057829643954945,0.347599305514161,-0.0365538164870075,0.0209933800776102,0.181368369870518,0.810485436522441,-0.208290632393966,0.0157612665318542,-0.647768843901902,-0.371919832341014,0.245077597911634,-0.131606724008542,-0.233978325569959,0.491865793127092,0.370869116402387,0.402699506506199,0.716515902521269,-0.307401929328821,-0.0615030580393874,-0.524578400796264,-0.367516951967653,0.204052199007416,-0.0368521516297314,-0.250104538394767,-0.494839308452943,-0.0997174490747837,0.328158885719499,0.198560770371239,0.467462451416552,-0.141721329880184,0.361389127463395,0.361779468980689,0.0832847743480632,0.259424743397953,0.00916304703855061,0.697867778835606,-0.0362266602558172,0.64562698520741,0.916483227711554,0.122802082948317,0.508891144505972,0.459718957922534,0.00795921956956818,0.24722599678152,-0.587030069415962,-0.501694694615433,-0.00851254188648077,0.141924696032169,-0.0532096585176766,0.176911605030442,0.689705106404627,0.433369650464171,-0.521608622085898,0.262664110395002,-0.343342378672029,0.125902532293707,-0.262685630787891,-0.274938056329119,0.874563105562232,-0.432838150200093,0.589276264808729,1.67094469946061,0.377564707993746,0.391060904758923,0.944567042703993,0.782105063043413,-0.0120341740718194,-0.114406698269691
"BBURG_As_3 (GE) - TPM",0.259102543116898,-0.340015499823157,0.0621698580775938,0.587224121233274,-0.557704907489266,-0.510136328349111,-0.282751841743928,-0.348538157718816,-0.190457709143432,-0.00855196111181523,-0.153588285126477,-0.997447647073764,-0.0945702326938639,0.0234957349500616,-0.0494458205307086,-0.419137835863481,0.561758929010872,-0.618925643993239,0.40187913684048,0.897055273105076,0.227727523063375,0.732313767837718,-0.477513663761087,-0.144250686601739,-0.22281203906938,-0.238026901484604,0.303984256944007,0.190137860906375,0.470320667313982,0.0608436732574626,-0.0516968767059171,0.494328230479417,0.406594623845175,0.645644172822569,0.64086878598683,-0.159008239181474,-0.047937841873672,0.0930704470212427,-0.575931757251268,0.661900888240038,0.0257146374405611,-0.135338235462916,-0.0500058443045237,0.126679624710307,0.449717908608356,0.514423298998334,0.179171240372867,-0.0988451624716324,1.29326208094599,-0.799866257851634,-1.21484853477155,0.192402436108566,-0.0939729446626129,0.677961540333356,0.404152139829447,0.00884579081035775,-0.00476718901698454,0.733794104497028,0.160311898061348,-0.034981996659625,-0.815736024476602,-0.574738266658215,0.0908323146976176,0.176183738639833,-0.414713389951657,0.387106059506871,0.456684436964469,0.309774996053408,0.822149430565872,-0.141962174294324,0.040693542138462,0.31265944123139,0.189424700115094,-0.372808219008167,0.686841359618697,0.32279534609561,-0.00379686694832775,-0.0605013092788893,0.241354825690067,-0.216637092980827,0.738696653973611,-0.324404263033488,-0.366196737242423,0.000969096937070112,-0.465221838311242,0.145087423182247,-0.0590091141724572,0.482542892037213,0.293368616243792,0.118302125721176,0.743000317510001,0.244918878572729,0.346559302813732,0.936314352724381,0.269655117446599,-0.11772937426479,-0.430686366042802,-0.39148359023685,-0.245703519135194,0.050648585038363,0.0790288587534239,0.365863655559429,0.575448583246998,0.549850049390965,-0.609586368038545,-0.508748876400574,-0.111763284313257,0.166705794675713,-0.0636104522587535,-0.200727786712926,0.555567982028391,0.543622405757739,-0.103062640105679,1.36347410534128,0.207494441231445,1.82227712502724,0.914688297705005,0.480013182697916,0.352024298988526,0.274469939200845
"BBURG_Ctrl_1 (GE) - TPM",1.77041251288101,-1.41097222828076,0.0206588929003584,-0.802248899752665,-1.35576438757892,-1.59919398515875,-0.844761903944823,-1.41143516126561,-0.559657749778626,-1.30763848467224,-1.15411538080388,-1.11989169592928,0.349134897825166,2.35346715955295,1.86347495227637,0.755834336670068,1.38251849450385,1.50513430917364,1.46259198858873,1.59449469066081,1.47456648809845,1.52577494714183,0.671245546698556,0.339734550521228,1.35636560435921,1.24427367697485,-0.0349376787656992,1.82853249196462,1.48598996615351,0.462142044964735,0.703250733825605,1.14859993978123,1.79047611909641,-1.72875444451119,1.46100789612967,1.32418469915879,1.44513616215648,0.473226998116159,1.56688231404796,1.48130978646068,0.730849565995437,0.53006905040487,1.35339912288663,0.201217833055523,1.49249646240044,0.863585167060382,1.23857335360401,1.8137707883957,1.3787635277568,-0.0486822616866901,0.299733663984246,0.827627221830408,2.06626273897028,1.93440626471721,2.01047941343779,1.46510210718071,0.612258196695153,1.18069737634713,2.22671184297038,1.29342111276928,0.638879665266154,0.927896419525252,0.0308546879246469,0.875370973473331,1.98364740687447,1.95455405894375,2.10696447470493,1.69680538173872,1.1648391364481,0.813341565019667,0.812803606120341,1.1429334648825,1.08813003177183,-1.41791165691455,0.560918096347639,0.848079062273869,0.599985907594083,0.97083841631431,0.99965478419178,0.916435314279594,-1.62960371978808,1.82944367594556,0.703784608330673,1.62706779985244,-1.37482691330139,0.944186261584253,1.17381397456977,0.614722659773984,0.136669803935666,-0.54194436094034,1.22981842826573,0.831166705295576,0.592679484579575,0.725724318618115,0.670902961029837,1.41671123556012,1.70473564411446,1.28823349100245,0.435119461316699,0.422512748953982,1.32240931147225,0.773776209984961,1.79685675147773,1.20229513894865,1.74292154516461,0.280751462022603,-0.930202666590266,-0.607743713648991,0.674453738616992,-0.95851725144233,-1.09919981249186,-0.583843178575889,-0.330094258707485,0.186575642734739,-1.24598738372228,-0.765262071619616,-1.02737195153805,-0.724974743031429,-0.0734174344186459,0.64938845106283
"BBURG_Ctrl_2 (GE) - TPM",1.6735486415495,-0.787311641930587,1.08607011986283,-1.190456140625,-0.76196206644246,-0.862783382140601,0.675425733847516,-0.759090016989336,0.452930488073756,-0.513571977514264,-1.28587358103565,-1.42726913904363,-0.336628730612621,1.69298267567348,2.56792523779351,1.02697490131947,2.6546910159755,1.4351165303302,0.701742773170779,0.880783501864527,1.8951215935829,1.84634950324989,1.96693691617498,0.21603299863066,1.13363371108054,1.72753583563523,-0.707135008649354,1.89414894360314,1.22362596265278,0.833722994121103,0.899035163431925,0.366143353184855,1.03757107272278,-1.61461950672999,2.00443506713264,0.723686263355007,1.71007264726231,0.125225479760657,2.32731964678709,-0.0176753468306301,2.6433588370472,0.0212037027437967,0.9092707856288,0.725774571637151,1.21313897121486,1.91297096640477,0.693062325555936,1.28884463546323,0.329942557249811,1.77986900519799,1.49630497657905,0.829962247903052,1.40979380360175,1.75078573012012,0.705113329930251,1.37062117882408,2.14041679786824,0.81500855959779,0.451645390443904,1.56496165317683,1.13208587797579,1.90592292868276,-0.16098919755301,0.115557258893797,2.01048140101166,1.40195013832194,0.959856948465044,1.46461582630895,2.22191891818479,0.822168662072874,0.0856086976686332,1.69127955636694,1.97411828202609,-1.43888326593623,0.0466900633761708,0.184253600485252,-0.650398062713444,1.00420410871415,0.854110168196129,-0.32947345277381,-2.42153305752576,2.09558704069549,0.876982088606907,0.0972632782870972,-1.27291418204225,1.06135973945327,1.39932226061179,0.789429566441512,-0.742854984481106,1.21999898102822,1.05105695267921,1.37998926489892,0.174529693935398,0.598538919033464,0.243837103608926,0.723399461666241,1.70384970836649,1.80556798591693,1.42906035431068,-0.0394240480367443,1.79751391732681,0.548751602299189,1.32038847082157,1.23829090087051,1.64253272152682,0.27805151256337,-1.22452529207675,-1.11745156998515,0.09051829866548,-0.609079941698793,-1.10621020808814,-0.902058605927888,-0.756749058726819,0.6432767388284,-1.04078990310915,-0.822734944383642,-0.823943476985489,-1.4760648473289,-0.887106063350594,0.0728600592840505
"BBURG_Ctrl_3 (GE) - TPM",1.83101113431683,-0.552145943834649,0.289433359780553,-1.22659967656462,-0.385711923532837,-0.685270534514424,0.740404353420441,-0.565003619213601,-0.50407883886277,-0.352221294970968,-0.811758577823642,-0.354139825682179,0.0574952663370913,1.0823868455758,1.6772397115163,0.506958732267366,1.97821836593232,1.70210880208945,1.04917571120242,0.796425134662509,0.917024187785768,0.944918560805084,1.32782243423647,0.846810242328477,0.902735879392146,1.20556214436508,0.0145444682167116,0.475938284897621,0.544021720742165,0.365977730417263,0.191535288747261,0.38751264534973,0.155542611571117,-1.43009484733803,0.774100020679913,0.879576991793597,0.545302419375837,0.418198751718754,1.49346045029137,0.122365934120082,0.835012818950736,0.0315700805501635,0.742849226115811,0.170947429146816,0.750171636631141,1.07387622350563,1.23375097161164,0.907398243408989,-0.275203680136812,0.575948951978025,0.278242061695879,0.982794165761654,1.31121037563306,1.15016202030094,0.772814857345017,1.0713064215799,1.37672723421911,0.659526407153918,1.28693653693086,1.31758592360889,0.153512123925741,0.932247195901502,0.0502991635856507,0.998921886880378,1.29144770878696,0.938943110244067,0.405755884674273,1.18593721528134,1.97791544536829,0.36917947145168,0.255679656184566,-0.316645441270958,1.40637720287801,-1.04985695468137,0.846139159491886,0.60038017294419,-0.615764754572945,0.449130867661529,0.715231921204249,-0.0520190563421577,-1.28758064232265,1.11623490429811,0.757919363759237,0.447560864366364,-1.24707344411965,0.468772103246227,1.11150005379322,0.861382321621128,-0.431609062271208,-0.210550647317514,0.848583488522474,0.320595622358194,1.10485033146415,0.275486020958996,0.853480556124458,0.831926108643982,0.94739337482186,1.21127397634323,0.0022755734728539,0.758791792532545,0.792304772528885,0.688812889242849,1.43669362162347,0.979872456135573,1.03716207087024,0.338951128307689,-0.743044179669548,-1.08660615982659,-0.526227622022272,0.0202082636241715,-0.689954219091758,-0.742675359377677,-0.603952455261839,-0.537850826521315,-1.15622106320006,-0.247397821385806,-0.75549589272672,-0.567089159763108,-0.0286493543348162,0.139966288880386
"BBURG_Li_1 (GE) - TPM",-1.688239042931,-1.59440573956867,-2.06813226738857,-0.940596897088686,-1.66007460809502,-0.638557788069591,-1.94822181798771,-1.61597448070003,-1.36576809994232,-1.41653103688112,-1.64924319905602,-2.00273436138795,0.508745705318856,0.233213630143812,0.124854162637162,1.81888294432899,-0.505723321133697,0.640054968255199,0.710452634863686,0.360530815185844,0.801659233009144,-0.954076709517605,2.29243694047558,0.981455236886121,1.40613605026285,2.09355254903418,-0.0410606786935636,-0.475925805245008,0.823888369932048,2.80326488037749,2.14013689996204,0.772804986704324,1.50120013155882,-0.494280056457395,1.01514765214179,1.4890756122624,1.06866304967123,0.525594021356937,0.309369934294976,0.941967995926736,1.57695669928777,0.857380344599422,1.08588328613087,0.828007842254102,1.40581179181661,1.67071067227235,0.61577573717976,-0.17601326928398,-0.304917960549488,1.29575064629634,2.24799072312283,0.175396487442761,0.827618264415882,-0.165821905076002,0.347419383519388,-0.0201905084860997,1.0417582890038,1.36134915101326,0.157042035524808,2.73576733604051,1.88418195429001,0.781066027267899,1.75334414824888,-0.211172339079358,0.803370532449026,1.63208834209841,0.0957507636315283,0.692023335812232,0.134074431645716,1.14188142226047,0.945043720362024,1.23842658332383,1.45873416893993,-1.27018060455461,0.570658112157363,1.52781758509093,1.1487421657264,1.24734516524545,1.70713439251966,1.51074607226541,-1.25551455881063,0.886380487674661,2.01149797033608,1.34209119756341,-0.733214977619317,0.615068941243762,0.243279547056204,0.384054670621495,0.961403676154448,-1.90516307887769,-0.741967714042884,0.80234872390993,0.17888943137551,1.81812966502367,1.46096501406145,0.421974149260548,1.24811008295543,2.85808322164737,2.65186389874173,0.988723476594782,0.393302438647932,1.38807667233905,0.231513981090183,0.64904304433253,2.73153586029495,1.54072444774643,-1.446206338369,-1.52780261037486,1.31687461476265,-1.41835608071725,-1.27488147322519,-2.00073728528791,-1.56200311644366,-1.04677031178333,-1.68470627226805,-1.79594654501746,-1.10586641642665,-1.85382959625001,-2.31008544475962,1.30920280308438
"BBURG_Li_2 (GE) - TPM",-1.09261962296381,-1.73531224051534,-1.70548512171423,-1.11061443122136,-1.77874654918836,-1.04248399102657,-1.83673581147622,-1.76335855366031,-2.18896208998091,-1.72266463071421,-1.6889792858704,-0.528344436520458,0.915506427243541,0.991494262416017,0.256023671723936,2.15573848242801,0.429141119109293,1.88947288547506,2.05090285262862,1.12964997224948,1.55387626731389,-1.20048290892877,0.725956511099167,1.4182270668988,1.50636888072006,1.65205274966361,2.15414484056009,0.293829279957931,0.983597627088745,2.52859255970503,2.66283915050598,2.39084773130291,1.85231554637315,-0.895385245716144,1.20251348723397,2.08759289796911,2.09967276934069,2.28523664767255,0.037137899425172,2.67325172896967,0.793141644903814,2.17676562679894,1.01016626454594,1.00611269922269,1.08323181049359,0.660228620745979,1.38772297541974,-0.408143304912422,1.98750892251455,2.1102262036248,0.742551151806638,0.724785218615225,1.2008574716615,0.256142353230341,0.735712063690264,0.682113424550176,0.319157683659094,1.14955872145515,0.753093347645574,1.86794485632078,1.98362271000097,1.08001691236992,1.76409706193817,1.48014547182032,0.773982297799753,0.77966157370417,0.107138314145517,0.223275131119523,-0.538663169086631,1.54525932122437,2.73961226216224,-0.51054871911076,-0.924401542432399,-0.559677962502228,2.3673187912953,1.87690475546323,2.58159980811029,2.12669451354736,2.24092976859493,3.65887301136558,-0.605924932149778,0.697758228033661,2.8653175721528,2.86459096177995,-1.06628629272848,1.34666752713583,0.942625671809405,2.27531667673056,2.73354489819467,-2.80145298085163,-0.837610861449433,2.26907625550608,0.235681008193031,2.36601634169143,2.97320362412932,1.31445994431997,1.07870524262823,1.52159125325558,2.19073081081106,2.20642703332317,0.766227287328511,1.98555734080086,0.108609845412647,1.01503071110196,1.85324408589644,3.02069954219206,-1.42768203402537,-0.944932953745809,1.70128770166206,-1.78536549842585,-1.38847284716095,-1.88897245062549,-0.947626541019658,-1.92810854957325,-1.65102607126687,-1.58342766657702,-1.3281527620517,-1.53811845268712,-2.41789894097878,2.75503740725397
"BBURG_Li_3 (GE) - TPM",-1.3727968744402,-1.13011576595814,-1.70319238241891,-0.989342042252836,-1.31391748021894,0.207718345654984,-1.22664320777891,-1.12459103254037,-1.06893863420762,-1.19884144527945,-1.03742905541545,-0.193028734718546,0.252039758434179,0.614256625332491,-0.524152696482453,2.2942027146122,0.860761070787485,1.01126759977458,1.02633685638917,0.585836085876839,0.963814548134936,-1.21793655745141,2.63065147795279,0.855143012168675,1.82853941417195,0.923440099499957,-0.154115699676893,1.24598162177,0.208806752029087,1.934369163912,1.56185117827055,0.774736057462889,0.920320150199445,-1.01606385294281,1.07638359642737,1.24662072458483,1.05280117859134,0.161311267550468,0.592022114018828,1.51186932958037,1.95003948430257,1.95598553290413,0.942772551922883,1.87848849470676,0.471385659469601,0.579985594184204,1.3043919131801,0.403928590361533,1.26412852771261,2.69667983754828,2.63515732257633,0.522797451043189,0.256807244750123,-0.232901411933791,0.160574063518652,-0.294662073267326,-0.225492993404207,1.00436109628292,-0.492046543808205,1.43360845439353,1.98056531266946,1.10819385782028,1.33093902645983,-0.341192328904644,0.530627149932334,0.0414273849842828,0.178092369491042,0.275293736965423,-0.556055632011715,1.11624347729438,0.872570974283487,1.70050098513907,0.288849107061233,-0.630224498324558,0.54383422385694,0.338903786533666,0.891341797084244,0.736239971005134,1.70028457400111,1.73820138014109,-1.79289496903501,0.108738781054475,2.49835419709997,1.66530022410948,-0.324054235391087,0.991823359469515,0.635977291846543,1.2221987734569,1.66214161827488,-1.50637295425855,-0.183282519758876,1.11659372590411,1.37601386668071,0.655943464089827,2.16262244573393,1.06626044814616,0.531288074214535,1.45904741308227,2.09832396520352,0.34553037906055,0.29787222006687,1.07206647255309,0.0826986517370955,0.479748972200726,1.50289883046311,2.50485966132817,-0.64704134457592,0.43005481858447,0.935546190784466,-1.33943339614657,-0.459056536725445,-1.77341441623388,-1.55496673501053,-1.68193893374428,-1.24843180245204,-1.84193855291736,-0.8094462801921,-1.86199593362946,-1.78527579767538,1.33078510343055
"BBURG_Mig_1 (GE) - TPM",-0.768106134416834,1.52194891931028,0.10680927091289,0.272933818610279,1.01452035191123,0.830761802830688,0.623095695716255,1.47293678438804,0.463359426744,1.42538074009544,0.756261952394773,1.83775093227565,-1.24463408664828,-0.924473654203606,-1.13950973393207,-1.19144587648905,-1.46891948927747,-0.575573436362784,-0.821440147059338,-1.1242357452552,-0.541010329127871,-1.10713534522751,-1.10064630220203,-0.523567221651126,-0.884667581759967,-0.93664281416311,-0.811055007896373,-1.49347001535526,-0.86492360942744,-0.887607872824724,-0.863781265862228,-0.417973541881289,-0.455690642685932,1.43024253982345,-0.655203913805902,-1.15549836374806,-1.65971328460095,-0.856804004581285,-0.681096983551034,-0.908279155946153,-0.629731479485676,-0.741704281365727,-1.32406539926874,-0.605664286923268,-1.26989777068772,-0.632946856721188,-1.21564117940675,-1.3264737155194,-1.01036456421459,-0.419631845490988,-0.440701759624571,-0.401487679092515,-0.81267971461543,-0.803007316193743,-1.2213225347821,-1.07529536147791,-0.278238956512157,-1.24430745936276,-1.19081323566396,-0.538260267358288,-1.12614458345748,-1.28105056099759,-0.632638682773937,-0.192250879375219,-0.978090134803629,-1.06365118780254,-0.703409892070124,-0.392738268814587,-0.191469643244807,-1.01302659509189,-0.900376329075843,-1.05327870521554,-0.882671229270506,1.18523080299225,-1.03930135586661,-0.440436259610696,-1.01930375572456,-1.19971329411876,-0.797846451527639,-0.42634063415737,0.103385109996135,-0.507956215034084,-0.483789594968194,-0.450128311720708,1.27244535981516,-0.768602287186784,-1.38163625668226,-0.852440869856988,-0.545511655328069,0.798714641427446,-0.724460117740332,-0.796315638445642,-0.896351316392973,-0.906369264562941,-1.18738889969352,-0.623621876404685,-1.27597479962557,-0.659219695238718,-0.596142979082166,-0.306643582461559,-1.1593987675562,-0.411544960742194,-0.412736951333651,-0.388934911021287,-0.409351951195112,-0.0605927100073884,1.17278507937297,-0.273946080802938,-1.6455114082581,0.076352781044471,0.451054357547997,1.36380969676176,-0.589161097927793,1.548080926183,1.12371781270191,0.797575464653998,1.64684141124259,1.15609331042957,1.15062107052653,-1.01757183822521
