"","lmo0264","lmo0709","lmo0854","lmo1374","lmo1562","lmo1627","lmo1628","lmo1629","lmo1630","lmo1631","lmo1632","lmo1672","lmo1764","lmo1765","lmo1766","lmo1767","lmo1768","lmo1769","lmo1859","lmo1860","lmo1904","lmo2130","lmo2411","lmo2412","lmo2413","lmo2414"
"Listeria_As_1 (GE) - TPM",-0.520210312391309,-0.702639786902826,0.320032040670181,0.205222220028645,-0.490573847005243,0.59802125675733,-0.488837612105066,-0.209077719328744,-0.670438537086503,-0.402632732454903,-0.645361464534265,-0.0902412084268054,0.749847780599232,0.952111939936609,1.07106946130969,0.311747549233055,0.22160239803664,0.0628443015279219,-0.57823813821605,-0.707428482676711,0.604879295883487,0.325881678682651,-0.282859571717963,-0.389932425319292,-0.379317867433101,-0.476194118462809
"Listeria_As_2 (GE) - TPM",0.345844758429394,-1.16086170042594,-0.0337761933178548,0.100139183676875,0.307594263667582,0.0576983618520413,-0.421599099193014,-0.544591707337742,0.316321003507291,-0.627252769796286,-0.355673642879306,0.286779981664398,1.32926098995397,0.377991497424026,0.649420469379727,0.850839290585131,0.437896709519322,0.24767089873734,-0.445643164704209,-0.730002000255992,0.159097564619504,0.106614224557059,-0.397725219274017,-0.384162438289661,-0.432818096805072,-0.378292922515441
"Listeria_As_3 (GE) - TPM",-1.00438807967637,-0.768572914951732,-0.949329834560967,0.170844820416066,-1.02010501743162,-0.248977416379162,-0.628565192870552,-0.458830987049116,-0.459806011363446,-0.629815475215969,-0.739392335184697,0.0106073510948904,0.94331976233934,0.996214470087087,0.925654789470778,0.476508594108233,0.210172518169048,0.397468303745081,-0.645017342114503,-0.637623895118928,0.461795689537754,0.130717554127868,-0.24466693565802,-0.374085776547659,-0.371908101302295,-0.426701129846209
"Listeria_Bs_1 (GE) - TPM",0.0928048489391754,-0.473789821569311,0.859531738440079,-1.06764731886192,-0.48075018650805,-1.00367363651513,-1.22660939195813,-1.14531273142756,-1.3556007242737,-1.21988461105871,-1.35341175222007,-0.35858265439845,-0.3727712951944,-0.607626273544406,-0.705262409562144,-0.563794756889296,-0.492905747741264,-0.538004994744249,0.170902590464759,0.226652665756457,-0.831377033163643,-0.284814117467752,-0.57778332145235,-0.574942870683974,-0.502911836996475,-0.236465023360467
"Listeria_Bs_2 (GE) - TPM",1.47265098837934,-0.623053922726273,0.958957566020512,-1.00588443513969,-0.356565176627136,-0.61572777459262,-1.14953525320149,-0.907400643399169,-1.01282020312366,-1.24399781813754,-0.789635554415036,-0.363477453488055,0.141616534769593,-0.725027511395237,-0.679453953551002,-0.00262336950704752,-0.194874842078273,-0.421404652081266,-0.361531520205571,-0.571377540233818,-0.801439635085801,0.656896746482497,-0.76042318266006,-0.694340416837369,-0.38986132054751,-0.421447085714917
"Listeria_Bs_3 (GE) - TPM",1.27444685333999,-0.78858209788672,0.113190043213954,-0.960882456640266,-1.2774571149468,-1.07627959394209,-0.870579203535857,-1.27278565354921,-1.27392256532448,-1.2189862511817,-1.27629848247625,-0.176989555238995,-0.594520448768287,-0.677588079773749,-0.678458927676036,-0.434152116576205,-0.279534261975808,-0.26359101303957,-0.582171654314508,-0.575424260790996,-1.19471545070742,0.0492246232881012,-0.603642977763486,-0.109919131672423,-0.543574862215019,-0.343748207614413
"Listeria_Ctrl_1 (GE) - TPM",-0.84411705773931,0.251017446501758,-0.965676747883388,-0.159323762839339,0.318274607937289,-0.164090312162108,0.376822959468348,0.0382559438238467,-0.0778599401858049,0.278544708922241,-0.47724679550599,-0.217740983668587,-0.435741117121214,-0.215525790986898,-0.853260947597246,-0.335475573423045,-0.475425253053775,-0.36257165667232,-0.0387011676188849,-0.244677389139803,-0.258786723272402,-0.201704405156832,-0.548851336616247,-0.199286279407702,-0.598298079560241,-0.559546182350052
"Listeria_Ctrl_2 (GE) - TPM",-0.620314002626772,0.248565432929156,-1.28881752370173,-0.189317453279274,0.0709375424000864,-0.23218835052547,0.0875989554835033,-0.143199843972231,0.310984114145189,-0.0249692481726209,-0.686911614370106,-0.182232779132639,-0.397019310740895,0.192711888663902,-1.13229347302514,-0.417743014962893,-0.619939905547301,-0.503765594695683,-0.598462609357,-0.21597830167664,-0.222819491412972,-0.0321108189501352,-0.54099992126252,-0.494701236365333,-0.614895372848038,-0.655283764124095
"Listeria_Ctrl_3 (GE) - TPM",-0.388861133123068,-0.0546707428690332,-1.12325437909933,-0.272861414613399,0.241393393521891,-0.490371409115924,0.291963224574441,-0.105321929374492,0.133035403155599,0.806756889337183,-0.942474792085382,-0.224098484506224,-0.361079458131024,-0.202617071149324,-0.989024770534915,-0.414919259362608,-0.659307124367516,-0.310545555432492,-0.278358690852507,-0.117744637045705,-0.62710566238238,0.189992692948682,-0.432334634310676,-0.229932862546153,-0.483694154042394,-0.682371949225647
"Listeria_Li_1 (GE) - TPM",0.0887368771039333,-1.48442109209991,0.272069266836036,-0.0703903662519021,0.303265815866872,-0.173886968258522,1.12927722746099,-0.32640006270031,0.0497891787976389,0.789888245156881,1.07174066514189,0.46051571181167,-0.626559622654469,-0.61259163076471,-1.07926033952455,-0.100953997806623,0.0171138678218123,0.954472799472173,-0.294928893141986,-0.666874634492753,-0.938884508360765,0.44419021755808,-0.75351598372825,-0.344617027442294,-0.468518270527986,-0.116466832598406
"Listeria_Li_2 (GE) - TPM",-0.0890914348741911,-0.0785939289952263,0.538409577435893,-0.215465425538433,-0.0662067812959366,0.533832621880301,0.417154161174333,0.213974045295827,0.0483265060937456,0.523222395192931,0.420948133126761,0.00038346892619005,-0.407994759360572,-0.119153330611066,0.122171187206044,-0.376527645319908,0.308269603740563,0.359727531559867,0.233616963144986,0.125977254782291,-0.691125032512834,0.128926753016883,-0.0119427095529373,0.216299175782228,-0.0414856915066122,0.232101588140412
