"","E2348C_RS00945","E2348C_RS01740","E2348C_RS02740","E2348C_RS03270","E2348C_RS03275","E2348C_RS03285","E2348C_RS03935","E2348C_RS03940","E2348C_RS03945","E2348C_RS03950","E2348C_RS04605","E2348C_RS04610","E2348C_RS04765","E2348C_RS26535","E2348C_RS05560","E2348C_RS05585","E2348C_RS06210","E2348C_RS06215","E2348C_RS06220","E2348C_RS06225","E2348C_RS06230","E2348C_RS06235","E2348C_RS06245","E2348C_RS06360","E2348C_RS06395","E2348C_RS07155","E2348C_RS07170","E2348C_RS07175","E2348C_RS07180","E2348C_RS07185","E2348C_RS08120","E2348C_RS08590","E2348C_RS08595","E2348C_RS08600","E2348C_RS08605","E2348C_RS08825","E2348C_RS09040","E2348C_RS09235","E2348C_RS09420","E2348C_RS10185","E2348C_RS10260","E2348C_RS10560","E2348C_RS10565","E2348C_RS11015","E2348C_RS27190","E2348C_RS12385","E2348C_RS12390","E2348C_RS12395","E2348C_RS27195","E2348C_RS12575","E2348C_RS12580","E2348C_RS12585","E2348C_RS12590","E2348C_RS12595","E2348C_RS12600","E2348C_RS12790","E2348C_RS12795","E2348C_RS12830","E2348C_RS12895","E2348C_RS12900","E2348C_RS12910","E2348C_RS13035","E2348C_RS13055","E2348C_RS13060","E2348C_RS13315","E2348C_RS13545","E2348C_RS13965","E2348C_RS13970","E2348C_RS13975","E2348C_RS14040","E2348C_RS14380","E2348C_RS14475","E2348C_RS15825","E2348C_RS16060","E2348C_RS16340","E2348C_RS16345","E2348C_RS16490","E2348C_RS17035","E2348C_RS17045","E2348C_RS17575","E2348C_RS18250","E2348C_RS18440","E2348C_RS18445","E2348C_RS19410","E2348C_RS19415","E2348C_RS19695","E2348C_RS19765","E2348C_RS19770","E2348C_RS19950","E2348C_RS19955","E2348C_RS19960","E2348C_RS19965","E2348C_RS19970","E2348C_RS20025","E2348C_RS20610","E2348C_RS20640","E2348C_RS20705","E2348C_RS20715","E2348C_RS20875","E2348C_RS21670","E2348C_RS21675","E2348C_RS22210","E2348C_RS22245","E2348C_RS27840","E2348C_RS22415","E2348C_RS22660","E2348C_RS22675","E2348C_RS22720","E2348C_RS22875","E2348C_RS22960","E2348C_RS23065","E2348C_RS23190","E2348C_RS23310","E2348C_RS23525","E2348C_RS23645","E2348C_RS23650","E2348C_RS23905","E2348C_RS24230","E2348C_RS24420","E2348C_RS24425","E2348C_RS24510","E2348C_RS24550","E2348C_RS24565","E2348C_RS24945","E2348C_RS25205","E2348C_RS25215","E2348C_RS25225","E2348C_RS25230","E2348C_RS25235","E2348C_RS25240"
"EPEC_As_1 (GE) - TPM",0.328690415568221,0.717233889971987,0.487690681209164,0.0415045392649165,-0.099976409990674,0.278812120693943,-0.49624821558306,0.000926345829400168,-0.229345725301806,0.310380866425649,-0.0639961001804506,0.125202071306583,-0.369073252226364,0.405802398921853,0.805183100023319,-0.349230832149065,1.03179197483255,0.425061687168327,-0.31628137565102,-0.578064688882414,-0.387568355487316,-0.201620125456682,0.288661922982446,0.748239250693434,1.27968903128977,0.875041629816466,1.33936692147358,-0.255476410447831,-0.522949243284467,-0.601477211462108,-0.0329253852543806,1.4336606194588,-0.456998704348941,-0.59878642413328,-0.711918828207709,-0.397727928055688,0.802446936990621,-0.221165771934572,0.731063125646839,-0.169593560873454,-0.34204215714593,0.05190299462401,0.338427089261735,1.04494939626296,-0.118342141140558,-0.480893301747014,-0.387856186104437,0.220080028299012,-0.0772609600793289,0.181152435667932,-0.245960291798026,-0.473434474160487,0.0618709609786627,-0.0784159990744352,-0.117102880679268,-0.267225969472899,-0.491888244485918,-0.616696267531015,0.611305438467932,-0.477002037757527,1.65168500097545,1.0920415528927,0.80792979344137,-0.165282996883161,0.235636336324118,-0.856724619734814,0.906985054317406,0.389329695777198,-0.231855929047941,0.711852096272611,0.342432075684875,0.560143637423163,1.02785038334975,0.756122367682123,0.00933290182967344,1.34769813389573,0.560163955602341,0.0476897493101061,0.523713130108999,-0.605889203603994,0.725344053607198,0.95662280658966,1.07495837434186,0.339552534174995,-0.128164237140365,0.641212143985373,0.55320621412272,0.104734034393801,1.37758857773356,0.877237564095834,0.57060162930955,0.254957938612315,-0.0030653418134174,0.485347058526274,-0.394662860334758,0.0831801950878987,0.827053021408626,0.166266167857589,1.2837530786871,-0.631537440702092,-0.445441814789263,1.97638512544554,0.0762313212379983,0.00713433398781424,0.592179248853514,0.273574518888793,0.166426420407948,1.3984828082045,-0.706541499838781,0.176118180325258,0.428691180278272,-0.272965340342562,1.37309478932188,0.632291716705983,0.00745640522870618,-0.170917458073876,0.591065642184652,0.645112930281239,-0.0491096865735574,0.420113866945585,1.63384150079932,0.553972921261479,1.05708064198708,0.232461160834864,0.797158250267308,0.0184153511280186,-0.235221013069762,-0.744228147946593,-0.815824433650738,-0.522767444487293
"EPEC_As_2 (GE) - TPM",0.575021737999006,1.14785392642761,0.42886196604623,-0.112801409594539,-0.194029589285035,-0.0153530371978977,-0.519642930503976,0.000280271273734045,-0.361371193428248,-0.144020372060947,-0.0719688049624154,0.310625277975326,-0.29465280250242,-0.126205410145268,0.478886468133015,-0.166543074137463,0.575747229631088,0.481883700894411,-0.552926917355914,-0.715129243747908,-0.384116236017278,-0.386327351812038,-0.0952262727726762,0.494127375679601,0.956110211945083,0.748703159627621,1.46198538522626,-0.214730171612749,-0.508573365218618,-0.502559526626031,-0.132170258403031,0.601265766815093,-0.411427743355893,-0.578147834309048,-0.60419897222361,-0.648437603538336,0.724010662554706,-0.00451024545963362,0.658045696494749,-0.169773741987747,-0.34204215714593,0.0708721090280647,0.417134001976884,1.55440298705833,-0.236443255788063,-0.5055520704976,-0.404337252665941,0.225891865111157,-0.107548296942933,0.17071026793171,-0.154892639178351,-0.328113570588753,0.148014659857668,-0.103005667271262,-0.2053251225409,-0.193587836390214,-0.295840115551058,-0.0747925050108472,0.159946959439111,-0.529352237144517,1.36171731096118,0.613803753742649,0.506602825014048,-0.290220485729667,0.811288463877657,-0.971895459372666,1.09692896942312,0.673998789827263,-0.0337482998386113,0.449444157403558,0.940176737103487,0.809045750973346,0.75136793631468,1.00173716546829,0.157561169055761,1.08126247895376,1.76618220938858,0.303814091121087,0.596179003502884,-0.589359090472092,1.48408897206305,0.700465457876968,1.40585296765566,0.410833835616901,-0.0989604096969794,0.701058010995058,0.396257209003178,0.253292091370249,0.866924715466705,0.628220812932899,1.0107951189324,0.348218983793245,-0.133681081874309,0.660899886927278,-0.501504825893802,0.0637361975735645,0.659063445037326,0.180269401188176,1.14686861936968,-0.780477759938369,-0.604006448227635,2.20205702212686,0.0297023759234431,-0.0777220196873943,0.541862463344472,0.214822175334444,0.273680704169991,1.40145406906042,-0.583406687434984,0.054564120367844,0.31038958784313,-0.321415281213912,0.954246778481853,0.690617530913755,0.0592705507265091,-0.0827869976789314,1.01298618628319,0.860657194505324,-0.207789557188569,1.26362792741607,1.1309140730459,0.583661664605394,1.00783925916461,0.267487654091467,0.44779202783103,0.0185317516667306,-0.217049459687035,-0.748789847530029,-0.735825464463483,-0.484891717320727
"EPEC_As_3 (GE) - TPM",0.826847081912103,1.22138548053686,0.644454821298387,-0.103647405306241,-0.230001786745574,-0.0902379374940515,-0.204078965833967,0.536138790409828,-0.129948763826892,0.171922069394924,0.247966260555558,0.751713953191868,-0.16392173658451,-0.214563995155463,1.62349206598399,-0.0183350763386933,0.650364678797099,0.0660444866434533,-0.394281184111473,-0.671059403564183,-0.600030779163618,-0.449300923349583,0.0649171910137058,0.953007288764296,1.35313413286168,1.28669019410478,1.60404797639344,-0.155357257402735,-0.386871912839494,-0.202986415562648,-0.29508389354885,1.82277970353332,-0.176700282022666,-0.389353398253519,-0.477216101328991,-0.610976513309516,0.564017071669754,0.109055596960886,0.695650946834969,-0.171088101410107,-0.34204215714593,0.0757863949945787,0.357473595043139,1.46934855785776,0.139769256306816,-0.434491365428282,-0.350436378348578,0.616613667657574,0.458292476491372,0.811608533708222,0.41216681843156,0.224765763013708,1.02439102850156,0.498854316058654,-0.0562957367224533,-0.102571522275957,0.0832574452336999,-0.146166772948354,0.358572251784587,-0.335266283149317,1.75993136240675,1.10555128759688,0.769806482012449,-0.289147723874245,-0.0288696250178509,-1.1449687458121,1.21277218878394,0.593229802048804,0.0357218989055924,0.724381717553399,1.92254628311633,1.16494506271123,0.776611430539091,0.965673207050401,0.105328107607651,1.22130879352756,1.48273435524788,0.671268936479014,1.3736255887798,-0.612755890042535,1.02839898654512,0.929053427256217,0.890921865923474,0.625164277832872,0.254936586744212,0.831095774504382,0.596939520666048,0.435848880017252,1.20979207507835,1.07308414123542,1.74610566029651,1.41137962969271,1.21047022031923,0.869206891470413,-0.0465450679712663,1.12996346460625,1.15047518789181,0.490223170814037,1.51917796693158,-0.696822057159872,-0.635832413142739,-1.03740515797337,0.53063516080329,0.778315179759504,0.937145260971095,0.342233195839137,0.589749261017087,1.8645567693954,-0.592112983196088,0.0291575833382946,0.201646456824611,-0.468605268136468,1.19797839229986,0.751825740278467,0.235271792638466,0.0875656446193613,1.65316440342038,0.927124539187084,-0.0846680364351771,0.555047690095813,0.718170118091912,-0.0516331884927062,0.993432599447073,0.199096931735824,1.00379498260928,0.298737066436675,0.297906827132624,-0.620442995636292,-0.725457467759885,-0.447894543359122
"EPEC_Bs_1 (GE) - TPM",0.975907224036431,1.51975473400465,1.43310301381608,1.13993531656035,0.877946383822008,1.20977971459272,1.41912973344547,1.49986582607106,1.7228600482212,1.57633808920546,0.9321022727154,1.43491602714348,1.37728258558189,-0.999076643729749,0.564186024475325,1.11205033865785,1.6156141218302,2.07980641321988,1.84819266548188,1.37223936174335,1.37436142214088,1.26521243251546,1.38830770581349,0.643227753363387,0.982335844622588,1.57314075038692,0.16947255388654,0.134315264436688,0.908463327554384,1.7382248564097,-1.14925875223202,0.652475123680168,0.708150542562367,1.28248513853299,1.35138593699012,1.52542035120645,0.81889477465115,1.17110560409345,0.394173604142301,1.5608660944105,0.787541882496865,1.42749130089853,0.809018267624173,1.82569821019921,2.30984728823941,1.88455687886987,1.90631313994895,1.84827703616976,1.04513359105246,1.78191856457318,1.82084051003234,1.24457594742308,2.01826122941568,1.53263859988337,1.08392268832853,0.737566734561997,1.35346678827353,1.03388214666641,1.07231413356022,0.852555195868195,0.498831163003516,2.24553534181922,0.11553330441145,0.39188153706303,0.406837062904332,-1.28773466586995,1.76406103332933,1.30996869833197,1.33528633917392,1.59918157197626,1.62569228209484,1.22028575641718,0.408478458575306,2.02414643752026,1.07491243251435,0.232889582245968,-0.956483223484526,2.02613131121509,1.73484559570037,0.945984983671669,0.924404301132306,1.58951317106979,1.18289088844589,0.310022248102159,0.643887489426878,1.40459881530041,1.56035715224792,2.35805021863886,0.196137886966223,0.793248452194173,0.816750908043492,1.21124460993108,0.90727149832907,1.00119140134302,1.44213006362881,0.754437053447392,0.660983859738719,1.67210865555166,0.415863182424165,0.745475846438212,0.916966427842364,0.781738797537337,0.912986255896264,0.908860953547387,0.635343267328178,0.495320682708073,2.07840707878109,0.448021985481614,1.60452252642921,0.868772604342591,0.780394061493586,0.344407999582273,0.511850246709707,0.977793341869447,2.45888922838092,2.60445867151132,0.764846125252831,0.725556657053957,0.739744529782991,1.7253136416316,0.771102776657903,1.19343558244246,-0.180002266578167,0.512809587614462,1.22263679312828,1.46493693459213,0.843699971718947,0.920754627944155,0.703373482129182,1.25616970156419
"EPEC_Bs_2 (GE) - TPM",0.794116601215527,0.90981617723891,1.54266445433682,0.923525206044718,0.623312497293662,1.42291685733565,1.55751486278583,2.78906689717257,1.81489819835301,1.8233720860112,1.85705402349703,1.29289987763569,1.63055735701161,-0.97362470600519,0.369989795751792,0.789016322840094,1.95193107278846,1.78556705314063,1.43692104081391,1.39918242395676,0.953609311583009,1.028559087299,1.47105842785411,2.20253423800733,1.33888730970605,1.75503560225808,0.505329655486571,0.353892742842684,1.14447610595138,2.32733201763546,-0.907796973944043,1.41245577605191,1.36497589990732,2.07537799470897,1.59100396721714,1.15876984233566,0.952517615867187,0.661710865303413,1.64003388327698,0.976554810338948,0.6264177792924,1.02066908606625,0.813925221513732,1.74276463406769,2.72898966350206,1.40904510543906,1.67744847056597,1.74857046808945,0.8908202105397,2.56501432370648,2.15140165992489,1.65175052361934,2.47034137678832,1.73170457946952,1.32719641145929,0.198347000482889,0.468498379430185,0.666263107217449,2.3717023789644,1.00969513524008,1.31223247853128,1.38956979119088,1.90116124573247,1.37835033708099,0.231100937542495,-1.21051517708489,2.08495668420839,1.95877611699515,1.56466935454385,1.75644290756144,2.32679947657994,1.37533172332627,0.682161554151008,1.46867327659083,1.07701320052815,1.3570046293064,-0.621440339031256,2.45412095422679,1.67133330192718,1.31692656200816,0.991547744088163,0.985539036686603,1.13689201083952,0.712329840744812,0.997562530620979,-0.124994994982809,0.975195471565479,1.31578860971993,0.992562723214199,2.11722946457598,1.8094564775217,2.16502367975245,1.76343295533318,0.194276012503097,1.71539145345944,1.8309074703746,0.84893346890002,1.95162407310642,1.30947441393037,1.37556937867528,1.29130087756709,0.814692138055787,1.28108777379152,1.7939072788558,1.33949671602962,0.634642381020182,1.90943963627334,1.70042466441578,0.905317523292028,0.768600820717934,1.04753802247456,1.04554784953363,2.0365666099054,1.19802846820378,1.90086285011205,2.12954661531864,2.32149704310758,1.860399826736,1.11016669212939,0.712831667868989,1.25721118078193,1.84387949401389,0.177646806182974,2.41987997685635,2.3051420900469,2.080484648231,1.19089560904034,1.27218856764231,0.986491781672617,1.4287710799192
"EPEC_Bs_3 (GE) - TPM",0.866709577836271,1.04745238243403,1.74158954448765,1.21767143678476,0.611589399326617,1.28264779258537,1.64927402407966,2.29378220711344,2.10837806275244,1.84586940687668,1.91371261784646,1.49899801767251,1.76505038955172,-0.990561766012843,2.16466553814735,0.744201155104682,1.57003375018473,1.81406642570519,1.70570886925048,1.45316117440053,1.25072257161389,1.09432126116545,1.71396193654515,2.43363918475508,1.59311221946083,1.31664323969283,0.0406601269726553,-0.0243268193583371,0.478531380823091,1.26280232480915,-1.06032061070826,0.88809609435868,0.843557834260649,0.982317710327936,1.03975907985281,1.03204019651517,1.08015751891544,1.15051813269273,1.53638239391119,1.12797061285845,1.87335370638325,1.35901659567691,0.957606780050871,1.09107522843967,2.4583225191951,1.66283963237314,2.25260257366738,2.23360384204769,1.58063603108448,2.24906675082641,2.12959884951985,1.61089004555503,2.04282562459562,1.57080156566167,0.856502879486979,0.740488018823261,1.28649364260302,0.744504387776386,2.15478053544958,1.35150382513586,1.10935840637283,1.97078374813613,1.37260084683095,1.40772106878826,-0.276272158693616,-0.786555748441681,1.823884965742,2.03847348194255,1.42987113789896,1.78825878166751,1.81963217368324,1.35117037867791,0.684597323357051,1.69680281071535,1.0688314155216,0.980308237177707,-0.819211467440526,2.53321517146573,2.2569658484916,1.31896670821939,0.910054700675661,1.37969507786391,1.32704528300138,0.285152600072288,0.528880466878716,0.484308565178804,0.716184833309153,1.62166344852816,0.776268961718605,1.84395806108225,2.15765872100336,2.56319109986413,2.16643446754308,0.124109888023171,1.88557285676853,1.12728555602026,1.24892917571645,1.98455366942704,1.3580309019271,1.38019053549909,1.4079764573506,0.913732589771755,1.19541119249859,1.36670502105659,1.07059806128648,0.565767512395794,2.11365224122029,1.12130509932353,1.09782330374829,0.677329407358634,1.005871984031,0.755849754226613,2.1114182528493,1.4707099986743,1.74322173607259,1.90870880287346,2.11174032993964,1.62941560258332,1.31413208548789,1.38619018252734,1.43957036413528,1.68631644113299,0.0802957884907872,2.0144476269254,2.60188693062957,2.19291080942138,0.829606805894239,0.843966534601699,0.639691117194328,1.23705503362213
"EPEC_Ctrl_1 (GE) - TPM",0.601270155245216,1.4001036281063,1.71378328134214,0.938853658657612,1.14043011036211,0.117408396174836,1.06232906477589,1.64919051266704,1.84855991529984,1.72548566695065,0.621239265164499,1.90615966897777,1.37391975702552,-0.970137506679827,0.0542499971997012,1.05675580401948,1.2922731542024,1.63639211384782,1.46567610062146,1.6407588296004,1.15656192035778,1.77287387790166,2.10619542388626,0.49730394318635,0.920185613211255,1.57881246121083,0.114906886004079,0.275997094209896,0.892086193934183,1.09155632528823,-1.11981380022452,0.712669677263067,0.645846987559912,1.14914309898023,1.30256888882354,0.90795242487163,0.770599930228495,1.38480989116408,0.638162970305734,1.73188406860748,-0.34204215714593,1.25180710844019,1.06787100673253,1.07131423124157,0.773637237467897,1.80422290425426,1.67089972801133,1.49063401464792,0.837408644938744,0.883680393321443,1.66367658820324,1.81910958371443,1.08994677396183,1.16335164089787,1.336459688316,0.884059522256027,1.3736737348518,0.593257624161578,0.177247625527362,0.999950975170213,0.582797222839855,0.941314709568657,0.371948153640039,0.450978009221502,1.10669248565454,-1.20681724997384,1.637881689914,1.09454342446539,1.19922449409045,1.74243008506877,0.319754412809677,0.862123533401675,0.271411969196517,2.03175730771439,0.985790426525483,0.00403359618019747,-1.21223076174228,0.817387716409093,0.405143803347848,1.08916433732112,0.66955666381176,0.75611364983525,1.51084701901725,0.18212770290824,0.473173766737896,1.73460423392929,0.472110914711579,2.04191651267389,0.633559954384014,0.864239436186278,0.930904621381943,0.890423568039235,1.64277114026422,0.696674847378488,0.855333581930796,0.741791795864418,0.530248814319658,1.79697327557462,0.389133847515799,0.115239629283836,0.300580411982012,0.651198356040497,0.978569495569385,0.63531739146652,0.381039018346655,0.288738634519505,1.96141737325209,0.74308830344985,2.06345646978056,0.535663223081052,0.881937864922603,0.243891501200493,0.459884948870938,1.15343157035484,2.58999369639329,2.16086321608717,0.474462455113933,0.412185419101439,1.79448379356807,0.0228499385757857,0.884691824704863,0.624212291177276,-0.118707915688875,0.578492888403221,-0.00931342214351851,1.61694687898501,0.761267893325768,0.818708769032245,0.790951936576127,1.56945617440651
"EPEC_Ctrl_2 (GE) - TPM",0.927620637556134,1.81393083515105,1.48465788586692,1.1041082105665,0.782703198424354,0.285241196490499,1.64228429709858,1.83229478668242,3.01778366329189,2.28172651502446,1.94698333309705,2.10170211434176,1.61902798172649,-1.01288137083926,1.18927159818016,0.45295458483454,1.297602758647,1.95257226609466,1.34881329236098,0.84921748018816,1.84500530336291,0.493318098824229,1.28578938139063,2.17847096756714,1.01400975890108,1.62220113476731,0.371838656894619,0.644745429139673,1.56304156601813,2.60197531731233,-0.917072457160757,2.89570528141185,1.79642201571907,2.80802709201777,2.1960798857771,0.448425377940821,0.220000928916061,0.573570717259674,1.99526457170681,0.821821011067672,3.86926200452646,0.252864860554105,0.590115837458779,0.387611873051816,0.648572307834112,1.81447022566782,2.30389511349335,2.2106140932972,3.44904700120471,2.1018309362782,2.52634081141806,2.47468259196769,2.4696996612171,2.76784818185063,2.00619316671835,0.289340151998605,0.694202817115179,0.927685044106893,1.84559367537219,1.62313348191092,1.44358321648081,0.872119171931985,2.06886503140265,2.06660674110216,-0.60470445802803,-1.40218798110889,1.36514625806877,2.48498274428043,2.74500709623954,2.59616814815516,0.681941566677547,0.919271427045658,1.30237550553337,1.4495929884509,1.64769802506481,1.36865972055527,-0.997527070077167,0.907020459988371,0.162517251654733,1.07270967312475,1.44668050830246,1.0921429596343,1.37203137338169,0.735004581834549,0.394755903788286,0.179367842561063,0.15044894680694,1.17658074724285,0.932705608848019,2.11022983238932,2.64029642702436,2.45947159670273,2.3987623920215,-0.302941866119226,1.95222564555492,1.33640875332773,1.47240388502602,2.22473751941039,2.0895088903966,1.26811623301212,1.48957338718371,1.18797622486196,1.33591191058171,1.23979746403319,1.18840232250605,0.164669671733658,1.70336451027753,2.53533383558362,2.0763107173853,0.977828694940222,1.35872449973604,2.81185455620678,2.05365618404605,1.22537128291209,1.5672444788586,1.88860127935376,1.37140914802325,2.38084030235854,2.43435219184657,2.42721486112895,1.22716370457508,1.32069715777607,0.515143620500991,1.3316797277887,1.43408829888854,1.89274578390578,1.33077984036278,1.83810850678882,1.58488833495765,1.03611312625412
"EPEC_Ctrl_3 (GE) - TPM",0.808535246079879,1.4450521499222,2.10536057294515,1.07927955487283,0.810746251459219,0.668973268326709,1.21910263326721,1.23846732609908,1.39679336830867,1.98579150187335,0.753032551501908,1.32145596610738,1.34707052846951,-1.04679886009333,1.64969355245055,0.369978135079433,0.828774820301677,1.00817466660318,1.38833002118851,1.5412205901924,1.81566899613144,1.12627367609348,1.51646285708024,1.63044493726782,0.900445046258604,1.26847324795747,-0.0650787817104469,0.0254754619528006,0.53536691743206,0.783993239462892,-1.0690688797887,0.913394538407325,0.731950228513437,1.4151699226257,1.12751643470227,0.356079393069528,0.767475440633338,1.03061057267915,1.78847316040502,1.21002566652701,-0.34204215714593,0.853901343831171,0.703198325240273,0.801684078152713,0.784725276556912,1.84970665462022,2.28936955981144,2.15925920225065,2.10550679152853,1.64533254718904,2.07328102162959,1.94987327585839,1.43496094651309,1.27482558977705,1.13169598240337,0.504373474060283,0.999916063084005,0.713693151090625,1.4096759421273,1.23227632820769,1.00565884387542,0.679093083126342,1.54301716868911,1.59521832219596,-0.117596695017014,-1.2336022717955,1.53859570252048,1.94077493551127,1.78191362647461,2.04466054739057,0.50681234568465,1.05595211565379,0.836265721202502,1.48448748777592,1.16991081808237,0.663185216826428,-0.837677457371576,0.616949806316219,0.115195908456375,1.01193806398563,0.714068784907251,0.652759009397618,1.04898329043718,0.116705527409915,0.322162362738387,0.510466385687384,0.216749136351069,1.26859374424806,0.708983582684558,1.49406092292437,1.89918497204059,1.77404390166885,1.5199253187945,-0.0304623519541613,1.09194061791771,0.546888454682026,0.293442533712829,1.97640117427201,1.18118169873426,1.01679025017063,0.843005579257054,1.05031346724963,0.895997470758037,0.756024986656487,0.458458735726827,0.366624216976332,1.84344136289596,1.27638245282963,1.51928028821967,0.47476571059325,0.927073943814416,2.16496534591021,1.73355126569443,1.02317189900726,1.45328606088437,1.55228376240176,1.18253634809818,1.03555567334549,2.09847219189798,1.83299925364278,1.46078341995262,0.563045817805117,0.139832294751924,1.2902962897775,0.335263225133044,2.0432475122087,0.777329557094065,0.896802195723507,0.837750090798708,1.16977273225721
"EPEC_Li_1 (GE) - TPM",-0.220814526609092,-0.28837431164736,-0.844703218040275,-0.0264070699121749,-0.227894579368498,0.93949637461746,1.30944376397463,-0.542888778136241,-0.691309147144213,-0.436931226226025,-1.05696062688903,-1.11415220534106,-0.310716131618392,-0.898019026934022,-0.277153264060706,-0.141264153203339,1.30624672166219,1.18955348795885,1.62338000012745,1.07338411574252,0.553558382364687,0.996738919418861,0.837028581185617,0.323557627490351,-1.19621579171986,0.686242923484143,-0.50060277310092,-0.41804700870195,-0.372832483246577,-0.423583533722411,-0.340236679907059,-0.771129850534686,-0.647395118752443,-0.424300870762681,0.0675811496352523,-0.201022295174499,-1.0616748802326,-1.668433315624,-0.464110214321467,-0.0128654324447959,-0.34204215714593,0.290405942936515,-0.534338217799733,0.81193670136946,-0.157307315716236,0.17790997322628,-0.046811050946799,0.104509224907157,1.5576778845769,-0.600539540919308,-0.438350128849965,0.0320060308910892,-0.559816453239229,-0.593753280410732,-0.691760056487853,-0.541438841243097,-0.594950321863325,-0.724814321838835,-0.769217551335146,0.140466622490709,-0.864469006618363,-0.449169742375165,-0.690272684191661,-0.372402278937771,-0.228525950502399,1.86797227088838,-0.00985560480132425,-0.461285422553395,-0.0643105058767298,-0.423562940444766,-0.371054657017903,-0.936232309021579,0.254541651479747,-0.940684160710325,-0.117826467923507,-0.776839905181961,-0.196954104779071,-0.405650020414204,-0.893570508097922,0.220184277155401,0.127900929509921,-0.83922581852795,-1.06478357899866,-0.635328486556142,-0.432660121655536,-0.00744347379855305,-0.146541541175374,-0.0375678459225527,-0.680216423286906,-0.890807808984553,-0.420403356011249,-0.705785285286704,-0.310044243164082,-0.295774591797716,-0.761010821379564,-0.117035917406288,-0.46197197000229,-0.752788102563387,-0.815711689943912,-0.279780334510787,-0.505032501490734,-0.129381612779321,1.79352615675711,1.71814446831492,-0.869797359777776,-0.48965874686219,-0.65055079818588,-0.643488122343044,0.145964260488432,0.573083172209797,1.34253012682749,-0.180208158392652,-0.51125062646201,-0.660238188319947,-0.791915967980821,-0.70012580449514,-0.782479885662449,-0.13318064687524,0.129937310950538,1.06395992608837,-0.601663027284382,0.484212113247327,-0.553902290994783,-0.99341050317352,-0.820085344574006,-0.730311470879055,2.74729160424932,1.28755937919934,1.02700504772375,0.993656806794603
