"","NTHI_RS00030","NTHI_RS00180","NTHI_RS00250","NTHI_RS00255","NTHI_RS00260","NTHI_RS00435","NTHI_RS01115","NTHI_RS01120","NTHI_RS01125","NTHI_RS01130","NTHI_RS01135","NTHI_RS01140","NTHI_RS01145","NTHI_RS01150","NTHI_RS01155","NTHI_RS01160","NTHI_RS01670","NTHI_RS01785","NTHI_RS02155","NTHI_RS02160","NTHI_RS02165","NTHI_RS02170","NTHI_RS02400","NTHI_RS02470","NTHI_RS02475","NTHI_RS02480","NTHI_RS02495","NTHI_RS02595","NTHI_RS09550","NTHI_RS02905","NTHI_RS02910","NTHI_RS02915","NTHI_RS02920","NTHI_RS02935","NTHI_RS02950","NTHI_RS03000","NTHI_RS03005","NTHI_RS03065","NTHI_RS03070","NTHI_RS03230","NTHI_RS03355","NTHI_RS03360","NTHI_RS03365","NTHI_RS03370","NTHI_RS03415","NTHI_RS03420","NTHI_RS03690","NTHI_RS03750","NTHI_RS03880","NTHI_RS03885","NTHI_RS03890","NTHI_RS03895","NTHI_RS09590","NTHI_RS03980","NTHI_RS03985","NTHI_RS04005","NTHI_RS04010","NTHI_RS04160","NTHI_RS04360","NTHI_RS04385","NTHI_RS04680","NTHI_RS04705","NTHI_RS04735","NTHI_RS04750","NTHI_RS04755","NTHI_RS04760","NTHI_RS04845","NTHI_RS04850","NTHI_RS04855","NTHI_RS04880","NTHI_RS04885","NTHI_RS04890","NTHI_RS05115","NTHI_RS05205","NTHI_RS05210","NTHI_RS05255","NTHI_RS05405","NTHI_RS05715","NTHI_RS05910","NTHI_RS05915","NTHI_RS05920","NTHI_RS05925","NTHI_RS05930","NTHI_RS05935","NTHI_RS05940","NTHI_RS06040","NTHI_RS06325","NTHI_RS06470","NTHI_RS06485","NTHI_RS06530","NTHI_RS07445","NTHI_RS07720","NTHI_RS07735","NTHI_RS07935","NTHI_RS08120","NTHI_RS08130","NTHI_RS08140","NTHI_RS08385","NTHI_RS08390","NTHI_RS08395","NTHI_RS08405","NTHI_RS08805","NTHI_RS08860","NTHI_RS08865","NTHI_RS09060","NTHI_RS09065"
"HINF_As_1 (GE) - TPM",0.19299878724859,-0.0303578088507664,-0.73719008930972,-0.63434409285283,-0.712341576970444,-0.341586138036329,-0.625913698574936,-0.596184956360831,-0.542494343679157,-0.415353844922645,-0.521921841069669,-0.60625912161826,-0.516544253533988,-0.495004696507172,-0.505871096841081,-0.131335657442091,-0.50271152749254,-0.462953459164952,-0.393332479034253,-0.0775429095649328,0.325320734069733,0.564236133495643,0.197910830065037,-0.264024272032088,-0.451838223342759,-0.437882349127297,0.0975127674422372,0.0186768848267893,-0.254900041888694,-0.884752019699787,-0.331261173720817,0.189982903629817,-0.119499734413226,1.315752175418,-0.412947989385086,-0.565225524915834,-0.125464787050639,-0.146675592600942,-0.472376051936605,1.54295610380472,-0.218613054621215,-0.0136343058754507,0.690397136381524,1.70595745461419,-0.120503456767799,0.157215258851891,0.814803208354839,0.191227118290817,0.252992204015607,0.551577555409011,0.445689443463347,-0.472968033323557,-0.339454386599815,-0.388281771257195,-0.440850707472335,0.805940011622215,0.868214722272354,-0.386998763844772,1.0050874326509,-0.924634863386181,-0.200949102276016,-0.613777040817274,-0.350958112696204,-0.374687001456559,-0.376072666870028,-0.349975803763875,0.163694117641457,-0.279967632619952,-0.414073539202921,-0.63499547653845,-0.784193798010084,-0.0751776378096986,0.14901623218041,-0.376919061173665,-0.46109946730265,2.31087225431155,0.497067795665435,0.429467690473732,-0.505032813665945,-0.53753428184898,-0.25907729958359,-0.389646338162917,-0.416922852935267,-0.375963122361942,-0.478565338931602,0.0238925638712171,0.219643578721699,-0.329557845121029,0.487547632589925,-0.770323381646472,0.420611328946648,0.214930575736376,-1.14521324570279,0.0803399932245037,0.328886666786228,0.407379902258359,-0.427014770424997,-0.501128345879308,-0.901731723560196,-0.572052108080051,-0.0946153605081423,-0.441221766712686,-0.413697757395169,-0.357022364913879,-0.243442182666926,-0.4567796446514
"HINF_As_2 (GE) - TPM",0.880454222041842,0.0132062063921879,-0.638765329068012,-0.558521539418545,-0.486894398251434,-0.452111524393028,-0.461801810212021,-0.45678187227266,-0.250131050435552,-0.130443616232075,-0.158175940649189,-0.163445783552987,-0.107182987741858,0.133363407467393,-0.278612341804109,0.107098948288323,-0.495190704840523,-0.510047639744396,-0.444182490826656,-0.209992441010223,0.395814700561628,0.15149061887636,-0.264101523393843,-0.374985525038456,-0.407865333632097,-0.380203509457573,-0.0549497863963451,0.156129179281898,-0.855198983244755,-0.405236107457004,0.303602521420701,0.502334375414782,-0.407211844884374,1.58394653736976,0.345205697487551,-0.0959643536263204,0.364963256154101,0.55064743384831,-0.013624155875872,1.18665422774979,-0.407744678051621,-0.205643415594773,0.790634006153757,1.40284691053097,-0.180887449776312,0.0599531845620476,0.523381552558989,0.439288051512744,-0.338219090383985,-0.188337397219593,-0.101201358520932,0.383488068098968,-0.339454386599815,-0.372303308694086,-0.424313134609002,0.559402642639114,0.538456406939027,-0.00495502192965486,1.09917797014632,-0.725411708974661,0.0282093358008431,-0.280792787463179,0.140010280997811,-0.31672787985394,-0.249939627035436,-0.241794926944318,0.0896182299838816,-0.211949167805532,-0.299363282660797,-1.15830967291304,-0.700316966341947,-0.305875717785044,0.241637001941698,-0.51267873446898,-0.521052772436212,1.06426031485174,0.163856298135993,0.758529935468545,-0.531949897295632,-0.348724558934,-0.173380984356498,-0.486394531726171,-0.608072542752936,-0.43961035147804,-0.520734359610683,0.11254937638871,0.0387183927460605,-0.650391999243652,0.897512366194425,-0.703217696542486,0.058441261611441,0.0228460785467422,-0.905747805622885,0.614470214866826,-0.709518577207414,0.479504425509952,0.0870644080670221,-0.818128717374177,-0.357225302841717,-0.441557859062709,0.169647902907219,-0.50030927867101,-0.44872325311046,-0.0525820694757794,0.00283364440847237,-0.232882802478218
"HINF_As_3 (GE) - TPM",-0.141320789629,-0.712526745011254,-1.01967196549013,-0.684219496230186,-0.653204488707152,0.0224429378760168,-0.611293729145839,-0.545911032337326,-0.639563827658752,-0.258497530265937,-0.358414630923409,-0.412836616093508,-0.512579174250899,-0.0807806615217491,-0.476472968891491,-0.489997224087157,-0.847818004663722,-0.715231949721867,-0.288247834061625,-0.180191565852893,0.246317130657231,0.0376657403862689,0.533746291457119,-0.089993635285277,-0.465811621531644,-0.35289128557734,0.340559567752887,0.417880575321063,-0.00725216155856942,0.314583154805969,-0.566595891105723,0.016375644654182,-0.410643385864146,1.20919519914709,-0.457369728932407,-0.58717770545829,0.0457117771017892,-0.155461047911496,-0.197185130565577,1.29619420055188,-0.29694776483545,0.671555376040567,1.61569412135473,1.65746033917686,-0.54175624048199,-0.403448672771059,0.903797577083322,-0.0168851876304823,-0.150336431580755,-0.145314173291441,-0.263787186227644,-0.462952956029455,-0.339454386599815,-0.393541549800479,-0.470446371852775,0.372325632441915,0.643644107512813,-0.575608788899587,-0.51652772285226,0.262596659901348,-0.223335138445761,-0.917142703980419,-0.705101605187505,-0.455820109249591,-0.529801852682575,-0.454716286641953,0.34851832783269,-0.220370162612654,0.110486735028353,-0.414127715104232,-0.662301943995256,-0.448136256940875,0.570029106922252,-0.444279902464391,-0.535413331769229,1.4594880068604,0.969847645160899,0.0932052772035178,-0.00418407883451774,-0.212878036162571,0.190241099637382,-0.331410501642773,-0.399400898498131,-0.256033003680665,-0.595848511561281,-0.287665006381467,0.87723024586111,-0.44571018824317,0.388890348246086,-1.23337552652766,0.236819264803702,-0.374072262298732,-0.989550030388792,0.113116033795823,-0.0717185975457978,-0.489860128858808,-1.40599206604459,-1.41441953809896,-0.714165962597367,-0.376618143574298,-0.485626317341448,-0.589424598527921,-0.266740909239125,-0.503081219728193,-0.561339137145996,-0.529519188320155
"HINF_Ctrl_1 (GE) - TPM",-0.098740763912558,-0.704885782477332,-1.52780828497045,-1.1704667208471,-0.592082729533266,0.00326274289034618,-0.255039271718569,-0.215887503448387,-0.260384354467638,-0.423428076628798,-0.277228492586453,-0.343467480748263,-0.0848801749078411,-0.00521241507867968,-0.332935537008027,-0.862686026349131,-0.805218461809579,-0.784353279354399,-0.285957810078936,-0.319207256495445,0.490753356674314,0.0373347010960566,-0.183660585950546,-0.43401458716504,-0.330840765805158,-0.359022142690902,0.063348407323564,-0.392354477014309,-1.08333626225633,-0.0976881229206633,-0.300699673384964,-0.620259810666771,-0.864704354260035,0.57832358900471,-0.428440666173621,-0.561804553697658,-0.473471775421142,-0.29887935880535,-0.146597478258271,-0.706604493231687,-0.30557596481072,0.590216060229905,-0.732763189491478,-0.843941447252991,-0.568220361467662,-0.904600876793715,0.722082014502638,-1.32238606403162,-0.666967779192051,-0.753177983681433,-0.869626667391507,-0.299038062450987,-0.339454386599815,-0.387560025643766,-0.48605119910747,0.057193359532975,-0.145006718857304,-0.619595427768738,-0.38536592141547,0.741279536091476,-0.464139912308181,-0.643132846285168,-0.826815418256049,-0.563840800537616,-0.498427888894116,-0.514491675495452,-0.510309481180913,-0.329465478019593,-0.206706953793492,-0.262962514092234,-0.503818098254486,-0.0835839877603144,-0.591389709828364,-0.125713914089784,-0.0305403918024034,-0.0277204369078254,-0.96776956081452,-0.548174892215147,-0.319987010260634,-0.369449971442755,-0.358569949331074,-0.359238918335762,-0.639830522640791,-0.605823226098771,-0.538632408277444,-1.01341929129136,-0.170286119049156,-0.645522058823282,0.215910652325633,-0.6041670580801,0.129703470937224,-0.354615963227409,-0.230077140661009,-0.33961681779491,-0.847811991645934,-0.989176103100404,-1.28710163908389,-0.857199230628477,-0.0713860892400227,-0.908153524359732,-0.605219115036779,-0.493490869603402,-0.155201714696304,-0.207907261676752,-0.202457450829902,-0.337714544368385
"HINF_Ctrl_2 (GE) - TPM",-0.0880976882484672,-0.658137066954917,-0.986672253021913,-0.975057078892771,-0.910664006341772,0.0904790600722485,-0.333851148773802,-0.444314510472769,-0.658851709368799,-0.350891702310997,-0.324933275234924,-0.236820361697057,-0.504695982944331,-0.400128992944606,-0.431582579812899,-0.896442769181727,-0.715008255629479,-0.714309652628799,-0.171149947084156,-0.0928916183377951,0.697748998743998,0.884856330455638,-0.426290541751138,-0.64714610192932,-0.307384834646806,-0.356589476674582,-0.280062468612918,-1.10134346430883,-1.09635584202867,-0.188940112933269,-0.251252837412545,-0.441183338695121,-0.781175688985291,0.0501250210767963,-0.676314925043959,-0.54390549774726,-0.753083579026368,-0.288067403332125,-0.190342146056107,-0.94544806717456,-0.0148653591760925,-0.129590256739265,-1.00235897100365,-0.849552205136187,-0.355115515221218,-0.325409566531054,0.438251734870133,-1.39537427126821,-0.697088348156307,-0.888894286792915,-0.866472843583855,0.210154087948601,-0.339454386599815,-0.377994053129601,-0.485094449188937,-0.491001974973092,-1.12040214684298,-0.63210236206387,-0.431942259962284,-0.283837645136046,-0.593644688539538,-0.751117700880899,-0.82182995533772,-0.49991877524579,-0.549075995317659,-0.5554367233638,-0.789295655741626,-0.875177716471493,-0.446980784126984,-0.265082116168714,-0.458573124289497,0.749737125839128,-0.598424616150339,-0.0311676935737555,0.487129495340203,0.233727970606311,-1.25966525778984,-0.595868170431527,-0.132425943950039,-0.528838763712407,-0.70921036307418,-0.617578023686643,-0.271686696837951,-0.4646530177692,-0.451607623417326,-1.0465885537891,-0.862767251166961,-1.00863932169619,-0.427822754950179,-0.514821459338811,0.352651957410278,-0.553923616828291,0.00577184625907871,-0.322841782719034,-1.59604395705637,-0.906148184555276,-0.317083360646838,-1.32616999771739,-1.24585119438515,-0.830459432901452,-0.708375944948995,-0.45560371433924,-0.254504189962355,-0.295725225246591,-0.101793487767821,-0.344276018612886
"HINF_Ctrl_3 (GE) - TPM",-0.217042845008193,-0.67211094611773,-1.1369805296928,-1.17125720473329,-0.782793671334704,0.175744956951931,-0.20776514644052,-0.319993397990106,-0.331703741711014,-0.412453988599121,-0.284978378819066,-0.305294012801071,-0.399260157912301,-0.322423737811707,-0.38718315736076,-1.01862765404858,-0.863986962615148,-0.780306967762772,-0.304794847465873,-0.450989788130587,0.354274389451368,0.442741877742132,-0.0454709200083817,-0.36650249786078,-0.290650553234097,-0.38212010951675,0.288776917497012,-0.914956507917347,-0.585778416635345,-0.628428816983455,-0.356302062181403,-0.882207548575603,-0.909684016963688,-0.0509671752317901,-0.598690912616562,-0.550710845918702,-0.755776081908451,-0.324482598077103,-0.291634684397813,-0.988320341595072,-0.125712010021248,-0.424370649743381,-0.934302480122325,-1.24997302620862,-0.609456220713887,-0.816258163386728,0.076787091411157,-1.34848750084528,-0.695515020844889,-0.762524432350363,-0.881932659826638,-0.0752931154230373,-0.339454386599815,-0.383809737886317,-0.497260333497914,-0.381756613898959,-1.20115585145879,-0.641850540487891,-0.40859098120453,0.0219963012953533,-0.567720779545927,-0.742997001660322,-0.799097963410413,-0.533335187543245,-0.488669959966766,-0.538421852435429,-0.772199939880046,-0.864939933460821,-0.39537408212744,0.161373338528493,-0.455765191765828,0.159546489907126,-0.801577107812435,-0.354104450314755,0.11409839532972,-0.105656932494078,-1.10260952599684,-0.959910371875256,-0.460449885026848,-0.607073466659129,-0.871278083225466,-0.589289928531293,-0.590622657193181,-0.550058181116427,-0.577760421151832,-1.22098108408967,-0.670879460100782,-0.916329569753397,-0.322557477367761,-0.530861761799323,-0.257985181487507,-0.718612359053077,-0.233103615988204,-0.664593022541623,-1.27928371396182,-0.941497698235613,-0.585841729256113,-0.361089178301595,-0.708130317119595,-0.901118872606778,-0.765248198813987,-0.534737700360716,-0.314927822105538,-0.22994008503138,-0.157304351781481,-0.356383938293092
"HINF_Li_1 (GE) - TPM",0.00708835767334595,-0.479357257764336,-1.31078909261793,-0.744547610905934,-0.658190091429546,-0.275713752800525,-0.170993410146976,-0.122221799327147,0.0389099373311571,-0.260957680248323,-0.209663980549174,-0.0743792262111212,-0.0130430485595995,-0.128406130529239,-0.336271079165235,-0.858243196102999,-0.456629742268966,-0.779149301351687,-0.238873788884307,-0.368934838641931,0.317078897149695,-0.426059808315146,0.0176283388665034,-0.293047888680212,-0.420180029883973,-0.376002090585697,-0.0300044817754757,-1.17733421930837,-0.936327249412182,-0.68179363164095,-1.05767884328522,-0.895612586619011,-0.937353165389932,0.640567395089283,-0.397803981174563,-0.245036295990414,-0.488226346059581,-0.187472411332043,-0.323859480306217,-0.965043292239454,-0.189998129971993,-0.820129422107331,-0.826213016856529,-0.981621415495046,-0.583028275355792,-0.866046457776054,-0.51648064083545,-1.04047731328441,-0.658042505696205,-0.777969078214987,-0.843909838991898,0.311071114847797,-0.339454386599815,-0.385405947723632,-0.490718508032726,-0.29472183264491,0.0141235005753044,-0.532221273251155,-0.117580660691828,0.0140639794774592,-0.59872798210421,-0.412396542563189,-0.529642028364783,-0.522537313560578,-0.488180360297079,-0.463544745798372,-0.736437566097637,-0.961979112603749,-0.525105146461512,-0.666672345346812,-0.376358281378282,-0.516449232496964,-0.924283206516717,-0.0410724903261135,0.0422274595482447,-0.169357987148483,-0.918941166440157,-1.00436797051774,-0.56123011847372,-0.616872781906066,-0.754939089749664,-0.346149651426711,-0.696953121762943,-0.696467947111581,-0.690101658889284,-0.927758188507964,-0.463487714000243,-0.817923497010007,-0.313721918760667,-0.312815716005417,-0.779133862297941,-0.629142491412952,-0.612321130276767,-0.21585761088216,-0.775713708619212,-0.872595918626992,-0.972140053873885,-0.721780931024254,-1.12741032222115,-0.991512823984143,-0.679519416400077,-0.4850734996137,-0.328519977338976,-0.143404013365823,0.00843930146790443,-0.298962728845398
"HINF_Li_2 (GE) - TPM",-0.624242983367141,-0.589667242023525,-1.20252914782244,-0.633952683405677,-0.454294770136226,-0.455611532423237,-0.412550461731752,-0.371841517720419,-0.17879241778422,-0.425557824924564,-0.461664092508055,-0.447597589788566,0.012129229557324,-0.109738480306315,-0.369822582845933,-0.905597129609363,0.0885116420301464,-0.705651133565194,-0.174501206400592,-0.282516459348657,0.126263130746156,-0.52869032676019,-0.767627419269162,-0.680811305697078,-0.437799315070878,-0.282429456529866,0.448110463511543,-0.382850100287336,-0.956421536252148,-0.162069305163777,-0.611729600396414,-0.529498276880134,-0.692771573405036,1.28211135582886,-0.35801025874459,-0.283748359803009,-0.559833540541209,-0.215075185697032,-0.0890229935375656,-0.786760505117846,-0.0854848791874207,-0.261797387531386,-0.870627046226111,-1.00097191816459,-0.560527795771413,-0.6863775466985,-0.0235577971276805,-0.359288942247542,-0.64542413819211,-0.698908824744621,-0.839356669833032,0.213417385465306,-0.339454386599815,-0.378821668620922,-0.465858136886078,-0.331941204901035,0.100788669995736,-0.408610954999614,-0.216320929926007,0.931411940710634,-0.473578851925984,-0.157966793320425,-0.602579973900503,-0.551715890285163,-0.53243649107426,-0.484573982854756,-0.476357477561517,-0.0958890683678523,-0.681722326504898,-0.714586337547234,-0.184562168571129,-0.412101227073016,-0.417280306340629,-0.184332310933272,0.304773563089991,0.222156907051761,-0.560528227984874,-0.886967062010028,-0.488573595698793,-0.233921298546955,-0.319956688201713,-0.227966180850343,-0.535118385009569,-0.622978440476934,-0.693899673857397,-0.851349941829148,0.0415740255765976,-0.845765948256876,-0.662504479072045,-0.246936891952278,0.182184985171966,-0.133254353127524,-0.565103534202262,-0.304845532922174,-0.595168504280198,-0.932662542505874,-0.837866351725809,-0.81155520186097,-0.740036646645151,-0.937323655112224,-0.68051078922782,-0.364349766409697,-0.133343280731941,-0.0399733854762159,-0.211874682717987,-0.365037078305629
"HINF_Li_3 (GE) - TPM",-0.555133020559707,-0.634960985178779,-0.969991103952064,-0.717915004061209,-0.771681203212064,0.0567740841129375,-0.338606677485898,-0.307501750084258,-0.193250435473872,-0.440794838075358,-0.409160314899693,-0.327164607256346,0.104925530652813,-0.2148621881432,-0.41837912405512,-0.690645065105688,-0.469510730001123,-0.754229107884775,-0.241528525937073,-0.303190261961054,-0.100576313938717,-0.112032915059707,-0.207581919776471,-0.339557413363654,-0.367979422969591,-0.351112340470555,0.221016930414201,-0.14525851692029,-0.599385304664708,-0.24067868664179,-0.688594293422731,-0.62431188646766,-0.722106287611525,1.05485734173792,-0.302657097712202,-0.557823613820233,-0.497367019974296,-0.185288988388723,-0.144688740903917,-0.852918792629204,-0.350616306473258,-0.234406919522517,-0.302148463151299,-1.08455684917907,-0.48996300930302,-0.686224471539375,0.177042992023158,-0.30584552454516,-0.635543925861085,-0.724508981380041,-0.807683731162712,-0.175093423077604,-0.339454386599815,-0.367457756492254,-0.459705439662015,0.179175316519218,-0.0479032075806763,-0.498314999591012,-0.0848741509149052,1.0757567039992,-0.373971898301829,-0.278958149998108,-0.644868829690883,-0.49939033056964,-0.458926380032469,-0.442780514360459,-0.461644436520504,-0.214460616373077,-0.327516381035084,-0.545400487029857,-0.299666622490374,-0.318402989601256,-0.5809380025243,-0.0969091145682665,0.110944125036648,0.324216534040397,-0.662894806107484,-1.56577696710377,-0.588019643239397,-0.364756132884642,-0.574593775004077,-0.267150627192264,-0.614160508907506,-0.593027148946752,-0.688332359820925,-0.747454416249349,0.255095356009993,-0.658698854356746,-0.39750387816201,-0.334487977826558,-0.0933161749030028,-0.10570425906285,-0.393795753385774,-0.223512351678946,-0.749989815481559,-0.933877117243527,-1.05153869970033,-0.908751780509072,-0.827988844648782,-0.632736509214698,-0.579352809435718,-0.431710325710016,-0.264700406273544,-0.135236613067243,-0.207588636782378,-0.3442066496095
"HINF_Mig_1 (GE) - TPM",-0.702202583359122,-0.0530973810918003,-0.282503099761883,0.0660104202968928,0.0483070933559104,-1.24512858860028,-0.676362981987818,-0.722612275849704,-0.84356907779212,-0.689792502127294,-0.738228022126351,-0.665059722870272,-0.809654136478104,-1.02794661090074,-0.760352110248202,-0.855430284338405,-1.30401604086502,0.0498225877154949,-0.717332147115573,-0.688298037696791,-2.0470867411848,-1.99676578876057,0.0128639955315186,-0.59749122731775,-0.324393212524268,-0.281577083776157,-1.55249755057594,0.605100347577174,-0.770711472216243,-1.30810663217942,-1.15453015089804,-0.713774127248554,0.145452713021856,1.26188406122197,-1.02384122637607,-0.527912647544059,-0.833190045904623,-1.00819779298102,-0.992052212761372,-1.57666838860587,-0.853965008131119,-1.50696199902105,-1.13303195171165,-1.103219630772,-0.662648798992227,-0.455087628463241,-0.530197334389293,0.335861141634387,0.190866568800619,0.143892404265694,0.855335111736091,-1.18873553593185,-0.246229129052198,-0.387687813118674,-0.469589821616889,-2.03387841386973,-1.03163654252409,-0.6133554049343,-0.641459244841279,-0.938841742299053,-0.456574593001319,-0.185480036575323,-0.510186944643791,-0.36600154004461,-0.574949320631872,-0.444629646504846,-0.884959326203317,-0.924614177517965,-1.06506224325441,-0.337643885007498,-0.410539007677923,-0.654055298982336,1.27906049491424,-1.1357542217261,-1.66535967636413,0.731435106729688,0.211492081169855,-0.713985809680837,-0.742300100239276,-0.7448594978324,-0.5543821470538,-0.955274246160819,-0.728165730667744,-0.669620216974368,-0.567254670398989,-0.310886043260195,-1.57209599559094,0.21664415655592,-1.23203800004355,0.222150454724906,-1.12159743558583,-1.5395335166521,0.216294668634619,-0.812296979048395,-0.914588846822355,-1.34728157588445,-0.712643986242494,-0.949076691471191,-0.410153310524592,-1.0773776628448,-0.278499826854766,-0.89264274921566,-0.789179863074551,-0.892366809825956,-0.917287030637622,-0.802312589398154
