"","VC0020","VC0156","VC0206","VC0295","VC0296","VC0321","VC0328","VC0329","VC0362","VC0535","VC0638","VC0698","VC1025","VC1220","VC1289","VC1300","VC1451","VC1595","VC1623","VC1624","VC1714","VC1718","VC1764","VC1840","VC1910","VC1984","VC2021","VC2064","VC2259","VC2260","VC2342","VC2389","VC2390","VC2412","VC2413","VC2414","VC2458","VC2503","VC2587","VC2588","VC2589","VC2637","VCA0011","VCA0184","VCA0287","VCA0444","VCA0516","VCA0517","VCA0518","VCA0521","VCA0586","VCA0653","VCA0656","VCA0675","VCA0676","VCA0677","VCA0678","VCA0679","VCA0680","VCA0725","VCA0811","VCA0814","VCA0815","VCA0898","VCA0925"
"Vibrio_As_1 (GE) - TPM",0.350347001675829,0.948746454306732,1.28904987102769,0.775670579657094,0.517830961257998,0.905884726348596,0.40915104212258,0.358538741347011,1.0280600522568,-0.0775958203610962,-0.0240160986588883,0.497219156048315,-0.180490080282259,0.212068768832573,1.51107290657822,0.439748623952079,-0.344497475519043,0.488668957327828,0.417330167263429,0.162506169720472,0.216143050236537,0.58235584011137,-0.592469487931985,-0.101249172181933,-0.00279354462332681,-0.41592516291497,0.668502993516007,-0.867798574458249,0.816716034254742,0.68468344936937,0.834459939793093,0.875578060223817,1.50149272325206,1.00707760770874,0.619674501759653,0.685642769084717,0.43660014179396,0.50175045391463,1.230049974406,1.22648912799002,0.893983113427814,-0.388079152638023,0.621186155465508,0.178714445837121,0.810255033459267,-0.660111621117682,0.999572199305532,1.43103779164266,1.36213035239888,0.113774760350505,-0.590164833989019,1.50106455748426,1.15700174573139,2.61247237969144,2.15415400499314,1.20684044979107,0.642429882356948,0.134885039534477,0.743631733415328,-0.183879763129197,-0.145269771468087,0.65312212112507,0.681110746433722,0.486813723640841,1.70177788453443
"Vibrio_As_2 (GE) - TPM",0.0324348634771373,0.550322178551463,-0.134936090680184,0.829211132100234,0.44439150182503,0.404814408247718,0.549710538592469,0.289340895781332,0.601602977969977,0.253507179755621,0.346867507486851,0.206162923115552,0.217290562574493,0.309511413378514,0.707829018448259,0.36548081649618,0.035762663247541,-0.6042295930033,0.363621561569658,-0.0580649733376114,0.509234322804373,-0.760467924101017,-0.753427470171057,0.129982427337208,-0.541453246406237,-0.776673487208168,0.403786936380903,-0.725633489668961,0.526439595230236,0.494233008303371,0.193898818543574,-0.57961251517573,-0.476513339484572,1.0278947954415,0.54437042591221,0.523788598539362,-0.366828453051728,1.08200514841027,0.980544030960683,0.902547137044168,0.859985551324378,-0.374908825204775,-0.742067969053078,0.0794482476020066,0.402348854777681,0.187322410741563,0.282701273287422,0.361676415254452,0.229924993010665,0.529609146654366,-1.20573177192011,0.232317298057603,-0.218969416601988,-0.502142335988404,0.399858162750071,0.0552260798626032,-0.0845973203182092,-0.322303742916998,-0.171672401164915,-0.400379021398567,-0.221838476169154,0.525009062169145,0.180897396935191,-0.202859222469646,-0.951292286631972
"Vibrio_As_3 (GE) - TPM",0.574327839669733,0.989575335738259,-0.515099237886955,0.900388861044938,0.697978349955452,0.636605227847185,0.527725120084284,0.276120775184132,0.793564901210381,0.531981611094198,-0.186710502709597,0.34974864611272,0.311488438936488,0.472380953659726,1.52267639543625,0.468066665659512,-0.0973777626080097,-0.560500793334003,0.0726412633519448,0.238170413258151,0.15748594336978,0.528193590472246,-0.473958106868172,0.375158993632645,0.0440852079762972,-0.928988958226434,0.61421983042434,-0.46053940249799,0.763053061886589,0.724178083022453,0.525224216406966,0.415217797821007,1.30308803388804,0.686782500548994,0.324621152540418,0.45288487215891,-0.329359290723936,0.990746323603174,0.788847645095843,0.964988175153386,0.683421990224322,-0.37391894420099,-0.454295632014796,0.118204788000075,0.781383310848799,-0.706775041156019,0.430831905538728,0.496868160617635,0.531640770380017,0.468578987466273,-0.263137850950586,0.461708822291604,0.240318522546396,-0.284680661741761,0.865702061057778,0.857766828175253,0.720759949524793,0.507735742330621,1.38371048501607,-0.469927677989462,0.2578377111383,0.790919693285959,0.764021644329645,0.160800761999679,0.529747496732687
"Vibrio_Bs_1 (GE) - TPM",0.465240226517965,0.257000576146018,1.49752568024931,-0.172635920923953,-0.265652688986267,0.260616211719016,1.18732936507164,1.18910970378484,-0.0845635203999594,1.07731427129746,0.122387042986954,0.436244483948954,1.30072539694873,0.286425820852784,0.934743510098541,0.47781293798809,0.712966168710654,2.50520450884159,0.683849640081186,0.547338405017351,1.11628635608291,0.951173178198385,-0.526298442087488,-0.337129007322418,0.506781104251499,0.258909978892549,0.384810769331544,0.00593612067520456,-0.12008419736501,-0.108463765279248,0.984487935224613,1.44645070235583,1.67228921579257,1.38507421956751,0.755817996164378,0.915755457761786,0.58172319299668,0.710336326927326,0.637871770349756,1.26798441633283,0.618357294455672,-0.349327477870992,2.64477820910429,-1.22265152383867,-0.0864325948840126,-0.392795249701854,1.89862960755614,1.24920217919365,0.273333378152491,0.899958797823214,-0.0431978574110505,1.96104013815459,1.91574772942864,2.43586809477272,1.09164309177712,0.328603195101612,1.9596652042455,1.31282072169317,2.15252460354639,-0.183537003913162,0.530076692906508,0.674654445496991,1.26129485877514,0.789655596809469,1.17524421079152
"Vibrio_Bs_2 (GE) - TPM",0.393153622744101,0.217731102085406,-0.370196989549398,-0.405116239457203,-0.590688792408922,-0.174382399159736,1.34723830216192,1.03192645541686,-0.227190092954269,1.45203538429896,0.192634289583114,0.23980947117928,0.546519228162714,0.677464611350362,0.622665515492239,-0.375924061530908,1.03472160197546,0.105750894419165,0.373205093395902,0.425667950944159,1.21581504650187,-0.0790913272118275,-0.525868701556637,-0.111325264822289,0.198120588513523,0.0281996120997334,-0.2318409585025,-0.323104475426021,-0.141792821961491,0.0713889260282266,0.458076922940275,-0.395940736489519,-0.265107488423139,0.906034009509279,0.785777645805929,1.06289492587048,-0.0289741132030695,1.09628805833026,1.07113363773137,1.35596358172441,1.2212304337592,-0.342885015063768,-0.128084159617291,-1.3726168751296,-0.711025169299925,-0.914352274601294,0.473136954781693,0.156883544708286,-0.267553574002354,0.611377397993094,0.512987360490807,0.929884460689588,0.262489244194565,0.369563739498045,0.897912980665617,0.0984675852843498,0.312997360446617,0.244838131471296,0.929515605110891,-0.455766928330001,0.38073217975106,-0.0820510071385356,0.363386287306472,0.106148127323361,-0.821766593469132
"Vibrio_Bs_3 (GE) - TPM",0.678706848010372,0.157098247017964,1.55267509787286,0.163047032181589,-0.114477283291318,0.103240021309019,1.62932548072063,1.25752558385027,-0.132447001381424,1.61431748143171,0.0153850377460424,0.525693959132057,0.82119477463691,1.05716594358111,1.52357914967299,0.130362625341105,0.721564959743753,0.206931704807652,0.350297108482029,1.01151483107557,1.45271314354993,1.01047885511951,-0.336670899438522,-0.170850308617662,0.451140061007636,-0.210959129006991,0.197997423628218,-0.439558313855272,-0.0749647447977135,-0.116056707043986,0.884272168210418,1.57642978887501,2.20280829254129,0.944939969789139,0.728218546473576,0.896170141970468,-0.315530467394589,1.66102929867959,0.904989271909726,1.04263840534995,1.0618403977097,-0.365348296149435,0.772576592802213,-1.23090453827793,-0.142868934048096,-0.774023914432853,0.683767016432155,1.19747570885847,0.698549834705716,0.909592175062263,-0.209949572576239,1.2198156745069,1.13507325936719,1.02683544386312,1.59157456183466,0.453751316617952,1.16407708234495,0.762407941102539,1.34698664623573,-0.967248864654941,-0.0342456867344277,0.818050918011078,1.48511556716335,0.578498623908787,0.480142453152296
"Vibrio_Ctrl_1 (GE) - TPM",0.0262943563394965,-0.673319333285279,-0.570580341258687,0.0860390668569994,-0.322706817587642,-0.282345938869831,-0.103624655953587,-0.330707055918488,-0.0394341755179509,-0.425292532672156,1.03893454879462,0.166762295342677,-0.564390976987895,-0.0923289318146813,-0.0211623125362854,0.279358956171202,-0.737371669482908,0.478737009728588,-0.99038840815828,-0.964033869443978,0.0994213808315735,0.849359559186223,1.66925114100414,0.545879817531617,0.371511524231941,0.584990804855437,0.781515489841932,0.390769377958972,-0.479857834100741,-0.465532544280017,-0.125657533250493,-0.538951995092795,-0.687764454740124,-1.03829707745664,-0.816922409680557,-0.811921418287649,-0.0180554501742203,-0.0447458390288797,-0.368322499369257,-0.510557410996957,-0.482261972551708,-0.336934807858674,-0.422851922731927,0.613328821079441,-0.42354161913188,0.476508119558432,-0.824675395666898,-0.768442909325798,-0.739636309064632,-0.803452110634741,0.602640705381462,-0.823029335003964,-0.66257525296333,-0.727360504877707,-0.952877217717187,-0.997813673989896,-0.872414882300082,-0.81304952828872,-1.03560737868613,1.22478803025218,-0.728240285416469,0.190534546697309,-0.172228673889757,-0.677000697109846,-0.570003237912187
"Vibrio_Ctrl_2 (GE) - TPM",0.084570092942333,-0.803193376868417,-0.246447910215889,0.30766030026738,-0.118336831390596,-0.317553601976245,-0.214763196093801,-0.307181468984034,-0.269808254574025,-0.403614853426761,0.893401799519301,0.584096454625919,-0.636582995526069,-0.165548528194765,-0.141876404953205,0.521768606926528,-0.649453474479762,1.78608757701406,-1.00542920205787,-0.996925851353262,0.913152584663257,1.89577377483822,0.973504020769586,0.909403506464636,0.341621938647217,1.28963004480539,0.683777463982391,-0.218999591020633,-0.478825970391645,-0.563254629667359,-0.242875994207399,-0.419802312190987,-0.542410496229517,-0.922899452701665,-0.726580699362745,-0.705181517495925,0.983645370595473,-0.321987260520366,-0.15103023891445,-0.495453111227049,-0.462191500265576,-0.323366890590594,2.16618667630141,1.81004667091368,-0.0384424016296179,-0.631567884573482,-0.317640435443841,-0.750540513518064,-0.726348223196712,-0.845273954409065,0.443466560388795,-0.098104137083111,1.04793303839473,-0.546310882018847,-0.875037569774977,-0.991215932791039,-0.850749224375122,-0.768250527560849,-1.06471580738965,0.310907055315031,-1.01499303219766,0.309680696695791,0.0875716263533582,-0.680249655263444,-0.581400594233058
"Vibrio_Ctrl_3 (GE) - TPM",0.0352612869073565,-1.0509710313068,-0.475333528198703,0.262023266539072,-0.47375032890682,-0.300294480140287,-0.278101839213091,-0.339436845227567,-0.199684790994623,-1.04152346383523,1.00934894104181,0.0745453382441326,-1.15280484438099,-0.23645205146565,-0.27010099963438,0.23835409817672,-0.861863564616243,1.24193109236184,-0.863079008652369,-0.926535387632576,0.495212869576021,1.92146787984669,0.412024949165322,0.60662112493545,0.23388334417407,1.09955146981215,0.469732106489845,-0.183272601270041,-0.538629746909354,-0.539125034064459,-0.2863157732437,-0.366901171032475,-0.683168725065116,-0.728016301146163,-0.650399102032083,-0.724930415026614,0.137560824026879,-0.404149586855809,-0.260235226545841,-0.394212333930824,-0.466343477294052,-0.381165242289899,0.720847728778709,0.846214765010999,-0.693366564437457,0.368772715056293,-0.816325790473608,-0.755730396520783,-0.728097473074028,-1.32273904552939,-0.0719304677863851,-0.504906520494125,-0.42119093014166,-0.298775236125691,-0.947706520441341,-0.95428693024289,-0.85226830791748,-0.828924720956516,-0.94198709253317,1.44561067912351,-0.665988177933293,0.0363612388736894,-0.509851346753501,-0.641332861626987,-0.782129532945298
"Vibrio_Li_1 (GE) - TPM",-0.148899379221815,-0.839008578286294,-1.42458989089093,-0.450288018695114,-0.101811296600474,-0.753417681266387,-1.1121749713171,-1.07943052465912,-0.803268710709845,-1.11110792469997,1.20494799943636,-0.724335726593569,0.0734623856363003,-0.984274862796174,-0.956284109427269,-1.43374086341398,-0.634417928863578,-0.214885797220592,-0.684469423772532,-0.745723329182689,-0.861199424481538,-0.97414819405055,-0.757768684268204,1.36878281943312,0.598892520030584,-0.490416221989598,-1.01273642652017,0.00652074584852062,-0.740184292539196,-0.578538162836577,-1.02431856864414,-0.602205421945905,-0.720536193786493,-0.900980337694144,-0.648524171023792,-0.460450758274092,0.674361040956495,-0.64169602221018,-1.02542022172584,-1.0162885936203,-0.964439881753795,-0.312361456387036,-0.868392243122633,-0.656526180344738,-0.201941648441135,1.61891453536265,-0.644548322032348,-0.608045093062354,-0.618022413742097,-0.247921448117309,-0.44735755588089,-0.737299739368114,-0.92527419834963,-0.668242094260085,-0.686917158320585,-0.651566875782416,-0.737702001615475,-0.721345175313979,-0.986596994669584,-0.682613550968728,1.47314709867973,-1.18094099127694,-0.805076575085804,-0.791456654486559,0.331403722641477
