"","CJJ81176_RS08655","CJJ81176_RS00060","CJJ81176_RS00470","CJJ81176_RS00475","CJJ81176_RS00595","CJJ81176_RS01280","CJJ81176_RS01285","CJJ81176_RS01300","CJJ81176_RS01305","CJJ81176_RS01725","CJJ81176_RS01885","CJJ81176_RS01985","CJJ81176_RS02025","CJJ81176_RS02110","CJJ81176_RS02120","CJJ81176_RS02130","CJJ81176_RS02135","CJJ81176_RS02140","CJJ81176_RS02150","CJJ81176_RS03105","CJJ81176_RS03255","CJJ81176_RS03615","CJJ81176_RS03905","CJJ81176_RS03935","CJJ81176_RS04160","CJJ81176_RS04170","CJJ81176_RS08955","CJJ81176_RS04325","CJJ81176_RS04450","CJJ81176_RS05780","CJJ81176_RS06540","CJJ81176_RS06545","CJJ81176_RS06730","CJJ81176_RS07685","CJJ81176_RS08330"
"Campy_As_1 (GE) - TPM",0.84220305874132,1.10132000860264,0.895408677115088,0.831224923236593,-0.152332532615542,1.20498389409538,1.47625520964604,-0.138296433578918,-0.620721915524608,1.01723044687016,0.873740455280745,0.945599015121643,0.784771287227912,0.153794795180938,0.183783680823201,1.28848589915756,1.12971054678967,1.07908855368746,-0.00125193424529667,-0.156505589095224,1.00854527171216,0.55303159830831,0.648990982392554,-1.11923998568001,0.553666168853598,0.501601149591414,0.486593888492628,-0.457616113768566,0.0436426069177535,-0.47815986597305,1.0646822347462,0.832746024049872,0.748368950828687,0.0804023593506556,-1.24353567181698
"Campy_As_2 (GE) - TPM",1.14527647709753,1.30541708426172,1.39287648287632,1.35438750279609,-0.62061705308244,0.850048754780901,1.23945499937028,-0.670474963152587,-0.48463388300783,0.848921266630501,0.911722328895427,1.93627519423111,0.799440245291084,-1.33052739500723,-0.270779052775046,1.39357725988929,1.56828500399702,1.2965270673924,-0.436188755498696,-0.934824848968548,1.12812831294465,0.321522397248681,0.783241677747657,-1.2154367488586,0.659894534605709,1.00554766820569,0.984946056387697,-0.697206890049913,-0.306815447135931,-0.670993444309121,1.33323492647883,1.43838010733528,-0.250319832707535,0.0178502165160375,-1.19022727937002
"Campy_As_3 (GE) - TPM",1.06485450487497,0.537849962831479,0.831168964316112,0.952972947317424,0.261535217109187,0.488474928544428,-0.0153097786071611,0.0613268646125712,-0.0381311518604645,0.540764822441127,-0.00964685393436258,0.467769133012646,-0.480349388188573,-0.422563894342307,0.343061650396766,0.681243614997562,0.619667447749406,0.995674208095656,-0.333132396751434,-0.708332052689945,0.199677845255085,-0.35812561060257,0.239823951401926,-0.544104680786237,0.144402494475322,0.251379518932569,0.319406388736207,-0.185670172403758,-0.348103644250759,0.107578560763808,0.272603268203057,0.38037111837157,0.892390771127915,0.1014276386472,-0.642106681777774
"Campy_Bs_1 (GE) - TPM",0.258909725638543,-0.423846726154583,0.308937104485813,0.240670416131747,-0.307463096051602,-0.519223716070148,-0.303493582594887,-0.174570020605424,0.779955248047443,0.648391577931547,0.929370694755319,-0.169968161035464,-0.792542317566964,-1.12360699087513,-0.193161389412493,0.432349434093594,0.0915057091909176,0.0535334210587596,0.286296277559498,-0.579780367311532,0.479029400615025,-0.40484523210621,-1.10100835640036,-0.518856298145386,1.0955965318415,1.91515400809384,0.224396453395653,-0.972084547699414,0.349259880051893,-0.871240325864488,0.788485576194479,1.63042397809564,-0.28983893407983,-0.983743739451868,0.526851869583589
"Campy_Bs_2 (GE) - TPM",1.3506263040496,-0.622154883372958,0.20143559977687,0.138549874789935,-0.612607199707991,-0.451499841128613,-0.359453024238083,-0.232739623120926,1.81307505249909,0.0628073659493509,1.72082157033723,-0.898387511896855,-0.0849962262123842,-0.186917216898498,-1.20397168660001,0.303878100839933,-0.0174982815327226,0.390649811115431,-1.79189852810881,-0.604039241793465,0.478933424448288,-0.922937226212568,-0.821189817871105,-0.166119335760954,1.37757126188263,2.14724135672894,0.345009244118916,-1.56733773343996,-0.442913110512574,-0.976926434289553,1.02639297482883,2.20264739324475,-0.172268064508247,-1.03579678689313,-0.103134967936205
"Campy_Bs_3 (GE) - TPM",-0.370340859668461,-1.13814199517831,-0.292254226614137,-0.36891101109744,0.0496587737855669,-0.918812593506933,-0.901197748519327,0.196204600198997,1.11899307880047,0.00471192820778388,0.652234873097388,-0.7244596947879,-1.18785375968763,-1.33476629239012,-0.673533385741081,-0.093201022529031,-0.0376692965141577,-0.147256765339822,-0.615678737529042,0.0217795774474474,-0.144887183114112,-0.588281011073093,0.707235396766576,-0.662817199313868,0.900477294253471,1.73852892289203,-0.130386862018359,-1.27860417871711,0.623498654771812,-0.372631452109915,0.72190141896951,1.02520727123731,-0.947819812952298,-1.02722891418184,0.268884920131148
"Campy_Ctrl_1 (GE) - TPM",0.133511884933252,0.876137457719163,1.00560536722363,0.631386262166702,-0.807977461705397,0.801557551252127,0.922369280256054,-1.41960498405298,-1.36750236420569,1.75117998197401,1.16526585840924,0.739003353258764,1.28678877367038,-0.423974567322572,-1.11878044985214,1.28447132550739,1.13686137695234,0.909386204387008,-0.746295634012998,-1.51132345098173,0.975764613304305,1.41469124682864,1.61220552055794,-1.14448163790944,0.789009410252119,0.66407599475684,1.52255913033694,-0.184966608583677,-0.499723740793175,-1.52152909661336,1.7413194277098,1.35395723130783,-0.823189255072316,-1.11397483419174,-1.39552570721176
"Campy_Ctrl_2 (GE) - TPM",0.376918017690626,1.32305858587949,0.821259657147059,0.971283583362905,-0.914757296919178,0.955855752177333,1.01465058999574,-1.24023369596528,-1.71231099820819,1.26733324999561,0.999824919261854,1.63702602683441,1.62835360013646,-1.14243776003864,-0.859208561072618,1.60273069046499,1.7184720204053,1.10650656172516,0.449881682903979,-0.906305489901485,1.0862778933692,1.75632936493386,-0.113348034813535,-1.20991567257695,0.444320553797794,0.874615538989034,1.56464430969165,-0.766001100810152,-0.850775936396239,-1.48704840500293,1.76818416833396,0.767892440367256,-0.9437593254079,-0.627979581690867,-0.884680594647083
"Campy_Ctrl_3 (GE) - TPM",-0.0216590473914504,0.850887887244903,0.173146201694816,0.10292325725259,-0.317525550948091,0.27742012877217,0.3101639417898,-0.833067056854026,-1.05249508711443,0.905198371869186,0.180246313643663,1.08931605163904,1.89310231304474,-0.537357410355096,-0.407531122526995,0.591371050265347,0.402849728453832,0.279486453472385,-0.279863040341873,-0.736809440041321,0.19011998599099,1.05408588454169,0.227087189270938,-0.880693864267008,0.389054239803091,0.403158241308538,0.966511926077115,-0.417864949194085,-0.781068021226961,-0.623641107201101,0.457734247115026,0.0248010181797423,-0.364212142207484,-0.343118537063696,-0.496506768668816
"Campy_Li_1 (GE) - TPM",0.756873649148957,1.08830843172522,0.944729788944962,-0.11890805922393,-2.16352722908004,0.975888768417818,1.02640364612526,-1.92357769610968,-1.38302846843858,-0.149228279133034,1.9398110624538,0.228239426482484,1.15248594966398,-0.442695959922722,-1.50323374921464,0.825845811017625,0.864083318378034,0.647383779238289,-1.04683922875522,-1.42561280226609,1.27927826434574,1.75023324151512,0.692814160625426,-0.264473019458483,1.79519769948199,1.09349932200536,1.19743792607161,-0.929520562295117,-1.94439446505531,-1.65892783217172,0.949569316459071,-0.024352187573923,-2.13388810197471,-0.796094862188678,-1.61707187133191
