"","BB_S29","BB_M38","BB_N30","BB_Q34","BB_0061","BB_0069","BB_0118","BB_0139","BB_0141","BB_0210","BB_0307","BB_0308","BB_0312","BB_0323","BB_0372","BB_0386","BB_0407","BB_0513","BB_0514","BB_0587","BB_0615","BB_0629","BB_0631","BB_0639","BB_0640","BB_0660","BB_0738","BB_D21","BB_D22","BB_E31","BB_F20","BB_H26","BB_H27","BB_H28","BB_I29","BB_K13","BB_K53","BB_A07","BB_A20","BB_A21","BB_A25","BB_A36","BB_A59","BB_A62","BB_A66","BB_A0078","BB_A73","BB_A76","BB_B19"
"BBURG_As_1 (GE) - TPM",-0.60298679542439,-0.499835465071241,-0.420290110711852,-0.688090432066004,-0.335864503973664,-0.570398523284283,-0.113648895296615,0.411675162749428,-0.276574118776146,0.0808776960213951,0.33917106992543,0.0591215176428557,0.79291009639868,0.115591048544706,-0.293024776742847,-0.2388470982585,-0.301253066698448,-0.118823032897271,-0.245110387972131,0.696961893476164,0.421902708670656,-0.459212802141961,-0.432170294596312,1.17576598542614,0.40247675888579,0.648966327372642,-0.028821750422465,-0.419061818553095,-0.382190666911547,-0.596046233431237,0.495748088889303,-0.359573784286534,-0.34217629731206,-0.357659740177029,0.10912971382484,0.536036749784327,-0.172893950235954,-0.0638141066347442,0.527596151117613,0.269766739432294,-0.676584144703143,-0.696322427588432,-0.498444785538256,-0.398107823840593,-0.417869535625128,-0.48401627023853,-0.581418898299749,0.372278742701936,-0.525460511598019
"BBURG_As_2 (GE) - TPM",0.0283962368731479,-0.651530254622867,-0.365536825172097,-0.765995667881597,-0.0398675044547635,-0.76633246566481,0.521109646085127,0.922915699620591,-0.142482974975409,0.105533200790629,-0.0411546890949077,0.216424427243946,-0.438566310090746,-0.308404068736781,-0.0957289106319896,-0.425431787424663,-0.365567073231347,0.184513989729546,-0.139968639943105,0.256261506124588,-0.378754093435071,-0.511395752202584,-0.133462734736493,1.0289712221171,0.477041190486361,0.720734006548494,-0.092392964092983,-0.280953259699169,0.153421727051427,-0.504607924249647,0.205707783526289,-0.34162010934039,-0.345904732178837,-0.255539543630427,0.344320386584687,0.314152416797752,0.657283771532701,-0.523630466758823,0.272025033519254,0.231487672929131,-0.557683865045104,-0.651245662895521,-0.170787288411263,-0.476909128725649,-0.233767898051833,-0.514161080647702,-0.354515829104851,-0.311398545785411,-0.474171431915824
"BBURG_As_3 (GE) - TPM",-0.00610129005087015,-0.0914335137458312,-0.534097110279151,0.259316115691112,-0.474618937848443,-0.724441175083364,-0.328420550452754,-0.317234330170346,0.106070425644832,0.000837042181157596,0.871290462164207,0.798564523583337,0.461472164654565,-0.12722476677615,-0.159835679075067,-0.637530553649457,-0.0605736990670146,-0.214428633522182,-0.197655388236177,0.574576237713951,-0.365101263517293,-0.76009231449994,-0.101080272065606,0.771122322023476,0.73008557029506,1.20199136130497,-0.546427811959059,-0.361395249450726,-0.0385548325334647,-0.217545030278723,0.187967306708862,-0.408887607490965,-0.316902666702731,-0.26041274047728,0.0579194659321262,0.426495814097472,-0.745884667418201,-0.302206530731912,1.14855056573643,0.584348421387505,-0.628742835399094,-0.382335921514406,-0.676446408156133,-0.75886736031214,-0.373071939084714,-0.748393345698803,-0.286373603221385,0.211470152479287,-0.448314131305795
"BBURG_Ctrl_1 (GE) - TPM",0.264121577554509,-1.07272024954544,-0.765037509440401,0.591033289045286,-0.0646413580540574,-0.296809433884982,-0.0412556902440128,0.0653519170139717,0.518150797531204,-0.887256072724398,-0.0962203697116989,0.508071869466953,0.198350660773309,0.0580833366676842,-0.220850276898446,-0.985238713030511,1.32291535634031,0.981133865446619,0.142359674171124,-0.594856231134706,-0.273883998549386,-0.733405411032338,-0.330009871768828,0.263090208145566,0.562537474147451,0.537100559814496,-0.0823499842310797,-0.755910104432147,-0.480204826457592,-0.82917676254043,-1.46918697397774,-0.775408411336005,-0.769561270551782,-0.883489319656783,0.285590034118578,-0.198170673370611,-0.769216711504545,-0.647442068434525,1.86383298277205,1.43668948802681,-0.882422842144969,-0.790104445973459,-0.462058750229931,-0.369614441743401,-0.449854204252545,-0.577839461222203,-0.516622115765132,0.568755097338703,-0.527233256703536
"BBURG_Ctrl_2 (GE) - TPM",-0.619296462697568,0.608629932320148,-0.892006807282709,-0.0480335165569089,0.290742260652272,-0.719192097062182,0.0101766237654383,2.12204958569619,0.614521977479909,-1.14584580499679,0.472069137284467,-0.159280429077964,0.817049230844275,0.0305204752020337,-0.847624916501972,0.352524156064485,0.482844858731961,1.03228958312161,0.867346006607272,-0.790389871695571,-0.678183025605133,-1.29898152482829,-0.612985591327393,-0.261997966196917,-0.454356521791496,0.0523778984844241,0.418522015364521,-0.710749515195064,-1.04152612550483,-0.358436027169694,-0.226025009225582,-0.880086035506499,-0.717249141827889,-0.81921812588186,-0.847688692948382,-1.04925460013519,-1.07118496190278,0.00655361391083232,-0.628053918688326,-0.0395649980301322,-0.520641474939473,-0.738060313131726,-0.578858014627628,-0.27630612884581,-0.550673178530171,-0.860021303707213,-0.790115986203357,1.0558927000739,-0.0504623740143456
"BBURG_Ctrl_3 (GE) - TPM",-0.276578038236424,-0.714408504426707,-0.591631797420969,-0.91297688720525,-0.138523581690651,-0.331012130738439,0.912101870667814,1.91573058028257,0.161042018950463,-0.69879869859913,2.24463682735386,0.849129035674398,1.27542647610336,0.146377047277471,-0.918629097497628,-0.21356216815513,0.279220258675914,0.838709250796749,0.605127407043153,-0.326830178885201,-0.339730637474513,-0.768615175084377,-0.272949652782878,-0.201379693507262,0.654551330463914,0.556469455366014,0.0905342402452056,-0.797923228541801,-0.549563955186798,-0.835746972155476,-0.512972444041105,-0.782553995482,-0.623865423369575,-0.915286483732485,0.156583694767713,-0.399886527099807,-0.0771106008438322,-0.809338371889952,0.777082311933268,0.678844634971791,-0.559756606250192,-0.642994164967109,-0.349565939055654,-0.654534499751704,-0.362429296869687,-0.657809527603215,-0.610783999274566,0.79167600041372,-0.373158826597376
"BBURG_Li_1 (GE) - TPM",-0.565340903635092,-0.722967105287737,-1.59396787160213,-0.720453041357457,-0.39919970832652,0.357774106635378,-1.01383382405979,0.785256294334697,0.897614035305601,-0.83206986450373,-0.918436327547538,-0.519509064842774,1.2448478084541,0.831088575936457,-0.0482528539679551,-0.759774053932978,-0.877720336487664,0.592520768208372,0.805724468779395,-0.482738766936562,-1.11131653698582,0.67140106703146,0.19768884272302,-0.992802580893715,-1.06715614207886,-1.23549024721646,0.623601909110464,-1.01204903424765,-1.23007500839336,-0.699054829074686,-0.747808161337605,-1.01353293878524,-0.995492536259845,-1.18196727929617,0.0862651410698835,-0.733773698810156,-1.58993167974847,-0.39523408252252,-1.17607391887063,-0.454606503544466,-0.75791101938235,-0.783454469342468,-0.84558117505254,-0.0241422976571884,-0.45269499600161,-1.15938198445335,-1.31880401082435,-1.38551292801196,-0.735465171977085
"BBURG_Li_2 (GE) - TPM",0.106570692043906,-1.15604611288476,-1.09372123860181,-0.713892024882151,-0.463559937003708,0.401124448364626,0.88781745944208,0.84496204729106,0.941510931696812,0.517140383488491,-0.261049111660282,-0.719625204188683,0.913726664824266,0.443278882733969,-0.00530652397337373,-1.07905270316649,-0.447910430422278,1.84225334818838,1.7895090996776,0.0566702101435059,-1.71320344178546,0.820125332692262,0.178362851489694,0.28263137342743,-0.812254589394419,-0.809015703326043,-0.292245177160399,-0.738280279753208,-1.14154303923143,-0.0860901827684782,-0.507463325062901,-0.972270366542269,-0.93856313584545,-1.00292097049061,-0.149568502573997,-1.03837283816544,-2.09571358237856,-0.710058780682437,0.373310712166142,0.737077191650581,-0.638880869256352,-0.656477686140093,-0.976092786020232,-0.370388915598717,-0.17261044414029,-0.815880683128747,-1.09181022420136,-1.37736563873099,-0.764770675693167
"BBURG_Li_3 (GE) - TPM",0.694806866804832,-0.55915565351387,-0.876786456514728,-1.00208359452934,-0.522491678000859,-0.267129895738059,1.4322491215809,1.7652628371381,1.01202946253667,-0.504205941909686,0.226498292152439,0.0990600683215353,1.44895002569025,-0.114495467989293,0.353839496180379,-0.903259788445783,-0.457516878705204,0.989777625885524,1.2101698508888,0.139849197394969,-0.767579057458311,0.319941355167793,-0.410834838277712,-0.643958481625701,-1.14035984901161,0.267557623144329,1.28968037668442,-0.908555402170022,-0.352104787002262,-0.402626235804328,-0.0205565331006435,-0.565813836045172,-0.391298272663137,-0.640472119255194,-0.684372730959574,-0.663127957257001,-0.0235432760378652,-0.440634592589159,-2.57857967857467,0.707173474991017,-0.394059991924072,-0.615298337504695,-0.227743931651451,0.891707081584133,-0.396188271130642,-0.371811096901735,-0.730207567334097,-1.12075962056653,-0.409611386633794
"BBURG_Mig_1 (GE) - TPM",-1.0603767358944,0.255924092380229,-0.758632341977962,-1.10352385830677,-0.798863593112784,-0.511621801966479,0.27947894930594,-0.157483077474638,-0.00229951447402472,0.0145772032148106,-0.00654690100586461,-0.381857252129947,-0.506991024107235,-0.219345641906351,-0.747248473533965,-0.22137458224916,-0.461782643410595,-0.912778399902853,-0.809236267670445,1.36172141370326,0.255731452636605,-0.319438995544477,-0.00860284922559985,0.42064288755649,0.425711002211653,0.766053050920053,0.409083655269137,0.420231564237282,-0.075013163164377,-0.0332058913782212,-1.81275270573588,0.476260162232357,-0.0462521945425374,0.279420799680056,-0.278235575178314,0.0839115246569435,-0.29239262354435,-0.284653801073615,-0.106411373093522,-0.130654651340199,-0.376393124821234,-0.49764306188996,0.426831842713708,0.0788882608212272,-0.418809614005954,-0.601985841108056,-0.428246731374791,0.488594424156157,-0.528830323105873
