"","lmo0014","lmo0015","lmo0016","lmo0022","lmo0042","lmo0183","lmo0184","lmo0297","lmo0298","lmo0299","lmo0300","lmo0349","lmo0350","lmo0358","lmo0364","lmo0383","lmo0384","lmo0385","lmo0386","lmo0501","lmo0502","lmo0503","lmo0505","lmo0506","lmo0508","lmo0521","lmo0553","lmo0633","lmo0775","lmo0991","lmo1048","lmo1100","lmo1233","lmo1254","lmo1255","lmo1256","lmo1293","lmo1296","lmo1348","lmo1503","lmo1538","lmo1539","lmo1730","lmo1731","lmo1732","lmo1796","lmo1912","lmo1971","lmo2089","lmo2135","lmo2137","lmo2159","lmo2160","lmo2161","lmo2162","lmo2163","lmo2187","lmo2288","lmo2291","lmo2293","lmo2294","lmo2298","lmo2299","lmo2301","lmo2314","lmo2345","lmo2346","lmo2373","lmo2460","lmo2465","lmo2585","lmo2586","lmo2595","lmo2772","lmo2847","lmo2848","lmo2849"
"Listeria_As_1 (GE) - TPM",0.042962838070408,0.0463470988878322,-0.134493832164166,-0.980270108425066,-0.411939026994896,-0.652286633894154,-0.380244580573181,-1.12613878298271,-0.836118939407704,-0.702644749796629,-0.706825211414164,-0.758594107071466,-0.661498039660407,-1.27420441815122,0.0596570437214588,-1.02814319009058,-0.80456157640461,-0.970828648507115,-0.790732298113612,-1.06892335525799,-0.920146322471297,-0.421249669699428,-1.13767048677361,-1.09442887771972,-0.66353473527259,-1.4364692583625,-1.01333828522638,-0.435925205561072,-1.11297652198425,1.84254473391662,-1.41261678454957,-0.528953959893478,0.105973526919064,-0.86614113652573,-0.93486892739677,-1.10503123521023,-0.930491231433629,1.90685656499521,-0.613322841628563,-1.06420481294804,-0.675019831539415,-0.663294876966687,-0.73439198226518,-0.713745511216533,-0.672715893212007,2.2662239720405,-1.4462981064648,-1.10228309803137,-0.907592488765004,-0.676266602684906,-0.929108018191102,-0.653599342773212,-0.742654782430659,-0.771476126451331,-0.841127864947008,-1.0765666388198,-0.186258080020359,-0.691572305186423,-0.543291767434842,-0.924534504548248,-0.71296552346092,-1.21538975349985,-1.47946286495687,-1.20289228831585,-0.866313344278094,-0.226384684105962,-0.386582720456567,-1.32007880858679,-0.656448060480143,0.734613389282872,-0.649750128504031,-0.676637363652948,1.57020664034316,-0.698046570757769,-1.06561815170334,-1.1894565011647,-1.08987465874851
"Listeria_As_2 (GE) - TPM",0.104889873393678,0.0839758478464991,-0.040238753608101,-0.705197783755801,-0.302548736652859,-0.552050702693173,-0.654880469851462,-1.10812437527168,-0.81513805458496,-0.846427061769599,-0.876179336593765,-0.801186476008722,-0.724381901499545,-0.996083444072007,0.29129307208454,-0.913766005009701,-0.728537654643688,-0.897175921604467,-0.788791862932539,-0.91913736720017,-0.845221225982959,-1.10096507286443,-1.19233781212747,-0.865194580859498,-0.760363436782622,-1.57515015732542,-1.12030521967442,-0.491938620172849,-0.932419773773484,1.62575468195703,-0.923137587520219,-1.34186131561129,0.676370299919546,-0.853885440690605,-0.940424815113765,-1.02723636637484,-0.880335440563687,1.23987950321932,-0.605926915830052,-0.768544022381187,-0.668645207719403,-0.6240440662766,-0.760181437142191,-0.774470377873722,-0.699178742062871,2.24424825226569,-1.33190132168644,-1.16794953910785,-0.992504446968285,-0.963678150106806,0.160176455940769,-0.582105147488156,-0.677256734893512,-0.879406210158762,-0.910811133605186,-1.02700636215326,1.32887327906935,-0.724147735425209,-0.712688059057655,0.209610331811622,-1.05541241570961,-0.824253562010099,-1.18323747170171,-0.423532644400385,1.04512177848,-0.217385881076998,-0.541387694918235,-1.35927403185198,-0.626663603648524,1.0458953889521,-0.643219302581631,-0.675025346730089,-0.274476235294024,-0.701580716476443,-0.825242326289066,-0.757987346911129,-1.03694020999071
"Listeria_As_3 (GE) - TPM",-0.0567912629027307,0.0783856131167292,0.018841047711713,-1.02421896599555,-0.624922546386079,-0.561435949491461,-0.656956589764695,-0.982182415002514,-0.815613784969407,-0.846427061769599,-0.663510127841196,-0.801186476008722,-0.749137602140272,-0.942872206561266,1.38868824999269,-0.956041611484478,-0.725164170491545,0.780068653827946,-0.768901982500443,-1.0835185256359,-0.948842909526093,-0.514140015708575,-1.01407319043349,-1.11206763703681,-0.712149178358738,-1.34546840595614,-1.20299704086416,-0.76111026691696,-1.03592330676142,0.797421810402755,-1.21373313464977,-0.509701902588578,0.405342778124072,-0.880470878517111,-0.940923991767003,-1.25504754179169,-0.929336644182174,2.43513682407212,-0.60724382894171,-0.857043829432226,-0.679926997777116,-0.673261578990432,-0.737598621135462,-0.733444087159274,-0.605455867411615,2.13251555688108,-0.94271832783043,-1.15091593102255,-1.05302179372396,-0.873447713762927,-0.639913888683731,-0.682855022772749,-0.756234605583325,-0.720477064865155,-0.849937412535859,-1.06080989558897,-0.636115735534572,-0.603621795666434,-0.601008925025037,-0.676054274963824,0.0402314984037886,-0.59090745072558,-1.04200217332185,-1.36541577148937,-0.866313344278094,0.131265868453173,-0.220067587192392,-1.25878171783328,-0.470686569858029,0.191380949237714,-0.656206583001066,-0.684420241611462,1.11142525048033,-0.761842855595058,-0.959630577661293,-0.968174009264119,-1.04713477179944
"Listeria_Bs_1 (GE) - TPM",-0.616096542941748,-0.369269016000875,-0.39106491246287,-0.479122786728319,1.70295588104517,-0.546956739499399,-0.831676991604106,-0.966158992698602,-0.815802777548923,-0.491581381141149,-0.654407134843332,-0.801186476008722,-0.730959919776861,-0.129131845167664,1.2780640844516,-0.535199113326672,-0.517693769489063,-0.617824477528375,-0.6135801921081,-0.62166494582791,-0.607195181692957,-0.724384616568571,-0.890742093103222,-0.306736772706732,-0.437364681622671,-0.29645520226494,0.420547768588597,-0.455382179715546,-1.10938720567293,0.730303920719911,-0.542982320431458,0.957611352677131,-0.191395088722226,-0.716956421027337,-0.722993500073727,-0.295136924758659,-0.0819570698113002,-0.0191070819352692,-0.665661715731885,0.191538225597736,-0.439923508956506,-0.490042916111171,-0.653478815802811,-0.690005519853397,-0.68136346176269,0.119437448060701,0.420619203797564,-0.918467687021875,0.519486374817309,-0.297791933786609,-0.619802726583759,-0.711569996492493,-0.719397645581994,-0.702445384521917,-0.79938567514219,-0.356044149592117,0.704929259459902,-0.480636929539718,-0.473796991914637,-0.497757515937823,-0.713592510551234,0.00798741671574711,0.222555621449572,1.06109825588295,-0.14263706927258,-0.905878971710174,-0.268800625613246,-0.361747706136422,1.43649190033401,0.618334196352546,-0.585253502474313,-0.604094953513628,0.83393067778839,-0.242022342001488,-0.21680185416948,-0.276432495283706,-0.672599238389863
"Listeria_Bs_2 (GE) - TPM",-0.540539849077983,-0.260783854109573,-0.425252432473133,-0.705779736356598,2.07204563732244,-0.515098570286035,-0.76367655245609,-0.990886923667425,-0.797381619186377,-0.13353954428409,-0.636272136010609,-0.730794024820681,-0.768785417542176,-0.571736902386913,1.10325555046075,-0.609740629944845,-0.486633804423282,-0.569115525947694,-0.651471489804391,-0.603018800269942,-0.646322116639385,-0.780003262950931,-0.422929158276637,-0.291337318757193,-0.199720264716747,-0.35745985919518,0.086748978205216,-0.0445320270408263,-0.996619945982076,1.69273294262258,-0.935344632255405,0.54268841625144,-0.303216668546902,-0.760456041532898,-0.765732471934031,-0.763065948781051,0.0934073293185532,0.0755423470562547,-0.681552927533896,-0.44747218422724,-0.384626456926745,-0.455369674841454,-0.639852259802239,-0.575543949278615,-0.639286754184118,0.221668305274922,0.909587318505197,-0.794634602516483,0.116916674568566,0.325622100127944,-0.784115490003767,-0.697335282773875,-0.74720839452112,-0.748948809096156,-0.761748453360087,-1.00370728266411,1.88065695093057,-0.6723201500553,-0.488718920976266,-0.506690310470757,-0.894887769086537,0.282152235487007,-0.211151978346792,1.56456779645973,-0.866313344278094,-0.499497917250775,-0.624680881644402,-0.467491135130362,0.92300831682991,-0.582360823683414,-0.617182413972108,-0.619156037451552,0.246619922186552,-0.315072146510768,-0.120146939057023,0.562348933184939,-0.00490587000755426
"Listeria_Bs_3 (GE) - TPM",-0.100321758351003,-0.0921961636591429,-0.18744644105287,-0.86444305447119,1.38091418923156,-0.564395886992363,-0.0483526017050132,-1.12716809665206,-0.720072835958143,-0.65446287946891,-0.730826003812019,-0.573725694159443,-0.673292290983219,-0.594455622914665,1.53134298693169,-0.458709796867397,-0.553091226199903,-0.440391490187682,-0.640476538111701,-0.643381466683181,-0.941845516875801,-0.712040783297515,-0.745313215456367,-0.396367505599647,-0.734777961707729,-0.994711299136875,-0.261572195178045,-0.32695474706805,-0.996256590286601,0.863928912672071,-0.647032218432627,0.239095975785973,-0.0395502152820136,-0.731576958867788,-0.737229417005524,-0.0544254326072758,0.3134975945563,-0.0307885352985775,-0.662808001772977,-0.160996345728148,-0.340704503672302,-0.456174939468643,-0.605534034895475,-0.587939926041078,-0.679505051112209,1.55319927782332,1.49594156486317,-1.02653453441999,-0.18282161620521,0.132676112203891,-0.69484913649205,-0.634325430873268,-0.738261517242923,-0.768090526302861,-0.82650904217373,-1.08450984539124,2.13811678205702,-0.375709354728502,-0.667455762845178,-0.567966304010937,-0.452176466060236,-0.0452492725707794,-0.171648414993623,1.23774369843804,-0.52375616957091,-0.739642793058132,-0.929141031511927,-0.0630792477304002,0.698537629548288,-0.0248130118263379,-0.602466410833984,-0.616982423061628,1.51092309355386,-0.270954134579527,0.243877117118052,-0.23445275307382,-0.88732568132871
"Listeria_Ctrl_1 (GE) - TPM",-1.04822594829098,-1.00215428847721,-0.919463989818204,0.0635175611009576,0.0929998894712789,0.163080899871195,0.527583330718597,-0.310333495706584,-0.344683348547635,-0.625459473133929,-0.491975858232225,-0.277531908310522,-0.0726193806401897,0.0307503298005698,-0.164793691695276,-0.144432368612605,-0.275056679588932,-0.62620136470743,-0.575687056694811,-0.196300140822365,-0.331070096589998,-0.603536268040355,-0.489244585497776,-0.53842590555932,-0.345374737448018,0.446484257697286,-0.186839882795616,-0.53899869696077,-0.582420947782773,0.35787155621942,-0.0694479564859223,-0.493612687305037,-1.03650070725916,-0.0751799642300834,0.0600356719748544,-0.371743494749942,-0.874348124060661,0.227637548746111,-0.589557480909249,0.569289652554823,-0.640553135429993,-0.63772230202476,-0.555551236066025,-0.494474165903156,-0.638275021568612,-0.510726060288622,-0.0822230527126408,0.491341549927674,-0.464240184116095,-0.500944894136266,0.0596177870167206,-0.285670592357872,-0.0357831390944386,-0.110857302492016,-0.0562777152443688,0.159937912396228,0.228280756997258,-0.234827137426682,-0.539133609234333,-0.657945675475692,-0.74850693248042,-0.294979817304643,-0.566599023900033,-0.207906103303007,0.44806436848301,-1.1701352095612,-0.864770265027518,0.0525049263639552,0.235330690234976,0.0837621366929143,-0.535954816323053,-0.457052330869102,-1.01336213439987,-0.264830696374583,-0.520684667235657,-0.498380794928034,-0.284585122222367
"Listeria_Ctrl_2 (GE) - TPM",-1.07003701708787,-0.952672313896723,-0.944272572305607,0.333923198726073,0.00035781953532204,0.105226001221509,0.304609002289332,-0.467432371918036,-0.525953967687739,-0.846427061769599,-0.514176963682811,-0.376318288417363,-0.114765115425956,-0.136468034373906,-0.246229472113402,-0.152834253075459,-0.229459462035906,-0.401318220146962,-0.557586448778281,-0.274401567354502,-0.679980719397547,-0.455221293468758,-0.932277115529261,-0.939633632238021,-0.757754013749756,0.104107217895957,-0.081679465851617,-0.76111026691696,-1.10576214452929,-0.10213827097724,-0.608790988659123,-1.50108091237647,-1.02303696183117,-0.183842128922687,-0.0619982676748761,-0.607280685187283,-0.910487265244613,0.0414031085838595,-0.571372665745922,1.15757314149643,-0.494453605423169,-0.646217929210239,-0.501502286426238,-0.59894481325738,-0.569464804303898,-0.543464615005155,-0.307479172381687,0.282281968110648,-0.502315452745543,-0.690631198380653,-0.0539756482831698,-0.315041782276774,-0.274613806432538,-0.469457035504717,-0.123673929732631,-0.163171729878775,0.532115774427715,-0.880688489970798,-0.712688059057655,-1.00965879898123,-0.973438915243545,-0.507507507862206,-0.395312345920689,-1.31501549983109,-0.0131749419284218,-1.17045417222087,-0.865699813099687,0.0994693758337775,0.353910611666278,0.50492184082598,-0.531829938976885,-0.496084069787828,-0.479662677235017,-0.368109273453418,-0.651375346190806,-0.126377542380337,-0.532233315724631
"Listeria_Ctrl_3 (GE) - TPM",-1.07347676535271,-0.98243001802044,-0.901103546734034,0.091832413359997,0.255190074148553,0.0521107229174168,0.292090420701,-0.523271151537476,-0.654971441917964,-0.846427061769599,-0.44478217255687,-0.450661280937127,-0.229204906183723,-0.562472844421681,0.413741417565302,-0.626922363633624,-0.334972144585277,-0.475604342515672,-0.611654743633266,-0.552603706017953,-0.576047807441897,-0.568212866789782,-0.958084074510287,-0.875476006700401,-0.484208881831402,0.127898239421947,-0.325835744008412,-0.76111026691696,-0.703937526648847,0.267822238354406,-0.119592330159819,-1.09031242086126,-1.06265709991784,-0.216228110120788,-0.10168928103961,-0.740425706321206,-0.877530937271358,-0.294687282842779,-0.49484487840671,0.147924107178676,-0.641404323358001,-0.643686880806867,-0.541097328738568,-0.622091463420884,-0.748015783311438,-0.172713728781935,-0.916071956149643,-0.0881268712691638,-0.285971881066929,-0.73840866936164,-0.207105398110881,-0.335831463764755,-0.113425966968102,-0.284833116343771,-0.106845683301999,0.316327204978938,-0.431966285893339,-0.53482586892851,-0.433869718242343,-0.620969580868492,0.0384135926420103,-0.573183623478951,-0.608654359841922,-0.728080199956105,-0.162456210057799,-0.837930321821727,-0.845152286697934,0.0589740326238915,0.430569100530305,1.00981764791625,-0.543132522026566,-0.522981124315596,-0.837552926362568,-0.614578402896138,-0.668628926212831,-0.553046041668622,-0.440249754985418
"Listeria_Li_1 (GE) - TPM",-0.129150962494057,-0.0471018153446703,-0.0810211634409268,-0.750830529003428,-0.000365719773048768,-0.896237342954265,-0.937377863007423,-0.873568314596265,-0.829422418416116,-0.846427061769599,-0.719823920615378,0.299863359844564,0.00162351831916273,-0.875839746227753,-0.62669900833062,-0.563077380689877,-0.832461583866851,-0.860027394357088,-0.811169020603595,-1.01887002549523,-1.11753483007274,-1.10096507286443,-0.728609718647251,-1.10444324934831,-1.04135578229841,-0.422768492205909,-0.188325538224085,-0.294092651368924,0.724089854351769,-0.467882050252676,1.03439313502169,-1.23951891755145,0.875774165354097,-0.789838679290029,-0.66569038265307,1.04741546154302,-0.449913596031882,-0.270708675700982,-0.361952720675917,0.0557166035021068,-0.456631305148613,-0.48564348545768,-0.501137972332978,-0.55735071983074,-0.642360000256336,0.638547555295751,0.129298407564408,-0.910937513350635,-0.124890889008208,-0.786777225296333,-0.929108018191102,-0.714232319607091,-0.662044149774345,-0.750092200306603,-0.520100296733162,-0.521674833840837,1.76556381301003,-0.337486478578935,-0.712688059057655,-0.52174259615048,-1.08744986895381,-0.681318273047036,0.131583686770603,-0.793769880179667,-0.866313344278094,-0.592603128042282,-0.884215817521694,0.980665692062121,2.0640758198032,0.207210263868117,-0.641225764473831,-0.577429009320871,-0.168330511646125,-0.871979266089553,-1.01234531997284,-1.00385793829013,-0.664277163043797
