"","SAS_RS14285","SAS_RS00390","SAS_RS00395","SAS_RS00500","SAS_RS00520","SAS_RS00560","SAS_RS00565","SAS_RS00575","SAS_RS00710","SAS_RS00715","SAS_RS01150","SAS_RS01165","SAS_RS01685","SAS_RS01690","SAS_RS01695","SAS_RS01730","SAS_RS01990","SAS_RS02075","SAS_RS02095","SAS_RS02100","SAS_RS02105","SAS_RS02590","SAS_RS02610","SAS_RS02615","SAS_RS02620","SAS_RS02625","SAS_RS02675","SAS_RS02970","SAS_RS02975","SAS_RS03160","SAS_RS03845","SAS_RS03850","SAS_RS03955","SAS_RS04510","SAS_RS14580","SAS_RS07370","SAS_RS07585","SAS_RS07875","SAS_RS07890","SAS_RS08050","SAS_RS08055","SAS_RS08060","SAS_RS08065","SAS_RS08070","SAS_RS09190","SAS_RS09515","SAS_RS09520","SAS_RS09895","SAS_RS10065","SAS_RS10070","SAS_RS10075","SAS_RS10080","SAS_RS10085","SAS_RS10300","SAS_RS10430","SAS_RS10490","SAS_RS10495","SAS_RS10850","SAS_RS10865","SAS_RS11090","SAS_RS11130","SAS_RS11135","SAS_RS11380","SAS_RS11385","SAS_RS11390","SAS_RS11395","SAS_RS11400","SAS_RS14845","SAS_RS11865","SAS_RS12135","SAS_RS13415","SAS_RS14950","SAS_RS13440","SAS_RS13445","SAS_RS13450","SAS_RS13585","SAS_RS13855","SAS_RS14230"
"MSSA_As_1 (GE) - TPM",-0.742955272360676,-0.893528380002198,-0.891423460303966,0.187575416756207,0.28158599950346,-0.713496359436517,-0.649299891184605,-0.93686055151792,0.485539929912939,0.9861124642757,-0.64688797730932,0.198565875199749,0.3824521426388,0.257721233614107,0.241443971103872,-0.383913553446725,0.367881196957236,-0.361447031304676,-0.627813077936572,-0.722369374733599,-0.818961093806038,0.404049171797112,-0.621457572335627,-0.707156786628869,-0.598755342219828,-0.527892485828086,-0.679066900893201,0.341087070046576,0.666641324011739,-0.389194014491799,0.13987871992924,1.13661800844109,-0.192630035007608,-0.765446765041096,-0.549949430929238,0.217977058508882,-1.16766939547732,0.222806419540097,-0.800089452398994,0.126013830080149,0.0767499196403133,-0.390532387727419,-0.2709622393629,-0.399264842380485,-0.124812863586479,-0.611904757505072,-0.441109140064223,-0.180945222985406,0.160288114342035,0.23873462952182,0.557740882747388,0.610098584183186,0.632816273897848,-0.208878434244245,0.730891753297866,-0.360781300527388,-0.265830263352205,-0.029359609735807,1.76928371601835,-0.903280168867056,-0.766267547850205,-0.96306249549852,-0.628709806980123,-0.640965155949239,-0.576731490486827,-0.675665697181964,-0.586252294881646,-0.525946257974565,0.410149690462771,-0.505223411838158,-0.236071456983746,-0.178517539355522,-0.550816057810696,-0.600393266157991,-0.0267982790948636,1.49549629690886,-0.0348550453861484,-0.237432661151228
"MSSA_As_2 (GE) - TPM",-0.228426824275036,-0.989465678863424,-0.695184610724684,1.37266876457513,0.430623755274786,-0.705031549759989,-0.66109803324285,-0.858226405140923,-0.199619344918699,1.51380794175311,-0.176063124817247,0.331136835071385,0.509410325805778,0.0462355506472873,0.227843073138295,-0.229593679838809,1.43653427317174,0.633443684756586,-0.468834822579323,-0.455606797718452,-1.14325803862088,0.382502884187803,-0.562529577461578,-0.584411857254809,-0.468898709035262,-0.437664224051806,-0.328650660249098,0.0882618766678297,0.660565372444173,-0.497802404266534,1.3013665088166,0.872774328237706,0.215638926871468,-0.73671403254876,0.965735988536678,0.45275356628459,-1.20377846581398,0.0277315471952123,-1.23189095443549,0.13186114203606,0.116320443294209,-0.149936611731676,-0.0291051948270723,-0.0810234940045761,-0.164364748511554,-0.66795504783621,-0.50928628363092,-0.180945222985406,0.205411474996515,0.0910848177379446,0.988119096735803,0.845054571968972,1.5487831010453,-0.208878434244245,0.874980515605449,-0.215285723844087,0.0523969969182984,0.700399277156325,-0.0544522137409036,-0.879627089709801,-0.570311476260544,-0.690549656744287,-0.225184562060205,-0.388504378702354,-0.391576692244717,-0.384972489987864,-0.299285760827621,-0.331561962965145,0.501197272325768,-0.431482906296811,-0.375845967188652,-0.0805824242154384,-0.764668864709671,-0.0485273244689819,0.330463651786732,1.19314754935055,0.500289576641694,-0.241676600609881
"MSSA_As_3 (GE) - TPM",-0.434343979401747,-0.939314646957701,-0.812408063880757,0.592810593183838,0.200659998456882,-0.723783840391306,-0.666861357757199,-0.899561351640336,-0.865464278822077,0.792325032695924,0.201873642086092,0.440361220509728,0.414406037372037,0.352563814085195,-0.0304114238135452,-0.158503230935346,1.48580883574913,0.817634722255907,-1.18670897536001,-0.998924296344413,-0.549881308085681,0.999844918825645,-0.630145679055047,-0.620478767496955,-0.553635224670962,-0.485946190452886,-0.481019569298947,0.685947988758789,1.27105307212883,0.563634899118063,1.20782117656075,-0.41864222819566,-0.0340005596590077,-0.75925654963104,3.37453864502329,-0.326687368883157,-1.09397620874358,0.0111818970017296,-0.904883645581692,0.312655570099039,0.386529862761023,-0.291025685570733,-0.333058793356233,-0.225974950004395,-0.614326176954999,-0.468542813602612,-0.153766449437958,-0.180945222985406,1.40923784355312,1.40013755361549,1.90740982337181,1.70287814733506,1.08473904854794,-0.208878434244245,1.16270758887338,-0.217287417426273,-0.0866355373602976,1.02490577643136,-0.121038987281334,-1.00157200854869,-0.264489819206923,-0.578855434797875,-0.4286614731928,-0.46269183019079,-0.486583282378332,-0.537192589361468,-0.46468527953332,-0.298880465925107,0.954906416489023,-0.590677058519603,-0.578768548008398,0.553044281067724,-1.27336035524508,0.0626830324687379,-0.899517951825656,0.529241443768231,0.0129621055909208,-0.260765648482296
"MSSA_Bs_1 (GE) - TPM",-1.44203433692585,-0.613718974208975,-0.591895653311681,-0.224344035945956,-0.536141444894762,-0.650474459669582,-0.622254223019476,-0.843897145231785,-0.612085280703852,0.438992975576658,0.320817078966721,0.777258827821272,0.877704498283805,0.321891566997385,-0.441424457439142,-0.284347566075927,0.737003356402503,-0.91408094074515,-1.09593098549312,-1.07893550481807,-1.17104929644182,-0.310682029038614,-0.261109584555116,-0.366401012763954,-0.445632653029141,-0.438820143047239,0.154091052911935,0.372486353718481,0.53188892556839,-0.732788286769516,0.55092068907936,0.342202248833163,-0.145680050000478,-0.580805203558936,0.597052672539515,-0.596333644522619,-1.25672488901852,-0.112670665164251,-0.646075937318168,0.439168042104769,0.288336747436963,-0.264275103991661,-0.196961563096675,-0.0720933035820058,-1.17298195385848,-0.39033365730805,-0.251610309141629,-0.180945222985406,-0.0184627465670437,0.821765919879352,0.0508155351353875,-0.178599687599414,-0.637557235780383,-0.208878434244245,0.242804857757396,-0.108076740926064,-0.0801306473456016,0.31151192367532,0.688146119812854,-0.742670549823369,1.03909629037812,0.235248405383484,-0.571334700167275,-0.544410251550906,-0.541158956497967,-0.560512515151057,-0.448513123290716,-0.119124814801613,0.0406636281178205,-0.540404661042204,-0.665819257769999,-0.195045604246083,-0.149317294274239,-0.37380155088337,0.581481025031031,1.33605778349642,-0.418371302086578,-0.0973344102828272
"MSSA_Bs_2 (GE) - TPM",-1.15638771387408,-0.496705215868617,-0.795286462107621,-0.100513947005555,-0.651502788055339,-0.655871110475495,-0.619341103763564,-0.884396698729512,-0.0374534009946787,0.432299477034148,-0.24728114672023,1.08968698314663,0.487996682891134,0.281324196140244,-0.952819077752094,-0.767568341113947,-0.667877256894865,0.486860963227618,-0.639260008351378,-0.92538750220076,-1.06827781773963,0.328246712573636,-0.12102124951784,-0.141360748565196,-0.240875911300274,-0.311337429112813,-0.67180674806774,0.380935061480338,0.704105150601706,-0.784256602972992,1.28910006533722,0.289531258736337,0.266633579938206,-0.48528090552717,0.379380981910288,-0.00349164852955724,-1.05151059751939,0.449401327405267,-1.10832073186897,0.273780445629722,0.377318902585114,-0.00513526932100151,0.0772642249506887,0.1995748011949,-0.707000798840336,-0.608787660844146,-0.328967362078371,-0.180945222985406,0.406491874445168,0.825610365877564,0.333432183564602,0.252815389278435,-0.560704591915624,1.51398500024655,0.120345484205845,0.266957376159982,0.48923119555704,1.2969570114182,1.00408448429448,-0.810733933770142,1.95074442562091,0.766412057693517,-0.267178007053079,-0.219586494269903,-0.255042520992753,-0.214865907671174,-0.240607884110734,-0.0792299978881071,1.39641872919709,-0.714762724182488,-0.174283104811506,-0.18084213163322,-0.452308646167369,-0.505267872950082,-0.545503571493517,0.62134676400027,-0.0978740766004825,0.00992113632070242
"MSSA_Bs_3 (GE) - TPM",-1.11783922587321,-0.591370688305382,-0.74725249968758,0.366025084705648,-0.674732227903677,-0.656702181513157,-0.628908273941857,-0.958310625301559,-0.472831848407477,0.841751498923571,0.238685248912179,-0.383252440948836,0.237386757973807,-0.0755480135328312,-0.204943442577633,-0.994109812104855,-1.1246333771865,0.0546617550023044,-0.527860653000462,-1.22492466006538,-1.01792295705521,0.631390335795119,-0.34908696696464,-0.35900454474922,-0.380396316817163,-0.411478441924671,0.55248030953248,0.469851591739667,0.314595299749245,-0.54535422380628,1.65545756752398,1.07619931015174,0.152184541137364,-0.59108659010293,-0.365938906459379,-0.222410314544307,-1.0623327076834,-0.495469871023051,-0.839159520594525,0.261463854291393,-0.0222503820660688,-0.191876853686139,-0.14866806563931,-0.0394745441366632,-1.02716258516888,-0.472247261744309,-0.176851884156566,-0.180945222985406,0.859084506038245,1.08260747859175,0.988471503266934,0.872312091925209,0.251687047965821,-0.208878434244245,0.269018753261727,-0.103117223303177,0.180154175088185,1.67943787660472,0.993733836867538,-0.928188571939114,1.55420187618494,0.655639806687253,-0.317422970293173,-0.406505655088283,-0.285338779783964,-0.431957491106571,-0.381603864581952,-0.0606350937540234,1.05000836837818,-0.431735349156516,-0.41213510335374,-0.146332586742153,-0.334058399392514,-0.410858030685955,0.283971565963389,0.672770684789568,0.367346624096232,-0.0243401797752859
"MSSA_Ctrl_1 (GE) - TPM",-0.409010669728651,-0.593852014145999,-0.614786903612811,-0.263452029260405,-0.668622999565518,-0.094229079965103,-0.145599717918808,-0.470166865733574,-1.03776255537194,-0.673601234617192,0.0974778488994796,-0.145547839129352,-0.706585084549522,-0.940886951862511,-0.615425842570098,0.316114592238806,-1.58062565801469,-0.937794879911575,-0.643038061626415,-0.727768148280939,-0.140217238076777,-1.02815946860865,-0.583509868532602,-0.617165191602319,-0.647466507381336,-0.608923822187967,0.175829514114256,-0.605493754998659,-0.715408397204691,0.555266874150743,-0.390551396309886,-0.095838242052351,-0.260922947321896,-0.375197802822768,0.191099793834047,-1.2164371144119,-0.308013302295561,-0.7499802180307,0.319976094970871,-0.689131824205675,-0.732331322061904,-0.714991653714682,-0.76214087850714,-0.73865621909383,0.915847614008124,0.474359039542609,0.338559101184358,-0.180945222985406,-0.761600270063163,-1.20356335319954,-0.964195754703552,-0.943543308697979,-1.4558979528539,-0.208878434244245,-0.598399582954847,-0.669238991662739,-0.717721124434612,-1.36763252357853,-1.50140966473463,-0.373391823183702,-0.749684164176574,-0.673624163726843,-0.0638836921955992,-0.16408518505145,0.0797900832062124,0.0923927084109722,0.127683345022069,0.0306596816969295,-0.668182649631007,-0.242323734966599,-0.583057184655476,-0.623671817320921,-1.02255846351883,-0.48459691942928,-0.153733698403232,-0.689344826323091,-0.617161485656487,-0.571242241224801
"MSSA_Ctrl_2 (GE) - TPM",-0.472639943805712,-0.595634784134792,-0.547039336355288,-0.0517436888423019,-0.595242421830566,-0.19570135226723,-0.231217203916452,-0.337845501788676,-1.2740792852398,-0.952067006924234,-0.0565633101142379,0.19475362038379,-1.03667790861553,-0.530669749140284,-0.24800344603243,0.0678132094954648,0.265885079670562,-1.06962950128628,-0.534572352556454,0.173908994251622,0.064850332885945,-1.04294241553651,-0.603380797310256,-0.593438248170132,-0.64565140938359,-0.596801153644309,0.654427524440266,-0.642682429878365,-0.834588374876458,-0.418956820109741,-0.38966391123577,-0.151714548336517,-0.348383456278723,-0.37121327531928,0.171123360886495,-1.19228284092254,-0.972115843888146,-1.26739092974345,0.665825249479649,-0.534787785354479,-0.710853903138666,-0.725838558045158,-0.744329111982445,-0.813603133959118,-0.120212214290633,0.476550101746368,0.178861606428539,-0.180945222985406,-0.74047667286516,-1.07534611842732,-1.81827477710235,-1.1866241164893,-1.50951616666618,-0.208878434244245,-0.463343747302251,-0.682587670917755,-0.688550310627616,-1.39539776330915,-1.33454549291995,-0.517318280702898,-0.923232392207595,-0.761024708076682,-0.0238824913308674,-0.212631445438505,0.0451555638535749,0.0194539484426639,-0.0353869518621294,0.105484418677783,-0.381237494567661,-0.0843515785072818,-0.797661622522984,-0.737788741907329,0.206008029881454,-0.0935933286379819,-1.09695351276888,-0.58113155078875,-0.893047221250882,-0.585678818550647
"MSSA_Ctrl_3 (GE) - TPM",-0.770234736516929,-0.669674601799369,-0.512603332911213,-0.267986402168493,-0.337071625571059,-0.194270869319456,-0.188770315214451,-0.404355157410662,-0.944853531698725,-0.463503870749764,-1.25458435882223,-0.864515444702741,-0.777844089714118,-0.448587429389313,-0.490681491603254,-0.112501940143095,-1.28431934751085,-0.829309353882731,-0.469287428471214,-0.0460869287884796,-0.0710731747505353,-0.866468510826579,-0.586774772102392,-0.591885517688096,-0.662472485873777,-0.588583990191564,1.41878912494137,-0.821295335994304,-0.686379214117073,0.272657263851876,-0.435915267343536,-0.992932832013872,-0.422854430261219,-0.32961336625451,0.0024808964897951,-1.30514563886432,-0.632755240496617,-0.612854637761432,0.262480079651428,-0.594139452449523,-0.727984140152388,-0.737955298711733,-0.721927735166935,-0.761777098160941,-0.591215241684281,0.812058515483275,0.182760473760143,-0.180945222985406,-0.959507770071397,-1.03328148089602,-1.18280088826168,-1.1889509145244,-0.985286183569577,-0.208878434244245,-0.342323458430644,-0.710218771586771,-0.719587260695254,-1.13296737240889,-1.54630183360823,-0.367514306919107,-0.698625597807296,-0.708301758208863,-0.0691256140983384,-0.0997383505637965,-0.0317143864412712,0.0826578849833339,-0.0562280914534226,0.0137635812791281,-1.01939543404346,0.0127335988520103,-0.668950886787407,-0.787613250176169,0.393278704784322,-0.591425481681999,-0.585585427484437,-0.254360506199738,-0.787933222926013,-0.553910881344275
"MSSA_Li_1 (GE) - TPM",0.608288969372945,-0.97752486966291,-0.73279298524104,-0.371376806213057,0.345836096555363,-0.0231405211398359,-0.053806140370989,-0.190859699195225,-0.0349111753283628,-0.203884649234253,-0.68466738921201,-0.21456877664193,-0.39500999717728,-0.44736437313094,-0.0758737829238916,-0.403903459208325,0.286625886457009,-0.669644745119803,0.348885956585016,0.443093492009591,0.490658665006545,-0.602404846375763,0.0360637946801959,0.140559362443555,-0.0751689591336979,-0.157446379995931,0.322577538657463,-0.537492353201518,-0.500719051726628,-0.971530042526958,-1.03504095691903,-0.648298503849858,0.172019861554558,0.444129289723607,-0.314074352593122,-0.542544969751327,0.29440895390902,-1.02680547694256,0.471012873263075,-0.0977003689632735,-0.137907989500266,-0.193078140263896,0.0694916023825857,0.0459842014626216,0.356649453894096,-0.705990521933981,-0.447410735402748,-0.180945222985406,-0.718452507550585,-0.474667796136769,-0.54376266014226,-0.730640334827491,0.144407566548223,-0.208878434244245,-0.28005024969724,0.143663452989224,0.560647899872454,-1.04767606493757,-0.611134998612795,-0.0546657152794206,0.0514426087701192,0.32823996463328,-0.59991902686529,-0.585207489691275,-0.575559162134582,-0.562628474465467,-0.622701146903855,-0.645344126820261,0.560181776735661,-0.0675565927969367,0.138322417555028,-0.717860431476387,-0.198479226048466,-0.36423213237379,0.140691065079046,-0.325031545572222,-0.601793497379766,-0.323732465316938
