"","SAS_RS00015","SAS_RS00020","SAS_RS00025","SAS_RS00030","SAS_RS00085","SAS_RS00740","SAS_RS01445","SAS_RS01450","SAS_RS02055","SAS_RS02060","SAS_RS03970","SAS_RS03975","SAS_RS03980","SAS_RS03985","SAS_RS03990","SAS_RS03995","SAS_RS06090","SAS_RS07045","SAS_RS07750","SAS_RS07755","SAS_RS07760","SAS_RS08630","SAS_RS08635","SAS_RS09135","SAS_RS10415","SAS_RS10565","SAS_RS14875","SAS_RS12995","SAS_RS13000","SAS_RS13105","SAS_RS13210","SAS_RS13935","SAS_RS14005"
"MSSA_As_1 (GE) - TPM",-0.43036023040861,-0.532255964548065,-0.58995774331275,-0.561275926464716,0.327378455937426,-1.20184649405607,-0.188302656159141,-0.730478628284614,1.36223938840303,1.41807009766184,-0.46064444494271,-0.721194449983498,-0.694817196397849,-0.710281183015531,-0.638817677268492,-1.03939359122682,-0.378454018443215,-0.260161950409611,0.237447515287098,0.126052522659588,0.0207106432850412,-1.09167783494421,-0.643090724290104,-0.471585754626515,-0.166666666666667,-0.780203418153756,0.50782455267968,1.37218816585785,1.12433508845345,-1.13470461312276,0.173784078970364,-0.37320822588024,-1.24871367159248
"MSSA_As_2 (GE) - TPM",-0.510893157859756,-0.286188914770194,-0.394884936283331,-0.335147060684069,0.378141359359029,-0.420374485722416,-0.154398396097715,-0.445387449931379,0.874122792539907,1.00937953530525,-0.47796552486335,-0.865521596273663,-0.879700750118346,-0.859961688857038,-0.828756411633357,-1.12175296838636,-0.260542940326675,-0.405260832643715,0.523207340526178,-0.0378961761452203,0.410756047573644,-0.999023528330172,-0.395312257569897,0.256973493342635,-0.166666666666667,-0.679710273537091,0.0867685390324591,0.69378623586265,0.801944260870048,-0.940074335266531,1.09994751666001,-0.137624619811029,-1.11395899605494
"MSSA_As_3 (GE) - TPM",0.06919956204788,-0.0335869727389788,-0.357959893349988,-0.388956158689473,0.529873684833922,-0.668975880715665,-0.568418050362221,-0.645416624346557,0.533436824902635,0.261192151418582,-0.124568385198847,-0.736797699134652,-0.750475275903008,-0.776273800895726,-0.702012134957846,-1.1083129637715,-0.268029722312779,0.355142673507559,0.663568181774346,0.0534077721648372,0.58986308102637,-0.635682950558325,0.0883335735197301,0.240778258687808,-0.166666666666667,-0.357361685155835,0.239512582994453,-0.403263937808147,0.144497211616206,-0.240621311055143,1.01772736426211,-0.0656518711492761,-1.26399967199247
"MSSA_Bs_1 (GE) - TPM",0.138965997778999,-0.314357429288675,-0.346378159990318,-0.437115257806319,0.0478737084425,-0.919503813815554,-0.595015699108172,-0.892629041551144,1.10164606415245,1.29611311362972,-0.431998970108962,-0.728222990666378,-0.708416390487338,-0.588346352404795,-0.553861407586134,-0.99647524514455,-0.212070401115703,-0.7477053083257,-0.24882174546291,-0.694593678162849,0.0909385878421476,-1.09900075370904,-0.232389840113496,-0.575306306014279,-0.166666666666667,-0.406671137459472,1.07546743486441,1.06340014007392,0.902162723363758,-0.166523344248897,0.632039264770874,-0.412910689231135,-1.23184622481989
"MSSA_Bs_2 (GE) - TPM",1.59242438137459,0.0861481397129132,-0.264658375037097,-0.337385892757028,0.18024904163608,-0.886724226437704,-0.488278041628765,-0.725731948524796,0.716425756176947,0.999159465965686,-0.421384855683407,-0.782315837832075,-0.804518328823922,-0.790470272948553,-0.782910077483749,-1.06216935402364,-0.370852043684071,0.321676792431548,-0.391674420235863,-0.821741816132469,-0.175949822322358,-0.88702956202588,-0.468714444501454,-0.34894184938431,-0.166666666666667,-0.343564552847071,0.665394010405171,-0.187880753370119,0.367557618758844,-0.160455065594231,0.318879172443307,-0.591652268659756,-1.1922691957459
"MSSA_Bs_3 (GE) - TPM",0.290295825838838,0.212583450191059,-0.18697632186156,-0.146349608697352,0.392429422379442,-0.895881170977663,-0.424091070731787,-0.428825652071573,0.676057877003719,0.689519616151213,-0.345864338697707,-0.674141816116676,-0.632623181456414,-0.665706004085061,-0.678128845768215,-1.10530038278482,-0.188029260112014,-0.488553318085884,0.00960929959287365,-0.595867783716398,0.128000948694731,-0.26985371052721,0.49749339710702,-0.288366926853838,-0.166666666666667,-0.667897904446787,0.303601645974617,-0.576610418038593,-0.0657466069213632,-1.06207942555196,0.514849331522032,-1.93908181151143,-1.22980069439665
"MSSA_Ctrl_1 (GE) - TPM",-0.604895365523318,-0.436679457841313,-0.641751000779957,-0.207960231592615,-0.142891348872093,-0.248895606792026,0.846199389810759,0.182667403146944,-0.534949546206329,-0.549533360215071,0.19447000289704,0.552514708100801,0.165433968423075,0.0735978311047349,0.00129605374182499,-0.027757333671096,-0.298005037530973,0.994695854292379,-0.894478111867075,-1.03792831223257,-1.11896418723961,-0.0683539561700784,-0.632446278997913,-0.724160978861892,-0.166666666666667,0.224111671463846,-0.926273065711009,-0.855359527887698,-0.754298061412232,-0.655066379945102,-0.162586305505267,-0.10419643573776,0.263701718007288
"MSSA_Ctrl_2 (GE) - TPM",-0.374361970263072,-0.877177151902895,-0.812556965086104,0.141980163661998,-0.0148885114345643,-0.317340375781566,0.729264128352738,0.621800900250323,-0.588342878773188,-0.580604314304384,0.0171577463675307,0.575340860635566,0.0294131019700895,0.0452188639714746,-0.0429650690201435,0.134187504984873,-0.327264809399409,-0.117364094980633,-1.01305784666913,-1.09332944764413,-1.25054611962629,0.174577567563992,-0.55205557225612,-1.09335794466673,-0.166666666666667,0.110130450412714,-0.926273065711009,-0.977995480654286,-0.721481696678355,-0.659523268046067,-0.417921301190509,-1.15470588639013,0.0706572465277245
"MSSA_Ctrl_3 (GE) - TPM",-0.700082755153658,-0.678150134904927,-0.630218817145445,0.133668114756985,-0.0517698468360664,0.536761342038171,0.0329875088121351,0.435087916915469,-0.576148000070008,-0.5504729723918,0.130921588564558,0.492278376313291,0.0311010242070184,0.152330867648153,-0.160230421561582,-0.0978048984001245,-0.0706534384121859,0.449284231166971,-0.462573470330969,-0.913329109896561,-1.45561271620082,0.0665857149890197,-0.400911769555602,-0.735459363362818,-0.166666666666667,0.468013061315073,-0.926273065711009,-0.713201694376413,-0.719236361963725,-0.824776310106411,-0.39055127962705,-0.677062725110832,-0.0944513611193537
"MSSA_Li_1 (GE) - TPM",0.136074606456564,-0.136528814105083,0.0359243397199898,0.738619862580933,0.528643163104253,1.69239070944396,1.69373590067312,1.78018877881366,-0.551725324752546,-0.595048478931355,0.571530260742806,0.317701495512576,0.194911728661167,0.189019026669873,0.141556200615857,0.331101393343327,0.845447291123058,0.964381857959337,-0.00904773799601828,0.120226964943046,0.189678945898082,0.528706311431597,0.363208518978043,0.314122406096268,-0.166666666666667,0.468502857651691,-0.926273065711009,0.430259848524358,0.227125747890909,1.1086611998633,-0.365322399304144,0.474891071333501,0.873868958342002
"MSSA_Li_2 (GE) - TPM",-0.281236808471558,0.0270668384874681,-0.205284030257749,0.415208321882689,0.075797245683986,0.878139325098573,1.34887842377985,2.74380312637469,-0.561830503495166,-0.610699315259106,0.364935261657511,0.798560553370947,0.342964812585647,0.0494542423369948,0.270001543388458,0.621917133284076,0.503956782633504,0.676107823174785,-0.229922353950677,-0.438136267405598,-0.558224370074316,0.193510144902078,-0.222911404629587,0.510227570761664,-0.166666666666667,0.5100881706259,-0.532713041436792,-0.161220757301045,-0.281446004172671,0.963074131678891,-0.165603212766941,0.271557178355085,0.953052682389596
"MSSA_Li_3 (GE) - TPM",-0.218863224838332,-0.346204403252681,-0.0795751335248677,0.377678970514469,0.475292031691413,1.07316972944509,1.26215278222183,3.18248715060637,-0.435125077194198,-0.379225767794321,0.274331874020451,0.183923813539889,0.0870034386434975,-0.0471309571317014,-0.0488353072182023,-0.139324155715176,0.595254560850391,-0.417700025255856,-0.790442078587423,-0.475514916338281,-0.383414696973189,-0.399064282332584,-0.459545639102393,0.384432009344198,-0.166666666666667,1.33417722015015,-0.524371628388246,-0.059020429166162,-0.372077178532949,1.21393302077272,-0.741025685207354,0.137823533541769,1.18083990203145
"MSSA_Mig_1 (GE) - TPM",-1.46222338700645,-1.1467717464323,-0.35025080636466,-0.94730223652244,-1.13530471160071,-0.893324002972946,-0.243675365051593,-0.55370264031205,-0.622931869617941,-0.473100702658404,-1.11720461009397,-1.18518068866213,-0.864108164697094,-0.835800074918782,-0.784292721204418,-1.0239429468774,-0.20347651543446,-0.852711254993926,0.606342469395287,0.441155608907397,-0.562665327148607,-0.447247535407728,-0.484458537534537,-0.242681855375255,-0.166666666666667,-1.02351345106026,-0.319679886472527,-1.14234698382898,-1.02473850688161,-1.19326925009849,-0.633626047903143,-0.376305780518233,-1.25898241694236
