"","SPD_RS00120","SPD_RS00170","SPD_RS00750","SPD_RS02020","SPD_RS02150","SPD_RS02325","SPD_RS02350","SPD_RS02500","SPD_RS03145","SPD_RS03230","SPD_RS03280","SPD_RS03470","SPD_RS04010","SPD_RS04155","SPD_RS04290","SPD_RS04415","SPD_RS04495","SPD_RS05845","SPD_RS05910","SPD_RS05965","SPD_RS06475","SPD_RS06545","SPD_RS07295","SPD_RS07560","SPD_RS07610","SPD_RS07760","SPD_RS07870","SPD_RS07885","SPD_RS08180","SPD_RS08210","SPD_RS08315","SPD_RS08390","SPD_RS09215","SPD_RS09725"
"STRPN_As_1 (GE) - TPM",0.110953161175659,-0.622566780162379,-0.253925750200431,-0.529298726014155,-0.396878961413521,-0.24927678695563,-0.282032272907366,0.760993637783427,-0.481943909375956,-0.269190381037001,1.92282622703402,-0.76483103709517,0.533749801125383,0.259288356876988,-0.783103899783297,0.15790049247632,-0.22899168531802,0.182458338142008,0.957172518859039,0.864961950178146,0.147796095969734,-0.350381310254572,0.489421928594307,0.861964712515787,0.222443892840204,-0.716065444088027,-0.112658231205632,0.292308655250958,0.186978267371272,-0.202463319537179,0.0592710152691129,-0.762359908251492,-0.369702811185344,-0.770041335174446
"STRPN_As_2 (GE) - TPM",0.785279971651615,-0.591513560170524,-0.466293285859628,-0.234961380334614,-0.290139774928757,-0.15749524574786,-0.192676543842266,0.912206184139936,-0.546309777430274,-0.0563714625867143,0.423055267166151,-0.505168997966801,0.869723412488647,0.168543205707044,-0.699743668150464,0.36855405750058,-0.197234893577508,-0.0895406254955791,1.98004122368263,0.77937519281706,0.209304144907428,0.260932511200696,0.710624881004983,0.393331391186013,0.232849107129215,-0.774394507716417,-0.0569091734349693,0.445147157160509,0.207649001957024,-0.1338910186612,0.186940407642209,-0.116610824138022,-0.410108199780555,-0.691023913525587
"STRPN_As_3 (GE) - TPM",-0.262558475715077,-0.308832455401771,-0.4085989437548,0.126193202607746,-0.129408805738167,0.312390806887926,-0.0844287945827059,1.13267143940232,-0.0994008273474799,0.482163503087794,0.758157711010308,-0.12433876784681,0.640285738452042,0.48972811122928,-1.21835626209815,0.0236238211471575,-0.172606807981712,0.686347497700709,0.553508603906133,-0.158135715919337,0.733385622409683,0.466271482534675,0.240891291387087,0.65319047560343,1.77881833313603,0.847566238463169,-0.0815914213340423,-0.0716878398165299,0.107038087286336,0.409957498073114,0.0101007899306913,0.633231139902535,-0.801440878198155,-0.109480136124554
"STRPN_Bs_1 (GE) - TPM",0.745428957239782,1.22146553297885,0.493155659187173,1.17570708238629,1.33567293080496,1.05675324299223,0.389746743833253,1.80482495132281,0.694474435507109,1.50772112017532,2.76128627005264,1.845556867296,2.03954047688224,2.31993960951399,-1.00338901744125,1.51567160900435,1.56999929877463,0.487693857248672,1.62438434936154,2.53606139804746,2.24196060702512,2.07892193709713,2.10779572860763,1.28792522045497,1.21470108896782,0.512168795466786,0.664484443698448,1.5398481282968,0.452773057677635,0.775388252283056,1.45900272271474,1.27885763137593,-1.31685276762716,0.0758633090389584
"STRPN_Bs_2 (GE) - TPM",1.64968239279879,0.35303855116517,0.866391261154483,2.4028983765685,1.78969332227414,0.67920463372737,1.49604242810854,2.34573875806855,0.381917863162846,1.32137345758149,0.604492657279411,1.11011284255681,1.99527370269275,2.24572048939924,-0.799664177120781,2.38790522591583,1.99862766494766,0.499972310679549,0.787063389374226,2.49596453642141,1.29888472852384,1.88512495963026,1.84955367198819,1.84274278234871,0.988744637378523,0.917980141341389,1.46219346543123,1.51631789870199,0.897858165516994,0.745141066313669,2.70609622873604,1.56966592199162,-0.349904696945861,1.21675084077786
"STRPN_Bs_3 (GE) - TPM",2.38549607513499,3.49732757719621,3.97549618880531,2.35740702366146,2.19005880664329,3.83201605024045,3.3715665997734,1.52205937418266,2.87218257414104,2.55482516563852,1.97400403800999,1.43666915536843,2.92397122016004,2.43341980322135,-1.12768058378904,2.85424984353443,1.19621366838919,1.71899869773385,0.853088363890566,1.45142629346706,2.97113136713225,2.47008734970448,2.5738201572889,2.55416967146198,1.57593461025627,1.42633595729967,1.76667419332758,1.90488716184959,1.2703631130158,2.85075216271288,2.39791120906675,3.29257037213925,-1.68019687675746,2.74168624776331
"STRPN_Ctrl_1 (GE) - TPM",-0.663212777618705,-0.81992387663813,-0.561998976480553,-0.552376722947948,-0.68968189497273,-0.436892524922389,-0.514940976639145,-0.129526928455644,-0.597119565607149,-0.785841765367779,0.56083821442074,-0.988017171872096,-0.34719792544623,-0.210315307158292,0.517889008812384,-0.247588171988954,-0.5444593462345,-0.48539331632624,-0.537344795640998,-0.2326262954462,-0.262699334601565,-0.434501927815748,-0.362192856514136,-0.336441532248475,-0.253935841419707,-1.02292417955292,-0.506535282390878,-0.272385920373559,-0.419997323108065,-0.578892595353896,-0.489755965466364,-0.209337282448609,0.205002950037872,-0.57840616465743
"STRPN_Ctrl_2 (GE) - TPM",-0.75525166412384,-0.409941781953881,-0.459381970155286,-0.686035966214219,-0.652867141375754,-0.353402662855196,-0.467727902085692,-0.313363169430314,-0.616701940129559,-0.894587381549677,0.442437599081129,-0.819969341342902,-0.30671876059703,-0.331131727528466,0.55843564334486,-0.359554998551823,-0.601180724277429,-0.494194543325666,-0.652729146415677,-0.334895447917766,-0.264798303009209,-0.649967096333181,-0.336556009455632,-0.302851441504801,-0.229947908136434,-0.928640717845769,-0.499087347565957,-0.345396750388144,-0.611929197246149,-0.730226061437846,-0.50174537538518,-0.17634341516629,0.873797215780859,-0.70799104579465
"STRPN_Ctrl_3 (GE) - TPM",-0.362220604098687,-0.807964371554673,-0.553298083663503,-0.690411155101836,-0.613305981875776,-0.313411683729204,-0.487999569621748,-0.290540033281891,-0.606193419540927,-0.701356577048168,0.456472032403597,-0.892002725353136,-0.346220410062168,-0.279941991743123,0.439741261637955,-0.397412158115624,-0.523668466312094,-0.641299149941858,-0.759621089940533,-0.268770512242983,-0.293142140945424,-0.352843407463287,-0.294580206701787,-0.37833383090216,-0.171561608793053,-0.820874639316193,-0.510639015379327,-0.340364268248758,-0.617837855445303,-0.645963160775265,-0.576502855010172,-0.192994515152963,0.329903584972631,-0.631258819891765
"STRPN_Li_1 (GE) - TPM",0.341158836610849,-0.344019090673242,-0.0983663020785556,0.0858023004792873,1.31512275721685,0.348735676698496,-0.191849184274955,0.710941655682112,-0.407865982422336,0.756940275540951,-0.46989908612088,1.32990745760637,-0.00917791200369,0.343370767571956,0.88754017500858,0.661029269175063,-0.184722083162109,0.292282820268186,0.233022938396552,1.01715510932217,0.710237589703134,0.308699296515216,0.470391147885353,-0.352905447391102,0.845934365777912,0.0453600252114009,0.0739228128272717,0.143720844565492,0.829773163879533,0.40714406899585,1.34905441926941,0.764882080105441,-0.471815469971096,-0.305768214916262
