"","B4U56_RS00380","B4U56_RS01260","B4U56_RS01405","B4U56_RS08485","B4U56_RS08490","B4U56_RS08495","B4U56_RS08500","B4U56_RS08505","B4U56_RS08510","B4U56_RS08515","B4U56_RS08520","B4U56_RS08525","B4U56_RS08530","B4U56_RS08845","B4U56_RS10880"
"SEPI_As_1 (GE) - TPM",1.43957878589114,-0.0518040860316105,0.214682032215598,-0.24342650453525,-0.334700007080429,-0.413679785633169,-0.0642966068708396,-0.18505135513985,-0.403454804525483,0.440041656232953,-1.0540192249465,0.249770633824374,-0.210813210853063,-0.537784768293561,-0.389602736904783
"SEPI_As_2 (GE) - TPM",1.16688276608337,0.457719076764793,0.0236612504294531,-0.139457076959364,-0.206659774203366,0.06786403729949,-0.144541281214133,0.0350459792177043,-0.104061625385985,0.386573606909594,-0.471091754175265,0.406853030402023,-0.296636851798343,-0.68750210008939,-0.886852695214175
"SEPI_As_3 (GE) - TPM",1.0127363227839,0.543624432055182,0.36021032966544,-0.0462595736803788,-0.169227704170928,1.20307624460924,0.183004506081168,0.176990586385946,0.404414120327505,-0.391263416081128,1.17034621915486,0.72558884076448,0.0194579715369744,-0.267100381121634,-1.16123893248036
"SEPI_Bs_1 (GE) - TPM",0.549369640563365,0.0133048834329134,-0.28296642288296,-0.787714854787168,-0.588352591759993,-0.660678337229485,-0.484149979018886,-0.680605263574039,-0.873551947225,-0.557513613559535,-0.854643080481088,-0.739447245387993,-1.12360158038074,-1.2162830229622,-0.165009787537824
"SEPI_Bs_2 (GE) - TPM",0.871939575640865,0.486150345803523,-0.160827216314683,-1.02495720723179,-0.877660520968102,-1.45643366501161,-0.447687003100128,-0.959062900409845,-1.2276677112842,-1.5687219145961,-1.18499117887615,-1.14995347540189,-1.49220362762507,-1.04455198208086,0.135392019552079
"SEPI_Bs_3 (GE) - TPM",0.337033699491377,-0.708729787487478,2.45493344624179,-0.871075259041241,-1.00169783961431,-0.712382314729409,-1.09683886125015,-1.08941614931286,-1.11477055374108,-0.761695181254913,-1.42974911435265,-0.524235559729307,-0.563861442953032,-1.25166125506031,0.782230799529617
"SEPI_Ctrl_1 (GE) - TPM",-0.762635327867312,-0.697084665010132,-0.694790424719833,0.454238865085182,0.389755961159586,0.048567418398276,0.322702499997465,0.328783181718377,0.623038227727607,0.387676832946004,0.925183188975627,0.324726952738064,-0.247979220059782,-0.607633308574607,0.964090467233162
"SEPI_Ctrl_2 (GE) - TPM",-1.01540467910162,-1.16010461186936,-0.499933356334994,-0.106339975240403,0.463126566334482,0.574320397346607,0.529949860126424,0.284967975784646,0.19683531588656,-0.119856060688682,0.27712254010527,-0.202494900877436,-0.0337971968974622,-0.214528442126371,-0.0279688750822061
"SEPI_Ctrl_3 (GE) - TPM",-0.44930212303189,-0.552045685061487,-0.355837510800243,0.438102044383531,0.446323880033934,0.349848448040909,-1.00641566934642,0.45195834616793,0.387255702029643,0.222497467208871,0.0984710752040364,-0.351696047531847,0.27704900666795,0.144818792095378,1.44461380010031
"SEPI_Li_1 (GE) - TPM",-0.354957941788244,0.91988706482571,0.0926374656805595,0.393889827799946,1.34900535429246,0.930903477548337,0.649435025134683,0.757762846207793,1.00305651468368,0.826515355558053,1.01399837782663,1.63409934829373,1.79660674693158,0.796800033899433,-0.510472213322931
"SEPI_Li_2 (GE) - TPM",-0.684055635730396,-0.0158870363277671,-0.525594791173142,-0.171883947157097,-0.14454667461599,0.192297776216502,1.13093621717475,0.104901708501846,0.193556472327191,0.067370828349042,0.0249204950746998,0.273890370165192,-0.0992135167612641,0.817334644547392,-1.13417562220386
"SEPI_Li_3 (GE) - TPM",2.25761401198999,1.75219809699725,0.133643537570362,-0.102821262523962,0.122420630326021,0.205143955792379,0.605770058903201,0.260854133658428,0.6757693612778,0.243989485191911,0.185364982445469,0.43900584521497,0.47165342779245,2.58886741461296,-0.34528208220818
"SEPI_Mig_1 (GE) - TPM",0.136994610598811,-0.0135756620246253,-1.0158154349589,-0.55035871672293,-0.926506722664124,-0.856833854937066,-0.835137494887734,-0.980901851639889,-0.86585187294204,-0.753089254092526,-1.24524076987951,-0.611445300826412,-0.635980547132951,-0.508831776873308,0.946303608551921
"SEPI_Mig_2 (GE) - TPM",1.21874179942229,-0.0518794970300636,-1.23162490374425,-0.39842395750254,-0.982113998478527,-1.09318530853983,-0.942393142040464,-0.706327263562153,-1.04875112300813,-0.193715770816988,-1.11899494734295,-0.929959155779971,-0.737682262823234,-0.683074608225826,0.441314156542837
"SEPI_Mig_3 (GE) - TPM",-0.142723931963664,1.07464690116849,-1.09815460411082,-0.423140258196241,-1.11176040773515,-1.13588971382584,-0.534857492089804,-0.765756891633429,-0.865694393868269,-0.846813099755295,-0.942191756057122,-1.063041597958,-0.557001714144183,-0.403265393727286,0.822154757458217
