"","SP5448_RS01630","SP5448_RS03715","SP5448_RS04730","SP5448_RS04735","SP5448_RS04740","SP5448_RS04745","SP5448_RS04750","SP5448_RS04755","SP5448_RS04760","SP5448_RS04765","SP5448_RS04770","SP5448_RS05020","SP5448_RS05105","SP5448_RS05115","SP5448_RS05735","SP5448_RS06345","SP5448_RS06350"
"SPYO_As_1 (GE) - TPM",0.0613916132522492,-1.08562111800314,-0.565322071254713,-0.475771809484975,-0.679195194343751,-0.904985254274252,-0.684680132696077,-0.781674353548158,-0.809078958148251,-0.512319597226199,-0.0919432767964044,-0.710808770537267,-0.959242444918848,-0.960974347712308,-0.822666079969837,-0.964796076173187,-1.09574284192241
"SPYO_As_2 (GE) - TPM",0.194202879847733,-1.05150862039028,-0.150687749707408,-0.474797768254876,-0.649242786494633,-0.691913831948849,-0.737409596997818,-0.68666270643143,-0.723946917588737,-0.384627120847208,-0.0532756310735668,-0.70492309850349,-0.931549856175503,-0.953433566440218,-0.806855447116754,-0.925716337298789,-0.758350028307538
"SPYO_As_3 (GE) - TPM",0.392699598673547,-0.936350651858191,-0.538183138484379,-0.583611756478831,-0.709757805368865,-0.764588631000131,-0.806523645738266,-0.92230862559497,-0.986194745863504,-0.844703347651578,-0.135757556936742,-0.643590576332369,-0.766111264030809,-1.05884371979559,-0.763041062232241,-1.06517579114866,-0.811278631227294
"SPYO_Bs_1 (GE) - TPM",1.0583402853145,-1.01455989648949,-0.987483222033934,-0.972669129875182,-0.82468597132479,-1.04230654599994,-0.711659350084668,-0.821033598813136,-0.167694342901144,-0.431388405491134,-0.663416483926296,-0.56086359937839,-0.985852180861413,-1.01056676030809,-0.899261500029588,-1.0409346603756,-0.981841932234227
"SPYO_Bs_2 (GE) - TPM",1.15065559611596,-0.846476588028691,-1.07142243401378,-1.20749154232168,-1.01631666410493,-0.838372312206229,-0.923493612298254,-0.93033806295795,-0.586925076137477,-0.939901273779648,-1.2540792660201,-0.40579162917034,-1.16215245507436,-1.1415368255512,-0.853512290345128,-1.02075731512688,-1.02769531157119
"SPYO_Bs_3 (GE) - TPM",0.92701456482157,-0.986435695261744,-1.00686232782631,-0.958024215961884,-0.768626415334635,-0.822803007539374,-0.762093882986866,-0.780053967584221,-0.342636258143809,-0.362876498700351,-0.653140209548208,-0.537684721188107,-1.08047054757973,-0.943467250856961,-0.863003469257194,-1.00101169290398,-0.919428846809251
"SPYO_Ctrl_1 (GE) - TPM",-0.301034968791488,0.555655283910562,-0.503910348479255,-0.750302844006141,-0.359914392306364,-0.136893187733526,-0.221982763189845,-0.0367720330717025,-0.130916474357061,-0.211278866886595,0.0418705430246531,0.0129731836756262,-0.311059604354484,-0.546536163359956,0.267123199680246,-0.366461368279057,-0.113456942363882
"SPYO_Ctrl_2 (GE) - TPM",-0.4862665629664,0.109716533950315,-0.390767744552194,-0.57937055651517,-0.652510468286246,-0.578724934025561,-0.501017589692801,-0.422476098386409,-0.215123398600895,-0.115240523794195,0.0191026825898018,-0.137461849398557,-0.191178056834378,-0.617859070244158,0.142133844175246,-0.0768894802085765,-0.0583148313464008
"SPYO_Ctrl_3 (GE) - TPM",-0.453794769798416,0.148562251635002,-0.607550617463221,-0.639924520289189,-0.536793234430521,-0.438731910513132,-0.295572077429243,-0.407817692294076,-0.0518253496377592,-0.333034615069495,-0.0696080636518899,0.00564204093833198,-0.368564175196411,-0.467652351832633,0.124987396308081,-0.1763890546845,-0.218871601371772
"SPYO_Li_1 (GE) - TPM",-1.28994618329344,0.855426782317653,-0.346164492656671,-0.324424072204676,-0.00733492063957922,0.14293587380537,-0.0581078638886794,-0.19458450876048,0.165885380037206,0.750743969295286,1.33341754728448,0.34477155152985,-0.350737543685602,-0.362316308743875,0.339481690999469,-0.091726312289754,0.600381426632238
"SPYO_Li_2 (GE) - TPM",-1.27647193859462,1.09770300869891,-0.561700641285638,-0.421559427137363,-0.112875576779977,0.0601657499002064,-0.112624595762836,-0.215888479080257,-0.228739302107454,0.625007920701361,1.01547197066084,0.453546009700473,-0.569041416339796,-0.154791031587442,0.443131754052259,-0.391590388749686,0.737000214560027
"SPYO_Li_3 (GE) - TPM",-1.28644912124786,1.11775706049936,-0.250073405772614,-0.383998847777751,-0.168363417127682,0.206019305878945,-0.324474172426387,-0.0614656225989651,0.196129195994951,0.481749606462452,0.858975429626183,0.428310500067846,-0.389242997371336,-0.479422307080487,0.537246665184387,-0.348448827320607,0.266091924597305
"SPYO_Mig_1 (GE) - TPM",0.550798928080742,-0.22886620251489,1.49950372770081,1.47220470812381,0.816007865688129,0.929404308395952,0.406949173089447,0.403120271821823,-0.157314069776065,-0.593671974442011,-0.657557395253123,-0.360053727762491,1.19861888357883,1.68050222527775,-0.618710429278362,0.439746143875473,0.269004009233604
"SPYO_Mig_2 (GE) - TPM",0.743046048107916,-0.233321063639127,1.21075860534526,1.75241146471418,0.599488981667124,0.247922516187632,0.115287806602292,0.115275781109895,-0.0203401356260811,-0.220103493151696,-0.621282557031889,-0.447400723826171,1.20926525256223,1.10402065712979,-0.609222244565169,0.561446537615989,-0.149912631397945
"SPYO_Mig_3 (GE) - TPM",0.607550404738236,-0.31625220833306,1.5822335959981,1.57408888066652,0.326640857111434,-0.13484572593748,-0.175303380181203,0.121361603734796,-0.362208189717625,-0.824455889170278,-0.643010493561799,-0.490609856192186,1.15210586623011,1.62125103108932,-0.455538080100223,0.432079552739802,0.24874640192507
"SPYO_Nd_1 (GE) - TPM",0.345284004373108,-0.451136804479637,-0.389332852045555,-0.0913612972203261,0.0242378161799159,0.330887808557539,0.175436485432582,0.294651170107553,0.437848160243939,0.395631297496693,0.062283129644726,-0.671375346864257,-0.416070708339063,-0.43848066297391,-0.418551686257242,0.315697660280563,0.00232409205963894
"SPYO_Nd_2 (GE) - TPM",0.229285644118243,-0.500724273120791,-0.065846917772202,0.0821663981141034,0.185696175282009,1.01058551843515,0.509807698691273,0.170355580890188,0.355867146308767,0.220671972056013,-0.0459003134980657,-0.726975889777894,-0.469652476565144,-0.612887520561914,-0.508426677138259,0.308762342614616,0.132244160610405
"SPYO_Nd_3 (GE) - TPM",0.146741032136545,-0.422580554548386,-0.256920764131221,-0.139380059698862,0.0445650272025267,0.485341806110124,0.458473324194197,0.291073534065108,0.501369388003379,0.339328652893903,0.068589166518923,-0.677849288773354,-0.472447798640649,-0.528439832234651,-0.427006017900006,0.45200160500402,-0.0952719771865741
"SPYO_Ns_1 (GE) - TPM",-1.61561169159852,1.49948907698441,0.833680173823724,1.05087855626142,1.07611311684617,1.93285312750537,1.94223246365419,1.2466615506032,2.30864159467784,3.09390020344709,2.78606429690214,2.03133406333965,1.57144843032781,1.60334063830612,1.84612688149288,1.23961485594981,2.72163383250891
"SPYO_Ns_2 (GE) - TPM",-1.59785239118986,2.65678792436966,0.76406054591611,0.552309945417208,1.12408771437128,1.24717703748518,1.24971852284528,1.1179294662046,1.14249782254035,1.28810980554336,1.44481816745101,2.43210999031283,1.08283727115477,1.2771452522568,2.65364919835434,1.18541543112266,2.28146657161145
"SPYO_Ns_3 (GE) - TPM",-1.64269413471771,1.97300255463952,0.8159786463284,0.891151547527954,1.6740457476396,1.41374455513712,1.83571992893542,1.5930567732757,1.49703395514584,1.95714610424952,1.74417218118964,2.68488371864777,1.14148535982072,1.17911519339536,2.04046097931802,1.37970425027206,2.46358983741085
"SPYO_Oss_1 (GE) - TPM",-1.77926304885647,1.81467961046518,2.61578089132229,2.64363452663688,2.74826636762355,2.60498251930333,2.80157105975627,2.75316973768584,2.32051532706468,2.03760423867638,1.73472701847089,1.94217264315347,1.73155981344837,1.91045015408023,2.03904835939484,1.73053466547543,1.24554931969001
"SPYO_Oss_2 (GE) - TPM",-1.80809974012493,1.39140027148099,2.15152160739282,1.74393267941292,2.43981168991924,1.87967524298263,1.88801501021024,2.49737120232423,2.10737343026014,1.3911530745049,1.44851293082411,1.66690747332631,2.36107962607889,1.97416896237688,1.78393443926389,2.33843411721314,1.49800712116516
"SPYO_Oss_3 (GE) - TPM",-1.76867849417392,1.04058479568178,2.27112939630813,1.91906028614738,2.04909938736508,1.5502222288745,1.75871064048732,1.76217903037841,1.93534966295838,1.35289527267947,1.41789589922918,1.63457717400919,1.75715377158126,1.37454843045123,1.83920806425586,3.1850351982778,1.11759503619436
"SPYO_Oxs_1 (GE) - TPM",0.854740132032119,-0.768687402049728,-0.996049387797073,-0.709233721438836,-0.696152346219779,-0.595540244824388,-0.500819619011368,-0.541869406132791,-0.751372615042442,-0.651515575930931,-1.03170261670244,-0.522278105461462,-1.27463343370851,-0.877243597075477,-0.565523207484271,-0.34092271527264,-0.64298860881523
