"","SP5448_RS01630","SP5448_RS03715","SP5448_RS04730","SP5448_RS04735","SP5448_RS04740","SP5448_RS04745","SP5448_RS04750","SP5448_RS04755","SP5448_RS04760","SP5448_RS04765","SP5448_RS04770","SP5448_RS05020","SP5448_RS05105","SP5448_RS05115","SP5448_RS05735","SP5448_RS06345","SP5448_RS06350"
"SPYO_Oxs_2 (GE) - TPM",0.755930785523988,-0.747440757757621,-0.915241703308248,-0.740646153837424,-0.744159373355406,-0.567097666313749,-0.678717406611622,-0.430346926915914,-0.665599724477242,-0.592609949958661,-0.834855154554786,-0.436120171024394,-1.32229542119804,-0.9811750633784,-0.659238035477868,-0.333552174234914,-0.673059417951942
"SPYO_Oxs_3 (GE) - TPM",0.972860478515893,-0.746150931280059,-0.857122850191614,-0.834355203873724,-0.443167310956543,-0.5628626417578,-0.371381812277458,-0.213221880665561,-0.731443381246866,-0.460099530782013,-1.08794388035151,-0.426790206289662,-0.980029691930141,-0.965006617183195,-0.555960149027561,-0.5207692040063,-0.631776173760592
"SPYO_Sp_1 (GE) - TPM",0.993608254626853,0.188321829001319,-0.151761135962669,0.151970104079799,0.445936880021768,-0.313998911761964,0.199370505469311,0.652513081964638,0.341238026279703,-0.140901941051473,-0.780623070800779,-0.447288503154428,0.677775998848529,0.75593227194297,-0.570359371224478,-0.444695988392917,-0.456840684357852
"SPYO_Sp_2 (GE) - TPM",0.92436852346651,0.0922346010547554,0.186733030293219,0.299167532855267,-0.135970308266924,-0.225932278371365,0.0929947321281715,0.480793851822215,0.0575140252503597,-0.414047037726029,-0.790019862482574,-0.430531941134092,0.831410880589779,0.461242672424708,-0.721141741686556,-0.061731963185179,-0.466515574751031
"SPYO_Sp_3 (GE) - TPM",0.87291827213519,0.302547907955892,0.0866040075568894,0.427250016362625,0.24748460789694,0.518409293223997,0.372384486908474,0.22361378735423,0.168200509218574,-0.249101682409736,-0.758271389576337,-0.416249109456952,0.626621480477054,0.658152165275571,-0.59024604037592,-0.129158577187402,-0.405327749685258
"SPYO_Tm_1 (GE) - TPM",0.496791157979702,-0.737697167024821,-0.727731228913421,-0.957785533972264,-1.01555733050691,-1.22713935930732,-1.05905357035747,-1.0343716591795,-1.19426397592393,-0.724682501792778,-0.368120153947936,-0.744477056368907,-0.384076125066069,-0.288501424609672,-0.389796726808317,-0.548217249350626,-0.573884115801924
"SPYO_Tm_2 (GE) - TPM",0.375268599137314,-0.743174708793104,-0.923119514933668,-1.00427411005271,-1.05759173878236,-1.18420061580923,-1.07087142247776,-1.137130422391,-1.20795437742965,-0.848713901441986,-0.688918224597219,-0.70887119722241,-0.519570049931494,-0.46805500027893,-0.406724373592801,-0.713599950257476,-0.560703825660796
"SPYO_Tm_3 (GE) - TPM",0.330961885053292,-0.798239356754515,-0.720079311491001,-0.744807967788238,-1.01300798372592,-1.28837767201823,-1.01842572025689,-1.1092076738445,-1.09480662894901,-0.583675858905284,-0.303102289966173,-0.71274283475293,-0.31712365035652,-0.302547347663902,-0.39934062679547,-0.648202100091946,-0.568159734647343
"SPYO_Vic_1 (GE) - TPM",0.765681406111885,-0.806583971139278,-0.184831630386329,-0.290108144750933,-0.745580265221008,-0.761254937250969,-0.909675266146835,-0.983637987088362,-1.04512062813069,-1.00479787208854,-0.517782420757766,-0.665793063535109,-0.401579218878172,-0.331600663087919,-0.307225355923384,-0.835808775799004,-0.619081960158839
"SPYO_Vic_2 (GE) - TPM",0.901311941396303,-0.674358699433511,-0.329001691073195,-0.468032042331556,-0.663138203773452,-0.562836964414069,-0.82959182493763,-0.926506160678575,-0.968457993234148,-1.21047919751589,-0.691581625963006,-0.671273445828334,-0.312001320066804,-0.58030760270614,-0.44650075383488,-0.492122279902596,-0.821360835124879
"SPYO_Vic_3 (GE) - TPM",0.654711009794236,-0.747702821745238,-0.520817046449422,-0.808295921047483,-0.8015405274645,-0.916920258775483,-1.0531925329545,-1.08575855732447,-1.09350108094428,-1.27971546219272,-1.23400902641798,-0.379423636767797,-0.406680197595075,-0.528224618739699,-0.398681106058014,-1.02979407820109,-0.933769691744859
