"","pWR501_0019","pWR501_0040","pWR501_0087","pWR501_0133","pWR501_0185","pWR501_0205","pWR501_0250","pWR501_0251","SF5M90T_87","SF5M90T_207","SF5M90T_212","SF5M90T_227","SF5M90T_234","SF5M90T_355","SF5M90T_356","SF5M90T_364","SF5M90T_394","SF5M90T_416","SF5M90T_485","SF5M90T_512","SF5M90T_524","SF5M90T_647","SF5M90T_705","SF5M90T_784","SF5M90T_825","SF5M90T_935","SF5M90T_998","SF5M90T_1015","SF5M90T_1026","SF5M90T_1034","SF5M90T_1226","SF5M90T_1342","SF5M90T_1364","SF5M90T_1372","SF5M90T_1385","SF5M90T_1393","SF5M90T_1582","SF5M90T_1583","SF5M90T_1680","SF5M90T_1681","SF5M90T_1686","SF5M90T_1708","SF5M90T_1712","SF5M90T_1753","SF5M90T_1774","SF5M90T_1850","SF5M90T_1965","SF5M90T_2023","SF5M90T_2097","SF5M90T_2129","SF5M90T_2341","SF5M90T_2397","SF5M90T_2572","SF5M90T_2620","SF5M90T_2762","SF5M90T_2768","SF5M90T_2829","SF5M90T_2852","SF5M90T_2938","SF5M90T_2939","SF5M90T_3082","SF5M90T_3094","SF5M90T_3179","SF5M90T_3486","SF5M90T_3488","SF5M90T_3489","SF5M90T_3516","SF5M90T_3700","SF5M90T_3885","SF5M90T_3891","SF5M90T_3956","SF5M90T_4043","SF5M90T_4109","SF5M90T_4115","SF5M90T_4122","SF5M90T_4126","SF5M90T_4145","SF5M90T_4207","SF5M90T_4270"
"SHIF_As_1 (GE) - TPM",0.0604119702452875,-0.312614525693905,0.00310609423235744,-0.300287720954379,0.16967482190139,-0.247457913320622,0.237544130384466,0.138186615451009,0.330073380444941,-0.059604435958223,0.713867979983092,0.467554327253254,1.52607286579036,0.231353241970255,0.613347045240071,0.744113455567756,0.503336295003052,0.777938767925506,-0.369221271233477,0.695401576646131,0.883106095536178,0.873053573319152,0.943303253330165,0.296174766475322,0.578974043797193,-0.272639329494487,-0.471201496233775,1.2290584000563,-0.386592498214988,-0.238516149795127,-0.0059791279695049,1.10212739883826,0.856653872616429,-0.168435838563168,0.731310517005145,1.48066659362672,0.765175984900038,-0.175029517890286,0.521222359319357,-0.221408723288651,0.60610093744003,0.209101215440381,0.143323336145451,0.728484974080836,0.613797228614835,0.0850691165582638,0.656120573404324,-0.0365030754177456,-0.684437085099124,0.597453247819739,0.160520370504938,-1.06197650510096,0.0330206167658973,0.0643502629183818,0.288263543784377,0.769432774146573,0.576088565495209,1.1454623542551,0.40693233571976,0.380130584437162,1.22975471396797,0.615183902664338,1.5700593507966,1.29610620204447,-0.705296927792522,0.623759954659875,0.543618896299414,1.1006250498697,0.485582136455096,0.394436126566452,1.23322524843229,0.30144602102313,-0.162478608684255,-0.0547143774541395,0.660475845885817,1.16886079101204,0.0135606657379594,0.433749900178788,0.155402314009926
"SHIF_As_2 (GE) - TPM",0.794695876770532,-0.288608504544361,0.467309515489722,-0.251931551417819,0.158786271307163,-0.220923237929095,0.147082697259865,0.199580262660673,0.0101188330386184,1.27419418150989,0.242140895431088,1.44938240377708,-0.787380754303857,-0.18505019908329,1.10346319753703,0.578129918625289,0.643829552933935,-0.253113309662617,-0.756558361793257,0.652259840463952,1.1783688214424,0.487411591957916,1.02159561651306,1.40147935782073,0.18139165173379,0.41985733258067,-0.449973155334098,1.71973743154441,-0.285771536004881,0.827461218739242,-0.114642430642648,1.93942322474102,1.7452935761438,0.24310777968788,-0.278009814521973,0.158221933975548,1.59129975387736,0.511626805611053,1.63949907700977,1.26739355942673,0.871325531508896,-0.241149062011654,0.824858697013141,0.418180488806467,1.11973114583706,0.0792213988746231,0.669207763706807,-0.454455499038531,0.933265424409971,0.682874455758763,0.2201724566758,0.870293975014739,0.100287378419828,0.240781412890245,0.19471176795614,2.04043222244724,0.390935101754889,2.38787281945326,-1.26005198473216,0.547161762827185,1.53594948005674,1.20163649510555,1.23278439724563,0.730132131526023,-0.371768181365211,-0.294121439637184,-0.719055880042957,1.96906323571151,0.69999993002963,0.405238224487239,1.08433688601353,0.544175314092609,-0.503654644275407,-0.667128660170542,0.902682926812288,1.34813081512362,-0.0115314627415726,0.728832025885973,-0.270287023597775
"SHIF_As_3 (GE) - TPM",-0.362968861474105,-0.368916082551185,1.0284743718379,-0.297711894382864,0.172398923042949,-0.195664591002098,0.212011775037127,0.216440599612644,0.379239787339164,0.811076458500547,1.27160168477554,0.423772452695299,1.46066290163441,0.378288337613067,1.10801175482932,1.27027073359618,0.677987929742445,1.2390052289928,-0.791704238032263,1.81288622566906,1.46359885165681,0.717858902125144,0.992588349750725,0.265037575878487,0.92915313139042,1.2887480266931,-0.784350056834886,0.921637648732288,0.840764933194935,0.803747897563312,-0.187848760273655,1.36287787693037,1.30034657988062,0.0995720708850709,0.974746879606855,0.783703163204888,1.62095323693758,-0.0797195822285112,0.650309116395081,-0.244044901176314,0.448355675013705,0.204976535942724,0.388221479194377,0.861076973722901,-0.0808123657332356,0.649351446388688,0.563293000308776,0.0237264624956173,-0.0867137365565724,0.531288462689327,0.235002280028818,0.290274851681664,0.148181320174876,1.15099473677871,0.259467874731876,0.648772849070467,1.08016307583971,1.40475271819888,0.597663722025606,0.539604098523648,0.667646108183813,0.689094317467369,1.73616084458102,0.398691546550119,0.0393130975169439,0.825421121515215,0.512197103780606,0.409110639262186,0.979246342435433,0.93202039495553,0.59727581360884,0.750115821585398,-0.183236442085951,0.590622676230453,0.550877331100382,1.37916694703144,0.460759861904074,0.47017211195293,0.136504135677032
"SHIF_Bs_1 (GE) - TPM",0.257267893299384,-0.395950966815638,-1.44152696435052,-0.307132711810408,-0.478978775918974,-0.722291098879216,-0.325727024184518,-0.0251354617392139,-0.284936104405902,-1.122205085952,-0.227156936198467,-0.127398145113983,0.443924683433346,-0.823895092626544,-0.721482030166785,-0.614016229275235,-0.621708701810577,-0.550965163615638,0.228707941382932,-1.1163529197384,-0.717699900250102,-0.305335434399319,-0.701820979532501,-0.593584852152824,-0.48806272088649,-0.200861612943631,-0.601445534908023,-0.292351953410386,-0.703282949264887,-0.362970776639636,0.201795688886581,-0.567593747360563,-0.141373099192013,-1.23542319488047,-0.498390155278239,-0.170189005934774,-0.605928547293253,-0.0596103880492263,-0.648363346225357,-0.855108563577705,-0.365008547053054,-0.104013600394394,-0.762422585581918,-1.09558852682546,-0.531497176875885,-0.554024340769631,-1.1077820418658,0.262055345390871,-0.23461988507685,-0.939541538098095,-0.894439979726225,-0.739042903635905,-0.201847176314606,-0.500854444100367,0.0391754768688912,-0.193012397311597,-0.489154880330677,-0.69210754877785,-0.682148523977664,-0.498956365174399,-0.45523062656117,-0.630889372024963,-0.388745382258138,-0.523093975941084,-0.115225586434349,-1.00952649258094,0.302335223988319,-0.826846476420308,-0.979793016732828,-0.305451516238974,-0.17445413362092,0.100384584223759,-0.624349503165306,-0.321639483954415,-0.486259857479464,-0.512236662422079,-0.421681735961272,-0.398855201160057,-0.399248084505225
"SHIF_Bs_2 (GE) - TPM",0.619902812215908,-0.379062350982216,0.181177847108296,-0.270977620279563,-0.10550532695308,-0.46674254849321,-0.216638801564853,0.11812077077154,0.331223172393908,-0.0872875682114463,0.140080036178181,0.482632325912585,1.10676514128911,-0.583174746229705,-0.260453663637421,-0.550782963869961,-0.300448910709108,1.08990846220398,-0.280577315514752,0.808855034417667,-0.0953863655414187,-0.105973624853275,0.240186598615756,-0.294035954837892,0.0961755202307945,0.315486324022705,-0.259731995999064,0.00347813760468478,0.175079530217203,-0.488384700170797,-0.0508587575396448,-0.287396108825114,1.56995965569756,-0.133561892629127,0.35128203440146,-0.2523354325922,0.46778786872533,0.475342747915637,0.142050100701358,-0.0272614604615728,-0.128095219962004,-0.257133106140467,-0.378090678238467,0.0721175044468392,0.50238431311854,-0.0944769626132679,-0.867300841052543,0.752075411061373,0.113842742237972,-0.848345072709446,-0.258054994860876,0.259104408873546,-0.111292356866251,-0.645819571244644,-0.110836135057755,-0.413788335677899,-0.262822427344979,0.00671261920235769,-0.159220019684737,0.4493572395253,-0.0574219263666102,-0.205085451052095,0.0405888277627085,0.508322947156414,1.37328749742911,0.399867867974044,-0.329932072916929,0.728020988409645,-0.3996029097732,0.218853514562481,0.123215950509018,0.301919466003396,-0.650920719981635,-0.334798197824932,0.00165180692516367,0.554924593533304,0.0679709461865764,0.106017042442946,0.0980835023498291
"SHIF_Bs_3 (GE) - TPM",0.777631999801851,-0.197923686356908,-0.27192374262741,-0.384672499281228,-0.393325559045426,-0.415705791312542,-0.133118568797493,0.332921260476962,-0.153136003335036,0.0795686399991095,0.0134726997361731,-0.515715862043094,-0.667602141125163,-0.157912523830991,-0.234801394803188,-0.562400616553273,-0.412212838247418,0.129778421023821,-0.163600896621851,-0.314995121560051,-0.437598874881458,0.24719780086124,0.013181760452692,0.345954890450448,-0.499247784973742,-0.0163373334793638,-0.813490984931831,0.421883964638701,0.449231640882941,-0.494772138150338,0.12300003362388,0.0548469279655353,-0.0796970533441013,-0.413129788186517,-0.328306201669464,-0.400632482299548,0.274446648392734,-0.458642185084453,0.639420079001635,0.213797044962343,-0.0957972790067141,-0.133404563508077,-0.743544972815641,-0.609286623162126,0.161573411883019,0.00116820586078311,-0.645668002096211,-0.116562028805494,0.276480428903153,-0.684028445290234,-0.734397159358087,-0.47035139079754,0.159436956627264,-0.201180558962871,0.386303910808461,-0.47109992564828,0.335305991489381,0.235865370417549,0.328810727813648,0.191268557293,-0.674292996952307,-0.184101144955062,0.288291303830248,-0.282829385197011,-0.510505464475327,-0.000756646211808794,0.0468082297277666,0.269921880123279,-0.411625544048142,0.0104901879397326,0.434145141755419,0.141753990134145,-0.490681183040031,-0.344877004623276,-0.180924863371363,-0.285793727267558,-0.195246851305309,-0.304588845804409,0.163681316871092
"SHIF_Ctrl_1 (GE) - TPM",0.239514616392255,-0.519345903000495,-1.1153870505225,-0.50064733967936,-0.362636986935024,-0.611726912169095,-0.170213553869195,0.172184966049011,-0.325466114662031,-0.160937243809901,-0.184284995225477,-0.395709786106597,-0.299146721785984,-0.349862704626381,-0.339602404322291,-0.255880531705548,-0.697276330755595,-0.899037893381273,0.389591621576111,-0.665211309948371,-0.686151319819814,-0.480064636226254,-0.492628590350367,0.146545083897317,0.168749195870162,-0.0487271254179908,-0.0218371272275866,-0.617998796899181,-0.703282949264887,0.0832454117591044,0.100594975598649,0.211747623228658,-0.731735017130577,-0.887147636334075,0.655739606879784,-0.399929863378141,-0.337164887907458,-0.381641599851044,-0.321329630318762,-0.621404840402863,-0.617949025273956,-0.36748501316635,-0.765220516810057,-0.729998990451563,0.144664788646113,-0.0946327883362034,-0.446076902440426,0.303500568973965,-0.347777696555584,-0.441968945152419,-0.748671889192387,-0.60914797074874,-0.265412459259086,-0.834360812472999,0.0627831013937331,-0.601296323711599,-0.0824002536177537,-0.0922450760208657,0.0741639332198986,0.170796519608726,-0.661393983613026,-0.401275373159468,-1.00928321065082,-0.520324158650415,-0.54918282276229,-0.812550037733989,-0.247435147320761,-0.326862784901233,-1.23736359605057,-0.487642664291538,-0.179503649942001,-0.278893282602054,-0.448706858698448,-0.456409567714124,-0.502741820179311,-0.00264130745522398,-0.498471088817064,-0.280341156764375,-0.604015010844127
"SHIF_Ctrl_2 (GE) - TPM",0.197862336027434,-0.519844607166319,-0.786566123243806,-0.944115816480343,-0.305098982142934,-0.477030574010223,-0.131961113630894,0.227418119682904,-0.131160188091449,-0.772735481477751,0.506424637401531,-0.464108889224402,-0.484117252284333,-1.1363993719327,-0.391348453655456,0.0143184034150333,-0.659333281191665,-0.334815062271994,-0.469436284250282,0.389370583887462,-0.771472099472691,-0.461187275076016,0.243634301136023,0.548095061717382,0.0302352857656352,0.25851098536309,0.871927499936541,-0.312564867015578,-0.703282949264887,-0.608938093158275,-0.0607288131718272,-0.154629547049882,0.125181357801087,-0.665207632440889,-0.597857529536975,-0.331764985432272,-0.158973008080939,-1.23013690826265,0.0633306583624824,0.707757928251389,-0.585206249647218,-0.407834375002209,-0.361070447175322,0.44490463193674,-0.628361513586216,-0.30163685109008,-0.629097650574823,0.041182116362425,-0.304946846559279,-0.73978365866022,-0.837022304099455,-0.15405874324795,-0.163697245780263,0.0707638540373079,0.222113923520751,0.192718096693223,-0.278479283639897,-0.438951908509635,-0.335770620955038,-0.276694862418629,-0.694396748816917,-0.591403574346235,-0.377500881195928,-0.268931358470543,0.196972177170813,-0.0277819179751922,0.369998868814787,-0.0549255027356498,-0.741015565880598,-0.546201037504024,0.133006656195,-0.16141304547188,-0.512857288635381,-0.377292285384518,-0.027495460705235,-0.327776472255069,-0.481608932846648,-0.203207067938383,-0.604015010844127
"SHIF_Ctrl_3 (GE) - TPM",-0.684956254453267,-0.50971273591743,-1.50926039033254,-0.538888432731039,-0.573532405864751,-0.584299728816998,-0.128821774868352,0.233438590426753,0.153783168974083,-1.19885142274737,0.452844580809145,-0.215649961004275,-0.566481204848409,-0.773788504545454,-1.26613224152378,0.858818356950906,-0.947512690129872,-1.09073817890802,-0.640522539958136,-0.693724391617269,-0.988307733870425,-0.650662501057679,-0.433691958543664,0.0471816229933962,-0.0739023685481458,-1.1864514498799,-0.330916619119477,-0.480589280133639,-0.703282949264887,-0.402900245208747,-0.0230094816940666,0.50679257945547,-1.29110542496945,-1.07630578865782,-0.459006411976557,-0.000206215239010737,-0.522582562740258,-0.65619861398099,-0.477892975218595,-0.748513972492309,-0.533912718674181,-0.131547475874713,-1.02763988749012,-0.945233290365243,-0.65652223016397,-0.844793125330684,-0.796653690913482,0.86348705216118,-0.0446852111174283,-0.598632110388605,-0.881353422219885,-0.434096657001674,-0.0334146735391002,-0.706356682403552,0.444697631070042,-0.801331504342794,-1.36205663939798,-1.22116627955673,-0.191844969165212,0.171867817125629,-0.946963314280312,-1.22693238178494,-0.68201549014738,-0.597774142065813,-1.00275538167412,-1.07535993438365,-0.719055880042957,-1.17792076851394,-1.277825521517,-0.573967898115778,-0.24818839237454,-0.923962165754526,-0.609557118868912,0.312284988195172,-0.185699175803784,-0.790341925181676,-0.680068921503957,-0.377040905691568,-0.604015010844127
"SHIF_Li_1 (GE) - TPM",0.0161833785313264,-0.609904042931393,0.0777588653134689,0.863258807616523,-0.284243865801109,-0.425070861440984,-0.636182499754888,-0.718341818109021,0.0209993968158202,0.961480829128716,0.0052158392175347,-1.29180646289438,0.502643574883944,-1.02901354831868,-0.939652956422242,0.188282366384444,-0.462751516570773,0.639148992227092,-0.209264589351299,-0.934884174284619,-1.13982131898876,-0.607329595603883,-0.0511929682685525,-0.354735421289153,-0.59325495378093,-0.84544621921476,0.906931102881357,-0.346011196308011,-0.703282949264887,-0.889806460411612,-0.22172705119191,-1.25659104930894,-0.604102338127595,-0.209080344008554,0.568045018246754,-0.719467496947354,-0.771276219434447,1.46806867978413,0.411639713511506,-0.558225098107593,-0.121552612544698,-0.588414501430079,-1.02763988749012,-0.192042778561565,-0.491195325816305,-0.771303405204221,-0.463390620874904,-0.850570492938653,-1.2531910167739,-0.618092154763584,-1.23719538648646,-0.0217873381981242,0.213255632300862,-0.962165153552712,-0.567081589931441,-0.535475196766061,0.372915739265692,-0.65771314930895,0.339543267992462,0.169543369942738,1.14257717985018,0.0104207832447398,-0.0315347034491396,-1.03087753226976,1.20297569181383,-0.1286970519358,-0.719055880042957,-1.17792076851394,-0.073067434104704,-0.430509644560705,-0.515834352164244,0.35756798442377,0.0660088924170008,1.33277183923899,-0.645436543037077,0.488164689811104,-0.51851940902297,-0.596675910941037,-0.604015010844127
