"","OG1RF_RS00020","OG1RF_RS00025","OG1RF_RS00030","OG1RF_RS00035","OG1RF_RS00060","OG1RF_RS00065","OG1RF_RS00145","OG1RF_RS00220","OG1RF_RS00225","OG1RF_RS00230","OG1RF_RS00235","OG1RF_RS00240","OG1RF_RS00565","OG1RF_RS00580","OG1RF_RS00590","OG1RF_RS00595","OG1RF_RS00660","OG1RF_RS00710","OG1RF_RS00715","OG1RF_RS00720","OG1RF_RS00750","OG1RF_RS00870","OG1RF_RS00880","OG1RF_RS00885","OG1RF_RS00890","OG1RF_RS00895","OG1RF_RS00950","OG1RF_RS01060","OG1RF_RS01280","OG1RF_RS01295","OG1RF_RS01370","OG1RF_RS01445","OG1RF_RS01560","OG1RF_RS01565","OG1RF_RS01580","OG1RF_RS01585","OG1RF_RS01645","OG1RF_RS01760","OG1RF_RS01795","OG1RF_RS01835","OG1RF_RS01965","OG1RF_RS02010","OG1RF_RS02260","OG1RF_RS02265","OG1RF_RS02270","OG1RF_RS02295","OG1RF_RS02380","OG1RF_RS02385","OG1RF_RS02405","OG1RF_RS02455","OG1RF_RS02535","OG1RF_RS02600","OG1RF_RS02730","OG1RF_RS02910","OG1RF_RS02935","OG1RF_RS03075","OG1RF_RS03255","OG1RF_RS03305","OG1RF_RS03310","OG1RF_RS03335","OG1RF_RS03340","OG1RF_RS03345","OG1RF_RS03360","OG1RF_RS03415","OG1RF_RS03495","OG1RF_RS03500","OG1RF_RS03510","OG1RF_RS03560","OG1RF_RS03575","OG1RF_RS03580","OG1RF_RS03690","OG1RF_RS03695","OG1RF_RS03700","OG1RF_RS03750","OG1RF_RS03755","OG1RF_RS03780","OG1RF_RS03880","OG1RF_RS03975","OG1RF_RS04010","OG1RF_RS04020","OG1RF_RS04040","OG1RF_RS04045","OG1RF_RS04225","OG1RF_RS04435","OG1RF_RS04580","OG1RF_RS04585","OG1RF_RS04670","OG1RF_RS04870","OG1RF_RS04880","OG1RF_RS04915","OG1RF_RS04925","OG1RF_RS04945","OG1RF_RS04960","OG1RF_RS04975","OG1RF_RS05010","OG1RF_RS05065","OG1RF_RS05090","OG1RF_RS05120","OG1RF_RS05205","OG1RF_RS05250","OG1RF_RS05260","OG1RF_RS05295","OG1RF_RS05300","OG1RF_RS05345","OG1RF_RS05350","OG1RF_RS05640","OG1RF_RS05660","OG1RF_RS05850","OG1RF_RS05895","OG1RF_RS06010","OG1RF_RS06195","OG1RF_RS06200","OG1RF_RS06250","OG1RF_RS06330","OG1RF_RS06485","OG1RF_RS06490","OG1RF_RS06495","OG1RF_RS06545","OG1RF_RS06555","OG1RF_RS06715","OG1RF_RS06785","OG1RF_RS06850","OG1RF_RS06855","OG1RF_RS06865","OG1RF_RS06990","OG1RF_RS07045","OG1RF_RS07170","OG1RF_RS07225","OG1RF_RS07240","OG1RF_RS07300","OG1RF_RS07460","OG1RF_RS07485","OG1RF_RS07495","OG1RF_RS07590","OG1RF_RS07635","OG1RF_RS07725","OG1RF_RS07880","OG1RF_RS08060","OG1RF_RS08065","OG1RF_RS08115","OG1RF_RS08200","OG1RF_RS08305","OG1RF_RS08325","OG1RF_RS08430","OG1RF_RS08435","OG1RF_RS08485","OG1RF_RS08510","OG1RF_RS08515","OG1RF_RS08585","OG1RF_RS08955","OG1RF_RS08960","OG1RF_RS08970","OG1RF_RS09050","OG1RF_RS09170","OG1RF_RS09180","OG1RF_RS09235","OG1RF_RS09255","OG1RF_RS09260","OG1RF_RS09360","OG1RF_RS09365","OG1RF_RS09375","OG1RF_RS09380","OG1RF_RS09420","OG1RF_RS09485","OG1RF_RS09490","OG1RF_RS09565","OG1RF_RS09575","OG1RF_RS09580","OG1RF_RS09585","OG1RF_RS09590","OG1RF_RS09595","OG1RF_RS09630","OG1RF_RS09635","OG1RF_RS09640","OG1RF_RS09780","OG1RF_RS09820","OG1RF_RS09875","OG1RF_RS09890","OG1RF_RS09915","OG1RF_RS10040","OG1RF_RS10055","OG1RF_RS10070","OG1RF_RS10080","OG1RF_RS10120","OG1RF_RS10215","OG1RF_RS10390","OG1RF_RS10420","OG1RF_RS10475","OG1RF_RS10550","OG1RF_RS10570","OG1RF_RS10580","OG1RF_RS10585","OG1RF_RS10650","OG1RF_RS10655","OG1RF_RS10715","OG1RF_RS10735","OG1RF_RS10750","OG1RF_RS10755","OG1RF_RS10760","OG1RF_RS10950","OG1RF_RS10955","OG1RF_RS10960","OG1RF_RS11055","OG1RF_RS11190","OG1RF_RS11205","OG1RF_RS11355","OG1RF_RS11405","OG1RF_RS11440","OG1RF_RS11540","OG1RF_RS11700","OG1RF_RS11815","OG1RF_RS11820","OG1RF_RS11840","OG1RF_RS11990","OG1RF_RS12025","OG1RF_RS12155","OG1RF_RS12195","OG1RF_RS12245","OG1RF_RS12350","OG1RF_RS12450","OG1RF_RS12475","OG1RF_RS12685","OG1RF_RS12690","OG1RF_RS12725","OG1RF_RS12730","OG1RF_RS12795","OG1RF_RS12800","OG1RF_RS12825","OG1RF_RS12830","OG1RF_RS12835","OG1RF_RS12840","OG1RF_RS12890","OG1RF_RS13135","OG1RF_RS13155","OG1RF_RS13160","OG1RF_RS13165","OG1RF_RS13185"
"ENTFA_As_1 (GE) - TPM",1.44997879876997,-0.482069814633138,-0.148586622869114,0.019426347058095,-0.2765908744856,-0.541887964136815,2.1156461343543,-0.430003395418802,-0.290581630066114,-0.446066179832259,-0.494348921291957,-0.689955683729589,0.235903997230686,1.11770763028667,-0.9244528958192,-0.79698281188199,0.870695621114941,0.770986746776453,1.33958990453907,1.39418076829758,0.256507723238476,1.60393565961627,0.892108037378369,0.973727273112558,0.556925010616468,0.442759229140132,1.30921156338624,1.48910168547907,1.49141455780616,1.37169112898748,1.12307596927861,0.0410302013716156,1.10587775757269,1.34039132824958,1.34589424823602,1.57589626063113,1.57719479168563,0.526772331834947,0.776971396959251,-0.0330398104455457,0.384658167405275,0.681697338346801,1.29626606573227,0.768802481402762,0.894762152472774,1.75947982620634,1.44817004285423,0.696917604904299,0.834806815608826,0.902115467622026,0.899107010489539,1.97904584026825,1.28539034195532,1.45019543649817,1.7386307727192,1.5441995416779,1.3298776349477,1.74835887921286,2.29560507208269,1.63121554026394,1.37033439286778,0.808908933020475,1.01634884325774,1.42711444164992,-0.0136750481014137,0.761826830564912,1.26206144740256,0.651180305004894,0.15102131024381,0.144471705178279,1.69729926412536,1.29161433306554,1.17494032297959,1.96072057234236,1.40700984256841,0.062337944929006,0.958712785123866,0.43662246118687,0.996062159114472,1.20560453326932,0.588397113316906,1.7613278302896,2.02131167793552,0.75588451098057,1.03802090872143,0.443911246253596,1.74995681149972,1.33226643279841,0.576231576431715,0.167053640949921,0.138068418638647,0.981527632504356,1.5214614403581,0.416434812773922,1.60947536046477,1.83563922868347,0.92097803382349,1.8614295426154,1.33219689611998,-0.407866024038323,-0.465128404652082,0.00814993414462962,1.65004188227496,0.925110550293672,0.623152006659375,0.508687781383674,-0.451196446443475,1.57434539345021,0.300044284568077,1.39500028335692,0.395757917153909,0.865757462265615,0.398902235114707,-0.519082891830493,1.33954296873873,1.25873615359623,2.12944049640193,0.939095143097971,0.315771228368694,0.225694251136524,0.64889315207038,0.661121605516441,1.34418192687091,0.441182411662943,1.47829022509413,1.51619493983398,0.880374183217021,0.694027192076842,0.86834726601964,1.29885570316122,1.23078296966396,0.0384449697565526,1.05393466471509,-0.926997506683851,1.54632548744576,0.614083298132473,1.13996609863467,0.758256936897341,1.42342101500284,0.184140026968473,1.39996326456398,-0.936621750307099,0.0210918415107527,-0.971776091042356,0.910696285858637,1.06758949442963,1.45444544000387,0.729459348303013,1.21839216683761,-1.28004931137686,1.14811937420719,1.14367820110914,0.732917666190234,1.07718857265223,0.163003038071017,1.24067293700723,1.19921088313171,1.11418401822678,0.650806220727021,0.814966475946653,1.11474598018954,1.76375799440931,1.29632598343916,0.841162423851802,0.830134757796628,0.777270489516228,1.24187494868854,2.20998392780654,2.17835336164699,1.52791635961708,1.45054579183143,1.94473218928561,1.7393024916823,1.02000398192914,-1.12354324927833,0.970236685186284,-1.25385911019568,1.09721818446601,0.64924596688901,0.409863993448424,0.693499204309219,1.24625387552709,0.984833065079108,1.53038599987473,0.908801008776988,2.55034493611718,0.731809498088619,2.46188793839366,-0.0357700303101107,0.947641419697898,1.19832091009215,0.656418711436979,0.420084807897703,0.68978681384672,0.840954423299144,1.2104233342301,-0.0616016637172994,0.102941524147371,1.45311614513125,1.56017745934885,1.18229832426573,1.63840295028807,1.56036136886566,1.27184366134955,2.11030156428955,2.47394244246555,0.550785043692109,0.188772661123429,1.36996303022976,0.38180050543342,-0.801061986934959,-0.998808507954218,1.25597506090963,1.71877426421,1.64307345935227,1.1245070248986,1.92140801964115,1.24087211803289,1.19207511137099,1.82630442773739,0.909142710538732,1.28008933804392,1.80048320735539,-0.844324809677947,-0.888666147787903,0.251083105551387,0.959243414402999,1.34342257438977,1.29545440670847,1.35170740019351,1.74422161722215,1.59302183960354,1.27930888877588,0.724216003436352,1.38773420337596,2.2079117856245,0.893580248786642
"ENTFA_As_2 (GE) - TPM",1.55589326689236,-0.48050604222489,-0.436003418928232,-0.313704552690152,-0.480133811846037,-0.726505314754579,1.50730760673731,-0.559480622210839,-0.563651943421853,-0.451912646616325,-0.616702766394068,-0.581895991955728,0.988345787042774,1.1229680319496,-1.08042053583747,-0.798622256497065,1.63566021235228,0.81928229277494,1.07698995194075,1.93062256086469,-0.374767286200902,0.474582600645187,0.991175198961729,0.862806142293242,0.836426700198999,0.31012508982314,1.56438845888451,1.75859876398586,1.8443280393291,1.0718159937399,1.29074094175294,-0.0606780817878169,0.788068639300837,0.869014608487137,1.06477238384219,0.774110080278094,0.664241683492106,1.1538743212068,0.834613605359016,0.671865066381012,0.323270968230945,0.823906334442923,1.38439042647021,0.440999543223296,0.484530461547601,2.43025805766477,1.80145033212668,0.857477216741009,1.27346031399947,0.756196571343431,0.491991700512651,3.18651899169431,1.80756408141358,1.16212384931139,1.65644422407825,1.36389643025509,1.16309710773222,1.83742109756696,1.72510815654309,2.90962579378812,2.04502675516247,2.21895430202164,0.922194414049394,2.13765769299566,0.147135627469777,0.534297732940728,1.80853202648662,0.0143435230889395,0.623090906752437,0.396105551727495,1.50516790946321,1.20157966648193,1.18018545131896,2.21989450395605,2.45863853529639,0.637166010277728,0.785780839851891,1.34173090615472,0.630295880243641,1.11674638259947,0.870622901909545,2.02016514815613,1.6494622827945,1.43624672883888,1.99622355301285,1.16984782786081,1.11429802100313,1.56230908692279,1.77983509013285,0.109229729832024,0.230938942307528,1.1536716580523,2.0031366727038,0.439106993758154,1.78171836650199,1.77910211124222,0.898812637445705,2.23671877605277,1.72009474636265,-0.46399558403001,-0.569287170078071,0.181051568568403,2.18669674989269,0.86553804738809,0.670025883717577,0.562090526094798,-0.682869608799496,1.15090296610322,0.340224029532079,1.52802549093568,0.78811892131593,0.912369351684377,0.65789401310069,-0.568943291224075,1.80519559904214,1.14434816841628,2.07669379560586,0.786882818197006,0.609207041375283,0.409829186423637,0.699900225976925,0.928954565133625,1.41912525573283,0.560279837809879,1.31589001203984,1.97651272772069,1.07035852661137,0.653353982195561,0.835723638479814,1.53108977048675,1.28700600058558,0.515481098219084,0.946706316146885,-0.989135058835905,1.18978419027033,0.438878677822989,1.29236182463342,0.896261782645274,1.19706973183172,0.235217033993282,1.10720415329043,-0.805148392834775,0.291508316237827,-0.9367840276945,1.19090314193893,1.7675834134188,1.75070110086736,0.596189315107414,1.0795438966601,-1.26519596039512,1.38946696851555,1.22673291316014,1.27378168600681,1.26616911477387,1.29884929801285,1.40542265578083,0.627271387934665,1.11967349132553,0.413105544051894,0.714434287876075,1.20377683680902,1.48913970444453,1.27418224733329,0.533404283783022,0.972352530899944,1.02304584676071,1.22567305675706,2.07583158119844,1.86817844921923,2.44088710728222,2.49382629568108,1.16036375521357,0.958777563826624,2.41579471998113,-1.05140881535152,1.06343164589248,-1.17536739561348,1.18597234112062,1.38715269900777,0.182858664377062,1.13435180696451,1.32685277509221,1.48570899100441,2.22677814228056,0.886479685047477,1.95206229348462,1.0686183353507,2.68714863413362,1.02959637805114,1.23068514026484,1.36211025258967,0.549500012040034,1.04211961240362,1.52326416982961,0.833528549338702,1.47397954193284,0.146047842156618,0.525561504315498,1.79462825601937,1.57762063474838,1.29295793996302,1.02268747983652,1.00402371299169,0.987309057200501,0.989015796409611,2.00763795171679,0.301345845479655,0.205031775425887,0.160693763241742,0.335210936093139,-0.9991252112642,-1.03200237758476,1.60247745297116,1.85552519300929,1.33334738360505,0.578754609421269,1.61695289121681,1.30387205768989,1.73967603027455,1.22008432107244,0.947024257398169,1.53977669729172,2.07270341669166,-0.91489473262531,-0.872025640124965,0.702786242437864,1.42612967241764,0.924262117980044,1.40334792086802,0.943734661214327,1.51578780546306,1.07432088606675,0.635241740138921,1.31803315865125,1.13240159090815,1.81074842246087,0.618820160522814
"ENTFA_As_3 (GE) - TPM",1.17500026098255,-0.477465113813768,-0.343047887776853,-0.157372108714651,-0.278633236912788,-0.790103148592945,0.991963648574123,-0.25297067314821,-0.35503073316329,-0.508905640531134,-0.690057223893266,-0.487673993608838,1.76166549016578,1.14398827224295,-0.89130638217497,-0.737908318565601,0.499807672484152,0.599607823447469,0.86269239926362,1.16456871560632,-0.154666920535289,0.420072187656883,0.111000534497754,0.616613341693853,0.530452348159079,0.395732290696713,0.346024052705728,1.42877203038426,1.36804382329043,1.27427445240765,1.07626889010667,0.116398689840972,0.711704987083162,1.16772651944105,1.07176825342247,0.986945253033043,1.78270868200817,1.10748105344185,1.0459312921073,0.580104395728512,0.473162305759608,0.819100475759419,1.472831678993,1.02163875292462,0.94215773262066,1.30571777767986,1.21053094673961,0.715817447657803,0.733752238377402,1.05390005873423,0.850340594945767,0.919223468299689,1.21202213972841,0.873477707495569,1.63840338588055,1.50233283441404,1.04018101315048,1.70616010072857,2.28746642441909,1.21263173848036,0.966658523863523,1.36692701847535,0.612845151118204,1.43140778263162,0.191688051417004,0.573671393831245,1.51389219182306,0.703755366569746,0.513494999558598,0.234609665146651,2.30061712866073,1.67232285971049,0.99204149230773,1.91223417673197,1.62701749816005,0.649573307639977,0.933375817325507,0.674337897351462,0.728854333295268,0.999745404364749,0.783012084854578,1.72555213258961,1.08873698655047,1.09833413723637,1.48044451717246,0.754569582062519,1.45354134673764,1.12887128158279,1.1513113118342,0.249600258524727,0.267608408229667,1.39537588415344,1.66046788391956,0.139500636129058,1.34029033487183,2.00649201901737,0.747348340054015,2.15117428065813,0.672201236351609,-0.550846827977089,-0.429549144793666,0.409635360015181,2.1785894606546,0.858249333090459,0.746168023492624,0.397690881496746,-0.603350965473478,0.688344998765827,0.422177910465575,1.1103690389946,1.27240530989029,1.28085509628467,1.17714243281322,-0.587799905417517,1.65258113899037,1.09619726404185,1.55438037660767,0.714757375760036,0.346350325003329,0.354276946829257,0.777822693022137,1.36714001876587,1.37759444162457,0.662915090070707,0.929969789977349,0.779927480904036,1.49746936423206,0.535745625147779,0.859577321602115,1.31219118859244,1.01641109510318,0.187532878359844,0.797422397357079,-0.938451451466898,0.654893136911242,0.309174678932947,1.10127796235932,0.360398525502311,1.25074246909888,0.281993999929347,0.883345801121472,-0.936080391308302,0.161098397825523,-0.96362038561151,0.865403368107615,1.4318693980168,1.46347812479944,0.509213447090077,1.04758665034156,-1.324956758412,0.786925321875017,0.806313454760151,1.26680780099785,1.37322050612512,0.634422372755475,1.15556629599662,0.950424678756672,1.12314871852943,0.559914465637846,0.786339308990417,0.740001016600236,1.40949857919898,1.32505471620217,0.910071621300964,1.09911063034349,0.785824397111044,1.19723398330245,1.67415111835558,2.31525142263847,1.33809433175442,1.43252699540443,0.948542219950661,1.73694893669697,1.3680683100239,-1.18761516840071,0.0554369448536609,-1.21482846174621,0.970317468834757,1.43993691033051,0.344184628197043,1.22803432658336,1.30064331662976,1.01080780250875,1.36418806087752,0.35386330333048,1.28904428412986,0.896608837514202,1.71795698903478,0.204327470399101,1.3846135296448,1.58215636919704,1.30980613240752,0.392836575720227,0.840888050946436,0.74521208797141,1.28580317906065,0.160668971013116,0.520550685038447,1.0560923874966,1.44448576828008,1.10979818429878,1.01841682100251,1.19436095510899,0.813640882606286,1.15503995893379,2.08111234569954,0.686318059432952,-0.183589574337053,1.23869719680947,0.811693615493248,-1.05720499713902,-0.896122715018199,1.45261909831175,1.63601601981543,1.47308405630832,0.374431055727896,1.48900408186665,1.27945825181612,1.46962773574477,1.30123229082392,1.19058767923418,1.55672863417396,1.64605350796897,-0.807195255421274,-0.783478784160431,0.71968944223953,0.986840548925346,2.11002433153911,1.82336742129486,0.541500702168184,0.911857221568871,0.91383511074272,0.617609877627776,0.652576748200377,1.45094031355674,2.12162820081935,0.375613003920703
"ENTFA_Bs_1 (GE) - TPM",0.701236966587095,-0.589182242382152,-0.897628414144507,-0.85698100547198,-0.817741017259359,-0.829961122560455,0.578139730250483,-0.354526050185325,0.228710184268469,-0.139466216839469,-0.451355846960207,-0.971363789407533,0.968255767163955,0.885575764082676,-0.190384431643238,-0.729719779576931,0.486089877119643,0.097338787195387,0.0987127844685993,0.430715058459096,1.66090235460543,2.0202907847345,1.53030931925531,1.35601682587852,0.547102482522626,1.17719532846441,0.0379620442201428,0.587141685742948,0.432964682419979,0.291122891500845,0.987729324792281,-1.15023654455533,0.42058178144772,0.787409397709807,1.71393274362143,1.53452728202907,1.01217336104267,1.17158197190167,-0.332867461809581,-0.120679394559286,1.41142306732231,0.104928436722041,0.928254611533632,2.00093475079153,2.43193293510674,0.624644778104245,-0.018120858456053,0.00431202988838464,0.154965761767519,0.650748030076215,0.715323610769656,0.354527587141812,1.08838333389198,2.24653950580336,0.889489282170371,0.743482868151003,0.75823547941898,0.127558431526485,0.257599831438658,0.4048895426337,0.23888254146615,0.285188163760497,1.42235723285755,0.441664197561312,1.03633744048816,1.19788901700207,0.544370669614003,0.655286874247574,0.182258325886941,1.66864910308337,1.29549867820406,1.07768134306105,0.374610017237826,1.19111619813258,1.05184130511844,1.08502524413391,0.762404266037696,-0.4501086111114,0.491758023292618,0.826110764363112,0.811218681437227,-0.311622676241789,1.09215483518238,-0.0878488361533764,0.131530093316399,-0.233942925546854,1.4352699033524,0.542097760654661,1.05434347814073,0.21994871475973,0.0938351996055461,1.62356399850995,1.15331575321712,0.342488335329963,0.161166663500535,0.833921310166144,0.49542751691279,0.436124293051647,0.135620775139604,-0.122014638334447,-0.481660069346031,0.651612904435381,1.65055810146286,0.253160862660674,1.24743040920099,1.74712250645384,-1.32648489260447,1.15882889777912,1.42938175901286,0.154577536500277,0.538683514679397,0.0905862389220109,0.201832209248459,-0.0513697255097824,0.936198542429971,1.52994753270845,0.192721367807114,1.41219311130086,0.131063429968076,0.796395827105388,0.636856867603874,-0.171653926297859,0.707844435985782,0.319716253845488,1.11326157651101,0.151146480919155,0.149689954067886,0.680868651123445,0.802325826631209,0.489975236496333,0.788588899161682,0.663519259287578,1.3535343120513,-0.693596426575264,0.557577256688614,0.279231135213677,1.14125098158579,1.90312192170028,1.77446926011459,1.3678566295088,0.411058280809888,-0.978048609591451,0.94805557221499,-0.774169620663443,0.325578632658293,-0.434694352871497,0.65715169425076,-0.349866710067564,0.02124954178422,-0.564652911137002,1.25634766678199,-0.291321406357486,0.986506437312635,0.329899109288892,-0.993825736582024,1.27498414176644,1.247094999863,0.0871065903571524,0.55222201601175,0.883971619542193,0.803853067157038,1.74082665022157,0.931273244837145,0.946514607256327,2.37313426907904,-0.0387150102198397,1.13699653616374,0.829030366007834,0.469156981844052,-0.835968521874348,0.75213598553505,0.374207025056507,0.651825716342475,0.573416990536728,-0.392392877155539,0.732366179225084,-1.04001071247356,0.69447605490748,0.00654631698962794,1.61903165477388,0.76337686836022,1.13638916746413,0.435374028227163,-0.102646076083879,-0.389948865928503,0.927410759086227,0.593928452749035,1.34949908164224,1.67467560085921,0.747164014199369,0.170679866124716,-0.326840991929777,0.219311163769139,0.757578852909117,0.721772559613972,1.03804103164215,-0.0362884441124359,0.111704558352324,0.422032587200194,0.776450996823522,0.769538868569186,0.662360768975135,-0.746378577428325,-0.394696382415742,0.593484651741007,0.698981140369814,0.289212874973497,1.29347750979986,1.15825739665023,0.970363974676158,-0.76483320900033,-0.280026834276377,1.06909060909087,1.04535898736557,0.756017810248976,1.86828740150954,-0.50479353548844,-0.623382869315709,-0.545773743381108,2.22300679949588,0.569470438670928,1.42749794641425,0.674617979351607,-0.665006840812473,-0.589647279630239,0.105021657669856,0.78282847423052,0.0292706356769153,0.429484821297076,-0.0376194462322391,1.048415823598,0.960284022720737,0.927647960334243,2.32446027471259,1.68323527208172,1.28297896156165,2.04573528489498
"ENTFA_Bs_2 (GE) - TPM",0.291304448237937,-0.600332920676834,-0.757633675134269,-1.44395894781944,-0.654475473141623,-0.795773196377686,-0.139306259392996,-0.907848511366849,-0.413788842728219,-0.590479287036155,-0.788418441508271,-0.779134284337682,1.78070215208578,0.527476725450979,-0.191834983209009,-0.469887873875584,-0.327552332172339,-0.146842427891629,-0.258900497862778,-0.6612663606951,1.95254969697546,0.25960590880896,0.610253781123188,0.789220316388946,0.51068230081331,0.400967172527118,-0.402915301143278,0.022354282772268,0.199587214192087,0.484697285219384,0.917013313980077,-1.16678201392729,0.12722055218859,0.636095751837015,0.16293358955548,0.916675037947946,0.675427508086307,-0.647431422260571,-0.542665605676934,-0.110651089554411,0.966747600043935,0.125287477917643,1.11304436821162,2.80769778222028,1.78003466476367,1.20913932698551,-0.441867898098989,-0.419966468404088,0.572317203520742,-0.466907635901226,2.04891897920136,-0.269142353524984,0.590169326564103,1.71047038905179,0.999972053708878,-0.0350171725401835,0.760633662773556,-0.533978488752582,-0.668879985733902,0.266170629570586,-0.0300364635514946,0.824464876506605,-0.401653694993876,0.220659157259049,1.89836254558872,1.4725303290618,-0.11719404048641,0.769153702272586,1.0275848995183,1.50612780392474,1.1047081265185,0.138199444801439,-0.0104334342868634,1.90826942248407,0.783107312803416,1.42728683933608,0.617029561263269,-0.450158273569168,0.135077700074415,0.175700783724314,0.667996059264825,-0.622401585886331,0.789436172851204,-0.7593351277367,-0.130863937896236,-0.380485047845556,0.0745703310759769,1.15169087965555,0.864419375392416,-0.102082539332579,0.0471186250223007,1.35414322576054,0.988022123264863,0.749823320301482,-0.0509775914151566,0.0319272500780219,0.39705032893054,0.42013621846792,0.246579440381472,-0.766024764296696,-0.785648187910797,0.0642248269623505,1.74467884444984,0.675613249235818,1.52303599017541,1.44625723539333,-0.845645764574464,2.18361129182976,-0.0954386812018415,0.135533957414494,-0.213451363047203,-0.170739021937295,0.496857361797539,0.186149324696838,0.927347013544131,1.15184531278693,0.162532494463763,2.24970480681967,0.345119133452089,0.122201790432587,0.00784213519935338,-0.163365748573881,0.729769650875882,0.272001933477098,0.786793821138479,0.579709755265168,1.09763164541907,0.485342472413278,1.28009789092417,-0.0129061003704415,0.383433524152082,0.739174695476059,1.34814346589225,-0.643412276418322,0.920960045463589,-0.11629375460155,0.747926429342358,2.5245377183778,2.38993355541834,1.98097798127033,1.54759614009377,-0.914478432687856,0.336883678282017,-0.401502111886602,-0.0282652805141565,-0.434767442217205,0.641150247135861,-0.337100276107794,0.744685479328742,-0.492006024681466,2.41607344693006,0.0339808757507475,0.923321856787353,0.184959924901461,-0.603989529881791,1.08840955254,0.404881701950136,-0.147356744286618,0.0235357286457047,-0.172539592504946,0.044894997473968,0.719088870656247,0.187041384041823,1.2285575972143,1.57290596191571,0.223999336379075,1.29072154207435,-0.141695139355656,-0.3718947118851,-0.496269067751433,0.453386252100387,-0.176113127058181,0.627206500617251,-0.0471265359295749,0.0013894177074185,0.695157012617637,-0.837747739423831,1.00348429145553,-0.182649306912857,2.19185978953105,2.49278062444942,0.862588217155617,0.595555605956863,-0.533339298806791,-0.532100649504844,0.499008937824136,0.179134874287597,1.49653575943197,2.02527164224873,1.56189426646423,-0.248718435993023,0.221846282620208,0.635389433000226,1.19565662438261,0.940125171636639,1.22362186388337,0.127625319843001,0.16217826617238,0.140871010293699,1.67901852952413,1.25294228175581,0.0372692536009516,0.0213670901400692,-0.571658802976778,0.453876671024207,0.968946292052427,0.13214944210702,1.99738890024863,0.32745316381065,0.172211227538563,-0.354295121731218,-0.169739476682825,0.619452148892348,1.23026234379547,1.82074719165833,0.928373617299769,-0.417002306931984,-0.674221880648167,0.765940874442231,1.78574838511863,0.151552447560849,0.893740267013303,-0.0568752898185136,-0.31426324195925,-0.45759068807385,0.199408958798891,0.763844457530125,-0.550408157935731,0.179962107502694,0.141652287986171,-0.241988558621269,0.347640434237233,0.553633084464163,1.12726257343209,1.26051801424144,-0.206814551697029,1.51118473740376
