"","GBS_RS00005","GBS_RS00045","GBS_RS00050","GBS_RS00060","GBS_RS00280","GBS_RS00420","GBS_RS00675","GBS_RS00760","GBS_RS00765","GBS_RS00940","GBS_RS01070","GBS_RS01145","GBS_RS01150","GBS_RS01155","GBS_RS01295","GBS_RS01390","GBS_RS01465","GBS_RS01610","GBS_RS01640","GBS_RS01645","GBS_RS01740","GBS_RS01770","GBS_RS01945","GBS_RS02120","GBS_RS02145","GBS_RS02200","GBS_RS02585","GBS_RS02755","GBS_RS03025","GBS_RS03035","GBS_RS03245","GBS_RS03255","GBS_RS03290","GBS_RS03345","GBS_RS03360","GBS_RS11210","GBS_RS11230","GBS_RS03555","GBS_RS03745","GBS_RS04155","GBS_RS04275","GBS_RS04280","GBS_RS04390","GBS_RS04395","GBS_RS04570","GBS_RS04590","GBS_RS04615","GBS_RS04640","GBS_RS04645","GBS_RS04725","GBS_RS04735","GBS_RS04850","GBS_RS04870","GBS_RS04905","GBS_RS05220","GBS_RS05490","GBS_RS05550","GBS_RS05555","GBS_RS05650","GBS_RS06195","GBS_RS06230","GBS_RS06240","GBS_RS06315","GBS_RS06330","GBS_RS06445","GBS_RS06525","GBS_RS06685","GBS_RS06840","GBS_RS06860","GBS_RS06930","GBS_RS06990","GBS_RS07295","GBS_RS07300","GBS_RS07435","GBS_RS07600","GBS_RS07605","GBS_RS07720","GBS_RS07735","GBS_RS07740","GBS_RS07865","GBS_RS07900","GBS_RS08030","GBS_RS08035","GBS_RS08080","GBS_RS08310","GBS_RS08325","GBS_RS08345","GBS_RS08455","GBS_RS08465","GBS_RS08525","GBS_RS08670","GBS_RS08675","GBS_RS08760","GBS_RS08775","GBS_RS08970","GBS_RS08975","GBS_RS09010","GBS_RS09025","GBS_RS09190","GBS_RS09200","GBS_RS09210","GBS_RS09215","GBS_RS09220","GBS_RS09230","GBS_RS09480","GBS_RS09680","GBS_RS09710","GBS_RS09715","GBS_RS09820","GBS_RS09925","GBS_RS11485","GBS_RS10255","GBS_RS10290","GBS_RS10330","GBS_RS10495","GBS_RS10675","GBS_RS10685","GBS_RS10765","GBS_RS10805","GBS_RS10865","GBS_RS10870","GBS_RS10955","GBS_RS10960","GBS_RS10965","GBS_RS10970","GBS_RS11070"
"STAGA_As_1 (GE) - TPM",-0.0858437883929805,0.847595926672563,0.529297198198355,0.152758415123536,0.203828310211511,0.372926228547238,-0.72018716433411,0.206109207178029,0.385092249854927,-0.772520815837055,-1.01532038237206,0.785717456662009,0.0302073885817184,0.240145143814885,-0.718481778032925,-0.938901796835204,-0.405971197053769,-0.311088628504945,-1.20624219699463,-1.01694959122051,0.128666956643648,0.625237667105624,1.27396680224644,-1.103653876633,0.137548673568223,0.0504316859680464,-0.75251291949536,-0.536114621342935,-0.717143143466564,1.01172765642228,-0.490335673429717,-0.597886686050744,-0.449538567990868,1.39087296900113,-1.20618334938849,0.0595598267716489,-0.799586694752234,-0.19715075980614,-1.10906145116831,0.850073280185749,-0.653825526158626,-0.548559633790693,-0.625373482492553,-0.67906915744961,-1.245500107806,0.260239096166381,-0.230993001238145,-0.592381014695953,0.279413416176285,-0.740176658341017,-0.771716760652328,0.44726015219918,0.0200133245535558,-0.206907056194597,-0.616211302911673,0.104771420374445,0.0268776303871424,-0.168159330421394,-0.889182342231528,-0.602348440790713,-0.601549635380673,-0.740680638491597,-0.305165820024882,1.04188063766298,-0.325023042897415,-0.993717906031221,0.345602331641956,-0.425175968427896,-0.821368716019851,-0.438400496587493,-0.822326165284881,0.0760931238873426,-0.041404737344335,-0.0213183976705714,-0.168501197418389,-0.717366106575417,0.294994035721537,0.187840799719258,0.663150981824958,-1.28399924405105,-0.813057946817058,-1.09933893193724,-0.614226092595979,-0.773810467929629,-0.821387240824062,-0.117526168622038,-1.11608749162744,-0.324723369930431,-0.334841296182802,-0.0408576140679218,0.107193765928131,-0.242875503146148,0.815472323118193,0.417753126824366,-0.841989550588738,-0.85096196896477,0.333750232268536,0.244750436233749,0.340851128444672,-0.458569053309953,0.377614232233647,-0.433946442204177,-0.376849852780603,0.332618453514774,0.44061988753238,-0.598077922600845,0.096169944120857,0.096743632592476,-0.929720891118698,-0.452899946284824,0.193154267479151,-0.475667021291194,0.433845479328637,-0.435192449554961,0.775777327853679,-0.200987928455932,0.194093123830476,-0.199770204617961,-1.13846861336511,-1.03236746468944,-1.19330116025523,-0.065481999223022,-0.0214597573394673,0.501055077586476,0.281483614317651,-1.15602947367071
"STAGA_As_2 (GE) - TPM",-0.51531071151594,0.0355525474117861,0.699574386108071,0.231650087605898,0.349013820247384,-0.0871402442251446,-0.404020862325525,0.162914676528447,0.498397813631223,-0.743480948181565,-0.806915269006205,0.102034763244828,0.380863086540429,0.423356194759065,-0.718634789837737,-1.01735803976365,-0.529506538229409,0.0642568979583203,-1.05888822831661,-0.998768055690927,-0.0264756647722286,0.201097578723488,0.952001110001603,-0.755986860814253,0.69643954880632,-0.531692176174683,-0.79024814721433,-0.641223531689433,-0.699110139266825,0.212405676184594,-0.39975793541206,-0.409071555598153,-0.193591788745205,1.02960764703411,-1.0724369462372,0.420904914646588,-0.853715518197396,0.591589522599642,-0.904460343569608,1.02658716775019,-0.728814267486195,-0.243946159340287,-0.174951858909833,-0.170606435455255,0.406186132762764,-0.120612306779271,0.0285908030069175,0.030975884042309,0.42405652170375,-0.68993712338006,-0.893385884597697,0.76481030872528,-0.0751576872634914,-0.02750480003047,-0.555854886755528,0.0274328481108988,0.0749645596523492,0.665118937742329,-0.60306293953996,-0.32040123785049,-0.525091033369972,0.127517596209213,0.174598439842941,1.78110400900094,-0.409091692386269,-1.03404273990009,0.532649343150494,-0.416367412112725,-0.354760661368348,0.48117209621712,-0.531272356880693,0.202821414161668,0.411864997607025,0.0810646284925874,-0.244484221924572,-0.424950289743816,0.595694365302048,0.850947789682145,1.23802389119861,-0.844130075917845,-0.729670968864626,-1.08937255171522,-0.701956454902361,-0.946918467604537,-0.27761405668747,-0.228102616561854,-0.998701225726085,-0.133760006551504,-0.124554825724196,-0.0144134010285407,0.10804901835781,-1.15983129118677,0.488225434589535,0.254545100712,-0.967111062041199,-0.863741616497828,0.597169553287625,-0.367378735725112,0.150190465614079,-0.398844467050337,0.119697786043415,-0.0710000122123094,-0.626441381541772,0.276755688951237,0.00370402984299602,-0.115885356748283,0.152836898546425,0.0378521700534783,-0.917336816350994,-0.0289808941508406,0.231283216933489,-0.564901033892369,0.455313230585928,0.0264651367122309,0.610252724097237,-0.428414862762599,0.661134724675946,-0.245894326562441,-0.801592648319372,-1.05938201681016,-0.928899636319976,0.348750056588232,0.0721152568209747,0.544812633772645,0.710287454692725,-1.08324674208985
"STAGA_As_3 (GE) - TPM",-0.283946764823769,-0.11745882318823,0.434040050170935,0.613201951981305,-0.164188965324037,0.617214157978635,-0.408285395292146,0.121643534577868,0.382935583159672,-0.720635828703896,-0.975481473190829,0.744502170511065,0.122578529553649,-0.293465301280592,-0.514067631583065,-1.01134130542909,-0.269001664036353,0.00650478982576873,-0.964361876434535,-0.89014659213308,0.0187358863522468,-0.314991857895503,1.32133451716466,-1.19161455960626,0.514641247390118,-0.23907670443295,-0.852395148351584,-1.14442684504932,-0.641705773167709,0.582754023517325,-0.454258875980701,-0.415949079728389,-0.261239491094984,1.19558681415121,-0.900438210557289,0.861660730776778,-0.969323140337311,0.679986522369495,-0.890455501400701,1.44696164083072,-0.749811683969288,-0.224701494595622,-0.703708539534481,-0.377914936873277,0.312376759416075,0.163548634204407,0.121611928994592,-0.375794140307292,0.493868317392417,-0.649710208452218,-0.879434374024065,0.827189885218335,-0.0283715006798207,-0.010992820919164,-0.384758050203711,0.660488062224451,0.847985430414956,1.00592523024216,-0.277463709170869,0.0635197965174801,-0.421912075727518,-0.447146867544217,0.38859132262613,1.51434760409422,-0.315777362742039,-0.664824721671652,0.700443058747895,-0.321498648721316,-0.349401681189785,0.18345841854684,-0.0911512755340847,0.414910823911731,0.22653283156347,0.13382138904582,0.269060834966881,-0.814967617780453,0.142304745417336,0.324180223126555,1.46246399343967,-1.46311838758628,-0.570617919861209,-1.09997338810896,-0.815250693152192,-0.812255489319581,-0.669914480168776,-0.306132349908826,-1.12744977837151,0.123876537182804,0.0518300742233757,-0.146408735552241,0.210245309587391,-0.427356499265067,0.534985883748695,0.477680333001364,-0.97728391838107,-0.857794522098817,0.429743064119444,0.284272662189449,0.284098233422194,-0.770947796353595,0.0843801831578951,-0.902383155375854,-0.597607244008164,0.397812799910256,-0.13699857514881,-0.452738372146804,0.436097581608623,0.231558352122111,-1.0063512104964,-0.13988365847195,0.352372574364546,-0.54703470017958,0.247610338824099,-0.281593922928708,0.99689198742989,-0.388718475644405,0.161526470094875,-0.147443395707441,-0.837980441958271,-1.03816763302633,-1.0003445519911,0.619332745277809,0.175533897234995,0.388218610767188,0.661292468480102,-1.20899552020978
"STAGA_Bs_1 (GE) - TPM",-0.911855278185251,1.08320456697075,-0.339078452796993,-0.812113696860217,-0.11507481976758,-0.0833680342757164,-0.770467351229415,-0.869092397793738,1.07080545153516,0.271827322494755,-0.714885515637936,-1.01548124380442,0.325508220071878,0.907050528181818,-0.775389861708681,-0.338792247327791,-0.516805496004783,-1.42653217435909,-1.30761829695698,-1.20340111150905,-0.648361581838614,-0.030033253245413,0.535482597383586,-0.945601866293692,-0.893745757666106,0.0517692662621758,-0.666760255161171,-1.43736276701663,-0.663172554476251,-0.167729113019012,-0.868262650246739,-1.070777547096,-0.500373573992269,0.264902445531103,-0.224621373191933,-0.863933147007663,-0.723192954398664,-0.444858750995224,-1.1901127877861,-0.376412934887276,-0.598643789202109,-1.26531718721006,-0.473859966028875,-0.918057547766407,0.0730397294600179,-0.619788182661331,-0.426347768320293,-1.11083567851277,0.372823132124654,-1.05989708038355,-1.08632709253686,-1.18374082965695,-0.629995557555808,-0.559851019282131,-0.984609061087109,0.200474765079887,0.682374594079636,-0.464984169797509,-1.77519791736154,-0.238476731487912,-0.874835660322599,-1.03285302721247,-0.440338623997483,0.0613678000539949,-1.28196742141932,-1.95162497102196,0.384919287863225,-0.932727072012421,-0.858636270156329,-0.177692118980344,-1.23984898494781,-0.0519950506715101,-0.0203540522517151,-0.586668024438008,0.299069139376978,-0.592482026240074,-0.225931488831114,-0.945303727895928,0.739115960960903,-0.793699299025436,-1.30148476505164,-0.954471510298463,-0.505482485163448,-1.25222345912595,-1.19990192368281,0.0809155376527783,-1.25829014016524,-0.67925917353689,-0.340828130845528,-0.426646495605334,-0.762400493259737,-0.12269828852654,-0.209916248876596,-0.313028662651737,-1.09289131266885,-0.699648186107842,-0.0533809424398939,0.271997598015955,-0.666481831546114,0.813786341437158,-0.388601286639431,-0.346239102156777,-0.749112698115947,-0.446652347124287,0.154340396111388,-0.718144628712612,-0.016729262561583,0.716558567730949,-0.579672878149474,0.37032601093769,0.882340473917903,-0.470966774861231,0.414442459659036,-0.884702393013357,-0.0327368251696121,-0.526421433816495,-0.747701402589722,-1.25074531970486,-2.04305417839994,-0.958778949806443,-1.03524596184954,-0.876773432375463,-1.01589839131248,-0.0807728365424301,-0.305139204273287,-1.31480889735702
"STAGA_Bs_2 (GE) - TPM",-0.698840396750173,0.638714332274725,-0.0707319633515396,-0.608434478520006,0.116632666432122,-0.546940940443299,-0.301127498650415,-0.196223550373442,0.273003517206999,0.232512818923522,0.0826360786948905,0.143178606055919,0.139155542245068,0.835182744250135,-0.577809150535455,0.128734388949399,-0.500710271813977,-0.715295187840001,0.0306032112951278,-0.0865584077392692,-0.633920660539786,-0.244367311767726,-0.0144922958688011,-0.281700618585728,-0.413483451757205,-0.0104787936602862,-0.669021666995095,-0.894152235940666,-0.212374701202142,-0.790923431585273,-0.741725062207563,0.109339990033235,-0.190582816867649,0.367827127915714,1.22486279822379,-0.322294381745327,-0.0952614932615855,0.244952291135049,-0.346581811006024,-0.164229526265342,0.435379340709281,-0.664449339304619,-0.408877311828143,-0.245009852475495,0.940568815572092,-0.388104734136784,-0.353624210554666,-0.81172925747107,-0.121835378227507,-0.530422549620879,-1.13305229501794,-0.963944875791991,-0.736302025481821,-0.400585362316115,-0.382118885675015,2.13067408555355,0.0108872830111384,-0.319382008668393,-0.873489724047956,-0.313336350150076,-0.272203454092232,2.02626068492917,-0.280467536204997,0.396291619322008,-0.510669896098013,-0.678047828340822,0.52259375248266,-0.863123627900754,-0.326688625110154,-0.45598299192425,-1.85089436749909,0.073336531397686,-0.293829501557452,-0.1847671162816,-0.145906279267196,0.465155570521889,-0.477371339787762,-0.199829858480721,0.0442607438007649,0.371224257410943,0.916835918841788,-0.487111077587887,-0.411055771513146,-0.212457895817866,-0.344159492030078,0.602360905577774,-0.43415212008764,-0.361852707412805,1.76926710967696,-0.551558168456204,-0.476847351620429,1.12920318086191,-0.786657884442037,0.571292743523958,-0.60849126390292,-0.668190536719917,0.264653478408439,-0.939392306038091,-0.368673599740796,1.20781012620014,-0.705625875959336,-0.436978203119005,-0.388391549732699,0.490092273442382,-0.143773207106655,-0.619505512323241,1.32248530480795,1.21394457216201,0.0175181738000358,-0.0526940020370367,-0.978462497757602,0.315621424799756,0.900832640572899,-1.62494727109424,-0.345396661329382,-0.276506964449668,2.36408706277538,-0.788106951841484,0.173292580619087,0.626117226434453,0.497345808648168,-0.666185491726732,-0.534768709264922,0.712760278661434,0.440591406684363,-1.01310329140083
"STAGA_Bs_3 (GE) - TPM",-0.753371015104127,1.30598552467905,-0.212842176833853,-0.787103259094627,0.589642131649164,-0.661337217554491,-0.791387724385155,-0.0842470587813513,0.191735149610594,0.446209326618647,-0.0924890695947652,0.121037756313761,0.761260124482155,1.24133133616974,-0.79925451777566,0.587031582632929,-0.343358878055603,-1.1333319716339,0.0811417380219107,-0.206470877448088,-0.628149005725372,-0.0411002936934693,-0.57621956243586,-0.0252693767178699,-0.610630185645884,-0.0504055375872556,-0.512588526615746,-1.74744206420041,-0.292993085292587,-0.881679246452413,-0.397830536175151,0.136809106601099,-0.0425657576737716,0.0136982012055513,1.50639443321465,0.409808885361031,-0.35944506938927,-0.357706658955919,-0.227957695860842,-0.353809733177766,0.577094900296049,-0.8977878699223,-0.75031575323181,-0.876582423313149,0.828841527569293,-0.0979892985217388,-0.432881489908806,-0.806749196991514,0.574100311505707,-0.578267917614768,-1.08341248085663,-1.3992067492687,-0.910140518263983,-0.688522068293993,-0.351785467344601,1.71428106031608,-0.0169738736712243,-0.243563152891453,-1.20177324075206,-0.341642007779053,-0.104922322992808,2.36631705615493,-0.463854988987625,-0.562529572207018,-0.561014231245616,-0.818289531615985,0.258175832912304,-0.966529650957892,0.146266790722479,-0.214743141497878,-1.8167773665787,-0.0206023752256044,-0.574325006887578,-0.300651967466481,0.114844370877986,0.967209598153003,-0.77997493376782,-0.194347581941222,-0.230544280551797,0.474750494384005,0.327199379885472,-0.429568640227625,-0.231630775724116,-0.254089387268921,-0.00193287918760452,0.617638749372348,-0.547681507389966,-0.240263835693823,1.44473537106316,-0.354471490093219,-0.428487156680798,1.46248067874451,-0.765715224217414,0.222959988156798,-0.640885927085286,-0.524273662584401,-0.223392378105862,-0.918865886042312,-0.635589517120807,1.19855865646352,-1.12057699963872,-0.012696315596126,-0.159071466614787,0.386206435167796,0.194716385910029,-1.04414745612452,1.21988610286466,1.1778576577691,-0.0229961596259297,-0.296336370799225,-0.775438462884997,0.713033270640808,0.350907379954871,-1.37729347414491,-0.522793676475515,0.0790573129907277,1.29191142710392,-0.882548331516328,0.261295009575064,0.989512724623404,0.648474202463239,-0.792104666531811,-0.694785217104068,0.248508732776093,0.434114395005962,-0.880449993000891
"STAGA_Ctrl_1 (GE) - TPM",1.51104224463588,0.728287539849098,0.512038779799874,0.838666250544231,0.726017511007472,0.208516828934073,2.02223310614011,0.853865863211532,0.330432710016347,1.1754967057586,1.92878964722716,1.11052268925431,0.474028605356668,0.412812041612409,1.41220301772517,1.56136216437175,1.42338039908621,-0.267853738343664,0.887469744726124,1.31802559444022,1.41786490017788,0.871758825428509,-0.856201277056229,0.86624824732404,0.226601812725149,1.63967373259714,1.52173238169978,0.267822151372972,1.28482641663898,1.62260235116747,0.791064082505224,1.00689751136858,1.2234289796754,-0.422632000220252,1.06390611040243,-1.27113791768281,1.72441861801327,-0.640928648300063,1.33201428743508,1.37493578865956,0.280188721071313,0.821773679113747,0.418723782770117,1.26849763249689,-1.68867894329462,0.433507566486984,1.02942408752817,0.48060313106519,-1.59711028773061,1.18732702646612,1.56407693139379,0.847951477583995,1.35564163515903,1.07308451812418,1.98619535477676,0.631568700350629,1.60866336024496,1.32076925798197,1.16440830883052,0.950585491208614,1.59571425441891,0.415615208386376,0.598900804148286,0.810982599217332,1.24493608905981,1.43940109222742,0.288249278023391,1.11253411797915,1.2455380843477,0.566886734627024,0.154749797370228,0.3896416016984,0.112233307756981,0.980040860340329,0.338123677758987,0.823688476374604,0.340484212986082,-0.901896782706002,-1.21285405264449,0.237176077101209,0.691932606292598,1.47092067236127,1.01618363365965,0.881928061928692,1.50421190762804,0.0754533483823276,1.60378809563704,0.747103840734104,0.640499919400764,1.15866148047556,1.150367200522,-0.540049698024925,1.31500227812747,0.955760211817389,1.02593084366051,1.08636784080969,1.72793152550751,1.36483273680893,1.12899608711695,0.516248235653341,0.90459038023218,0.434720250264336,1.70765179704789,0.615676245095066,0.0759065581888915,1.48797940733988,0.604690561118492,0.36766140946718,1.37671159381804,0.879676000829345,-0.142783657845024,0.356159808054545,-0.0476899218547072,0.568902148844373,1.28591968554308,0.0429387497697433,0.26343271075015,1.5133398673483,0.187066816442712,0.235719361186002,-0.0527891814931516,0.304792823041165,0.543170273639517,1.05472236977828,0.83315741359996,1.09987141387949
"STAGA_Ctrl_2 (GE) - TPM",1.01567763913462,1.08841445412439,-0.204176391891165,0.204361104848209,-0.548700114552992,1.64396874847545,1.85224186044105,0.687272186949367,0.594979141119217,2.19213722519026,2.01712118657012,1.13045897664773,1.02990659281707,0.514274072446433,1.49653313739971,2.38013837835536,1.14712700521718,-0.316021752245168,0.286960431565864,1.30799727128708,1.59673633089864,1.50979769572492,-0.732418288197402,0.902566139267231,0.00841838466572709,1.3490642206683,1.67430982405067,0.720865372937685,1.21243965661525,2.15269209802414,1.21668802656725,0.601728453617092,0.785395120738921,-0.876007941583904,0.878312242360736,-1.09644994832313,0.789399926295138,-0.90821840110938,0.586391976012783,0.601009233082315,0.197172969587767,0.775971961061372,-0.212028211702637,0.954496016866945,-0.831222180434901,0.405241575835481,0.609196277358399,0.0908819956787155,0.00154520746987093,0.330116384239521,1.73968078132875,0.192395317169297,1.7250973829281,0.748428906301976,1.50755998042781,0.499768391301119,0.190847424797834,0.836724873182497,0.507337525312316,0.821538517330303,1.5473111250607,0.191593898154034,0.340839533829998,0.116956568752317,1.1097160400523,1.2512696108869,-0.166656625596491,1.4621276328497,0.658502125730409,0.529445091646864,-0.0808827831271066,-0.0528909099547627,0.188462091254934,1.4038068349366,1.11757223063856,1.83637998302187,0.857870121129391,-0.775948929917991,-1.46406851686414,0.484952174382812,-0.0392835718933443,0.554179512162691,1.29673893391613,1.27390771911281,1.25735389528691,0.351530137165293,1.22652341330053,0.502036899286058,-0.255957524913938,1.20099331951935,1.45227257430068,0.80541094199594,1.86094186034757,0.588266121066303,1.31974873086866,1.35448550122637,1.33551694092331,1.38592146176302,0.134799070149861,1.82685254175791,0.949971928941759,0.635965024661181,0.89263422766578,-0.0240701965553635,0.326248473415445,1.42428980227347,0.0340419533896176,0.170960021298947,1.86869719212555,0.95894620923693,0.67602165286574,0.348698953524816,0.327304051128005,1.11639904598167,0.891043516342657,0.385617165714581,0.864165530398741,1.16950277765734,0.204891205779495,0.129105506912378,-0.18943276602329,-0.094386144756367,0.431300551651934,0.321502425871638,0.383172830026926,1.65972343060639
"STAGA_Ctrl_3 (GE) - TPM",1.04692694949815,0.497565550631916,0.0883876513703742,0.662394252945738,0.864198782263446,1.78035436582736,1.7788291216108,0.490533929108691,0.549637644650195,1.92399050233574,2.29357232002045,0.83658210947719,1.00875399579635,0.905368937702671,1.27834140464513,2.11831709848621,1.26816370552858,-0.357785647890056,0.467290064193066,1.23155222426071,1.80360199171989,1.41268272136141,-0.919670676064392,0.548546693518404,0.038261596706758,1.78152486655858,1.96524066615136,0.967458524087585,0.922560621358471,1.55358190130149,0.979425141707505,0.428527593746216,0.497204588554168,-0.692769140454226,0.744703967868234,-1.52639122277589,1.09872249311537,-0.709020588655908,0.712221454446882,0.531326147780702,0.562231121328679,0.60804294040187,0.101390599083225,0.608668119469712,-1.43666598669161,-0.119142339102226,0.743267430928532,0.27448027877182,-0.896488920466086,0.775258477312311,1.57214933831141,0.462358079264669,1.60097366427796,0.748191762046061,1.40061315519139,0.385856411697778,0.261147185087144,0.608722725093904,0.456319253907586,0.495967376836613,1.66728927801862,0.125931371400846,0.299068522998821,0.2506103041067,0.878748653768369,1.31148241636342,-0.112523228338995,1.24358241109332,0.930870686163042,0.823570532141325,-0.466820749024048,0.00259587008309393,0.277786840294438,1.2486462117683,0.920979611304921,1.56436498390047,0.757374078388089,-0.992538801581072,-1.51976840795928,0.535133272413604,-0.211510855164122,0.777973515944136,1.22505153131208,1.45130082047129,0.903241380920527,0.807688153408488,1.8965926174966,0.445244784505847,-0.424816404653909,1.2382166009446,1.540556405006,-0.104761580198275,1.4468472805337,0.673629245207433,1.08571374902024,1.25696054570971,1.37274824453846,1.58997837597062,0.98006542883031,1.26018785823784,0.912671400853089,0.753247489127262,1.5364950072408,0.243435754756003,0.459755371338917,1.28198889116607,-0.0188407989510458,0.107024965287711,1.80870378854977,0.926146432806607,1.09600309512967,0.536141295958538,0.685723179619999,1.27776703867089,0.790949893829694,1.87195398600726,0.613160119768161,1.37362693791095,-0.0743894049188801,0.253515223483267,-0.0393508331932906,-0.28736243010346,0.350247218017823,0.551389287400835,0.523777307827316,1.72314276648826
"STAGA_Li_1 (GE) - TPM",1.3764670405247,1.88815888726394,1.89439499827643,2.18566042980498,1.48457318229799,0.0454518920882717,1.27657933994793,1.44916414642034,1.70578547900299,0.889480548882468,0.844933945551341,1.3701608880065,2.5733532491309,2.30852484203576,1.48588257196168,1.53491232807584,1.93675130767689,1.67301405840018,0.324317900987772,1.02199529752824,1.31423816535904,1.08240925800828,-1.01149024956096,1.0243975601561,1.13726826000112,1.44171994992951,1.8755523794527,1.95571393838515,1.60997094518901,0.61294809817547,2.12964379746381,1.76758110914381,1.69187824989129,-0.0336351528883008,0.830230607767577,-1.01750785147503,0.989575989231062,-1.49612892745753,1.69339315558153,1.3501471214198,0.788188788173556,1.05676396961243,1.36728026309103,0.933917758478648,-0.631697947933358,1.57036117973482,1.29784754282962,1.27817439778192,-1.62923836470287,1.50337153402029,1.39115537328193,0.894326047297017,0.943199801057775,1.65209415990657,0.919147973013812,0.796350658182179,1.34454061870685,1.29939008258104,1.55647904533283,1.24794594604416,0.834600956233513,0.593365678113594,1.92728686284422,1.31147362701773,2.25275134280581,0.83547285016519,1.26910035107868,1.5977819500775,1.35282030033392,1.11086078903833,1.02289465741491,2.21646795438546,2.189666222863,1.17601743387512,0.444094724955209,2.15698643254682,1.2103755911667,-1.72454819842588,-2.01218655981945,1.19024588684444,0.794873695025887,0.79533362037416,1.87214332394134,0.796638779896058,0.846889066522687,3.07601206664109,1.36399891610116,2.31828300952995,0.266545563492172,1.46634119393014,1.72528091026803,1.95140580948139,1.77589015737385,1.55953108419347,0.601758599522671,1.63131471483503,0.686521149838226,0.809348836331548,0.919589752478562,1.75910734245331,1.44942933469814,1.3680349043631,1.6389937540347,1.65612053801682,1.48896504005733,1.16198167549289,1.70906116309647,1.71452980463069,1.32641526885332,2.02006660232878,2.2945683102156,2.24504483619649,2.44657204268688,1.75971330321331,1.02805733558955,1.24484186801532,0.874097643510787,1.2231026284595,0.694693797608562,1.11717436333181,0.278426857809417,1.1495386617661,1.03344431600305,1.16492942383814,0.833325477176642,1.3894040455389
