"","ETEC_RS00040","ETEC_RS00050","ETEC_RS00370","ETEC_RS00420","ETEC_RS00535","ETEC_RS00845","ETEC_RS02215","ETEC_RS02670","ETEC_RS02900","ETEC_RS03435","ETEC_RS03635","ETEC_RS03945","ETEC_RS04650","ETEC_RS05040","ETEC_RS05380","ETEC_RS05385","ETEC_RS05630","ETEC_RS06605","ETEC_RS07755","ETEC_RS07795","ETEC_RS09120","ETEC_RS09150","ETEC_RS09245","ETEC_RS09485","ETEC_RS09500","ETEC_RS10270","ETEC_RS10975","ETEC_RS10980","ETEC_RS11090","ETEC_RS11560","ETEC_RS11820","ETEC_RS11925","ETEC_RS12320","ETEC_RS12325","ETEC_RS12590","ETEC_RS12595","ETEC_RS13185","ETEC_RS13200","ETEC_RS13205","ETEC_RS13495","ETEC_RS13980","ETEC_RS14055","ETEC_RS14745","ETEC_RS14925","ETEC_RS15250","ETEC_RS15325","ETEC_RS15630","ETEC_RS15635","ETEC_RS15660","ETEC_RS15665","ETEC_RS16075","ETEC_RS16170","ETEC_RS16440","ETEC_RS16685","ETEC_RS16850","ETEC_RS16945","ETEC_RS16990","ETEC_RS17055","ETEC_RS17210","ETEC_RS17305","ETEC_RS17975","ETEC_RS18120","ETEC_RS18125","ETEC_RS18265","ETEC_RS18410","ETEC_RS18470","ETEC_RS18570","ETEC_RS19065","ETEC_RS19545","ETEC_RS19605","ETEC_RS19815","ETEC_RS20025","ETEC_RS20525","ETEC_RS21155","ETEC_RS21315","ETEC_RS21525","ETEC_RS21565","ETEC_RS21620","ETEC_RS21640","ETEC_RS21895","ETEC_RS21965","ETEC_RS22015","ETEC_RS22115","ETEC_RS22215","ETEC_RS22430","ETEC_RS22505","ETEC_RS22695","ETEC_RS22765","ETEC_RS22940","ETEC_RS22995","ETEC_RS23045","ETEC_RS23770","ETEC_RS23890","ETEC_RS23940","ETEC_RS24135","ETEC_RS24205","ETEC_RS24370","ETEC_RS24375","ETEC_RS24790","ETEC_RS25290","ETEC_RS25295","ETEC_RS25420","ETEC_RS25510","ETEC_RS25900","ETEC_RS26320","ETEC_RS26585"
"ETEC_As_1 (GE) - TPM",1.89526502100255,2.14600606145247,1.14018191192471,0.487011713004439,0.904298429968045,2.38278714949512,0.763619892544278,1.15359488773501,1.34292276570396,1.6078298980359,0.554962913865461,1.33135677927888,0.161275082126948,0.103139888269986,-0.189779697334482,-0.47120355264439,-0.266393941369696,-0.520137822192706,0.27895357589402,0.118499526842716,0.785664685562249,0.901988713014594,0.509142699697359,0.75271594490538,2.0536107301529,1.80491142122459,0.718336779573931,0.12646285919835,1.53810990868138,-1.53357764816372,-1.29057071378898,0.278973221294575,1.69015501401864,1.8965215373761,0.0239492458241796,1.10986747619037,0.201187620471673,1.62306734441605,1.30896732492361,-0.175641216089113,1.24914921887062,1.12495917174407,0.669076926719038,-0.384297247454624,0.642022333550187,0.881230700102278,2.43809230395096,2.69433520545978,1.47913922665442,1.65015365933595,-0.383620175690709,1.20655556092852,1.15864107378124,-0.587553199336425,-1.38907579862063,1.40838803107839,-0.72987310676652,1.3096302398768,-0.298878129264578,2.30475379638103,0.938808813387531,1.18814827348903,1.50319922014521,0.227882791107777,0.337636003800405,1.87386753675663,-0.549270742426284,0.44105133154992,1.09741029003959,0.294355221192295,0.53935694057343,0.938055305272507,1.46495130671034,2.20321424324359,1.8893228658558,1.11306800510767,1.33378448305181,1.83930010018384,-1.20728187680227,0.923520577920914,2.03720756726198,1.80878951644579,2.67788747761551,0.959671824041892,1.16252780885545,2.56939183565831,0.41438674454628,1.66545686831156,1.07813360119506,0.131287477541345,0.728503749855871,-1.5526786208758,1.1980405037228,2.18055396861073,1.02124312156865,0.726149042443796,1.14516208581656,0.921593348467344,-0.283103025022794,0.0630373257023788,0.569296774860195,1.29044367637751,-1.56620909134033,-1.07683075228245,-1.27756177303125,0.509579175784834
"ETEC_As_2 (GE) - TPM",2.085542346441,1.72982771892684,3.26832851502165,0.689516099549899,1.95178718575424,1.61991878788064,1.18571242581527,0.0167977744695209,1.118056125038,2.81376603974967,0.796949591766256,0.698806547261256,2.16048097534211,1.11798434036871,-0.108763209818572,0.231764517668126,-0.562953778705816,1.20653997939394,1.76255309942606,1.78205045084208,1.12556691667882,1.68839539449049,0.899137512503987,1.79520269044711,1.09709658818146,0.909077864323461,2.16671991741076,1.79338673326442,3.12160870517835,-1.55347329676854,-1.12606598244172,2.11858380581391,1.4662148704655,1.54247617335794,1.67525516001835,2.00904453935487,0.791041875214882,1.73207675151941,1.62965533810247,0.338913803386916,1.81170764630434,2.79150418632391,2.14969751512435,1.85570831042933,2.87282081366432,1.74119710418784,1.74308546842287,1.33713996879576,2.06989999352606,1.18480089788664,0.956019846776239,2.0999760941453,1.7487758666811,-0.71446352189958,-1.40794740362937,2.28522425164707,-0.789763268656632,1.9984460787083,0.946827012395202,2.29268340210769,2.18068188450604,3.55657719599975,1.95493402955151,-0.161849959950831,-0.543638640728729,2.35676502808192,2.04267650702854,1.80692668275045,1.69299222924223,0.728792167340806,2.4376139739991,2.17153360743743,2.27996364918024,0.736938685492124,3.38374801687169,0.288404431002089,0.827796614917072,2.99901325086255,-1.02327936372831,0.459095967059701,2.33814522954277,2.84545779169879,2.80577391719254,1.21274552327248,2.87043800276895,1.21238534326533,0.780803454738951,3.33298173117772,1.37598322405984,1.43964185843789,2.72673613012933,-1.43252996703154,1.52523768382969,0.927974976395488,1.64489232384529,1.41293535522477,1.65472700176626,1.07267195546807,2.99132535852936,1.06966934904797,1.58400405974681,2.05458734272557,-1.16493635155207,-1.38962474749006,-1.29416382924147,1.3992134355755
"ETEC_As_3 (GE) - TPM",2.38648025946127,1.51027709451201,1.42847462481185,2.06355860268873,1.12407514958007,1.35426678831682,1.04753718653344,3.18709157342141,1.04610539662614,0.956914697099545,1.4699235831862,2.05949857659877,0.632644391934911,0.359753128789161,1.0774128068299,1.00211379827333,0.807533064742822,0.349866739649836,-0.142725598037344,0.482627219588045,0.123491347026641,0.808800465926468,1.64480411166484,0.967495589819632,0.786767544715602,3.16356196757616,0.889734912406137,1.16494849558774,0.7235911842141,-1.58116442947018,-0.832084892424544,0.313711183934258,1.13366502102652,2.34522056666793,0.376572295206144,1.04168833328217,0.79691978083127,0.821282108900888,1.60204561427459,2.03158085977922,1.57129359676758,0.869409362577313,0.986045614070988,0.933125337354777,-0.494445772167291,1.270984649469,0.780229355871789,0.699105414514952,1.04062654455681,0.63959522831721,1.08325295265087,0.855965417582102,2.2202466754508,1.18513288658844,-1.28802552813516,0.781059633197866,-1.28376182871034,0.643169463005631,0.156979709994597,1.50356446684314,1.7005740005263,1.41674025813594,1.87394705681635,1.61362318548648,2.3746273929706,1.43874707973449,1.27361044884614,1.09338388235008,0.393706644672403,3.17717237307452,1.30133204291556,0.714209732136744,1.33192634888746,0.315380261139585,1.08305219574451,2.22712936465464,2.67614208984125,1.24899376365302,-1.01955445126054,1.89767878824511,1.49374262987337,1.55028348289864,1.78300309006133,1.06993054540676,1.2590772255599,2.62428121380679,3.09709163755722,1.28037691909298,1.16946352655565,1.13628166472683,1.47772701892763,-1.44075873199849,1.46438285002255,2.49637056977629,1.82114342240657,0.639810743834709,0.897837609710894,0.945375715496501,0.956043341229724,0.397086783110594,1.08829083977241,0.16796055815139,-1.23987437494511,-1.03802265023794,-1.04177289411436,0.204937744552014
"ETEC_Bs_1 (GE) - TPM",1.26467854203157,0.556368655430701,0.369728144504276,1.78060797128644,0.283889694658308,1.09877561311632,0.72869171861443,1.49670115657799,0.214000952609116,-0.062543114566557,0.846190336764527,0.655894562104865,0.19972910356997,0.625447446733258,1.67434584810486,1.72733912590808,1.17612229122681,0.307815888251624,1.04053360488762,0.209252783996064,0.674649590597229,-0.299921390150056,1.50629182315584,0.307057935039666,0.46394851775335,1.13266832945758,0.0638447586855982,-0.429876655833495,1.87376540828332,-0.264699340831922,-0.545231177843039,-0.439109961532531,0.929669656365879,1.01550120109608,-0.136714736362367,-0.0357472126237559,0.979515101775774,-0.152156767817828,1.21641797573102,2.01371421740592,-0.123758193790852,-0.0203150652178765,0.298397991937998,1.19698178076164,-0.494445772167291,0.132442502224891,0.738038569988134,0.628333409923319,1.38036444491866,0.746534049098249,1.24398348050729,0.617439359653204,0.636536228251933,2.48904859991262,-0.449134892397036,0.543086068812493,-0.623394756653442,0.362616620026491,0.714087679164935,0.2789873481617,1.37466801710048,0.664310284300081,0.537761464501577,1.13894673898326,2.23422026581636,-0.496604992522582,0.117939335807309,0.531320841637598,1.02105872089635,0.587895293710824,-0.270612341712632,2.94101352398375,-0.116846056890084,0.573267622969851,-0.025061651832143,0.932670329363463,2.11540720666487,0.217009388733705,-0.578080488952072,1.31534923542588,-0.100915627569889,0.142776502335492,-0.20532196131116,0.417003957735704,0.22910293947787,0.325248252875052,0.677617265117866,0.14300086277983,0.530955032572672,0.837580593923305,0.132684425515204,-0.682595554198467,1.01920066466689,1.12189482417166,0.747575558464319,0.126717911549575,0.065266463004511,0.360225903965175,0.364606124007034,0.969160453940706,0.697581321560512,0.131561408732931,-0.731109778621289,-0.627838633941124,-0.73182273614548,0.930550959498038
"ETEC_Bs_2 (GE) - TPM",0.926290298897622,0.466407356961028,-0.220152991716354,1.27499270544896,0.161479054629766,1.31364371932361,1.54853346088432,1.05906068733804,0.213453896123856,0.268848439073095,1.72285758448752,0.843796590111608,-0.353557481346951,0.0808943946586365,1.17369204824976,1.76359363170437,1.37472980230041,-0.180660989819347,0.301784582260723,0.0050727576659053,0.92154910667858,-0.118370760181111,0.829250653807853,-0.268491742270022,-0.331845418474359,1.27249869692869,-0.162032818216687,-0.350369340747012,0.521898804805456,-0.461879881167336,-0.469373029425555,-0.497379096427872,0.7191824097596,0.510265440935158,-0.485157861627179,0.354870599908236,0.607457546860742,-0.163561849222963,1.06009571697398,1.30319579619279,-0.351200347785768,0.326095088594013,0.200738545685576,1.42672572949219,-0.494445772167291,-0.100321531218336,0.740544206304966,0.644868850991221,0.888909779503827,0.549007274525946,1.30361270621375,0.655307728341996,0.889977640775638,1.76929903750745,-0.347149874641477,0.731676598697086,-1.1062162409294,0.319292588229151,0.211387829950191,0.335089999665371,0.592759005078073,0.64738002702143,0.781960036693217,1.0346093662038,1.62756193861424,-0.205694966095794,0.379459532973016,0.16140709667973,0.638592483932152,0.507282344182192,-0.582332642282296,1.36249305560095,0.113884139517538,0.339427451271222,-0.165749647541372,0.550086276107213,1.64155634311757,-0.0714541165981276,-0.845523297038315,0.786101880957238,-0.189942972991418,0.365497068971412,0.177036913122181,-0.263106992807469,-0.0271120329187809,0.329516417510631,0.617716665837565,0.150596201416783,0.594349750136339,1.28623411472174,0.244950378663839,-0.906322238052209,-0.701143675337054,0.219650401253831,0.703221010272655,-0.0564831968883156,0.288007639734952,0.661661704104398,0.570736014685386,0.93254158984063,0.233077128539548,0.22210017068448,-0.906122512327676,-0.61524126776179,-0.810422106069758,-0.0893335597279716
"ETEC_Bs_3 (GE) - TPM",1.09233095471519,-0.12101831802731,0.0297865797474552,0.545191859279404,-0.204812501435665,0.0488630414467933,1.76552581003294,-0.688713969474757,0.971945053828143,0.462290111924803,0.503223809158631,0.753022337655678,0.00447115927597449,0.567967567658892,0.837719730204486,0.919109459698588,0.503494703812964,0.392226208828431,0.855651991815363,-0.311974556350967,1.74188342433586,-0.41943137785081,0.939711770413739,-0.128481362033285,0.21152545621382,0.212812984411306,-0.0681776832502814,-0.13176573268805,1.15433924217606,-0.343220601286479,-0.759639703979109,-0.552375521972684,0.511798301752736,0.216826901006925,-0.458158191405029,0.661897654205018,1.17155848495986,-0.419514513938006,1.11105001682604,-0.687505158110794,0.905010453402204,0.112122879540665,0.441245598173925,0.983327126242443,0.304276131402627,0.33992037612074,0.402626265898989,0.0140630100177365,0.767902743595705,0.769839759465971,0.965636231879398,0.94415953779588,1.15518467609291,0.589961740258626,-0.370844978833131,0.303830573771421,-0.783341874138556,0.718926153338578,0.497472938540502,-0.0215842241041656,0.573204794424936,-0.256867158537397,1.42424216769795,0.764326023023575,0.823058578525808,0.193619985460347,0.425867671946301,0.425785610422952,0.890100223530574,0.338399706431989,-0.891445094277785,1.48277825648913,-0.595678578833367,0.550884567146568,0.236310463393806,0.477342601779632,0.461598776697825,-0.053787527604438,-0.776534630975537,0.330802381239883,-0.488647739556371,-0.167227411734588,-0.0723465733625246,1.14333917275592,0.0583795496644329,-0.385057119151115,-0.100673569423508,-0.410562786488126,1.46256307071681,0.0731526304315787,0.0799671305842584,-0.788026385534748,0.312884182776312,-0.817884175461236,1.52719968739457,0.374942463782973,0.189751697415637,1.09897086785882,-0.289697423641859,0.28718734692452,0.902942316484911,0.470871010605067,-0.446640298801641,-0.535242288515549,0.0753986985012565,0.138048342156099
"ETEC_Ctrl_1 (GE) - TPM",0.594126937405381,0.308909244280657,-0.0444372556553755,1.21474746372011,-0.0782351653180662,0.0776392639798356,1.21546491780168,0.400752432558616,0.617570177376272,0.14752044507535,1.67966533922395,0.480729552339638,-0.0680441282610426,0.431114636108507,1.27281538103034,1.9481610174744,1.85360353974652,0.490646520161864,-0.674799365575431,-0.176279108671209,0.424438205706514,-0.428186650272253,0.692460126345937,-0.460323669714932,0.595924340001199,0.643963010056179,-0.262795211521767,-0.539233690971367,0.770493603123248,0.628697340317664,0.0851367197830941,-0.093329377170115,0.51512295045772,0.0244138881562387,-0.285754434435134,-0.27171014417898,0.248192226045877,-0.498438949508874,0.704457268251576,1.79287098944672,0.35028212316021,0.0563204107105649,-0.672156961004814,0.407040910220346,-0.494445772167291,-0.21351841579124,0.111892937118057,-0.144620951016621,0.452380519355008,-0.410188524478614,1.44657278138551,0.414633640411483,0.752802507973392,1.70687991691232,-0.0534051957105055,0.229252324925837,-0.755377314569194,-0.226064933533925,1.21318190275963,-0.0364489553807468,0.753874195155614,0.538107885617229,-0.00948728591516567,2.12270450144178,1.59318624654045,-0.303309906396615,0.353239767316357,0.198023464847202,0.283347342335634,0.389273619823856,-0.537788238352392,-0.0457890774433837,-0.446427323033942,0.147502505371629,-0.250720117072832,1.68664573929257,1.62421190218253,-0.036656949732303,-0.509878198512685,0.890533319525418,-0.281324132405083,-0.374108784957132,0.164332568478788,-1.16156526376881,-0.050910486029805,0.942815419626433,0.26784535015764,-0.00102760544961681,1.11511593637226,1.1421803003783,0.348139373486926,-0.161221832945795,1.24634275604851,0.6165035953947,0.100045773066191,-0.108113398585647,-0.122159847413347,0.153796318259311,1.33276724049495,0.710650163855023,-0.1382237462192,0.434473701004452,-0.901822512199493,-0.872048125496602,-0.822548428656973,0.730151437227122
"ETEC_Ctrl_2 (GE) - TPM",0.459566842700921,1.62360243909385,-0.190622538462636,0.637689428444063,-0.693735143662162,-0.524004858106774,1.19132245119167,0.702914345980213,-0.547453798563758,-0.241999426717105,0.809810465107337,1.05737616999268,0.108592661736408,0.542287243099969,1.98353265632625,0.315046570431919,1.96166036453324,3.22694290566768,-0.285972138663849,-0.773781830581514,0.108605541195793,-0.463451931981209,1.18964797365478,-0.476324453794585,-0.204112247386188,0.431734443977225,-0.545409564821021,-0.382603660179554,-0.579510183156861,0.798159574244124,0.66491445393696,-0.270751347044986,1.91992290799292,0.698500059008697,-0.703396526018642,-0.290379991387689,1.08063824754356,1.02473602781371,1.33954016911281,1.65466047707276,-0.110363730555701,-0.405921605577631,-0.335554326899526,0.229329826300423,-0.494445772167291,-0.346357116862399,0.391077336590609,-0.337880060782981,1.98219181370025,0.340109673956533,1.24854848958157,0.308961945128164,0.186812249205922,1.51529358485651,0.111821303655507,-0.456015078778766,-0.821916899524889,0.748924478062529,0.313157977147503,-0.0750495089354098,0.36463234647574,-0.202252129615873,0.241295598324488,1.54807194531338,1.29967810242292,-0.371074225286995,-0.701876124516179,-0.348166069037907,-0.0253935581866786,0.695839239710891,-0.804686678137661,-0.555537168548133,-0.030077356517473,0.365159742593672,-0.625286482554227,1.40316705931382,1.79066701558514,-0.198023162764185,-0.606432890508765,1.15744886905474,0.617099161294951,1.03768466305375,0.0275272522145728,-0.00895836005137907,-0.41066318620117,-0.635752263098853,1.12397733050654,-0.445383792137394,2.17162790312057,2.10010114077252,-0.51248646095799,-0.223989338023864,0.187791181679256,0.805407494934054,-0.389433659680098,-0.596342318781551,-0.532123498323292,-0.167877282434194,-0.130204381869934,0.361101325980643,0.0186127199529681,1.30936540373835,-0.403795310464466,-0.995305464613196,-0.826315450724978,-0.0149871812261636
"ETEC_Ctrl_3 (GE) - TPM",0.806546446906561,1.2210943012805,-0.0270790898948758,-0.0116366904671207,-0.744371447591924,0.479400491229197,1.2393109065866,-0.65969724382166,0.737774087527857,-0.188111067717931,-0.373085605697138,0.454940652551683,-0.381060679075649,-0.0267441878573715,1.0888619966199,0.876415187469101,1.57390302750345,0.410886900831152,-0.507518934062167,-0.343641259635686,0.932277543238511,-0.575151535644364,1.06215299464148,-0.302277161660376,0.724201374109378,-0.0134241985439494,-0.463490839937868,-0.120529282765531,0.198888017063182,0.916519194332824,-0.00371135954373503,-0.453999031986619,0.662144714303157,0.186584478300979,-0.546788963449627,-0.425786593864164,0.847683964310468,-0.138887243083582,0.801907608417496,-0.453005644166121,0.0567488206707291,-0.2672285598476,-0.0856253288920027,-0.173330612581643,-0.494445772167291,-0.000687960531498766,-0.276788006336838,-0.242417064583273,0.545830171955544,0.171722623516758,0.220810750413828,-0.0214834091195696,0.139878362854515,0.126236253179903,0.208864131178678,0.0974437412404908,-0.76061816984806,1.09931210612532,-0.119715534803212,-0.414482208585743,0.182407885846612,0.478133460201655,0.358534697307178,0.670281123601084,0.476016051087774,0.0109251304251858,-0.439387337878116,0.20573499645003,0.276662219282843,0.278928974533031,-0.778818857032528,0.602760499998308,-0.287304760265189,1.08628244569735,0.00260360410319012,0.196083279366995,0.558058284926447,-0.26264884641943,-0.624094007711981,-0.173203238417431,-0.161220221465881,0.161316000405574,-0.372529436379669,-0.462181197034421,-0.448111954896074,0.117120525111021,-0.216684651277265,0.0442033959158303,-0.300130225940454,0.945077773096808,-0.318798186097631,-0.177055122453477,1.11491954065208,-0.885809615585881,-0.456743900730784,-0.502254891285363,-0.263474166629776,0.568824975484675,0.32057155457615,0.946662714540453,0.338585990496793,0.439134460955189,-1.15270282493299,-0.999138690052821,0.116864547971796,0.757517238939288
"ETEC_Li_1 (GE) - TPM",-1.14315229985196,-0.481585348877207,-1.11638760254876,-1.12326101201986,-1.30720420061024,-1.17507199069046,-0.748624428414669,-0.631772102631349,-0.493906795360556,-0.964961974352681,-1.47474219603568,-0.975676861381407,-1.00118175256834,-1.53609713342926,-1.13028633529192,-1.08951312930558,-0.613797300114959,-1.15754357033337,-1.02399177417857,-0.755007807944163,-0.346586133494453,-0.649004695723781,-1.57622782843537,-1.10224245890287,-0.937345168407681,-1.0629225837221,-0.156197989798728,-0.876871495401782,-0.227335304723382,1.33169669867913,0.168201214756247,-0.606075434127608,-1.24974499784783,-1.33818052077905,-0.946007404302198,-0.958262182036834,-1.06093204297703,0.919385884257363,-0.797961951032097,-0.397092690590772,0.00632814107088982,-1.38267868042145,-1.47107703890006,-1.41337932795368,-0.494445772167291,-0.822815480249099,-0.415321758806008,-0.998709944050136,-1.74226900316328,-0.940123620627847,-1.08508852044089,-1.10581383433293,-1.22818838990539,-1.07337880444465,0.804308313030832,-0.528429563595427,0.247143103122741,-0.609161568893767,-0.759962360897017,-1.1201747804542,-1.30244453328483,-1.15555220775769,-1.07420144800501,-0.870566044680421,-0.816460379389292,-0.587546864741978,-1.34874495347679,-1.33905728698294,-0.179540617208714,-0.959336104730204,-1.45850740308744,-0.0263750778984324,-0.876316037003726,-0.447451350247869,-0.828194134634445,-0.91282223750676,-0.795401420462292,-0.548458147695426,1.25441013084299,-1.07308053258192,-0.752874725113189,-0.715556615725472,-0.480447195299848,0.645553259948753,-0.845731523484744,-1.17776222337404,-1.24819647519122,-1.0197161939927,-0.897722080938103,-0.854878350123278,-1.00474593547326,0.388124987315935,-0.654770803273048,-1.04031983949209,-1.144974116381,-0.786296026784517,-0.413802431794026,0.164250768180333,-0.0383143921683295,-1.28428825847697,-1.47236890024882,-0.717657449350026,2.16264022037029,1.02876625512436,0.549465680540224,-0.475593219042861
