"","B4U56_RS08710","B4U56_RS08715","B4U56_RS08720","B4U56_RS08725","B4U56_RS08730","B4U56_RS08735","B4U56_RS08740","B4U56_RS08745","B4U56_RS08750","B4U56_RS08755","B4U56_RS08760","B4U56_RS08765","B4U56_RS08770","B4U56_RS08775","B4U56_RS08780","B4U56_RS08785","B4U56_RS08790","B4U56_RS08795","B4U56_RS08800","B4U56_RS08805","B4U56_RS08810","B4U56_RS08815","B4U56_RS08820","B4U56_RS08825","B4U56_RS08830","B4U56_RS12315"
"SEPI_As_1 (GE) - TPM",-0.244779688717346,-0.65209541708205,0.024657808619852,-0.708473856447131,-0.506414111877071,-0.530925049099528,-0.58547588541304,-0.697512361642556,-0.408427562414087,-0.214874624488673,-0.893579014472465,-0.590477311730547,-0.804064970874498,-1.2466789427384,-0.972825260989701,-1.01670452528197,-1.1659239876568,-1.08113957153174,-0.827531600565047,-0.551135622670644,-0.883515704643208,-0.760222421797844,0.100944465824604,-0.21392701935807,0.1291669011611,0.0519924880784926
"SEPI_As_2 (GE) - TPM",-0.318064893817485,-0.675711709792149,-0.158636927321571,-0.385987472717407,-0.715396135566146,-0.535464378579157,-0.481899180790781,-0.516493440564672,-0.511641238108645,-0.376476311707403,-0.718648961790877,-0.58658901968952,-0.845391625600718,-0.712950383320654,-0.549906924013725,-0.723228188571761,-0.978407102705085,-0.487138862364884,-0.870303912975318,-0.493394479623789,-0.0348002218590767,-0.162175128049325,0.170540513531298,0.441116640571607,0.922234720731187,0.0095512869900327
"SEPI_As_3 (GE) - TPM",0.0339203627942804,-0.784193868198558,-0.328793790300696,-0.443327536801793,-0.642943629071445,-0.772606807308243,-0.520544040095305,-0.474051882835757,-0.566912435031114,-0.42803030387028,-0.508372713835638,0.21059236358612,-0.390360662253948,-1.04871951078392,-0.599815716541231,-0.647306444507685,-0.969503629748768,-0.424072311556069,-0.839754614926316,-0.319396828008999,-0.140889710893669,-0.685536553766265,0.209789217760391,0.643420934701073,0.637986749046152,-1.40794724691721
"SEPI_Bs_1 (GE) - TPM",-1.18685507216824,-0.664902763189531,-0.553425688060182,-0.338070283097663,-0.106806808018421,-0.495828316946696,-0.325489965776151,-0.65405233081459,-0.945744666141557,-0.92458865432953,-1.03928832256341,-0.239209746567896,-0.0204046364973062,-0.53937028067585,-0.844712311866946,-1.0252873788372,-1.08997629574794,-0.986573067259789,-0.256135598973918,-0.601971255349043,-0.923366608665436,-0.929019767852581,-0.425138874567712,-0.375197272203066,-0.130810879271403,-0.455449031224039
"SEPI_Bs_2 (GE) - TPM",-0.543377155199061,-1.14972486482803,-0.71483118265066,-0.104918616875302,0.102055955903039,-0.557431569053363,-0.503632092716674,-0.725104954932706,-0.714427278595324,-0.595031524579999,-0.801662863223378,-0.460979528707713,-0.231648691703438,-0.518052368515718,-1.22070559837557,-0.477784966268636,-1.07718472616277,-0.389116352836716,-0.0775382888245131,-1.06061524900283,-0.884589337998033,-0.19802715093256,-0.399633061848987,-0.804800979125247,0.171107096042792,-1.23550258175298
"SEPI_Bs_3 (GE) - TPM",-0.999810645196818,-0.934008183358274,-0.358158582642927,-0.594434720411954,-0.303167388455488,-0.734187270835567,-0.522646077887938,-0.787117100705008,-0.886346760845056,-1.22343928899744,-0.98163198735238,-0.0778737190976314,-0.512616014299578,-0.660943209030718,-0.482436664950446,-0.544774346067775,-0.821463877200578,-0.838058541667841,-0.419976945322556,-0.641576042636612,-0.884614867584148,-0.225215246810208,-0.387273870866134,-0.129288884159181,-0.29584621453874,0.12701426883987
"SEPI_Ctrl_1 (GE) - TPM",0.558674763984019,-0.0308396157930334,0.680721376751914,0.183193714932701,1.35429497947222,0.161398749595222,0.460650447258902,0.603238658181356,0.412426191025336,0.271802966963662,0.224744901776536,0.499946824927763,0.208740534722348,0.349657702477335,0.599683094760327,1.02568370997591,0.281240338455225,0.81377336513462,0.481645415940804,0.759913222465964,0.838621284735182,1.47621325609684,0.0924980203844983,-0.0376838883441099,0.191279781398548,-0.244868259496652
"SEPI_Ctrl_2 (GE) - TPM",0.3258121775458,0.696432352499585,0.866339073480696,0.972608730489785,0.00921560027834398,0.784436798888383,0.584996995881137,0.256928495564042,0.0415379535869481,0.710987383936952,0.460123062370338,1.30774819590297,1.15481977598962,0.684182624050833,0.309003169705464,0.0552096397268322,1.01430187186131,0.162832032009326,0.860166752534319,0.107107621905442,1.0489350541176,0.294854659374452,0.0204178332645323,-0.243433630370514,-0.427948959211625,-0.82479413685246
"SEPI_Ctrl_3 (GE) - TPM",0.347760737978833,0.0552571535388736,1.44087418581151,0.152072202561251,0.0472113066388216,0.98935922353491,0.391163577163538,0.19639701275308,-0.039741050870236,0.380928492490388,0.15345282010576,0.805805541347705,1.00713824238202,0.100051416580346,0.490867910292082,-0.0951500918879828,0.624105912802361,0.634008814918684,0.491629736188035,0.806573224566556,0.291262922552167,-0.935596650267321,0.0733200272659366,-0.292590302421053,0.319212879755278,-0.838590153375598
"SEPI_Li_1 (GE) - TPM",-0.608999425782294,-0.298083871154819,0.391505546350398,-0.0169656953449578,-0.494033108774285,-0.0682294464449525,0.170022652986455,-0.228177241216048,-0.117362734016387,0.0195920150891783,-0.1692682065661,0.626790806012363,0.720328927201521,0.663593190391702,-0.0421004836150685,0.116612551621263,-0.219795577980592,-0.234736221445723,0.569054421348611,0.0154264084962813,1.01938706697116,-0.276404970120514,0.70621896648314,0.587735695528255,0.836096744158993,-0.193230557427561
