"","PA0117","PA0118","PA0414","PA0416","PA0449","PA0997","PA1021","PA1080","PA1082","PA1085","PA1086","PA1087","PA1089","PA1090","PA1091","PA1168","PA1292","PA1445","PA1446","PA1447","PA1561","PA1657","PA1658","PA1659","PA1660","PA1661","PA1662","PA1663","PA1665","PA1666","PA1667","PA1668","PA1669","PA1670","PA1806","PA1807","PA1833","PA1967","PA1968","PA2246","PA2458","PA2484","PA2577","PA2651","PA2730","PA3098","PA3227","PA4190","PA4283","PA4408","PA4409","PA4410","PA4411","PA4578","PA4774","PA4807","PA4808","PA5040","PA5209","PA5229","PA5319","PA5433"
"PSEUDO_As_1 (GE) - TPM",0.298165378579309,1.09124379196382,0.047953087025274,0.543167588805162,-0.457008183441214,1.00180485246831,-1.24408523442789,1.41316385124826,0.688485884627288,1.60735628799077,0.984608372251497,0.362279173770625,-0.0770767853700318,0.383208208378612,0.372821023872682,-0.978971571293715,0.40915470489124,0.512304514279772,1.47842479556857,1.90268188404936,1.04458053571554,0.28730350141088,1.59438834474703,1.48551666765414,0.882673495471843,1.40791706990926,0.905069647781315,0.352649447241335,1.04128844354662,1.34539868514539,-0.154733808490454,0.245627302112892,0.139118614233162,-0.668776882801585,0.202292444249105,0.0995229091587565,-0.134662465016132,1.51179647617878,-0.753381549993873,-0.147555396695885,0.934957514852303,-0.931633802898648,1.04623314454853,-0.758994891534382,0.282451270263552,0.912057760775811,-0.0531787183824392,0.135894220999059,-0.0840222969391864,0.651622522622445,0.0475754283647461,-0.255006449467881,0.3286034197577,0.446098706699206,1.31045332418664,0.941405264595952,0.683272850460024,0.492977727461907,-0.720399127178366,1.59167873758481,-0.410189865357561,0.443506372963598
"PSEUDO_As_2 (GE) - TPM",0.156068962845411,0.516980791744986,0.260736302247709,0.864445892578264,-0.251657482460092,1.79678956965202,0.388432750268565,1.97308454006094,1.17004066277461,2.3771647941882,1.65224048879214,0.248489825569504,0.516368477891468,0.765586450961072,0.866222339331828,0.00506423458332783,1.22770728607323,0.647650990891471,1.76620673465309,1.53930786142272,0.807576485819103,0.715338432659496,1.86039446308062,2.09414011660387,1.54074393642147,1.84644035201174,1.72173804664613,1.17103386746349,1.48812621224302,2.11321062954089,0.410752927405943,0.352786188504428,1.03400775210952,0.213187531943135,0.881878849932865,0.732800088402702,0.599538720415201,1.90837119028474,-1.2609466245693,0.0756585976951332,1.68291486394808,-1.46537752736546,0.8057827443985,-0.457713914360726,0.440867633865466,1.67387482229333,0.641602888681759,0.373568886248498,0.15343096025037,1.17933368496611,0.519337369544145,0.353091781512742,0.815366364406788,0.396036894651378,3.34647301184032,1.49723051653097,1.68369978659567,1.36901064874025,-0.403785546792777,1.93935349089669,-0.523496705499229,2.46014630932397
"PSEUDO_As_3 (GE) - TPM",-0.118477276688621,0.679302301272896,0.717970850986362,1.11007277762722,0.0794341305058514,1.76771494424081,0.963536615045792,2.3349715104938,1.06764082417945,2.80851747963026,2.03351847603372,0.67112428601715,0.161105010778558,0.619170393061417,1.03963091846947,1.01207152425031,1.18037595831168,1.42552879639118,1.50668619516939,1.78783968657216,0.991096933386843,0.7185950348503,2.10247622137722,2.38882243583066,1.93942301971529,2.01207974357803,1.45388340868266,1.03005972471806,1.91280177221966,2.24612148047855,0.801671889909941,1.41995650610235,1.3926313296536,0.109705884779818,0.371279746143199,0.888443531431911,0.85864003421604,2.01176527754755,-1.03030568788302,-1.20524278066315,1.71104186482859,-1.46542212078768,0.949968227672371,-0.553438148399232,0.506277469387162,1.42035342917762,0.452962308304691,0.792194717878846,0.377689797090025,1.15101124256227,0.585622254600906,0.85897691312762,1.09794104539824,1.00910661163414,2.5321307921398,1.71709967212804,0.995433434341474,1.64038485512892,-1.01545676998007,1.90609102357808,-1.08018865495777,1.47651421159548
"PSEUDO_Bs_1 (GE) - TPM",0.482267579992055,0.157589434999106,-0.127282558460307,0.208441987987269,0.408649830843177,-0.568874109558917,0.700148235413739,0.799115528708327,0.780771225601574,0.677717858515765,0.636213886285094,0.4207678518838,0.0523581335530947,0.691255650393335,0.162895722811909,0.293549519162625,0.0349903400559365,0.326081394107508,1.37560870168407,0.388321889950153,-0.114434366360185,-0.500458591500571,-0.306358789942974,-0.20722648303613,0.108923544717427,-0.181194411044384,-0.0883418074855439,-0.27222373945033,-0.0938544311818704,-0.37094882591422,-0.0841010808496534,-0.120659853387909,-0.0640330175643829,-0.169597497797771,-0.163482651585288,0.00697174987173104,0.281751902399512,0.439971089229254,-0.415821364905168,-0.221605783951342,-0.281967588218567,-0.0410623167488563,0.270128132670134,0.442120336478344,-0.36365927754007,-0.379033233942529,0.129040681678552,0.136548469488942,-0.483601602221629,-0.0213328019716367,-0.409081375866691,-0.638926813750841,-0.362051806498096,-0.181606815500997,-0.492087154705854,-0.232262540377356,0.28912580557111,-0.0823430957265248,0.173753965114186,-0.550062432716136,0.177692132941258,-0.409022709725945
"PSEUDO_Bs_2 (GE) - TPM",0.566013556356437,0.0981094660455292,-0.176995627962478,-0.0976109570306811,0.0563566947697697,-0.634634712750947,1.20486520995982,0.201668790887409,0.511223874705266,0.440381100675335,0.282472504567444,0.387997266992028,0.751489762958407,0.888965868128817,0.137110642783314,0.026701614652173,0.0753760397395948,-0.412867552696165,0.622972946921501,0.386773608036928,-0.282962808072489,-0.550526841084789,-0.365046589846584,-0.197348748797344,-0.226852234656551,-0.326059110812622,-0.305233421971197,-0.357412811001548,-0.135840507505955,-0.532948643666094,-0.193901072236444,-0.568765102291748,-0.274363241341433,-0.0711654643342256,-0.330596033910773,-0.209750019677708,-0.0985637288528125,0.924886367153074,0.119866492442627,0.160440611604478,-0.448765368695143,0.0661591963162356,-0.0978910272071263,0.533779026471409,0.0372186456361808,-0.287860615232451,-0.196919333273844,-0.0673689461394375,-0.28057399056623,-0.377270272110504,-0.394788398351827,-0.839585780409179,-0.433432601688538,-0.400293243268859,-0.488198932989093,-0.11899548413242,0.100974181437582,-0.125898036835962,0.171782655139837,-0.786439681308779,-0.184749339745973,0.123357301981463
"PSEUDO_Bs_3 (GE) - TPM",0.595834331195108,0.328977135530043,-0.203153724278342,-0.193351483451514,0.344916704179258,-0.551588882700061,0.648362456893804,0.472666223851403,0.172224282060534,0.469474620960313,0.315037684294713,0.224963854398152,0.565201015442556,0.542337233173544,0.212266971002577,0.0939596609446702,0.274334150243856,-0.244695468624426,0.90258996524087,-0.539295963653175,-0.457892786729813,-0.673473518122621,-0.400842404615755,-0.458267681475447,-0.225260950133479,-0.355978648700343,-0.415956105234674,-0.283369006454164,-0.529894517490159,-0.340268512706019,-0.466134129208746,-0.269967905870708,-0.205665329034998,-0.23891255002883,-0.130612430783246,-0.0996830489266089,0.175086075422355,0.906025480580434,-0.452321334879459,0.566149141817291,-0.215608779150098,0.199653506515684,-0.346048829962834,0.283546784540184,-0.152330101987577,-0.832529396550131,0.710337688668608,0.327294494262348,-0.531415635275416,-0.475214244504996,-0.395424163038383,-0.63675710137263,-0.382460132843458,-0.329253629424754,-0.955546198692062,-0.322857584432679,0.259358717043454,-0.359058827209405,-0.259054294238317,-0.790076193017235,-0.643958458611792,-0.060328112680182
"PSEUDO_Ctrl_1 (GE) - TPM",0.327771951041705,0.276376343187764,-0.0180545864707644,-0.13834624174024,0.398299805398678,0.22468716532438,-0.494108432722051,0.123794801847802,0.0925268407416,-0.105523355860833,0.00540076590048347,0.0760889758684209,0.227261232173851,0.918977222537671,0.121220521005094,-0.459356541758513,-0.244165609675937,-0.355317234817672,-0.0190075764818987,-0.441624000824693,0.209883903631142,-0.336517620298818,-0.170265331202453,-0.0602629345452137,-0.00490238453889967,-0.0132894994599336,-0.164013958566669,-0.314744460806082,-0.344346732770113,-0.252360265136965,-0.522431621976776,-0.50306073011239,-0.444441860365601,-0.231517354480972,0.272057180536121,-0.0415060510615879,0.0755936241091579,-0.402088376356671,-0.154064801641115,-0.598017437611091,-0.465303808615689,-0.231146203034656,-0.19191265367795,0.104149471344479,0.00545206675111078,0.132751011742441,0.127481207764499,0.105471376261741,-0.393573191629771,-0.175581923613943,-0.686605814803383,-0.652025895000767,-0.404205314160301,-0.176472665398353,-0.775587607561989,0.0871242182152505,0.288603991596518,0.457267217565916,-0.463872033686659,-0.717002335292308,0.0148210002942095,-0.172278947518564
"PSEUDO_Ctrl_2 (GE) - TPM",0.315764163865943,-0.149591481722536,-0.0307899251710283,0.325953339556025,0.207636973222219,0.298704118866143,0.412057333421786,-0.134449650017309,-0.0376313475251226,-0.183173618357516,-0.0759472158553175,0.142972552672633,0.316004396664498,0.544060184401124,0.351625319834519,-0.561278033854078,0.441498118606179,0.0864593440931511,-0.0887490761459316,-0.353615095378789,0.0527436206420944,-0.238145274161536,-0.120954188028543,-0.0213349847208133,0.218971966054735,0.0177282610572676,0.251513484455882,-0.204022881418959,-0.0235310688245858,-0.138268284511659,-0.311489495878866,-0.169661570916678,-0.17557495159044,0.281874831179233,0.310296916283885,0.170193596400384,-0.187094669919144,-0.154548833232179,0.252025561854566,0.360538054898621,0.0992682835260852,-0.432599208906669,-0.192841724388827,0.38248870538805,-0.812492949519923,0.532523950276947,-0.0433846889835294,0.485672566445667,-0.399619698669005,-0.202998682272982,-0.368392071998436,-0.665337725703534,-0.355664210069475,-0.642660211537097,-0.517150262716714,-0.0349703353014388,0.969714900600766,0.183206057661585,-0.192687288845133,-0.755440304351147,0.283395947943773,0.121112895078948
"PSEUDO_Ctrl_3 (GE) - TPM",0.0800410461444505,0.00712587345373989,-0.309849066181625,-0.250161075078041,0.207747297624416,0.379070541861619,-0.174444785163862,-0.00992829221623225,0.0994148992714937,-0.374715351393572,-0.313564355473218,0.143820312860914,0.245815392610926,0.510880973543633,-0.02380775449474,0.163986522638976,-0.517342009875449,-0.483447640343323,0.456090901399595,0.0589849533142683,0.0331946005244644,-0.36671224268218,-0.197722250855178,-0.370851343634163,0.0598458410539578,-0.120295067973748,-0.212369999027036,-0.376766126498071,-0.245229890827141,-0.237388504375707,-0.387878323728541,-0.383177107579747,-0.271880799331544,-0.180808844750983,0.385390505006148,0.0594008026365527,-0.293918881053441,0.245249799415593,-0.768436762973981,-0.587713836354627,-0.192079389293849,-0.434121205315782,-0.00151549533092501,-0.388628964148304,-0.428993533608402,0.186422607841963,-0.100498111355651,-0.280226740842856,-0.565724654202555,-0.216161197897203,-0.752318398255474,-0.529560971551761,-0.548134222600033,-0.541423156501807,-0.512293451886146,-0.217058457364718,0.145959149376832,0.218033487732393,-0.778742769827534,-0.705361691370279,-0.240991273918692,0.375915708186742
"PSEUDO_Li_1 (GE) - TPM",0.36740922330647,0.688331844877885,0.206754119229232,-0.228418141223832,0.749180084124401,0.819868498172562,1.03996167118983,-0.359004949912716,0.0294768842391124,-0.497423923050715,-0.299520290512343,-0.144383427264631,0.30878540399752,-0.321651619083178,0.0858196510014015,-0.245618771126432,0.578800587412989,0.285252019392785,0.128810340366462,-0.0799833790040122,-0.965264421293659,0.0444411842481331,-0.0613902598435672,-0.307365055749259,0.0441788331329425,-0.0909722753555274,0.192477263391185,0.0458112283532472,-0.0902349606377658,-0.211168358823848,0.314943709247098,0.182739613463218,-0.155487163238458,-0.0562526448619255,0.311022499111303,1.03754148243825,0.483919584802584,-0.901747992801743,0.144602278338722,0.440775673041419,1.10913104432223,-0.401646585059437,0.126434145875414,0.143172924689027,0.916201920007368,0.287933036433147,0.570759942790966,0.112116750910192,0.183595281415954,0.0965228573422299,0.135764122676259,-0.0293986267499697,0.126565843787228,-0.0489339731890304,0.507877992170587,-0.22549758193124,0.545402789621167,0.390355414959814,0.761577200498752,-0.105445615417839,0.028159846473505,-1.04649232155124
"PSEUDO_Li_2 (GE) - TPM",-0.14356815408143,0.465482880964312,0.474379195297543,0.312723938249457,1.71337586376423,1.33873867130245,1.2517110762749,-0.0783314984020985,0.066206360842901,-0.461356451308902,-0.233947365848898,-0.189113602097961,0.110147210145584,0.199482479203457,0.561972969068458,1.19307813919423,1.27187401244201,0.100008448818529,0.418339006715347,-0.0631237926783694,-0.820016831751917,0.0163868026034459,0.22022948928788,0.100259827089948,0.0775530637968497,-0.0838751217503028,0.0760692703233639,0.334398144764149,0.153850036861147,0.125016552267909,0.627266353662487,0.306048699265001,0.436010060793772,0.469050403887427,0.571745666900996,1.53810481606304,0.880261018025617,-0.271674264725134,-0.0951559456964462,0.833766321335838,0.299255245849731,0.168985459337181,0.291281232368058,-0.0688819669755292,0.66504175225326,0.101759700923587,1.29810472893205,1.09298153427223,0.321435707033959,0.105291841212218,0.143754927900353,0.332327427294221,0.330638542006195,0.40843457526754,0.8136713440912,0.517183591052087,0.851218387008146,0.0300576676324399,0.255823137255868,-0.418135403903394,0.796351033651196,-0.662264915915697
