"","D7S_RS00100","D7S_RS00130","D7S_RS00135","D7S_RS00155","D7S_RS00315","D7S_RS00935","D7S_RS01350","D7S_RS01435","D7S_RS01695","D7S_RS01700","D7S_RS02095","D7S_RS02100","D7S_RS02105","D7S_RS02110","D7S_RS02920","D7S_RS03175","D7S_RS03295","D7S_RS03925","D7S_RS04315","D7S_RS04320","D7S_RS04480","D7S_RS04610","D7S_RS04700","D7S_RS04830","D7S_RS04835","D7S_RS05115","D7S_RS05275","D7S_RS05280","D7S_RS05285","D7S_RS05340","D7S_RS05665","D7S_RS06130","D7S_RS06135","D7S_RS06145","D7S_RS06255","D7S_RS06490","D7S_RS06500","D7S_RS06505","D7S_RS06510","D7S_RS06665","D7S_RS06770","D7S_RS06775","D7S_RS06780","D7S_RS06785","D7S_RS07295","D7S_RS07315","D7S_RS07545","D7S_RS07800","D7S_RS07950","D7S_RS08870","D7S_RS08985","D7S_RS08990","D7S_RS09575","D7S_RS09890","D7S_RS09930","D7S_RS09935","D7S_RS09965","D7S_RS09970","D7S_RS10600","D7S_RS10695","D7S_RS10760","D7S_RS10765","D7S_RS11355","D7S_RS11360","D7S_RS11470"
"AGGA_As_1 (GE) - TPM",0.103754468412877,-0.600216061171658,-0.763655446379583,0.0907944640769875,-0.399831112751471,0.479359604139792,0.473871573251207,-0.5730787125468,-0.73472987216752,-0.727143382844778,-0.459152697312299,-0.568099367079019,-0.476972835778549,-0.222804236437424,0.317235483438472,-0.245069806201542,-0.375882856457035,-0.27580719365747,0.00446126149503456,-0.520509692488976,-0.1866688778857,-0.461786709432921,0.734650077025775,-0.713755459351916,-0.857556566167376,-0.47107644741117,-0.747164589514206,-0.683672099733008,-0.665190697060167,-0.442893711301473,-0.60891646514983,-0.938077077423207,-0.42811811151524,-0.286182961556656,-0.886771418667301,-0.470801559349505,-1.05425011323601,-0.63842326730399,-0.749824010728024,0.129030257504999,-0.171332412354761,-0.319758233242574,-0.257193436659553,-0.149706182793246,0.109590012807982,0.51881546847751,-0.194208115912998,-0.428156458949076,0.0442970642647226,-0.931833544613413,-0.866018025543011,0.0144004772641467,-0.795155277833748,-0.583841379862408,-0.591250298969489,-0.688340403655044,-0.160880437443618,-0.359820703873502,-0.390598582481132,-0.425022503130154,-0.26239055160049,-0.133640047390751,-0.372470348533473,-0.507264891567655,0.260300425204198
"AGGA_As_2 (GE) - TPM",0.218205448688261,-0.623478644001808,-0.761116972010674,-0.2717364760009,-0.679968940792399,-0.358865577403085,0.289621933636381,-0.661850197021053,-0.616622062893314,-0.49019537527125,-0.570380645092995,-0.616288205064166,-0.558535878621236,-0.18246345559149,-0.291305418393612,-0.730909872611274,-0.560777441071983,-0.15557309254459,-0.737512199882493,-0.491660185244899,-0.576722349478406,-0.604444605691,0.193686040755201,-0.787285977572896,-0.825123698690825,0.0195414269982665,-0.900629925770554,-1.03796194554112,-0.861172445823382,-0.131461628045267,-0.297809183041508,0.272652289597269,-0.359985528017307,0.46014213443106,0.552170272962061,-0.892994866335151,-0.790722213776071,-0.483061299925609,-0.350145172702051,-0.400667563024081,-0.565217329882587,-0.34836733621312,-0.339913073021776,-0.344323421672228,-0.0791997700149653,-0.754443218196575,0.0212973507926663,0.380440558885307,-0.182298937959394,-0.123342027607585,-0.921729785212292,-0.0812321181594411,-0.51756428239119,-0.215773292768663,-0.697050304449084,-0.717490061851171,-0.454550741035743,-0.803493746403024,-0.517765821370064,-0.444081735990918,-0.140603132536586,-1.24406874856105,-0.601137272312732,-0.353437448829429,0.0734058681034067
"AGGA_As_3 (GE) - TPM",0.1941131560666,-0.622763056833972,-0.731655589379416,1.1331596737251,-0.144873813003252,0.451105263144286,1.23230907078214,-0.844652356721526,-0.574000559263342,-0.563198051146134,-0.573082809369239,-0.525106681917578,-0.636020815434108,0.166467099023314,-0.337571381346149,-0.146482054336083,-0.255765650437943,-0.201900381316726,-0.421802543093703,-0.500398895397254,-0.151787282003409,-0.537510892807773,0.124916853011355,-0.776938413817031,-0.758613455270734,-0.538280718228901,-0.767746097742203,-0.758801657596015,-0.80765587970306,0.473627178816081,-0.284727115303129,0.756178941315675,0.160805779090707,0.434065264454056,-0.204023101370893,-0.490758173290655,-0.668204586591014,-0.0225268577012333,-0.259612743439409,0.0795813005229192,-0.517621106583134,-0.259998523302826,-0.506479271883886,-0.130635486209493,1.60630481230965,0.0123993403333676,0.755412818440603,1.68654476407586,0.707643951825453,1.03635335948197,-0.359899859448195,0.894416658030246,-0.296595998418144,-0.569117630863652,-0.638251014837898,-0.663572401539901,-0.276826637384393,-0.204485726646608,-0.375173384882083,-0.250329263786115,0.970873325437933,0.216525118498874,-0.330155629029816,-0.382069785548587,-0.249671358584864
"AGGA_Bs_1 (GE) - TPM",0.859926430249089,-0.163113919962215,-0.0242471333903901,-0.669984337408705,-0.676488398370182,-1.00422731788959,0.610124128133365,0.160438761446937,-0.0499386196172828,-0.561380284870963,-0.6092927941565,-0.536319096223095,-0.711677975225164,0.426733839831032,0.693401335036465,0.81463183050845,-1.0357728332978,-0.406499322507233,-0.354585448859968,-0.332868105738799,-1.03137961485248,-0.102746218599268,-0.0634481258898947,-0.470151964525143,-0.439543248582076,-0.12274099386818,0.925194680367472,0.604738576788824,0.462394137886153,-0.485687063938869,-0.223009356201767,-0.4619021701747,-0.510862924527888,0.683807732856985,-0.600815483784757,-0.555270674942058,-0.690693350886944,-1.0476296127767,-0.678031937141032,-1.39284150557397,0.538393012850633,-0.272371505361929,-0.0796923656699448,0.111241532065425,0.592051990518658,0.401498916139075,0.496967401708325,-1.49453579329717,0.536799925076538,1.31888531577881,-1.18834514218767,0.425716980241763,-1.48829506700483,-0.377537753309773,-0.164670461756287,0.0846663226057653,-0.51770916487853,-0.754711609784143,-0.94279578125442,-0.867576190799612,-1.2116243950029,-0.117132044763309,-0.706547733954522,-0.744411036165674,-0.660380877414907
"AGGA_Bs_2 (GE) - TPM",0.215740785946663,-0.559708925299738,-0.622056003961796,-1.00807793085332,-1.11521188414229,0.329642968639579,1.01701907129434,-0.395288888628601,-0.228705338865249,-0.69320973390494,-0.664096471097408,-0.588638829562412,-0.78192410028064,-0.0820684817662789,0.586998060063582,-1.25992369613429,-1.516813448256,-0.399326488128003,-0.68873546596236,-0.420107875042877,-1.13815214296906,-0.516377862110829,-0.07893243349017,-0.769119779602783,-0.900446744603077,-0.3732256059869,-0.215014779215614,-0.306135613942269,-0.427859375422847,-0.456332308318071,-0.0173861188875754,0.580992066295036,-0.36273359482792,-0.425015033558496,-0.295448995374353,-0.290502804717394,-5.72011013604575e-06,-0.284151955292142,-0.262417892112487,-0.835569058852741,-0.523218635731927,-0.384012362934936,-0.341416003478707,0.517299240015986,-0.129967363088879,-1.4916757947978,0.523263109594918,-0.0862716918112841,0.30364159908851,-0.931833544613413,-0.840676689689027,-0.713071093407955,-1.52486839894318,-0.000380625959426536,-0.486243143543442,-0.517083255736227,-0.787872347460024,-0.805025105638707,-1.09037633055561,-1.16772170547613,-0.26189926637189,-1.17975436676391,-0.720317242472821,-0.732078788672842,0.197094825887487
"AGGA_Bs_3 (GE) - TPM",-0.130639099383308,-0.559378469605641,-0.571099972391893,-1.76211737402812,-1.13405115233111,-0.1905029152224,-0.182532021121218,-0.616464332137383,-0.292975729249663,-0.589132592654912,-0.650402019371761,-0.570993496027438,-0.846317240124577,0.613554619088158,1.0948298708659,-0.991295562014862,-1.51843261917883,-0.386449890290971,-0.639147442266593,-0.515933958366828,-1.18885925762886,-0.541346508817098,0.0754659705907436,-0.744806626969481,-0.83791164796989,-0.389066672233947,-0.337218727370212,-0.425671689912138,-0.536232592409136,-0.085304260171728,-0.806800849881827,-0.0883908451242481,-0.317303588064202,0.149003560881252,-0.315539797512108,-1.0460500379465,-0.961034167753016,-0.734621482323695,-1.0312832617334,-0.838463062470435,-0.299247511176563,-0.358205391267595,0.111121962169229,0.164074081416285,-0.583406795380347,-0.639860554245851,0.379365370274454,-0.722367846972048,0.414316379712676,-0.931833544613413,-0.610709668082981,-0.164037925906371,-1.62165976817315,0.637102286524963,-0.624465268541211,-0.526368074754153,-0.54505240179834,-0.748224701549113,-0.236115735611425,-1.2884443116658,-0.895538244893194,-1.3443799941727,-0.658642251596523,-0.778604330757254,0.58877711429559
"AGGA_Ctrl_1 (GE) - TPM",0.564510170338608,-0.249968195403639,-0.117844269218785,-1.06216085344901,-0.121590337201193,1.55342479841417,-0.205785554003088,-0.291861218048032,-0.184500747144374,0.551557304405061,-0.363013286656217,-0.535573295133798,-0.328255154383947,-0.404652159628243,0.693406822698576,-0.76140996675785,-0.425174521700331,-0.205893237618378,-0.616729569467197,-0.492588058307135,-0.406981759264449,-0.450692835822708,-0.361213395167344,-0.089154990617531,0.542494770595114,-1.27826184626088,-0.121487775354285,0.323594674941591,0.572700837877404,-0.260235736158499,-0.400576815871161,-0.638928501791348,0.416578209912699,-0.908491750549832,-0.400361580049593,-0.413815933449916,-0.188380972241763,-0.303977146344156,-0.530673978617089,-0.0943779777491529,-0.48510275783455,-0.245120904647182,-0.166370406054814,0.0724527085117169,-0.239316513418267,0.765763156135939,0.555890059539843,0.76063138886711,0.211837552933316,-0.346918130729978,0.0946798678718206,-0.425335037270003,-0.117336519642562,-0.488581590733819,0.208484025928847,0.100374873993829,0.167893159668047,0.3787380316435,-0.23259572771721,0.75583470090453,-0.82072873442609,-0.21521906757232,-0.603550227187574,-0.619472579701171,-0.498006472578249
"AGGA_Ctrl_2 (GE) - TPM",-0.276445367440114,0.0483755769213141,0.816513483443296,-0.682506723670119,0.0655496195731109,-1.24641597963784,0.135332172590282,0.113973874095553,0.930558646648796,0.451762671275429,-0.571467707158145,-0.653995372013323,-0.472942289462711,-0.749032473942642,-0.132945014833041,1.01467133024487,0.23701588188747,-0.312649845994971,-0.210324073879969,-0.344026254278038,-0.472860752839226,-0.215658553627371,-0.699642858603377,-0.117554203285011,0.725300233417936,-0.529305043302123,0.439776662745802,1.16503047061965,0.86417400970372,-0.84628037175779,-0.752521613300099,-0.32659211602166,0.423424847251489,0.00758555860840386,0.313534911721911,-0.273698021597182,0.430663075038487,-0.196140880764603,0.103384879633814,0.0781385839651103,-0.168283770829471,-0.387985077408778,-0.100981231931971,-0.254513551881735,-0.957681177853127,-0.132319459778589,-0.555204527112038,-0.337602081445318,-0.99803085914436,1.34376371957774,0.0210232591200698,-0.019128317386312,0.601144017217353,0.125835845542426,0.206625446004472,0.0912045148442494,0.799522383390114,0.491175935785831,-0.92827057064758,-0.224234322650202,-0.700943263192727,2.70022123970347,-0.36336970696437,-0.579018318815434,0.494104891214267
"AGGA_Ctrl_3 (GE) - TPM",-0.496467018389241,0.0485009856970634,0.627846882890048,-0.238781884581807,-0.100263792256229,-0.690185044604404,-0.0799524869902728,0.210603279345488,0.639009926127853,1.09183653719851,-0.539381375368683,-0.705217959257565,-0.490242998234342,-1.31181559347519,0.111635239447423,-0.419114839689207,0.20193714819476,-0.25299890175309,-0.250543031577376,-0.371029818492941,-0.534368503933662,-0.305687418477684,-1.09662590084774,0.00390487933550949,0.441278337591868,-0.343365677075904,-0.0957153719238817,0.282119741940115,0.820642437194525,-0.363283733293795,-0.541380914499021,-0.105566998218247,0.641872227207785,-1.30185854296206,0.637234586907903,0.417367365577854,0.115810606898419,-0.286486555233709,0.0754671872139689,0.146061173242398,-0.472481460445931,-0.376432932893153,-0.486562074052504,-0.417283356861775,-0.12687008942359,-0.0598834374187095,0.256169955452442,0.627446656213302,-0.195658118749275,0.506356795947223,-0.112076889104714,0.0419681648742676,0.832120767266833,0.162803550009642,0.310574047150628,0.0735436626030875,0.342463660117736,0.577064104871551,-0.62938035145415,0.358754763358342,-0.580685166831833,0.366058568212151,-0.506643256048565,-0.633142087585989,-0.0728115928553369
"AGGA_Li_1 (GE) - TPM",-0.0152630671431157,3.00409061642428,2.76571584846594,0.65940528797322,2.11021233584774,1.62902012148411,-2.33901684787599,1.9778774286119,0.947412637500252,1.68360331807561,1.85271871239418,1.49111269175159,0.957654716472585,1.04837754371921,-1.21788354112914,1.67748239282371,2.90487963995795,-0.295399476078007,0.86549991341407,0.913358353296977,1.0994897422988,0.656291190021252,-1.96591331648562,2.47494453806836,2.11626567121664,-0.589955208739567,3.10256225616893,3.19255731597889,3.29252980977711,1.53425105323439,0.169295007746414,0.692753422212963,2.42678726831322,0.913435825979989,1.17443229051552,3.4655400383463,-0.802793115126624,-0.531180454064923,-1.07637212532004,0.985376068057614,0.611783518669082,0.520540771248388,1.01728413115673,0.70389860900981,0.141287237263455,2.05679587791274,1.58689170635314,0.609091541530129,0.731947990914304,0.98315648671264,2.47793794267214,-0.115276159134239,2.25893769667675,0.0816133176269213,2.17057261692948,2.2529550073576,1.22325554066328,2.47853992185065,-0.58409079518439,0.62171367347012,0.564801448231282,1.33646792286987,1.3923487599678,1.46501031843129,0.938568323085084
"AGGA_Li_2 (GE) - TPM",-0.255527686367967,1.46825176444706,1.41137667532809,-0.671635544608253,1.43940075645918,1.06342797410709,-1.8709172425766,0.535623447544833,2.01619912427176,2.39886261514727,0.00429132800073943,0.139918484159867,-0.0263030181221973,-0.34598447658438,-1.47727908352222,1.30414151262221,0.112679624288073,-0.20251578770332,0.879122344213898,0.37741664478905,-0.427429311371481,2.05423179461568,-1.47201793824616,0.869254068439408,1.78186604742998,2.25827304097094,2.00285825560333,2.02431771284094,1.31708465475314,1.0718451396706,0.745588607215657,1.72029579282416,1.56721082809167,-0.435252824051664,0.830732961266803,1.13215674292752,-0.677200739420669,-0.713093076360755,-0.0220330087266677,-0.300952170616123,-0.133723212981805,0.0822764318613869,0.497957136530724,0.725827598452286,1.4843717753485,-0.085497382153815,0.414987200183058,1.171613035917,-0.592196183184035,1.03935600016212,0.218078646734664,-0.205935135204012,1.45196118880785,0.812957951275885,0.807218077518236,0.684297738626281,1.67216571098677,1.00028432966408,1.09822935952756,1.27234400197609,2.01897191697164,-1.4578837703496,-0.0346485587743576,0.820980118027248,0.21062387027344
"AGGA_Li_3 (GE) - TPM",-0.387870180789237,2.82524408775758,1.40901184743257,1.45902197938308,2.05129986782078,0.449748323945843,-1.8180999989866,1.1732995067587,1.85852679561054,1.94293106939257,0.262359854760889,0.142132851949974,0.165721091212112,-1.35567238191259,-1.37436901110386,1.76737477809602,1.61972889027211,-0.185101580123312,0.21891506423218,0.79509423013047,0.031312215320444,1.12314409021543,-1.69480625227853,1.24998186490214,0.841917845499583,0.426061001074246,0.894991205168309,1.09464996722534,1.62030508294819,0.904245499220171,0.639859476706984,2.01525684330378,2.23697952376855,-1.33820095947142,1.5613668592843,2.29502009566698,-0.278093348494246,0.191887746728289,-0.650040974575319,0.797601732013563,0.711393229206937,0.439207907780748,0.776442992084762,0.739584867310746,1.60297018350246,0.337604094817286,0.913763403693029,2.68064710372523,0.820264728732082,1.93413913929251,0.228555664500115,-0.519610728277385,2.13908960522653,1.94665970699565,0.801317132705273,1.10221380326119,2.28974886527193,1.47965641393245,1.66198868235922,1.99668661494355,2.04027495194204,1.48827987075747,0.0599320302057959,0.728455033583144,0.917677122711333
"AGGA_Mig_1 (GE) - TPM",0.171735012958548,-0.656361077236984,-0.783558682920456,0.285985948727626,-0.148227013126409,-1.2540037630812,0.723066780568151,-0.850691147265412,-0.598018928071573,-0.779871796519973,-0.547250819002425,-0.599825396520812,-0.591007353184617,-0.547111719945398,0.226324503355495,-0.0349987598008713,-0.801513675802503,-0.408667640226692,-0.446677963141822,-0.535797674986027,-0.489049838676167,-0.644412131604489,1.61801047330764,-0.891903500444468,-1.13792171367313,-0.603027599599417,-1.04999025195176,-1.07598675897204,-0.950578146514546,-0.555980066778426,-0.840065118758591,0.902026378142763,-0.143032250174338,-0.202918987678397,0.454993064530764,-1.05999129353843,0.945664858952464,0.734790382352793,1.54673489227069,-0.668536284496754,-0.225711612208471,-0.389199710328768,-0.486724567125445,-0.240335488804821,-0.220932254220903,-1.40653143218493,-0.3497715060695,-0.135819500795654,-1.75528917795845,-0.372434049800529,-0.897182322966027,-0.532604552366943,-0.0640489572725138,-0.0585677607383106,-0.829007506001664,-0.844247874712105,-0.783823300379682,-0.749869304480309,-0.0652708348168638,-0.113395955436521,0.286310493823463,0.473226163993281,-0.527151236187897,-0.484826905333927,-1.19871248920192
