"","D7S_RS00030","D7S_RS00035","D7S_RS00370","D7S_RS00375","D7S_RS01035","D7S_RS01565","D7S_RS01570","D7S_RS02360","D7S_RS02885","D7S_RS02910","D7S_RS03030","D7S_RS03035","D7S_RS03125","D7S_RS03450","D7S_RS04090","D7S_RS04390","D7S_RS04395","D7S_RS05120","D7S_RS05845","D7S_RS05950","D7S_RS06035","D7S_RS06040","D7S_RS06320","D7S_RS06495","D7S_RS06680","D7S_RS07920","D7S_RS07940","D7S_RS07945","D7S_RS07960","D7S_RS08275","D7S_RS08340","D7S_RS08555","D7S_RS08975","D7S_RS09960","D7S_RS10190","D7S_RS10460","D7S_RS10470","D7S_RS10890"
"AGGA_As_1 (GE) - TPM",0.443737040312758,0.408360200370657,0.116995576005782,0.801594238079332,0.155544459162361,0.353476010233852,0.306289732275359,-0.390178040465947,0.535157890325314,0.725233310192976,0.684982985866074,0.115828778278568,0.242228037430033,0.271405406354534,0.364504345990988,0.809861350901152,1.17644694281448,0.233257245874709,-0.771432211748344,0.53883302947215,-0.430772031866079,-0.398526624494589,-0.182967818307707,-0.147890394243929,-0.0422380009836079,1.3712062793939,0.514593806655875,0.0518059031763674,-0.489600031237688,0.581290102227302,-0.0802213162515011,0.632261819301028,0.611290624720607,-0.123468344315115,-0.232406178571372,0.344365315715629,0.753059971650151,-0.227232279058637
"AGGA_As_2 (GE) - TPM",0.547362529864997,0.795286061671925,-0.0809799691825442,0.205499171688148,-0.254905997493773,0.133586964899897,-0.309678891419385,-0.437790306865555,0.292723314886901,0.855661444051689,0.358614958899098,-0.169230317111184,-0.105647632550161,1.25829556930129,0.0613487396121199,0.406344192662353,0.429136477114839,0.068350205328095,-0.247176379981403,0.216235945984466,0.375570740296334,-0.561055628165486,1.19470270613525,-0.540616580427039,0.173286825733568,0.685358608629996,0.225495846857273,0.356717892954589,-0.693462048401214,-0.297794068287067,0.182830037146756,0.700574380809489,0.356121689087814,-0.390547297193967,0.624237303995018,1.16565192285489,0.310152527887612,0.802691221344195
"AGGA_As_3 (GE) - TPM",0.379487278905073,-0.0257726638601457,-0.260045563782341,-0.000733521364073893,0.411752836320415,-0.174980798381677,-0.344265545795418,0.104130106311353,0.245162872402512,0.48713842124681,0.123639522499335,0.0989708144108378,-0.0108308476747708,0.679753918629236,0.319692189893865,0.0722507860040212,0.0874204019459351,0.082060185952636,-0.0151366063732147,0.600313471416616,-0.56336239003903,-0.666950114575402,0.597089370837577,-0.0810652847027115,0.435562123052446,0.452395144441355,-0.265990899031642,-0.258977167327696,-0.187556793752681,-0.969881960702194,-0.0754042209817892,0.578060352054976,0.783466246399942,-0.271386426780584,0.587383713089149,0.846410689982349,0.925949769895548,0.486938050280468
"AGGA_Bs_1 (GE) - TPM",-0.343243073798779,-0.630417988403314,-1.21354892850531,-0.949966339999082,-0.425938634552076,1.05128828099402,0.727857328170603,-0.212922550179383,-0.532486387112514,-0.773286271120327,-0.590708219520816,-0.656670466801589,-1.04884363616332,-1.24991230404128,0.881898949741974,-0.721552848020313,-0.18160630892046,-0.372573429792112,-1.35756875452002,-0.835484150554287,1.30661477539429,0.426892575471818,-0.288838827682121,0.824289309354791,-0.373964830946246,-1.51008588835821,-0.848818798337472,1.07269609461422,-1.22938652479831,0.23024103959847,-1.26819494667606,-1.131478262664,-0.943983317256514,1.62611520715808,-1.42761424201765,-0.92897232534302,-0.604325358769442,-1.59849335508812
"AGGA_Bs_2 (GE) - TPM",0.0222593465261718,-0.900952504088707,-1.37011323538888,-1.36819431401666,-0.862790154495088,0.447039003481921,-0.332304101223859,-0.192200562815305,-0.426836332272941,-0.0958195381426024,-1.38850027866755,-1.23933302136078,-0.383091206892076,-1.47066700364992,0.575001326252893,-0.985571743110332,-1.02140290410067,-0.604141127813487,0.386787875255478,-1.41238008582963,0.447496347536707,-0.449862363258781,0.137448972961679,0.430985207861871,-0.376646373533049,-2.00323956246407,-1.0854033944058,0.648903330206663,1.63778193560298,-0.882213028056434,-1.25925344625631,-1.06493452572827,-1.43302824867666,1.38949680587708,-0.660478876016969,-0.317440211300758,-0.495585254439632,-1.44908152353555
"AGGA_Bs_3 (GE) - TPM",0.100128905073488,-0.661281828617732,-1.39096272423122,-1.39907709481421,-0.396558757624112,-0.0803017803832076,-0.300410473970064,0.0788416888011725,-0.516481375903507,-0.809432723674765,-1.10568940673513,-1.15820908161974,-0.834009647289442,-1.82341860529175,0.325687150688481,-1.05408231677486,-0.794659661108547,-0.544559749661362,0.00105873597485534,-1.32447706301122,0.312479420866364,0.85850391993608,-0.360710463776877,0.441592649451125,-0.30325938718787,-2.29138860934266,-0.751209944571241,1.12728866533668,-0.0560250553320777,-0.773321759017876,-1.24142486901525,-1.27430398707283,-1.82448517169038,1.23330399370621,-1.11954273385993,-0.590846716383771,-0.668722912615566,-1.42581498052021
"AGGA_Ctrl_1 (GE) - TPM",-0.147233621513252,-0.0210287730196244,-0.064786982841908,0.393581072849966,0.704714043255195,2.00444555868537,0.899576428042182,-1.29833490771217,0.201654186569973,1.10334574638595,0.814709273368078,0.0952047787346029,0.0141544812571819,0.212027407735135,0.818175750536621,0.610846250902062,0.915449667009239,0.99927203945658,-0.212870669212172,0.437498677507249,-0.732196439607459,-0.255397934310617,0.883442791311573,-0.500104304738222,-0.622242520717495,0.626262719657282,0.598607134608656,0.230429794911876,0.368730534942334,0.438508019197997,-0.317854731699441,0.242796771253192,0.583058210224326,0.465572176465552,-1.09654472671185,0.24379775640526,-0.13023101713785,-0.704060478081088
"AGGA_Ctrl_2 (GE) - TPM",0.229548981053445,0.212615416385717,-0.332074240515353,0.488018296282333,0.493368058080683,1.13384481511444,0.756058027852833,-0.883147969781911,0.149528212336084,0.344069557887771,0.840726234604192,1.06468412405686,0.300745654865927,0.44134242963124,-0.45797988860306,0.0849591684862727,0.504989108007498,0.607542634050768,0.628156193451376,1.3752463076815,-0.179330302771172,0.360291420208486,1.65663925045073,-1.10669574578394,-0.980890606076197,1.24885639242039,0.856189749182379,0.430231949245964,-0.018418781977123,1.52439584692688,-0.0949737319654461,-0.426006590824369,-0.798921429312476,-0.306995399422641,0.0682739909428436,1.25287886897938,-0.0055434145320362,0.355490293538488
"AGGA_Ctrl_3 (GE) - TPM",-0.253569063789756,-0.024155456486822,-0.310051706611721,-0.0535389446630608,1.06460656281777,1.20109689965431,0.664629927209633,-0.4928283309755,-0.43464690397995,0.418146941999727,1.05565095313087,0.494464798068341,0.514200890050346,0.0416852112519483,0.722554694472448,0.134723590876269,0.277141218694563,0.74896240617135,0.599583725153883,0.626002741670569,-0.214570401324846,0.0179826172007893,0.292742675063285,-0.976973605882019,-0.820850289036899,0.434412843335666,0.691420519139295,-0.0342769195263131,0.406180645163308,1.18667683246581,-0.329731776605613,-0.138922574509804,0.0943830729262016,0.217202749795695,-0.268808295712591,0.777019006579095,0.0981419936097301,-0.490784293327251
"AGGA_Li_1 (GE) - TPM",-0.906990220433174,-0.394289751346,1.29211962938795,-0.450462939031795,0.293190773330189,-1.40648424675335,-1.085027948098,1.32124358282917,-1.10235792291489,-0.914846790534932,-0.595589297492784,-1.13286343203107,-0.671069016385541,0.186865286349868,0.457032369892055,-0.475438452554487,-0.588798486510327,1.05201590030053,0.948338812080118,0.128452145606348,0.531824677704851,0.702912650345931,-0.782389326332458,0.907372938404242,1.14328340397491,-0.564122477357124,-0.441785569921298,-1.01041903669669,-0.826353326003829,0.144312044327518,-0.610134562935086,-0.0735410189372071,-0.461420325781343,0.593841839493827,-0.671032679862915,-0.788062939139935,-1.41064807776256,-0.676179252084683
"AGGA_Li_2 (GE) - TPM",-1.19072031543145,-0.857090772614955,-0.648650260174266,-0.858754572236551,1.84727698588508,-1.42001192931439,-1.16497957174058,0.575672138055275,-1.4355221662416,-1.82275507103802,-1.76628798961955,-1.63707148523422,-0.995720219155329,0.379578211438201,1.91387072014297,-1.29877820084601,-1.12415416404665,-1.07946239397002,1.26426569403194,-0.975701093492474,1.66382979565955,2.42985106987574,-1.03275291249283,0.87483386581257,0.475511442406124,-0.95482587869469,-1.38756710470963,-1.2055283407831,1.14015750174654,-0.969861056393817,-0.860481768183803,-0.786961333462096,-0.717757626634292,1.38034507109355,-1.82118685875053,-0.935726250817321,-1.46123261120836,-0.391752480707056
