"","VC0043","VC0084","VC0088","VC0250","VC0257","VC0263","VC0285","VC0287","VC0306","VC0352","VC0444","VC0509","VC0595","VC0632","VC0634","VC0708","VC0754","VC0813","VC0828","VC0832","VC0834","VC0843","VC0851","VC0868","VC0948","VC0949","VC0987","VC1074","VC1078","VC1227","VC1239","VC1240","VC1327","VC1388","VC1411","VC1467","VC1471","VC1472","VC1473","VC1540","VC1557","VC1585","VC1587","VC1668","VC1694","VC1702","VC1703","VC1737","VC1848","VC1856","VC1877","VC1880","VC1911","VC1941","VC1986","VC1994","VC1996","VC2015","VC2050","VC2051","VC2053","VC2056","VC2083","VC2093","VC2112","VC2182","VC2288","VC2309","VC2422","VC2441","VC2480","VC2612","VC2624","VC2712","VC2743","VC2745","VCA0039","VCA0077","VCA0177","VCA0209","VCA0253","VCA0275","VCA0315","VCA0336","VCA0343","VCA0353","VCA0363","VCA0389","VCA0401","VCA0410","VCA0412","VCA0427","VCA0480","VCA0579","VCA0582","VCA0643","VCA0723","VCA0726","VCA0733","VCA0778","VCA0786","VCA0858","VCA0992","VCA1006"
"Vibrio_As_1 (GE) - TPM",0.129258645876049,0.237145437424739,0.914268894046051,-0.318358785672823,-0.312785528457409,-0.299338807294512,-0.97416606087529,-0.331178260647491,0.825891540658554,0.320078209390246,-1.2577129084984,-0.00256984105289392,0.720032563247348,0.18572129265328,0.255655268234508,0.806198731392383,0.505831158399814,1.56735473803874,0.0801288081418814,-0.409545226264247,-0.078931372162815,-0.566266252572449,1.24535100510832,-0.278434963189209,-0.747911325089353,0.896301651472572,-0.39863864067163,1.04554684869853,-0.311360466556656,1.66614573315003,-0.392319893375115,1.04832095587677,1.38440117906766,0.375722341755688,-0.651618114580094,-1.18223616343921,-0.409597013979904,-0.538969374249257,-1.06367035326845,0.683342710977915,-0.793503369668697,-0.722754878787568,0.203359220007523,-0.526076382955797,-0.60102773702246,-0.274966102147036,0.277510050585867,2.07925428279345,0.678149543497861,0.200192003696675,0.0122888734158554,0.840615856286158,0.753671541717049,0.699738636192071,-0.207778758050484,0.107056643634861,2.09546831572909,0.909656364505271,-0.685784829396138,-1.06844830181632,-0.445358754075601,-0.70766319496078,-0.142402055967206,1.68483924954008,-0.30208181009161,1.68898861050972,0.723739197023427,-0.365212879671257,1.51429676183913,0.570455314266427,2.66796594302469,-0.126542260207116,1.59997857229767,2.7379936922774,0.0449392534067985,0.429396263687645,-0.00421531074676592,-0.54607823152526,1.21244769446998,-0.0521845719888381,-0.0548984702252808,0.441112969332581,-0.508061563471384,-0.767694211897623,-0.815196521499012,-0.484619010337673,-0.0438805637534958,-0.807935902486294,-0.726259156217993,-0.224058503111529,-0.303744090146503,-0.501503932192029,-0.366839958626017,-0.131813717526997,0.486598368000992,-0.522384008522013,-0.555728142193325,-0.336280906312463,-0.311905864310761,-0.897393594973272,-1.04244463277895,-0.166666666666667,-0.479076671288027,-0.574712200165349
"Vibrio_As_2 (GE) - TPM",0.256346105092319,0.24150261221986,1.48811364532001,0.595453935705879,-0.312785528457409,-0.0861351002431279,0.888014172452532,-0.725045899145434,-0.0421101948400668,-0.552200064317586,0.279998611224192,0.208708186131519,0.744194609554323,-0.195685364266486,1.92243264801098,-0.19841933134065,2.08680800807854,0.237483132509567,-0.189379945157118,-0.536086975947933,-0.512751016594113,-0.542473608081135,0.964681563196983,-0.278434963189209,-0.669789815653044,0.239499796134486,-0.552648207381267,2.24542113713259,4.37347069022667,-0.0416923639589566,-0.604251138297981,0.634755072412704,-0.470004084762423,0.746363287213713,0.0473921356112973,-0.897210259109329,-0.119711283925553,-0.10232512990915,-0.729946060261334,0.618994516980922,1.39299573285487,-0.64133128114962,-0.713116654402876,-1.57376544142213,1.43056242011288,0.953269736150925,-0.148290190501815,1.51800973126879,0.617365752154245,0.301508872737419,0.0981293910352737,0.881597656668684,-1.28834387103052,0.915701198507161,0.766814326748646,-1.11487662061865,-0.387057787719598,1.02802348848526,-1.03064912772082,-0.894808311686001,-0.62133362075619,-0.375702023589505,1.23551149542892,-0.50422057368438,0.579356422868042,-0.247406174710497,1.90635214261496,0.603173264377379,0.328690701388154,2.13249178205841,-0.0821094110978718,0.298305164878674,0.00634126278807175,-0.77845697580249,-0.0467882764522505,0.157415852104722,-1.09585318849031,-0.735633762666388,-0.33953755182881,-0.542413304214786,1.89031445514465,2.84946296252435,0.463971046345132,-0.424075388332969,-0.815196521499012,-0.0518094309148978,-0.647486718909827,-0.120054446664902,0.355470063852577,-0.870768080844112,-0.303744090146503,-0.501503932192029,-0.366839958626017,-0.292856289158155,0.519663627604614,-0.74264371050707,-0.392842563888568,-0.234192663673005,-0.311905864310761,1.65232025717105,1.83588733687863,-0.166666666666667,0.617478863648406,-0.561956404741971
"Vibrio_As_3 (GE) - TPM",-0.444564806646633,0.610809918800571,0.419871458414077,0.469539944826653,-0.312785528457409,0.741850320029595,-0.64123896017049,-0.788252303966757,3.02870197546358,0.811749269236266,0.866683428809295,-0.329908136259073,0.597296876533997,0.196027725378423,1.10232975374075,0.457654396698532,0.0399885337152006,1.18371307269048,-0.404797414305977,0.257884502157694,-0.214237695412991,-0.119881806307885,0.904641317787651,-0.278434963189209,-0.0134088375194811,0.647631098738185,-0.502427465192007,1.28253304211739,0.880538265158131,-0.111984684908387,-0.901691871866138,-0.0105830473381485,-0.651792648892986,0.835167589624924,-0.0405263992816256,0.269268565940367,1.33214571757263,0.488797764778687,0.301531472539013,0.553495051449559,-0.637669680684759,-0.655438149421215,-0.300087886173416,-0.450407807767765,-0.141587537356657,0.119658584435393,-0.181834586914523,1.82092413576398,1.48815007168941,0.719061636508055,0.443135558606702,1.49910750767373,-0.151379867504816,1.10953294749535,0.867598258782497,-0.464990356813285,0.442704709848404,0.473678022658547,-0.286976226755744,-0.311396907850765,-0.866109056971434,-0.0833012212435034,0.404927313017025,0.35358954179855,0.747016862614312,0.4440955252343,0.292248692021048,1.33895539683352,0.578617009007968,0.981511746355556,1.99180473793461,-0.384903092544078,1.24877467133399,-0.718545703267508,0.818220044702699,1.00618952552671,0.212795649334054,0.171877012188951,1.04989088176558,-0.284659658590768,1.38348846177921,0.649887185468932,-0.131221617432249,1.38277608385231,-0.815196521499012,-0.484619010337673,0.00104278222479539,-0.719042721971173,0.581767710225215,-0.269328891953079,-0.303744090146503,0.18303609312024,-0.366839958626017,-0.502345919457821,-0.338688697956494,-0.557349826471832,-0.242835838750915,-0.885710155050526,-0.311905864310761,0.182429846334838,0.336316231046784,5.83333333333333,0.342074645981807,-0.55683006163903
"Vibrio_Bs_1 (GE) - TPM",1.51945380914893,0.266388070047069,1.58194148964056,0.475063809237615,-0.312785528457409,0.9042268625164,-0.889992705697765,0.163150848732686,1.27495731485314,-0.789941530914545,2.21719305212838,0.402384426501863,1.27183011858258,2.21177308583755,-0.3685354503296,1.28267752573984,0.422343783140749,1.11646337713757,2.18282910138783,1.14097520224169,0.43522919045841,2.14229286390189,1.139346045607,-0.0531884147782884,1.49981043975835,1.402931859031,-0.458649985401588,-0.409191869422054,-0.311360466556656,-0.235479681505858,1.32300893218842,1.17464902473335,3.7074546270741,1.34250566661047,0.239640948709397,-0.865789008946334,-0.850419802527849,-0.301189919779276,-0.892751502759219,0.818835215460001,0.415806618576651,-0.265764439892183,0.532302106038044,0.522087249563199,1.41248357794709,0.724713807868902,0.989366472727117,-0.267838255302437,1.1794004058387,1.41719155463975,1.2236994030244,0.563577895117866,0.904554716177683,1.22990753466895,1.17188909885476,2.47576717080264,1.64526846406614,1.15947407647779,2.4387669187327,2.17452608010916,1.63983789874104,0.694969285579852,0.600541392420103,-0.197399086989606,0.264656727283151,1.45433071184332,-0.532236949420962,0.405474462622294,1.24947359404123,0.072946604742701,-0.0218968079434198,0.464332614628088,1.3881528249993,0.842481830869057,0.496395321399796,0.93464226533974,0.31467362301139,0.278621264750045,-0.191658993574431,-0.263630469186567,0.486193979272541,-0.479304252576949,-0.419133936544148,0.444852669795191,1.06100081134053,-0.484619010337673,-0.294731250336559,-0.161137865379849,0.0591643310350601,-0.242934550524105,-0.303744090146503,0.413886320061052,0.399231062098088,0.154251134859144,1.02292295931924,0.113659300851104,0.70013957536771,-0.040645987372406,-0.311905864310761,0.258640746975754,-0.0977600923484252,-0.166666666666667,0.0804414930267692,-0.257659635390941
"Vibrio_Bs_2 (GE) - TPM",0.929370865418137,0.226447441364401,1.1092950799837,0.999585032749337,-0.312785528457409,1.5534600626664,-1.2900543565843,-0.2731396724485,-0.447131559629728,0.419243958001642,1.22713962960088,-0.0679860716060394,1.38644436358747,1.50996793291212,-0.643974326634545,0.623370606684798,-0.79876707560872,0.481446622063362,-0.327388017013315,0.60199544563188,-0.675354717100609,0.988824543685162,0.0208654867423762,-0.278434963189209,0.899105573838402,0.810183383393842,-0.537016538513666,-0.306282315158955,-0.311360466556656,-0.77844962775107,0.215112769456717,0.519655485814058,0.0754130470400329,-0.559809666866374,1.01877545461182,-0.958246237690601,-0.850419802527849,-0.372853869738953,-0.980490771501612,1.60291415768809,0.83168311014778,-0.566967811196182,-0.713116654402876,-0.46667221712899,-0.60102773702246,0.169334425496012,-0.256024797985213,-0.310867850846865,0.872450345674397,0.965871544526536,1.56478862197112,0.72676557564054,-1.11083648977657,1.05077304666418,1.79454938343649,1.12530708478533,-0.206456626503553,0.563021323358567,0.715564239755768,-0.329678612828396,-0.368045023660698,0.524155493649318,1.0879523617914,-0.154727647856019,0.432086706136178,-0.485853615472863,-0.748999622268523,0.364578581925367,0.212534778113294,-0.480290902564594,-0.866123156225671,-0.327926658922387,0.508938351859158,-0.840058707216992,1.66083186015567,-0.571431771936277,0.25382332419144,-0.572394633879951,-0.791291234868632,1.78143888253222,0.215958523900058,-0.479304252576949,1.10979986846465,0.474195363565001,-0.815196521499012,-0.484619010337673,-0.647486718909827,0.107997876207299,-0.726259156217993,-0.590894743142774,4.73142739970714,-0.501503932192029,-0.366839958626017,-0.309389519940813,-0.280186305271478,-0.74264371050707,0.449508240699786,0.368035382120538,4.14480757714022,0.0842200740871392,0.338139932644908,-0.166666666666667,-0.314120644037435,-0.462632463019882
"Vibrio_Bs_3 (GE) - TPM",0.94193860472758,1.38947899833375,0.612980456420124,0.541331058014142,-0.312785528457409,1.12917609035185,-1.35945053010602,-0.515298698482087,-0.461532650686387,-0.892996711376402,1.68984362016555,-0.338098468818979,1.20496946628413,0.936072281366049,-0.220765244533234,0.609558181195351,-0.903226263756193,1.47963157770653,-0.129537278721547,-0.307897046608527,-0.619573903138157,0.915234214242339,1.27781096082244,-0.278434963189209,0.675495612431493,3.03635336116175,-0.320821638335483,0.0713392142766751,-0.311360466556656,0.217220482707078,1.16230990523233,1.40686563777513,0.736676729505421,0.525021842987809,0.100696024830058,-0.0541425919083493,-0.539669406965731,0.00572975019604475,-0.0361697668344141,1.51337838967066,-0.97573725360569,-0.467637663520696,0.172899994007196,0.248205518036553,-0.60102773702246,-0.360541828505806,-0.0215040193662105,-0.716852101924776,2.21434467330944,0.792311684433745,1.24655877233704,0.24370135493955,-0.681779108121454,1.82829920928886,1.23076697036979,0.914258240790976,0.78370424828836,0.93114710725886,0.887153570125053,0.907689701900969,-0.167821941350994,1.68196376944449,1.06870041998683,-0.54460423152538,0.548100714259852,0.635302175624422,-0.542779740757549,1.96300779623312,0.669478921429754,1.90379677677012,0.859468440668408,0.165006354546247,1.38130467784399,0.343352895567393,0.665638743690185,-0.000287453669815002,1.90095284500688,0.183540116351588,-0.558598946223394,-0.179556130823838,0.351667334153145,-0.479304252576949,-0.508061563471384,-0.0634785425917569,1.02310335583151,-0.484619010337673,-0.136884663889499,0.622246034280111,-0.726259156217993,-0.821923614040987,-0.303744090146503,-0.501503932192029,-0.366839958626017,0.0704228056834805,0.361699702674705,-0.74264371050707,1.17409702401504,0.364247005790628,-0.311905864310761,0.704986923244434,0.889892388246509,-0.166666666666667,-0.149286058623626,-0.532631813399999
"Vibrio_Ctrl_1 (GE) - TPM",0.476576803839275,0.443164289815424,0.444485781695339,1.79334486344455,1.49416847736817,-0.36439779713134,-0.590939173399573,-0.362749453885378,0.404095256700799,0.631550063582052,0.556565071095898,0.20567661717184,0.0253278036971948,-0.0471220177653267,1.20877653551889,1.09199424136523,0.380925550691039,0.831857084328325,-0.475376826785557,0.571653925929229,0.437432301804837,0.506891212086364,0.531938868167778,-0.278434963189209,1.08934461611135,0.355455993586578,-0.436179067198473,0.106570281359682,-0.311360466556656,-0.451802985929833,0.308377851507251,0.525885498221211,-0.408816721171851,-0.576699106539532,0.262446930033154,-0.812154171015777,-0.850419802527849,-0.248585316208514,-0.738897294922702,-0.0531218698133651,-0.0561865405594481,-0.498919201637461,-0.713116654402876,-0.0559962068362499,0.299692398036275,0.285914595858508,-0.433860264715155,-0.284823369184603,0.0620043243601469,0.821255102542995,1.02995250334123,0.205278634712581,-0.240952014109004,0.697921106738142,0.660417699615531,-0.0995788664232303,0.00731787375865678,0.811186775031618,-0.0244617060383312,0.252788366539359,-0.483795900825966,0.292247534277227,0.126500539768189,-0.940029245027169,-1.40823354628652,0.681331507848279,1.00288989494124,-1.41766406560233,0.727777880260523,-0.256790669646969,-0.236397756233893,1.7809976643943,-0.0617988864172515,-0.220990059479199,-0.38614601258343,-0.364006776398793,0.928192815222773,0.601225406692521,-0.760186815557788,-0.431874755715285,-0.31433347666256,1.45772646884686,-0.508061563471384,0.0810899843441413,-0.815196521499012,-0.484619010337673,-0.363445049209523,-0.502958702406893,0.506978557897037,0.0798806917968892,-0.303744090146503,-0.0317961343751882,-0.366839958626017,-0.520480977615957,-0.424181177996975,-0.74264371050707,0.136371412484066,0.496548657821032,-0.311905864310761,-1.11771273304975,-1.18285075354446,-0.166666666666667,0.514242312635177,-0.519278705149717
"Vibrio_Ctrl_2 (GE) - TPM",2.22058346153329,-0.193393483899215,1.25398125955207,-0.085029236344585,-0.312785528457409,-0.728262396403765,0.892517010579707,-0.955172967751442,1.12722818343603,0.244872347509536,0.829087531270989,0.962495170416447,1.03814765891125,-0.366220723901877,0.723639483937324,1.73294360637279,0.592417923435921,1.22792995078346,-1.15343436837267,0.321688923674491,0.852274169052967,0.223288362405807,1.81264870624479,-0.278434963189209,0.162372748715257,0.854039122542191,-0.370750347990434,-1.0245869330207,-0.311360466556656,-0.77844962775107,-0.0836899132866447,-0.660770093468297,-0.0245212110728328,0.326068946550149,-0.319314076426399,-0.628105808509821,-0.0208889905097246,-0.538969374249257,-0.524005697888466,0.0977129853383845,0.183189658372873,-0.517438928633773,-0.713116654402876,1.47625801419282,-0.60102773702246,-0.667696651200058,-0.238746032219865,0.678852066782178,-1.14049122754862,0.518905374224809,1.7594422316705,3.0434950633687,-0.354767657411062,0.352487616204861,0.245374601077356,0.493060182343829,0.953832384591251,0.852054118771572,0.16933012894822,0.181124678898914,0.0204979435172715,1.07702832631829,-0.535770950242987,0.452815448755898,-0.843581304986291,-0.00669228308345368,0.571355893025146,-1.52988298778868,1.37629670041158,-0.215777089568832,0.516879639322528,0.273566529866767,0.19754733054702,0.06643644262262,-0.279997344637048,-0.779311675483568,1.14282783674293,0.839808301114838,1.56779045953233,3.98623214471703,0.310538028203037,-0.479304252576949,-0.508061563471384,-0.767694211897623,0.439495210771995,-0.484619010337673,2.66579210531516,3.09662281185034,3.89345079851877,-0.481296664613175,-0.303744090146503,-0.501503932192029,0.855370475413282,0.0131169441390042,-1.2286655671697,-0.74264371050707,-0.588200858004827,1.2252220313179,-0.311905864310761,0.158451559550656,-1.23466006230681,-0.166666666666667,-1.22345999582936,-0.339267144981317
"Vibrio_Ctrl_3 (GE) - TPM",0.137593565220842,1.3889014181772,0.488649599718857,-0.285301253398031,2.14738370449109,1.43376425964708,0.325030461573817,-0.63253894439208,0.385401475029532,-0.732279093042981,0.264123447202957,2.24218159805693,-0.0336263475906163,-0.299822993581384,1.41233759719706,1.60264861308042,0.461322886489222,0.31723161033383,-0.405329464294089,2.58256033989108,0.586150284143898,0.0555723874949355,2.36427337677975,-0.278434963189209,0.246347067214769,-0.531141080074289,-0.447701707075728,-0.165804969789737,-0.311360466556656,-0.77844962775107,0.418546650654902,0.86338077547016,0.00754036836785347,-1.46038339853751,0.194418643230891,1.17111483754223,1.67575669658028,-0.538969374249257,0.96626091047382,-1.05508767077595,-0.0513232976172196,-0.327367620089741,0.573075499875332,-0.587559075556904,-0.60102773702246,0.352541980608915,2.02305812664291,0.802111173735481,-1.06877723653515,0.710568004126589,0.929520256642405,0.795555812239973,0.129772881381076,-0.136718449469718,1.26568569907808,0.436793711247136,1.59631299648983,0.754061718155398,0.286738479044581,-0.17327034650166,-0.140683569957191,-0.85018292118291,2.13220610104588,-1.41695677710993,-0.191895085926072,0.222767672765132,2.22005026273056,-0.656773664619914,0.791307868807377,-1.03516766428,-0.335214659552025,-1.00681015346598,-0.928297184972315,-0.152082298913253,-1.80520730238523,1.34108056732871,-0.181689944012542,0.697410131481355,0.405254291451268,-0.0909183542243268,-1.03262423115047,-0.479304252576949,4.06858203628677,2.43248513520847,0.519093800941078,-0.484619010337673,-0.647486718909827,1.26819753019695,-0.726259156217993,-0.26689480764286,-0.303744090146503,-0.501503932192029,-0.366839958626017,-1.09338320099931,-1.13429840202275,0.447448453735932,-0.735865115848118,1.00384528234059,-0.311905864310761,-0.777544477040436,-0.890963297212231,-0.166666666666667,2.00274408824805,-0.345242255463574
"Vibrio_Li_1 (GE) - TPM",0.299394802390552,1.43401584358373,-0.202184364887863,-1.180685348635,-0.312785528457409,0.640779653416179,0.535746756527313,0.276997688440218,0.52056988955581,0.213200083059977,-1.38801105717692,-0.106259406946077,-0.822300958322197,0.133441566259928,1.17726187078968,0.949620491251254,-1.12466392815177,-0.83585643364388,-0.0539743954908318,-0.438883734184551,-0.0133804231506926,-0.617663205684151,1.19023683513876,-0.278434963189209,0.877314504865786,-0.32627095761797,-0.0510570818839214,-0.135698309761944,-0.311360466556656,0.670241703873133,-0.71395605237525,-0.416252662637583,-0.931750667522216,0.29343072322381,1.07693608018098,0.133702455993506,0.0143612208016128,-0.538969374249257,-0.1883662144278,0.55379075138214,0.506005073642893,-0.294436137046483,-0.713116654402876,1.41529354357888,-0.60102773702246,1.17242603113076,-0.25091214292998,-0.0558031680723219,-0.795772388675041,-0.0157897892182144,-0.585500450280412,0.571549250614588,0.787174203040867,0.15051113686666,-0.107406238313974,0.388131348897884,-1.18467821631489,0.69717222713776,-1.53140299448901,-0.601803437862712,-1.25471660116971,-0.000941059621007596,0.693634209976987,0.662555043715544,0.299747806131449,1.053922754161,-0.978820503913234,1.36877082207756,0.449805680499828,-1.25501786121043,-0.324232146220335,0.0839129231292624,0.683209642520365,0.494407140738811,0.606131916360887,0.490960296715802,0.153261206188208,0.0178624416487305,1.37138355598466,1.75665742264384,1.31059508459052,-0.479304252576949,-0.508061563471384,-0.767694211897623,-0.815196521499012,-0.484619010337673,-0.647486718909827,-0.434808602232682,0.195795425988128,-0.0600998490951224,-0.303744090146503,3.52117585178212,-0.366839958626017,-0.117733772987395,-0.526830957181102,0.812890838109009,0.0498881133717976,0.753267033230314,-0.311905864310761,-0.285800332729144,1.04412959020542,-0.166666666666667,0.902548672458038,0.582369189542257
