"","SAS_RS01220","SAS_RS01225","SAS_RS05445","SAS_RS05450","SAS_RS05455","SAS_RS05460","SAS_RS06850","SAS_RS14630","SAS_RS08320","SAS_RS08470","SAS_RS09805","SAS_RS12120","SAS_RS12455","SAS_RS13460","SAS_RS13465"
"MSSA_Li_2 (GE) - TPM",-0.508107488064122,-0.466983140325047,3.11422705989618,2.46411156849742,2.03170279859464,2.26211388421349,-0.975781207130088,-1.06011898975024,-1.28317894182701,-0.240107386891768,-1.10498126365011,-0.828886797620446,-0.809907815957879,-0.841986316568685,-1.62561533958425
"MSSA_Li_3 (GE) - TPM",-0.43493152499259,-0.19095886471831,1.58325939483414,1.39756807572216,1.23640558932204,1.24572231691743,-0.744496498911841,-0.278872568080721,-0.427421828798236,0.092643043270627,-0.912594200373218,-0.0500557707698973,-0.438342800837599,-0.943020699159021,-0.820380817253492
"MSSA_Mig_1 (GE) - TPM",2.33445758476962,1.20051683627062,-0.960621932278089,-0.809917752633751,-0.669690989728478,-0.947917990649965,0.865090913734849,2.17827035686954,0.731227504550282,0.581922352830107,0.749541412684955,1.8664287829336,0.493485538854979,1.23243055820633,1.6713975905373
"MSSA_Mig_2 (GE) - TPM",1.80096450452356,1.21446425940806,-0.62636547897066,-0.409197337465261,-0.482341369342309,-0.758489199619989,1.38303433899194,0.755637746934309,0.783393007582953,1.00151837065272,0.925664298025873,1.31587520036205,0.251113781372905,0.524982808751271,1.28341782365571
"MSSA_Mig_3 (GE) - TPM",1.9855419798895,1.56104311719147,-0.245034142449475,-0.309297194680956,-0.583920370611473,-0.369873683687402,1.21274250209913,0.811551615903897,0.216296160519143,0.633378650473054,0.290302064663749,1.26305977903125,0.216269689241719,1.54840134411296,0.881257853314209
"MSSA_Nd_1 (GE) - TPM",-1.51237711794659,-1.49240236742955,0.965094907463322,1.36319742245792,1.3674322142686,1.03739723980474,-1.45484351265462,-1.39169229791501,-1.73227997668996,-0.8358980809643,-1.93189835981632,-1.68675265251843,-1.22459387413781,-1.42737007739736,-1.01429520029784
"MSSA_Nd_2 (GE) - TPM",-1.23525441485628,-1.48009262942974,0.676166965256437,1.40581519131435,1.32798415929679,1.08261114139755,-1.18458499538306,-1.66147642311613,-1.12625527782285,-1.53468252430917,-1.54931146603232,-1.57456285062028,-1.30491889078198,-1.2098261493256,-0.665342997666029
"MSSA_Nd_3 (GE) - TPM",-1.26117975099371,-1.38842864474974,1.08465440085498,2.05222631695359,2.24300277956169,1.4107607653684,-1.47341406362678,-1.75707364084751,-1.78887434202843,-1.66392866224577,-1.79763457726565,-1.5618239890306,-1.1824561354989,-1.37960840521405,-0.98771045355764
"MSSA_Ns_1 (GE) - TPM",-1.42475367665745,-1.61622367678745,0.862158154442061,1.06356971829552,1.14985636549547,1.55412183821445,-1.55646412473992,-0.693890647406898,-1.772448465483,-1.80093035878081,-1.78576810339289,-1.44991279010374,-1.09456285043996,-1.73828534884373,-1.80082471885846
"MSSA_Ns_2 (GE) - TPM",-1.46170727775118,-1.55282117434107,0.982549830909677,1.22498937192368,1.36422812097752,1.23458877904631,-1.7616483774031,-0.297209576403451,-1.84299645129864,-1.24922221659104,-1.72745033886046,-0.973167511858974,-1.30491889078198,-1.7424433570062,-1.97742542059845
"MSSA_Ns_3 (GE) - TPM",-1.65906568686091,-1.62902372746586,1.07560788495354,0.871941684162743,0.977461472750149,1.75173428884448,-1.67993640851795,-0.866289983667596,-1.75175264892199,-1.32974980917172,-1.80497422913849,-1.5566553354039,-1.01117559965362,-1.84196534976604,-1.98778132511387
"MSSA_Oss_1 (GE) - TPM",-0.64200590772198,-0.173575565762922,0.434727921915632,0.341516968566206,0.0210287569458702,0.0766933154773156,0.228455786215664,0.616797780703611,0.25777629570086,0.0886643534043905,-0.167052502122117,-0.385834818462006,-0.0169013422103401,0.169880304097428,0.293618496028984
"MSSA_Oss_2 (GE) - TPM",-0.557777861760136,-0.399049168745513,0.508733487731808,0.484619455595517,0.68971163035799,0.613240052550154,-0.542671461496154,-0.549094512874685,0.14158752197314,-0.259185232039197,-0.349955290638288,-0.67605312784741,-0.478729889692182,0.540592462635715,-0.171482549521845
"MSSA_Oss_3 (GE) - TPM",-0.557328583131416,-0.293456528175553,0.280167893042032,0.425966147703657,0.52446105937776,0.652008305788415,-0.843882200845833,-0.153783366497699,0.369159095484786,-0.342738513203939,-0.449658219302867,-0.162921634717985,-1.03637374729955,-0.00691501563268559,-0.270922918689698
"MSSA_Oxs_1 (GE) - TPM",-0.237545682165977,0.556162764954969,-0.3420878222029,-0.798601238543497,-0.99444541034901,-0.863112523561689,0.358450271430577,0.191082928592104,0.551280469225936,-0.166490756665881,0.96657270278442,-0.216937529455166,-0.203626143721206,0.704659568127309,0.311781495828721
"MSSA_Oxs_2 (GE) - TPM",-0.00231468216614314,0.779332796172917,-0.160733161172182,-0.61473528539422,-0.8512733777905,-0.748349501112716,0.84290187606221,0.218581787681597,1.09945045668028,-0.276639731394248,0.67539877745703,-0.689652330965429,0.0236071788500947,0.150582437583431,0.0221088312531059
"MSSA_Oxs_3 (GE) - TPM",-0.0665807486873588,0.727801219452041,-0.398935984767946,-0.542641997286242,-0.639894556734686,-0.772556305010345,0.410744143728635,-0.258556125093889,0.712608579272924,-0.242940034856872,0.670758106749105,-0.233164340589016,0.757614254786413,1.02409401110336,0.804135858942124
"MSSA_Sp_1 (GE) - TPM",-0.0130455142744916,-0.138279985867852,-0.941436346352611,-0.727223243362325,-0.619699935490645,-0.943283114874483,1.76983996433622,-0.0504387659257716,0.659743107445035,-0.0992950737333892,0.93628134737328,-0.406186417642946,0.303015364644074,-0.220687473616744,0.617959849761305
"MSSA_Sp_2 (GE) - TPM",-0.331730017227203,-0.951784807117666,-0.776579245185004,-0.614479190658568,-0.665857426544731,-1.16957126761248,0.976886130792025,2.03788639861037,2.57809607489018,-0.745851105871329,0.918567686152397,0.0604802407844471,-1.30491889078198,-0.343676744002701,-0.628329230728122
"MSSA_Sp_3 (GE) - TPM",0.48277155076569,-0.625916763192669,-0.925629373332279,-1.0223145627827,-0.989799042095856,-1.04212329750388,1.59604970940717,-0.663291723553947,0.135755233296097,-0.483682410965533,2.01133244190235,0.556600710608752,0.756130533940604,0.25405296164611,0.340659414579105
"MSSA_Tm_1 (GE) - TPM",0.202867496819294,0.606217270941118,-0.547716217501734,-0.51651036020365,-0.0932566764631983,0.0197452188104638,-0.0401529097782635,-0.656118507811478,-0.371633430543011,2.07825919640923,0.39559209947513,-0.0497474374277944,-0.0463487590047189,0.285588501428362,0.219879309591013
"MSSA_Tm_2 (GE) - TPM",0.536618179963496,1.23049059513646,-0.990550215566293,-0.717198125255722,-0.463568613473294,-0.135510527729802,0.20827260579469,-0.643630796355721,0.365079010178981,1.13213990012464,0.676392120901783,0.47326646531304,0.163749120726481,0.355187291952277,0.019567435414351
"MSSA_Tm_3 (GE) - TPM",0.322163657132797,1.019538692016,-0.928690736650536,-0.696149838882827,-0.329743496051624,0.167040186762995,0.247749838696604,-0.796243084801406,-0.0538995070639415,1.16656053960712,0.991170478921509,-0.13227037187183,0.197146110684067,-0.157454542477315,-0.141501216124986
"MSSA_Vic_1 (GE) - TPM",0.645862605951175,1.14803065093038,-1.11552053277297,-1.29580151198506,-1.38105836618336,-0.980753695899174,0.736127335828707,1.97201625313056,-0.0793274882262592,1.7634585121198,1.42740667543345,1.8246202581956,2.95564160072038,0.876084528049553,1.16245410385443
"MSSA_Vic_2 (GE) - TPM",0.457651355377897,1.96952504372802,-1.32185862057165,-1.31042024866221,-1.06836716924926,-0.871957878464005,0.112097810127334,0.660265512058679,-0.494140814425112,1.86341482216489,0.373028086719882,1.63118240769182,2.38379633846422,1.70081566304199,1.88896998969127
"MSSA_Vic_3 (GE) - TPM",1.28783539719065,1.44362516496933,-1.43901731829189,-1.33216055731509,-1.08509527298394,-0.77752711201791,-0.116437021327766,0.352729081203671,-0.208408240559092,1.18457719600711,0.615368058078173,1.26227407763195,1.41010521625113,1.96586575646592,1.68156626132276
